-0.0049397+0.00086536i,-0.0024585-0.00051812i,-0.0027545-0.00019055i,-0.0027846+0.0013767i,-0.0019669+0.0027607i,-0.0013181+0.0019676i,-0.00026636+0.0017071i,0.00078783+0.0015043i,0.00091184+0.0011335i,0.00072161+0.00097276i,0.00074836+0.00075942i,0.00051017+0.00024672i,-5.0238e-05-0.00053312i,2.9962e-05-0.001106i,-9.2897e-05-0.0011658i,-0.00053021-0.00034354i,-0.00063773+0.00040751i,-0.0006277+1.1175e-06i,-0.00068116+0.0001384i,-0.00084151+0.00048083i,-0.00076148+3.944e-05i,-0.00074981+0.0003285i,-0.0011532+0.00031887i
-9.5974e-05+2.3783e-05i,-6.1428e-06-0.00048597i,0.001391-0.00070398i,0.0015599-0.00058892i,0.00044351-0.00030479i,-0.00035704+1.887e-05i,0.00044309-7.9982e-05i,0.0014584-0.00036204i,0.00099537-0.00070339i,0.00062418-0.000436i,0.00042859-0.00016111i,-0.00038079-4.9448e-05i,-0.00051209-0.00022593i,-0.00091252-0.00048663i,-0.00076372-0.00018861i,-1.4214e-05+0.00017769i,-0.0005978+6.5713e-05i,-0.00097316+0.00024834i,-0.00095699+0.0008194i,-0.00052155+6.5976e-05i,-0.0004075-0.00086674i,-0.00032754-0.0007727i,-2.3147e-05+5.3628e-05i
-0.00019374+0.0015148i,3.9677e-06+0.001586i,0.001127+0.0016762i,0.0018403+0.0017578i,0.0010154+0.0010612i,-0.00023774+0.00032836i,0.00015172-0.00027892i,0.0010986-0.00072465i,0.00046129-0.00086224i,-1.2052e-05-0.0002442i,0.0005337+0.00038669i,0.00040214+0.0002307i,-0.00045738-7.5883e-05i,-0.00087612-0.00017614i,-0.00070061-0.00060247i,-0.00066905-0.00039034i,-0.00030034+0.00021711i,-0.00036189+3.3221e-05i,-0.0009453+0.00048106i,-0.00024911+0.00052865i,0.00083405+0.00031233i,0.00096891+0.00038405i,0.000145+3.6327e-06i
-0.00095203+0.00017311i,-0.00030849+0.00099295i,-0.00061681+0.00039508i,-0.0007156+0.00024412i,-0.00065856+0.00054802i,-0.0003536+0.00043559i,0.00023504-0.00029837i,0.00059266-0.00034206i,0.00039607+0.00030787i,0.00029978+0.00051777i,-5.5611e-05+0.00035486i,-0.00024023+0.00025912i,-0.00035361+8.1638e-05i,-0.00033833-0.00039828i,-0.00023364+2.8441e-06i,-0.00058771-0.00037628i,-0.00040232-0.00066869i,-0.00092277-0.00026825i,-0.0010751-0.0011604i,-0.00030891-0.0013221i,-0.00064815-0.0013764i,-6.1268e-05-0.0014334i,0.00069846-0.00077364i
4.8104e-05+0.00027514i,-0.00058852+0.0012798i,-0.00092149+0.00080043i,-0.00090454-0.0005059i,-0.0013466-0.00022104i,-0.0014241+0.00063899i,-0.00084216+0.0013967i,3.2491e-05+0.00059445i,0.00016815-0.00083933i,-0.00036012-0.00048108i,0.00020774-0.00045067i,0.00044308-0.00025072i,-0.00044809+0.00048241i,-0.00067079-0.00061898i,-0.00066145-0.00077397i,-0.00077508-0.00025027i,-0.00037329-0.00095198i,-0.00026949-0.0007459i,-0.00020487-0.00035022i,-0.00022196-0.00038436i,-0.00040466+5.9004e-05i,-0.00023564+0.00029256i,5.4807e-05+0.00017053i
0.0012299-0.00071131i,0.00033971-2.8644e-05i,-0.00027561-0.001293i,-0.0012585-0.001988i,-0.0013901-0.0014238i,-0.0010044-0.00040664i,-0.00049452+0.00014077i,-9.6463e-05+0.00039103i,-0.00039259+0.00015918i,-0.00078741-0.00043394i,-0.00054824-0.00025311i,-0.00017177+0.00048243i,-0.00012501+0.00040621i,-8.9698e-05+0.00021434i,-4.9881e-05+4.2584e-05i,-0.00014762-0.00011525i,-0.00073771+5.1804e-05i,-0.001576-0.00037428i,-0.0012578-0.00089737i,-0.00039766-0.00023566i,-0.00071604+0.00034115i,-0.00071798+1.4634e-05i,-0.0002787-0.00037146i
0.00099164-0.00031646i,0.0010356-0.00049919i,0.0023222-0.00074478i,0.0019698-0.00064193i,0.00039478-0.00012097i,-0.00071244+0.00012834i,-0.00118+0.00087516i,-0.00012421+0.00036877i,0.00067094-0.00052514i,-0.00016173-0.00036982i,-0.00073524+0.00072925i,-0.00050985+0.0013071i,0.00062937+0.00034706i,0.00064288-0.00043617i,-5.1024e-05-0.00097199i,-0.00075535-0.00078751i,-0.00079633-0.00041088i,-0.00037177-0.00012543i,-0.00016165-0.00011757i,0.00012754+0.00050026i,1.8406e-05+0.00048119i,-0.00021469-0.00026074i,-0.00084284-0.00027383i
0.00064694-0.0005964i,-0.00037973-0.00052751i,-0.00030418-0.0016483i,-0.00038573-0.0022649i,-0.00048454-0.0018269i,-0.000563-0.00025881i,-0.00053009+0.00058294i,-0.00064233-0.00035579i,-0.00025617-0.00076204i,-1.1801e-05-0.00038207i,-5.334e-05+8.7819e-05i,-1.3123e-06+0.0015238i,5.9757e-06+0.0014655i,-0.00035575+0.00036741i,-0.00029936-2.5747e-05i,-4.4562e-05-0.00017654i,0.0002602-0.00076491i,-0.00023913-0.0010401i,-0.00076106-0.00035994i,-0.00045283-0.0002787i,-0.00033855-0.00052929i,-0.00022763-0.0006359i,-9.3083e-05-0.00026663i
0.0016184-0.0014958i,0.0010646-0.0013492i,0.00090536-0.00096801i,0.0003036-0.0016769i,-0.00034955-0.0010748i,-0.00031522+0.00041048i,-6.0909e-06+0.00053888i,0.00010627-0.00015972i,3.2384e-06-0.0007463i,-0.00028267-0.0007193i,-0.00082851-0.00033553i,-5.2298e-05+3.6376e-06i,9.3006e-05+0.00031341i,-0.00065578+0.00052127i,0.00069394+0.0005502i,0.0012332+0.00040407i,0.00090816+3.0021e-05i,0.0001811-0.00022793i,-0.00095505-0.0010075i,-0.0008166-0.00077611i,-0.00038657-0.00010933i,-0.00036003-0.00034196i,-0.0001787-0.00051088i
-0.00037125-0.0007842i,-0.0012107-0.0008294i,-0.0016444-6.957e-05i,-0.0015543+1.8456e-05i,-0.0018198+0.00027328i,-0.0012352+0.0011269i,-0.0011895+0.0012505i,-0.0012002+0.00017604i,-0.001478-3.6169e-05i,-0.0020724+0.00060962i,-0.00089854-1.5157e-05i,0.0007312-0.00036493i,0.00026961+0.00036869i,-0.00070631+0.001186i,-0.00086606+0.00050724i,-0.00084972-0.0003036i,-0.00060847+3.9327e-05i,-4.4844e-05+0.00029721i,-0.00022678-7.1726e-05i,-0.00058601-0.00022884i,-0.00073262+0.0001071i,-0.00066007+0.00033792i,3.3364e-05+0.00036189i
-0.00010294+0.0009588i,-0.00020956+0.0010499i,0.00038807+0.00038925i,0.00051096+0.00071363i,-0.00038939+0.00048361i,-0.00085061-0.00030261i,-0.00021852-0.00023511i,0.00032663+0.00015708i,0.00034085+0.00016434i,-4.3583e-05+0.00016129i,-0.00035562+0.00072191i,-0.00066784+0.0010905i,0.00023249+0.00077015i,0.00035696+0.00069496i,-0.00049596+0.00076208i,-0.00056269+0.0011561i,-0.00064489+0.0012325i,-0.00062459+0.00018218i,-0.0011619-0.00050371i,-0.00072428-0.00019678i,-4.1647e-05-0.00037287i,-0.00010912-0.0010041i,5.5623e-05-0.00037816i
0.00077826-0.00016327i,0.0013248-0.00023799i,0.00053028-0.0012116i,1.9282e-05-0.00082111i,-0.0004976-0.00024486i,-0.00030863-0.00037076i,0.00075408-0.00073617i,0.00087062-0.00058998i,-0.00019311-0.00067582i,-0.00021322-0.0004139i,0.00019423+0.00016861i,0.00025775-2.5742e-05i,-0.00018791-0.00019495i,-0.00058852-0.00039787i,-0.0001502-0.00045425i,-0.00044728-0.0003804i,-0.0010501-0.00090393i,-0.0010831-0.0011629i,-0.00051934-0.0014127i,0.0003118-0.0010164i,0.00050477-0.00043011i,-0.00010357-0.00016772i,-0.0004446+3.7203e-05i
0.0011987-0.00022527i,0.00052399+0.0012478i,-0.00039989+0.0016836i,0.00029085+0.00037056i,0.00070827-0.00021319i,9.2216e-05+7.7143e-05i,-0.00013837+0.00024439i,0.00075641+1.297e-05i,0.0010814-0.00067596i,0.00058449-0.00066993i,0.00041829-0.00017458i,0.00022665+0.00023491i,-8.8065e-05-0.00045579i,-0.00044272-0.00057409i,-0.00087107+0.00023265i,-0.0010567+0.0002803i,-0.00076762+0.00070978i,-0.00063754+0.00093304i,-0.00065836-0.00017126i,-0.0004135-0.00094453i,0.00058817-0.00083539i,0.0010784-0.00039783i,-0.00012479-0.00022903i
-0.00076906-1.6589e-05i,-3.8859e-05-0.00044209i,-1.8555e-06-0.00019959i,0.00011477+0.00014459i,1.1959e-05+0.00081266i,-0.00033567+0.0017005i,-0.00029938+0.0016634i,0.00025489+0.00082687i,0.00050814-0.00014885i,0.00038674-0.00089513i,0.00034938-4.7731e-05i,0.00024726+0.00091327i,0.00013244+0.00039252i,0.0002996-0.0001338i,0.00017237+8.3843e-05i,-0.00014561-1.9358e-05i,-0.00058352+9.6614e-05i,-0.0010759-0.00012274i,-0.0017117-0.00080547i,-0.0013475-0.00090224i,-0.00026918-0.00070616i,-0.00033191-0.00043124i,-0.00035142-0.00040163i
0.0029721+0.0011569i,0.0018559+0.0010147i,-0.00014698-0.00073384i,-0.00046527-0.0009815i,-0.00029042-0.00046983i,-0.00069798-0.00012071i,-0.00021718+0.00028476i,0.00012466+0.00015959i,0.00034378-0.00043674i,0.00059344-0.00062397i,-0.00031187-0.00017434i,-0.0011292-0.00012362i,-0.0013746-3.3906e-05i,-0.00095999+0.00081821i,0.00020576+0.0016987i,0.00047878+0.0017559i,-3.0853e-05+0.001082i,-0.00076897-0.00039835i,6.4849e-05-0.00094514i,0.00026641-2.1024e-06i,-0.0004434+0.0002209i,-0.00011773-0.00014319i,0.0010385+0.0003401i
-0.00039364-0.00077023i,-0.00046267-0.00082187i,0.00051697-0.0010707i,0.00098638-0.0011417i,0.00027315-0.00041318i,-0.0004574+0.00059183i,-0.00058871+0.00084408i,-6.7144e-05-0.00015469i,-0.00015588-0.0012326i,-0.00060091-0.00014845i,-0.00084747+0.0010206i,-8.6787e-05+0.00066797i,0.00084252+0.00035769i,0.00057914-0.00038101i,2.4735e-05-0.00044726i,-9.6602e-05-9.6362e-06i,-0.00014087-7.9138e-05i,-0.0002349-0.00027719i,-0.00052877-0.00039785i,-0.00059068-0.00038558i,-0.00015971-2.145e-05i,-0.00019092+0.00032663i,-0.00013485+0.00021343i
-0.0020343+0.0008836i,-0.0025025+0.00099555i,-0.0031712+0.00081737i,-0.0028737+0.0010924i,-0.00094641+0.0014464i,0.00096181+0.0010885i,0.00060883+0.0006403i,-0.00037379+9.0767e-05i,-0.00093251-0.0007012i,-0.00069061-0.00069641i,0.00032326-3.6941e-05i,-0.00010181+0.00067976i,-0.00036767+0.00029324i,0.00036438-0.00018305i,-0.00084384-0.00053387i,-0.0013649-0.00035241i,-0.00070825-0.00047669i,-0.00066054-0.0010609i,-0.00032598-0.00026662i,1.5193e-05+0.00029259i,1.9492e-05-0.00030706i,-0.00053947-0.00092058i,-0.0011849-0.00053517i
-0.00049913+0.0012631i,0.00039336+0.00054909i,0.00043263+0.00068206i,0.00091319+0.0015569i,0.0013877+0.0014175i,0.0012524+0.00098196i,0.00094999+0.0007168i,0.0012726+6.6158e-05i,0.00085579-0.00035491i,0.0001143-0.0010082i,-0.00054066-0.00066345i,-0.00090988+0.00016649i,-0.00038958+0.00023229i,-0.00017595-0.00032904i,-0.00033259-0.00045533i,-0.00019343-0.00022662i,1.2622e-06-0.00031553i,-0.00020892+0.00022549i,0.00016786-9.3236e-05i,1.3939e-05-0.00072308i,-0.00078935-0.00048993i,-0.00093906-0.00044852i,-0.00077555-0.00020066i
-0.0019099-0.0005545i,-0.00070405-0.00030439i,6.5727e-05-0.00085147i,-0.0002352-0.0011978i,6.9024e-05-0.00071588i,0.0006997+0.00010506i,0.00035848+0.00022246i,0.00010886-0.00052105i,-0.00058707-0.00044565i,-0.00086674-0.00015883i,-0.00024654+0.0001188i,-0.00015114+0.0004762i,8.8332e-05-0.00024424i,-0.00012907-0.0007068i,-0.00048123-0.00069237i,-7.8625e-05-0.00066113i,0.00045734-0.00063519i,-0.00032106-0.00060769i,-0.0017167+8.0953e-05i,-0.0013416+0.00027534i,-0.00034369-8.3542e-05i,-0.00060043+0.00025084i,-0.00093662+0.00022338i
-0.0011145-0.00061751i,-0.0015148+5.7959e-05i,-0.0024753-5.545e-06i,-0.0019229+0.00053067i,0.00015453+0.00098421i,0.0011047+0.00052678i,0.0010352+0.00028868i,0.00048183+0.00036909i,-5.6811e-05+0.00049092i,-0.00035931+0.00076342i,-0.00076372+0.00039498i,-0.00023406+0.00024495i,0.00063121+0.00066347i,0.00048993+0.00097299i,-0.00036687+0.00093193i,-0.00059391+0.00014802i,-0.00043851-0.0007646i,-0.00060212-0.00081606i,-0.0001984-0.00060013i,-0.00020912-0.00020172i,-0.00058431+2.9914e-05i,-1.3744e-05-0.00065301i,0.00029822+4.5217e-06i
-0.0013574+0.0015852i,-0.0021361+0.0012335i,-0.0020691+0.0020269i,-0.00063948+0.0025186i,0.00032199+0.0020522i,0.00091075+0.00092124i,0.00073259+0.00013408i,0.00032966+0.00049127i,0.00048674+0.0012413i,-6.1868e-05+0.0014251i,-0.00010449+0.0014001i,0.0002249+0.00092665i,-8.6028e-05-0.00011737i,-0.00010767-0.001019i,-0.00039356-0.0006004i,-0.00079526+0.00040121i,-0.00063366+0.00026198i,-0.00072841-0.00062539i,-0.00093894-0.00098577i,-0.00025614-0.00063781i,-5.3122e-05-0.00016038i,-9.0136e-05+0.00056981i,0.00017237+0.0003482i
0.0013612+0.0019044i,0.00079035+0.00061785i,0.00095107+1.5771e-05i,0.00094646-0.00098412i,0.00042164-0.0019503i,-0.00075891-0.00064469i,-0.0008296+0.0009178i,-0.00029406+0.00038929i,0.00044047-0.00056505i,0.00032201-0.00059164i,-0.0004671-0.0003289i,-0.0003266-1.4922e-06i,-9.095e-05+0.00043018i,-0.0006045+0.00068052i,-0.0009565+0.00047627i,-0.0010019+0.00065867i,-0.00088672+0.00070022i,-0.0010096+0.00069287i,-0.0013466+0.00037896i,-0.00097295+0.00037906i,-0.0005939+0.0014739i,-0.00019977+0.0011573i,-0.0002219+0.00032578i
-0.00074011+0.00038994i,-0.00035163+0.00038102i,-0.00087329+0.00042173i,-0.00056496+0.0011251i,-0.00069443+0.0017021i,-0.00069276+0.0017277i,-8.4678e-05+0.0012036i,0.00045815+0.00051379i,0.00043767+5.6574e-05i,0.00020998-0.00042387i,-5.1527e-05-0.00021187i,-0.00011918+0.00013609i,-0.00035709-0.00013757i,-0.00074244-0.00024058i,-0.00035512+0.00054918i,-0.00024958+0.00089065i,-0.00061221+0.00022077i,-0.00057296-0.00034168i,-0.00095552-0.00022923i,-0.0011604-0.00019676i,-0.00064267-5.4247e-05i,-0.00034838+0.00087754i,-0.00016823+0.0015248i
-0.00099287-0.0011867i,-0.0013043-0.00061177i,-0.0018001-4.7124e-05i,-0.0015799+0.00034384i,-0.0015952+0.0011585i,-0.0013961+0.0013467i,-0.0011354+0.00068457i,-9.2074e-05+0.00040808i,-2.7081e-05+6.8105e-05i,-0.00037264+0.00028078i,0.00040349+0.0007878i,0.0010383+2.2928e-05i,0.00068463-0.00057257i,-0.00014868-0.00041261i,-0.00057947-0.00049879i,-0.00066726-0.00054036i,-0.00034763-0.00084782i,-0.0011599-0.0013865i,-0.0013546-0.0010927i,-0.00022795-0.00073273i,-0.00021047-0.00069372i,-0.00015201-0.00072616i,6.5295e-07-0.00035055i
