-0.004603+0.00099422i,-0.0032184+0.00058513i,-0.0039795+0.0020066i,-0.0023027+0.0028182i,0.00032493+0.0030176i,0.00031482+0.0020686i,-7.7074e-05+0.001886i,-7.5383e-05+0.0020608i,0.00011904+0.00074343i,0.00072365-1.2052e-07i,0.00071563+1.5399e-05i,0.00041882-0.00036269i,0.0004825-0.00086396i,0.00011893-0.0010374i,-0.00027674-0.00099168i,-1.5146e-05-0.00027769i,0.00045365+0.00033896i,0.00092331+7.7777e-05i,0.00082883-0.0001501i,0.00018882-0.00063736i,-9.2151e-05-0.00044069i,0.00022257+0.00020808i,0.00034259+0.0004083i
-0.0020867-0.00048332i,-0.0029115-0.00058313i,-0.0036495-0.00035364i,-0.0019923+0.0013419i,-0.0012105+0.0023299i,-0.00038237+0.0012287i,1.6041e-05+0.00080378i,-0.00088723+0.00092745i,-0.00041706+0.00055893i,0.00011058-4.7818e-05i,0.00021503-0.00055086i,1.8778e-05-0.00016587i,0.00019049+0.00017942i,0.00016004+0.00067103i,-0.00012075+0.00089814i,-0.00013852+0.00049094i,-0.00047606-0.00024336i,3.5767e-05-4.5854e-05i,0.00068646+0.00030468i,0.00063104-0.00036008i,0.00049867-0.00014455i,0.0005838+0.00066203i,0.00053566+0.0001364i
0.00051206+0.0024361i,0.00012851+0.0037047i,0.0009175+0.0036973i,0.0013435+0.0022178i,0.00061579+0.00080289i,-0.00033564+3.8077e-05i,-0.00057347-2.8151e-05i,-0.00087418+0.00014882i,-0.00048954-4.1401e-05i,0.00027095-0.00026663i,-0.00023424-0.00076247i,-0.0010722-0.00058971i,-0.0014843+8.5826e-05i,-0.001454-0.0003638i,-0.0010063+7.7408e-05i,-9.5731e-05+0.00074431i,0.000396+0.00080374i,0.00034637+0.00057816i,0.00024388+8.3434e-06i,6.8043e-05+8.6627e-05i,-7.211e-05+0.00058661i,-9.0996e-06+0.00059375i,0.00018774+6.8046e-05i
0.0016279+0.0017104i,0.0020226+0.00099282i,0.0025779-0.00021076i,0.001629-0.00041627i,6.5776e-05-0.0006353i,-0.0011289-0.00074987i,-0.00056766-0.001025i,-0.00023305-0.0013317i,-0.00092666-0.00048473i,-0.001162-0.0002227i,-0.00096551+4.0248e-05i,-0.00052396-4.4444e-05i,-0.00042582-0.00023105i,-0.00065972-0.00038107i,0.00014206-0.00096476i,0.00088285-0.00073824i,0.00072164-4.022e-05i,0.00012216+9.7905e-05i,-6.8013e-05+0.00034078i,-6.8884e-05+0.00060724i,-0.00020696+0.00047829i,-0.00013751+0.0002454i,0.0001779-0.0006363i
0.00066373+4.4738e-05i,0.00056324+0.00059929i,0.00032467+0.00043044i,-0.00087691+0.00023844i,-0.0016622-0.00066475i,-0.001154-0.0015168i,-0.00094039-0.0013632i,-0.00078697-0.00068471i,6.6184e-05-0.00018067i,0.00039086-0.00023133i,0.00026844-0.0001161i,-5.5553e-05+0.00033121i,-0.00059078+0.00040475i,-0.00061992+3.1313e-07i,-6.188e-05-0.00017945i,-0.00049117-0.00013285i,-0.00098356-4.9375e-05i,-0.0010229+0.00030683i,-0.00051649+0.00032262i,-0.0004207-0.00035051i,-0.00060192-0.00066349i,5.715e-05-0.00042701i,0.00014324-0.00031408i
-1.9025e-05+0.0010077i,-0.00081793+0.00094743i,-0.00048041+0.0014106i,5.3699e-05+0.0010593i,0.00038675+0.00026197i,-5.4894e-05-0.00097445i,-0.00057426-0.00067177i,-0.00083904+0.00029456i,-0.00063676-0.00026735i,6.3515e-05-0.00054046i,0.00032176-0.00011131i,-0.0002215+2.7173e-06i,-0.00067212-0.00022819i,-0.00052205+0.00029487i,-0.00071811-0.00018772i,-0.00045945-0.00091138i,-0.00013892-0.00072594i,-0.00011448-0.00052631i,0.00028409-0.00048281i,0.00036541-0.0010132i,0.00015446-0.00047043i,0.00022702+0.00027802i,-0.00064891+0.00030563i
-0.0015179+0.0009707i,-0.0025826+0.0019791i,-0.0035926+0.0023387i,-0.0021677+0.0018477i,-0.00013624+0.0011073i,0.00091324-0.00010667i,0.00038137-0.00037649i,-0.0003481-4.4711e-05i,-0.00038253-0.00023024i,-0.00021669+0.00011351i,-0.00035836+0.00026512i,-0.00047369-0.00011704i,-0.00087921-0.00060214i,-0.00071397-0.00099579i,-0.00031803-0.00025226i,-0.00052212-4.0336e-05i,0.000358-0.00069982i,0.00086997-0.00039962i,0.00011346+0.00049694i,-9.8048e-05+0.00039101i,7.1939e-05-0.00029551i,5.2986e-05-0.00032912i,0.00044565+9.6112e-05i
1.7574e-05+0.0021249i,0.0007078+0.0014305i,0.0012045+0.0016977i,0.0012349+0.0027011i,0.0015742+0.0020035i,0.0017999+0.00036834i,0.0014687-0.00076839i,0.00054513-0.0012979i,-0.00051421-0.00078918i,-0.00077441-0.00026994i,-0.00040562+8.7713e-06i,-0.00016977+0.00046965i,5.7074e-05+0.0004256i,-0.00039135+0.00022835i,-0.001588+0.00059867i,-0.0014383+0.00038672i,-0.00061828+0.00028631i,-9.2922e-05+0.00019693i,0.00028759+1.5102e-05i,-0.00019188+0.00014584i,-0.00046233+1.1171e-05i,-9.8853e-08+0.00011729i,0.00023446+0.00017226i
0.00073668-0.0011727i,0.00031905-0.00097693i,-0.00089036-0.00035295i,-0.00073799+0.00027533i,-0.00078907+0.00078721i,-0.00073817+0.00047332i,-0.00021998-0.00019051i,0.00029109-0.00058143i,0.00076775-0.00016908i,0.00031717+0.00095914i,-0.00094536+0.00043856i,-0.0016283-6.2141e-05i,-0.00087262+0.00081715i,-0.00014014+0.0005456i,-0.00012357-0.00023795i,-8.6674e-05+0.00013601i,0.00015617+0.00031095i,-4.3974e-05-0.00038452i,0.00032307-0.00103i,0.00070026-0.001049i,0.00043481-0.00085364i,0.00087979-0.00064501i,0.0010587+0.00010667i
-0.0025509+0.00031992i,-0.0017701+0.00022122i,7.1905e-05+0.0014881i,0.0008973+0.0021997i,0.00085239+0.0020789i,0.0002125+0.0012425i,0.00029338+3.1678e-05i,0.0006311-0.00046243i,-0.00012673-0.00026719i,-0.00035439+0.00023147i,1.5156e-06+0.00012441i,-9.626e-05+1.6902e-05i,-0.00053302+0.00054356i,-0.00077919+0.0010248i,-0.00069713+0.00051355i,-0.00082614-0.00020993i,-0.00079992+1.4901e-05i,-0.0002764-0.00016511i,-6.4988e-05-0.00044848i,9.6097e-06-0.00038012i,-1.3237e-05+7.5791e-05i,-0.00042439-0.00044846i,-0.00068661-0.0012173i
-0.00091832+0.00081414i,-0.00048308+0.00073504i,-8.566e-05+0.001046i,0.00023356+0.0014284i,0.00025836+0.00057179i,0.0004315-0.00081908i,-0.00025633-0.0010657i,-0.00076831-0.00065831i,1.1377e-06-0.00054062i,-0.00047329-0.00027616i,-0.0010589-7.0667e-05i,-0.00077088-0.0001872i,-0.00020421-4.7775e-05i,0.00055122+0.00018702i,0.00038202+0.00040976i,0.00024479+0.00031855i,0.0007052+0.00046831i,0.00014896+0.00056339i,-0.00033948+0.00059875i,-0.00024017+0.00097602i,0.00018887+0.0011668i,6.5355e-05+0.00072331i,-0.00012665+0.00041603i
-0.00046347-0.00080633i,-0.00083725-0.00014836i,-0.0002414+0.00090533i,0.00070958+0.00035646i,0.00090183+0.00063626i,0.0002197+0.00054756i,-0.00057536-1.4605e-05i,-0.00072079+0.00044161i,-0.00063661+0.0009014i,-0.0002579+0.00078393i,-5.3106e-05-2.069e-06i,-0.00012432-0.00097599i,0.00017071-0.00040745i,0.00021761+0.0006574i,0.00066373+0.00064281i,0.00053433-0.00017877i,0.00010038+4.8262e-05i,5.2645e-06+0.00045511i,-0.00030848+0.00036529i,-0.00085814+0.00071918i,-0.00069175+0.00086i,-7.6061e-05+0.00036828i,0.00032888+4.9527e-05i
-0.00018093-0.0019471i,-0.0010226-0.0024319i,-0.0012787-0.0021793i,-0.0015061-0.0002741i,-0.0013004+0.0003469i,-0.0011228+0.00015344i,-0.0011372-0.00032156i,-0.00016222-0.00012954i,-0.00010349+5.7527e-05i,-0.0002374-0.00010276i,-0.00048591+4.5265e-05i,-0.00090781+0.00035278i,-0.00059056+0.00083141i,-0.00023067+0.00025079i,1.8508e-05-0.0007148i,-0.00031666-0.00032426i,-0.0007133-0.00027372i,-0.00025624-0.000246i,-0.00015016+0.00018113i,0.00015121+0.00076718i,0.00031359+0.00095856i,0.00038578+0.00081106i,0.00024717-0.00032424i
-0.0017872+0.0033932i,-0.00086977+0.0038781i,6.3615e-05+0.0040713i,0.00074229+0.0020929i,0.0016324-0.00017245i,0.0017138-0.00099546i,0.00062062+1.7516e-05i,3.3149e-05+0.00077383i,0.00041587+0.00059211i,-6.832e-05+0.00028572i,-0.00010303-9.4214e-05i,8.9926e-06-0.00081742i,-0.00049778-0.00093574i,-0.00014464-0.0012874i,0.00055116-0.0011288i,0.00088903-0.00018812i,0.00033653+8.1516e-05i,-6.3886e-05+3.7126e-05i,-6.64e-05+0.0002437i,0.00031446+0.00048137i,0.00021982+0.00041679i,-0.00017522+0.00080572i,-0.00023987+0.0014077i
0.0020839+0.00021359i,0.0012428-0.000156i,-0.00035496-0.00073028i,-0.00097045-0.00093729i,-0.00066646-0.001424i,-0.00013934-0.0022169i,-8.6775e-05-0.0016179i,4.6813e-05-0.00043349i,-0.00021259+0.00013236i,-0.00040963+0.00082404i,-0.00034085+0.00068337i,-0.0009767+0.0002055i,-0.0011411-0.00054792i,-0.00036868-0.0010729i,-0.0006796-0.0009001i,-0.0008314-0.00078298i,-0.00098717-0.00019899i,-0.0017367+8.225e-06i,-0.0013272-0.00019463i,-0.00059609-0.00044505i,-0.0003796-0.00048446i,-0.00054143-0.0001731i,-0.0006739+0.00033964i
-0.0014441+0.0016743i,-0.0022113+0.0024065i,-0.0012444+0.0030792i,0.0002472+0.002488i,0.00057313+0.0014701i,-0.00019736+0.00084507i,-0.00080022+9.5826e-05i,-0.00092147-0.0003947i,-0.00043538-0.00086235i,0.00044485-0.00016247i,0.0014442+0.0005573i,0.0014971+0.00012966i,-6.1315e-05-0.00055298i,-0.00072554-0.0009774i,-0.00025929-0.00029186i,-0.00075303+0.00030706i,-0.00073405+4.8504e-06i,-0.00038997-0.00041009i,2.1413e-05-0.00095491i,0.00040587-0.00088645i,4.9135e-05-0.00020975i,-0.00062554-0.00017454i,-0.00027945-4.0521e-06i
-0.001367+0.0018718i,-0.00057008+0.00081738i,-0.00010013+0.0012356i,4.2439e-05+0.0021968i,0.00070749+0.0012774i,0.00050998-9.6591e-05i,0.00087044-0.00043027i,0.0014048+6.0788e-05i,0.0016897+0.00031369i,0.0010044+1.7697e-05i,7.1776e-05-0.00044556i,-1.4791e-05-0.00027323i,0.00024878+0.00016734i,-9.2961e-05-0.00040489i,-0.00076312-0.00058965i,-0.00066311+0.00027689i,-0.00039199+0.00046593i,-0.00014242-0.00049635i,1.699e-05-0.00074465i,0.00011896+3.3091e-05i,0.00041618+0.00028523i,-0.00030241-2.0383e-06i,-0.00055276+6.3388e-05i
-0.00054759+0.0011785i,-0.0011608+5.6034e-05i,-0.0013625-8.5426e-05i,-0.00080646+0.00082844i,-0.0010899+0.00058772i,-0.0006393+0.00056671i,-0.00033828+0.00099593i,-0.00085339+0.00068463i,-0.00081646+0.0002046i,-0.0005851+0.00025309i,-0.00066668-0.00064159i,-0.00037606-0.00086239i,-0.0001395+0.00026879i,-6.7811e-05+0.0004339i,-0.00012062+0.0001212i,-0.000541-0.00038807i,-0.00054339-0.00078235i,-0.00029848-0.00046093i,0.00019732-0.00048164i,0.00030996-0.00027752i,5.8839e-05+0.00032241i,-6.7797e-05+0.00063002i,-7.2469e-05+0.00028247i
-0.0027863+0.0016922i,-0.0022632+0.0027284i,-0.0017438+0.0039454i,-0.00060436+0.0040112i,0.00076034+0.002968i,0.0010019+0.0006469i,-3.338e-05-0.00032758i,9.502e-05-6.0242e-05i,0.00036714-0.00019034i,-0.00020102-0.00029792i,0.00031988+4.2504e-05i,0.00028055+0.00039525i,-0.00018129+0.00011682i,-0.00061389-0.00063304i,-0.00044117-0.00055053i,-0.00038736+0.00044619i,-0.00088243+0.00037531i,-0.00031585+0.0003492i,-0.00022799-0.00029071i,-0.00012528-0.0014647i,0.00010912-0.0013216i,0.00055703-0.00064267i,0.00062939-0.00063613i
0.0020918-0.0025355i,0.0018306-0.0028582i,-0.00016806-0.0020352i,-0.00087389+9.8883e-05i,-0.0019753+0.0010317i,-0.0019042+0.00062702i,-0.00047012-0.00036931i,0.00041937-0.00077836i,0.00075245-0.00010341i,-0.00012287+0.00063428i,-0.00074196+0.00060303i,-0.00026799+0.00010872i,0.00021678-0.00049179i,0.00040276-0.00022699i,0.00052418+0.00032069i,8.9648e-05+0.00020534i,-0.00074366+0.00026423i,-0.00032589+0.00070593i,0.0007178+0.0014026i,0.00077993+0.00028202i,9.9017e-05-0.0003897i,0.00016642+0.00048439i,0.00018346+0.00065151i
-0.0020154+0.00052041i,-0.0024675+0.0014363i,-0.0016952+0.0021214i,-0.00010352+0.0015085i,0.00077531+0.00033758i,0.00017466-0.00035694i,-0.00012828-0.00018635i,-0.0001262+0.00052902i,-0.00062616+0.00067844i,-0.00046806+0.00097606i,0.00040608+0.00089622i,0.00073143-0.00022631i,0.00044921-0.00026705i,4.1903e-05-0.00013766i,0.00078821-0.00062223i,0.00077096+0.00039949i,-0.00081141+0.0011788i,-0.0008148+0.00035793i,-0.00062822-0.00029878i,-0.00088476-0.00017324i,-0.00032685-0.00042436i,-4.2828e-05-0.0009108i,0.00052929-8.2638e-05i
-0.0015939+0.0022328i,-0.0021693+0.0019757i,-0.0012532+0.0023784i,-3.9252e-05+0.0018822i,0.00058395+0.00027253i,1.8139e-05-0.00078293i,-0.00080103-0.0013008i,-0.00077716-0.0011272i,-0.00073403-0.00027073i,-0.00013272-5.4924e-05i,0.00072191-0.00011862i,0.00039545+0.00050377i,-4.3903e-05+0.00029613i,5.2566e-05-0.00013124i,-0.00010792+1.3334e-05i,0.00012016+0.00032038i,0.0004981+0.00057508i,-7.0521e-05+0.00062853i,-0.0004218+0.00022349i,-0.00010486+0.00016848i,-0.00040679-8.6152e-05i,-0.00039758-0.00035598i,-0.00047074+6.3003e-05i
0.0016527-0.00096508i,0.0017694-0.00046251i,-0.00033369-0.00058669i,-0.0011971-0.00030083i,-0.0012949+0.00040399i,-0.0010355+0.0012856i,-0.00035761+0.0010504i,-0.00064074-8.472e-05i,-0.00038566-0.00074773i,8.2445e-05-0.00041752i,0.00019971+0.00027777i,-0.00060339+6.0792e-05i,-0.0011738+0.00023252i,-0.00076657+0.0011373i,-0.00016263+0.001741i,-0.0001271+0.0017585i,-0.00027306+0.00046987i,6.5047e-06-0.00071467i,0.00023332-0.00083778i,0.0007197-0.000711i,0.00062794-0.00060582i,-3.9441e-05-0.00047789i,0.00031895-0.00011291i
-0.0010904+0.0015804i,-0.00062734+0.001451i,0.00036085+0.001047i,0.0010757+0.001272i,0.00057869+2.1038e-05i,-0.00019514-0.0012839i,-0.00037195-0.00079845i,0.00028496-0.00011409i,-2.7526e-05+0.00052501i,-0.00049456+0.00078061i,-7.9034e-05-0.00027157i,-0.00039662-0.00050676i,-0.00067752+0.00022771i,-6.1388e-05-0.00065364i,0.00045355-0.00071954i,0.00015011-0.0002866i,6.6688e-06-0.00054525i,0.00054191-0.00096437i,0.00063472-0.0014718i,0.00072049-0.00062409i,0.00048986+0.00026466i,0.00021175+0.00059702i,2.6695e-05+0.00089535i
6.2897e-05+0.0024169i,-0.00055465+0.0021552i,-0.00032013+0.0018476i,0.00043412+0.0010396i,-0.00020775+0.00056736i,-0.0011063-0.00029925i,-0.00042246-0.00062927i,-0.00024701-0.00019571i,-0.0008143+0.00024073i,-0.0014085+0.00083164i,-0.0019622+0.0007116i,-0.0009019+0.00013256i,0.001162-5.517e-05i,0.0011698-0.00010822i,-0.00017218+0.00037354i,-0.00041951-0.00012081i,0.00070947-0.00042743i,0.0014429+0.00017592i,0.0012525+0.00034297i,0.00044511+0.00028947i,-0.00014748+0.00042671i,-0.00035627-5.1349e-05i,-0.00065018-0.00046158i
0.0034878+0.0025137i,0.0045745+0.0012158i,0.0039592+0.00060747i,0.0028189+0.00026675i,0.0018986-0.00022664i,0.00069219-0.00090821i,0.00045999-0.00080613i,-0.00016531-0.00011258i,-0.0011707+0.00080972i,-0.0012622+0.00057615i,-0.0013715+0.0001194i,-0.0013458-0.00020935i,-0.001211-0.0010091i,-0.0011486-0.00071646i,-0.00049971-0.00037724i,-5.5495e-05-0.00027536i,-0.00037984-0.00051982i,-0.00023509-0.0008486i,0.00038343-0.0004536i,0.00048467-0.00050937i,0.00044261-0.00079649i,-0.0001525-0.00067918i,-0.00018038+0.00020632i
-0.0029423-0.00083118i,-0.0040066-0.00089444i,-0.0037478+0.00014194i,-0.0023158+0.0019479i,-0.00098899+0.0018559i,-0.0011075+0.00171i,-0.00088069+0.0017542i,-0.00020906+0.0011943i,-0.00031621+0.00069812i,-0.0009672-0.00012528i,-0.0012078-0.00025657i,-0.0011079+0.00044047i,-0.00033167+0.00029032i,-0.00043002-0.00050496i,-0.0010383-0.00085461i,-0.00030246-0.00093539i,-0.00020965-0.00052685i,-0.00031309+5.3169e-05i,-0.0001327+0.00044689i,-0.00033813+9.5796e-05i,-0.00066707-0.00036509i,-0.00062847-0.00026684i,-0.00032573-7.6485e-05i
-0.0015613+0.0025232i,-0.0016237+0.0027173i,-0.0017836+0.0025858i,-0.00082263+0.0028836i,0.0011807+0.0028765i,0.0017387+0.0014056i,0.0012069-0.00075488i,0.00075956-0.00089157i,2.3027e-05-0.00031986i,-0.00048835-0.00023899i,-0.00019382+0.00032687i,-0.00018479+0.00057612i,-0.00010275+8.257e-05i,-0.000224-0.00017443i,-0.00065428+7.0324e-05i,-0.00061649+0.00054419i,-0.00072324+0.00077432i,-2.9769e-05+0.0006491i,0.00031029+0.00059147i,-0.00050449+0.00032392i,-0.0010318+0.00012387i,-0.00093884+0.00025496i,-0.00052145+0.00034684i
-0.00093347-0.00026529i,-0.0017418-0.00067294i,-0.0022752+0.00038761i,-0.0021604+0.0014965i,-0.0015581+0.001289i,-0.00067432+0.00021251i,-0.00026818-0.00027695i,4.2797e-05-7.2779e-05i,-0.0001047-0.00025058i,-0.00058781-0.00050171i,-0.00062129+9.0707e-05i,-7.4782e-05+0.0001237i,7.6498e-05-0.0003895i,-0.00070101-0.00051304i,-0.0013624+1.9546e-05i,-0.0011673+0.00035148i,-0.0009255-0.00034838i,-0.00035416-0.0012004i,0.00023557-0.0010918i,0.0002467-0.00073927i,0.00024744-0.00043373i,0.00021581-1.5028e-05i,9.6474e-05+0.00051872i
-0.00078925+0.001768i,-0.0012534+0.0022737i,-0.0014331+0.00222i,-0.00040659+0.0015942i,0.00031011+0.00020229i,-9.0164e-05-0.00079999i,-0.0005021-0.0010227i,-0.0004861-0.00063699i,-0.00023805-0.00016304i,0.00038962-0.00037074i,0.00021142+0.0001116i,-0.0008348+0.00064994i,-0.0005396+0.00014188i,-6.5382e-05-0.0008315i,-0.00033833-0.0010481i,-0.00061526+0.00036906i,-7.2874e-05+0.00013575i,0.00030632-0.00070732i,-2.0427e-05-0.00041868i,0.00024734+0.00021397i,0.00024468+0.00017807i,5.1082e-05-3.2493e-05i,5.2214e-05-8.2247e-06i
-0.0011043+0.0016603i,-0.002053+0.001557i,-0.0023527+0.0020516i,-0.00040835+0.0029839i,0.00093002+0.0023164i,0.00093091+0.00050295i,-0.00033434+0.0005172i,-0.0012708+0.00042348i,-0.00070875-8.0229e-05i,-0.00048401-0.00092087i,-0.00044753-0.0011074i,-0.00018304-0.0003284i,-0.0005937-4.8464e-05i,-0.00076231+0.00047842i,0.00036432+0.00093702i,0.00034248+0.00088931i,-0.00077715+0.00092886i,-0.00091998+0.00090404i,-0.000413+0.00081023i,-0.00024128+0.00034265i,-0.00013694-1.5339e-05i,9.1545e-05+1.7064e-05i,0.00011655+0.00042502i
-0.0022709-0.0012188i,-0.0033851+0.0004189i,-0.003045+0.0023982i,5.3431e-05+0.0029418i,0.00072158+0.0025312i,-0.00062533+0.0019746i,-0.0014253+0.0013381i,-0.0012903+0.00011429i,-0.00075658+4.1997e-05i,-0.00045183-1.2243e-05i,-0.0013349-0.00046779i,-0.0014774-0.00048751i,-0.00043487-0.0001323i,-0.00040973-0.00016613i,-0.00072471+0.00056212i,-0.00019615+0.0012048i,-0.00013694+0.00080285i,-0.00061291+0.00039322i,-0.00023164+0.00027253i,0.00092506+0.00045391i,0.00094423+0.00028435i,0.00015956-0.00056468i,-0.00076792-0.00054584i
0.00013361-0.00012672i,-0.00012673+0.00065787i,-0.0002594+0.0015621i,3.7246e-05+0.0021415i,0.00043848+0.00101i,0.00050837-0.00045562i,-2.6776e-05-0.0010217i,-0.00085726-0.00064522i,-0.0011817-0.00021593i,-0.00079621+0.00044838i,1.9626e-06+0.00083292i,0.00024446+0.0003014i,0.00039167-0.00075588i,0.00022024-0.0011346i,1.8683e-05-0.00031828i,0.00014203+0.00078947i,1.2579e-06+0.0012339i,-0.00047421+0.00066603i,-0.00077087+0.00022946i,-1.8993e-05+0.0006735i,0.00063305+0.0007386i,0.000107+0.00048i,-0.00050309+0.00034897i
0.00026635+0.0001407i,-8.3285e-05+0.001207i,-0.00029889+0.0019007i,-0.00087562+0.00031021i,-0.0014067-0.00081027i,-0.0012409-0.0014964i,-0.0010559-0.00091104i,-0.00097106-0.00073596i,-0.00042754-0.00089515i,0.00026058-1.8317e-05i,0.00025954+0.00027095i,-0.00047661-0.00017441i,-0.00064046+0.00013626i,-0.00056534+0.00070494i,-0.00048453+0.00016219i,-0.00027906-0.00069613i,-0.0003268-0.00078321i,-0.0012618-0.00023939i,-0.0015794+4.0939e-06i,-0.0010039-0.0010048i,-0.00050176-0.0011887i,0.00028884-0.00063913i,0.00067641-0.0007852i
-0.0020335-0.00078521i,-0.0026126-0.0007723i,-0.0022856+0.00043636i,-0.00033278+0.001473i,0.00093493+0.0019317i,4.1202e-05+0.00085806i,-0.00033361+0.00013588i,-0.00064063+0.00042588i,-0.00095276+0.00054006i,-0.00012303+0.00086618i,0.00019609+0.00060635i,-0.00017491-0.00017233i,0.00045095-0.0001332i,0.00019303+7.6422e-05i,-0.00048465-0.00017946i,-0.00026403-6.3464e-06i,0.00025752+0.00011174i,0.00024638+0.00014982i,-8.8562e-05+0.00021027i,-0.00033035+7.7727e-05i,-0.00055108-5.3507e-05i,-0.0010755-0.00062677i,-0.00092611-0.00071906i
0.00024946+0.0037839i,0.00013045+0.0040652i,0.00010685+0.0024045i,0.00061605+0.0011705i,0.0019425+0.00075554i,0.001177-0.00017766i,-0.00068924-0.00045493i,-0.00081898-5.7832e-05i,-1.6881e-05+0.00022357i,0.00051099+0.00026349i,0.00069122+0.00035834i,0.00021252+0.00032866i,-0.00034333-1.0985e-05i,-0.00073376-0.00031227i,-0.0014945-0.00018391i,-0.0012178-0.00012876i,-0.00015294-0.00021157i,0.00059985-0.00017415i,0.00033074-0.00025551i,-0.00079721-0.00017941i,-0.0012188+0.00011798i,-0.00061467+0.00019911i,0.0002318-0.0001124i
0.00098692+0.001224i,0.0010195+0.00094379i,0.0015938+0.00086222i,0.000965+0.00033488i,-4.14e-05-0.00057762i,-0.00057203-0.00066398i,-0.00083303-0.00055513i,-0.00079445-0.0004923i,-0.00049971-0.00036614i,0.00016361-0.00040382i,0.0003801+4.7832e-05i,0.0005932+0.00020386i,0.0001001-0.00013583i,-0.00093756-0.00030213i,-0.00085516-0.0004143i,-0.0006303-0.00060014i,1.7248e-05-0.00034876i,0.00049867-0.00029639i,0.00046792-0.00018856i,0.00067073+0.00073394i,0.00046695+0.00064874i,-0.00010751-0.00033519i,-0.00032275-0.00044651i
0.0010632+0.0017833i,-2.1368e-05+0.0020509i,4.9446e-05+0.0013668i,0.00065478+0.00024546i,0.00035005-8.4071e-05i,-0.00038308+0.00067603i,-0.0010586+0.00066126i,-0.00066021+4.0567e-05i,0.00014791+4.3756e-05i,0.00068917-0.00014458i,0.00086759+0.00021921i,-0.00025206+0.0010939i,-0.001256+0.00079173i,-0.0015188+0.00059299i,-0.00075315+0.00068862i,-0.0002575+0.00090873i,-0.00027019+0.00083354i,-7.8986e-05-0.00041787i,0.00010143-0.00063002i,-2.7422e-05-2.6856e-05i,-0.00018662+0.00020496i,-0.00022192-0.00026805i,-0.00017048-6.3986e-05i
-0.001555+0.00069793i,-0.00080673+0.00076507i,0.0011453+0.00057661i,0.00070326-1.931e-05i,-0.00050828+0.00040944i,-0.00013565+0.00019783i,0.00035331+6.7652e-05i,0.0003167+0.00055013i,-0.00052155+0.00030806i,-0.00063016-0.0010119i,3.5663e-05-0.0013738i,-0.00039992-0.00084822i,-0.0014087-0.0003406i,-0.000718-6.3497e-05i,0.00079867-0.00068852i,0.00055687-0.00060423i,-0.00042318-0.00056682i,-0.00046093-0.00041187i,0.00032905+0.00050256i,0.0002271+0.00022031i,-0.00020612-0.0002971i,-0.0001873-0.00036315i,0.00027952-9.7749e-05i
-0.00035793+0.0016261i,-0.0016293+0.0028377i,-0.00079488+0.0036793i,0.0013387+0.0023185i,0.001454+0.0013115i,0.00063049+0.001531i,-0.00018506+0.0011799i,-0.00013156+0.00077713i,0.00073121+0.00019953i,0.00063205-0.00037922i,-0.00031734+0.00017623i,-0.00026724+0.00081849i,-8.9385e-05+8.902e-05i,-0.00082845-0.000278i,-0.00059598+0.00036476i,-0.00013831+0.0006989i,-0.00036449+0.00062614i,-0.00038474+6.3989e-05i,-0.00036133-0.0005646i,0.00012874-0.00057106i,0.00060471-0.00026972i,0.00069518+0.00032768i,0.00039253+0.0010581i
-0.0015849+0.0034184i,-0.0014395+0.0041163i,0.0016777+0.0042319i,0.0030979+0.0030015i,0.0034217+0.0014218i,0.0026028-0.0010689i,0.0011336-0.0014503i,0.00049291-0.00037608i,0.00034713+0.00028327i,0.00086733-0.00057046i,0.0015401-0.0011856i,0.00074734-0.0012794i,-0.00032492-0.0016705i,-0.0003965-0.0013528i,-0.00089207-0.00084846i,-0.0015444-0.00032427i,-0.0012067+0.00062246i,-0.00016673+0.00044752i,0.00053624-3.4876e-05i,-4.6744e-05-9.9733e-05i,-0.0010475-0.00036081i,-0.0012666-7.6142e-05i,-0.00089829+0.00078191i
0.001422-0.0094619i,0.0025757-0.012707i,-0.0046146-0.012488i,-0.0098677-0.0041242i,-0.010132+0.0037179i,-0.0046461+0.0062101i,0.00025952+0.0033241i,0.00050882+0.00037068i,-0.00066851-0.00052624i,-0.0022079+4.9263e-05i,-0.0018294+0.00089036i,0.0001386+0.0013025i,0.0014059+0.00096983i,0.0030035+0.00075139i,0.003109+0.00081463i,0.0014788+0.00035652i,-0.00091352-0.00022253i,-0.0017108-0.00065982i,-3.336e-05-0.00040449i,0.00059158-0.00023643i,0.00012975-0.00082313i,9.4855e-05-0.0015268i,-0.0002647-0.0011794i
0.0018933-0.0046527i,0.0017677-0.0049914i,-0.00099026-0.0045865i,-0.0026187-0.0033365i,-0.0023698-0.0014214i,-0.0014871+0.00058009i,-9.3279e-05+0.00054207i,0.0010206-8.4844e-05i,0.00038529-0.00044808i,-0.0011278-0.0005048i,-0.0011633+0.00042776i,-0.00012351+0.00081484i,0.00041448+0.00029781i,0.00046109+6.994e-05i,0.00044712-0.00013061i,-0.00073298-0.00054128i,-0.00099563-0.00054214i,-0.00018818-7.7078e-05i,9.8549e-05-0.00011619i,0.00035125-5.4832e-05i,0.00039675+0.00035197i,0.00023838+0.00028001i,0.00023366+0.00023366i
