-0.00021779-0.0005998i,-9.8788e-05-0.0012811i,-0.0012628-0.00097194i,-0.0015051-0.00011614i,-0.0013324+0.00075164i,-0.00040506+0.0014372i,0.00012384+0.001111i,-0.00044936-0.00019918i,-0.00037727-0.0016732i,0.00010432-0.0012782i,0.00050098-0.0011644i,0.00086271-0.0018765i,0.00027115-0.0012778i,-0.00043592-6.17e-05i,-0.00056846+0.0008606i,-0.00070176+0.0008273i,-0.00031507+0.00096799i,0.00032853+0.00071749i,0.00086504-0.0001221i,0.000455-0.00052309i,-1.13e-06-0.00035515i,0.0003975-0.00010792i,0.0011051+0.00046848i
-0.00056428+0.00028712i,-0.00070458+0.00038492i,-0.001418+0.00057245i,-0.00083789+0.00056589i,0.00086352+0.0011357i,0.00065808+0.00099345i,-0.00030235+0.00023838i,-0.00042948-0.00087574i,-0.00076578-0.0015184i,-0.00075496-0.00156i,0.00011289-0.0012689i,0.00081087-0.00056507i,0.00070728-0.00026959i,0.00031985-0.00029134i,0.00012542-0.00016529i,-0.00091223-0.00023551i,-0.0010709-2.5704e-05i,-0.00056531-0.00011079i,-0.0012445-0.00032269i,-0.0012731-0.00072117i,-0.00065677-0.0010484i,-0.00051549-0.00073688i,-0.00013179-0.00030357i
0.0019743-0.00049955i,0.0021804-0.00050143i,0.0013163-0.00098535i,0.00019937-0.00048058i,4.3185e-05-0.00013035i,0.00053866+1.1969e-05i,-4.5176e-05-0.00055775i,-0.0005124-0.0011849i,0.00019392-0.00070262i,0.00072845-0.00045431i,0.00061265-0.00076634i,0.0001083-0.00079789i,8.0665e-05-0.00019756i,0.00052608+0.0003489i,0.00051854+4.5917e-05i,0.00020556-0.00016281i,4.6798e-05-0.00069252i,3.3372e-05-0.00090906i,-0.00012357-0.00025106i,-0.00039932+8.5643e-05i,-0.00055458-4.8455e-05i,-9.3127e-05+0.00030422i,0.00021602+0.00025327i
-0.0018955-0.00042997i,-0.0014192-0.00039091i,-0.00079107-0.00020728i,0.00011701+0.00053787i,0.00030519+0.00099873i,0.00022021+0.00066156i,-3.9307e-05-0.00019963i,-3.6278e-05-0.0019107i,-0.00017444-0.0025178i,-0.00042728-0.00072531i,-0.00037587+0.00015266i,-0.00059116+0.00025007i,-0.00094732+0.0002873i,-0.00064645-0.00018311i,-2.7977e-05-0.00031591i,-0.00018625+0.00021658i,-0.00074281+0.00093276i,-0.00090694+0.00070005i,-0.00062806-0.00033357i,-0.00041375-0.00048636i,-0.00019599+0.00020557i,-8.3044e-05-0.00058755i,0.00062507-0.0014386i
0.00012748+0.00021804i,-0.00079611+9.1601e-05i,-0.00069053+0.00017289i,-0.00045893+0.00018763i,-7.4841e-05-0.0001799i,5.6037e-05-0.0005864i,8.9071e-05-0.00045076i,-1.3114e-05-0.00065775i,-0.00011323-0.0018904i,0.00036896-0.0013422i,0.0008743-3.4025e-05i,0.0007546+0.00089342i,0.00042123+0.0013716i,-0.00023137+0.0010236i,-0.00031723+0.00027676i,9.7108e-05+0.00013157i,0.00012818+0.00050803i,-0.00041537+1.0482e-05i,-0.00065609-0.0012832i,-0.00078406-0.0014505i,-0.00091121-0.0010884i,-0.00025336-0.0010367i,-7.7646e-05-0.00084827i
0.00019951-0.00034735i,0.00050835+0.0003082i,0.00086438+0.00045463i,0.0005686-0.00042863i,0.00032219-0.00076438i,0.00067463-0.0010414i,0.00012347-0.00050812i,-0.00034642-0.00040941i,-0.00017713-0.0013844i,0.00013091-0.0014855i,0.00036285-0.00060707i,0.0005667+0.00014159i,0.00058508+0.00059115i,-6.6762e-05+0.0013862i,-0.00018993+0.0013363i,-0.00010731-0.00016362i,4.3692e-05-0.00068719i,-0.00021267-0.00020007i,-0.00022912+9.8899e-05i,-0.00054398+0.00018493i,-0.00074547+0.00017921i,-0.00021605-0.00016676i,7.492e-06-0.00040294i
-0.00099671-0.00018845i,-0.00088016+0.00037557i,-0.001691+0.00013035i,-0.0017902+0.00091034i,-0.00074124+0.0016321i,0.00054825+0.00096069i,0.0013365-0.00054873i,0.0010945-0.0010331i,0.00036395-0.0012664i,-0.00017064-0.00082628i,-0.00032071-5.1156e-05i,0.00010141-8.4414e-05i,0.00023859-0.00052194i,2.6643e-05-0.00047329i,-0.00016633-0.00052614i,0.0003694-0.00015128i,0.00042271+0.00027532i,0.00044912+0.00015296i,0.00031449+7.518e-05i,-8.2766e-05-3.2456e-05i,-0.00049555-0.00018382i,-0.00044422-0.00059459i,-0.00033497-0.0011451i
0.000718-0.00053573i,0.0010858-0.00080959i,0.00094508-0.00056067i,0.0004195+2.1246e-05i,1.5184e-05+0.00043813i,0.00023943+0.00052261i,0.00060713-5.7151e-05i,0.00065659-0.00078302i,0.0001632-0.00064139i,-0.00012797-0.0004428i,-0.00047213+8.5885e-07i,-0.0013726+0.00025254i,-0.0015532-0.00032611i,-0.0011619-0.0001123i,-0.00078825+0.00030919i,1.7886e-05-0.00037116i,0.00067804-0.00067002i,0.00048464-0.00020441i,0.00023524+0.00018889i,-0.00037851+0.00075811i,-0.00088733+0.00065131i,-0.0011238-0.00013064i,-0.00098139-2.662e-05i
0.00064878+0.0011667i,-0.00018687+0.0019104i,0.00050673+0.0018791i,0.0010625+0.00070656i,0.00030034-7.4017e-05i,-0.00068037-0.0003338i,-0.00020143-0.00060333i,0.00014082-0.0011649i,-0.00024503-0.0021472i,-0.00072701-0.0020036i,-0.0004052-0.00015223i,0.00054403+0.0004339i,0.00056355-0.00048471i,-4.2595e-05-0.00036533i,-0.00066312+4.522e-05i,-0.00063998-0.00032046i,0.0002723-0.00020981i,0.00015814+0.00058959i,-0.00044096+0.00067943i,-0.0003389+0.00059264i,-0.00055063+0.00081539i,-0.00010526+0.00044065i,0.00024652-0.0004124i
0.00023855-0.0010645i,-0.00024994-0.00055406i,-0.00081063-0.00034855i,-0.00049295-6.3794e-05i,-0.00028474-6.787e-05i,-4.7147e-05+4.4002e-05i,0.0001713-0.00065814i,9.2364e-05-0.0013519i,0.00014108-0.0010064i,0.00014327-0.00093843i,0.00014724-0.00051425i,0.00020951+0.00045932i,0.00033544+0.00055143i,0.00034417+0.00074721i,-0.00045129+0.00083211i,-0.00041112+0.0007543i,9.5315e-05+0.0010517i,0.00028727+0.00055061i,0.00044172+4.8655e-05i,-0.0002083+0.00069877i,-0.00017552+0.0010692i,0.00039112+0.00072211i,-0.00030643+0.00075326i
-0.00029169-0.00074328i,0.00017977-0.00076902i,-0.00015198-0.0013876i,0.00012605-0.00099217i,0.00066961-1.9515e-05i,0.0011584-3.8345e-06i,0.00073173-0.00080103i,0.00013783-0.0010708i,4.8799e-06-0.00098218i,-0.00019512-0.0010998i,-0.00012094-0.00059911i,-1.6445e-05-0.00020417i,0.00021425-0.00020121i,0.00053226-0.00047103i,0.00013611-0.00067232i,0.00012661-0.00044735i,0.00060247-0.00037025i,0.00051625-0.0002084i,-9.9977e-05-0.00067791i,8.4626e-05-0.00075569i,0.00050159+0.00015519i,-4.5279e-05+0.00054468i,-0.00090792+3.8194e-05i
