-0.0017783+0.00035435i,-0.0010494-0.00035017i,-0.0012146+0.001096i,-0.0011902+0.0022717i,-0.00066324+0.0030371i,-6.6421e-05+0.0026866i,-0.0011405+0.0011208i,-0.00093986+0.00080251i,0.00098923+0.00081702i,0.0020423+8.5968e-05i,0.0017557-0.00086626i,0.00063778-0.0007871i,-5.5384e-05-0.00070716i,-0.00035108-0.00079523i,-0.00035189-0.00088524i,0.0006668-0.00077521i,0.0016833+7.4412e-05i,0.001386+0.00049452i,0.00028752+0.00043303i,-0.00027258+0.00024669i,0.00017309+0.00025506i,0.00016245+0.00040545i,-0.00057203+0.00035815i
3.3263e-05+0.00017413i,0.0020033-0.00010379i,0.0012976+0.00014228i,-0.00095724+0.00056361i,-0.0019231+0.0015568i,-0.0014612+0.0016667i,-0.00050213+0.000551i,0.00071355+0.00013559i,0.0011625+0.00044237i,0.00033803+0.00044528i,2.0705e-05-0.00019509i,0.00041119+4.376e-05i,1.7317e-05-0.00023165i,-2.7479e-05-0.00081302i,-0.00016009-0.00016852i,-0.00020669+4.594e-05i,0.00033064+0.00021255i,0.00047169+0.00041347i,0.00044714-1.2943e-05i,-8.7422e-06-0.00024274i,-0.00045926-1.0058e-05i,-0.00050671-0.00031977i,2.0353e-05-0.00052607i
0.0015432+0.00031214i,0.0022879-0.00027239i,0.0030322-0.001367i,0.0023308-0.0024595i,0.00096181-0.0021154i,0.00029907+0.00028317i,0.00036776+0.0011582i,0.00068001-0.00022013i,0.0010219-0.00051601i,0.00074489+0.00016123i,-0.00023692+0.00019052i,-0.0010067-0.0001234i,-0.00082205+0.00071823i,-0.00047652+0.0011077i,-8.0636e-05+0.00019708i,6.1878e-06+0.00012552i,0.00072951+0.00061463i,0.00072291+0.00040424i,-0.00045806+0.00022752i,-0.00018793+0.00044064i,-7.9875e-05+0.00033384i,-0.00046272+0.00068138i,-0.00073148+0.0016311i
0.00097546+0.00016586i,0.0015708+0.00081475i,0.0020086+0.0010304i,0.0011017+0.0010821i,0.00046794+0.0013906i,0.00047238+0.0014267i,0.00057568+0.00091173i,0.00039815+0.00052589i,0.00040489+0.00027188i,0.00063548+3.558e-05i,-0.00016659-0.00011635i,-0.0010217-0.00024579i,-0.00092731-0.00053863i,-0.00014131-0.00034061i,0.0010556+0.00034496i,0.0013134+0.00094349i,0.0011997+0.000864i,0.0014401+0.0003567i,0.00067109-0.0001323i,0.00043554-0.00056167i,0.00050066-0.0005807i,0.00038875-0.00032714i,6.3796e-05-0.00023984i
0.0011106-0.00084458i,0.00067026-0.0020741i,0.00088551-0.0027231i,0.00023543-0.0027825i,-0.00090264-0.0013292i,-0.0013489+0.00019399i,-0.0014704+0.00042808i,-0.00036735+0.00043229i,0.00049543+0.00051479i,0.00060269+0.00047405i,0.00056705-0.00050965i,0.00051653-0.0006285i,0.00084573+0.00028845i,0.00096871+0.00012377i,0.00091605-0.0003667i,0.00087871-0.00011985i,-0.00023529-0.00028651i,-0.00063993-0.0010024i,0.00023582-0.00087976i,0.00076371-0.00022824i,0.00067479-0.00018867i,-3.8728e-05+0.00017205i,-0.0001055+0.00071258i
-0.00024222+0.0014118i,0.00019746+0.00061427i,0.0002971-0.00032922i,-0.00097302-0.00078897i,-0.0018198-2.1673e-05i,-0.0013943+0.0014885i,-0.00063007+0.0017882i,-0.00042481+0.0016203i,0.00043376+0.001079i,0.0011449-0.00045673i,0.00078415-0.00078036i,-1.941e-05-0.00025123i,-0.00029557-0.00018472i,-0.00019769+0.00016979i,-0.00080363+9.9393e-05i,-0.00031342+9.0522e-05i,0.00031478+0.00067734i,0.00057153+0.00080978i,5.4377e-05+0.00090656i,8.9596e-05+0.00062854i,0.00029633+0.00082356i,-0.00040869+0.00087614i,-0.00049212+0.0003767i
0.0001749+6.1538e-05i,0.00082356-3.4011e-05i,0.00084618+0.00081697i,-0.00025469+0.0015648i,-0.00038789+0.0013574i,8.6509e-05+0.0011037i,0.00019119+0.00058621i,-0.00014806+0.00058518i,-0.00038714+0.0004396i,0.00015364-0.00074121i,0.00032639-0.0013743i,-4.6864e-05-0.0013625i,-0.00023433-0.00097747i,-0.00030785-0.00031825i,0.00017509+0.00034976i,0.00017429-2.2635e-05i,-0.00011399-5.015e-05i,0.00013529+0.00060231i,0.00048358+0.0004542i,-0.00033604+0.00024444i,-0.00086702+0.00019582i,1.757e-05+0.00016129i,0.00039861+0.00017403i
0.00081653+0.0010094i,0.0017077+0.00029186i,0.0029509-0.0014148i,0.0033603-0.0020541i,0.00096389-0.00055074i,-0.0013015+0.0009134i,-0.001262+0.0011086i,-0.00075051+0.0010525i,4.9655e-05+0.001004i,0.001055+0.00036595i,0.0010198+0.00016855i,4.2e-05+0.00024297i,-0.00063056+0.00013259i,-0.00039437+0.00056268i,5.1563e-05+0.00056831i,0.00065632-0.00035443i,0.0010701-0.0003814i,0.00097669-6.3433e-05i,0.00042904+0.00050313i,-0.00017103+0.00034103i,-0.00022251-0.00012485i,-0.00019015-1.8816e-05i,-0.00077524+0.00043358i
-0.00092931-0.00022367i,-0.0012032-0.00098903i,-0.0013851-0.0011661i,-0.0028545-4.5718e-05i,-0.0029258+0.0012784i,-0.00095807+0.0014883i,0.00050086+0.0011398i,0.00074242+0.0011256i,0.00057922+0.00089946i,0.00049534+2.4e-05i,-0.00012486-0.00097863i,0.00012458-0.0012459i,9.5499e-05-0.0002531i,-0.00025289+0.00040418i,-4.7969e-05-7.7775e-05i,0.00011084-0.00045102i,-0.00044319+0.00012808i,-0.00062872+6.7036e-05i,-0.00030906-0.00054873i,-0.00049488-3.7587e-05i,-0.00078996+0.00034655i,-0.00091373-0.00028952i,-0.00057773-0.00011148i
-0.00098697-0.00020706i,-0.0007292-0.00026151i,-0.0002825+0.00023915i,0.00071524+0.001553i,0.00080332+0.0020389i,0.00041384+0.0022947i,-3.9403e-05+0.001634i,0.00014827+0.00024802i,0.000165+6.6492e-05i,0.00030453-0.00053581i,0.00051126-0.0009062i,0.0012064+4.0466e-05i,0.00065187+0.00039949i,-0.0005914+0.00018538i,-0.00073118+0.00021866i,0.00035373+0.00082694i,0.0011731+0.001017i,0.00099494+0.00060022i,0.00024416+0.00062839i,-0.00084508+0.00049713i,-0.0011402+0.00077681i,-0.00047569+0.00079448i,-0.00018797+1.9852e-05i
-0.0013628+0.0003832i,-0.0016582+0.00019803i,-0.0022747-4.4724e-05i,-0.0023472-0.00016843i,-0.0013497+0.00097523i,-0.0002147+0.0015924i,0.00037597+0.00082509i,0.00033626+0.00037041i,0.00056703+0.00012095i,0.0012306-0.00068384i,0.00092672-0.0012175i,6.8427e-05-0.0015992i,0.00027945-0.0016566i,0.00044518-0.00058906i,0.00031782-0.00024358i,0.00031515-0.00046992i,-0.0002802-0.0010293i,-0.00027632-0.00043871i,0.00041164+0.00062903i,-1.4581e-05-0.00050964i,-0.00092648-0.00092646i,-0.00076975-0.00049268i,0.00011321-0.00068086i
0.00060347+0.00096199i,0.00047068+0.00075668i,0.0011026+0.00030016i,0.0012656-0.00010066i,0.00055501+0.00062455i,-0.00056097+0.001303i,-0.00035138+0.00067807i,0.00025027+0.00036707i,0.00032028-0.00050146i,0.0005975-0.00090246i,0.00042328-0.0011587i,-0.00027692-0.0012414i,-0.00034955-0.00010969i,-0.00017543+0.0009955i,5.1039e-05+0.00074406i,0.00045592-0.00012555i,0.00065826+0.00033409i,0.0010958+0.00049388i,0.00064838+0.00043033i,-3.2461e-05+6.7113e-05i,0.00019239-0.00014733i,-7.7434e-05+0.00040047i,-0.00030609+0.00081871i
2.8008e-05-0.00075284i,0.0010561-0.00020218i,0.00035552-0.0008608i,-0.0013487-0.0007674i,-0.0023956+0.00036803i,-0.0014406+0.0010504i,0.00024295+0.00050822i,0.00084396-0.00031438i,0.00084723-0.00063478i,0.00079786-0.0010369i,0.00030146-0.00069994i,-0.00019888-0.00017389i,-0.00037697-0.00094381i,0.00046027-0.00032232i,0.00087596+0.00087258i,0.00030116+0.00060798i,7.616e-05+0.0003899i,3.5589e-05+0.00028374i,-0.00017162-0.00033075i,-0.00026267-0.00075488i,0.00027439+0.00022137i,0.00014976+0.00034559i,7.3012e-05-5.5944e-05i
-0.0006604+0.00057858i,7.3955e-05+0.0010769i,0.00040635+0.0019641i,-0.00033172+0.0019199i,0.00032258+0.0021616i,0.00033902+0.0019275i,-0.00074081+0.00065581i,-0.00018514+0.00031374i,0.0010993-7.5997e-05i,0.0015836-0.0011805i,0.00057861-0.0017632i,-0.00026742-0.0013384i,-0.00066514-0.00073797i,-0.0011444-0.00076842i,-0.00089149-0.0010583i,-8.8712e-05-0.00069483i,0.0005893+0.00039844i,0.0010197+0.00095884i,0.00052713+9.8179e-05i,-0.00030255-0.0004419i,-0.0011621+0.00031998i,-0.0015839+0.00048187i,-0.00089252+0.00012422i
0.0012143+0.00028735i,-0.0002628-0.00040155i,-0.00010295-0.0013338i,2.5403e-05-0.00056799i,-0.00093518+0.0016401i,-0.00072865+0.0017607i,9.2913e-05+0.00068313i,0.00070411-8.3071e-05i,0.001371-0.00047583i,0.0015792-0.001352i,0.0019773-0.0011524i,0.0012318-0.00025125i,0.00045446-0.00053737i,0.00054126-0.00044118i,0.00053712-0.00025679i,0.00037457-0.00012871i,0.00022145+0.0002982i,0.00029514+0.0002359i,0.00029509+0.00027185i,0.00021902+0.00052639i,8.7514e-06+8.5708e-05i,0.00024404-0.00037524i,0.00059997-0.00047352i
0.00016604+0.001025i,0.00049687+0.00031191i,3.4964e-05-0.00046434i,-0.00047318+6.245e-05i,-0.00093351+0.0016317i,-0.00033007+0.0021236i,0.0012538+0.00076466i,0.001103-0.00047605i,0.0010378-0.00088242i,0.0014328-0.00082674i,0.0013258-0.0012585i,9.5258e-05-0.00065143i,-0.00065546+0.00069052i,2.8889e-05+0.00096474i,8.7157e-05+0.00025014i,-0.00025579-0.0005545i,0.00023076-0.00043465i,0.0010335+0.0001936i,0.00072855-0.00010041i,4.0256e-05+0.00012967i,2.8201e-05+0.00034138i,0.00023668+0.00030462i,0.00024399+0.00012075i
0.0006915+0.00018999i,0.0010171-0.00039419i,0.00056477-0.0019644i,-0.00054487-0.0013452i,-0.0013886+0.00073335i,-0.00068581+0.0011631i,-2.1523e-05+0.00083707i,0.00048906+0.0011968i,0.0011132+0.0014598i,0.001167+0.00085893i,0.0006381+0.00022114i,-0.00043854-2.8296e-05i,-0.00069592+0.00020997i,-0.00045452+0.00074602i,-1.1566e-05+0.00085755i,0.00022793+0.00034801i,0.00066842+3.7397e-05i,0.00075198-0.0003781i,2.5023e-05-0.00044606i,-0.00068666-0.00021003i,-0.00054819-8.6461e-05i,0.00030567-0.00034095i,0.00065342-0.00060944i
0.00071168-6.718e-06i,0.0015399-0.001121i,0.0012038-0.002742i,0.00054111-0.0022184i,8.9611e-05-0.00015484i,0.00051951+0.00087687i,0.00047276+0.00056819i,0.00047347+0.00017927i,0.00081492-0.00036484i,0.00082451-0.00086739i,0.00076634-0.00050138i,0.00054116-0.00039519i,0.00066962-0.00059432i,0.00098722-0.00038792i,0.0011169+1.4027e-05i,0.0011897+0.00042306i,0.0012539+0.0004171i,0.00031299-0.00038232i,-0.0006604-0.00097932i,-0.00057981-0.00067465i,8.8765e-05-0.00021556i,-2.4377e-05-0.00021304i,-0.00069405+3.3336e-05i
0.00089932-0.00093198i,0.00048944-0.00092515i,-0.0012074-0.0018185i,-0.0014992-0.0015808i,-0.0016188-0.00019537i,-0.0017765+0.0014359i,-0.00014584+0.0013107i,0.00084523+0.0005585i,0.00061293+0.00034165i,0.0011824-4.9174e-05i,0.00090644-0.00029186i,0.00052777-0.0011774i,0.00058169-0.00072899i,0.00068095+5.0463e-05i,0.00052429+6.1742e-05i,0.00039247-0.00013888i,0.0010171+5.1639e-05i,0.00079179+0.00041064i,0.00040973-0.00012693i,0.00042241-0.00018922i,0.00048098+0.00022422i,-0.00021679-7.3718e-05i,-0.00080123-0.00080518i
-0.00019658-0.00097569i,-0.00048511-0.0004481i,-0.0019144-0.0013219i,-0.002277-0.00081105i,-0.0015016+0.00088048i,-0.00028362+0.0014555i,0.00056719+0.0010261i,0.00076698+0.0004587i,0.00079596+1.1784e-06i,0.0011402-0.00079373i,0.001286-0.00038027i,0.00071214+0.00051499i,0.0008279-8.8907e-05i,0.00024716-0.0014284i,-0.00073147-0.0013237i,-0.00074922-0.00014382i,-0.00094681-0.00020475i,-0.00096559-0.0003669i,-0.00039692-0.00038404i,-0.00026479-0.0004298i,9.8891e-05+2.7933e-06i,0.00063777-4.7808e-05i,0.00084106+0.00065846i
0.0011126+0.00022858i,0.0016873-4.0169e-05i,0.0012171-0.00076395i,1.3197e-05-0.0011718i,-0.00088758-0.00034032i,-0.00050449+0.00073639i,-4.7735e-05+0.0011899i,0.00050365+0.00087989i,0.001139+0.00010259i,0.00068935-0.00083635i,0.0001456-0.0011337i,-0.0002672-0.0016214i,6.4717e-06-0.0013741i,0.00021047-0.00050384i,3.3092e-05+0.00056575i,0.0001391+0.0011667i,0.00024898+0.00076504i,0.00056321+0.00028703i,0.00041216+0.00039262i,-0.00034995+0.00032992i,-0.00073019+0.0002113i,-0.00043856+0.00080983i,-6.1893e-05+0.0005442i
0.00024526+0.00041601i,0.00043936-4.4173e-05i,-0.00027359-0.00038933i,-0.00074011+5.6257e-05i,-0.00034699+0.00095594i,-2.6222e-05+0.00084084i,0.00029474+9.7432e-05i,0.00055046-0.00013976i,0.00073376-0.00076977i,0.00064086-0.0014329i,0.0005917-0.0010008i,0.00072987-0.00035075i,0.00016787-7.0636e-05i,-0.00015345+0.00014431i,0.00010943+0.00033502i,0.00058582+0.00028953i,0.00030775+0.00018949i,-0.00014522+0.00033059i,0.00012154+0.00095653i,0.00030129+0.00045682i,0.00047731+0.00013939i,0.00041791-0.0002643i,-0.00011743-0.00059697i
-0.000636+0.00078082i,0.00012182+0.001319i,0.0013012+0.0016324i,0.0008588+0.001564i,8.5918e-05+0.0019355i,0.0002999+0.0012807i,0.00021918-7.5782e-05i,-0.0001083-0.00030501i,5.9594e-05+5.5143e-05i,0.00032581-0.00028211i,0.00042461-0.00077532i,0.00046158-0.00059236i,0.00068153-4.0454e-05i,0.00055474-0.00016903i,0.00047598-0.00026777i,0.00041256+0.00017145i,0.00071247+0.00062015i,0.00082665+0.00082623i,0.00041909+0.00097063i,0.00058804+0.00082458i,0.00079122+0.00067994i,0.0005549+0.00057422i,0.00059865+2.7013e-05i
0.00029689+0.00073418i,0.0011595+0.00023538i,0.0017993+0.0003802i,0.0020866+0.0011614i,0.00084396+0.0021039i,-0.00028717+0.0020787i,-0.0001915+0.00046684i,0.00020936-0.0003096i,0.0012357+0.00025286i,0.001439-0.00012307i,0.00067515-0.00090121i,0.00024172-0.00071153i,-0.0001494-0.000506i,-0.0002559-0.0005618i,-0.00024693-0.00081458i,-0.00080807-0.00051064i,-0.00080142+0.00057968i,2.1252e-05+0.00081251i,2.732e-05+0.00030172i,-0.00029452-0.00032049i,5.9213e-05-0.00065352i,3.0154e-06-0.0004386i,-0.0002977-9.887e-05i
-0.0013003+0.00084247i,2.4123e-05+0.0018073i,-0.00034575+0.0021863i,-0.0012064+0.002142i,-0.00086049+0.0035707i,-8.3668e-05+0.0040105i,2.6295e-05+0.0027334i,-0.00038879+0.0013196i,-0.00029843+0.00078876i,-0.00020675+0.00071844i,0.00014863-0.00043325i,0.00042374-0.0015678i,-0.00015191-0.0016006i,-0.0004134-0.00065383i,4.1128e-05-0.00049634i,-0.00021959-0.000394i,-0.00058586+0.00013609i,-6.9337e-05-3.5923e-06i,0.00010052+3.1177e-05i,0.00052545-0.00057394i,0.00030924-0.00056853i,-0.00019713+0.00039166i,0.00025996+0.00027015i
-0.0019965+0.00088192i,-0.0011006+0.00074219i,-0.00067606+0.00085624i,-0.00036924+0.0017212i,-8.8021e-05+0.001998i,-2.9118e-06+0.0014715i,7.0769e-05-0.00020667i,0.00053642-0.00040166i,0.00050226+0.00060404i,0.00070941+0.00059106i,0.00069748+0.00025516i,0.0010055+5.6942e-05i,0.00074316+0.00061011i,-0.00095263+0.00083102i,-0.001216-0.00021485i,-0.0003819+0.00015583i,0.00022441+0.00070743i,0.00056503+0.00073658i,0.00021665+0.00041672i,0.00021375-0.00062695i,0.00014606-0.00082356i,-0.00012049-0.00078331i,-2.4862e-05-0.0012655i
-0.00048905-0.00010765i,-0.00034532+0.00028043i,-0.00096168+0.00031073i,-0.0012938+0.00014094i,-0.0018281+0.00036389i,-0.0016968+0.00082611i,-0.00072134+0.00032504i,-8.5218e-05-0.00024353i,0.00041075-2.5385e-05i,0.00052315+0.0003646i,0.00027695+0.0010231i,0.00082692+0.00056703i,0.00095816+0.00049293i,0.00084269+0.0012252i,0.00026813+0.0012135i,-0.00030037+0.00031347i,-0.00047688+0.00032106i,-0.00078938+0.00086889i,-0.00039849+0.00058886i,0.00039484+0.00051334i,0.00072482+0.00034499i,0.00057364+0.00010482i,0.00075798-5.7697e-05i
0.0013244+0.0010333i,0.0016498-0.00014762i,0.0018441-0.00086009i,0.00010959-0.00061622i,-0.00060661+0.00050834i,-0.00038855+0.0015504i,-0.00052472+0.0015591i,-0.00069479+0.00092251i,0.00028527+0.00036373i,0.0010575-0.00016324i,0.0008166-0.00020228i,-0.00030858-0.00021021i,-0.00099705-0.00062806i,-0.00064071-0.00042871i,0.00010518-0.00030947i,0.00014147-0.00038644i,-0.00069894-0.00061946i,-0.00084994-2.6957e-05i,-0.0004003+0.00014368i,4.6914e-05-0.00041624i,9.4215e-05-0.00044263i,-0.00052879-0.00022979i,-0.00051198-0.00023036i
8.7655e-05-3.7356e-05i,0.00012965-0.00029681i,-0.00046416-0.00047223i,-0.00050791+0.00066227i,-0.00076952+0.0022809i,-0.00030675+0.0018917i,0.00090356+0.00054141i,0.0015339-0.0004022i,0.0014635-0.00078234i,0.001468-0.0011467i,0.00092919-0.0013027i,9.6065e-05-0.0010056i,-0.00013725-0.00079195i,0.00026598-0.00094753i,0.0010348-0.00086098i,0.00059464-0.00035824i,0.00010042+8.0258e-05i,1.8759e-05+0.00057101i,0.00020893+0.00026813i,0.00092578-0.00018118i,0.0011088-0.00067867i,0.00072765-0.0013912i,0.00027666-0.00098754i
0.00077443-0.0010685i,0.0010593-0.001559i,0.00078274-0.001517i,-0.00020583-0.00047456i,-0.0015615+0.00023798i,-0.0011256+0.001655i,-0.00027162+0.001374i,-0.0005837+0.00034132i,-0.00042374+0.00029192i,6.8171e-05-0.00062479i,1.1478e-05-0.0014575i,-0.00030059-0.00055012i,-0.00055764+0.00051592i,-0.00022457-0.00016712i,-0.00018532-0.00061454i,-0.00024644+0.00025658i,0.00031754+0.0010238i,0.0011378+0.0012335i,0.00065526+0.00091235i,-0.00022819+0.0006677i,-0.00080786+0.0011876i,-0.00043739+0.0014785i,0.00026436+0.00076403i
0.00076754+0.00071284i,0.00075644+0.00016089i,-0.00035753-0.0013397i,-0.00095616-0.0015484i,-0.00092347-0.00077225i,-0.00075961+4.4726e-05i,-0.00067735+0.00068069i,0.00080734+0.00034737i,0.0011236-0.00030153i,0.00052412-0.0010767i,0.0015538-0.0013364i,0.00111-0.00063932i,0.00034477-0.0009632i,0.00060927-0.0013168i,0.00052126-0.00029897i,6.9455e-05+5.1903e-05i,-4.2836e-05+0.00037774i,0.00028355+6.5065e-05i,0.00084651-0.00023449i,0.00050719-0.00040198i,-0.00030285-0.00056188i,-0.00054773-0.00064865i,0.00011356-2.4733e-07i
0.0010645-0.00042077i,0.00091563-0.00072491i,-0.00080165-0.0013265i,-0.0016544-0.0019397i,-0.0017166-0.00054041i,-0.0014335+0.0017331i,0.00025922+0.0021797i,0.00073023+0.0011533i,0.00026976+0.00018906i,0.00078424+0.00042334i,0.0013664-0.00028467i,0.0007397-0.0010087i,0.00027078-0.00035965i,6.9463e-05-0.0002251i,-0.00049794-7.4536e-05i,-0.00047123+7.5549e-05i,0.00019525-0.00010798i,6.0687e-05+0.00024501i,-6.821e-05+0.00076707i,-0.00022201+6.5355e-05i,-0.00022658-0.00052041i,0.00032235-0.00038958i,8.0718e-05+0.000188i
0.0004763-0.00029335i,0.0011961-0.0011057i,0.0014546-0.0010381i,0.00073533-0.00075611i,0.00042159-0.00025084i,0.00019355+0.00039797i,0.001107+0.0002164i,0.0019189+0.0001679i,0.0022244+0.00015512i,0.0021557-0.00019328i,0.00068267-0.0004385i,-0.00094715-0.00078507i,-0.0012329-0.0012906i,-0.00060417-0.0012085i,-9.1148e-05-0.00024718i,0.00044638+0.00042584i,0.00046009+0.00073807i,0.00010322+0.0010892i,-0.00086523+0.00035404i,-0.0015663-0.0006035i,-0.00095319-0.00025708i,-0.00029145+0.0001491i,3.1191e-05-1.8242e-05i
