-0.001065+0.00032186i,-0.00062748-0.00095417i,-0.0013565-0.0010484i,-0.0017881-0.0009495i,-0.0020359+0.00043529i,-0.0026944+0.0015933i,-0.0020053+0.0016041i,-0.00023914+0.0013215i,0.00144+0.0001911i,0.0019608-0.00063337i,0.001666-0.00070103i,0.0013909-0.00064687i,0.00032567-0.0010024i,-0.00052095-0.0011736i,-0.00090896-0.00057599i,-0.0012413-0.00040964i,-0.0013045-0.00016022i,-0.0006391+0.00028845i,0.00050296+0.00011919i,0.00054857-0.00087139i,0.000421-0.0010902i,0.00031749-0.00058003i,-0.00022002-0.00015251i
-0.0010733+0.0023315i,-0.0011355+0.00056156i,-0.00081341-6.3085e-05i,0.00033129-1.0925e-05i,0.00061978-0.00031377i,1.6148e-05-0.00025554i,-0.00047317-0.00052699i,-0.00073021-0.00075594i,5.2706e-05-0.00028793i,0.0013959+0.00029243i,0.0019054+0.00052769i,0.00097703+0.00072297i,-0.00027975+0.00096938i,-0.00084148+0.00091121i,-0.000898+0.00039967i,-0.00084141+0.00031646i,0.00011165+0.00090119i,0.00060666+0.00081986i,0.0010464+4.5502e-05i,0.00082886+0.00019681i,0.00038894+0.0004362i,0.00049274-0.00026416i,5.5594e-05-0.00068258i
0.00019067-0.00092687i,-0.00045346-0.00025131i,-0.00099554-0.00042551i,-0.00037657-0.00056228i,0.0001383+0.00075948i,-0.00039634+0.0019125i,-0.00096249+0.001639i,-0.00063407+0.0011085i,4.7099e-05+0.00023904i,-4.3727e-05-0.00085067i,-0.00011156-0.0012814i,-0.00014959-0.0012862i,-0.00066854-0.0010587i,-0.00054927-0.00032923i,0.00022731+0.00082964i,0.00070528+0.0010009i,0.00035079+0.0010056i,-0.00017672+0.00077651i,-0.00075797+0.00017125i,-0.00095012+0.00014188i,-0.00051497+0.00097143i,-7.7598e-05+0.000395i,1.5437e-05-0.00035887i
0.00059338+0.00065128i,9.2691e-05+0.00080819i,-1.3412e-05+0.00063826i,-2.9897e-05+0.00048271i,-0.0011126+0.0011584i,-0.001629+0.0019055i,-0.00059379+0.0020274i,0.00070644+0.0011824i,0.0010118-0.00041679i,0.0006785-0.0018545i,-6.6499e-05-0.0020114i,-0.00074158-0.0017292i,-0.00078624-0.00069768i,-0.00024052-4.8332e-05i,0.00021483+8.5398e-05i,0.00062632-0.00043869i,0.0012253-0.0010138i,0.00085747-0.0007362i,-6.853e-05+4.5891e-05i,-0.00054563+0.00077964i,-0.0002555+0.001178i,0.00014731+0.0010443i,-5.6563e-05+8.7587e-05i
-0.0016375+0.00069336i,-0.0012029+0.00060593i,-0.00047052+0.00015144i,-0.00042877+0.00072607i,-0.0001685+0.0012694i,5.5913e-05+0.001076i,0.00041041+0.00099203i,0.001551+0.00095529i,0.0021859+0.00016859i,0.0012988-0.00070998i,0.0001706-0.00034295i,-0.00069319+0.00053937i,-0.00056756+0.00027783i,-0.00052347-0.00073987i,-0.00046856-0.0009425i,-0.00058391-0.00011274i,-0.00045867+0.0005846i,9.1893e-05+0.00077015i,0.00016308+0.00088242i,-5.258e-06+0.00051954i,-3.2013e-05+0.00039199i,-4.5952e-05+0.00043186i,0.0005855+0.00032168i
-0.0010019+0.00028832i,-0.00022074-0.00020871i,0.00080042+0.00094514i,0.00084005+0.0020917i,0.00047307+0.0021071i,0.0010977+0.0022322i,0.0020877+0.0014684i,0.0026227+0.00015059i,0.0026362-0.0006653i,0.0018332-0.00040926i,0.0011467+0.0010192i,0.00090598+0.0015091i,2.7337e-05+0.0015621i,-0.00096422+0.0015048i,-0.00047878+0.00036996i,0.00036124-0.00020364i,0.00029933-0.00060994i,0.0003251-0.00083656i,-0.00019922-0.00028321i,-0.00054269+0.00029212i,0.00044399-0.00031509i,0.00024148+0.00020525i,-0.0013253+0.0016369i
-0.0011989-0.0012792i,-0.00045165-0.00099563i,-0.0019947-0.00013342i,-0.0026871+0.00039045i,-0.0019501+0.0011741i,-0.00044702+0.0017216i,0.0007855+0.00094223i,0.0011021-0.00069689i,0.00073947-0.0014685i,0.00070535-0.0011021i,0.0013797-0.00032381i,0.0017138-0.00014376i,0.0016627-0.00050019i,0.0012725-0.0005168i,0.00010433-0.00044987i,-0.00070337-0.00017997i,-0.00026747+0.00031139i,0.00046536+0.00085824i,0.0005956+0.0013995i,0.00052589+0.00089446i,8.3043e-05+0.00024538i,-7.4847e-05+0.00010509i,0.00031053+8.9202e-06i
-0.0012617-0.00098522i,-0.00035491-0.00043619i,-0.00015744+0.00028165i,-0.00077416+0.00089849i,-0.0011554+0.00059574i,-0.00052112+0.00012598i,0.00010025+4.1186e-05i,0.00026032-4.1346e-05i,-0.00015908-0.00091105i,-0.00048591-0.0018426i,-0.0003898-0.00090696i,-0.00011717-0.00042357i,0.00012557-0.00081585i,0.00011384-0.00084127i,-0.00012259-0.00061335i,-0.00041644-0.00015383i,-0.00023864+0.00057233i,4.4342e-05+0.00032903i,0.00013692-0.00010449i,0.00035188-0.00019523i,0.0002578-9.4385e-05i,-0.00032585+0.00076907i,-0.00048986+0.0012967i
0.00071561+0.00021766i,-4.8262e-05+0.00046323i,2.4296e-05-0.00077722i,-0.00064553-0.00094258i,-0.0019575-0.00039378i,-0.0031115+0.00026261i,-0.0024884+0.0008891i,-0.00051288+0.00034663i,0.00051048-0.00035085i,0.00053371-0.00081404i,0.00036324-0.00063648i,-0.00033934-0.00038487i,-0.00070088-0.00013806i,0.00031191+0.000875i,0.00083866+0.0015418i,0.0004259+0.0010452i,0.00033187-0.00023915i,0.00041791-0.00031475i,0.00026314+0.00013075i,4.695e-05+0.0006342i,0.00030493+0.0011923i,0.00087576+0.00066617i,0.0005083-0.00033482i
-0.00068648-0.0012098i,-0.00017521-0.00050185i,-0.0001019+0.00052228i,-0.00052666+0.00057856i,-0.00012946+0.001008i,0.00039356+0.0025783i,0.00039022+0.0030943i,0.0003875+0.0022702i,0.00044538+0.00080595i,0.00088283+0.00032639i,0.00025247+0.00032573i,-0.00030826+0.00051612i,0.00024984+0.00084483i,0.00017474+0.00015229i,-2.2782e-05-1.1436e-05i,-0.00012916+0.00020345i,0.00048187+4.6173e-05i,0.00071092-0.00052349i,4.6303e-05-0.00046889i,-0.00037769-0.00022631i,-0.00029821+0.00032231i,-0.00054325+9.4241e-05i,-0.00026726-1.6064e-05i
0.00039474+0.00015387i,0.00054068-0.00014747i,0.0011153-0.00041608i,0.0011118-0.00015047i,0.0001231-0.00014767i,-0.0010714+1.5765e-05i,-0.00062117+0.00080624i,0.0010509+0.0011861i,0.0015775+0.00061613i,0.00049248+5.829e-05i,-6.6899e-05-4.3811e-05i,-0.00011254+0.00036878i,2.8187e-05+0.00061043i,-0.0003258+0.00043841i,-0.00062479+0.00017456i,-4.1515e-05-0.000126i,-0.00017989-0.00021014i,-0.00072713-0.00011861i,0.00014324-0.00017983i,0.00021428-0.00031737i,0.00038035-0.00025445i,0.00097847-0.00047236i,8.5427e-05+7.9341e-05i
-0.00027401-0.0010055i,-0.00067884-0.0017504i,-0.00092916-0.00087029i,-0.00094023+0.00043809i,-0.0013224+0.0011343i,-0.00032079+0.0015953i,0.0017883+0.0015757i,0.00281+0.0013468i,0.0025308+0.00010682i,0.0012806-0.00056739i,0.00072968-0.00022839i,0.0012711-0.00015274i,0.00014552-0.00050752i,-0.00098548-0.00015615i,-4.6959e-05+0.00021673i,0.00042586-3.2098e-06i,2.1178e-06-0.00016277i,0.00031579-4.2553e-05i,0.00026902-3.0069e-05i,-0.00019995-3.6358e-05i,0.00042713+8.3625e-05i,0.0003799+6.1487e-05i,0.00023055-6.7757e-05i
-0.00050174-0.00055432i,0.00012638-0.0013405i,-0.00065413-0.00047439i,-0.0007085+0.00044668i,0.00027008+0.00062457i,-6.4377e-05+0.00064653i,-9.4705e-05+0.00051181i,-2.2381e-05-0.00027342i,-0.00043061-0.001158i,-0.00012705-0.001277i,3.5334e-05-0.0012451i,0.00038189-0.0011388i,0.00062544-0.00090958i,7.1168e-05-8.4811e-05i,-0.00061505-0.00022675i,-0.001054-0.00049059i,-0.00092622-0.00024305i,-0.0005851+0.0002464i,-0.00020303+0.0005365i,8.2848e-05+0.00020316i,0.00032126+7.7045e-05i,0.00061469+1.3232e-05i,0.00038312+5.0548e-05i
0.00026613+0.00088058i,-0.00047414+0.0017941i,-0.00077275+0.0015142i,-0.00074149+0.0011414i,-0.00070944+0.0013414i,-0.00060084+0.0019859i,-6.6446e-05+0.001977i,0.00057199+0.00015051i,0.00039726-0.00067782i,0.0010726-0.00061983i,0.0018178-0.00098427i,0.0014691-0.00077482i,0.00058178-0.00038198i,-0.00030413+0.00048896i,-0.0009129+0.00048664i,-0.0010148+8.423e-05i,-0.00030261+0.00013319i,0.00037688+0.00023262i,4.7447e-05+0.00060229i,-0.0003754+0.00091286i,-0.00034741-4.2905e-05i,-0.0005414-0.00055952i,-0.0007507-0.00053675i
-0.00021096+0.00046538i,-0.00043427+0.00058667i,-0.00032845+0.0010779i,-0.00051458+0.00107i,-0.0008083+0.00083944i,-0.0007605+0.00093631i,-0.00068197+0.00074385i,-8.5146e-05+0.00068183i,0.00047775+0.00029763i,4.2597e-05-0.00031509i,-0.00065002-0.00058058i,-0.000794+2.5058e-05i,-0.00083734+0.00083429i,-0.00087564+0.0011736i,-0.00029178+0.0012471i,-0.00014741+0.0010837i,-0.00057476+0.00044691i,-5.7134e-06+0.00033548i,0.0002771+0.00071865i,0.00033281+2.8829e-05i,0.00029019-0.00038554i,-0.00019178+9.8277e-05i,-0.00041248-0.00036829i
0.0011555-0.0011911i,0.0010484-0.00054995i,-0.00066761-0.00049595i,-0.0021357-0.00024021i,-0.0024856+0.00034564i,-0.001194+0.0013992i,0.00034957+0.0025452i,0.00059614+0.0019871i,0.00097571+0.00084842i,0.00086845+0.00060072i,-0.0001136+9.0528e-05i,-0.00084307-0.00016871i,-0.00011811+0.00050698i,0.0011293+0.00083371i,0.0012508+0.00094874i,0.00067499+0.00017244i,-0.00011327-0.0011916i,0.00010014-0.00065807i,0.00094253+0.00027435i,0.00066185-5.5832e-05i,0.00017694-0.0011667i,0.00032405-0.0014422i,0.00034195-0.00058412i
0.001293-0.0019883i,0.00097286-0.0004911i,0.00015388+0.00085489i,0.00019091+0.0013386i,-6.7089e-05+0.0019661i,0.00034052+0.002565i,0.0010807+0.0021646i,0.0017166+0.0011655i,0.0017153-0.00025934i,0.00087607-0.0010145i,0.0011372+2.0329e-05i,0.00078908+0.00080955i,-8.1483e-05+0.00025214i,-0.00020966-0.00041608i,-0.00037347-0.00026201i,0.00032831-0.0002583i,0.0010513-0.00030976i,0.00074228+0.00043858i,0.00043283+0.00037101i,0.00023827-3.5286e-05i,9.2227e-05+0.00028449i,0.00019719+0.00062461i,-0.00060622+0.00031966i
0.00054458-0.00090796i,0.00011062-0.0016593i,-0.00035573-0.002409i,-0.0010581-0.0014588i,-0.0015933-0.00067301i,0.00016806-0.00010354i,0.0018073+0.00068205i,0.0024934-0.00017177i,0.0026156-0.00068049i,0.0015752-0.00018816i,0.001114+0.00015188i,0.00093365-0.00012667i,0.00051358-0.0004785i,-0.00015875+0.00023222i,-0.00081624+0.00083661i,-0.00097681+0.00030873i,-0.00078501+0.00011245i,-0.00019069+0.0004784i,0.00047201+0.00040305i,0.00083806+0.00033645i,0.00096698+0.00033169i,0.00081579+0.0005452i,0.00020812+0.00073731i
-0.00028049-0.0017518i,0.00010368-0.0015106i,-0.00042018-0.0010373i,-0.00084644-7.0265e-05i,-0.00053763+0.0012966i,-0.00015467+0.0016188i,0.00055971+0.00084919i,0.0016708+0.00038947i,0.0015908+8.093e-05i,0.0003969-0.00015944i,0.00024752-0.00032365i,0.00098099-7.6521e-06i,0.001056+0.00058577i,0.0010645+0.00047976i,0.0010622+0.00044783i,0.0010571+0.00083387i,0.00035157+0.00076542i,-0.00050888+2.0366e-05i,-0.00069731+0.00054225i,-3.1041e-05+0.00075824i,0.0006659-0.00017512i,-0.00014107-0.00058811i,-0.00041309-7.8561e-05i
-0.00017261+0.00081081i,-0.00029388+0.00096976i,-0.0010364+0.0010216i,-0.0011386+0.0011105i,-0.0003494+0.0015413i,-6.0285e-05+0.0013815i,-0.00010686+0.00083114i,0.00075776+0.00025945i,0.0016459-0.00029098i,0.00092853-0.00043263i,0.00031136+2.068e-05i,-0.00026961+9.6477e-05i,-0.00027127-0.00030948i,0.00011232+5.0195e-05i,0.00069281+0.00029509i,0.00040835+0.00032087i,-2.7106e-05-7.8321e-05i,0.0002152-0.00040391i,4.1465e-05-0.00024008i,-0.00016017-0.00017022i,0.00020329-0.00018984i,0.00040217-0.00014341i,0.00070265-4.9423e-06i
0.00093324-0.00024686i,0.00060031-0.00020357i,0.00055434+0.00079192i,0.00045797+0.0012311i,-2.4531e-05+0.001792i,-0.0010637+0.0014604i,-0.00078053+0.0012036i,0.00025657+0.00067718i,0.0002701-0.00023111i,-0.00018279-0.00046648i,9.3645e-05-0.00011363i,0.00056459-3.076e-05i,0.00046428+0.0005172i,0.00026859+0.0009311i,0.0003729+0.00038811i,0.00045598-0.00048935i,0.00058542-0.00047726i,0.00051996+0.00011728i,-0.00021904+6.654e-05i,-0.00066847+0.00031105i,-3.5902e-05+0.00050477i,0.00028413+0.00032013i,-3.4157e-05+0.0003879i
-0.0011567-0.00036315i,-0.0003145+0.0001435i,-9.93e-05+0.00061471i,4.5172e-05+0.00057918i,0.00044519+0.00094423i,0.00014765+0.0020671i,-6.7542e-05+0.0020967i,6.0128e-07+0.00094047i,0.00012554+4.36e-05i,0.00048732-0.00045161i,0.00067491-0.00016587i,0.00023186+0.00044768i,-0.00018077+0.00030705i,0.00026069+8.8713e-05i,0.00067989+0.00016793i,0.00019369+0.0001663i,-0.00069583-0.00020385i,-0.00051425-0.00045179i,0.00039991-0.00038927i,0.00036112-7.8142e-05i,0.0003134+0.00061478i,0.00027644+0.00052855i,-6.9979e-05-7.8614e-05i
0.00019378-0.0019839i,4.9859e-05-0.0018318i,-0.0010629-0.0011813i,-0.0020577+0.00038674i,-0.0019507+0.0020084i,-0.00086562+0.0029277i,0.00082652+0.0029907i,0.0018647+0.0014132i,0.001896-0.00040133i,0.0019446-0.00056706i,0.0016561+0.00045455i,0.0013765+0.00073037i,0.00042644-0.00043662i,-0.00069938-0.00047072i,-0.00072736+0.00032348i,-0.00040448+0.00010482i,2.0432e-05+0.00012619i,-0.00029673+0.00020701i,-0.00062259+0.00052327i,-0.00034622+0.0011806i,0.00013989+0.00046569i,2.4957e-05-0.0002898i,-0.00053125-0.00050598i
-0.0012282-0.0012862i,-0.0014637-0.0012113i,-0.0013397-0.00077568i,-0.0004135+0.00040231i,0.00025285+0.00098716i,0.00022987+0.0011084i,0.0011952+0.00050901i,0.0022632-0.00064872i,0.0020434-0.0011301i,0.0012179-0.0010463i,0.00083011-0.00021518i,0.0005482-0.00030443i,0.00040659-0.0011264i,0.00030038-9.9984e-05i,0.00020776+0.00079101i,-0.00017623+0.00043038i,-0.0001874+0.00017328i,0.00037886+0.00020145i,-4.5779e-05-0.00014796i,-0.00051179-0.00030436i,-0.00047314-4.1091e-05i,0.00029062+0.00010873i,0.00037061+8.8603e-06i
0.00031341+0.00010112i,-0.00032361+0.00080983i,-0.00071678+0.0005102i,-0.00081603+0.00014539i,-0.0011429+0.00049753i,-0.00071211-0.00014446i,0.0003442-0.00037335i,0.0012395+0.00057884i,0.0012488+0.00062697i,0.00058001-1.3314e-05i,-2.9194e-05-0.00038796i,-0.00021032-0.001252i,-0.00020645-0.001423i,0.00022816-8.8857e-05i,0.00039554+0.00069449i,8.5852e-05+0.0007428i,-0.000575+0.00037471i,-0.00081913-8.5376e-06i,-0.0011097-0.00038153i,-0.00062793-0.0002115i,0.00027571+3.0887e-05i,0.00016015+0.00020542i,-0.00063844+0.00083042i
-0.0010079-0.00059134i,-0.0009782-0.00068244i,-0.0016413+0.00020728i,-0.0010543+0.00066191i,-0.00062869+0.0012433i,-0.00025497+0.0013345i,0.00050733+0.00050858i,0.0016022+0.00028556i,0.0017254+0.00018879i,0.00081974-0.00015231i,0.00062892+0.00011819i,0.00024246+0.00062863i,-0.00034031+0.00048306i,-2.6928e-05-0.00035656i,0.00036337-0.0010192i,0.00048585-0.00042621i,0.00085797+0.00052245i,0.00066877+0.00058947i,0.00017035+6.6986e-05i,-6.1741e-05+0.00015292i,-0.00017472+6.3334e-05i,-8.8182e-05-0.00011472i,-0.000509-4.4891e-05i
0.00029732-0.00088961i,-0.00032702-0.00051271i,-0.00037675-0.00022994i,-0.00038901+8.5909e-05i,-0.0011727+0.00095775i,-0.0015417+0.0022734i,-0.001137+0.002441i,-0.00016523+0.0010397i,0.0011259+0.00071863i,0.0014182+0.00065448i,0.0010316+0.00017957i,0.0010682-1.9403e-05i,0.0014475+0.00017002i,0.0017774+0.00017408i,0.001731+3.5023e-05i,0.0012946+0.00012693i,0.00088639+0.00029859i,0.00062283-0.00021562i,0.00026231-0.00076982i,9.0679e-05-0.00041149i,0.00015248+0.00027338i,0.00035706+0.00022287i,0.00027318+0.00025361i
0.00089925-0.00032031i,0.00068833+0.00015449i,0.0012039+0.00096863i,0.00097883+0.00070746i,0.00031476+0.00029853i,0.00020853+0.0008062i,0.00051178+0.0017088i,0.00085399+0.0014693i,0.0012975-6.567e-05i,0.0015133-0.00048071i,0.00079947-4.4154e-05i,-0.00016589+9.4616e-05i,-0.00046227-0.00011293i,-0.00028352-0.00034977i,0.00011561-0.00024234i,0.0011041-4.096e-05i,0.0012039+0.00030975i,0.00035896+0.00027869i,0.00028622+9.6254e-05i,0.00032875+0.00011217i,0.0010298+0.00012705i,0.0010183-0.00037886i,0.00014914-0.0002888i
0.0015469+0.00078147i,-0.00038086+0.00049721i,0.00016949-0.0002569i,0.00063497-0.00033185i,0.00052995+0.0012241i,-6.4718e-05+0.0017684i,-0.00019297+0.0012357i,0.00081274+0.00083604i,0.0015647-0.00027146i,0.001685-0.00012791i,0.0011295+0.00029173i,0.00030976+0.00024964i,0.0001623+0.00015729i,-0.00023714-0.00024378i,-0.00060974-0.00022355i,-0.00032248-0.00044352i,-0.00042792+7.3806e-05i,-0.00071554+0.00068379i,-0.0010088+0.00034299i,-0.0011887+0.00020479i,-0.0015392+1.4718e-05i,-0.0017583-0.00026952i,-0.0012885-0.00053631i
-0.00084074-0.00038732i,-0.00098458-0.00097459i,-0.0020836-0.001143i,-0.0013898-0.00050503i,0.00049211+0.0010601i,0.0011412+0.0021234i,0.0013724+0.001436i,0.0019163+0.00024278i,0.0011022-0.00089106i,-0.00014789-0.0011549i,-0.00037478-0.00088748i,-0.00062752-0.00075337i,-0.0004647-0.00091967i,-0.0004313-0.00098205i,-0.00057819-9.0435e-05i,-0.00058815+5.1778e-05i,-0.00058388-0.00070746i,-0.00011313-0.00067006i,0.00034176-0.00060036i,-0.00041637-0.00069354i,-0.0010556-0.00064185i,-0.0004594-0.0010058i,-0.00010666-0.00033096i
-0.001095+0.00013632i,-0.0016188+7.8655e-05i,-0.00085269+1.6532e-05i,-0.00011279+0.00062859i,0.00020389+0.00065086i,0.00066393+0.00010102i,0.00055218-0.00043361i,0.0006415-5.982e-06i,0.001079+0.00080973i,0.0012693+0.00090832i,0.00058831+0.0012772i,0.00057122+0.0010088i,0.00055143+0.0011423i,0.0003267+0.00062881i,-0.0001062-0.00010514i,-0.00040056-0.00010863i,-0.00013408-4.4908e-05i,0.00086713-0.00024072i,0.0012014+5.7615e-05i,0.0006098+0.00057807i,0.00029778+0.00015224i,0.0004951-0.00052732i,0.00084993+0.00012839i
0.00046726-0.0018238i,0.00077626-0.00023111i,-0.00044283+0.0010594i,-0.0021969+0.0013877i,-0.0026101+0.0013528i,-0.0025538+0.0013447i,-0.0014659+0.0014054i,0.00021199+0.00072235i,0.0014386-0.00038474i,0.0011811-0.00063477i,0.00044731-0.00033307i,0.00055699+0.00047978i,0.00090469+0.00095593i,0.00075539+0.00049811i,0.00073611-0.00022591i,0.00064508-0.00056765i,0.00035471-0.00063041i,0.00047034-0.00042446i,0.00024168+0.00023816i,-0.00055467+0.00015725i,-0.00018139-6.4341e-05i,0.00032148+0.00077719i,6.6683e-05+0.00090164i
-0.0009387+0.00060883i,-0.0009951+0.00074077i,-0.00021583+0.0017701i,0.00034816+0.0021691i,0.00010148+0.0018186i,-0.00036039+0.0019388i,-0.00025651+0.0022437i,0.00072812+0.0015782i,0.001915+0.00043297i,0.0018403-0.00013508i,0.0017954+0.00029462i,0.0019421+0.00010869i,0.0014043-0.0010857i,0.00079667-0.00073954i,0.00032138+0.00011549i,-0.00055283-0.00013164i,-0.00010253-0.00062457i,0.00060471-0.00041365i,-5.3365e-05-0.00056167i,-9.2751e-05-0.0009595i,0.00037969-0.00065639i,0.00042224-0.00041169i,-0.00033491-0.00091753i
