0.00056937+0.00019808i,0.00092087-0.0011242i,0.0010762-0.0028588i,0.00081499-0.0026155i,-0.00060026-0.0011851i,-0.0017072-2.903e-05i,-0.0017154+0.0011274i,-0.0013101+0.0012215i,-0.00042806-4.3948e-05i,0.00032224-0.00097882i,-0.00027117-0.0013728i,-0.0014299-0.0012749i,-0.0018792-0.0010827i,-0.0015149-0.00065244i,-0.00094075+0.0004181i,-0.00036214+0.0007692i,-0.00031778+6.7751e-05i,-0.00060471-0.00062717i,-0.00069702-0.00067931i,-0.0001063-0.00048643i,0.00053843+0.00025895i,-0.00036503+0.00054538i,-0.00072248+0.00017412i
-0.00058152+0.0013844i,0.00018877+0.00018586i,-0.00014477-0.00056783i,-0.00079749-0.00058173i,-0.00074621+6.3505e-05i,0.00023002-5.4224e-05i,0.00029786-4.5054e-05i,0.00036112-0.00022771i,-0.00039572-0.00047264i,-0.00065214-0.00040047i,-0.00021437-0.00029366i,-0.00056755-0.00034441i,-0.00093737-0.00041215i,-0.00092932-0.00032612i,-0.00076469+0.00013455i,-0.0007805+0.0001793i,-0.00055544+0.00027324i,-3.952e-05+0.00059646i,0.00041777+0.00057926i,0.00010922+0.00048744i,0.00036726+0.00019699i,0.00031778-0.00010634i,-0.00027717+0.00022643i
-0.0016889-9.0324e-05i,-0.0027904+0.00023757i,-0.0017969+0.00099572i,-0.00064308+0.00094761i,-0.00036789+0.00063092i,0.00014616+0.00011558i,0.00016734-0.00061434i,-0.00030811-0.00024413i,-0.00040542-0.00028871i,-0.00022303-0.0004836i,-0.00047436+0.00028431i,-0.00080916+0.00061685i,-0.00087454-0.00016939i,-0.0010647-0.00040242i,-0.0015616+0.00019575i,-0.00058645+0.00024564i,0.00060359-1.5061e-05i,0.00077649+0.00033132i,0.00042534+0.00082963i,2.0404e-05+0.00021969i,-0.00021646+0.00029782i,-0.00058463+0.00051729i,-0.0012+0.00051761i
3.6211e-05+0.0020579i,9.3657e-05+0.0018189i,0.00035614+0.00095223i,0.0005007+0.00033891i,0.00056905+0.00088262i,0.0011379+8.0474e-05i,0.0016677-0.00028234i,0.0010045+0.00050223i,-0.00054078+0.00046311i,-0.00098183-0.00058166i,-0.00010631-0.00051636i,8.2943e-05+3.5405e-05i,-6.3898e-05-1.4243e-05i,0.0001851+3.6208e-05i,-1.8332e-05+9.0023e-05i,0.00038898+0.00034836i,0.00047059+0.00041988i,2.673e-05-0.00068237i,0.00016289-0.0011978i,4.0566e-05-0.00049949i,-0.00013559-3.854e-05i,-0.00034967+0.00048924i,-0.00091153+0.00058235i
0.00047156+9.0266e-05i,0.0004866-0.00096123i,5.0471e-05-0.0010317i,-0.00066816-0.00094607i,-0.00047872-0.00072656i,0.0005249-0.00023863i,0.00059107-0.00020992i,-0.00053095-0.00042067i,-0.0011282-3.6636e-05i,-0.00054725+6.47e-06i,1.0422e-05-0.00030318i,-8.4624e-05-2.4636e-05i,0.00022592+0.00068384i,0.00067131+0.0010634i,0.00056116+0.00033884i,-3.065e-05+0.00019165i,-0.00025125+0.00036904i,0.00016275+0.0002061i,0.00020025-0.00015379i,0.00037208-0.00069119i,0.00042858-0.00031911i,8.2216e-05+0.00011743i,-0.000116-0.00035783i
0.00076354-0.0027669i,0.00054055-0.002668i,-6.112e-05-0.0038089i,-0.0010896-0.0039449i,-0.0021266-0.0019217i,-0.0010121+3.7462e-05i,0.00032393+0.00099595i,-0.00058532+0.00035858i,-0.0011881-0.00086227i,-0.0011267-0.00090285i,-0.00082391-0.0011214i,-0.00037778-0.0012078i,-0.00039228-0.00020836i,-0.0011062+0.000213i,-0.0012587+0.00042492i,-0.00050968+0.0009625i,-0.00019872+0.00073277i,-0.00011977+4.9445e-05i,-2.7205e-05-4.6708e-05i,-0.0004496-0.0003383i,-0.00025166+8.9102e-05i,0.00012487+0.00035844i,0.00022165-6.4231e-05i
0.0023665-0.0005068i,0.00018499+1.782e-05i,-0.0012207-0.00031206i,-0.0015388-0.0014167i,-0.0014385-0.00088733i,-0.00044147+1.5153e-05i,9.2261e-05-0.00074145i,-0.00045974-0.00031983i,-0.00061594+0.00060574i,-0.00042448+0.00020493i,-0.00022272+7.8086e-06i,-0.00077011+9.7873e-05i,-0.0016031+0.00018064i,-0.00099323+0.0004947i,-0.00052076+0.00041014i,-0.0012204+0.00050222i,-0.00089469+0.00076143i,-0.00018073+0.00048342i,0.00031885+0.00014499i,0.00077245-0.00025648i,0.00025238+0.00032379i,0.00038936+0.00061648i,0.00049526-0.00045691i
-0.0010537-8.6344e-05i,-0.00050598-0.000193i,-0.00068972-9.806e-05i,-0.0016641+0.00084252i,-0.0010398+0.0016357i,0.00095806+0.0017294i,0.0012241+0.00070976i,-7.7873e-05-0.00058529i,-0.0010086-0.00029802i,-0.0011405-2.4384e-05i,-0.00091049-0.00037153i,-0.0014486-0.0001759i,-0.0019132+0.00081682i,-0.0011431+0.0015308i,-0.00023949+0.0018825i,-0.00037219+0.0015028i,-0.00026457-0.00019903i,8.017e-05-0.00050657i,0.00018795-0.00013201i,-0.00040892-0.00030733i,-0.00070407-0.00077671i,-0.0004705-0.00044242i,-0.001168-0.00035614i
-0.00018036+0.0013261i,8.6269e-05-0.00012236i,1.4271e-05-0.00095493i,-0.00069943-0.0011671i,-0.00056994-0.000352i,-0.00078715+0.0011692i,-0.00059192+0.00072344i,0.00048908-0.00012729i,0.00075511-0.00047649i,0.00015214-0.0011944i,-0.00019304-0.00066276i,-0.00068265+0.0003631i,-0.0010153+0.00017225i,-0.00064723+0.00011145i,-0.0007589+8.1783e-05i,-0.0012207-0.00040719i,-0.00063063+0.0001154i,0.00037911+0.00091041i,0.00050039+0.0011157i,2.3714e-07+9.7174e-05i,9.3521e-05-0.0014163i,0.0004657-0.0011978i,4.7405e-05+2.3494e-06i
0.0006414-0.0019796i,-0.00065848-0.0015576i,-0.0014739-0.0014617i,-0.0025683-0.00075338i,-0.0028535+0.00015145i,-0.0013879+0.00061542i,-0.0006277+0.00028016i,-0.00024836-0.00026249i,-0.00024356+0.00030898i,0.00023213+0.00068644i,-0.00023479+0.00053969i,-0.0013103+0.00017471i,-0.0015155+0.00060064i,-0.0013117+0.00090137i,-0.0012411+0.00084849i,-0.0013788+0.0002088i,-0.00033108+7.0184e-05i,0.0010865+0.000623i,0.00093874+0.00066243i,0.00014819+5.777e-05i,-0.00047431-0.0013229i,-9.9292e-05-0.0018352i,0.00089867-0.00074368i
0.00084128-0.00056519i,0.0004431-0.0011146i,0.00026826-0.0016992i,0.00036632-0.00084375i,0.0010304+0.0003568i,0.0014084+0.001158i,0.00044987+0.00090243i,-0.00035233-0.00030463i,-0.00024902-0.00070426i,0.00026889-0.00050984i,0.00029032-0.0006173i,-5.5236e-05-0.00079742i,-0.00051906+0.00013489i,-0.00065213+0.00096264i,-0.00079423+0.00042574i,-0.00099896+0.00019462i,-0.00078118+0.00037562i,-0.00077494-0.00020376i,-0.000579-0.00048377i,0.00041519-0.00095958i,0.00087062-0.0012582i,0.00068028-0.00034797i,0.000394+0.00034804i
-0.0014032+0.00088336i,-0.0010296+0.0012605i,-0.00024623+0.00058872i,-0.0011546-6.5416e-05i,-0.0013631-0.00012623i,-0.00046053+0.00047637i,2.427e-05+0.00094489i,-0.00022525+0.00088046i,0.00044316+0.0003026i,0.00069044-6.1829e-05i,-3.1108e-05-3.9831e-05i,-0.0003476+0.0004554i,-0.00019194-0.00036269i,0.0001674-0.0010699i,-0.00064021-0.00064726i,-0.00078954-3.2223e-05i,-0.00048358-5.5429e-06i,-8.9179e-05-0.00019795i,0.00065178+0.00010322i,0.00044394+0.00088531i,0.00048478+0.0013473i,0.00081775+0.00051806i,0.00021885-0.00085609i
-0.00044298-0.00070348i,-0.0010976-0.001035i,-0.0022231-0.00095528i,-0.0023029+0.00025117i,-0.00089244+0.0013033i,0.00047114+0.0011507i,0.00092699+0.00037197i,0.00088112+5.512e-05i,0.00054255+0.00025869i,-0.00051102-0.00031533i,-0.0011036-0.00061119i,-0.00062784+0.00027685i,2.805e-05-8.0506e-05i,8.0073e-05-0.00076986i,-0.00042207-0.00039976i,-0.0004485+0.00035573i,-0.00098517+0.001164i,-0.00092249+0.0013325i,-0.00035761+0.00032584i,-0.00087788-0.00063508i,-0.0010836+8.7799e-05i,-0.00033153+0.00036564i,0.00040351-0.00036618i
