-0.00091829+0.00031107i,-0.00095442+0.00038967i,-0.0013495-8.7924e-05i,-0.001387-0.00076887i,-0.00059614-0.00083232i,-0.00037813+0.00015113i,-0.00056699+0.0009606i,0.00013612+0.0016133i,0.00011146+0.00053126i,0.00076729-0.0010629i,0.001572-0.0013231i,0.00078082-0.0011277i,9.3244e-06+7.9052e-05i,-0.00043557+0.00082318i,-0.00046042-8.1181e-05i,5.6223e-05-0.0010824i,0.0002311-0.0011124i,0.00050488-0.00065902i,0.00039444+0.00020014i,2.8802e-05+0.00056144i,-0.00026024+0.00095547i,-0.00093551+0.00085589i,-0.00063563-0.00033559i
-0.00070726-2.7052e-05i,-0.00010714-0.0007197i,0.00074777-0.00087952i,0.00089459-0.00034515i,0.0019555+4.3701e-06i,0.0029062-0.00048461i,0.0022179-0.00083995i,0.001228-0.00098977i,0.00043092-0.00051728i,0.00062162+0.00021992i,0.00077434+0.0012257i,0.00061744+0.00037483i,0.00022392-0.00050598i,-0.0001398-7.9514e-05i,4.5806e-06+0.00015581i,0.00017465+0.00032348i,8.4425e-05+0.00028656i,0.00044016-0.00024507i,0.00068645-0.00020338i,0.00037639-0.00031394i,0.00012767-0.00070788i,0.00061309-0.00047986i,0.00085183+0.0001678i
0.0011239+0.00071212i,0.00034361+0.0015431i,-0.0005651+0.0012223i,-0.00049432+0.0012384i,0.00036632+0.0011978i,0.00095576-0.00014293i,0.00041388-0.0012927i,-4.8841e-05-0.0012382i,-0.00038555-0.00063977i,-0.00059808+0.00044874i,-0.00031471+0.0010189i,0.00041401+0.00068781i,0.0010155-0.00032528i,0.0005924-0.00043145i,-0.00046454+0.00025199i,-0.00033384+0.00041426i,0.00018993+0.00058443i,0.00025679+0.00018187i,1.9174e-05+1.7809e-05i,-0.00029448-8.6228e-05i,-0.00081429-0.00012543i,-0.00087365-0.00039241i,-5.5912e-05-0.00075386i
-0.0010302+0.00023968i,-0.00046382+0.00055516i,0.00083295+0.00025257i,0.0022403+2.9535e-06i,0.0026441-0.0011806i,0.0021786-0.0020924i,0.0011007-0.0017604i,0.00025863-0.00064163i,0.00037832+0.00043126i,3.7023e-05+0.00056017i,-0.00032052+0.00032228i,-4.5797e-05-0.00037993i,0.00038734-0.00072375i,0.00067421-0.00048851i,0.00022853+0.00013863i,-0.0002448+0.00045201i,-0.00012908-5.8725e-05i,-0.00012784-0.00021255i,-0.00051748+0.00048897i,-0.0010558+0.00068232i,-0.00087987+0.00044072i,-0.00030102+0.00092819i,-0.00035155+0.00091739i
-0.00093085-0.00053242i,-0.00082859+0.00029953i,-0.00091168-0.00012717i,-0.00050144-0.00053895i,0.00091147-0.0003202i,0.0020243-0.001217i,0.0011429-0.0018278i,-0.00077092-0.0016248i,-0.0014963-0.00050491i,-0.00093429+0.00039191i,-0.00021429-0.00016329i,0.00025021-0.00026101i,0.00031733-0.00016505i,-1.9582e-05-0.00013071i,-0.00045893-0.00016823i,-3.7321e-05-0.00038217i,-4.6625e-05-0.00012079i,0.00017835+0.00029098i,0.00039967-4.2375e-05i,-0.00029212-0.00061167i,-0.00036214-0.00069879i,4.682e-05-0.00045772i,-0.00017392+0.00028363i
0.00075195-0.002468i,0.00025355-0.0016565i,3.989e-05-0.0011252i,0.00063389+2.0742e-05i,0.00095935+6.2059e-05i,0.0019205-0.0012021i,0.0020247-0.0017072i,0.0011684-0.0011876i,-8.1616e-05-0.0007461i,-0.00146-0.00096146i,-0.0012992-0.0012254i,-0.00051935-0.0011019i,-5.6239e-05-0.00026848i,0.00039146+0.00022556i,0.00059276+0.00091494i,-5.0157e-05+0.00078025i,-0.00046085-0.0001243i,-0.00019467-0.00085351i,0.00018948-0.00088451i,0.00086474-0.00054397i,0.00044725+0.00015393i,-0.00060758+0.00027379i,-0.0004786+0.00011415i
-0.0001799-0.0013743i,0.00053859-0.0019343i,0.00021919-0.0023316i,0.00023264-0.0020631i,0.0010769-0.0015618i,0.0018358-0.0012609i,0.0015806-0.00091377i,0.00063477-0.0010144i,2.1891e-07-0.00041328i,-0.00038952+0.00011695i,-0.00072174+4.9288e-05i,-0.00079277+0.00034772i,-0.00033514+0.00091379i,-0.00021038+0.00078841i,-0.00018148-0.00027427i,0.00041303-0.00021281i,0.00050189+0.00021682i,0.00032577+0.00020997i,-0.00030141+0.0006465i,-0.00038779+0.00082884i,0.00020009+0.0006082i,-0.00024516+3.4111e-05i,-0.00067971-0.00019571i
-0.0023777-0.0014336i,-0.0023808-0.00021207i,-0.0019685+0.00046829i,8.2048e-05-3.253e-05i,0.0020041-0.0005557i,0.001971-0.0010665i,0.0011529-0.0021245i,0.0010357-0.0018975i,0.00034637-0.00029372i,-0.0004848+0.00059197i,-0.00030065+0.00035798i,0.00060086-0.00014907i,0.00042508-0.00010842i,-0.00024757+0.00093678i,-0.00063357+0.001228i,-0.0004374+0.00099186i,0.00011182+0.000576i,0.00032431-0.00019473i,0.00020514-0.00044126i,0.00056878-0.00024302i,0.00052061-0.00013036i,-0.00094166+0.00023218i,-0.0011068+0.00011792i
0.0011049-0.0010008i,0.00011471-0.0016901i,0.00045945-0.0017775i,0.0017486-0.00065106i,0.0022876-0.00046321i,0.0014305-0.00028351i,-4.6635e-05-0.00071299i,-0.00077898-0.0012447i,-0.00033064-0.0010488i,-7.331e-05-0.00091564i,-0.00057428-0.00040077i,-0.00080016+7.2e-05i,-0.00061263-9.0595e-05i,1.5955e-05-0.00058637i,0.00044977-0.0001133i,0.00042857-0.000123i,0.00025653-0.0012186i,0.00080211-0.00095606i,0.0012613+1.5948e-05i,0.00080358+0.00034638i,-1.9921e-05+0.00053252i,0.00027575+0.00015343i,0.0011329-6.388e-05i
0.0028027+0.0015795i,0.0036781+0.0012237i,0.0027327+0.0013621i,0.0010335+0.00040114i,0.0011896-0.0016895i,0.0017808-0.0029314i,0.0014523-0.0026624i,0.00061358-0.0010799i,0.0001373+4.4151e-06i,-0.00019726+0.00018996i,-0.00043706+0.00072202i,-0.00097828+0.00087984i,-0.00051153-0.00012415i,0.00041473-0.00035993i,0.00033559+0.00013609i,-0.00027441-0.00023253i,-0.0005108-0.00047797i,0.00027637-0.00069769i,0.00015381-0.00062995i,-0.00043902-0.00069141i,0.00013837-0.00065607i,0.00012908-0.00011376i,-1.9914e-05-1.5613e-05i
0.0013773-0.0029106i,0.0018387-0.0022167i,0.0027559-0.0018508i,0.0022673-0.001778i,0.0015028-0.0015259i,0.0011337-0.00031278i,0.00077918+0.00027365i,1.9377e-05+0.00044428i,-0.00052639+7.7023e-05i,-0.0010128-0.00044776i,-0.0010273+6.5311e-05i,-9.9132e-05+0.00047093i,0.00018648+0.00028792i,-5.7889e-05-0.00018389i,-0.00068673-0.00063623i,-0.0010234-0.00021951i,-0.0001936+0.00017418i,0.00070682+0.00036477i,0.00077918+0.00023806i,0.00095184+5.9575e-05i,0.0004259-0.00046269i,-0.00038446-0.00098741i,-0.00091781-0.00066754i
-0.00027553+0.0014642i,-0.00015019+0.0021448i,0.00011717+0.0027482i,0.0012573+0.0022948i,0.0023957+0.0014155i,0.0016566-0.00076976i,0.00037128-0.0023519i,-0.00032885-0.0019155i,-0.00082899-0.0011487i,-0.0006677-0.00055638i,-6.8333e-06-0.00051697i,0.00018949+0.00020416i,0.00034874+0.00051871i,0.0014202+0.00027895i,0.0012732+0.00038089i,0.00017603+0.00052917i,0.0006079+0.00082126i,0.0010191+0.0012568i,7.6979e-05+0.0013952i,-0.00021746+0.00052443i,0.00027772-0.00035482i,0.00026503-6.8638e-05i,-0.00039023+0.00057808i
0.0021106-0.00034303i,0.0026098-0.0007779i,0.0015953-0.00069647i,0.00049864-0.00068742i,0.0010032-0.0011588i,0.001414-0.0014408i,0.00095043-0.001173i,0.00014083-0.00092921i,0.00026976-0.0013406i,0.00018357-0.0010463i,-0.00088726-0.00028517i,-0.001236-7.3803e-05i,-0.00060611-0.00022692i,-0.0010821+0.00035814i,-0.0015937-0.00028937i,-0.00089726-0.00090471i,0.00010784-9.1058e-05i,0.00048565+0.00037426i,0.00011224+0.00080023i,-0.0004803+0.00069938i,-0.00084639+0.00026866i,-0.00047711+0.00062677i,-9.8531e-05+0.0011308i
0.0011144+0.0015561i,0.0015823+0.00086367i,0.0025859+0.00013764i,0.0032429+0.00025033i,0.003288-0.0001706i,0.0033852-0.0014507i,0.0025587-0.0018359i,0.00068017-0.001235i,-0.00092017-0.00080051i,-0.0015981-0.00040947i,-0.00083323+0.00018606i,-4.0136e-06+0.00026423i,-0.00011626-6.5873e-05i,-7.1806e-05-0.00013621i,0.00023828-0.00033908i,0.00047012+0.00032093i,-0.00017567+0.0013i,-0.00078215+0.00079965i,-0.00059619-0.00025041i,-0.00073093-2.6382e-05i,-0.00064463+0.0011271i,4.5172e-05+0.0016581i,0.00061835+0.0011588i
-9.0546e-05-0.0021337i,0.00044298-0.0032173i,3.7059e-05-0.0021553i,-0.00025231-0.0011914i,0.00064597-0.00079717i,0.0016664-0.0009619i,0.0014844-0.0013376i,0.00075095-0.0010497i,-6.11e-05-0.00084369i,-0.00061058-0.00049684i,-0.00022564-0.00011951i,0.0002621+3.2273e-05i,4.5603e-05+0.00022487i,0.00046407+0.00018729i,0.00058035-0.00010326i,0.00025335-0.00029518i,0.00011216+0.00022871i,-1.8175e-05+0.00085785i,0.00063389+0.0010787i,0.00055481+0.00095048i,0.00032297+0.00045117i,-0.00016761+2.5312e-05i,-0.00084312-0.00034184i
-9.0723e-05-0.0010522i,-0.0011375-0.0013185i,-0.0033244+0.00025289i,-0.0029953+0.00048773i,-0.00016378+0.0002812i,0.0014321+9.9854e-05i,0.00063815-0.00055382i,-0.00046675-0.00075872i,-0.00076092-0.00059009i,-0.00046551-2.2737e-05i,-0.00044748-0.00021168i,-0.00042674-0.00010485i,3.0754e-05+3.5302e-05i,-0.00030014-0.00029684i,-0.00061325-0.00037213i,0.00063023-0.00019613i,0.0014005+0.00012154i,0.0015147-1.6081e-05i,0.00094008+0.00017994i,-0.0010653+6.8991e-05i,-0.0015197+0.00017713i,-0.00053493+0.00081991i,-1.4098e-05+0.00070634i
0.00084525-0.00088438i,0.0005967-0.0007824i,0.0020865-0.00034933i,0.0032035-0.00066214i,0.0030805-0.0014825i,0.0029049-0.00098341i,0.0027104-0.00069011i,0.001751-0.0012482i,0.00018025-0.00099051i,-0.0007024-0.00014884i,-0.00059381+0.0004079i,0.0001815+0.0004085i,0.0009675-6.257e-06i,0.00061265+0.00012922i,0.00044894+0.00031395i,0.00011282+0.00024654i,0.00044588-7.5602e-06i,0.00068553-0.00011334i,-0.00018002-0.00040107i,-0.00063199-0.00080507i,-0.00036137+5.3152e-05i,1.5361e-05+0.000366i,0.0001942+0.0002964i
-0.00059221+0.00075588i,-0.00013705+0.00070691i,-0.00064263+0.00087639i,0.0011866+0.0007267i,0.0029037-0.00020986i,0.0026415-0.0010095i,0.0022107-0.001529i,0.0015867-0.00079352i,0.00052028+0.00022106i,-5.5127e-05-0.00067472i,-0.00056133-0.0010042i,-0.00026254-0.00076538i,0.00014729+0.00023889i,-0.00026626+0.00030084i,-0.00024466-0.00054212i,-9.3506e-05-0.00022701i,-2.2932e-05+0.00023687i,-0.00010115+0.00013525i,-0.00038193-1.3071e-05i,-0.00068944-0.00021691i,-0.00054879-0.00065036i,0.00034967-0.00049374i,0.0010564-0.00018183i
-7.3101e-05+0.0041551i,0.00089787+0.005071i,0.0014946+0.0044419i,0.0015479+0.001925i,0.002283-7.8305e-05i,0.0023161-0.00077995i,0.00065267-0.00084669i,-0.00015855-0.00082054i,0.00028795-0.00033219i,0.00037595-0.00027041i,0.00082042-0.00038654i,0.00063281-3.4094e-05i,-0.00030528+0.0004524i,-0.00057615+8.8371e-05i,0.00062023-0.00015777i,0.0017025-0.00014574i,0.0013271+0.00016564i,9.8782e-05+0.00086543i,-0.00021462+0.0009247i,0.00011378+0.0008252i,0.00018577+0.0005283i,-0.00023645-0.00010807i,-0.00070177-0.0007591i
-0.0017354-0.0024238i,-0.00116-0.0026531i,-0.0004136-0.0025559i,8.363e-05-0.002046i,0.001157-0.0012504i,0.0016283-0.00067069i,0.0015382-0.0006824i,0.00055634-0.00043853i,-0.0013262+0.00022124i,-0.0011327+0.00012707i,0.00020763-0.0002562i,0.0004177+6.1469e-05i,0.00039104+0.00049025i,0.00048851+9.878e-06i,-7.3705e-05-3.5761e-05i,-0.00066521+8.5224e-05i,-0.00035291+1.0741e-05i,-2.5701e-05+2.5172e-05i,-0.00014554-0.00011994i,-0.0006354+9.7271e-05i,-0.00086944+0.0003924i,-0.00053101-0.00013113i,-0.00086465-0.00015548i
0.00045601+0.00065867i,0.00057614+0.0018013i,-0.0002879+0.0011962i,0.00025876-0.00028521i,0.0025276-0.00067605i,0.0029597-0.00096179i,0.00185-0.0013648i,0.00075949-0.0013483i,-0.00027864-0.00072125i,-0.00077819-0.00018443i,-0.00099665-0.00026423i,-0.00080732+2.9645e-05i,-0.00069089+0.00024451i,2.7818e-05+1.8821e-05i,0.00032704-0.00011353i,0.00029695+0.00039542i,0.00045322+0.00065351i,0.00059683+0.0007098i,0.00062655+0.00065471i,0.00032914+0.00027675i,0.00049475+0.000729i,0.00023695+0.00073308i,-0.00017948+0.00019205i
-0.0013913-0.0010889i,-0.0016464-0.00046016i,-0.0018765-0.00062887i,0.00015507-0.0003481i,0.0026959+0.001272i,0.0028585+0.00056297i,0.001321-0.0017112i,0.00039748-0.0022539i,0.00030673-0.0014257i,-0.00039198-0.0008947i,-0.00090703+2.4628e-05i,-0.00025459+0.00029579i,0.00018221+0.00011688i,-0.00016952+0.00079748i,-0.00014138+0.00070774i,0.00043657+0.00092056i,0.00024595+0.00089201i,0.00029053+0.00014976i,0.00015975+2.9988e-05i,-0.00055601+0.00042341i,-0.00045632+0.0002127i,4.9092e-05-0.00084275i,0.00054816-0.00026565i
0.0026456-0.0020217i,0.0025397-0.0019523i,0.0016602-0.0026136i,0.00039731-0.0019871i,0.00025809-0.0014435i,0.00084697-0.00098697i,0.0014261-0.00076615i,0.00082123-0.00084454i,-0.00012147-0.0016783i,-9.1586e-05-0.0016798i,-0.00029977-0.00074933i,-0.0010236-0.00098326i,-0.0018882-0.0017826i,-0.0012077-0.00159i,-0.00033774-0.0011977i,0.00018692-0.0014655i,0.00023202-0.0010816i,8.9058e-05-0.0005402i,-0.00020221-0.00069669i,0.00014904-0.0010822i,0.00060287-0.0010145i,0.00014617-0.00027062i,-0.000478-0.00041037i
0.00040141-0.00060164i,0.00046942-0.0007051i,6.665e-05-0.00097159i,-0.00014387-0.00096971i,0.00053087-0.00091877i,0.0015064-0.001144i,0.0015189-0.0016298i,0.0010583-0.00075705i,0.00039946-3.375e-05i,-0.00036254-0.00018932i,-0.0001824+0.00016742i,-3.7999e-05+0.00031228i,-0.00023735-0.00035087i,0.00011016-0.0009762i,0.00028129-0.00022791i,0.00028436+0.0010068i,0.00068796+0.00099413i,0.00061906+0.0011891i,0.00027698+0.0011019i,8.3934e-05-0.00013874i,-4.3216e-05-0.00013125i,-0.0002181+0.00022496i,-0.0011605-0.00030985i
0.00048617+0.00042845i,0.00054696+0.001145i,-0.00031432+0.00051527i,7.906e-05+0.00047516i,0.001797+0.00074415i,0.0021253+0.00022193i,0.0019603-0.0011869i,0.0014286-0.0015705i,-7.6173e-05-0.0012605i,-0.00069459-0.0002497i,-0.0011694+0.00028347i,-0.0013052+5.448e-05i,-0.00043166+8.1134e-05i,0.00048732+0.00044924i,0.00031117+0.00021414i,0.0002229-7.2631e-05i,-1.4649e-05+0.0004276i,-0.00030319+8.2742e-06i,-0.0003767-0.00030943i,-0.00089688-1.2927e-05i,-0.001061-0.00020865i,-0.00093502-0.00016612i,-0.0010117-0.00020231i
0.0016696+0.0022044i,0.0021671+0.0022118i,0.0026021+0.0019134i,0.0021894+0.00086132i,0.0019286-0.00092896i,0.0018087-0.002104i,0.0010634-0.0013917i,-0.00026024-0.00082395i,-0.00038292-0.0003007i,0.00019818+0.00015563i,0.000393+0.00010235i,0.00073324-0.00019025i,0.00053148-0.00056741i,0.0002614-0.00069677i,0.00075601-0.00021678i,0.00087882-2.5148e-05i,0.0010767+2.8491e-07i,0.00070478+0.00083436i,-0.00067624+0.00074067i,-0.0010943-0.00019326i,-0.00057934-0.00020767i,4.9351e-05-0.000368i,-9.9338e-05-0.0001333i
0.00042465+0.0013537i,0.0014056+0.00089398i,0.0025901-7.7635e-05i,0.0026136-0.0016306i,0.002768-0.0026239i,0.0027004-0.0021189i,0.001057-0.0013045i,-0.00032704-0.00095729i,-0.00016032-0.00077399i,0.00030447-5.8844e-05i,-4.0289e-05+0.00049167i,-0.00040001+0.00035817i,-0.00044287+0.00015968i,-0.00038452+0.00014619i,-6.3511e-05-4.6248e-05i,2.0329e-06-6.7641e-05i,0.0001825+0.00010359i,8.0434e-05-0.00014927i,-0.0001551-4.6539e-05i,-0.00011931+0.00018378i,-0.00010257+0.00012638i,0.00012603+0.00031311i,0.00029574-0.00015959i
0.0013579+0.00040595i,0.00092446-0.0008404i,0.001943-0.00030752i,0.0028667+0.0012262i,0.0024267+0.00018282i,0.0016064-0.00089255i,0.00075705-0.00049214i,0.00014042-0.00033082i,-0.00021025-0.00095466i,-0.0005291-0.0013673i,-0.00069885-0.00089645i,-0.00047331-3.7434e-05i,-0.00027059-0.00020767i,-0.0007433-0.00056483i,-0.00042493-0.000333i,-0.0001209-0.00036123i,0.00026718-0.00034131i,0.00049101-0.00010496i,0.00014558+0.0002706i,0.00031024+0.00024766i,0.00017018-7.5517e-05i,4.541e-05+9.4918e-05i,0.00022902-0.00016445i
0.00083189+2.4943e-05i,0.00056444-9.7068e-05i,0.00021372+0.00020761i,0.0010916+0.00069473i,0.0020344-2.077e-05i,0.0026402-0.0010557i,0.0024921-0.0010413i,0.0017256-0.00072568i,0.00072385-0.00081906i,-0.00051664-0.00096928i,-0.0005926-0.00019831i,5.6817e-05+0.00055086i,0.00025568+0.00053233i,-0.00012268-0.00011119i,-0.00067625-0.00029318i,-0.00064013-5.7754e-05i,-0.00065071+0.00019831i,-0.00056426+0.00038838i,-0.00028728-0.00030489i,-0.00066699-0.00090794i,-0.0011486-0.00089685i,-0.00095837-0.00034633i,-0.00039463+0.00067494i
0.00071532-0.00040107i,9.0668e-05+1.3574e-05i,-0.00078321-0.0011415i,-0.00046268-0.0010427i,0.00020929+0.00072577i,0.00061151+0.0013253i,0.00062892-0.0001832i,-6.3456e-05-0.0010273i,-0.0011958-0.0006053i,-0.00096288-0.00018415i,-4.2038e-05+0.00053516i,0.00080894+0.0006764i,0.00087405+0.00054532i,-5.5027e-05+0.00091731i,0.00016188+0.00082526i,0.0011854+4.8369e-05i,0.0012333-0.00073433i,0.0010207-0.0011392i,0.0013001-0.00018297i,0.00024861+0.00066224i,-0.00042099+0.00043295i,0.00056135-0.00020122i,0.00089978-0.00023077i
-0.0013683+0.0017797i,-0.00015457+0.0022437i,0.0019659+0.0027524i,0.0025347+0.0016134i,0.0026624-0.00050304i,0.002701-0.0018694i,0.0016324-0.0016088i,0.00074831-0.00062307i,-0.00035512+0.00013905i,-0.00099657+0.00014764i,0.00020521+1.5875e-05i,0.00095091+0.000189i,0.00033856+0.00036499i,-0.00049632+0.00019869i,-0.00066656-0.00022732i,0.00015772-0.00053225i,0.00061688+0.00036573i,0.00065684+0.00097858i,0.00043611+0.00010086i,-0.00041994+7.3417e-05i,-0.0010445+0.00039213i,-0.00046711+0.00019104i,0.00035078+0.00032219i
0.001441+0.0024971i,0.0020439+0.0017038i,0.001642+0.00051725i,0.0017142-2.6825e-05i,0.0021138-0.0010583i,0.0017557-0.0019632i,0.00046089-0.0013435i,-0.00055675-0.00095364i,-0.0010787-0.00099023i,-0.00099388-0.00073864i,-0.00063056-0.00017179i,-0.00034424-0.00011158i,-0.0005702-0.00015214i,-0.0004783+0.00018754i,9.5605e-05+0.00034083i,-0.00016095-0.00061082i,-0.00023119-0.0013338i,0.00033035-0.0010523i,0.0011144-0.00068287i,0.00096134-0.00048831i,0.00012765+0.00014593i,-0.00043694+0.00048812i,-0.00056794+0.00065263i
0.0012687+0.00048342i,0.0018218+0.00067083i,0.0031109+0.0014492i,0.0032824+0.00062903i,0.0038889-0.00077294i,0.0032165-0.0016687i,0.00099536-0.0019755i,-0.00020439-0.0010863i,-0.00013026-0.00088129i,0.00034701-0.0010724i,0.00025474-0.00048907i,-0.00012678-0.00057451i,0.00010076-0.00054396i,-0.0001017-0.00023659i,-0.00015542+6.5438e-05i,4.474e-05-2.2601e-05i,0.00010836-0.00040824i,0.0005911-0.00053363i,0.00012151+3.9818e-05i,-0.00046965+0.00036082i,-0.00019602+0.00078519i,-0.00027934+0.00093668i,-0.00066493-0.00011663i
