0.0025211+0.0022129i,0.0024439-0.00035549i,0.0015791-0.0031407i,0.00037281-0.0034304i,-0.0013847-0.0013935i,-0.0026906+0.00093069i,-0.0017722+0.001933i,0.00051833+0.0017806i,0.0020747+0.00067027i,0.0016802-5.2552e-05i,0.0007177-0.00026362i,0.00025703-0.00094549i,-0.00074091-0.0010499i,-0.0015236-0.00024476i,-0.0015349+0.0003794i,-0.0010994+0.00040776i,-0.00054376+0.00011861i,0.00021018-0.00049098i,0.00078497+5.8456e-05i,0.00083385+0.00079471i,0.00031059-6.1846e-05i,-0.0001541-0.00095848i,4.0837e-05-0.00056908i
-0.00056042+0.000146i,-0.00053544-0.00046674i,-0.00040427-0.00013246i,-0.00063478+0.00012738i,-0.00059255+0.00028831i,9.3185e-05+0.00069878i,0.00060263+0.00082802i,0.00014457+0.00043666i,-0.0006349+6.7805e-05i,-0.00071014-0.00026591i,-0.00032176-0.00042243i,-0.00017057-0.00044263i,-0.00068262-0.00028665i,-0.0011306-0.00022734i,-0.00075614-0.00037531i,1.8178e-06-0.00066761i,0.00060134-0.00012476i,0.00064269+0.00031784i,-0.00035483-3.184e-05i,-0.00089467-9.5046e-05i,-0.00034628+0.0002118i,0.00037874-9.6546e-05i,0.00038829-0.00054093i
0.0010192-2.124e-05i,0.0016533-0.0004671i,0.00054783-0.001493i,-0.00052527-0.0016201i,-0.00066959-0.00037614i,-0.0012165+0.00063591i,-0.0010397+0.00064508i,-0.00053976+0.0010012i,-0.000315+0.0003151i,-0.00030211-0.00023642i,-0.00018661-0.00052777i,-4.1696e-05-0.0008146i,-0.00034954-0.00031996i,-0.0010943+2.842e-06i,-0.00098199-0.00023136i,-0.00027472+0.00033304i,-8.22e-05+0.00056121i,-0.00014841-8.1591e-05i,-0.00016644-5.9041e-05i,0.00013035+0.00033193i,0.00035533+0.00031238i,0.00066891+0.00053458i,-7.9795e-05+0.00025662i
0.0015044-0.00051348i,0.00052985+0.0016112i,0.0001943+0.0016583i,0.0011918-6.7298e-05i,0.0011193-0.0008678i,-8.5954e-05+9.8488e-05i,-0.0010311+0.00017374i,-0.00043983-0.00037854i,-5.8149e-05-0.00055362i,-0.00015152-0.00074315i,-0.00033911-0.00033538i,-0.00028765+0.00013517i,-0.0003243+0.00066856i,-0.00088435+0.00074412i,-0.0016043+0.00059598i,-0.0014247+0.0011007i,-0.00094348+0.0010835i,-0.00080694+0.00067308i,-2.1909e-05-0.00012949i,0.00056361+0.00019266i,0.00072879+0.00085747i,0.00058456+0.00028397i,-7.3514e-05-0.00057067i
-0.0013584-0.0018437i,-0.0010749-0.0017381i,-0.0014901-0.0014797i,-0.00086071-0.0005508i,-0.0001686+0.00049868i,-0.00066259+0.0012222i,-0.0011882+0.0006583i,-0.00063852+7.2086e-05i,-2.5538e-05+0.00014589i,4.3951e-05-4.3641e-06i,-0.00056083-0.00031398i,-4.0677e-05-0.00099126i,0.00096712-0.00022502i,0.00079283+0.0012445i,4.9304e-05+0.0011625i,-0.00046504+0.0005253i,0.00054479+0.00025988i,0.0010805+0.00042611i,0.00092979+0.00042588i,0.001216+8.7994e-05i,0.00097898-0.00026339i,-0.00021307-0.00030214i,-0.00043846-1.6757e-05i
9.0865e-05+0.0014674i,0.0013453+0.0012987i,0.0010704+0.0021771i,0.00075635+0.0017749i,0.00068984+0.0009049i,0.00049444-0.0002143i,0.00036826-0.00084454i,0.001102-7.4046e-05i,0.001192+0.00048271i,0.0012653+0.00088254i,0.0012737-0.00018516i,0.00074694-0.0015401i,0.00042182-0.0012912i,0.00053781-0.00087766i,0.00048521-0.00051497i,0.00038099+0.00037036i,0.00065984+0.00054062i,0.00062162-0.00024416i,0.00077924-0.00046163i,0.00036414+5.8291e-05i,0.00057229+0.0001075i,0.0015686-0.00022306i,0.0012119+0.00051932i
0.00099366-0.0017578i,0.00082518-0.0011855i,0.00025435+0.00011324i,-0.00028169-0.00019559i,-0.00011819-0.00017884i,0.00027538+0.00061231i,0.00059049+0.0011564i,0.00093741+0.0011053i,0.00029201+6.5754e-05i,-0.0005968-0.00038253i,-0.00086489-0.00050014i,-0.00032423-8.0979e-05i,-0.00039198+9.6384e-05i,-0.0011846-0.00041816i,-0.0010939+0.00014919i,-0.00049839+0.00011992i,-9.9142e-05-0.00065017i,0.00047005-8.6113e-05i,0.00044414+0.00046111i,0.00052661-0.00013793i,0.00025513-0.00053048i,-0.0001384+0.00017564i,-0.00012165+0.00089443i
0.0022334-0.0008938i,0.0018893-0.0014912i,0.0014806-0.0022059i,0.00015231-0.0023168i,-0.00078228-0.0010905i,-0.0011846+0.00040371i,-0.00069994+0.0012983i,9.1804e-05+0.0010924i,0.00027354+0.00080143i,-0.00027984+9.1453e-05i,-0.00027697-0.00064942i,0.00038988-6.3351e-05i,0.00046063+0.00099254i,0.00011882+0.00079991i,7.2177e-05+0.00053469i,-0.00058245+0.00076725i,-0.00078514+0.00092598i,-0.00065602+0.0011267i,-0.0010334+0.00034988i,-0.00025587-8.8309e-05i,0.0012092-0.00053882i,0.00087366-0.0010502i,0.0001411-0.001232i
-0.00090013+0.0016755i,-0.00078432+0.0027348i,-0.00027551+0.0021495i,0.00045946+0.00051092i,0.0011822-0.00023398i,0.0011893-0.00032085i,0.00037853-5.7818e-05i,0.00018661+0.0002193i,0.00071624+0.00060805i,0.001029+0.0003703i,0.00059039-0.00067536i,6.4459e-05-0.001117i,-0.00033291-0.00045032i,-2.1683e-06+0.0003239i,0.00023033-3.925e-05i,0.0002095-0.00031659i,0.00024387+0.00013708i,-0.00010314+0.00055755i,-0.00032647+0.00040798i,7.6801e-05+2.1505e-05i,0.001135+0.00030303i,0.00090472+0.00039927i,-0.0004094+0.00010001i
-0.0038102+0.00019629i,-0.0042123+0.00051349i,-0.0032105+0.0011455i,-0.00038436+0.0012577i,0.00073043+0.0011976i,9.5923e-05+0.00015139i,-0.00059795-0.00026126i,-9.1182e-05-0.00031548i,0.00040606-0.00041192i,-0.00018872-0.0003703i,-0.00015538-0.00056104i,0.00048769+7.4286e-05i,0.00098768-0.00011344i,0.00069518-0.0012863i,0.00024841-0.00080311i,0.00022794+9.6803e-05i,0.00023497-0.00041922i,0.00011835-0.0009565i,8.6607e-05-0.00090667i,2.6613e-05-0.00074971i,-0.0005051-0.0001585i,-0.00056396+0.00033278i,-0.00024409+0.00017773i
-0.00078538+0.00084823i,5.8418e-06+0.0013725i,0.0008904+0.0012437i,0.00095044+0.0014545i,0.0014155+0.0018784i,0.00096399+0.0015534i,0.00013235+0.00042097i,0.00079993-0.0001855i,0.00045958-0.00043358i,-0.00021654-0.0011504i,6.54e-05-0.0012326i,0.00014182-0.00073057i,-0.00015788-0.00022369i,-0.00011789+0.00031079i,-4.0776e-05-0.00020422i,-0.00025509-0.00036163i,-1.5976e-05+0.00033198i,0.0006999+0.0002012i,0.0008071+0.00014086i,-8.9648e-05+0.00025533i,-0.00034438-0.00018604i,0.00034882-0.00024938i,0.00088835+0.00010001i
-0.00018306+0.0010985i,0.00022672+0.00039717i,-7.907e-05+0.00067464i,-0.00016858+0.00034119i,0.00026571+0.00023018i,0.00079122+0.00022373i,0.00044644+0.00078611i,-0.00058004+0.00041526i,-3.2458e-05+0.00040761i,0.00013781+0.00066133i,-0.00049621+9.8632e-05i,-0.00070589-0.00055313i,-0.0010437-0.0010192i,-0.00090882-0.00064339i,-0.00060337-0.00027541i,-0.00012407-0.00058394i,-1.1114e-05+2.572e-05i,-0.00068383-0.00040387i,-0.00048031-0.00083487i,-0.00040952-0.00035212i,-0.00021617+0.00034921i,-7.4664e-05+0.00088192i,-0.0002204+0.00079288i
0.0035023+0.0010703i,0.0046425+0.0010354i,0.0040421-0.00015485i,0.0016104-0.0011584i,-0.0012199-0.00078812i,-0.0027316+0.00018572i,-0.0022277+0.0010616i,-0.0012474+0.0012936i,-0.00058427+0.0012237i,-0.00041953+0.00068351i,-0.00020341-0.00016751i,-0.0002086-0.0007144i,-0.00042812-0.00087421i,-0.00095408-0.00022557i,-0.0011589+0.00031974i,-0.0005961+8.3536e-05i,-0.00051353-0.00014303i,-0.00032787-0.00018792i,-0.00010529-0.000242i,-0.0001316-0.0004088i,-0.0001876-9.5665e-05i,0.00014073-0.00011007i,0.00045875+0.00028468i
-0.0015565+0.00078207i,-4.2504e-05+0.0014117i,-0.00025649+0.002433i,-0.00034204+0.0014883i,0.00092476-0.00047659i,0.0019016-0.0015537i,0.0019168-0.00055031i,0.0014564+0.00042855i,0.00049775+0.00046703i,0.00014623-4.2607e-05i,-0.00010572+1.7736e-05i,-0.0003324+0.00014976i,-0.00015435-0.00032892i,-0.00045399+2.7097e-05i,-0.0004559+0.00028603i,-0.00025462+0.00017384i,-0.00046587+0.00019999i,-0.00059749+9.3697e-05i,-0.00079129-0.00036604i,-0.00096027-0.00016672i,-0.00071479+0.00017747i,-0.00071041-0.00014477i,-0.00016843-1.0506e-05i
0.0011436+0.0010942i,0.0011083+0.00048359i,0.00066281+0.00057718i,0.0010396-0.00014492i,0.00091613-0.00052753i,0.00011701-0.00029006i,5.5188e-05+0.00011453i,0.00038065+0.00039227i,0.00032086+0.00043769i,0.00040292+0.00029678i,0.00045307+0.00019692i,0.00027912-0.00016216i,-0.00029028-0.00021234i,-0.00064098-0.00074358i,-0.00032775-0.0012994i,-5.9906e-05-0.00078064i,-0.00012247-0.00023957i,-0.00069672-0.00018063i,-0.00084157+0.00051916i,-0.00038752+0.0011502i,0.00026474+0.00094144i,-1.8801e-05+0.00039881i,0.0002406-0.00025543i
7.6386e-05+0.0013079i,0.0002302+0.00098762i,0.00024927+0.00024951i,0.00045329-0.00032616i,0.00014869-0.00078448i,-0.00021954-0.00038744i,0.00027032+0.00063188i,0.001102+0.00042312i,0.0010373+0.00032212i,0.00025134+0.00061663i,-0.00015672+0.00032296i,0.00036316-0.00042749i,0.00010049-0.00014619i,-0.0011434+0.00031721i,-0.00097146+0.000139i,-0.00042106-0.00010388i,0.00015067-0.00059308i,0.00082293-0.00065897i,0.00058452-0.00059986i,5.1468e-05-0.0002171i,-4.3835e-05-2.9783e-05i,0.00068277+0.00056465i,0.00063436+0.0010518i
0.00052341+2.0258e-05i,0.0014488+0.0003004i,0.0013837+0.00030523i,0.00010847+6.9181e-05i,-0.00083505+9.2229e-05i,-0.00052519+0.00072157i,-0.00058818+0.00079953i,7.5631e-06+0.0006474i,0.0011263+0.0006527i,0.00073344+0.0003968i,-0.00035437+0.00041639i,-0.00075961-0.00023732i,-0.00073761-0.00063816i,-0.0014358-0.00027394i,-0.001132-0.00086139i,-0.0010063-0.0013979i,-0.00086705-0.001019i,-0.0003591-5.5424e-05i,-0.00029365+2.1564e-05i,-8.3513e-05+0.00016353i,-0.00011345+0.00056206i,-0.00065056-0.00010083i,-0.0010123-5.8914e-05i
-0.00043442-0.00088604i,-0.00088466-0.00062098i,-0.00053626-0.00034643i,0.0001696-0.00029485i,7.1318e-05-0.00086936i,-0.00040148-0.00056768i,-0.00044546+0.00031761i,0.00021142+0.00033526i,0.00091584-0.00033173i,0.0013092-0.00062132i,0.0012322-0.00055994i,0.00074241-0.00025356i,-0.00018613+0.00034906i,-0.00080535+0.00042687i,-0.0011447+1.885e-05i,-0.00063576+0.00018615i,-0.00057644+0.00015334i,-0.0012746+0.0003719i,-0.0011613+0.00058915i,-0.00036513+0.0002691i,0.000396+0.0005382i,0.00074986+0.00098265i,0.00041756+0.0007498i
0.0017748-0.0010196i,0.0010772-0.0017124i,0.00037197-0.0010577i,-0.00048167-0.00065845i,-0.0010518+2.6079e-05i,-0.00059436+0.00059932i,2.9688e-05+0.00027065i,0.00040735+0.0010667i,0.00065644+0.0012971i,0.00039348+0.00020258i,0.00016918-0.00019375i,0.00031992+0.0002742i,-0.00011659+0.00030166i,-0.00012534-0.00014342i,0.00040504+9.0572e-05i,0.00037561+0.00047559i,0.00033957+0.00017918i,0.00038355-0.00039302i,-0.00012747-0.00042897i,-7.6148e-05-0.0002603i,-8.9356e-05+1.3039e-05i,-0.00036955-0.00035163i,-0.00057673-0.00057016i
0.0014205+0.00039758i,0.0018734+0.00074806i,0.0017775+3.8656e-06i,2.0775e-05+0.00012887i,-0.0012042+0.00041032i,-0.0011949+0.00056198i,-0.0001957+0.00057192i,0.00048094+0.00058423i,0.00021747+0.00085391i,0.00024458+0.00073435i,0.00041516-0.00023314i,-0.00025291-0.00099111i,-0.0006613-0.0011134i,-0.00033964-0.0010937i,-0.00029994-0.0007214i,0.0002713+2.4006e-06i,0.0010487+0.00035502i,0.00086305+0.00017263i,0.00019869+0.00052916i,0.00016104+0.00048556i,0.00076928-0.00027123i,0.0010118-0.00013088i,0.00079452+2.8889e-05i
-0.0012586-0.0010415i,0.00011603+0.00057079i,0.00054276+0.00034966i,0.00062257+0.00020671i,-0.00018382+0.00051406i,-8.7607e-05+0.00042995i,0.00046771+0.0014577i,0.00014582+0.0016466i,-0.00043175+9.4741e-05i,-0.00061314-0.00015669i,0.00027404+5.056e-05i,0.0011717+9.0058e-05i,0.00024014+0.00015758i,-0.00023742-6.8542e-05i,0.00068639+0.00076914i,0.00054032+0.001293i,0.00037916+0.00092105i,0.00085694-0.00012509i,0.0010902+0.0002143i,0.00093454+0.00048456i,0.00038847+0.00040156i,-0.00032368+0.00027599i,-0.00022324-9.1932e-05i
0.0015355+0.00061127i,0.00084332+0.0014029i,0.00047485+0.0013481i,-0.00034119+0.00072209i,-0.00093151+0.00050699i,-0.0002823+0.00059233i,6.4046e-05+0.00029943i,-3.762e-05-0.0003698i,0.00011559-0.00060072i,-0.00067689-0.00078838i,-0.00083233-0.00092235i,-0.00014107-0.00030647i,-0.00032656-4.7321e-05i,-0.00028365-8.0139e-05i,0.00064704-0.00027731i,0.00084364-0.00059715i,-0.00022586+8.7478e-05i,-0.0006147-2.033e-05i,-6.1112e-05+2.5448e-05i,0.00041524+0.00037796i,0.00016408-0.00016129i,-9.4652e-05-0.00050551i,0.000126-0.00036013i
0.00054966+0.0016682i,0.0014845+0.0010906i,0.002193+0.00055537i,0.00046413-0.0012015i,-0.00099306-0.001926i,-0.0014316-0.00077448i,-0.0015921+0.0006149i,-0.00096393+0.0012633i,-0.00019408+0.00084714i,0.0003087-0.00023945i,0.00097421-0.0013027i,0.0013518-0.0014131i,0.00027627-0.00053178i,-0.0012309-1.8808e-06i,-0.00095182+6.475e-05i,0.00042596-0.00010149i,0.00087418+3.4921e-06i,1.9627e-05+0.00059782i,-0.00018965+0.00068753i,-6.7733e-05-0.00019889i,0.00050321-0.00040053i,0.001513+0.0001595i,0.0012831+1.3349e-05i
-0.0011066+0.0025015i,0.0007895+0.0028357i,0.0024771+0.0024677i,0.0026256+0.0016416i,0.0017439+0.00053688i,0.0012888-0.00041504i,0.00080386-0.00026533i,0.0003813+0.00045649i,-0.00010427+0.0011221i,-0.00071091+0.00087054i,-0.00013496-0.00026678i,0.00030565-0.0014077i,0.0001363-0.0016876i,9.9121e-05-0.0021035i,0.00013914-0.0030747i,-0.00022981-0.0019131i,0.00018+1.0852e-06i,-2.8495e-05+0.00045662i,-0.00079068+0.00015415i,8.771e-07-0.00013547i,0.00067047-0.00076156i,0.00070016-0.0014339i,0.0010886-0.00096805i
-0.001198+0.00096922i,-0.00089919+0.0013138i,-0.00072572+0.00079243i,-0.00093867+0.00046509i,-0.00089903+0.00010453i,-0.00038919+4.8073e-05i,0.00019818+0.00079741i,0.00089716+0.00093644i,3.3984e-05-0.00010434i,-0.00083847-0.00060882i,-0.00045765-0.00084023i,-0.00012027-0.00019499i,0.00035054+0.00088191i,-6.0427e-05+0.00087416i,-0.00056716+0.00011691i,-0.00012296-0.0003801i,5.2487e-05-0.00031749i,3.7849e-05+0.00018528i,0.00017663+0.00023679i,0.0010039+0.00015661i,0.0010193+0.00025677i,0.0004093+8.868e-05i,-4.0266e-05+0.00023969i
-0.0014246+0.0015821i,-0.001115+0.0013502i,-0.00045029+0.0011527i,6.4185e-05+0.0015581i,0.00079395+0.0016447i,0.0012761+0.00057033i,0.00034822-0.00016764i,-0.00026894+0.00050408i,-0.0002077+0.00072993i,2.6136e-05+0.00029726i,0.00036577+3.9044e-05i,-0.00026118+0.0001564i,-0.0010109+0.00010594i,-0.0009157-0.00042042i,0.00037523-0.00067577i,0.00078836-0.00048829i,0.00028111-5.7183e-05i,0.00041638-0.00013991i,0.00040343-0.00021323i,-0.00035405-6.2999e-05i,-0.00044512-2.6344e-05i,0.00023352+0.00049037i,0.00033591+0.00069595i
0.0017321-0.0019857i,0.0016905-0.001716i,0.0008284-0.0018011i,-0.00068742-0.0021618i,-0.0017941-0.00138i,-0.0014203+0.00027813i,-0.00054126+0.0011393i,0.0011555+0.0011466i,0.0026705+0.00052846i,0.0017831+0.00015806i,0.00026508-8.7893e-05i,4.8295e-05-0.00018575i,0.00079139+0.00063762i,0.00050216+0.0010019i,0.0005473+0.00048215i,0.00041813-0.00010962i,-7.6037e-05-0.0004985i,-0.00021378+4.4488e-05i,0.00041281+0.00036649i,0.00032347-4.812e-05i,0.00012892-0.00052804i,0.00046139-0.00044971i,0.00070629-9.528e-05i
-0.0003792+0.0016761i,0.00025128+0.0013375i,0.00078328+0.0015139i,0.0015501+0.00085169i,0.0015093-0.00029877i,8.269e-05-0.00066811i,-0.00066446-0.00038677i,-0.00045503-0.0002369i,-0.00032172-0.00056246i,0.00078947-0.0002864i,0.0010697-0.00027625i,-0.00017402-0.00017682i,-0.0014272+0.00042998i,-0.0018215-0.00066435i,-0.00072519-0.001505i,0.00016655-0.0010193i,0.00046884-0.00063504i,1.2729e-05-0.0001203i,-0.00051975-8.3576e-05i,-0.00046179-0.00027494i,0.00017736+0.00026818i,0.00053511+0.00059189i,0.00030577+0.00032034i
0.0020496+0.00011747i,0.0021692-3.6551e-05i,0.0018022-0.0010216i,0.00098228-0.0015674i,-0.00019192-0.0014081i,-0.00043927-0.00069892i,-0.00024777+0.00031379i,0.00079478+0.00082558i,0.0018468+0.00020393i,0.0013136-0.00020809i,0.00066131-0.00046113i,0.00043515-0.00082635i,0.00073381-0.00073265i,0.00063522-0.00068529i,-0.00076111-6.6037e-05i,-0.00094925+0.00024103i,7.8869e-05-0.00039094i,0.00059217-6.2238e-05i,0.00086555+0.00074426i,0.0010695-0.00013575i,0.00034775-0.00030967i,-0.00017232+0.00055229i,-0.00017543+0.00037196i
-0.00084941-0.00038108i,-0.00046805+0.00031976i,-0.00056254+0.0010806i,-0.00015261+0.0025531i,0.00042396+0.0034139i,5.6131e-05+0.002155i,7.606e-05+0.00086147i,0.00076839+0.00031214i,0.00080334+0.00015097i,0.0010207-0.00034309i,0.0012756-0.00073166i,0.00078068-0.00026725i,0.00066888-0.00012949i,0.0012231-5.5202e-05i,0.0012233+1.9595e-05i,7.2061e-05-0.00029121i,-0.00047438-9.58e-05i,-0.00024408-0.00026548i,-0.00012967-0.00088044i,6.4246e-05-0.00046496i,8.6042e-05+0.00041531i,-0.00032847+0.00061975i,6.5239e-07-2.4977e-05i
-0.00012835+0.000833i,1.8758e-05+0.0001643i,-0.00034854-0.0006657i,-0.0010944-0.00046516i,-0.0014426+0.00025519i,-0.00074516+0.0011767i,-0.00035869+0.0017764i,7.6358e-05+0.001309i,0.0010126+8.6518e-05i,0.00086939-0.00040672i,0.00044183-0.00091462i,-4.0644e-05-0.00019169i,-0.00065155+0.00075693i,-0.00050771-3.2625e-06i,0.00028585-0.00089962i,0.00065526-0.0011067i,0.00032148-0.0010119i,-0.00056286-0.00033268i,-0.00061824-8.9674e-05i,-0.00011497-5.1481e-05i,-0.0002548-0.00020442i,0.00030228-0.00076717i,0.00095705-0.00032877i
-0.00014191+0.00060115i,7.3167e-05-0.00030788i,0.00054884-0.00092731i,0.00060859-0.00033965i,-0.00049856+0.00057467i,-0.0014185+0.0012122i,-0.0013901+0.00083375i,-0.00085888+0.00075536i,-0.00031202+0.00082122i,-0.00014944+0.00021432i,0.0001863+0.00034838i,0.00053238+0.00063953i,0.00057046+1.6528e-05i,0.0008838-3.1448e-05i,0.00049834+0.00081182i,-0.00037645+0.0013488i,-0.00027179+0.00086075i,0.00011012+0.00087434i,-9.2124e-05+0.0010219i,-0.00021575+0.00039668i,-0.00035597-0.0006332i,-9.8751e-05-0.00030187i,-0.00027891+0.00067314i
