0.0039427-0.00021468i,0.0031783-0.0029463i,0.0019868-0.0044535i,-0.00053925-0.0042434i,-0.0027776-0.0017239i,-0.0035956+0.0018902i,-0.0019623+0.0030366i,0.0005671+0.0024235i,0.0017074+0.00094482i,0.0011865-0.00088776i,-0.00048341-0.0019051i,-0.0012558-0.0017446i,-0.0015423-0.001071i,-0.0017351+0.00052487i,-0.002389+0.00097873i,-0.002216+0.0010082i,-0.00064721+0.0011378i,0.00015724+0.00080562i,0.00060703+0.00095999i,0.0010334+0.00043836i,0.00021216-0.00014276i,6.9547e-06-0.00013436i,-0.00041106-0.00028694i
0.00055241-0.0016695i,0.00041165-0.0018684i,-0.00016526-0.0020236i,-0.00039255-0.00093281i,-0.00013757+0.00055001i,-0.00052823+0.00088684i,-0.00039119+0.00017409i,0.00019073-0.00046066i,0.0008384+0.00011994i,0.00040632+0.00091604i,-0.00016376+0.00039872i,-0.00049391+0.00034688i,-0.00065007+0.00062824i,-0.00032995+0.00061036i,0.00026546+0.00064501i,0.00056065+0.0001806i,0.00046243-0.00031035i,-5.0469e-05-0.0005988i,-0.00013549-0.00030567i,-0.00058394+0.00033246i,-0.00086821+0.00018161i,-0.00019064+0.00018444i,-0.00018402+0.00031034i
-0.001841+0.00034717i,-0.0021919+0.00075252i,-0.0020181+0.0019603i,-0.0014172+0.0020916i,0.00011387+0.0014272i,0.001266+0.00091805i,0.001462+0.00045143i,0.0015077+8.9406e-05i,0.0012218+0.00025687i,0.00074921+0.00084939i,0.00047311+0.00078304i,0.00057739+1.0323e-05i,0.00067468-7.3159e-06i,8.365e-05+0.00091275i,0.0001507+0.0010377i,-0.00053562+0.0005914i,-0.0011886+5.3538e-05i,-0.00085734-0.00062508i,-0.00066639-0.00038773i,-0.00086328-0.00049005i,-0.00048274-0.00029311i,-0.000262+0.00083014i,-0.00048646+0.00045477i
-0.00081664+0.0011902i,-0.00095565+0.00088208i,-0.0012588+0.00046719i,-0.0011378+2.6213e-05i,-0.00050615+3.9997e-05i,0.00015041+0.0012608i,0.00043028+0.0014211i,-7.0113e-05-6.8831e-05i,-5.6936e-05-0.00087126i,0.00034404-0.00065946i,3.9134e-05+5.6976e-05i,-0.00031926-0.00033284i,0.00021684-0.00043616i,0.00042879+0.00039097i,-0.00022036+0.0007984i,-0.00063836+0.00072685i,-0.00033351+0.0010398i,1.845e-06+0.0010237i,-0.0004172+0.0001526i,-0.00087632-7.7522e-05i,-0.00023371-0.00019859i,0.00019118-0.00062358i,-6.3379e-05-0.0001292i
-0.00089033-0.00035258i,-0.0012953-0.00071551i,-0.0012552+0.00045146i,-0.00029835+0.0013365i,0.00012777+0.0011939i,-0.00026907+0.00073956i,-0.00098403+0.00017582i,-0.0012589+7.8411e-06i,-0.00036481-9.6675e-05i,0.0010751+0.00020276i,0.0011637+0.00012619i,0.00093156-0.00045963i,0.0011299-0.00054082i,0.00041513-0.00039532i,9.2671e-05-0.00042376i,-3.1401e-06-0.00070281i,-0.00085837-0.00018964i,-0.00084034+0.00058956i,-0.00055996+0.00032017i,-0.00062066-0.00028826i,-0.00020143-0.00029131i,-0.00025236-0.00013982i,-8.6031e-05-6.5217e-06i
-0.0023177-0.0014738i,-0.0030953-0.0013379i,-0.001006+0.00030744i,0.0014285+0.0012743i,0.0020232+0.00053299i,0.0011661-0.00020589i,0.00060983-0.00032258i,0.00064412+2.4834e-06i,0.00049703+0.00090926i,0.00034945+0.0016152i,0.00057402+0.00046833i,0.0007464-0.0006029i,-6.8353e-05-0.00087889i,-0.00060596-0.0001922i,-0.00032959+0.00058641i,-0.0003325+0.00062839i,-0.00022324+0.00038399i,9.0195e-05+3.8103e-05i,6.1512e-05-0.00041053i,0.00013918-0.00062248i,0.0004368-0.00043005i,0.00011029-0.00087584i,-0.00016636-0.00088175i
-0.00055349+0.00062546i,-0.00021084-0.00054377i,6.1594e-06-0.00086002i,-0.00042114-0.00064134i,-0.00010432-0.00089291i,-0.00066859-0.0010825i,-0.0010528-0.00042722i,-0.00070046+0.00051578i,-0.00035504+0.00072722i,0.00051336+0.00072624i,0.0005119+0.00051889i,-0.00066739+5.9186e-05i,-0.00058524+0.00025153i,-0.00052715-0.00057265i,-0.0014934-0.0007896i,-0.00099273-0.00077076i,9.8859e-05-0.0011377i,0.0008004-0.00030702i,0.00087257+0.0004066i,0.00023595+0.00073472i,0.00029117+0.00087841i,0.00026877+0.00096009i,-9.006e-05+0.0010872i
-0.0016109-0.00022145i,-0.0019203-0.00019904i,-0.00059811+0.00095262i,0.00062141+0.0009435i,0.00095751+0.0005274i,0.00081211+0.00046501i,0.0002125+0.00020407i,0.00012197+0.00029728i,0.00040537+0.0001979i,0.00060397+0.00011914i,0.00077799+0.00075837i,0.00084865+0.00026431i,0.00053827-0.00056638i,0.00056412+5.1455e-06i,0.001047-0.00024128i,0.00092018-0.00061832i,0.0005264+0.00025457i,0.00018801+0.00077275i,-0.00016483+0.00026501i,-0.00054379-0.000373i,-0.00062841-0.00020698i,5.4593e-05+0.00031044i,-1.7431e-06+0.00087687i
-0.00045548+6.3719e-05i,-0.0015516+0.00029919i,-0.0010676+0.00033541i,0.00035087+0.00057731i,0.00028595+0.00042189i,-0.00054543+0.00012148i,-0.00030747+0.00014254i,2.6298e-05-0.00034402i,0.00042097-0.00096831i,0.00021897-0.001089i,-0.00029599-0.00050786i,7.3888e-05+0.00032537i,0.00018675+0.0004423i,-0.00066031+0.00032172i,-0.00068997+0.00025046i,-9.7677e-05+0.00018388i,6.8302e-05+0.00011066i,0.00030187+0.00018815i,0.00077424-0.00031286i,0.0008973-0.00075275i,8.5261e-05-4.4164e-05i,-0.0002525+0.00079477i,-0.00052234+0.00072946i
-0.00047358-0.0016608i,0.00080227-0.0011335i,0.0011866-0.00066122i,-0.00010328-0.00098723i,-0.0011317-0.00088556i,-0.0011408-0.00039897i,-0.00070359+0.00039746i,-2.1088e-05+0.00049967i,0.00054414-7.8736e-05i,6.0142e-06-0.00083657i,-0.00019794-0.0015426i,0.00046593-0.001582i,0.001036-0.00077687i,0.00048785-0.00032373i,-0.00045315+0.00011843i,-0.00041651+0.00077698i,-0.0002935+0.00089435i,-0.00032972+0.00062185i,6.3728e-05+0.0006958i,-0.00028181+0.00038784i,-0.00069898-0.00011854i,-0.00075911-0.000257i,-0.00039304+0.00033973i
-0.00097946+0.00011187i,-0.00073236+7.0803e-06i,-0.001233+0.00077945i,-0.0011076+0.001192i,-0.00038587+0.00087302i,-1.5446e-06+0.0010886i,-0.00043489+0.00048534i,-0.00022177-0.00040472i,0.00029447-2.723e-05i,-8.414e-05+0.00069908i,-0.00074152+0.00016004i,-0.0013946-0.00059462i,-0.0012601-0.00020017i,-0.00035574+0.0001607i,0.00040906+0.0003836i,0.00037182+0.00073921i,-0.00023341+0.00057196i,-0.00037541+0.00022529i,0.0001642-0.00017198i,0.00034493-0.00018183i,0.00044859+2.0099e-05i,0.00074564+5.5139e-05i,0.00043624+1.3642e-05i
-0.001597+0.000622i,-0.000174+0.0014274i,0.00014278+0.0019036i,-0.0003086+0.00041032i,-8.5987e-05-0.00051283i,0.00093521-5.8579e-05i,0.0012368+0.00028008i,0.00049322-0.00060395i,-0.00067251-0.00024243i,-0.00074868+0.00049153i,6.3685e-06-0.00040083i,-2.9344e-05-0.00066081i,-0.0004825-9.8534e-05i,-0.00054569+8.0369e-05i,0.00016062+0.00028885i,0.00030087+0.0001899i,1.1957e-06-0.00038433i,-0.00029044-0.00022553i,-0.00063029-0.00028251i,-0.0010217-2.9916e-05i,-0.0013233+0.00039849i,-0.00086871+8.364e-05i,-0.00023967+2.4774e-07i
-0.0014719-0.00042493i,-0.0021361-0.00013611i,-0.001541+0.0006138i,-2.9319e-05+0.00097344i,0.00062193+0.00040476i,0.00033057-0.00036882i,3.361e-05-0.00018831i,-5.715e-05+0.00010399i,-0.00026396+0.00044793i,0.00043468+0.00071135i,0.0011416+0.00043514i,0.0008765+0.00018353i,8.0056e-06+0.00016044i,-0.0001238+0.00020803i,0.00045912+0.0006681i,0.00023546+0.0010971i,2.5174e-05+0.000734i,0.000286-0.00021393i,0.00062066-0.00077196i,0.0008654-0.0004548i,0.00048974+0.00044303i,8.0115e-05-7.2867e-06i,-3.3518e-05-0.00060975i
-0.00013793+0.000299i,-0.0011407-0.00056776i,-0.001612-0.00026265i,-0.0010352+0.00061034i,-0.00027937+0.00028851i,0.0002566+0.00013415i,0.00014039+0.0009176i,-0.00016053+0.00049477i,3.456e-05-0.00010567i,-0.00012717+4.7687e-05i,-0.0003502+0.00040719i,-0.00071289-0.00027068i,-0.00033489-0.00077471i,0.00017368-0.00013894i,-0.0002634-0.00018014i,-0.0005037-0.00013974i,-0.00056247+0.00026802i,-0.00058484-0.00013302i,-0.00054196-0.00019261i,-0.00049043-0.00033387i,-0.00024615-0.00081551i,7.3536e-05-0.00081582i,2.2723e-05-0.00029368i
0.00018964-0.0010975i,-0.00073111-0.00074783i,-0.00064598+0.00021867i,-0.00044605+0.00040029i,-0.00042353-4.8902e-05i,-0.0011013+0.00089553i,-0.0007628+0.0015201i,-0.00026621+0.00085682i,-0.00053436-6.8805e-05i,-0.00028536-2.695e-05i,-0.00040714-0.00031539i,-0.0005268-0.00084323i,-0.00019287+0.00014328i,6.5626e-05+0.0013766i,-0.00015424+0.0020264i,-0.00049109+0.0014653i,1.1091e-05+0.00072097i,0.00053966+6.1659e-05i,0.00063309-0.00054211i,0.00071506-0.00094263i,0.00043906-0.00061692i,-0.00040758+6.4552e-05i,-0.00063544+0.00013898i
-0.00086224-0.0015988i,-0.0010509-0.0018379i,-0.0012137-0.0011103i,-0.00085734+0.00017101i,0.0004239+0.0007662i,0.00105+0.00094807i,8.5046e-05+0.00076107i,-0.0008213+0.00036726i,-0.00062471+0.00015248i,-6.7998e-05+4.0915e-05i,-3.4621e-05+0.00013381i,0.00036008-0.00053573i,0.0008304-0.00077385i,0.0012259-0.00034447i,0.00063514-0.0001033i,-0.0002086-0.00052764i,-0.00040063-0.0004821i,-0.00071572-7.0431e-05i,-7.6015e-05-0.00051851i,0.00056044-0.00030161i,-0.00032249+9.5951e-06i,-0.00067225+0.00024019i,-0.0006037+0.00030638i
-0.001433+0.00058278i,-0.0012777+0.0016388i,-0.00093285+0.0016892i,4.7923e-05+0.000977i,0.00085939+0.00064892i,0.00076188+0.0012335i,0.00036694+0.0010585i,0.0004106+0.00068225i,0.00018419+0.00054541i,-0.00027454-5.8311e-06i,-0.00015978-8.1162e-05i,0.00025677+0.00010894i,0.00057884-0.00024773i,0.00078245-0.00059674i,0.00039159-0.00033797i,-1.9141e-05+0.00043709i,-0.000409-0.00031908i,-7.0171e-05-0.0010313i,9.8092e-05-0.00056564i,-0.00017491-5.1917e-05i,-0.00049567-0.00046927i,-0.00030145-0.000773i,0.00058435-0.00064689i
2.5618e-05-0.001747i,-0.0013601-0.001633i,-0.0010317-0.00090414i,-0.00057457+0.00014353i,-0.0010108+0.00072184i,-0.0010644+0.0004158i,-0.00018012-0.00030617i,-0.00038673-0.00015624i,-0.0013934+0.00043263i,-0.00089003+0.00040243i,-0.00021592-0.00086085i,-0.00025262-0.00074012i,0.00013313+0.00078804i,0.00079472+0.001003i,4.2142e-05+0.00036678i,-0.00092047+0.00026134i,-0.00067769+0.00057038i,-4.6611e-05+0.0003749i,0.00061642-0.00016886i,0.00080938-0.00049314i,5.5465e-05-0.00012343i,-0.00076239+3.8041e-05i,-0.0005656+0.00024219i
-0.0026322-0.00017301i,-0.0016319+0.00032075i,-0.0016545+0.0010714i,-0.00069165+0.0012915i,3.0099e-06+0.00096791i,1.5789e-05+0.00056403i,-0.00054727-0.00023103i,-0.0010088-0.0008636i,-0.00033526-0.00045511i,-9.2485e-05+0.00034627i,-0.00016651+0.00044484i,0.00025892-8.1887e-05i,0.0007706-0.0010527i,0.00080409-0.00085841i,0.00053121+5.5833e-05i,0.00027547+0.00051336i,0.00031044+0.00080171i,-0.00013224+0.0008256i,-0.0002407-4.6899e-05i,-0.00015138-0.00028239i,-0.00057611-0.00012406i,-1.6481e-05+2.2197e-05i,0.0011975-0.00045228i
0.0023493+0.00012257i,0.0021412+0.00061628i,0.0012185+0.00066721i,0.00047582-0.00022526i,0.00028811-0.00066537i,0.00012419-0.00064883i,0.0004667-0.00039038i,0.00070631+0.00019287i,0.00078967+0.00015127i,0.0010431+0.0002019i,0.00094857+0.00094236i,0.00039209+0.00055895i,4.069e-06-0.00012658i,-5.7877e-06+0.00072606i,-0.00049924+0.0010161i,-0.00057648+0.00039672i,-0.00040884+0.00070428i,-0.00035962+0.00070623i,-0.00021487+0.00050441i,0.0004233+0.000216i,0.00044977-0.00015561i,3.403e-05-2.9601e-05i,-3.4608e-05-3.7638e-05i
-0.0020644+0.0016846i,-0.002177+0.0016397i,-0.0020305+0.0017496i,-0.001292+0.0019386i,0.00021414+0.0013942i,0.00055155+0.00028528i,-0.00027544-2.3387e-05i,-0.00020872-0.00025945i,4.9751e-05-0.00058385i,0.00018246-0.00012549i,0.0007357-8.7914e-05i,0.00087836-0.0011628i,0.00043659-0.0010853i,0.0003273-0.00069795i,0.00082091-0.00062697i,0.0011395-0.00045245i,0.00072787-0.00031604i,0.00028404-0.00013443i,-0.00015251-0.00053357i,-0.00014357-0.001054i,0.00033554-0.00042554i,0.00080029-2.8708e-05i,0.00067854-0.00014644i
0.00014601-0.00048317i,-0.00021577-0.0010761i,0.00035985-0.0012749i,0.00049687-0.00059973i,0.00059698+0.0003226i,0.00091109+0.00094873i,0.00080667+0.00074291i,0.00070908+0.00013539i,0.00044629-3.7119e-07i,-0.00019706-0.00013861i,-0.00011874-0.00060948i,0.00037465-0.00047119i,0.00044571+0.00028489i,0.00055631+0.00067542i,0.00062344+0.00051143i,9.5952e-05+3.5977e-05i,-0.00060352+0.00027938i,-0.00062972+0.0010371i,3.297e-07+0.0011646i,0.00023453+0.0011498i,-0.0003254+0.0010156i,8.1402e-05-0.00011111i,0.00015973-0.00074339i
-0.0027905-0.0003979i,-0.0040829+3.9216e-06i,-0.0035776-0.0003596i,-0.0017342-0.00076107i,-0.00065923+0.00019829i,-0.00085336+0.00093499i,-0.0010772+0.00010655i,-0.00052539-0.00073682i,-0.00083331-0.00044255i,-0.0014383-0.00012221i,-0.00089614-1.7722e-06i,-0.00062857-3.1336e-05i,-0.00022479+0.00012353i,0.00011931+0.00016637i,0.00029015-0.00019825i,-2.4886e-05-0.00042006i,-0.00018478-0.00086327i,0.00046679-0.00055468i,0.0011067+0.00021512i,0.00092566+0.00018011i,0.00011679-0.00027997i,-9.9162e-05-0.00069598i,-0.00023084-0.0002457i
-0.0015334-0.00085535i,-0.0017088-1.554e-05i,-0.001114+0.0014482i,0.00068097+0.0020883i,0.0013252+0.0013136i,0.0012189+0.00015029i,0.0010503-0.00016868i,-0.0005516+0.00012468i,-0.0014472+3.2712e-05i,-0.00055965+6.3829e-05i,8.657e-05-3.5413e-05i,-0.00014345-0.00071837i,-0.00075461-0.00068497i,-0.00038114+7.3543e-06i,0.00054182+0.00032865i,0.00069355+0.00053556i,-0.00012948+0.00067565i,-0.00022395+0.00076963i,0.00050697+0.00077553i,0.00065709+0.00033002i,8.453e-05-0.00035753i,-0.00014192+2.5022e-05i,-0.00017554+0.00025378i
-0.00072259+0.00027307i,-0.0017462+0.00080246i,-0.0013165+0.0014784i,-0.00070308+0.00083152i,-0.00026352-0.00014952i,-0.00031972-0.0002893i,-0.00074602-0.00060171i,-0.00068152-0.00053122i,-0.00079787-0.0001563i,-0.00054522-0.00048032i,-0.00017381-0.00020502i,3.2908e-05-3.485e-05i,0.00093512-0.00029142i,0.0012706+0.00027799i,9.8263e-05+0.00024793i,-0.0013431-8.0942e-05i,-0.00069839+0.0002537i,0.00044431+0.00035327i,0.00026707-0.00015363i,-0.00031263-0.00067172i,-0.00019124-0.00042126i,-0.00016118-0.000555i,-7.0217e-05-0.00073989i
-6.5531e-05-0.00017128i,-0.0010484-0.00058867i,-0.0013819-0.00025545i,5.2696e-05-0.00037068i,0.00070792-8.6988e-05i,-0.00021216+0.00046164i,-0.00068343-0.00031697i,-0.00018351+0.0001209i,0.00039017+0.00097496i,0.00067075+0.00023053i,0.0011221+0.00064052i,0.00072628+0.001509i,-3.964e-05+0.0015846i,-0.00026268+0.0011164i,-2.6631e-05+0.00045545i,0.0001892+0.0007156i,0.00013947+0.00073276i,0.00035277+0.00039846i,0.00010052-1.7538e-06i,-0.001476-0.00033477i,-0.0015634-0.00028312i,-0.00071633-0.00046063i,0.00031047-0.00053446i
0.00051623-0.00065087i,2.5901e-05-0.001634i,-0.00023172-0.0010933i,-0.00063382+0.00017101i,-0.00045345+0.00028332i,0.00029335+0.00026915i,0.00071172+6.0528e-05i,-1.8153e-05-0.00061158i,-0.00023489-0.00058761i,0.00057614+4.4303e-05i,0.00034928+0.00014197i,-7.1013e-05+0.00011364i,0.00020409+0.00043758i,0.00046241+0.00036006i,0.00019544+0.00014396i,6.0109e-05-0.00025597i,-0.0003153+0.00012981i,-0.00058164-0.00021706i,9.8322e-05-0.00047934i,0.00075654-0.00018979i,0.00034579-0.00065851i,0.00014127-0.0012564i,-0.0001212-0.00049745i
-0.0016876+0.00070883i,-0.0013726-0.00066525i,0.00013886+0.00023574i,0.0011727+0.0010262i,0.0017254+0.00098457i,0.0006957+0.00021183i,-8.452e-05+0.00012448i,-0.00023758+0.0007712i,-0.00046783+0.00068323i,-0.00012454-9.5825e-05i,0.0010316-0.0010037i,0.00078542-0.00099621i,-0.00052162-0.00027914i,-0.001142-0.00010063i,-0.00085689-0.00011663i,-0.00080118-0.00078196i,-0.00048605-0.00061568i,0.00012076+6.4924e-05i,7.9084e-05+0.00024004i,2.5972e-05+0.00016862i,-0.00028476-0.00043905i,-0.00035183-0.00067585i,0.00015828+0.00012724i
-0.00010895-0.0014973i,-0.0013672-0.0018029i,-0.0013309-0.00039498i,-0.00059757-0.00028513i,0.00047629-0.00091266i,0.00046225-0.00035447i,-1.118e-05+0.00018897i,-0.00015362+0.0001866i,0.00018557-0.00061066i,0.00087459-0.00067501i,0.00017256-0.00028492i,-0.00041072-0.00043519i,-0.00049657-0.00050554i,-0.00053414-0.00072192i,0.00035239-0.00052703i,0.00025548+0.00063301i,-0.00074209+0.00093732i,-0.00054722+1.2742e-05i,-0.00029103+0.00015082i,-0.0006933+0.00050925i,3.5803e-05-0.00022082i,0.0016235+2.2978e-05i,0.0013616+0.00041583i
-0.00013093+0.00049657i,-0.00053424+1.0822e-05i,-0.0010847+0.00035736i,-0.00084892+0.00021644i,-0.00065745-0.000177i,-5.4516e-05-0.00029548i,0.00040612-0.00049149i,0.00047784-0.00057302i,6.8436e-05+0.00016846i,-0.00016052+0.00063369i,-0.00041135+1.8352e-05i,-0.00027236-0.00054806i,-0.00028674-0.00079058i,-0.00052444+5.1294e-05i,-0.00040178+0.00092141i,0.00020575-1.8617e-05i,0.00028428-0.00082854i,0.00044969-0.00043173i,0.00067677-0.00050085i,-0.00024122-0.00063456i,-0.00080627+4.545e-05i,-2.6671e-05+0.00026969i,0.0004666+0.00030737i
-0.0011732-0.00033635i,-0.0015169-0.00019935i,-0.00024566-0.00085755i,0.00049951-0.00089065i,-0.00068281+0.00016585i,-0.0015539+0.00038469i,-0.0003058-0.00043214i,0.00049029-0.00066903i,0.00022423-0.00099948i,-0.00011557-0.001523i,0.00023457-0.00085491i,-4.8325e-05+0.00018121i,-0.00040139+0.00024896i,0.00014161-0.00056742i,-6.0004e-05-0.00030881i,-0.00049895+0.00020859i,-0.00024435-4.0291e-05i,-0.00033152-0.00018945i,-0.00052249-0.0004358i,-0.0007056-0.00034835i,-0.00051548-8.8569e-05i,-0.00021099+0.00010726i,-0.00017209+5.6492e-05i
-0.0017012+0.0017404i,-0.0019013+0.0013313i,-0.0019549+0.0019217i,-0.00063582+0.0022596i,9.9662e-05+0.001308i,-0.0001445+0.00064738i,-0.00078181+0.00058679i,-0.00079419+0.00056514i,-0.00064838+0.00075245i,-0.00037574+0.00071347i,-0.00027384+2.4266e-05i,-0.00066355-0.00076902i,-0.00031634-0.00056655i,-0.00019309-0.0002385i,-8.0252e-07-0.00018719i,0.00015448-0.00035792i,0.00032922-0.00022407i,0.0010991+0.00015159i,0.0010299-0.0003674i,0.0005661-0.00036724i,0.00032649+0.00054341i,0.00013252+0.00078799i,0.00048806+3.8295e-06i
