5.357e-05-0.0010916i,0.00056196-0.0024671i,-0.00034037-0.0033526i,-0.0018697-0.0035051i,-0.0029668-0.002445i,-0.0036645-0.0011855i,-0.0032879-0.00034231i,-0.0021085+0.00036387i,-0.0012515+0.00049301i,-0.00025712+0.00048704i,0.00057351-0.00032089i,0.00034498-0.00089932i,-0.00065558-0.00086352i,-0.00026742-0.0010042i,-0.00017389-0.00059461i,-0.0011062-0.00034415i,-0.0015423-0.00064711i,-0.001697-0.00032765i,-0.00094872-8.5263e-05i,0.00013687-0.0002031i,-8.1167e-05+8.5994e-05i,-0.00047334-0.00042787i,-0.0003085-0.0010159i
-0.00012759-0.0015975i,0.00016698-0.0015048i,0.00016302-0.0010368i,-0.0004422-0.0018001i,-0.00078655-0.0020358i,-0.0011938-0.0013086i,-0.0017436-0.00056616i,-0.0013728-0.00080274i,-0.00061531-0.0012212i,-0.0005117-0.00041841i,-0.00054691-0.00014566i,-0.00075768+9.7549e-05i,-0.0011652+0.00072754i,-0.00092209+0.00064163i,-0.00063343+0.00054345i,-0.00041398+0.00057012i,-2.4438e-05+0.00053438i,-0.00021468+0.0007619i,-0.00054697+0.0004457i,-0.00017913+0.00011064i,7.9717e-05+0.00028117i,-0.0010235+0.00023894i,-0.0012266+0.00013422i
-0.00082109-0.00024i,-0.0011149-0.00057541i,-0.0013873-0.00091404i,-0.0013558-0.00036826i,-0.0016453-0.00069493i,-0.0010201-0.0019178i,0.00037103-0.0021481i,0.0005943-0.001963i,-0.00060218-0.0015163i,-0.0013512-0.00079811i,-0.00067301-0.00057933i,-9.7005e-05-0.0015087i,-0.00016536-0.0012916i,-0.00029403-0.00014718i,-0.00020176-0.00019776i,-0.00059769-0.00053559i,-0.00099846-0.00043719i,-5.6558e-05-0.00027589i,0.00093623+0.00039154i,0.0004053+0.0010888i,-9.3039e-05+0.00092084i,0.00032266+0.00047429i,0.00042805+0.00017i
0.00061753-0.000635i,0.0015841-0.0017742i,0.00047125-0.001592i,-0.0016739-0.0020487i,-0.0021354-0.0028217i,-0.0015061-0.0021819i,-0.0011068-0.0013523i,-0.00012445-0.0012675i,0.00065178-0.0013463i,0.00099823-0.0012402i,0.00061861-0.00074958i,-7.8076e-05-0.00021617i,-0.0010901-0.00044341i,-0.0016115+6.6136e-05i,-0.0011383+0.0005485i,-0.00052027+0.00038589i,-0.00016612+0.00066196i,-0.00041882+0.00046561i,-0.00057144-6.3973e-05i,1.6291e-05-0.00031548i,0.0010339-6.1849e-05i,0.0014301-9.4978e-05i,0.00068105-0.00045918i
0.001485+0.0013639i,-0.00093784-0.00060497i,-0.00088555-0.0019147i,-0.0013433-0.002628i,-0.0020237-0.0031967i,-0.0010727-0.0024323i,-0.00054896-0.001657i,-0.00064715-0.00085159i,-0.00020164-0.00039931i,-0.00025021-0.00054534i,-0.00022081-0.00088303i,0.00025339-0.00097027i,0.0008233-0.00026696i,0.00026453+0.00059604i,-0.0005152+0.00075558i,-0.00065862+0.00027683i,-0.00081321-0.00035442i,-0.00055965-0.00020501i,4.5862e-05+0.00083925i,-1.0519e-05+0.0011965i,-0.00021922+0.00075723i,0.00062944-6.5087e-05i,0.0012353-0.00032568i
-0.00093658+0.00035816i,0.00069315-0.00043612i,0.00057987+0.00051179i,-0.00021778+0.00089486i,-0.00054258-0.00034382i,-0.00059301-0.0017537i,-0.00033375-0.001998i,-0.00071819-0.0017382i,-0.00081676-0.0013923i,-0.00034554-0.00047082i,0.00018105-3.4611e-05i,0.00091139-0.00018419i,0.00049772-0.00034948i,-0.0005739-0.00030473i,-0.00086683-0.00020973i,-0.00091091-0.00037754i,-0.00055592-5.6698e-05i,-0.00012624+0.00066088i,-0.00038906+0.0010135i,-0.00098115+0.00056409i,-0.0012321-0.00035763i,-0.0002793-0.00047335i,0.00030967-0.00043764i
-0.001825-0.00037011i,-0.0010999-0.0017735i,-0.001027-0.0025556i,-0.00092122-0.0022816i,-0.001331-0.0019417i,-0.0024582-0.0020563i,-0.0023302-0.0011102i,-0.0013227+0.00036709i,-0.00052592-0.00022902i,-0.00019174-0.0009397i,-0.00041703-0.00084745i,-0.0012697-0.00073598i,-0.0012917-0.00020313i,-0.0011878+0.00019506i,-0.00071917+0.00026812i,-0.00044439+0.00073569i,-0.0005929+0.0011593i,-0.00066571+0.00072481i,-0.00031137-0.00043917i,-0.00064178-0.00050907i,-0.00099239-0.00027556i,-0.00052589-0.0004584i,-0.00035686-0.0001039i
-0.0013647-0.00037697i,-0.00065438-0.00038149i,-0.00083679-0.00086714i,-0.00098031-0.0010961i,-0.0014625-0.001102i,-0.0017434-0.0012731i,-0.0014092-0.0011565i,-0.00074847-0.0013499i,-0.00058653-0.0010976i,-0.00068037-0.00034503i,-0.00010069-0.00033183i,6.5495e-05-0.00042724i,0.00024526-0.00048234i,0.00067926+1.6338e-06i,-0.00021098+0.00096252i,-0.0013112+0.00073162i,-0.001393+0.00014581i,-0.00067062+0.00041579i,-0.00041828+0.00064726i,-6.4504e-05+0.0002565i,0.00042599+3.4304e-05i,-0.00038568+0.00024106i,-0.0010377+0.000151i
-0.0015765+8.1703e-05i,-0.0016687-0.0006853i,-0.0014264-0.00063058i,-0.00089146-0.0016396i,-0.0011713-0.0030042i,-0.0018283-0.0024909i,-0.0018192-0.0010616i,-0.0011834-0.00065632i,-0.00078953-0.0014064i,-0.00069906-0.0017282i,0.0004013-0.0009071i,0.00064993-0.00013881i,-0.00059478+0.00011857i,-0.0010239+0.00018198i,-0.00078453-3.9979e-05i,-0.0013035-0.00016565i,-0.0015467-0.00010995i,-0.0010074+0.0003079i,-0.00053669+0.0003552i,-0.00041958+0.00067387i,0.00033694+0.00083833i,0.00080202+0.00063856i,-8.3789e-05+0.00025084i
0.00056706-0.00010048i,0.00070758-0.00082325i,-0.00035366-0.0012129i,-0.0015366-0.0018646i,-0.0019348-0.0018279i,-0.0012432-0.0013746i,-0.00019456-0.00072727i,-0.00031637-0.00056724i,-0.001384-0.0014414i,-0.0015688-0.0015719i,-0.0012165-0.00099438i,-0.0006017-0.00066625i,-0.00038923+0.00049427i,-0.00069044+0.0010528i,-0.0012414+0.00031455i,-0.00088563+7.206e-05i,-0.00056838+0.00018051i,-0.00093161-0.0001194i,-0.00061581+5.8425e-05i,-0.0004983+1.1809e-05i,-0.0006835-0.00039901i,-0.00078989-0.00015199i,-0.00087471+0.00029651i
0.00018986-0.00067252i,0.00013587-0.00101i,0.00027353-0.0014255i,-0.00070446-0.0013973i,-0.0019171-0.0015247i,-0.0014214-0.0014531i,-0.00043847-0.0010779i,0.00016642-0.0011866i,-0.00023119-0.0014941i,-0.00086305-0.0017665i,-0.0010281-0.0010725i,-0.00089241-6.1523e-05i,-0.00061239+0.0005753i,-1.2707e-05+0.00044972i,-0.0002166-8.5358e-05i,-0.00085204-8.908e-05i,-0.00032775+0.00055225i,0.00015902+0.00046845i,0.00042624-0.0001996i,0.00085946-0.00048954i,0.0008126+4.982e-05i,0.00025828+0.00063504i,-0.0003133+7.2883e-05i
-0.0010558+4.8469e-05i,-0.0014916-0.00074922i,-0.0016076-0.00081706i,-0.001374-0.0013314i,-0.0017478-0.0016581i,-0.0022432-0.0015816i,-0.0010262-0.0016805i,-0.00042897-0.00084086i,-0.00098743-0.00048862i,-0.0006345+7.1854e-06i,-0.00041661-0.00017389i,-0.00089495-0.00055568i,-0.0012729-0.00023352i,-0.00057143-0.00029974i,-0.00051712-0.00031771i,-0.00098908+0.00045828i,-0.0015213+0.0010665i,-0.00082158+0.001091i,0.0001885+0.00023548i,0.00023681-0.00097363i,0.00032262-0.00062842i,0.00023597+0.0007326i,-0.00031811+0.00081421i
0.00082302+0.00036878i,0.00097303-0.001669i,0.00037013-0.0033278i,-0.0015886-0.0033172i,-0.0027931-0.0025499i,-0.001914-0.0019234i,-0.00013201-0.0014327i,0.00047152-0.0013215i,-0.00022706-0.0014297i,-0.00096366-0.0010029i,-0.00048039+7.1335e-06i,1.0648e-05-4.1637e-05i,-0.00068253-2.462e-05i,-0.00083686-0.0002081i,-0.00079968-0.00046661i,-0.00090777-1.6937e-05i,-0.00094313+0.00083782i,-0.00068044+0.00092146i,-0.00059176-0.00022709i,-0.00032837-0.00048944i,-0.00013271+0.0003662i,-0.00013193+0.0010581i,-0.00041393+0.00031786i
-0.00053988-0.00076044i,-0.0014215+0.0003076i,-0.0018636+0.00063458i,-0.0016911+0.0005805i,-0.001316-0.00016998i,-0.00092396-0.00026476i,-0.0010148-0.0004323i,-0.0015464-0.0014886i,-0.0012332-0.0016706i,-0.00077297-0.0013235i,-0.00053558-0.00085768i,-0.00041239-0.0001753i,-0.00012599-3.1859e-05i,0.00010663+0.00016727i,5.7261e-05+7.4005e-05i,4.7137e-06-7.9538e-05i,-0.00089455-6.1813e-05i,-0.0015038-0.00044608i,-0.0010327-0.00057457i,-0.00013354-0.00029572i,-0.00038025-0.00046577i,-0.00064272-7.7924e-05i,-1.4235e-05+3.6758e-05i
-0.001079+0.00010385i,-0.00058792-0.00113i,-0.00042949-0.0019788i,-0.0010438-0.0021022i,-0.00064706-0.0013734i,-0.0013247-0.001021i,-0.0016263-0.0014979i,-0.0001241-0.00097402i,0.00058659-0.00017472i,0.00028872-0.00057241i,1.8662e-05-0.0010179i,-0.00035012-0.0010077i,-0.0012199-0.0011482i,-0.00077765-0.0013239i,-0.00011136-0.00092144i,-0.00024582-0.00030638i,-0.00055733-0.00044568i,-0.0014377-0.00038612i,-0.0010132+0.0001206i,-9.234e-06+0.0001682i,-0.00016327-2.3089e-05i,-0.00074574-0.00049273i,-0.0013302-0.0002106i
0.00035162+0.001243i,0.00048539+0.00077027i,-0.00054728-0.0003914i,-0.00095627-0.00095626i,-0.00086223-0.0021444i,-0.0010553-0.0032853i,-0.0013923-0.002535i,-0.001309-0.0019329i,-0.0005905-0.0021584i,-0.00083005-0.0018079i,-0.0012216-0.001199i,-0.0010829-0.00095536i,-0.0014961-0.00081601i,-0.0017363-0.00026661i,-0.0011841+5.8188e-05i,-0.00072736+0.00054889i,-0.00017268+0.00034437i,0.00015254-6.5718e-05i,0.00020207+9.1807e-05i,-0.0001838+0.0010226i,0.00015451+0.0018261i,0.00034685+0.0014859i,9.3803e-05+0.00056118i
0.00036929-0.0020904i,0.00016073-0.0017216i,-0.00023486-0.0022273i,-0.0016139-0.0020721i,-0.0024315-0.001202i,-0.001466-0.0011683i,-0.00033617-0.00070872i,0.00010396-0.00084607i,0.00011515-0.00097894i,-1.7497e-05-0.00046083i,7.1138e-05-0.00034092i,-0.00060129-0.00020849i,-0.0006341+0.00013595i,-0.00062786+0.0001136i,-0.00061567-0.00057775i,-0.00060514-0.00013334i,-0.00059668+0.00034119i,-0.00054121-1.4267e-05i,-0.00021221-0.00056192i,-0.00017152-0.00048187i,-0.00019139-0.00027648i,0.00036845-0.0011837i,0.00042535-0.001212i
0.002754+0.00045961i,0.0020549-0.0003689i,0.0011618-0.0012994i,-0.00094745-0.0028523i,-0.0019661-0.0034711i,-0.001865-0.0023668i,-0.0019311-0.0013677i,-0.00080639-0.00060063i,0.00044991-0.0010769i,0.00061954-0.0013603i,5.8979e-05-0.00074622i,-0.00013518-0.00097146i,-0.00081226-0.0010111i,-0.0010543+0.00014777i,-0.00036954+0.00059101i,-0.00044114+0.00025482i,-0.0010083-0.00017795i,-0.00084532-0.00021646i,0.00011091+0.0004143i,7.0805e-05+0.00019291i,-0.00022511-0.00018501i,-5.9979e-05-0.0002568i,0.00050433-0.00042292i
-0.0012446+0.0012702i,-0.0015599+0.00040639i,-0.00066308-0.00047557i,-0.00051016-0.00097154i,-0.00071979-0.0012823i,-0.00087513-0.0018639i,-0.00083519-0.0012417i,-0.0007905-0.00070035i,-0.001098-0.00087427i,-0.00076614-0.00090244i,-8.132e-06-0.0017909i,3.2343e-05-0.00167i,-0.00054216-0.0006385i,-0.00052252+0.00030464i,-0.00025288-2.3133e-06i,0.00012491-0.00051674i,0.00017338+0.00014246i,-0.00023068+5.1952e-05i,-0.00059134+2.4529e-05i,-0.00073891+0.0012284i,-0.00011467+0.001445i,0.00023654+0.0002065i,-0.00026721-0.000203i
-0.00090203-0.001334i,-0.00032591-0.00115i,-0.0018984-0.0019004i,-0.002418-0.0026951i,-0.0012666-0.0015941i,-0.00081851-0.00091889i,-0.0010136-0.0012643i,-0.0011003-0.0021868i,-0.0011958-0.0025409i,-0.00081428-0.0016599i,-7.1006e-05-0.00011421i,0.00068537+0.00092978i,0.0010392+0.00081738i,0.00071677-4.5253e-05i,0.00057233-0.00030461i,1.6345e-05-7.9764e-05i,-0.00045337-0.0003631i,-0.00013638-0.0007729i,-0.00047704-0.00065555i,-0.00086398-8.7619e-05i,-6.0652e-05+0.00019202i,0.0012058-0.0004298i,0.0011175-0.00084283i
-0.00024286-0.00060063i,8.6002e-05-0.00011022i,0.00026258+0.00066233i,-0.00089966-0.00077155i,-0.001178-0.0017233i,-0.00038144-0.00060214i,-0.00022106-0.0005534i,0.0003518-0.0016022i,0.00086592-0.002288i,0.00066397-0.001857i,8.3173e-05-0.0014045i,-0.00051897-0.00069317i,-0.00063324+0.00010726i,-0.00078924-0.00010643i,-0.00018945-0.00036718i,0.00021295+9.6732e-05i,-0.00053203+0.00054384i,-0.0012346+0.00053603i,-0.00098512-0.0005608i,-7.6953e-05-0.0012297i,-7.7255e-06+0.00029172i,9.989e-05+0.0010307i,-0.00033825+0.00065626i
0.0016877+0.00089238i,0.00070139-0.0012763i,0.0004154-0.0030053i,-0.00025453-0.003238i,-0.0011817-0.002709i,-0.0016517-0.0023358i,-0.00088319-0.0010984i,3.9503e-05-0.00069984i,-0.00034944-0.001407i,-0.00074987-0.0010321i,-0.00047786-7.2574e-05i,-0.00061537+1.0482e-05i,-0.0015786+0.00048505i,-0.0016417+0.00075331i,-0.0002996+0.00010096i,-9.2368e-05-0.00067595i,-0.00080336-0.00061431i,-0.00095715+0.00010534i,-0.0004775+0.000392i,-0.00016983+0.00041284i,8.9929e-05+0.00071392i,0.00017418+0.00013i,-0.00026669-0.00059461i
0.0001381+3.1762e-05i,-9.922e-05-0.00028043i,-0.00088078-0.00095079i,-0.0016332-0.001872i,-0.0016455-0.0019769i,-0.00091963-0.0017962i,-0.0002421-0.0016713i,-0.00013292-0.0014079i,-0.00076796-0.001243i,-0.001269-0.00057965i,-0.00073765+2.8774e-05i,-0.00039889+0.00026704i,-0.00035672+0.00051i,-0.00019749+0.00025852i,-0.00021568+0.00014575i,-0.00098148+0.0002974i,-0.0014153+0.0002147i,-0.0012242-0.00047308i,-0.0012088-0.00026516i,-0.00054571-5.485e-06i,0.00045586-0.00043453i,0.00058961+6.6052e-05i,0.0003674+0.00038708i
0.00061454-0.0001354i,0.00040592-0.0010467i,0.00037616-0.000613i,-0.00057915-0.0012671i,-0.0013926-0.0020004i,-0.0017507-0.002051i,-0.0010255-0.0012167i,-0.00086266-0.00035609i,-0.00092973-0.00055229i,6.0908e-05-0.00088963i,0.00072205-0.0010111i,0.00067922-0.00115i,-0.00043091-0.00093563i,-0.0013739-0.00095914i,-0.00029674-0.00090573i,0.0006073+0.000207i,0.00040573+0.00061668i,0.0001637-4.8375e-05i,-0.00019764+3.0231e-06i,-0.00065293+0.0005099i,-0.0010713+0.00046676i,-0.0010998-5.0481e-05i,-0.00096289+8.0677e-06i
0.00064893+0.00068983i,0.0002825+0.0013324i,0.00011443+0.00014825i,-0.00014415-0.00095661i,-0.00072477-0.00095371i,-0.00076758-0.0012989i,-0.00061422-0.0011939i,-0.00059418-0.0011796i,-0.00051717-0.0011626i,-0.00042485-0.0010432i,-0.00058383-0.0019941i,-0.00046758-0.002201i,-0.00043087-0.0017727i,-0.00027069-0.00099522i,0.00014-0.00010366i,1.5351e-05+0.00048847i,-0.00025892+0.00029818i,-0.0005813-8.9375e-05i,-0.00095452-8.2371e-05i,-0.00071712-3.7123e-06i,-0.00014414-0.00068171i,0.00050482-0.0013913i,-6.865e-05-0.00084808i
-0.00082662-0.00060587i,-0.00119-0.00077785i,-0.0010299-0.0011639i,-0.0014515-0.0014585i,-0.0015248-0.0010354i,-0.00049881-0.00084774i,8.7633e-05-0.0010803i,-3.4044e-05-0.00091531i,-0.00040128-0.0011209i,-0.00043946-0.00070189i,-0.00050308+0.00033269i,-0.00022521+0.00059997i,0.00040355-0.00012011i,-0.0001849-0.00025041i,-0.00017981+1.6546e-05i,0.00035862-0.00056492i,6.9213e-05-0.00076057i,-0.0001797-0.00075546i,-0.00039334-0.00053516i,-0.00038781-0.00038964i,-0.00010689-0.00010514i,-0.00010606+0.0001791i,0.00037545+4.0943e-05i
0.0026448-0.0015388i,0.0014642-0.001192i,-0.0002237-0.0024217i,-0.0018207-0.0027508i,-0.0032397-0.0019853i,-0.0028177-0.00049546i,-0.00117+0.0005068i,0.00031227-0.0006083i,0.00091355-0.0017196i,-0.00023163-0.001808i,-0.00067144-0.00087265i,-0.00054364+0.00017892i,-0.0005592+0.00014965i,-0.00045858-0.00069873i,-0.00060616-0.00079616i,-0.00041057-0.00016186i,-0.00052977+0.00039495i,-0.00072909+0.00018472i,0.00012946-0.00025965i,0.00011555-0.00035968i,-0.00066861-0.00029607i,-0.00071055-0.00026251i,-0.00055742-0.00062678i
-0.0011686-0.0012551i,-0.0010097-0.00041849i,-0.0016607+0.0011598i,-0.002703+0.00093087i,-0.0024691-0.00030291i,-0.001277-0.00086337i,-0.00029892-0.00077008i,-0.00025402-0.00093974i,-0.00035691-0.001796i,-9.7476e-05-0.0012799i,0.00016393-0.00055416i,0.00011527-0.00051365i,-0.0001428+0.00050634i,-0.00028947+0.00049764i,-0.00040099-0.00077401i,-0.00049063-0.00087788i,-0.00057421-0.00053156i,-0.00039594+0.00022038i,6.7721e-06+0.00058049i,-0.00012902+0.00050011i,-0.00048211+0.00092038i,-0.00021466+0.00067372i,0.0010161+2.7944e-05i
0.0018696-0.001911i,0.00012761-0.0020587i,3.6929e-05-0.0032078i,-0.00081647-0.0040496i,-0.0020574-0.003181i,-0.0023321-0.0020839i,-0.001154-0.0011328i,0.00029084-0.0002093i,0.0005286-0.00039745i,-0.00038475-0.00067036i,-0.0012566-0.00098846i,-0.0014988-0.00029397i,-0.001109+0.0006347i,-0.00050401+8.3325e-05i,0.00010485-0.00057806i,0.00044152-0.00053105i,-0.0003303-0.00015895i,-0.0014552+0.0008541i,-0.00085066+0.0011152i,-2.0273e-05+0.00042876i,0.00016064+0.00029322i,1.2409e-05+0.00037622i,0.00031915+0.00013987i
-0.001201+0.00035862i,-0.00043867+0.001032i,-0.0004302+0.0016189i,-0.00071537+0.0015809i,-0.00012919-1.1058e-06i,-0.00055779-0.001471i,-0.0011286-0.0014012i,-0.00081559-0.0010355i,-0.00078368-0.00055539i,-0.0004375-0.00039061i,-0.00043946-0.00037809i,-0.00022194+0.0003303i,0.00020553+0.00040245i,3.0941e-05-0.00012385i,-0.00036988-0.00049083i,-0.0010001-0.00018846i,-0.0012255-0.00019376i,-0.0010303-0.00040271i,-0.0011131-0.00040426i,-0.0007204-0.00028885i,-0.00034018+0.00025107i,-0.00026376+0.00037536i,-0.00024112+0.00028534i
-7.1603e-06+0.00022055i,0.00016573-0.00058927i,-0.00014683-0.00219i,-0.00081738-0.0017845i,-0.002111-0.0011971i,-0.0024407-0.0014359i,-0.0021377-0.0019725i,-0.0011535-0.0019819i,-0.00021612-0.0014303i,0.00012117-0.00092521i,-0.00032165-5.7986e-05i,-0.00018149+0.00032992i,0.00047013+0.00073585i,0.00064696+0.00080973i,0.00063938+0.0001012i,0.0010047-0.00033784i,0.00086322-0.00023034i,0.00038855+4.7404e-05i,-0.00024516-6.8701e-05i,-0.0003329+0.00019034i,1.1671e-05+0.0002386i,0.00029948-0.00036442i,0.00053333-0.00034646i
0.00024907-0.00087271i,0.00011334-0.0010563i,-0.0013787-0.0015424i,-0.0019763-0.0016636i,-0.0019646-0.0014219i,-0.0013807-0.0015584i,-0.00093983-0.0019939i,-0.00018936-0.0020138i,-3.2533e-05-0.0018645i,-0.00027978-0.0013081i,-0.00034546+0.0005641i,-8.4759e-05+0.00076273i,6.1012e-05+0.00010607i,-0.00016853-0.00012991i,6.3649e-05-0.0012594i,-0.00016294-0.0013119i,-0.00093939-0.00013405i,-0.0008341+0.00014788i,-0.00053314+0.0001746i,-0.00080077+0.00036271i,-0.00089872-0.00036185i,-0.00092555-0.00042732i,-0.0007354+0.00035197i
