0.0029645-0.000461i,0.0024126-0.0010491i,0.0018566-0.0019332i,-0.00069263-0.0025012i,-0.003405-0.0016112i,-0.0041071+0.00046472i,-0.0031377+0.0015858i,-0.001589+0.0016152i,0.00012021+0.00048586i,0.00059144-0.00039108i,0.00028438-0.00061213i,-0.00013801-0.00060911i,-8.9611e-05+4.2296e-06i,-0.00042561+0.0010135i,-0.0013171+0.00097069i,-0.0014225+0.00027223i,-0.0015561+0.00026655i,-0.0010352+0.00058357i,6.1354e-05+3.0358e-05i,0.00039273+6.7074e-05i,0.00041698+0.00040093i,-6.4599e-05+0.00034322i,-0.00037407+0.00053352i
0.00096405+0.0019755i,0.0002527+0.00090317i,0.0014653-1.6763e-05i,0.0021428-0.00029815i,0.00085322-0.00022595i,-0.00013332+0.00064801i,-0.000698+0.00091886i,-0.00036112+0.00029015i,0.00088369+6.4891e-05i,0.0012051+7.5189e-05i,0.00041107-0.00024584i,0.00018964-0.00074834i,0.00011892+0.0001415i,-0.00036596+0.00078083i,-0.00082857+0.00018449i,-0.00043882-0.00022805i,0.00027644+4.5332e-05i,0.00038341+0.00028625i,5.7304e-05+4.1657e-05i,-0.0009769+0.00021898i,-0.00081029-5.1616e-05i,-0.00046194-0.00084714i,-0.00040575-0.00098236i
-0.0015544+0.0007484i,-0.00094912+0.00034996i,-0.00078727-4.2314e-05i,0.00016477-0.00014039i,0.00035705+0.00021419i,9.8514e-05+0.00079233i,-9.954e-05+0.0011742i,-0.00066815+0.00062821i,-0.00047522-5.0192e-05i,0.00022716-6.4689e-05i,0.00074518-0.00026436i,0.00075522-0.00025169i,7.4052e-05-0.00029293i,-0.00042203-0.00071789i,-0.00015781-0.00053322i,0.00021112-0.00016252i,-0.000209+0.00025184i,-0.00050874+0.00025102i,4.069e-05-0.00015218i,0.0007697-0.00028909i,0.00069242+0.00019679i,0.00022918+0.00049734i,0.00091385+0.00065632i
-0.00013334+0.00022426i,0.0007099+0.0001551i,0.00087845-5.3324e-05i,-0.00072737-8.6388e-05i,-0.0016372-0.00076673i,-0.0018355-0.00094878i,-0.0016681-0.00055394i,-0.0012074-4.7879e-05i,-0.00021658+0.00055108i,-5.169e-05+0.00034473i,0.00051229-9.9704e-05i,0.00033148+0.00036162i,0.00014617+0.00087391i,0.00024297+0.0010895i,-0.00023062+0.0014271i,-0.00060628+0.00099796i,-0.0014293-0.00030123i,-0.0013723-0.00094308i,-0.00084261-0.00046118i,-0.0006885+0.0003593i,-0.00019488+0.00024588i,0.00024645-5.035e-05i,0.00050543+3.753e-05i
-0.0021266-0.0015893i,-0.0029372+0.00023143i,-0.0028682+0.0025015i,-0.0020817+0.0021932i,-0.0014946+0.00067101i,-0.00076393+0.00010452i,-0.0003302+0.00027857i,-0.00010649+0.00013643i,-3.9646e-05+0.00020582i,0.00016855+0.00035901i,0.0006425-0.00024293i,0.00024039-0.00038951i,-0.00017897-0.00018775i,0.00019941-0.001097i,0.0007254-0.0017449i,0.0003132-0.0003694i,-2.3592e-05+0.00056863i,-7.5599e-06-4.4997e-05i,-0.00017771-0.00091206i,-6.6553e-06-0.0010789i,0.00017694-0.00074421i,6.1585e-05-0.00038261i,-0.00042197+0.00014413i
-1.2577e-06-0.00073967i,-0.00016599-0.00061945i,-1.7468e-05-0.00043054i,-0.0005233-0.00040497i,-1.7792e-05-0.00043624i,0.00047031-0.00059597i,-1.9551e-05-0.00091186i,-0.00016357-0.0009116i,0.00060219+0.00016299i,0.00051269+0.0008982i,-0.0002522+0.00098255i,-9.667e-06-3.149e-05i,0.00020331-8.1684e-05i,-0.00028722+0.00044874i,-0.00043591+0.00031542i,0.00013291+0.00029917i,0.00039066-3.4492e-05i,-0.00029822-0.00059246i,-8.3224e-05-0.00055799i,0.00015025-0.00029002i,5.3415e-05+1.4007e-05i,0.00034091-0.00063543i,-2.8435e-05-0.00073825i
0.0014478+0.0027524i,0.001235+0.003132i,0.0012461+0.0014482i,0.00031524-0.00061684i,-0.00079078-0.00092494i,-0.0014766+7.28e-05i,-0.0012023+0.00058277i,9.7207e-06+0.00041489i,0.00058601+4.7245e-05i,0.00064754-0.00027692i,0.00037522-0.00036245i,-0.00017697+7.1477e-05i,-0.00014114+0.00015324i,0.00019219-0.0001034i,-0.00035537-0.0003852i,-0.00055324-0.00037217i,-0.00084746-0.00027827i,-0.00055572-0.00033769i,0.00057656-6.3363e-05i,0.0007454+0.00030647i,0.00074541+0.00020191i,0.00086202-0.00027461i,0.0004415-0.00048107i
-0.0019188+2.1541e-05i,-0.0015594+9.3049e-05i,-0.001081+0.00026286i,-0.00051803+0.00094667i,-0.00032177+0.0010938i,-2.0265e-05+0.00067532i,-0.00041379+0.0004286i,-0.0018639-0.00029769i,-0.0022022-0.00071377i,-0.0014935-0.0005019i,-0.0005907-0.00034756i,0.00047126-0.00033246i,0.0010176+1.3817e-05i,0.001106+0.00013496i,0.00072784+0.00058955i,-0.00061053+0.00021052i,-0.00094129-0.00073603i,-0.00013537-0.0012982i,0.00026418-0.0015005i,0.00016379-0.0011717i,-0.00023066-0.00040492i,-0.00071856+0.000144i,-0.00045014-0.00035395i
3.3683e-05+0.00081159i,0.00092289+0.0019247i,0.00048429+0.001706i,-0.00065201-7.8604e-05i,-0.00067406-0.00019819i,-0.00078134+0.00036373i,-0.00055971+1.2295e-05i,-0.00021375-0.00015406i,0.00066248-0.00039552i,0.0010679-0.00035891i,-0.0001733-0.00027694i,-0.0010281-9.5289e-05i,-0.0005125+0.00069418i,-0.00010599+0.00040528i,1.8477e-05+1.2357e-05i,2.2989e-06+0.0003092i,0.00025042+0.00027206i,0.00048072+2.5354e-05i,9.5753e-05-4.8141e-05i,-0.00034942-0.00015367i,-0.00072787-0.00025062i,-0.00075953-0.00083981i,-0.00034068-0.00056668i
0.00040067+0.0002338i,-5.2151e-05+0.0007079i,-0.00019356+0.00034376i,0.00032526+0.00025731i,0.00023321+0.00053462i,-0.00018217+3.8069e-05i,-0.00056202-5.7886e-05i,-0.00055972+0.00048523i,0.00020567+0.00039885i,0.00068943-0.00029767i,0.00039642-0.00015609i,0.00048009+1.5234e-05i,0.00020999-0.00027227i,-0.00034504-6.4598e-05i,-0.00033186+0.00029387i,3.027e-05+0.000655i,-9.746e-05+0.00065741i,0.00021642-5.2209e-05i,0.00015924-0.00052818i,-0.000529-0.00065196i,-0.00038322-0.00036064i,-7.3721e-05+0.00025361i,-1.8318e-06+0.00017278i
-0.00044729+0.0012311i,0.00047452+0.0012071i,0.00054301+0.0011i,0.00013645-6.8e-05i,-0.0002185-0.00044462i,-0.00017059-2.5142e-05i,-0.00021354+0.00078086i,4.3843e-05+0.00094902i,0.00011141+0.0012125i,0.00012163+0.0014411i,0.0007185+0.0011908i,0.0012564+9.7008e-05i,0.00065577-0.0014951i,0.00027704-0.0014451i,8.1403e-05-0.00069921i,-0.00016688-0.00063133i,0.00079669-0.00049352i,0.00090318+0.00024073i,0.000231+0.00047384i,-0.00018605+0.00013078i,-0.00030915-5.8632e-06i,0.00010418-5.9356e-06i,-0.00021164+0.00037588i
