0.0029645-0.000461i,0.0024126-0.0010491i,0.0018566-0.0019332i,-0.00069263-0.0025012i,-0.003405-0.0016112i,-0.0041071+0.00046472i,-0.0031377+0.0015858i,-0.001589+0.0016152i,0.00012021+0.00048586i,0.00059144-0.00039108i,0.00028438-0.00061213i,-0.00013801-0.00060911i,-8.9611e-05+4.2296e-06i,-0.00042561+0.0010135i,-0.0013171+0.00097069i,-0.0014225+0.00027223i,-0.0015561+0.00026655i,-0.0010352+0.00058357i,6.1354e-05+3.0358e-05i,0.00039273+6.7074e-05i,0.00041698+0.00040093i,-6.4599e-05+0.00034322i,-0.00037407+0.00053352i
-0.095367-0.00066361i,-0.15459-0.0013498i,-0.15735-0.020126i,-0.12627-0.055112i,-0.14164-0.055627i,-0.17675-0.0081468i,-0.14689+0.020179i,-0.068981-0.013615i,-0.023238-0.067808i,-0.024702-0.064347i,-0.023937-0.013647i,-0.0063295+0.013153i,-0.0010327+0.0094868i,-0.0024513+0.0057095i,-0.0018782+0.00030846i,-0.0044078-0.0038609i,-0.0019576-0.001505i,0.0048708-0.0015053i,0.006851-0.0040605i,0.0022834-0.0064939i,-0.003944-0.0080567i,-0.0060619-0.0084772i,-0.0033582-0.009437i
0.028542-0.010197i,0.050528-0.081754i,0.01685-0.15925i,-0.03297-0.13101i,-0.013622-0.029774i,0.019344+0.025997i,0.0067162+0.025765i,-0.024061+0.00076606i,-0.06715-0.013249i,-0.077029+0.011797i,-0.026121+0.024239i,0.008449+0.00056512i,0.0013641-0.0072335i,-0.0013141+0.00057764i,0.0077+0.0007948i,0.013446-0.0045524i,0.009631-0.0091195i,0.0022889-0.0051603i,0.00065441+0.0031114i,-0.00032007+0.0057688i,-0.0026266+0.0031844i,0.0010307-0.00064062i,0.0066874-0.0071041i
0.011774+0.085878i,0.011359+0.18679i,0.02594+0.27496i,0.085444+0.26894i,0.17214+0.16412i,0.23814+0.038041i,0.21849-0.023222i,0.12467+0.010956i,0.065355+0.077066i,0.059132+0.074173i,0.038544+0.020666i,0.0036724-0.0011775i,-0.0049024+0.0017069i,-0.0014535-0.004215i,-0.0028259-0.0073223i,-0.0028524-0.0020337i,-0.0013774+0.0033885i,0.0012064+0.0097065i,0.0031968+0.014817i,0.0014712+0.014339i,-0.0010684+0.01254i,-0.0059008+0.010622i,-0.011007+0.011226i
0.012527-0.064782i,-0.00027054-0.078356i,-0.012226-0.025809i,-0.033576+0.027746i,-0.098835+0.0012834i,-0.1823-0.052312i,-0.18878-0.058456i,-0.097791-0.041454i,0.0020968-0.050564i,0.027004-0.066893i,-0.0051305-0.046624i,-0.017383-0.010986i,-0.0046702-0.0031314i,0.0014048-0.0078588i,-0.00028944-0.0076824i,-0.0026948-0.0041991i,-0.0013673+0.0033135i,0.0018867+0.0063565i,0.00091842+0.0020631i,0.00068619-0.0055619i,0.0033872-0.011898i,0.0050347-0.012639i,0.0043111-0.0094i
0.03096-0.040193i,0.077906-0.091363i,0.096888-0.17729i,0.029411-0.22065i,-0.058387-0.13404i,-0.079982-0.0002267i,-0.061312+0.034855i,-0.045701-0.019028i,-0.053329-0.067032i,-0.063484-0.056401i,-0.035933-0.016764i,0.00364-0.004404i,0.013578-0.0089011i,0.0072836-0.0043278i,0.0030905+0.0021707i,0.0027036+0.0044142i,0.0011641+0.00046353i,-0.0067314-0.0063178i,-0.012552-0.0088611i,-0.0074738-0.0077378i,0.00047774-0.0061669i,0.0062611-0.0015478i,0.011842+0.0027625i
-0.10722+0.01286i,-0.18372-0.00038685i,-0.1964-0.040421i,-0.11343-0.057746i,0.018872-0.0062282i,0.15432+0.056896i,0.21202+0.062469i,0.13544+0.056023i,0.038247+0.087406i,0.020452+0.095989i,0.026932+0.052828i,0.013262+0.018935i,0.00418+0.013421i,0.00121+0.0080581i,-0.005423-0.0012584i,-0.011349-0.0074331i,-0.014771-0.010995i,-0.015421-0.011933i,-0.015473-0.0098266i,-0.014477-0.0029856i,-0.012496+0.0034915i,-0.014092+0.0040776i,-0.019682+0.0025065i
0.024057+0.025577i,0.044191+0.059876i,0.030774+0.12013i,-0.0088547+0.13683i,-0.047534+0.029358i,-0.09591-0.10289i,-0.11569-0.10625i,-0.056574-0.0236i,0.0254+0.020951i,0.050312+0.010285i,0.020212-0.0052468i,-0.010661-0.00039487i,-0.014858+0.0088628i,-0.0032774+0.0065124i,0.0074731-0.0027874i,0.0073512-0.008097i,0.0040581-0.0054158i,0.0077135-0.0021895i,0.013093-0.0052268i,0.012321-0.0095801i,0.0076374-0.0087415i,0.0056965-0.0072619i,0.0049933-0.010458i
0.047935+0.085547i,0.083177+0.15813i,0.091531+0.17968i,0.068838+0.11701i,0.018928+0.050635i,-0.066986+0.042669i,-0.12418+0.045397i,-0.10259+0.0073558i,-0.062042-0.048729i,-0.047116-0.059048i,-0.025899-0.026928i,0.00061462-0.012325i,0.0048376-0.015602i,0.0014069-0.0091675i,0.0053774+0.0018883i,0.011324+0.0079653i,0.01441+0.0082098i,0.015807+0.0035214i,0.016544-0.00090846i,0.015053-0.0011084i,0.011672+0.00061851i,0.010616+0.0039609i,0.013649+0.007814i
-0.005593-0.12126i,-0.012579-0.23194i,0.04083-0.29215i,0.13295-0.22084i,0.17966-0.0687i,0.19332+0.038474i,0.18172+0.051887i,0.098952+0.01122i,-0.013355+0.00028697i,-0.048896+0.032039i,-0.016716+0.038335i,0.0029936+0.017576i,0.002191+0.010113i,-0.00023586+0.0081005i,-0.0041108+0.0047676i,-0.002578+0.0025886i,0.0035735-0.0021941i,0.0053029-0.0025354i,0.0020485+0.0011337i,-0.0032352-0.00021042i,-0.0088316-0.0027138i,-0.013605-0.0027959i,-0.017402+0.00054046i
0.02295-0.018096i,0.044015+0.015203i,0.036177+0.087955i,-0.007357+0.11618i,-0.027686+0.029513i,0.0010505-0.095887i,0.024971-0.14284i,0.033139-0.090578i,0.049484-0.021245i,0.051742-0.0018707i,0.022672-0.0078775i,-0.007266-0.00073213i,-0.012751+0.011338i,-0.0081002+0.013222i,-0.0069662+0.0080071i,-0.0071017+0.0044406i,-0.0052523+0.0059598i,-0.0032117+0.0073415i,-0.0017698+0.0043863i,0.0019659+0.001107i,0.0043418-0.0015926i,0.0032673-0.0023871i,0.0018803-0.0038773i
-0.11444+0.067765i,-0.2396+0.12334i,-0.35602+0.11322i,-0.38328+0.032357i,-0.32471-0.0050251i,-0.26167+0.022747i,-0.20376+0.03254i,-0.10762+0.012405i,-0.0047476-0.028528i,0.022303-0.064353i,-0.0013822-0.047379i,0.00046077-0.012151i,0.0069696-0.0098381i,-0.004892-0.013795i,-0.011485-0.008592i,-0.012804-0.0047657i,-0.014267-0.0017067i,-0.010617-0.0011775i,-0.0037447-0.0018i,0.001944+0.00095341i,0.0072082+0.0043593i,0.010346+0.0052358i,0.012684+0.0045689i
0.052747-0.051404i,0.15017-0.17434i,0.2418-0.29916i,0.24636-0.27558i,0.18681-0.11847i,0.15221+0.020317i,0.13185+0.073997i,0.073024+0.071539i,-0.0022987+0.055757i,-0.037294+0.046565i,-0.022884+0.036303i,-0.00053148+0.013829i,0.0048488-0.0075093i,0.005602-0.019007i,0.010167-0.024577i,0.011735-0.026473i,0.0092081-0.025009i,0.0058492-0.017857i,0.002838-0.0079297i,0.00012447-0.0014176i,-0.0015639+0.0001508i,-0.0022637-0.0014385i,-0.0064188-0.0029261i
0.07732+0.087935i,0.14097+0.20323i,0.16919+0.31413i,0.14295+0.31645i,0.1114+0.18361i,0.099947+0.033179i,0.080642-0.019653i,0.035723+0.014169i,0.0038796+0.063481i,0.0095376+0.070755i,0.013265+0.034118i,-0.0043189+0.0086543i,-0.0072628+0.011452i,0.006338+0.012561i,0.010314+0.011118i,0.0073831+0.011509i,0.0069982+0.010493i,0.0072806+0.01112i,0.0058728+0.01179i,0.0020556+0.0091839i,-0.004155+0.0046473i,-0.0074539+0.0014329i,-0.0037113-0.00054409i
-0.09181-0.067708i,-0.26116-0.089931i,-0.39764-0.082994i,-0.3596-0.086362i,-0.25719-0.10126i,-0.25956-0.09361i,-0.27319-0.073392i,-0.18344-0.078551i,-0.065178-0.091158i,0.0031099-0.079093i,0.015224-0.050892i,0.0073848-0.018305i,0.0082325+0.00077579i,0.0075527+0.0036322i,-0.00026442+0.0054008i,-0.0062001+0.01017i,-0.0066498+0.014221i,-0.0032043+0.012504i,-0.0028858+0.0058867i,-0.0055499-0.00093293i,-0.004626-0.0025851i,-0.0011861+0.0021281i,0.0030081+0.010158i
0.087675-0.05149i,0.25889-0.12695i,0.45917-0.21714i,0.51027-0.23373i,0.39109-0.13401i,0.28442-0.023343i,0.23479-0.016474i,0.14822-0.068828i,0.036795-0.079535i,-0.022829-0.038129i,-0.016488-0.0031384i,0.0058927-0.0050512i,0.00544-0.014566i,0.00061783-0.012119i,0.0087729-0.0095314i,0.016946-0.01075i,0.013481-0.011042i,-2.2254e-05-0.01023i,-0.009396-0.013664i,-0.0064717-0.018496i,-0.0003055-0.017458i,0.00055245-0.012546i,-0.0043912-0.006764i
-0.06209+0.099169i,-0.090337+0.24417i,-0.090206+0.39914i,-0.090075+0.42379i,-0.074993+0.28595i,0.012298+0.14617i,0.1054+0.10794i,0.11369+0.12689i,0.065982+0.12997i,0.019081+0.10102i,-0.0030259+0.065156i,-0.0069089+0.038983i,-0.0064114+0.027848i,-0.0057494+0.023548i,-0.0089221+0.015285i,-0.013472+0.0065716i,-0.013176-0.0024789i,-0.0085405-0.010512i,-0.00078834-0.010213i,0.004631-0.0055948i,0.0050739-0.0053164i,0.0035394-0.0092675i,0.0047778-0.014704i
-0.06016-0.037516i,-0.23489-0.15243i,-0.51452-0.26737i,-0.64856-0.26327i,-0.51936-0.19158i,-0.40097-0.15388i,-0.3833-0.089532i,-0.27073+0.0097763i,-0.080114+0.035977i,0.020857-0.0077357i,0.014017-0.025066i,-0.012683-0.0012161i,-0.018343+0.014747i,-0.019737+0.0089763i,-0.024911-0.00083307i,-0.024755-0.004783i,-0.015748-0.003271i,-0.0015833+0.0028806i,0.0088049+0.011639i,0.011789+0.015568i,0.01149+0.014822i,0.010456+0.012872i,0.0085532+0.012403i
0.093139+0.06879i,0.25474+0.092253i,0.4624+0.034732i,0.53882-0.049795i,0.42287-0.033154i,0.28472+0.020211i,0.19-0.036392i,0.066847-0.13101i,-0.033999-0.12937i,-0.045564-0.072995i,-0.013456-0.04078i,0.011111-0.034184i,0.014463-0.038774i,0.0085547-0.03561i,0.014122-0.018529i,0.023717-0.0054331i,0.018597+0.00056148i,0.0034089+0.003837i,-0.0066243+0.0025136i,-0.0067079+0.00012798i,-0.003558+0.002042i,-0.0039531+0.0062168i,-0.011523+0.0071458i
-0.022317-0.0088909i,-0.021529+0.093508i,0.02974+0.27466i,0.090918+0.35078i,0.091655+0.24036i,0.089524+0.11347i,0.1344+0.070921i,0.13357+0.043963i,0.048819+0.016861i,-0.024128+0.027781i,-0.028016+0.040815i,-0.0071972+0.029779i,0.0055317+0.024422i,0.015477+0.022787i,0.016997+0.0098159i,0.011486-0.0029433i,0.0094512-0.010328i,0.0074197-0.016459i,0.0011167-0.01868i,-0.0057455-0.01565i,-0.0095477-0.014249i,-0.010333-0.014578i,-0.0037697-0.012388i
-0.015705-0.097454i,-0.093293-0.27116i,-0.25804-0.47312i,-0.39578-0.51566i,-0.3695-0.37053i,-0.28221-0.21067i,-0.24201-0.093566i,-0.14752+0.011733i,-0.0063455+0.047343i,0.052237+0.018897i,0.02597+0.00034614i,-0.01404-0.00020998i,-0.035327+0.0016512i,-0.034165-0.0015943i,-0.025604-0.010488i,-0.019251-0.0095884i,-0.0055641+0.0007631i,0.0088761+0.0045846i,0.0090905+0.0013593i,0.0032479+0.0012359i,0.0028393+0.0028202i,0.0051564+0.00069842i,0.004843-0.0012235i
-0.092031+0.030781i,-0.069862+0.080535i,0.07781+0.088957i,0.23162+0.035735i,0.24579+0.0089117i,0.20166+0.030061i,0.17925-0.0061053i,0.10694-0.075629i,0.02455-0.070745i,0.0091209-0.034974i,0.017585-0.02935i,0.022356-0.034075i,0.031347-0.049629i,0.025866-0.057172i,0.01243-0.033474i,0.0034332-0.0091568i,-0.0095186-0.00065548i,-0.015547+0.00098637i,-0.0044518-0.0036253i,0.00626-0.0078689i,0.0069674-0.003515i,0.0066174+0.0014383i,0.0048607-0.00092964i
-0.009193+0.029627i,-0.02385+0.1564i,-0.024347+0.37416i,0.025769+0.47521i,0.080644+0.30683i,0.076118+0.084574i,0.054102+0.032664i,0.037998+0.056265i,-0.00030227+0.046057i,-0.033009+0.023869i,-0.035043+0.015894i,-0.023061+0.029734i,-0.0062861+0.053491i,0.0073563+0.057026i,0.01407+0.038568i,0.017799+0.011936i,0.016553-0.010946i,0.013127-0.015403i,0.013164-0.0061709i,0.013672-0.0030183i,0.0093622-0.0081841i,0.0023888-0.0085612i,0.0010923-0.00033269i
0.056494+0.017992i,0.10701-0.034439i,0.090579-0.17582i,-0.0354-0.27049i,-0.16688-0.20011i,-0.22858-0.078513i,-0.25183-0.013755i,-0.19891+0.034328i,-0.070567+0.055573i,0.01475+0.03409i,0.023895+0.016982i,0.0056559+0.01085i,-0.018485+0.0068971i,-0.028502+0.0053959i,-0.021717-0.00058153i,-0.013142+0.0010237i,0.00019905+0.015902i,0.010282+0.023715i,0.0036553+0.018694i,-0.0059568+0.013399i,-0.0070998+0.01073i,-0.0044114+0.0059958i,-0.0037426-0.00027762i
-0.014424-0.11137i,-0.050642-0.17466i,-0.034112-0.18272i,0.041867-0.13843i,0.094687-0.043063i,0.13353+0.060974i,0.18856+0.052067i,0.16952-0.059261i,0.069829-0.097859i,0.021126-0.039497i,0.042078-0.0056597i,0.067101-0.01903i,0.077601-0.040644i,0.067468-0.050112i,0.036045-0.0379i,0.0078026-0.017256i,-0.0081074-0.0072652i,-0.016089-0.0077062i,-0.011333-0.0095709i,-0.0027598-0.010894i,-0.0019607-0.0086246i,-0.0012017-0.0042167i,0.0052143-0.0062265i
0.048877-0.039836i,0.016633-0.031866i,-0.10289+0.058351i,-0.15924+0.18137i,-0.045549+0.178i,0.090981+0.056095i,0.1236-0.0071924i,0.086443+0.017617i,0.029349+0.028272i,-0.02243+0.016438i,-0.042884+0.013868i,-0.047235+0.021101i,-0.050686+0.038551i,-0.041416+0.05044i,-0.018026+0.042127i,0.0050759+0.022286i,0.015472+0.0024305i,0.011519-0.0081426i,0.0059399-0.0073046i,0.0076496-0.0030555i,0.011142-0.0055698i,0.0081179-0.0077231i,0.004651+0.0052577i
-0.050902+0.024466i,-0.075603+0.06557i,-0.052825+0.051875i,-0.070153-0.031755i,-0.17583-0.094762i,-0.29066-0.086997i,-0.34705-0.028538i,-0.28354+0.049119i,-0.13163+0.080212i,-0.037531+0.042142i,-0.040478+0.014075i,-0.058836+0.011258i,-0.061336-0.00061616i,-0.05268-0.012871i,-0.037028-0.017139i,-0.027198-0.012432i,-0.021425+0.0034032i,-0.0090932+0.017014i,0.00054208+0.01815i,-0.0012706+0.014337i,-0.0040376+0.016706i,-0.0014678+0.021657i,0.00059733+0.018373i
0.052504-0.042072i,0.079671-0.13214i,0.071865-0.22028i,0.076541-0.23077i,0.10311-0.16243i,0.090076-0.073708i,0.080389-0.042759i,0.070076-0.091295i,0.017222-0.11492i,-0.0076494-0.057453i,0.024778-0.0093392i,0.061376-9.4333e-05i,0.086273+0.00059424i,0.088526-0.011191i,0.062504-0.029231i,0.031983-0.036398i,0.012758-0.034484i,0.0008769-0.02911i,-0.0049632-0.015672i,-0.0018535-0.0027839i,-0.00023351-0.00076204i,-0.0039227-0.0028385i,-0.0053705-0.0074924i
0.067325+0.1518i,0.10318+0.22521i,0.15095+0.21387i,0.17583+0.13546i,0.14168+0.06343i,0.13299-0.0012289i,0.16019-0.037995i,0.15231-0.029108i,0.088184-0.014339i,0.020821+0.00053828i,-0.0025376+0.018193i,-0.0065076+0.01478i,-0.026549+0.0037935i,-0.034849+0.0090624i,-0.016993+0.018141i,0.0029624+0.019414i,0.011773+0.013946i,0.0091377+0.0046589i,0.0016468-0.0065151i,-0.0032456-0.011731i,-0.0017613-0.011553i,0.00083165-0.0129i,-0.0022888-0.010533i
-0.012005-0.016775i,-0.014205-0.010339i,-0.030588+0.048556i,-0.087867+0.077933i,-0.16793-0.002081i,-0.2564-0.051313i,-0.29204+0.018935i,-0.22243+0.12326i,-0.083248+0.14968i,-0.002494+0.07371i,-0.018399+0.0058673i,-0.032915-0.0050508i,-0.019909-0.01657i,-0.022059-0.021306i,-0.02797-0.00428i,-0.02894+0.00089314i,-0.033706-0.0010942i,-0.030059+0.0041709i,-0.016449+0.0067377i,-0.010708+0.0026255i,-0.017444-0.00067214i,-0.021702+0.0068802i,-0.013032+0.017725i
0.14436-0.0034914i,0.24124-0.11066i,0.2157-0.2779i,0.093619-0.34108i,0.045198-0.20383i,0.090678-0.047216i,0.064692-0.032113i,-0.027882-0.069034i,-0.068666-0.070752i,-0.041745-0.04403i,-0.003308-0.014125i,0.017164+0.018291i,0.03085+0.051416i,0.036959+0.055656i,0.029812+0.031738i,0.025858+0.011641i,0.033133-0.0019359i,0.030772-0.016849i,0.011943-0.02324i,0.0017392-0.019824i,0.005455-0.018635i,0.007468-0.020167i,0.0054147-0.013643i
-0.23492+0.14898i,-0.33362+0.25877i,-0.25407+0.25381i,-0.03274+0.17526i,0.15609+0.093678i,0.25291-0.062868i,0.27011-0.24084i,0.18562-0.29776i,0.066953-0.21422i,0.0027717-0.1024i,-0.019042-0.052221i,-0.047911-0.040566i,-0.065361-0.027455i,-0.042259-0.024196i,-0.014389-0.024916i,-0.0028186-0.0089136i,0.0041469+0.01185i,0.014664+0.015882i,0.026861+0.0029991i,0.028275-0.0079218i,0.023353-0.003886i,0.021995+0.0045477i,0.012215+0.0024781i
-0.10717-0.13713i,-0.20228-0.15682i,-0.26722+0.066863i,-0.23571+0.34776i,-0.14495+0.33445i,-0.088011+0.18288i,-0.046389+0.15357i,0.030778+0.17333i,0.078811+0.13313i,0.068681+0.069522i,0.048113+0.02209i,0.044685-0.013623i,0.046312-0.039008i,0.033527-0.042306i,0.022454-0.030499i,0.016435-0.027545i,-0.0033194-0.027628i,-0.021716-0.0038433i,-0.018193+0.027678i,-0.0078426+0.02984i,-0.011343+0.010929i,-0.027919-0.0010847i,-0.036662-0.00071551i
0.14567+0.21433i,0.35447+0.3304i,0.43575+0.19789i,0.21866-0.10684i,-0.070629-0.17693i,-0.17567+0.026121i,-0.16059+0.18692i,-0.12529+0.19267i,-0.078519+0.11521i,-0.053092+0.060126i,-0.031049+0.081275i,0.012453+0.11077i,0.029415+0.097352i,0.013396+0.06404i,-0.0073453+0.035318i,-0.016381+0.023162i,-0.0030857+0.015768i,0.005805-0.0085996i,-0.011065-0.030872i,-0.020227-0.024629i,-0.0035523-0.012837i,0.014793-0.01639i,0.018891-0.021096i
-0.27764-0.059366i,-0.45283-0.12049i,-0.39692-0.26463i,-0.11834-0.42867i,0.10096-0.4566i,0.15281-0.38667i,0.12418-0.34589i,0.036777-0.28944i,-0.036022-0.16715i,-0.031163-0.07948i,-0.02896-0.076042i,-0.06625-0.085394i,-0.087571-0.064611i,-0.070884-0.03209i,-0.043634-0.014986i,-0.029293-0.012774i,-0.021877-0.010854i,-0.0031551-0.012184i,0.020807-0.022005i,0.027476-0.028451i,0.017945-0.016429i,0.012893+0.0039518i,0.015603+0.013207i
0.14017-0.29303i,0.21165-0.49681i,0.1769-0.47027i,0.080464-0.18586i,0.016829+0.04095i,-0.020912+0.066572i,-0.020241+0.0056827i,0.01808-0.048372i,0.029745-0.04813i,0.028794-0.0070742i,0.039342-0.0030972i,0.037421-0.020932i,0.02888-0.023661i,0.011052-0.023784i,-0.00010885-0.01061i,0.017737+0.00034947i,0.026906-0.0072664i,0.0088749-0.0034691i,-0.0047983+0.011099i,-0.0029902+0.0089763i,0.00016088-0.008275i,-0.0056907-0.022124i,-0.014566-0.021324i
-0.018792+0.22989i,0.04631+0.5452i,0.20508+0.72095i,0.27284+0.551i,0.15836+0.27858i,0.088604+0.1784i,0.13496+0.19008i,0.1524+0.16926i,0.10778+0.10118i,0.034582+0.039205i,-0.021445+0.052729i,-0.017221+0.097553i,0.020161+0.089308i,0.049063+0.035851i,0.041941-0.022517i,0.0063428-0.040507i,-0.0095905-0.016064i,-0.0016102-0.00094437i,0.00028119-0.0031067i,-0.00032914+0.0024396i,0.0078297+0.017177i,0.018963+0.030842i,0.022019+0.0298i
-0.17742-0.25761i,-0.39095-0.44098i,-0.50527-0.4198i,-0.36482-0.20218i,-0.13509-0.041022i,-0.09063+0.012982i,-0.17676+0.059899i,-0.20054+0.10556i,-0.13754+0.10675i,-0.054825+0.066589i,-0.007073+0.0090562i,-0.0036224-0.038803i,-0.015968-0.04612i,-0.0094969-0.027413i,0.018526-0.028109i,0.031315-0.046116i,0.020945-0.048775i,0.012165-0.035211i,0.011973-0.024885i,0.011364-0.024667i,-0.0018101-0.025347i,-0.022411-0.022892i,-0.027907-0.017435i
0.28417+0.058609i,0.49678+0.021842i,0.4587-0.093708i,0.16618-0.13939i,-0.06693-0.057751i,-0.16185-0.047773i,-0.20869-0.12603i,-0.15774-0.1445i,-0.0585-0.11901i,-0.014164-0.067609i,0.012496-0.014315i,0.02857-0.00085763i,0.011689+0.0012464i,-0.010707+0.01385i,-0.015188+0.044714i,0.010076+0.074894i,0.037242+0.062809i,0.035194+0.028224i,0.02605+0.0016359i,0.018237-0.01962i,0.011113-0.031615i,0.014046-0.036722i,0.013683-0.035868i
-0.20137+0.26767i,-0.32877+0.5818i,-0.20435+0.72441i,0.054193+0.41949i,0.11905-0.041822i,0.088264-0.21118i,0.12396-0.15453i,0.10425-0.093039i,0.044466-0.037476i,0.013956-0.017701i,-0.023704-0.014928i,-0.044743+0.0093876i,-0.037724+0.018294i,-0.035235+0.019661i,-0.048741+0.027473i,-0.066753+0.035468i,-0.055587+0.040373i,-0.020695+0.030938i,0.0015171+0.023001i,0.0076932+0.026504i,0.0065931+0.032704i,0.0032549+0.042914i,0.0055524+0.043478i
0.065913-0.38649i,0.062952-0.73143i,0.072583-0.83565i,0.1939-0.61301i,0.40034-0.3922i,0.52109-0.34124i,0.46609-0.3417i,0.2567-0.29984i,0.039674-0.18754i,-0.023011-0.087498i,-0.0032539-0.078486i,-0.0048133-0.08201i,-0.00069496-0.052436i,0.014994-0.035358i,0.026924-0.039656i,0.025928-0.046384i,0.013268-0.036874i,0.0072558-0.018513i,0.01055-0.010781i,0.021215-0.013703i,0.026512-0.028827i,0.009994-0.048306i,-0.015116-0.045078i
0.16468+0.11362i,0.39193+0.12936i,0.4872+0.11981i,0.38069+0.16032i,0.22322+0.26493i,0.076869+0.30734i,-0.023179+0.25482i,0.0013825+0.18709i,0.040304+0.11405i,0.0048306+0.10575i,-0.029159+0.15092i,-0.019148+0.15216i,0.0040109+0.092591i,0.01951+0.0082422i,0.035201-0.056901i,0.049198-0.069721i,0.046682-0.047694i,0.031039-0.027495i,0.017646-0.014756i,0.014756-0.00599i,0.016547+0.0037519i,0.019235+0.016259i,0.020092+0.01959i
-0.31351+0.080421i,-0.5751+0.42859i,-0.73822+0.8064i,-0.76002+0.92967i,-0.80086+0.8161i,-0.80081+0.62074i,-0.5902+0.41746i,-0.32781+0.24021i,-0.15725+0.11973i,-0.05943+0.0468i,0.00037853-0.0011002i,0.029206-0.043349i,0.013924-0.080158i,-0.0086755-0.10791i,-0.0053898-0.13129i,-0.0033735-0.12796i,-0.0057791-0.09204i,-0.0040684-0.064038i,-0.0043606-0.058372i,0.00041244-0.054463i,0.0072229-0.0378i,0.0087594-0.014527i,0.015167+0.0048485i
-0.11963-0.0018952i,-0.31981-0.09752i,-0.42724-0.18142i,-0.27881-0.27143i,0.016438-0.52915i,0.14469-0.81536i,0.0026035-0.73269i,-0.079221-0.33298i,0.035913-0.038796i,0.090779+0.042657i,0.062034+0.094521i,0.065024+0.11226i,0.034644+0.062486i,-0.053075+0.041509i,-0.1135+0.072394i,-0.10671+0.10357i,-0.061534+0.1035i,-0.013617+0.085959i,0.031156+0.07455i,0.057469+0.059086i,0.041048+0.031637i,0.0098606+0.00257i,-0.0024668-0.023811i
-1.5047+6.4082i,1.1051+5.9811i,4.0181+4.6608i,4.6317+1.5453i,3.4705-0.98742i,1.4158-1.843i,-0.27516-0.98396i,-0.79527+0.19894i,-0.17162+0.7261i,0.78712+0.19427i,0.86946-0.78572i,0.16247-1.3513i,-0.74492-1.7213i,-1.642-2.1757i,-1.9251-2.1734i,-1.3025-1.3113i,-0.52722-0.40626i,-0.42045+0.00023683i,-0.75481+0.27922i,-0.70444+0.59116i,-0.14626+0.71774i,0.41514+0.45395i,0.50596-0.060052i
0.28986+0.32495i,0.50718+0.62073i,0.65641+0.72869i,0.75147+0.4891i,0.86825+0.026568i,0.83874-0.41598i,0.52909-0.56872i,0.20156-0.38668i,0.073568-0.18i,-0.0076029-0.098063i,-0.064854-0.02265i,-0.022477+0.02682i,0.033169-0.0027406i,0.033919-0.047542i,0.017867-0.045015i,0.029251-0.016188i,0.038533-0.0038836i,0.015269+0.0024086i,-0.0099422+0.0043896i,-0.025023-0.0017571i,-0.027583+0.0016461i,-0.010884+0.012419i,0.0065839+0.017942i
-0.33596+0.041009i,-0.63478+0.33408i,-0.48252+0.73712i,0.15099+0.78345i,0.57064+0.27275i,0.44641-0.21437i,0.21664-0.202i,0.20163-0.017568i,0.24262+0.010169i,0.18428-0.047942i,0.088077-0.074363i,0.017448-0.074585i,-0.036701-0.052197i,-0.064857+0.00099544i,-0.067757+0.034935i,-0.069585+0.039626i,-0.062125+0.045715i,-0.032059+0.057187i,0.0046787+0.062663i,0.0139+0.056699i,-0.0022839+0.057233i,-0.011672+0.062775i,-0.0071183+0.04248i
0.16918-0.46882i,0.22814-0.9312i,0.00069867-1.0937i,-0.42422-0.56005i,-0.53498+0.30878i,-0.18391+0.82062i,0.17458+0.78282i,0.25973+0.4663i,0.17737+0.18328i,0.12541+0.038119i,0.12444-0.054684i,0.088805-0.1049i,0.056072-0.067703i,0.072018-0.010043i,0.083389+0.00027708i,0.060319-0.020404i,0.030069-0.033758i,0.01277-0.038251i,0.00028453-0.042109i,-0.0001492-0.03761i,0.0097961-0.029298i,0.0033323-0.023261i,-0.021719-0.010076i
0.0042045+0.33729i,0.040387+0.52041i,-0.0076836+0.53432i,-0.04667+0.40263i,0.093814+0.27543i,0.2628+0.15491i,0.23681+0.022253i,0.11654-0.038492i,0.045945-0.05221i,3.0537e-05-0.051415i,-0.031892-0.042673i,-0.05406-0.047134i,-0.06296-0.041717i,-0.038705-0.013826i,0.00085437+0.019982i,0.034916+0.034315i,0.042023+0.021797i,0.024225+0.011529i,0.010364+0.0077986i,-4.3186e-05-0.0033255i,-0.0066018-0.009656i,-0.0015017-0.0034933i,0.0066104+0.0061047i
-0.00052882+0.20204i,0.053002+0.40987i,0.23554+0.49282i,0.41177+0.22806i,0.31366-0.16022i,0.0044478-0.2615i,-0.16206-0.12266i,-0.12806-0.021803i,-0.052446+0.0031303i,-0.009352+0.014637i,0.0062781+0.029793i,0.012635+0.043637i,0.0073115+0.056195i,0.0011031+0.081198i,0.018106+0.097799i,0.032134+0.076623i,0.014416+0.050464i,-0.0093494+0.044562i,-0.020684+0.045575i,-0.025463+0.051429i,-0.019409+0.046086i,-0.013175+0.01705i,-0.015195-0.0098457i
