-0.0011476-0.00091289i,-0.00030312-0.0025226i,-0.0014528-0.0016772i,-0.0013192-0.00068399i,-0.00082363+4.3759e-05i,-0.00092509-0.00016181i,-0.00074831-0.00046885i,0.00070196-6.8507e-05i,0.0016841-0.00056463i,0.0016806-0.0010853i,0.0017419-0.00055477i,0.0012058-0.00027257i,0.00051323-0.00025469i,0.00048707-5.2391e-06i,0.00020886-0.00019829i,0.00016342-0.0001188i,5.6462e-05+0.00028218i,-0.00039808+0.0010138i,-0.00078544+0.0012591i,-0.00074204+0.00037073i,-0.00025397-0.00031047i,0.00015839-0.00069413i,0.00013218-0.00039589i
0.0012758+0.00011359i,0.0013595+0.00092715i,0.00092637+0.00091983i,-0.00018068+0.0005725i,-0.00054717+6.1316e-05i,-9.7667e-05-0.0003146i,4.4828e-05-0.0010926i,-4.0062e-05-0.002284i,-0.00075012-0.002141i,-0.001084-0.0013602i,-0.0005149-0.00051264i,0.00024368-0.00030826i,0.00054176-0.00077425i,0.00044595-4.059e-05i,-0.00034199+5.8886e-05i,-0.0011507-0.00035402i,-0.00071261-3.6052e-05i,-3.5176e-05-0.00011412i,-0.00011566-0.00040008i,-0.00017146-0.00036747i,1.3737e-05-3.3594e-05i,-6.0314e-05-0.00025793i,-0.00046791-0.00062184i
-0.00050835-0.00042757i,9.6194e-05+4.3036e-05i,0.0017814-0.00013865i,0.0031361-0.001017i,0.0022904-0.0012598i,0.0016227-0.0019745i,0.00064651-0.002729i,9.8629e-05-0.0027617i,0.00015927-0.0021959i,0.0001335-0.0016604i,0.00048125-0.00099013i,0.00059022-0.00079695i,-0.00038654-0.0005589i,-0.00039753+0.00011222i,-0.00090989-4.6487e-05i,-0.0017672+0.00057552i,-0.00087885+0.00086684i,0.00038848+0.00050792i,0.00068785+2.8648e-05i,0.0003511-0.00036725i,0.00027998+4.8184e-05i,0.00035357+0.0003787i,-0.00012078-0.00017561i
0.00073758+0.0018065i,0.00074108+0.0020599i,0.00054922+0.0022236i,0.0004422+0.0015874i,0.00060925+7.8238e-06i,0.00046371-0.00013623i,-0.00088491+0.00010663i,-0.00056789-0.00078034i,0.0007898-0.00081047i,0.00095755-0.00021394i,0.00034659-0.00081254i,2.3622e-05-0.0014078i,-0.00030689-0.00061178i,-0.00074457+0.00018581i,-1.7365e-05-0.0004247i,0.00067834-0.00066959i,6.0454e-05-0.00039745i,-0.00055547-0.00028918i,-0.0001252-0.00035716i,0.00072596-0.00010998i,0.00074342+7.9741e-05i,-8.0305e-05-0.00012357i,-0.00019787-0.0009185i
-0.0011431-7.3901e-05i,4.353e-05-0.00021285i,0.00082075+0.0005367i,0.0008618+0.00052541i,0.00077296-0.00017105i,0.0010304-0.00084349i,0.0012206-0.0017324i,0.00099535-0.001914i,0.00018881-0.0014188i,-0.0001687-0.00091195i,-9.0132e-06-0.00068089i,0.00025252-0.00054242i,0.00057328+0.00010324i,2.1533e-05+0.00042874i,-0.0002085+0.00024112i,-0.00012689+8.3994e-05i,-0.00040275-9.085e-05i,0.00017596-0.00014485i,0.00031507+7.3807e-05i,-0.00062825+0.00014704i,-0.00050358-6.8378e-05i,0.00028508+0.0003285i,0.00077375+0.00084546i
0.0003186+0.00062495i,0.00081116+0.00023326i,0.0012233-4.314e-05i,0.0012202-0.00065325i,0.00071077-0.00121i,0.0007918-0.0017586i,0.00025886-0.001702i,-1.1889e-05-0.0019392i,0.00029712-0.0025184i,4.7151e-05-0.0020314i,-0.0005323-0.00069516i,-0.00050351-0.00015984i,-0.00048762-0.00036086i,-0.0010449-0.00035685i,-0.0016051-0.00033172i,-0.0012548-0.00067991i,-0.00035966-0.00070656i,-0.00021824-0.00030177i,-0.00060867+2.3832e-05i,-0.0008624+0.00082527i,-0.00038598+0.00063244i,0.00037546-0.00032699i,0.00079478-0.00047365i
-0.0011206-0.00023423i,1.1271e-05+0.00012198i,0.0007788-4.0571e-05i,0.0013939+0.00010351i,0.0010582+0.00018746i,0.0014101-5.6536e-06i,0.0011183-0.00027778i,0.00015177-0.00098598i,-0.00048322-0.0015797i,-0.00038463-0.00073896i,6.5529e-05-0.00028792i,0.00022282-0.00045028i,0.000377-0.00043043i,0.00034404-0.00094355i,9.8612e-05-0.00064597i,-0.00034989-0.00033518i,-0.00081+6.8406e-05i,0.0002705-0.00026476i,0.0013032-0.00071332i,0.00064668-0.00042129i,0.00052408-0.000304i,0.0005546-0.00030558i,-8.2537e-05-0.00082055i
0.0007914+0.0006806i,0.00053814+0.00023649i,0.00098078-0.00063985i,0.00052428-0.00084985i,-0.00024929-0.00065976i,-0.00020447-0.00077988i,0.00026498-0.00060777i,-3.0715e-05-0.0011835i,-0.0002614-0.0013645i,-0.00053732-0.00067831i,-0.00036437-0.00071062i,0.00049251-0.00097591i,-4.6338e-05-0.00051519i,-0.00037463-0.00059154i,-0.00027944-0.00079293i,-6.8289e-05+0.00035189i,-0.00019178+0.0011948i,0.0002252+0.00028852i,0.00064813-0.00030986i,-0.00014952-0.00036311i,-0.00057007+5.7188e-05i,-0.00051479-3.1435e-05i,-0.0010614+0.00018853i
-0.001476+0.0021907i,-0.00023291+0.0020335i,0.00054093+0.0011923i,0.0011073-0.00065645i,0.0018188-0.0018645i,0.00084281-0.0023307i,0.00020551-0.0024731i,0.00059-0.0025859i,0.00040469-0.0024074i,-0.00011344-0.0013614i,-0.00035256-0.0010566i,-0.0004678-0.0013335i,-0.00034876-0.0013909i,-0.00097569-0.0010861i,-0.0012485-0.00016642i,-0.00076819+0.00053473i,-0.0011051+0.00014525i,-0.0009484-0.00014011i,-0.000112+4.8518e-05i,0.00042225+0.00031509i,0.00018818+3.0749e-05i,-0.00018885-0.00010635i,-0.00046931+0.00029226i
-0.0010376-0.0010484i,0.00029061-0.0004591i,0.0013815-0.00012899i,0.0021277-4.9324e-05i,0.0018254+0.00015188i,0.0013361+0.00019343i,0.00087972-0.00090016i,0.0009875-0.002317i,0.0011713-0.0022983i,0.00079398-0.0017285i,0.00026697-0.00077268i,0.00018338-2.476e-05i,8.2589e-05-0.00038557i,7.119e-05-0.00098306i,-8.881e-05-0.00061801i,-0.00094591+1.2666e-05i,-0.0013499+0.00013467i,-0.0013582+0.00053492i,-0.00093535+0.00086987i,0.0002963+0.00058318i,0.00034163+0.00077506i,-0.00023153+0.00032062i,-0.00034848-0.0003264i
0.001842-0.00061824i,0.0018179-0.00065582i,0.00033457-0.0011955i,-0.00028563-0.0010408i,-0.00067631-0.00014451i,-0.00029074-0.00049953i,0.0010356-0.00089624i,0.0014186-0.0008126i,0.00090057-0.001413i,-0.00022717-0.001i,-0.0006016-3.5042e-05i,-0.00033649-0.00043449i,-0.00036576-0.00068732i,0.00034218-0.00026119i,-8.6556e-05-0.00018001i,-0.00091721-0.0003235i,0.00037476-0.00050166i,-5.1225e-05-0.00047129i,-0.00056821+0.00035504i,6.7732e-05+0.0010651i,0.00025136+0.0011646i,0.00053938+0.0012446i,0.00072613+0.00063441i
0.0023766+0.00012667i,0.0017279+0.00020935i,0.0014337-0.0011695i,0.0010442-0.0015851i,-0.00023759-0.00064803i,-0.0008388+7.687e-05i,-0.00033841-8.0976e-05i,0.00045249-0.0010869i,-0.00022325-0.0015152i,-0.0011512-0.0016229i,-0.00055544-0.0012315i,-0.00017904-0.00021145i,0.00037222+0.00052029i,0.00017017+0.00051439i,-0.00014933+0.00033077i,0.00034358-0.00016948i,0.00047908-0.00030802i,0.00016541+0.00082471i,-0.00019516+0.0010947i,-0.00063109+0.00094661i,-0.00096976+0.0005459i,-0.00058789-0.00018616i,0.00022692-0.00031992i
0.001756-0.0021884i,0.0024475-0.0015493i,0.0020549-0.00093071i,0.0007412-0.00022503i,-0.00032276-0.00041912i,-0.00035285-0.0010045i,0.00040529-0.0014276i,0.00051735-0.0013683i,6.1776e-05-0.0013879i,-0.00040937-0.0012688i,-0.00056898-0.00026055i,-0.00092197+0.00023325i,-0.00063999+0.00017768i,-9.5274e-05+0.00013541i,4.7946e-05+0.00038833i,2.8394e-05+0.00066678i,9.048e-05+0.00071143i,-0.00026685+0.00022602i,-0.00046442+0.0002897i,0.00020204+0.00051232i,0.0010311-1.3181e-05i,0.00089415-0.00018987i,0.00016925+0.00037034i
-0.00050983+0.00037502i,-5.1668e-05+0.00059032i,-2.784e-06+0.0012834i,0.00084679+0.002053i,0.0014299+0.0010481i,0.0006837-0.0011872i,5.9235e-06-0.0023303i,-0.00019635-0.0026866i,-0.00054617-0.0016166i,-0.00074624-0.00046309i,-0.00091715-0.00056388i,-0.00087348-0.0010297i,-0.00041193-0.0008708i,-0.00016768-0.00047736i,-0.00056471-0.0003779i,-0.00054643+0.00062477i,0.00032678+0.0012197i,0.00022615-7.3223e-06i,-0.00020397-0.00062681i,3.3445e-05-0.00014638i,0.00032518-0.00027442i,0.0012664-0.00038186i,0.0016664-0.00047521i
-0.00026303-0.00068356i,-0.00043674-0.0011068i,0.00081133-0.00068439i,0.00095496-7.4298e-05i,0.00055962+0.00092311i,0.00067709+0.00064642i,0.00051369-0.00072039i,0.00065252-0.0013793i,0.00071057-0.0013583i,-0.00050469-0.0010306i,-0.00058314-0.00072341i,0.00028047-0.00023935i,0.00043679+8.9702e-05i,0.00081258+5.2276e-05i,0.00077825-0.00068858i,7.9682e-05-0.00094777i,0.00024179-0.00042191i,0.00039462-0.00021559i,0.00060689-0.00031433i,0.00026875-0.00038384i,0.00013273-0.00019278i,6.1292e-07-0.00055497i,3.2124e-05-0.0011588i
0.00019167-0.00071835i,0.00027328-0.00057945i,0.0010585-0.00075901i,0.0010931-0.0011251i,0.00030599-0.0011764i,-0.00050963-0.0015335i,-0.00082325-0.0019389i,-0.00071796-0.0023012i,0.00018413-0.0022691i,3.7808e-05-0.0012167i,-0.00069062-0.0011709i,-0.00049435-0.00075658i,-0.00039919+5.7983e-05i,0.00027583+0.00040509i,0.0007017+0.00029722i,0.00046318-0.00049481i,0.00057243-0.00066456i,0.0010292+0.00028422i,0.00063662+0.00051218i,0.00022541-0.00019372i,0.00010065-0.00044938i,0.00072872-2.7114e-05i,0.0012589+0.00042685i
0.00056614+0.00022295i,0.0007843+0.00039992i,0.0018835+0.00084244i,0.001583+0.00077281i,-0.00036619+0.00033091i,-0.0010152-0.00019443i,-0.00048401-0.0011239i,-0.00054551-0.0019577i,-0.00070328-0.0022895i,-0.00024924-0.0016416i,-0.0007482-0.00071146i,-0.0012819-0.00048463i,-0.00084929-0.00018849i,-0.00024584-5.3235e-05i,0.00021441-0.00024347i,0.00027423+0.00049271i,-0.00027042+0.0011217i,-0.00082975-7.8954e-06i,-0.00070544-0.0015107i,-4.1643e-05-0.0017659i,0.00094552-0.0011877i,0.00096528-0.00049849i,0.00055764+0.00025191i
0.0010863+0.00062402i,0.0016874+0.00065955i,0.0025059+0.00012842i,0.0017025-0.00050684i,-0.00011477-0.00068282i,-0.00052319-0.00056649i,7.6423e-05-0.0010274i,0.00092016-0.0017982i,0.00042086-0.001602i,-0.0009248-0.00082247i,-0.00078473+4.1153e-05i,0.00041562+0.00022347i,0.0010047+0.00017714i,0.00036105+2.5351e-05i,-6.4738e-05-0.00040202i,0.00059829+0.00011957i,0.00069982-0.00014374i,-3.8237e-05-0.00081666i,-3.1926e-05-0.00069172i,8.6642e-05-0.00037776i,-0.00019803+0.00043124i,0.0002961+0.0015059i,-0.00025376+0.0012827i
0.00014444+0.00094013i,0.0012335+0.0011887i,0.001113+0.0011458i,0.00083147+0.00075726i,0.00096574+0.00018586i,0.00072299-0.00044418i,0.00028846-0.0013669i,0.00052416-0.0029253i,0.00083793-0.003258i,0.00025022-0.0022116i,-7.2737e-05-0.00028465i,9.9516e-05+0.00077628i,0.00062872+1.8598e-05i,0.00029446-0.00022439i,-0.00031249-0.00027558i,-0.00060031+5.1874e-05i,-0.00043393+0.00061072i,-0.00042311+0.000228i,-0.00057523-0.00032393i,4.7972e-05-0.0006827i,0.00073311+0.00031892i,-0.00021314+0.0007466i,-0.00096346-3.0384e-05i
9.888e-05+0.0016245i,-8.0454e-06+0.00086504i,0.00094685+0.00037396i,0.0014818+0.0004137i,0.0013353-0.00022024i,0.00076767-0.0010721i,-0.00034936-0.0013942i,2.8436e-05-0.0015133i,0.0011792-0.0017202i,0.001151-0.0014054i,0.00040686-0.00040816i,0.00055442-0.00024659i,0.00029488-0.00045682i,-0.00055622-0.00035132i,-0.000423+3.5618e-05i,0.00024406+0.00037909i,0.00085054+0.00051766i,0.00065575-5.0253e-05i,-0.00091957-0.00035242i,-0.00065156+0.00028383i,0.00139-0.00019378i,0.0017909-0.00045726i,0.00071487-7.6227e-05i
-0.00080919-0.00024043i,-0.00061934-0.00074139i,-0.00034979-0.0001306i,-0.00058221-5.2462e-05i,-0.00065292-0.00057866i,-0.00051321-0.0012453i,0.00044173-0.0015958i,0.00077955-0.0020443i,0.0008058-0.0017079i,0.00043729-0.0011525i,-0.00051119-0.00076498i,-0.00081367-0.00074315i,-0.00079062-0.00059588i,-0.00028379-0.00031979i,0.00033908+0.00020684i,3.7991e-05+0.00022361i,-0.00018194+1.9928e-06i,0.00013633-0.00045368i,9.9161e-05-0.000171i,0.00027514+0.00019053i,0.00082009+0.00023431i,0.00068594+0.00012457i,-0.00016557-0.00037792i
0.0019783-0.0003583i,0.0029972-6.5884e-05i,0.0016369-0.00021408i,0.00021679+7.8378e-05i,-0.001019+0.00096321i,-0.00066007+3.4302e-05i,0.00011628-0.00093892i,9.1661e-06-0.0015845i,0.00015389-0.0019997i,-7.4739e-05-0.0012766i,-0.00031489-0.00075649i,-3.4631e-05-0.00088278i,0.00019305-0.00027325i,-0.00018555+0.00018205i,0.00021147-0.00023274i,0.00078262-0.0010384i,0.00081697-0.00032112i,2.7379e-05+0.00026541i,3.7246e-05-7.4165e-05i,0.00036061-3.0925e-05i,-0.00024693-0.00023189i,-0.00045471-8.9283e-05i,0.00019723-0.00026502i
-0.00048605+0.00060373i,0.00010438-9.315e-05i,0.0011777+0.00020498i,0.0020153-0.00023165i,0.0019531-0.00066405i,0.0017766-0.0012073i,0.00097957-0.001698i,8.0916e-05-0.0020431i,0.00015487-0.0019191i,0.00067734-0.00070399i,0.00012004-7.8631e-06i,-0.00018785-0.00015338i,0.00035471+0.00010837i,-9.4858e-05+0.00055986i,-0.00080012+0.00027149i,-0.00059995-0.00076421i,0.00014779-0.0010664i,1.0588e-05-0.0010476i,-0.00057154-0.00052384i,-0.00029871+4.3544e-05i,0.0009171-0.00059178i,0.0015095-0.00054481i,0.00074133-0.00019436i
0.0028166-0.0006629i,0.003335-0.001006i,0.0017816-0.00047345i,0.00020022+0.00027075i,-0.00043548+0.00023481i,-0.00063941-0.00036962i,0.00023873-0.001476i,0.0018872-0.0015228i,0.0018073-0.0018922i,0.0004169-0.0025948i,-3.7421e-05-0.0016693i,0.00054619-0.00037967i,0.00081683+0.00040026i,8.1874e-05+0.00047238i,-0.00012734-0.00021411i,1.665e-05-0.00057942i,0.00029837-0.0007454i,0.00038562-0.00048015i,-0.00011535+2.3174e-05i,-0.0002606+0.00052774i,0.00033113+1.9967e-05i,0.00054975-0.00039094i,-8.4492e-05+0.00016059i
-0.0022843-0.00019318i,-0.0022221+0.0010986i,-0.00092432+0.0011026i,-0.00058974+0.0016745i,-0.00065823+0.0014367i,-0.00033177+0.00058607i,-0.00015207-0.00010795i,0.00074405-0.0015066i,0.001008-0.0019102i,0.00018738-0.0010139i,0.00010048-0.00062068i,3.879e-05-0.00054786i,0.00017607-0.00066044i,-0.00012821-0.00058194i,-0.00013274-0.00058475i,0.00029063-0.00049882i,0.00018596-0.00020456i,-0.00015292+0.00026547i,4.9683e-05+8.5847e-05i,0.00080982+0.00028355i,0.00082742-0.0001324i,0.00080953-0.0009923i,0.0010636-0.00046819i
0.0018342-0.0020175i,0.0030969-0.0024099i,0.0024683-0.0023057i,0.00044973-0.0012316i,-0.00068561-0.00010355i,-0.00027867-0.00015724i,0.00055855-0.0010501i,0.0007392-0.0023322i,0.00043152-0.0025414i,-0.00011293-0.0013361i,5.1799e-06-0.00052813i,0.0014442-0.0005147i,0.0016256-0.0012488i,0.000498-0.0018235i,0.00043242-0.0014626i,0.00021619-0.00015274i,3.8702e-05+0.00027271i,-1.9956e-06+0.00037605i,-0.00052733+0.00065691i,-6.21e-05+0.00019696i,-9.0964e-05-0.00017892i,-2.7244e-06+0.00028713i,0.00016073+0.00045534i
-0.0013622+0.0014968i,-0.00012255+0.0015122i,9.0198e-05+0.00099659i,0.00057293-0.00038018i,0.0010507-0.0011264i,0.00061603-0.0013635i,0.00013429-0.0010751i,0.00016541-0.0018007i,0.0010758-0.0027188i,0.0013804-0.0019064i,0.00091537-0.00032436i,0.00079859+0.0002477i,0.00033081-8.203e-05i,-0.00040232-0.00029343i,-0.00073778-0.00033645i,-0.00068272-0.0001159i,-7.821e-05+0.00034274i,0.00037744+0.00033144i,0.00073546-1.0229e-05i,0.00061921-0.00054487i,-6.5788e-05-0.00074441i,-0.00051285-0.00061552i,7.9011e-05-0.0005281i
0.00035292-0.0025352i,0.0016219-0.0015198i,0.0012733-0.0012574i,0.000178-0.00084591i,0.00010444+7.1149e-05i,0.00088567+0.00061656i,0.0015897+6.8805e-05i,0.0015279-0.00033182i,0.00072177-0.00058262i,0.00026212-0.00032609i,-0.00029087+0.00039051i,-0.00053418+0.00033921i,9.9008e-05-0.00046669i,0.00061939-0.0010363i,0.00048772-0.0011724i,-0.00010281-0.00080842i,-0.00022273+0.00038092i,-0.00037174+0.00086209i,-0.00023734+0.00087011i,-8.3245e-05+0.00049047i,6.8829e-05+0.00067898i,0.00039328+0.0010079i,0.00082369+0.00032176i
