2.2572e-05-0.00025828i,0.0010885-0.00026408i,0.00031706-0.00090545i,0.00022548-0.0016154i,0.0010816-0.00095421i,0.00024008-0.00030037i,-0.00058043-0.00040539i,-0.00078965-0.00075283i,-0.0011168-0.00086424i,-0.00085142-0.0009819i,-0.00058503-0.00083175i,-0.00075201+0.00059693i,-0.00044387+0.00098679i,0.0001275+0.00018015i,0.00037151-0.00068429i,0.00020105-0.00081458i,4.074e-05-0.00046617i,-9.4853e-05+0.00027715i,-0.0001856+0.00010416i,0.00047154-0.00015824i,0.00093469+0.00033003i,0.00057289-0.00022469i,0.000129-0.00033687i
-0.0010605-0.0024208i,-0.002129-0.0019091i,-0.0019189-0.0017007i,-0.0014198-0.0012986i,-0.0014286-0.0007359i,-0.00083546-0.00062435i,-0.00050765-0.00014594i,-0.00097358-0.00039098i,-0.00089455-0.0007547i,-0.0011147-0.0002558i,-0.0015866-0.00028674i,-0.00073875-0.00042353i,-0.00037998+8.9227e-05i,-0.00026725+0.00019815i,0.00070324-0.00053063i,0.0010368-0.00066463i,0.00070564-0.0006108i,0.00083579-0.00028192i,0.00022363-9.37e-05i,-0.00028202-0.00045577i,0.00030361+2.8383e-06i,0.00063095-0.00016045i,0.00016985-0.00087178i
9.4139e-06-0.0021227i,0.00028748-0.0018774i,-0.00094759-0.0014926i,-0.0015008-0.00075247i,-0.0010169+0.00026032i,-0.00042605+0.00096443i,-0.00014804+0.00055718i,-0.00019516-8.5356e-05i,-0.00031516-0.00061943i,-0.00047115-0.00033917i,-0.00068602+0.00017952i,-0.00034426+0.00011269i,0.00062235-0.00023411i,0.0011986+4.4154e-05i,0.00092828-0.00033907i,0.00047292-0.00096292i,9.2979e-05-0.00077402i,9.7222e-05-0.00090612i,-0.00031177-0.0006806i,-0.00055345-0.00018564i,-0.00079226+0.00022108i,-0.0006289+0.00042067i,-8.9732e-05+0.00041552i
0.0010246+6.3763e-05i,0.00079679+0.00069296i,0.0014148-0.00050517i,0.0018436-0.0014563i,0.00035908-0.0017798i,-0.00036592-0.00092277i,-0.0003441+1.779e-05i,-0.00022195+7.0207e-05i,-0.00061431+0.00036806i,-0.0008855+0.00072072i,-0.00079854+0.00085865i,-0.0012343+3.8319e-05i,-0.0013526-0.00020797i,-0.0012224+0.00050903i,-0.001131+0.00044477i,-0.00076797-8.5032e-05i,-0.00031674+0.00026857i,0.00030162+0.00074536i,0.00080465+0.00068492i,0.00092378+0.00036983i,0.00059387+0.00044015i,0.00037781+0.00060389i,0.00024403+0.00052094i
-0.0020583+0.00022941i,-0.0013252+0.00099255i,-0.0013031+0.0023197i,-0.0014776+0.0027917i,-0.00089427+0.0017418i,0.00020844+0.00077621i,0.00098767+0.00061524i,0.00076748-0.0001466i,-0.00049693-0.00048453i,-0.00049551-0.00022915i,5.5441e-05-0.0001052i,0.00054471-0.00015959i,0.00076792+5.817e-05i,4.4267e-06+0.00025495i,7.358e-05-9.9271e-05i,0.00029462-0.00016521i,0.00040587+3.9883e-05i,0.00075183-0.00011325i,0.00060666-0.00057291i,0.00010853-0.00077645i,-0.00019605-0.00082878i,-0.000241-0.00021283i,2.8822e-05+0.00067034i
0.00050455+0.00068037i,-8.8917e-05+0.00026526i,0.00033997+0.00038975i,0.0019255+0.0003061i,0.0028551-0.00022581i,0.0019935-0.00075143i,0.00040712-0.00073983i,-0.00023499-0.00038604i,-0.00049783-0.00058546i,-0.00077094-0.00037994i,-9.4361e-05+0.00010816i,0.0005655-0.00032053i,0.00042413-0.00084102i,0.00093078-0.00067861i,0.0011794-0.00094026i,0.00029292-0.00074893i,-9.6926e-05-0.00035894i,0.00031726-0.00050254i,-7.4705e-05-1.6266e-06i,-0.00039257+0.00032013i,8.5098e-05+0.00011991i,0.00093368+0.00033196i,0.0010031+4.4761e-05i
0.0015008-0.0017562i,0.00060007-0.0017611i,-0.00030405-0.0014066i,-0.0012679-0.0012883i,-0.0023455-0.0011318i,-0.0024759-0.00011469i,-0.0013043+0.0003198i,0.00035614+0.00020776i,0.00085236+0.00034635i,2.9214e-05+0.00014072i,-0.00028208-2.3265e-05i,-0.00025731+0.00068308i,-5.7952e-05+0.00064876i,0.00038851+0.00018686i,0.00072167+0.00036681i,0.00076167+3.087e-05i,0.00028514-0.00024449i,7.5134e-05-4.7123e-05i,-5.3437e-05+0.00040196i,-0.00065266+0.0011007i,-0.00085924+0.00072305i,-0.00051874+0.00025803i,-0.00061379-0.00011504i
-0.00079574+0.0011378i,-0.00050226-0.00032681i,0.00048825-0.001384i,0.00070705-0.0010786i,-9.4808e-05-0.00080951i,-0.00066006-0.0017263i,-0.00067888-0.0017174i,-0.0003088-0.00020508i,-0.00026142+0.00045274i,-0.00019362+0.00086092i,-1.7997e-05+0.0010608i,0.00021351+0.00087277i,0.00043267+0.00086715i,0.00017875+0.00050258i,-3.6913e-05+0.00036323i,-0.00030182+0.0004621i,-0.0013333+0.00037719i,-0.0010612+0.00037452i,-0.00049573-0.00016174i,-0.0003625-0.00025002i,-0.0004838+0.00013613i,0.00023732+0.00017203i,0.00070234+0.0006157i
0.0014782-0.00063052i,0.0010068+0.00018001i,0.00062538+0.00015501i,-7.5982e-05-0.00058903i,-0.00081009-0.0016312i,-0.0012368-0.0014956i,-0.00042346-0.00049046i,-0.00019668-0.00025118i,-0.00054544-0.00076586i,-0.00041832-0.00104i,0.00042688-0.00020841i,0.00083624+0.00061645i,-4.0785e-05+0.00063536i,-0.0007631+0.00044756i,-0.00036586+0.00058345i,-3.6259e-05+0.00098453i,-0.00056721+0.00093918i,-0.00065369+0.00022176i,-0.00012309-0.0002565i,0.00036557-0.00068015i,0.00061688-0.00062605i,0.00030344+0.00012974i,-3.7938e-05+3.3149e-05i
-0.00013932-0.001685i,-0.0002965-0.0012431i,-0.00098391+7.7001e-06i,-0.0013619+0.00028799i,-0.001215+0.00019025i,-0.00047509+0.0007378i,0.00083496+0.00080795i,0.00087961+0.00049799i,9.6573e-05-0.00046412i,-0.00082057-0.00042992i,-0.00093457+0.00010206i,-0.0004054-0.00015176i,0.00010947-0.00010763i,0.0005985-0.00030064i,0.00039301-0.00088305i,-0.00014884-0.00075845i,0.00075898-0.00035684i,0.00081522+0.00011876i,-0.0003248+4.6467e-05i,-0.0004526-0.00017145i,0.00067321+2.9055e-05i,0.0009394+0.00015883i,0.00075061+0.00013939i
