-0.0029828+0.0022193i,-0.0026207+0.002291i,-0.0031543+0.0031301i,-0.0023788+0.0022868i,-0.00043315+0.0019061i,0.0003365+0.0010092i,6.7405e-05+0.0007617i,-5.8949e-05+0.002109i,-0.00046634+0.0022466i,3.5293e-05+0.0010758i,0.00053688+7.2125e-05i,-0.00027776-0.00038291i,8.9678e-05-0.00071126i,0.00052888-0.0011695i,0.00010392-0.00042308i,-0.00020353+0.00057913i,-0.00066856+0.00037927i,-0.00049937+0.00022556i,0.00021366+0.00052594i,0.00019228+0.00038293i,0.00020487+0.00010751i,8.6952e-05-0.00042151i,0.00041737-0.0010063i
0.00067342-0.0011153i,0.00010803-0.00081498i,-0.00054037-0.0014695i,-0.00028548-0.0011535i,1.9039e-05-0.00064017i,-0.00012446-0.00016519i,-0.00013736-0.00021659i,-5.9082e-05-0.00021188i,0.0003988-0.00053751i,0.00057022-0.00077438i,-0.00052905-0.00056982i,-0.00062885-0.00026976i,0.00025669-0.00017516i,-6.9953e-05-0.00090331i,-0.00024752-0.00077361i,0.00023852+0.00040119i,0.00039265+0.0012707i,-8.4529e-05+0.00098269i,-0.00054375+0.00052421i,0.00032829-0.00014652i,0.0011498-0.00041705i,0.00051065-0.00020374i,4.0845e-05-0.00030204i
-0.0008557-0.00062237i,-0.0018473-0.00038989i,-0.0022147+0.0011098i,-0.00096989+0.00092925i,1.3841e-05+0.00063547i,-0.00045725+0.0010258i,-0.0010033+0.00026599i,4.9842e-05-0.00033183i,0.00030801-0.00019325i,0.00023288-0.0001061i,0.00056592+0.00034741i,-4.8471e-05-5.0256e-05i,-0.001231-0.00029734i,-0.0014088+0.00069831i,-0.00049163+0.00045118i,-0.00010669-0.00033863i,-0.00068146+5.6528e-05i,-0.00087924-0.00019324i,-0.00043686-0.00016259i,-0.00050837+0.00094613i,-0.00051914+0.00047571i,-0.00068538-0.0006497i,-0.00052114-0.00022884i
-0.00055092+0.00045326i,0.00015252+8.0353e-05i,0.0004856-0.00061552i,0.00057237-0.00038452i,0.0003416+0.0014183i,0.00077997+0.00082592i,0.00039076-0.0007778i,-0.0004592-0.001075i,-0.00015693-0.00080299i,0.00025803-0.00096923i,-6.7114e-05-0.0012053i,-0.00044371-0.00052488i,0.00030922+6.1718e-05i,0.00098235+0.000101i,0.0002333-0.00029599i,-0.00020406-0.00025683i,0.00010108-0.00037984i,-0.00033543-0.00094717i,-0.00072591-0.0013959i,-0.00041865-0.00091046i,-0.00048418-0.00025362i,-0.00058059-0.0002225i,5.3747e-05+0.00011285i
-0.00049339-0.00077223i,-0.0014468-0.00045921i,-0.001964-0.00023724i,-0.0017683+0.00056528i,-0.0017198+0.0012983i,-0.00095033+0.0014955i,4.2962e-05+0.0014393i,0.00012941+0.00098516i,0.00017372+0.00022547i,-3.7813e-05+6.6595e-05i,0.00042754-0.00039518i,0.0003068-0.00055046i,-0.00013246-0.00035137i,-0.00026814-0.00018667i,-8.5817e-05+0.00070857i,-7.6418e-05+0.00079521i,-0.0006049+0.00060523i,-0.00060405+0.00092503i,-9.0003e-05+0.0001262i,0.00015485-0.0011169i,-7.1057e-05-0.0012905i,-0.00016564-0.00078268i,0.0001357-0.00074242i
0.00064899+0.0019544i,0.0014819+0.00036549i,0.0027243+7.9517e-05i,0.0024568-0.00034118i,0.0013568-0.0011515i,0.0011818-0.00043671i,0.0011068-0.00035361i,0.00023374-0.00080607i,-8.1804e-05-0.00064223i,-0.00027319-0.0011442i,-0.00016664-0.0011667i,0.00026364-0.00013385i,0.00039238+7.5631e-05i,-0.00018278-0.00022539i,-0.00071622-0.00062923i,-0.00027837-0.00049373i,6.1605e-05+0.00019524i,-0.0001766+0.00069811i,-0.00031226+0.00042061i,0.00030224-0.00041008i,0.00060324-0.00064858i,0.00064081-0.00028039i,0.0010518+0.00061624i
-0.00071232+0.00054563i,-0.0014773+0.0013173i,-0.0016177+0.00069427i,-0.0013168+0.0003897i,-0.00079986+0.00031639i,0.00011702-0.0003472i,0.00014087-0.00069119i,-0.00033596-0.00079397i,-0.00029245-0.0014123i,-0.00027551-0.00091593i,-0.00026216+0.00015477i,0.00017714+1.2963e-05i,0.00052683-0.00018837i,0.00074676+0.00018668i,0.00063882-2.9034e-05i,0.00018263-0.00084717i,0.00014634-0.00098397i,0.00041796-0.0002202i,0.00017524+0.00032227i,-0.00051986+0.00056426i,-0.00062841+0.00024922i,-0.00038318-0.00034077i,-0.00011765-0.00060642i
0.0011091+0.00067966i,0.00045071-3.7351e-05i,0.00044694+0.00012833i,-0.00035942-0.00010134i,-0.00095064-0.0014388i,-0.00029433-0.0017588i,-0.00025474-0.0010865i,0.00019648-0.00061713i,0.00034027-0.00033181i,-0.00070834-0.00040932i,-0.0011799-0.00017062i,-0.00018977+0.00032318i,5.9638e-05+0.00058985i,-0.0016057+0.00062348i,-0.0019054+0.00070705i,-0.00093553+0.00013431i,-0.00051974-0.00060023i,-0.00021166-0.0002849i,0.00047295+0.00073254i,0.0008002+0.00085636i,0.00078551+0.00018579i,0.00077213-0.0002808i,-0.00023695-0.0001028i
-0.0010515+0.00034193i,-0.0015751+0.0011125i,-0.0010775+0.0020197i,-0.00063627+0.0013139i,-7.9682e-05+0.00036835i,0.00031216+0.00013164i,0.00044908-0.0005501i,0.0011498-0.00099025i,0.00099293-0.00064593i,0.00098248-0.00026678i,0.00092633-0.00067177i,4.7066e-05-0.00069083i,-0.00066335-1.3771e-05i,-0.00029695+0.00036161i,8.6998e-05+0.00074866i,-0.00039627+0.00049022i,-0.00072229-0.00037436i,9.5741e-05-0.00057508i,-2.8308e-05-0.00030602i,-0.00046306+0.00047791i,6.6983e-05+0.00071481i,-9.9764e-05+0.00018879i,-0.00051005-0.0006452i
-0.00092763-0.0005021i,0.00035673-0.00026931i,0.00037409-0.00019995i,-0.0001147+0.00033402i,-5.3793e-05+0.00072231i,0.00040029+0.00090392i,0.00051337-6.0098e-05i,-0.00026866-0.00082757i,-0.00075692-0.0010783i,-0.00098847-0.0011055i,-0.00068534-0.00010315i,-7.89e-05+0.00019901i,-0.00012562+7.1107e-06i,-0.0005403+0.00028692i,-0.00012296+0.00086323i,0.00025985+0.0010193i,-0.00030789+0.00070552i,-0.00045383+9.4231e-05i,7.9918e-05+2.9637e-05i,0.00034655+0.00033728i,0.00014198+0.00042121i,-8.0909e-05+0.00017268i,0.00022863-0.00027878i
0.0014779+0.00057053i,0.0011276+0.00044942i,0.00099698-0.00025075i,0.0007866-0.0012469i,0.00035429-0.0018474i,-0.00044608-0.0011265i,-0.00052125+0.00019687i,0.00019575+0.00086491i,0.00024395-9.0573e-06i,0.00026722-0.0010869i,0.00011067-0.0011065i,-0.00022708+0.00034453i,0.00011816+0.00080182i,0.0006514+6.6093e-05i,0.00049472-0.00058543i,0.00083553-0.00012969i,0.00079158+0.00065387i,-0.00010336+4.5099e-05i,-0.00038379-0.00019761i,-0.00014674+0.00055242i,-0.00028703+0.00088658i,-2.0461e-05+0.00031354i,-3.9768e-05-0.00016891i
0.00018193+2.3822e-05i,0.0010605-0.00057607i,0.00067542+0.00024265i,0.00063394+0.00052499i,0.00073893+0.00012672i,3.8744e-05-0.0004695i,-2.9132e-05-0.00057161i,8.9878e-05-0.00051547i,-0.00044361-0.00052668i,-0.00065641-0.00039738i,-0.00022409-0.00065194i,-0.0004637-0.0015697i,-0.00057959-0.0017625i,6.8388e-05-0.0014552i,-0.0001253+3.8796e-05i,-0.00040568+0.00083353i,-0.00017018-0.00064752i,-1.2864e-05-0.0010838i,0.00025463-0.0003566i,0.00021534+0.00018971i,-0.00020637+0.00024159i,-0.00059278+0.00046075i,6.053e-05+0.00081747i
0.0011604-0.0016476i,0.00076595-0.00087527i,-0.00036769+8.9799e-05i,-0.0016293+0.00030659i,-0.001222+0.0001814i,-0.0007079+0.00063645i,-0.00043365+0.00055021i,0.00031141-0.00031144i,0.00087232-0.00067502i,-4.8694e-05-0.0013532i,-0.00069677-0.001068i,0.00050792+0.0001558i,0.0011358-0.00019448i,0.0012079-0.00064039i,0.0015349-8.3122e-06i,0.00089587+9.7183e-05i,-0.00024136-0.00023447i,-0.00066869-0.00035887i,-0.00088254-0.00061518i,-0.00092958-9.9326e-05i,-0.00032429+4.4015e-05i,-1.1469e-05-0.00019568i,0.00035778-0.00017416i
0.0016252-3.6396e-05i,0.0013561-0.00021818i,0.0015495-0.00069863i,0.00172-0.0003224i,0.0008691-0.00034316i,-0.00041653+9.4896e-05i,-0.0009306+0.00036859i,-0.00068773-0.00045427i,-0.0004133-0.0011385i,1.1578e-05-0.00092365i,0.00044648-0.00074627i,0.00099588-0.0010031i,0.00062412-0.0011609i,-0.0001194-0.0004952i,9.4318e-05+0.00023377i,0.0010744+0.00063946i,0.0013109+0.0010839i,0.00066399+0.00073442i,0.00029071+7.1449e-05i,0.00055113+0.00041889i,0.00063015+0.00051162i,0.00055304-0.00022445i,0.00086462-0.0009309i
0.00026678+0.00077983i,0.00013288+0.00094472i,0.00014411+0.0012487i,0.00048661+6.3773e-05i,0.00021994-0.0011519i,-0.00054069-0.0017073i,-0.00069726-0.0014421i,0.00033382-0.0008237i,0.00063781-0.00023064i,-0.00012711-0.00068772i,-0.00051743-0.00019502i,-0.00011468+0.00097616i,0.00051815+0.0012227i,0.00043483+0.00067436i,0.00026757+0.00034588i,0.00013548-0.00012492i,2.4968e-05-0.0010494i,0.00036379-0.00068137i,0.00058587+0.00033298i,4.1394e-05+0.00027638i,2.2848e-06-0.00050933i,2.8186e-05-0.0002931i,-0.00040572+7.087e-05i
