0.0015505+0.0013313i,0.0011975+0.0015594i,-8.2261e-05+0.00016036i,-0.00080704-0.001437i,-0.0017748-0.001152i,-0.0026828+0.0010747i,-0.0015357+0.0029141i,0.00059332+0.0026693i,0.0020637+0.00091295i,0.001507-0.0007798i,0.00064631-0.0011669i,0.00052355-0.00049219i,0.00085905+0.00015366i,0.00078035-4.1395e-05i,0.00059789-0.00013553i,0.00086461+0.00033625i,0.00091349+0.00057049i,0.00059837+0.00043908i,0.0003967+0.00044612i,0.0006889+0.00048776i,0.00066548+0.00078307i,-0.00024596+0.00091122i,7.2606e-06+0.00085247i
0.00041964-0.00066437i,6.6937e-05-0.001085i,-3.5184e-05-0.0012322i,-0.00074729-0.00082932i,-0.001395-6.4528e-05i,-0.00076292+0.0011059i,-3.3817e-06+0.0012705i,-0.00010896+0.00074721i,0.00049457+0.00073296i,0.00047874+0.0004161i,-0.00026454+0.00026534i,-0.00038164+0.00072771i,0.00017463+0.0014394i,0.00038672+0.0015795i,0.00029752+0.00093804i,9.1353e-05+0.00039646i,-0.00025453-0.00027122i,-5.3866e-05+9.9164e-05i,0.00055968+0.00045172i,0.0008588+3.9485e-05i,0.00061546+6.6087e-05i,1.6346e-05+0.00038546i,0.0001111+0.00029215i
0.00065016+0.00039386i,0.00011251+0.0010045i,-0.0013134+0.0011867i,-0.0019341+0.0018161i,-0.0015066+0.0012034i,-0.00074358+0.00066851i,-0.00028515+0.0015874i,0.00022796+0.0019424i,0.0004865+0.0015292i,0.0011466+0.00082199i,0.0014081-9.1737e-05i,0.0014904-0.00036528i,0.00084828-0.00026063i,0.0004179+0.00016296i,0.00054825+0.00067547i,-5.9158e-05+0.00093883i,0.00027024+0.00045689i,0.0010175-0.00031713i,0.00063061-0.0010164i,6.3645e-05-0.0010846i,-0.00022188-0.00036276i,-4.6167e-05+0.00039515i,-0.00045269+0.0001067i
0.001398+0.00028539i,0.0020988-6.403e-05i,0.0015783-0.00042696i,0.00044417-0.00090347i,0.00036499-0.00037023i,0.00076645+0.00025215i,0.0010164+0.00044641i,0.0011846+0.001153i,0.0014512+0.0007592i,0.0010668-0.00028135i,0.0010758-0.00050305i,0.0016313-0.00055485i,0.0012529-0.0009288i,-0.00011286-0.00089734i,-0.00056136+0.0001043i,-0.00057938+0.00071098i,-0.00040638+0.00022806i,-0.00027585+0.00039276i,-0.00063168+0.00038961i,-0.00071744-3.1839e-05i,-0.00024085-0.00041024i,0.00078647-0.00023306i,0.001167+0.00016058i
-0.00074483-0.0011883i,0.00014844-0.00034829i,0.0011117+7.3651e-05i,0.00035873+0.00048406i,-0.0010162+0.00096941i,-0.00077871+0.0012894i,0.0001381+0.0018592i,0.00033955+0.0011522i,0.00094781+2.1734e-05i,0.0010358+0.00032053i,0.0010577-0.00013293i,0.001307-0.00028406i,0.0012711-8.0206e-05i,8.4703e-05-0.0010587i,-0.00084023-0.0012411i,-0.00053124-0.0010847i,-0.00038708-0.00049248i,-0.00060246+0.0004137i,-0.00013476+0.00016678i,-9.7887e-05-0.00063955i,-0.00044894-0.00078248i,0.00037638-0.00066508i,0.00062707-0.00080513i
-0.00072278+3.049e-05i,-0.00057346+0.00067712i,-0.00071965+0.0018285i,-0.0002718+0.0012624i,0.00038888+0.00031278i,0.00054334-4.8905e-05i,0.00021061+0.00019816i,-0.00043721+0.00053361i,-3.1691e-05+8.3296e-05i,0.00076194-0.00069968i,0.00049933-0.0012848i,-0.00033676-0.0011111i,-0.00025239-0.00041042i,4.6531e-05-0.00023819i,0.00018748-0.000808i,0.00072278-0.00063846i,0.00050451+0.00032616i,0.00011719+0.0004098i,0.00020303+0.0002192i,-0.00031493+0.00048186i,-0.00073357+0.00058027i,-0.00043495+0.0011563i,0.00048599+0.0011886i
0.00057655+0.00033324i,0.00064894+0.00027267i,0.00059156+0.00065435i,0.00078685+0.00011366i,0.0012541+0.0001226i,0.00083047+0.00030765i,0.00061202+0.00020835i,0.00013568+0.00041137i,1.8311e-05+0.00093372i,0.00037136+0.00095073i,0.00017216+0.00012991i,0.0001854-0.00070212i,0.00010248-0.00053659i,-0.00037365+0.00047689i,-7.8758e-05+0.000282i,-5.8783e-05-0.00020103i,-0.0011282-2.8858e-05i,-0.0013041-0.00024243i,-0.00030561-0.00040838i,-8.7414e-05-0.00019129i,-0.00018106-0.00012368i,0.00013868-5.0706e-05i,0.00035472+7.6378e-05i
-0.0015658+0.0018172i,-0.0017629+0.0018625i,-0.00049388+0.0014912i,0.00079299+0.0010212i,0.0011308+0.0013191i,0.00055031+0.0014364i,0.00061047+0.00082825i,0.0012985+0.00059628i,0.0017362+0.0002525i,0.0019538+1.293e-05i,0.001883+0.00082029i,0.0011344+0.0012597i,0.00053783+0.00065906i,0.00062808+0.0003606i,0.00059472+0.00077332i,0.00046319+0.00094885i,-0.0002401+0.00052223i,-0.00071205-3.7649e-06i,-0.00064625+5.3219e-05i,-0.00052052+0.00021829i,-9.4193e-05+0.00031877i,0.00045974+0.00064993i,0.00030333+0.00042084i
0.00036787+0.00054614i,0.0011074+3.5508e-05i,0.0013908-0.00022223i,0.00076601+0.00043158i,-0.00039227+0.00058276i,-0.0011397+0.00073796i,-0.0012595+0.0017334i,-0.00055703+0.0017784i,0.00056005+0.0010651i,0.00091359+0.00019609i,0.00091615-5.6306e-05i,0.00066492+0.00034881i,-1.8181e-05+7.1613e-05i,-0.00018369+0.00012652i,0.00022656+0.00049104i,0.00093239+0.00078796i,0.00055919+0.00064442i,-7.3359e-05+0.00019804i,0.00049246-0.00016138i,0.00045572+7.6505e-05i,0.00029142+0.00072571i,0.000205+0.00056432i,-0.000189-0.0002274i
-0.00084584+0.00092414i,-0.0007693+0.00037848i,0.00031137+0.00056329i,0.00094921+0.00044875i,0.00048601-0.00044682i,-1.3924e-05-0.0007365i,5.577e-05-0.00035198i,0.00063043+0.0010249i,0.00087037+0.0013887i,0.00094812+0.00039579i,0.00050411-0.00034798i,0.00012743-0.00046616i,0.00058572-0.00020905i,0.00062395-0.00049182i,-0.00010164-0.00093191i,-0.00039468-0.00073945i,-0.00029338-0.00060142i,0.00012051-0.00039194i,-0.0002318+5.0599e-05i,-0.00077924+0.00042346i,-0.00035764+0.00079868i,0.00012102+0.00096392i,0.00024343+0.00018195i
0.0013476+0.0020597i,0.00079838+0.0017612i,0.00091933+0.00017119i,0.0016293-0.0005871i,0.0010044+0.00088058i,0.00048827+0.0018535i,0.00083323+0.0016501i,0.00072964+0.0013485i,0.0011239+0.0012436i,0.00051089+0.0010247i,-9.6161e-05+0.00050678i,0.00032438+0.0002703i,0.00019547+0.00019818i,-0.00042154-0.00028391i,-0.00016645-0.0010245i,0.0003614-0.00073681i,0.00014754+0.00010615i,0.00063968+0.00022881i,0.00085418-0.00012005i,0.00018811-0.00018798i,-0.00024791-0.00062768i,-0.00012354-0.0012635i,-9.4098e-05-0.00066387i
-0.00046063+0.00030667i,-0.00104+0.00057881i,-0.00063657+0.00066566i,-0.00025006-2.1753e-05i,-0.0004075+4.5329e-05i,-0.00054474+0.00062092i,-0.0008181+0.0007839i,-0.0011649+0.00088909i,-0.00049911+0.00080053i,0.00040926+0.00034798i,0.00050746+1.6329e-05i,-6.9054e-05-0.00024769i,-0.00022367-0.00034252i,-0.00024458-0.0002069i,-0.00074294-3.4246e-05i,-8.1258e-05-8.6698e-05i,0.00036627-0.00048368i,0.0004193-0.00085059i,0.00058716-4.8432e-05i,0.00019416+0.00047205i,0.00043147-0.00050889i,0.0011266-0.00090133i,0.0011475-0.00088414i
-7.2949e-05+0.00049011i,0.00082261+0.001629i,0.0011873+0.0025256i,0.00076561+0.0023637i,0.00088998+0.0020383i,0.0012021+0.00090448i,0.00090694+6.496e-05i,0.00032841+0.0012057i,1.9713e-05+0.0014021i,0.00054092+0.00053301i,0.00096571+0.00074481i,0.00047093+0.00078756i,-0.0002097-1.2683e-05i,-0.00028533-0.00026021i,6.4514e-05-7.9635e-05i,-4.7132e-05-0.00013336i,-0.00017456-0.00058697i,0.0010308-0.0010683i,0.0017062-8.3298e-05i,0.00042964+0.00077476i,-0.0008488-0.00013314i,-0.00041013-0.00026806i,-0.0002103+0.00049152i
-0.00069407-0.00099012i,1.1752e-05-0.0009274i,0.00053115-0.00071266i,-0.00038387-0.00083859i,-0.0013433-0.00046753i,0.00035787+0.00024207i,0.0015168+0.00078198i,0.0011208+0.00073639i,0.0010238+0.00078116i,0.00064268+0.00037329i,0.00064623-0.00054688i,0.00052822-0.0012617i,-6.9887e-05-0.0015i,0.00038542-0.0010354i,0.00069781-0.00060739i,0.00037841-0.00016331i,0.00047631+0.00030479i,0.00042329+0.00022387i,0.00010892-3.5083e-05i,8.3959e-05-4.8832e-05i,0.00024135+0.00021758i,-0.0001354+0.00010431i,-7.8144e-05-0.00061855i
0.00075632-0.00019687i,0.00014081-0.00090782i,-0.00029276-0.00087693i,-0.00056818-0.00076976i,-0.00052426-0.00037519i,-0.00051633+0.00089553i,0.00029307+0.0011953i,0.00085166+0.0008674i,0.0010017+0.00050491i,0.00075168+8.796e-05i,-0.00040692+4.6412e-05i,-0.00076748+0.00027791i,0.00019112-3.1767e-05i,9.9668e-05-0.00036879i,0.00033438-0.00025994i,0.00016788-0.00065446i,-0.00020898-0.00061326i,8.0911e-05+0.00044365i,0.00012665+0.00016852i,0.00058184-0.00022826i,0.00099436+4.9383e-05i,0.0006156+0.00083985i,0.00016766+0.0014047i
-0.00027927+0.00074102i,-0.00053555+0.00029498i,-0.000977-0.00047253i,-0.00073473+4.0613e-05i,-0.00089676+0.00081494i,-0.0004053+0.00077327i,0.00037405+0.00086405i,0.00061728+0.00086788i,0.00093426+0.00028999i,0.0008734+0.00024228i,0.00068834+0.00011254i,0.0012894-0.00072808i,0.0011457-0.00076835i,0.00022008-0.00038472i,-0.00018596-0.00014994i,0.00017193+0.00011669i,6.1312e-05+0.00058236i,-4.4862e-05+0.00054389i,0.00026183-0.00035704i,0.00076851-0.0009179i,0.00061038-0.00090503i,3.7202e-05-0.0014412i,-0.00037028-0.0012311i
0.00032795-7.4627e-05i,-0.00033182-3.1099e-05i,-0.00039546-0.00026931i,0.0002727-0.00016918i,0.00072031+0.00021842i,0.00038717+0.00063998i,0.0003871+0.0016284i,0.00076028+0.0012649i,0.0013308+0.00043211i,0.0008599-0.00026281i,-0.00088724-0.0004121i,-0.0013729-0.00069532i,-0.00019841-0.00069316i,0.00021071-0.00082582i,-2.0666e-05-0.00095301i,-0.00043692-3.681e-05i,-0.00055158+0.00094855i,0.00020519+0.00098384i,0.00099868-4.8203e-05i,0.0013372-0.00083846i,0.0011707-0.00080447i,0.0004133+7.3659e-05i,0.00025402-0.00017821i
0.00063795+0.0013241i,0.00068721+0.0010586i,0.00088685+0.00037908i,0.00074213-4.1535e-06i,0.00072023+0.00037303i,0.00070205+0.00046683i,0.00070771+0.0008215i,0.00041326+0.0012778i,0.00036895+0.00063195i,0.0015196+0.0002851i,0.0025317+0.00015441i,0.0023953-0.00045404i,0.00045823+1.7244e-05i,-0.00073821+0.00092156i,-0.00080765+0.0015822i,-0.00080713+0.0012421i,-0.00016586+0.00030318i,0.00054643+0.00041583i,0.00028255+0.001053i,5.7247e-05+0.00046554i,-0.00024365-0.00034091i,-0.00042642-0.00048803i,-0.00042442-0.00036105i
6.916e-05+0.00086002i,0.00038968+0.00067657i,1.1252e-05+0.00051056i,-0.0002012+0.00049172i,0.00032535+0.00094848i,0.00019982+0.00069255i,1.5455e-05+0.00029978i,0.00032595+0.00041115i,-0.00014251+0.00019547i,-0.00072256-0.00021224i,-0.00021653-0.00075499i,0.00019589-0.00073627i,-0.00057015-0.00024528i,-0.00058552+9.8499e-05i,0.0006852+0.00032871i,0.00094567-0.00020102i,0.00031557-0.00045739i,0.00039668+9.0489e-05i,0.00023684+0.00025806i,-0.00081595+4.1386e-05i,-0.00060311-0.00044783i,-0.00011277-0.0009411i,3.809e-05-0.00086694i
-0.001066-0.0015983i,-0.0014718-0.0015348i,-0.0023695-0.0012814i,-0.0020795-0.0002261i,-0.001278+0.0013201i,-0.0012392+0.0022605i,3.7526e-05+0.0015823i,0.00081445+0.0006336i,0.00057142+2.3464e-05i,0.00098077-0.00057569i,0.00027333-0.00038284i,-0.00043635-5.4274e-05i,-0.00027392-0.00018073i,-0.00017107-0.00029207i,0.00048664-0.0002877i,0.00054747-2.3831e-05i,0.00024955+2.5698e-05i,0.00049462-0.00045836i,0.0003893-0.0013968i,0.00023699-0.00091974i,0.00048182+0.00018162i,0.00082886+0.00055407i,0.00084307+0.00068493i
0.00023643-0.00098241i,9.1567e-05-0.0012216i,0.00035269-0.0012745i,0.0010964-0.0011231i,0.00049472-0.00065712i,-0.00072111-0.00015868i,-0.00032656+0.00056638i,0.00054382+0.0012999i,0.00019736+0.00075978i,0.00023244+0.00026373i,0.00056518+0.00065674i,0.00041822+0.00048766i,-0.00015594+0.00014997i,-0.00038279+9.0176e-05i,-0.00066665+6.9289e-05i,-0.0010136-0.00022805i,-0.0004982-0.0001107i,0.00029129+0.00068454i,7.9932e-05+0.0011549i,-0.00037205+0.00032652i,0.00016306-0.00041806i,0.0012242-0.00065214i,0.0011828-0.00040429i
3.5373e-05-0.0012117i,0.00034118-7.0903e-05i,0.0002428+0.00010523i,-0.00070606+0.00073102i,-0.00091836+0.0012285i,-0.00010736+0.0014545i,0.00052681+0.0013031i,0.00057856+0.00078143i,3.9574e-05+0.00026068i,4.313e-06-7.1212e-05i,0.00070315+0.00046549i,0.00059384+0.00015474i,0.00034898-0.00058788i,0.00039867-0.00047806i,0.00043705-0.0003556i,-5.1507e-05-0.00030467i,-0.00015163+0.00081585i,-0.00023+0.0012164i,-0.00027892+0.00043187i,-0.00015236+0.0004696i,-7.7873e-05+0.00059571i,-5.8412e-06+0.00043294i,0.00040191+0.00030887i
0.00050637-0.0003565i,0.00072827-0.00089093i,0.00054142-0.00077043i,-0.0003453-0.00097983i,-0.0010565-0.00093368i,-0.00057212+0.00011066i,0.00025707+0.0013597i,0.00082473+0.0019665i,0.00051399+0.0012152i,0.00061963+0.00032316i,0.00092417+0.00025361i,0.00086944-6.2753e-05i,0.00045362-0.00046121i,-0.00069623-0.00044648i,-0.00036724-0.00016757i,0.00067599+0.00027854i,0.00055391+0.00063138i,0.00050496+0.00039178i,0.00021696+6.7032e-05i,0.00042836-0.00043219i,0.00099915-0.00057719i,0.00081302-0.0010803i,0.00049753-0.0011173i
0.00016465+0.0025272i,0.0010187+0.0031861i,0.0018487+0.0038521i,0.0018332+0.0023281i,0.00141+0.00056773i,0.00042169-3.63e-05i,-0.00045086-0.00015787i,-0.00016268+0.00013732i,0.00018273+0.00070711i,5.6843e-05+0.00063426i,0.0003519-9.2361e-06i,0.00014856-0.00014387i,-0.00036226-0.00049763i,-9.1199e-05-0.00119i,0.00078089+1.9098e-05i,0.00073345+0.0010658i,-5.3792e-05+0.00011571i,0.00014298-0.0010488i,0.00071257-0.0010449i,0.00090504-0.00053362i,0.00092178-0.00035645i,0.00021714-0.0006351i,-0.00047751-0.00078392i
-2.7467e-06+0.00061801i,0.00024354-6.8468e-06i,0.0003249-0.00050605i,0.00049428-0.00024798i,-0.0003638-0.00052488i,-0.00042201-8.9262e-06i,0.00010973+0.0010013i,0.00068359+0.00074329i,0.001232-0.00042476i,0.0010721-0.00051156i,0.00089103+0.00011181i,0.001048-0.00038351i,0.00093676-0.00082619i,0.00048231-0.00072513i,0.00058727-0.00018951i,3.647e-05-0.00011291i,-0.00060523-0.00049443i,-0.00040403-0.00028957i,-0.00030774+0.00024805i,8.5898e-05+0.00066716i,0.00046629+0.00047227i,0.00040872-0.00029045i,0.00041495+3.8479e-05i
-0.00029701-0.00049286i,-0.00026312-7.0803e-05i,-0.00022114+5.9731e-05i,0.00030851+0.00043317i,0.00047336+0.00024725i,0.00083951+6.8554e-05i,0.0015762+0.0012682i,0.0013249+0.0018813i,0.0009015+0.00096746i,0.0011353-0.00017048i,0.0014685-0.00050745i,0.0011149-0.0002268i,0.00015223-0.00033225i,-0.00036178-0.00069207i,-0.00010875-0.00053852i,-4.4523e-05+7.09e-05i,0.00023412+0.00037032i,0.00052179+0.00019802i,0.00058521-0.0001289i,0.00030299-0.00011237i,-0.00046638+7.7408e-05i,-0.0002661-0.00015798i,-0.00045433-0.00046201i
-0.0016254-1.2313e-05i,-0.0014365+0.0018916i,-0.00049071+0.0027443i,-0.00063231+0.0029383i,-0.00082544+0.0022062i,5.9234e-05+0.0013935i,0.00034323+0.0014292i,3.2232e-05+0.0014499i,-4.23e-07+0.0013825i,0.00036697+0.00067054i,0.0010604-0.00020697i,0.0017652+2.1429e-05i,0.0011807-0.00020411i,0.00037625-0.00075155i,0.00055724-0.00049566i,3.7894e-05-0.00016119i,-0.00028182-0.00033101i,0.00026628+0.00017163i,0.0008959+0.00027594i,0.00081512+0.00052885i,0.00073287+0.00046973i,0.0011776+6.9693e-05i,0.00063097+0.0001974i
-0.0012976-0.001509i,-0.001323-0.00034302i,-0.0003284+0.00012276i,-0.00029022+0.0002427i,-0.00099117+0.00052825i,-0.00024182+0.0003047i,2.8008e-05+0.00033055i,-0.00039925+0.00045736i,-8.452e-05+0.0004289i,0.00029798+0.00011705i,0.00020547-0.00053338i,0.00031405-0.00062187i,0.00083847-0.00011581i,0.00078438-0.0007367i,0.00023415-0.0011748i,-0.000898-0.00037884i,-0.0011657-3.2224e-05i,-0.00029915-6.6349e-05i,0.00016864-0.00012387i,0.00037095-4.5798e-05i,0.00064977-6.7699e-05i,0.0014221-0.0011159i,0.0011033-0.00093983i
0.00068843+0.00011102i,0.00033173-0.00056545i,-0.00013844-0.00071509i,-0.0009781+0.00016842i,-0.0008341+0.00097936i,-5.2346e-06+0.0012642i,4.8546e-05+0.00085525i,8.5101e-05+0.00042702i,0.00063088-0.00033096i,0.0010173-0.00058942i,0.001021-0.00014137i,0.0010212-0.00076409i,0.0010776-0.0011915i,0.00086344-0.00061913i,0.00087333-0.00032161i,0.00059884+8.4956e-05i,0.0003498+2.3851e-05i,7.6918e-05-0.00022927i,-0.00011296-0.00074279i,0.00025606-0.00075243i,0.00060886-2.3813e-05i,0.00037532-0.00015405i,3.4927e-05+0.00013972i
0.00020102+0.00081005i,-0.00014193+0.00035247i,0.00011545+0.00024711i,0.00073927+0.00045947i,0.00084851+0.00031142i,0.00032897-6.9713e-05i,3.4615e-05+0.00011481i,0.00030677+0.0012914i,0.00023387+0.0017905i,0.00010231+0.00078517i,0.00084963+0.00056634i,0.0011817+0.0007429i,0.00010998+0.00045422i,-0.00047249-9.3787e-05i,9.9548e-05-0.00058111i,0.00070658-0.00014448i,0.00052778+0.00038312i,0.00044935+0.0008564i,0.00031801+0.00069152i,0.00017819-0.00013148i,0.00021806-0.00038008i,0.00046282+0.00028564i,0.00025558+4.1596e-05i
9.4903e-05-1.7547e-05i,0.0008684-0.00037641i,0.0003225-9.8842e-05i,-0.0006848+0.00031634i,-0.00083255+0.00013398i,0.00016551-0.00022646i,0.00065339-0.00022113i,0.00088613-0.00066249i,0.00098927-0.00086286i,0.00096486-0.00059827i,0.00025821+0.00048822i,-0.0006178+0.00052406i,-0.00013752+8.6895e-05i,0.00029945+0.00012864i,-8.3599e-07+0.00063407i,0.00012736+0.00093747i,0.00068082+0.0009869i,0.00019201+0.00044717i,-0.00033927+0.00013383i,-0.00048955+0.0003574i,-0.00069157+0.00020488i,-0.00027106+0.00059275i,0.00013802+0.00088745i
0.0012154+0.00060159i,0.0015822+0.00012167i,0.00077043-0.00038008i,-0.00051345-0.00027866i,-0.0002551-0.00030305i,-0.0006493+2.6046e-05i,-0.0013784+0.0012285i,-0.00079558+0.0014138i,0.00064573+0.00092062i,0.0010412+0.00015922i,0.00045379-0.00062539i,0.00054883-0.00035461i,0.00059341+0.00013138i,0.00088759+0.00075554i,0.00082305+0.00083143i,0.00028373+3.6785e-05i,-3.7118e-05+9.0938e-06i,-0.00053989+0.00058048i,-0.00020022+0.00040843i,0.00049697+0.00013191i,0.00045141-9.832e-05i,0.00027156-0.00012358i,-0.00048022-0.00017787i
-0.00026294-0.0015146i,-0.00038551-0.00084468i,-0.00044998-0.00095324i,-0.0003121-0.0014273i,-0.00036552-0.00078202i,-0.00011921+0.00073795i,0.00030488+0.0011681i,0.00041739+0.0011867i,0.00042827+0.0011122i,0.0002773+0.00071832i,-0.00031562+0.00024264i,0.0001861+0.00023175i,0.00071172+0.00044593i,0.00043309-4.5471e-05i,0.00027498-0.0006965i,-0.00011514-0.00022511i,-0.00025988+0.0007067i,-0.00014964+0.00035614i,-0.00010403-0.00021882i,3.3997e-05-0.00012426i,-0.00027884-0.00035051i,-0.00044803-0.00055596i,-0.00049019-0.0001337i
