0.00076075-0.00034503i,0.00073054-0.0012995i,0.00012916-0.002971i,-8.4379e-05-0.0038061i,-0.0007307-0.002238i,-0.00065791+0.00022739i,0.0013081+0.0013258i,0.0025849+0.00077399i,0.0023672+8.0449e-05i,0.0017232-0.001026i,0.0007902-0.0012534i,-0.00074477-0.00061502i,-0.0014446+0.00042447i,-0.00093268+0.0010817i,-0.00083241+0.00051018i,-0.00067324+3.9368e-06i,0.00013638-0.00011145i,0.00086045+4.0158e-05i,0.00038676-0.00017174i,-0.00014168-0.00010492i,-0.00022821+0.00031833i,-0.00052732+0.00027075i,-0.00086791-0.00024776i
-0.00026464-0.001275i,-0.0004872-0.00093656i,-0.00073263-0.0016439i,-0.00012397-0.0014629i,0.0003811-0.00013189i,0.0013094-0.00013361i,0.0021766-0.00086039i,0.00094364-0.00085605i,1.1923e-05-0.00043686i,0.00019658+0.0001049i,-0.00012532+0.0001322i,-0.0010866-0.00025688i,-0.00069288-6.8552e-05i,-0.00016657-8.885e-05i,0.00036623-0.00038027i,0.00079778-0.00057746i,0.00097543-4.6895e-05i,0.00061659+0.00080345i,0.00044277+0.00038769i,5.1301e-05-0.00018724i,-0.00027062-2.2092e-05i,-0.00040565+2.9544e-05i,-0.00032296-0.00084631i
-0.0012714-9.8655e-05i,-0.0011506-0.00010745i,-0.0015713+4.5797e-05i,-0.00045807-0.00018918i,0.0014894-0.00021362i,0.0027168-0.0007771i,0.0023842-0.0013914i,0.00090635-0.0010939i,0.00010007+1.79e-05i,-0.00017035+0.00096456i,-0.00010543+0.0010657i,0.00041033-0.00018184i,0.00067769-0.00089513i,0.0008198-0.00045847i,0.00057215+0.00029952i,-0.00041159+0.00048096i,-0.00060006+0.00054866i,0.00012736+0.00067196i,0.0002811+0.00056172i,-0.00017113-2.7712e-05i,-0.0010106-0.00070735i,-0.00061703-0.00035209i,0.00034115+0.00021946i
-0.0010643-0.00019194i,-0.00063632-3.9363e-06i,-0.00070523+0.00024343i,-0.0012641-4.0698e-06i,-0.0002417-0.00076038i,0.0016106-0.0010105i,0.0018217-0.00085423i,0.0011555-0.00080965i,0.0003876-0.00085245i,0.00049771-0.0010425i,0.0005822-0.00046967i,0.00065628-0.00029034i,0.0010532-0.00062623i,0.00038769-6.346e-06i,0.0001459+0.00045416i,0.00074739+0.00015482i,0.00093763-2.8329e-05i,0.00056433+0.00022507i,0.00057442+0.00061649i,-1.6952e-05+0.00075568i,-0.00043456+0.00026989i,0.00036727-0.00059688i,0.0004016-0.00076636i
-0.00080464-0.00015394i,-0.0012173+0.00016109i,-0.00038646+0.0015274i,0.00062525+0.0013566i,0.0015239+0.00058164i,0.0020384-0.0002912i,0.0019484-0.00064656i,0.00065285-0.00082326i,-0.00019352-0.00097864i,7.37e-05-0.00016272i,-5.5922e-05+2.9353e-05i,-0.00067386-0.00023445i,-0.00062368+2.7251e-05i,-0.00017973+0.00018973i,0.0002467+0.00018624i,0.00061393-6.1282e-05i,0.00025705+0.0002737i,-0.00060263+0.0004429i,-0.001098+0.00020995i,-0.00054617-0.00016726i,-0.00051676-0.0002267i,-0.0012791+0.00023395i,-0.0010512+0.00026068i
-0.001073-0.00036034i,-0.00030956-0.00094163i,-0.0006508-0.0013042i,9.7289e-05-0.00019557i,0.00073364+1.9723e-05i,0.0014816-0.0005269i,0.0020163-0.00017782i,0.00052846-8.8238e-05i,-0.00085131-0.00046357i,-0.00036341-0.00050898i,-9.5874e-05-0.00081666i,-0.00059809-0.0011437i,-0.00041209-0.00064627i,-0.00027772-0.00050527i,-0.00080955-0.00072824i,-0.00053577-0.00021996i,2.8832e-05-7.7303e-05i,8.182e-05-0.00064756i,-0.00015019-0.00050119i,-1.4272e-05-0.00045967i,0.0004312-1.0524e-05i,0.00036321+0.00062261i,7.4623e-05+0.00080326i
0.00042973+0.0012714i,0.00087014+0.00037686i,0.001152-0.00070059i,0.0010153-0.00097232i,0.00083177-0.0005851i,0.0012483-0.00083989i,0.0015628-0.00097753i,0.00064674-0.0005536i,0.00032979-0.00018186i,0.00031724-0.00014288i,0.00029672-0.00056915i,0.0004132-0.00015218i,-0.00026571+0.00061644i,-0.00056049+0.00042956i,-0.00016981+0.00015283i,0.00090602-0.00020754i,0.00031285+0.00010851i,-0.00038506+0.00030207i,0.0001765+0.00015228i,0.00049972+0.00068468i,0.00027601+0.00089927i,-0.00019968+0.00073791i,-0.0004352+0.00032357i
-0.0020273+0.0013572i,-0.0011632+0.0020255i,0.00019908+0.0021559i,0.00093284+0.0014102i,0.00012809+0.00046068i,0.00053746-0.00050279i,0.00096858-0.00072128i,0.0006424-0.0004666i,0.00036824-5.5381e-05i,-6.9503e-06-0.00013648i,-0.0003085-0.00038885i,-0.00024133+3.1852e-05i,0.00044858+0.00034625i,0.00047531+0.00013009i,-7.0128e-05-0.00062191i,7.8541e-05-0.00084308i,0.0003001+0.00025666i,9.1872e-05+0.00038914i,-0.00017306-7.2552e-05i,-7.2056e-05-4.5452e-05i,5.6641e-05+3.1093e-05i,0.00027522-0.00015549i,0.00069007-0.00020634i
-0.0016256-0.00087625i,-0.0024758-0.00017106i,-0.0029995+0.00062827i,-0.0011999+0.00047114i,0.0013809+0.00024532i,0.0018693-0.00032177i,0.001212-0.00071673i,8.9635e-05-0.00088103i,-0.0011285-0.00095543i,-0.0013795-0.00040477i,-0.00090125+0.00017219i,-0.00035776+0.00023269i,8.2071e-05+0.00032394i,0.00030315+0.00011286i,0.00050334-0.0004074i,0.00077023-0.00094971i,0.00055907-0.00067672i,0.00054428-0.00057295i,0.00027717-0.00080529i,1.627e-05-0.0006132i,0.00037815-0.00038253i,0.00063219+7.1604e-05i,0.00046371+0.00054905i
0.002711-0.0015473i,0.0026585-0.002078i,0.0032733-0.0021895i,0.0025397-0.0019073i,0.001372-0.0011475i,0.0015276-0.00023609i,0.0020271-0.00086586i,0.0013124-0.0012355i,0.00050014-0.0011529i,0.00054918-0.0016474i,0.00028226-0.00085344i,-0.00041499+0.00039406i,6.0069e-05+0.00077941i,-0.00016446+0.0003825i,-0.0013952+1.9471e-05i,-0.0013743+0.00027423i,-0.00065109+0.00084549i,0.00015131+0.00055878i,0.00052014-0.00017394i,0.00017248-0.00012514i,0.00016695+0.00016032i,0.0010153+0.00042393i,0.00086524+0.00025083i
-0.0013384-0.0004581i,-0.0021307-0.00024142i,-0.002539+0.0016632i,-0.0013775+0.0026546i,0.00026779+0.0015859i,0.0015309+0.00050823i,0.0014039-0.00027594i,0.00082805-0.00019189i,0.00054291+0.00021501i,0.00048834+0.00062722i,0.00060705+0.00082076i,1.7961e-05+0.00035888i,0.00047577+0.00011346i,0.00060781+0.00056387i,-5.0091e-05+0.00044497i,-0.00038742-0.00025661i,0.00020489+0.0002344i,-0.00023332+0.00072302i,-0.0010449-0.00024524i,-0.0010502-0.00026608i,-0.00044536+0.00024708i,-2.9934e-05+0.00048908i,-0.00026336+0.00059836i
0.0011059+0.00056594i,0.00096086-0.00037106i,0.00038396-0.0013355i,-0.00072902-0.001065i,-0.00060513-5.6657e-05i,0.00029641+0.00015625i,0.00071707+0.00047149i,0.00081797+0.00041717i,0.00041125+0.00015373i,-0.00028158-0.000351i,-0.00030777-0.00032679i,-0.00020142+0.00067932i,0.0001732+0.0010133i,0.00028328+0.00079246i,0.00047977+0.00026407i,0.00035842-0.00025055i,0.00018309+0.00016795i,0.00040992+0.00055852i,-0.00015673+0.00045299i,-0.0010594-0.00023202i,-0.00087873-0.00011166i,-0.0007579+0.00029673i,-0.00019472-0.00010241i
0.0011869+0.00031876i,0.00061924-0.0003063i,0.00059641+4.0266e-05i,0.00050989-0.00013944i,0.00066414-0.0012777i,0.0014539-0.0017762i,0.001671-0.00096178i,0.0014231-9.2311e-05i,0.00078851+0.00023909i,0.00027979+0.00078084i,-0.00030466+0.0011905i,-0.0012197+0.00046747i,-0.0012911-9.5025e-05i,-0.00036275-0.00022961i,0.00042229-4.5543e-05i,0.00057262+0.00065279i,0.00031279+0.00056434i,-0.00041623-0.00029636i,-0.0003946-0.00041785i,0.00015125-0.0001683i,0.00025398+0.00071056i,0.0002948+0.0010804i,0.0008366+0.00053287i
-0.00076741+0.00088507i,-1.2677e-05+0.0012236i,-0.00022867+7.6547e-05i,-0.00029575-0.00039709i,0.00029163+0.00019703i,0.0012168+2.6015e-05i,0.0013795-0.0004068i,0.00027232-0.0005731i,-0.00087145-0.00023861i,-0.00077464-6.6271e-05i,0.00047157-0.00038302i,0.00070282-0.00016064i,0.00051359-0.00047286i,0.00075559-0.00073352i,0.00022088-0.00048164i,-0.00056329+0.0001394i,-0.00045685+0.00041043i,0.00026453-6.3795e-05i,-7.3021e-05-0.00029349i,-0.0012914-0.00025156i,-0.0011487-0.00060591i,0.00015164-0.00071643i,0.00022805-0.00088307i
-0.0013338+0.00042635i,-0.0015831+0.0011719i,-0.00078352+0.00043945i,0.00054881-0.00053997i,0.001298-0.00028539i,0.00058516-0.00046368i,0.00033645-0.00098689i,0.00037965-0.0004889i,0.00081094+0.0001998i,0.0011383+3.5822e-06i,0.00037048-0.00052799i,-0.00025525-0.0004133i,-7.9833e-05-0.0004747i,-0.00018449-0.00048887i,-0.00082888+0.000395i,-0.00075329+0.00079016i,0.0001383+0.00053691i,-6.7659e-05-0.0001196i,3.6486e-05+0.00014505i,0.00047476+0.00014826i,0.0011328-8.2259e-05i,0.0015452+0.00061978i,0.00055961+0.00036813i
-0.0008656-0.00019691i,0.0007628+0.00086856i,0.0017799+0.001913i,0.0014106+0.00079663i,0.00088707+0.00053941i,0.0014401+0.00096193i,0.0016964+0.00025064i,0.0015606-0.00061297i,0.0005881-0.00030145i,8.8687e-05-0.00013439i,0.00013154-0.0003485i,-1.6085e-05-0.00014979i,1.9113e-05-9.3135e-05i,-0.00022746+6.8219e-06i,-0.00029528+4.3784e-05i,-4.5405e-05-7.6102e-05i,-3.2564e-05-0.0006051i,-0.00031436-0.00067435i,-5.1924e-05+0.00032506i,-0.00047854+0.00096447i,-3.736e-05+0.00099624i,0.00042144+0.00044879i,0.00010017-0.00026955i
-0.0011173+0.001312i,-0.0013421+0.000567i,-0.00072172-9.7412e-05i,9.6979e-05-0.00014722i,0.0010161+0.00054636i,0.0023822+0.00020928i,0.0026795-0.0012751i,0.0011828-0.0017862i,-0.00040638-0.00059803i,-0.00039198+0.00084932i,0.0003571+0.00028778i,0.00040072+3.3608e-05i,-7.9053e-05+0.00052675i,-0.00011915-0.00045726i,-0.00020264-0.0005095i,-0.00055873+9.1723e-05i,-0.00050695+9.832e-05i,-0.00048389+5.1033e-05i,-0.00085043-0.00036982i,-0.00099611+0.00010576i,-0.00068935-4.6697e-05i,0.00045673-0.00030142i,0.00041278+0.00018722i
0.00062726-0.0009364i,0.00064444-0.00023551i,0.0010289-1.6631e-05i,0.0013732-0.00023232i,0.00090827-0.00077825i,0.0012462-0.00044643i,0.000798+7.6734e-05i,0.00054193+5.7045e-05i,0.00054373+0.00037909i,-0.00088452+0.00022108i,-0.0015859-0.00022424i,-0.0011827-0.00042225i,-0.00095016-0.00013452i,-0.00040374+0.00014151i,-0.00060479-0.0001692i,-0.0013221-0.00064821i,-0.0011136-0.00082446i,-0.00096661-0.00063692i,-0.0011295+3.838e-05i,-0.00081441+0.00036867i,-0.0002044+0.00053771i,9.3707e-05+0.000726i,4.6037e-05+0.00086748i
-0.00052117-0.0010624i,-0.00030708-0.0003649i,-0.00045897+0.0001922i,-0.00098909+0.00028893i,-0.00026002+0.00022415i,0.0011605+0.00050974i,0.0014302+0.00065866i,0.00013052-0.00030682i,0.00023194-0.00025459i,0.00042974+0.0003637i,0.00019471-0.00014398i,0.00061995-0.00048071i,0.00069649-1.6241e-05i,0.00028036+0.00020682i,0.0002673+0.00014059i,0.00049583+0.00051777i,0.00042118+0.0003136i,-3.5956e-05-0.00043623i,1.7577e-05-0.00069145i,0.00023597+0.00010846i,0.00031254+0.00039114i,0.00037475+9.6122e-05i,0.00041709-0.00032669i
-0.00061054-0.00011223i,-0.00051453+0.0001769i,-0.00087355+0.00060093i,-0.00039581-5.1471e-05i,0.0010392-0.00065363i,0.0022286-0.00081104i,0.0015357-0.00082762i,0.00014679-0.001184i,-0.00030549-0.0012673i,-0.0002515-0.0008135i,0.0002408-0.00047298i,0.00030492-0.00038651i,0.00017173+0.00033479i,0.00043242+0.0009521i,9.9464e-05+0.00049978i,-0.00044055+0.00032246i,-0.0004484+0.00058941i,-8.7857e-05+0.00042698i,-0.00033513+0.00022297i,-0.00087411+0.00031149i,-0.0011959+0.00031329i,-0.00065242-0.00066753i,0.00049938-0.0012015i
-0.00039793-0.00082367i,-0.00033944-0.0011296i,-0.00056644-0.0014349i,-0.00077686-0.001487i,-0.00017695-0.0018654i,0.00092825-0.0014822i,0.0012593-0.00031363i,0.00055587+2.2031e-05i,-0.00055896-0.00026631i,-0.00047807+1.0392e-05i,-0.00028126+0.00062566i,-0.00016194+0.00098748i,-0.00041583+0.00067143i,-0.00064637-7.1043e-06i,-0.00072381-0.00061538i,-0.00069353-0.0013279i,-0.00025327-0.00048966i,0.00022653+0.00049275i,0.00024323+8.8621e-05i,-0.00053388-5.0572e-05i,-0.00094856-0.0001094i,-0.00029519-0.00062483i,-3.2744e-05-0.00071801i
-0.00035695-0.0013982i,-0.0013048-0.00057546i,-0.0019769-0.00049924i,-0.0010055-0.00058131i,-8.3042e-05+7.7439e-05i,0.0011905+0.0004803i,0.002244+0.00053816i,0.0020613-0.00014075i,0.0011387-0.00086358i,0.00051886-0.0010959i,6.3869e-05-0.00066564i,-0.00046957-0.0001199i,-0.00063528+0.00037967i,7.2476e-05+0.00043159i,0.00042357+0.00066002i,-0.00017366+0.00027908i,-0.00096751-0.00071317i,-0.0010578-0.0012195i,-0.00077169-0.0011246i,-0.00079941-0.00046554i,-0.00036969-0.00038287i,6.9505e-05-0.00023963i,0.00012347+0.00026986i
-0.002875+0.00032114i,-0.002273+0.000194i,-0.0011619-2.6949e-05i,0.00047643+0.00044373i,0.0016746+0.00056684i,0.0014775-0.00012273i,0.0010683-0.00094004i,0.00051386-0.0011104i,-0.00010036-0.00083055i,0.00049784-0.00055296i,0.00076868-0.00037323i,4.864e-05-1.2485e-05i,0.00041403+0.0001075i,0.0001917+0.00019045i,-0.00061009+0.00014961i,-0.00036968-9.9807e-05i,5.2757e-05-2.1695e-05i,4.4208e-05+0.00025783i,-0.00048656+0.00041238i,0.00052457+0.00030221i,0.0010677+0.00015758i,0.0002986+0.00015847i,0.00024121+0.00020683i
0.0013874-0.0008057i,0.0011069+7.1212e-05i,0.0014781+3.0252e-05i,0.0016378-0.00026813i,0.0014394-0.00075337i,0.0015376-0.00022447i,0.0019977-2.3739e-05i,0.0016257-0.00094645i,0.00045299-0.0011533i,-0.00011158-0.00052353i,-0.00014439+0.0001949i,-0.00027402+0.00060006i,-6.2141e-05+0.00074625i,0.00055945+0.0013138i,0.00029227+0.0015604i,-0.0002137+0.00051789i,-0.00052973-0.00034611i,-0.00027113-0.00027474i,0.00053761-0.00017727i,0.00057044-4.2032e-05i,7.0425e-05-0.00031808i,-0.00057125-0.0004643i,-0.000772-0.00010139i
0.00043184+0.0016229i,0.00054992+0.0011042i,-0.0011375+0.00055922i,-0.0022768-0.00019561i,-0.00083151-0.0011312i,0.00084643-0.0014302i,0.0011157-0.000843i,0.00065067-0.00012688i,0.00019405+0.00053159i,-1.8356e-05+0.00014907i,-0.00022902-0.00080208i,-0.00012529-0.00073589i,0.00030684-0.00046509i,0.00039663-0.00037647i,-3.1846e-05+0.00019598i,-0.00013064-0.00045315i,0.00019525-0.00092153i,7.8873e-06-0.00019494i,0.0002197+0.00051116i,0.00034825+0.00056184i,-6.7401e-05+0.00035966i,-0.00027548+0.00015474i,-0.00041543+0.00054293i
-0.00040697-0.00062419i,-3.1226e-05-0.00069188i,0.00076097-0.0010734i,0.0007529+0.00011954i,0.00087037+0.00023619i,0.0019409-0.00042772i,0.0014639-0.00065975i,0.00055172-0.001461i,0.00043002-0.00076738i,0.00050239+0.0001926i,0.00033443-0.00021257i,0.00025588-0.00082553i,-6.7055e-05-0.00056219i,0.00027806+0.00047746i,0.00032597+0.0012617i,-8.4428e-05+0.0010022i,-0.00045625+0.00029131i,-0.0004777-0.00045293i,-0.00034463-0.00027725i,-0.00055528-4.1096e-05i,8.756e-05-4.1535e-05i,0.00081178+0.00015983i,-8.9934e-05+1.3129e-05i
-0.00039025+0.00023033i,0.00071791+0.0011306i,0.0010219+0.0011129i,0.00034516+0.00076092i,0.0007317+0.00044217i,0.0015363+0.00026109i,0.0010358+0.0005149i,0.00012396-0.00010394i,-0.00015675-0.00064073i,-0.00034013-0.00018579i,-0.00093411+0.00042201i,-0.00041748-4.5068e-05i,0.00024691+0.0001022i,-1.5189e-05+0.00063393i,0.00041502+0.00042449i,0.00056235+0.00042033i,0.00029366+0.00015353i,0.00013699-0.00035891i,2.443e-05+0.0002041i,0.00058148+0.00020054i,0.00040663-0.00022956i,-0.00013927-0.00019002i,-0.00034721+6.6917e-05i
-0.0020701-0.0017988i,-0.0014614-0.00083194i,-0.0014298-0.00039852i,-0.00053713-1.2283e-05i,0.0002781+0.0006125i,0.0012406+0.00033862i,0.0023576+9.1199e-05i,0.0023828-0.00039497i,0.00077107-0.00075439i,-0.00058589-0.00059271i,-0.00022765-0.00047618i,-0.00023106+0.00015922i,-0.00038142+0.00024316i,-0.00014569-0.00049302i,0.00022287-0.00017163i,0.00016688+0.00049182i,-0.00055531+0.0007111i,-0.00087792+0.00057502i,-0.0001617+1.7942e-06i,0.00030972+0.00017531i,-5.6797e-05+0.00020074i,-0.00060712+6.5801e-05i,-0.00040328+0.00032357i
0.00057023+2.5475e-06i,0.0010452+0.00072416i,0.0020244+0.00069424i,0.0017495-0.00034295i,0.00062028-0.0014708i,0.000712-0.0012479i,0.00072854-0.0014978i,0.00057629-0.0014953i,0.00084408-0.00016876i,0.00062749+0.00020504i,-0.00046582-0.00047673i,-0.0010517-0.00096807i,-0.00032562-0.00047919i,-0.00037056-0.00022083i,-0.00086764-8.7799e-05i,-0.00051108-2.3792e-05i,0.00021543+0.00022415i,0.00011956+0.00042995i,-0.00023895+0.00089806i,0.00016204+0.0014578i,0.0005148+0.0012121i,0.00014942+0.00019976i,-0.00063508-0.0006704i
-0.0010032-0.00089549i,-0.0010712-0.00089264i,-0.00060598-0.0001614i,0.00087971+0.00024501i,0.0017765+0.00035347i,0.0016089-0.00045309i,0.0015636-0.0010352i,0.00076577-0.00030292i,-9.4838e-05+0.00037091i,-2.6722e-05-0.00023515i,4.5165e-05-0.00062995i,-1.4109e-05-0.00028827i,-0.00012389-0.0001815i,0.00040838-0.00017742i,0.00084737+0.00035222i,0.0007188+0.00055482i,0.00085657-1.0261e-05i,0.00072358+0.00047165i,0.00065877+0.00091325i,0.00014919+0.0006213i,-0.0001731+0.00025143i,2.7776e-07-0.00013484i,-0.0004743-0.00052481i
-0.00032097-0.00032854i,0.00052015+0.00016087i,-0.00032348+0.00077141i,-0.00099456+0.00073839i,-0.00050598-0.00037178i,0.00078714-0.00089193i,0.002028-0.000642i,0.0014442-0.00048706i,0.00022758+7.1927e-05i,-0.00033173+0.00056608i,-0.00010007+8.0504e-05i,0.00085676-0.00028634i,0.0011399-0.00061903i,-5.5452e-05-0.00088699i,-0.0010209-0.00072743i,-0.0011554-0.00026326i,-0.00057818+0.00024953i,-0.00039677+0.001002i,-0.00081418+0.0011385i,-0.00048792+0.00030148i,0.00010821-0.00010921i,0.00088567-3.8974e-05i,0.0011429-1.8421e-05i
-0.00025575+0.00028926i,-0.00028418-0.00035495i,0.00028471-0.00018899i,0.0014556+0.00045346i,0.0017689+0.00012506i,0.0011861-0.0002819i,0.00028595-0.00085866i,-0.00069893-0.00088877i,-0.00078954-0.00037885i,8.9661e-05+4.9536e-05i,-0.0001712-0.00011022i,-0.00063317-0.00039425i,-3.0196e-05-4.0047e-05i,-6.6684e-05+0.00062599i,-0.00018974+0.0011444i,0.00027047+0.00086983i,-5.0134e-05+0.00012346i,-0.00017532-0.00026371i,8.4261e-05-0.00015849i,-0.00033732+9.1851e-05i,-0.00070333+0.00054405i,-0.00080953+0.00015184i,-0.00045271-0.00069832i
