-0.0031565-0.00042812i,-0.0023025+0.00042211i,-0.0030716+0.0022024i,-0.0028265+0.0033839i,-0.0012087+0.0030474i,0.00022613+0.0022389i,0.0011237+0.0026974i,0.00066504+0.0031704i,-0.00049533+0.0022784i,-6.7803e-05+0.0018727i,0.00043996+0.0015165i,0.00066366+0.00086819i,0.0010402+0.0007112i,0.001067+0.00027038i,0.00062568-0.00010915i,0.00024394-0.00038517i,4.641e-06-0.0014878i,0.00031859-0.0015226i,0.00055239+0.00022925i,4.5251e-05+0.00056551i,-0.000697-0.00025858i,-0.00066278-0.00067657i,0.00037152-0.00031607i
-4.9226e-05+0.00015633i,-0.00034674+0.00023059i,0.00029721+0.00091812i,0.0005771+0.0010466i,0.00049033+0.0013599i,0.0011615+0.0016739i,0.0012953+0.00096763i,0.0012947+0.00082772i,0.00079159+0.00033016i,-0.00029715-0.00035289i,-0.00078174-0.00070911i,-0.00082385-2.573e-05i,-0.00048271+0.00052113i,-0.00023118+0.00017684i,-2.2987e-05-0.00013571i,-0.0004769+0.0001809i,-0.00011644+0.00041498i,0.00015688-2.9479e-05i,-0.00023324-9.8943e-05i,0.00017815+0.00034579i,0.00071341+0.00079561i,0.0008114+0.00088021i,0.00026466+0.00057075i
0.00087621-0.00056663i,0.00088941-0.00052303i,0.00246+0.00021213i,0.0029037+0.0010285i,0.0023034+0.00074141i,0.0015403+0.0010922i,0.0013352+0.0014084i,0.00098292+0.00058855i,-0.00011106+0.00068736i,-0.00057449+0.00099158i,0.00017922+0.000792i,-0.00013006+0.00023208i,-0.00046485+0.00019327i,-0.00017722+0.00033528i,-8.7364e-05+0.0003659i,0.00030035+0.00022124i,-9.2757e-05+0.00056313i,-0.00050119+0.00093734i,0.0003819+0.00029478i,0.00067739-0.00072353i,3.9361e-05-0.000548i,-0.00051829-7.3488e-05i,-0.00014226+0.00013067i
-0.00021113-6.8814e-05i,-0.00071858+0.00080461i,-0.0011118+0.0022776i,0.00034502+0.0025346i,0.0010452+0.0027948i,0.0003487+0.0027607i,0.0004824+0.0019064i,0.00048309+0.0010567i,0.00017316+0.00053085i,1.9481e-05+0.00058733i,-0.00043129+0.00042426i,-0.00062133-0.00059123i,-0.00018412-0.00092256i,-0.00032785-0.00081558i,-0.00044283-0.0011321i,0.00057488-0.00019225i,0.00099552+0.00051366i,0.0003483+0.00073032i,8.7722e-05+0.00010812i,0.00025832-0.00024354i,0.00058608+6.8077e-05i,0.00036368+0.00057805i,-1.2031e-05+0.00073388i
-4.54e-05+2.9486e-05i,0.00065791-3.9224e-05i,0.0012481+0.00090663i,0.00098559+0.0011889i,0.00084445+0.0012519i,0.0013445+0.0012836i,0.0018948+0.00072556i,0.00143+0.00065469i,-0.00027833+0.0010237i,-7.4428e-06+0.001644i,0.00044049+0.0020863i,-0.00015471+0.0016381i,-0.00064347+0.0013117i,-0.00070427+0.00082398i,-0.00041334+0.00011893i,-0.00037659+8.9568e-05i,-0.00014337-1.7423e-05i,4.2281e-05+0.00059907i,0.00013247+0.00092049i,-0.00032748+0.00044777i,-0.00028596+0.00053797i,0.00013167+0.00037733i,0.00034851-0.00033435i
0.0012945+0.0029611i,0.0017745+0.0022633i,0.0018697+0.001665i,0.0014642+0.0012056i,0.00042799+0.00098282i,1.2939e-05+0.00070909i,0.00041144+0.0005173i,0.00093763+0.00023286i,0.00090161+0.00041628i,5.5259e-05+0.00015788i,-0.00047674-0.00055369i,0.00055903-0.000272i,0.00061937-8.3158e-05i,-0.00065124-0.00027232i,-0.001386-0.00034519i,-0.0013569-0.00063445i,-0.00040895-0.00096012i,0.00034462-0.00069619i,0.0010568-0.00062179i,0.0015792-0.00040301i,0.001086-8.2814e-05i,0.00070544-0.00027843i,0.00046384-0.00058921i
6.3238e-05-0.0012953i,-9.3283e-05-0.00074149i,-6.6722e-05+6.9752e-05i,-0.0002387+0.00044499i,-0.00023235+0.0010667i,0.00066153+0.0015889i,0.00043476+0.0018966i,-0.00069464+0.0017532i,-0.00090586+0.00055469i,-0.00055605+0.00025326i,-0.00098124+0.00045709i,-0.00063469+0.00048856i,0.00060955+0.00038818i,0.0010531-0.00012709i,0.0006836-0.0006933i,9.7397e-05+4.8438e-05i,-0.0001459+0.00098576i,-5.0244e-05+0.0013594i,-0.00025437+0.0010306i,-0.00039331-9.7763e-06i,0.00026915-0.00056848i,0.0011032-0.00060346i,0.00066813-0.00037543i
-9.8297e-05-0.00043721i,-0.00020023+0.00098913i,-0.00036196+0.0021519i,-0.00019477+0.0019846i,0.00013606+0.0014281i,0.0012522+0.00084936i,0.0020477+0.0013974i,0.0015944+0.0013541i,0.00040797+0.00080761i,1.9585e-05+0.0011179i,0.00042289+0.0011345i,0.00056755+0.00068851i,0.00072168+0.00027072i,0.00022556-8.9968e-05i,-0.00048992+0.00013944i,-5.2253e-05+0.00037267i,0.00036129+0.00052023i,-9.2509e-05+0.00058074i,-0.00028729+0.00036071i,-0.00017407-5.7839e-05i,0.00064921-0.00034711i,0.00075507+0.00031277i,0.00015564+7.8621e-05i
0.0026866+0.00016142i,0.0016625-0.00020175i,0.0012474-0.0015624i,0.00066052-0.00092875i,0.00038102+0.00085652i,8.76e-05+0.001451i,-9.1147e-05+0.0021253i,0.00016906+0.0018762i,6.6057e-05+0.00095651i,-0.00049392+0.00053252i,-0.00011816+0.00025264i,5.29e-05+9.3837e-05i,-0.00033499-3.2737e-05i,-0.00022967-0.00052205i,-8.5418e-06-6.1895e-06i,-0.00012109+0.0011378i,-0.00052987+0.00047234i,-0.00054984-0.00013084i,9.8339e-05+8.7753e-05i,0.00051505-0.0004436i,0.00024178-0.0010664i,0.00010441-0.00099877i,0.00021227-0.00067177i
-0.00035511-8.0149e-06i,-0.00065555-0.00031559i,-0.00028421-0.0003423i,0.00063768-9.6624e-05i,0.0014036+0.00066944i,0.0013984+0.00095517i,0.0015466+0.00091506i,0.0010891+0.00090299i,0.00011862+0.0005656i,-0.00022081+0.00075567i,-0.00074909+0.00073316i,-0.0012401+0.00098538i,-0.00065366+0.00099541i,0.00049473+0.00025741i,0.00058032+0.00042489i,-4.1699e-05+0.00047242i,-0.00030528+0.00072484i,0.00013878+0.0013112i,0.00088049+0.0010977i,0.00095691+0.00097931i,0.00065317+0.0009506i,0.00057326+0.0010574i,3.22e-05+0.00069046i
0.0014662-0.0018613i,0.00074321-0.0013475i,0.00081729-0.0016506i,0.00084747-0.0016427i,0.00015344-0.00061465i,0.00026461+0.0011365i,0.00051091+0.0019903i,0.00010581+0.0016675i,-6.0859e-05+0.0011532i,-0.00043174+0.00028444i,-0.00077337+0.00023451i,-0.0002726+0.00029883i,-0.00014699-0.00070697i,0.00041625-0.00089861i,0.00076214-0.00012382i,-7.4847e-05+0.00021425i,0.00013199+3.4353e-05i,0.00084388-0.00037527i,0.00042966-2.5411e-05i,8.6374e-05+0.00039931i,0.00013282-1.4978e-05i,-0.00019404-0.00025492i,7.2259e-05+0.00025564i
0.0011521-0.00015389i,0.0010179+0.00031356i,0.00016356+0.00027413i,2.9166e-05+0.00023355i,-0.00030752+0.00063561i,-0.00036934+0.0010821i,0.00034842+0.00042266i,0.00040667+8.5955e-06i,-0.00027378+0.00022227i,-0.00085324+0.00032942i,-0.00059195+0.00064508i,-0.00028874+0.0011985i,-0.00077373+0.0010236i,-0.0012195+0.00053023i,-0.0010469+0.00068073i,-0.00074014+0.00094344i,-0.00057726+0.00057639i,-0.00028135+0.00072313i,-0.00042267+0.00056071i,-0.0001049-0.00014741i,0.0005566+4.6081e-05i,0.00065086+8.3692e-05i,0.00033535-0.00085944i
0.00088386-0.00044716i,0.0010465-2.82e-05i,0.001037-0.00034629i,0.0011938-0.00070224i,0.00017185+5.2381e-05i,-0.00041396+7.9096e-06i,-0.00035373-0.00012235i,3.4798e-05+0.00055431i,0.00081024+0.0012493i,0.00064715+0.00081664i,-0.00010835-0.00054103i,-0.00028594-0.0013049i,-0.00027473-0.0012947i,-0.0010242-0.00052739i,-0.0011391+6.847e-05i,-0.00048882+0.00062539i,-0.00012249+0.00099464i,-9.7966e-05+0.00025504i,0.00064324-0.0004623i,0.00077484-0.00044718i,-0.00043072-0.00054642i,-0.00062817-0.00052133i,-1.4949e-05-0.00026316i
0.00048805+0.00039166i,0.00036071+0.0002863i,0.00043161+0.00095703i,0.0010885+0.002521i,0.0018966+0.0029065i,0.0022907+0.0022762i,0.0019031+0.001537i,0.0015547+0.00098493i,0.0012387+0.00084346i,0.00095522+0.00075809i,0.00052858+0.00079927i,-0.00012553+0.00020829i,0.00031232-0.00018521i,0.00068059+0.00019668i,0.00042619+2.255e-05i,-0.00043695-0.00037862i,-0.00035305-0.0001581i,0.00011991+8.6122e-05i,9.983e-06-0.00030044i,0.00016943+0.0001444i,0.00028271+0.00093717i,0.00083359+0.00083556i,0.0012547+0.00035056i
-0.001788-0.00022709i,-0.0018011-0.00024288i,-0.00059557+0.00082124i,0.00028314+0.001627i,0.00097915+0.0017246i,0.00083071+0.0019436i,0.00066888+0.0019202i,0.00055185+0.0016312i,5.34e-06+0.00031544i,-0.0001379-0.00048073i,0.00044179+0.00028512i,0.00095854+0.00079334i,0.00080725+0.00034075i,0.00033108-0.00010878i,0.00026813-0.00023917i,-0.00015103+0.00061666i,-0.0005208+0.0011327i,-3.0092e-05+0.00071914i,0.00068086+0.0006673i,0.0010614+0.00052753i,0.00067367+0.00047285i,0.0003877+0.00027008i,0.00094707-0.00039692i
-0.00050697+0.00088772i,0.0003435+0.0011229i,0.001147+0.0016855i,0.0019036+0.0016242i,0.0014665+0.0011994i,0.00071624+0.00060017i,0.00121+0.00024365i,0.0011942+0.00056231i,0.00033523+0.00028835i,3.4716e-05+0.0001008i,0.00038411+0.00025175i,0.00091379+4.6477e-05i,0.0009027+0.00012843i,-0.00013782+0.00023637i,-0.00090352+2.3814e-05i,-0.00083193+0.00024683i,-0.00060948+0.00012769i,-0.00034275-0.00020474i,6.9397e-06+0.00049075i,-0.00014607+0.0010292i,-8.8492e-05+0.00052387i,0.00037031+0.00050837i,0.0002917+0.0005282i
0.00018286+0.0010429i,0.00017284+0.00037919i,0.00045393+0.00070772i,0.0011486+0.0011941i,0.0010686+0.00085642i,0.0011424+0.00079676i,0.0017652+0.00075378i,0.0012793-7.3259e-05i,0.00012932-0.00044775i,-0.00052579-9.3138e-05i,-0.0012397+0.00022359i,-0.0013136-0.00023458i,-0.00054303-0.00058605i,0.00040836-0.00034601i,0.00051218-1.7698e-05i,-0.00016441+0.00038167i,-0.00022365+0.00056618i,0.00013685+0.00086643i,0.00034076+0.00067377i,0.00025642+0.00033334i,0.00031013-0.00074546i,0.00043713-0.00099145i,0.00018074-0.00050959i
-5.1099e-05-0.00061015i,0.0005852+0.00064627i,0.0013779+0.0013704i,0.0014383+0.0016876i,0.00020587+0.0013482i,-0.00030691+0.00090962i,0.00046516+0.001022i,0.00084583+0.0010688i,9.0189e-05+0.00099698i,-0.00074472+0.0012501i,-0.00086271+0.0014295i,-0.00039461+0.0010019i,5.9547e-05-2.7885e-06i,0.00017121-0.00059201i,0.00030659-0.00043685i,-5.3501e-05+9.0555e-05i,-0.00036218+0.00038905i,-0.0004453-0.00016002i,-0.00016748-0.00021205i,7.2609e-05+0.00045963i,-3.7459e-05+0.00036235i,-0.00025821+0.00041609i,-0.00056808+7.3636e-05i
-0.00043645+0.00026124i,-0.0005786+0.00012415i,-0.00078225+0.00020546i,-0.00019795+0.0018555i,-7.3194e-06+0.0032374i,0.0002751+0.0019267i,0.00097268+0.00067753i,0.0008856+0.00045437i,5.1011e-05+0.00061208i,-0.00093365+0.00075116i,-0.00096162+0.0012003i,3.3329e-05+0.0013267i,0.00029173+0.0004311i,4.611e-05-8.9986e-05i,-7.2582e-06+0.00026969i,-0.00089694+0.0010026i,-0.001203+0.00108i,-0.00027153+0.00056684i,-0.00019415+8.6293e-05i,-0.00037589+4.165e-05i,-0.00027341-0.0001072i,-0.00047165-5.2104e-05i,0.0001606+0.0001846i
0.00078467-0.0012164i,0.00060541-0.00033034i,0.0014035-0.00051999i,0.0010778-0.00039156i,0.00010528+0.00033284i,-0.00032793+0.00086317i,-0.00024837+0.00098961i,6.5374e-05+0.00091817i,0.0003327+0.0011188i,0.00020752+0.0008441i,-0.00065758+0.00071618i,-0.00070421+0.00019741i,4.2742e-05-7.6523e-05i,-9.5485e-05+0.00059495i,-0.00018058+0.00047129i,0.00025334-4.9977e-05i,-6.3877e-06-4.5344e-05i,-6.3977e-05+0.00045972i,-0.00011613+0.00029774i,-0.00034202+7.0203e-05i,-0.00029215+0.00034839i,-0.00038234+0.00044691i,2.7967e-06+1.0334e-05i
0.00028961-0.0010817i,-0.00034509+0.00033851i,-0.00072225+0.00077415i,-0.00030935-6.9761e-05i,-0.00030529+0.00023148i,8.8175e-05+0.0018926i,0.0015678+0.001613i,0.00096099+0.00016856i,-0.00095187+0.00058835i,-0.0013918+0.0012129i,-0.0009213+0.00073947i,-0.001041+0.00076261i,-0.00038834+0.00071884i,0.00047616+0.00019872i,0.00076051-0.00034494i,0.000684-0.00052853i,0.00051851-0.00032012i,0.00071335+0.00024337i,0.00091109+0.0003653i,0.0011429-0.00015392i,0.00082018-9.8783e-05i,0.00032663-0.00034586i,-0.00040272-0.00055865i
1.098e-05+0.00023006i,0.00070598-0.00053323i,0.00045746-0.0013048i,-0.00029805-0.00048603i,-0.00026407+0.00071995i,0.00060054+0.00062127i,0.00050074+0.00073563i,0.00034713+0.00032118i,0.00042753+8.0474e-05i,-0.00027177+0.00045738i,-0.0011196+0.00048877i,-0.0011594+0.00055965i,-0.00073763+0.00027602i,-8.6227e-05-0.00012504i,-0.00024657+0.00014148i,-0.0007179+0.00071691i,3.6719e-05+0.00048286i,0.00045055+0.00028795i,0.00033289+0.00059686i,-2.4726e-05+0.00071845i,-0.000916-8.9777e-05i,-0.0013507-0.00088828i,-0.00089281-0.00018998i
-2.9738e-05+0.00032601i,-0.0010341-0.00032684i,-0.0007469-0.000981i,-0.00081606-0.00079474i,-0.00050572+0.00016043i,0.00017828+0.00060525i,0.00035372+0.00076385i,0.00085172+0.00069615i,0.00095136+0.0011775i,2.4771e-05+0.0012161i,-0.0003736+0.0008419i,-0.00034592+0.00078442i,-0.00056977+0.00034787i,-0.00079432+0.00031829i,-0.0013833+0.00017883i,-0.0017692-0.00039003i,-0.0010444-0.00028843i,1.8938e-06+0.00015144i,-0.00012363+0.00014218i,-0.00038407+0.00011488i,-0.00039+0.00022196i,-0.00021262-0.00036281i,0.00020132-0.00068205i
0.00021994+0.00053998i,0.0007136+7.9875e-05i,0.0010694+0.0001609i,0.00067633+0.00079611i,0.00038506+0.00081146i,0.00039858+0.0014187i,-0.00013335+0.0014386i,0.00015066+0.00054837i,0.00037389+5.0927e-06i,7.9377e-05+0.00018979i,0.00011215+0.00055783i,-0.00026874+0.0003222i,-0.00065527+0.00014775i,-0.00025245+0.00027525i,-0.00015776+0.00054473i,-8.036e-05+0.0006581i,-0.00012393+0.00042556i,-0.00022493+0.000169i,1.792e-05+0.0009486i,-0.00020227+0.00105i,0.00016171-0.00054754i,0.00047478-0.00086933i,-0.00026701-0.00015132i
0.00018321-0.00062133i,-0.00061357-0.00065331i,-0.0010305-0.00037699i,-0.00062676+0.00088359i,0.00025581+0.0021311i,0.0009386+0.002438i,0.0010543+0.0020679i,0.0010167+0.0007551i,0.00022201+0.00024082i,-0.00082327+0.00035515i,-0.0010375+7.0767e-05i,-0.00061992-0.00034807i,-0.00065277-0.00015664i,-0.00095703-0.00012497i,-0.00039114+0.00031595i,0.00035566+0.0011925i,0.00026108+0.00042448i,-2.1088e-05+0.00028396i,0.00016185+0.00081328i,7.8378e-05+0.00016552i,0.00012763-0.00017749i,0.00034348-0.00060351i,0.00029614-0.00082586i
0.00098326-0.00035578i,0.00092728-0.00030979i,0.00074621-0.00024333i,0.00071611+0.00059042i,0.00016981+0.0015933i,-0.0003779+0.0018958i,0.0001665+0.001389i,0.00079853+0.0013283i,0.00058839+0.00076189i,-0.0006443-0.00046796i,-0.0013538-0.00088513i,-0.00065759-0.00042921i,-0.00070375+0.00072273i,-0.00048743+0.0011596i,0.00020024+0.00033371i,0.00025865-0.00011868i,-0.00012287+0.00040347i,-0.00035936+0.00096988i,0.00025484+0.0011712i,0.00092727+0.0003564i,0.00088494-0.00029919i,0.00071088+8.4179e-05i,0.0009004+0.00020947i
0.00043825-0.00017717i,0.00072652-0.00057966i,0.00070965-0.00015422i,-0.00044138+0.00068678i,-0.00092997+0.00050795i,9.3802e-05+0.00025193i,0.00025607+0.0010069i,-0.0004686+0.0011688i,-0.00080873+0.00086959i,-0.00056443+0.0011404i,0.0003896+0.00086026i,0.0006689+0.00021176i,0.00053892-0.00011188i,-0.00045401+2.8632e-05i,-0.0015477+0.00059768i,-0.0015598+0.00060591i,-0.0012512+0.00043029i,-0.00053497+0.00046988i,-0.00021054+0.00065641i,-0.00052013-0.00011726i,0.00019958-0.00057725i,0.0011571-0.00058156i,0.00033481-0.00085907i
0.00010343+0.00052793i,-0.00071195+0.0001666i,-0.0019346+0.0013067i,-0.0014836+0.0015607i,-0.00080828+0.001694i,-0.00045676+0.0024244i,0.00018391+0.0019245i,0.00079597+0.0010842i,0.00061554+0.00042586i,5.1434e-05+0.00028955i,-0.00019105+0.00012784i,-0.00052921+0.00054137i,-0.0004727+0.00094583i,-0.00030709+0.00062431i,-0.00069416+0.00065449i,-0.00090258+0.00069814i,-0.00041345+0.00061384i,-1.6133e-05+0.0002918i,-0.00025894-2.426e-05i,-0.00010311+0.00013365i,0.00045981+5.2662e-07i,-0.00043996-0.00018626i,-0.00046679-0.00059623i
-0.00038739+0.0004018i,-0.00031011+0.00081903i,2.7261e-05+9.8448e-05i,0.0012476-0.00047727i,0.0019256+0.0010722i,0.0016131+0.002309i,0.00076287+0.0011942i,0.00037394-0.00028574i,-0.00052283-0.00065171i,-0.0012147-0.00017026i,-0.00081056-1.6426e-05i,-0.00063732+0.0001113i,-0.00014696+0.00024188i,-5.5536e-05+7.7348e-05i,-0.00062386+9.7214e-05i,-0.00071185+0.00011241i,-0.00040416+0.0004108i,0.00036048+0.00070748i,0.0003466+0.00092086i,-0.00035014+0.00043546i,-0.00059344-0.00029018i,-0.00030827-2.3913e-05i,-0.00062258+4.0788e-05i
0.00016759-0.00054888i,0.00074424-5.4244e-05i,0.00093112+2.716e-05i,0.00091256-1.491e-06i,0.0011484+0.00039051i,0.0016575+0.00067906i,0.0016048+0.0013038i,0.00067968+0.00082096i,0.0001918-0.00025878i,7.5166e-05+0.00031347i,-0.00013648+0.0010037i,-0.00031959+0.00083245i,-0.00054567+0.0006569i,-0.00039517+0.00049554i,-0.00015054+0.00086239i,-0.00029334+0.0005655i,-0.00018836-0.00033317i,0.00030769-0.00086752i,8.7346e-05-0.00048426i,-0.00013864-0.00026997i,0.00025869-0.00040874i,0.00052997-0.00023175i,0.0006188-0.0003208i
-0.0009751+0.00065308i,-0.00076634+0.0013021i,-0.00038909+0.0012788i,-0.00062274+0.0019624i,-0.00042217+0.0021638i,-0.00010577+0.0019651i,0.00017461+0.0013368i,0.00039103+0.00056482i,-6.0311e-05+0.00075427i,-0.00090864+0.0014116i,-0.0012316+0.001023i,-0.00080271+0.00084872i,-0.00033917+0.0008811i,-8.9558e-05+0.0002272i,-0.00043626+0.00018065i,-0.00073162+0.00010226i,-0.0001643+0.00010891i,0.00016513+0.00047872i,0.00045833+0.00060309i,0.00032546+2.6608e-05i,8.3071e-06-0.00037774i,2.2233e-05+0.00029118i,-0.00021734+0.00045317i
0.00012984+0.00037025i,0.00081516+0.00051519i,0.00085479+5.1296e-05i,0.00065494+0.00072678i,0.00068209+0.001821i,0.00032259+0.001488i,0.00015115+0.001037i,-0.000345+0.00093798i,-0.00096166+0.00033384i,-0.0012052+0.00050023i,-0.0013303+0.0010443i,-0.0010353+0.0013601i,-0.0006843+0.00077011i,-0.00020588-0.00030556i,-0.00031148-0.00075662i,-0.00030999-0.00042221i,-0.00014318-0.0007076i,-0.00067201-0.0013909i,-0.0010646-0.0011566i,-0.0005593-0.00040945i,-0.00016487+9.3164e-05i,0.00034606-2.0373e-05i,0.00085779+0.00014824i
