-0.00058455-0.00033422i,-0.00032548-0.0016136i,-0.0008999-0.0016351i,-0.0017187-0.0010054i,-0.0017267-0.00050694i,-0.0015378+0.00034866i,-0.001551+0.0020167i,-0.0008281+0.0023287i,0.00041628+0.0012852i,0.00081275+0.00050437i,0.0004656-0.00030688i,-4.3761e-05-0.00092134i,-0.00051581-0.0008192i,-0.0010513-0.00086532i,-0.00060804-0.00033092i,-3.4839e-05-0.00012555i,7.3894e-05-0.00025688i,0.00022433+0.00024076i,-0.00024636+5.8245e-06i,-0.00030651-0.00013257i,0.00012344+0.00013952i,0.00015739-0.00018715i,0.00021612-0.00037583i
-0.00038892+0.0020716i,0.0004802+0.0019989i,0.0010998+0.002581i,0.0010021+0.0022166i,0.00074639+0.0012833i,0.00096751+0.00080308i,0.00044654+0.00033419i,-0.00046425+0.00010208i,-0.00092208+0.00020589i,-0.00081864-0.00010034i,-0.00095508-0.0006194i,-0.0013249-3.4359e-05i,-0.0010417+0.00064676i,-0.00041939+0.0001245i,-0.00046685-0.00054698i,0.00044264-0.0011507i,0.00070602-0.0015858i,0.00021919-0.0011245i,0.00014802-6.4073e-05i,5.017e-06+0.00086962i,3.991e-05+0.0010643i,-3.7809e-05+0.00042033i,-5.9793e-05-0.00017746i
-0.0002762-0.00012425i,-0.00057922-0.00096654i,-0.00086588-0.00010415i,-0.0004683+0.00074286i,-0.00060266+0.00029403i,-0.00082506-0.0010369i,-0.0006777-0.00066486i,-0.00099838+0.00034306i,-0.0007705+0.00030848i,0.00013765-6.0105e-05i,-0.00024207-0.00022187i,-0.00065569-4.3449e-05i,-0.00055012+0.00033511i,0.00051312+0.00061524i,0.00089552+0.00065252i,5.2395e-05+0.00059864i,-0.00063693-0.00035539i,-0.0005287-0.0010725i,0.00069392-0.00047948i,0.00080644-0.00037781i,2.4111e-05-0.00053531i,-0.00022856+0.00011479i,9.894e-05+0.00075577i
0.00041517-0.0014396i,0.00093229-0.0011255i,0.00045145-0.00065192i,-0.001159-0.00084914i,-0.0013766-0.00090501i,-0.0012169+0.00040963i,-0.0013201+0.0012538i,-0.0010195+0.00036466i,-5.227e-05+0.00020435i,0.00043544+0.00083215i,8.4771e-05+0.0010348i,-0.00015296+0.0011202i,0.00015991+0.00022239i,-0.00022081-0.00042728i,-0.00030572+6.6963e-05i,0.00045855+0.00018423i,0.00088682-0.00026939i,0.00044885-0.00034052i,-0.00041703-0.00016513i,-0.00064841-0.00057828i,-0.00051486-0.00029594i,-0.00011384-0.00020031i,0.00056757-0.00021295i
0.00070308+0.00071526i,0.00081139+0.00075408i,0.0010389+0.00054912i,0.00076799+2.5664e-05i,0.00011691-0.00079568i,-0.00036319-0.00037418i,-0.00057977+0.00012986i,-0.00036799+0.00044i,0.00014446+0.00034655i,0.00033729-0.00053878i,0.00022853-0.0014774i,0.00035681-0.0019342i,0.00066521-0.00093401i,0.00052958+0.00034207i,0.00012436+0.00053099i,0.00036381+0.00068182i,0.00034358+0.0011144i,6.7105e-05+0.0014292i,0.00032786+0.0010649i,0.00045766+0.00039361i,0.00033688-0.00076777i,0.00032936-0.0011638i,0.000242-0.00064729i
0.00019853-0.00044626i,0.0010872+0.00014607i,0.0012137+0.00010274i,0.0003438-0.00058675i,-0.00080185-0.0007728i,-0.0016339+0.0001975i,-0.0013616+0.00021964i,-0.00028387-0.00026566i,0.00023795-0.00029997i,0.00040825-3.728e-05i,0.00010632-0.00028127i,-6.0104e-05-0.00080438i,3.0174e-05-0.00048807i,-0.00017125+0.00010084i,0.00065605+0.00043832i,0.0010358+0.00015606i,0.00035456+0.00015296i,0.00022583+0.00054663i,0.00013159+6.946e-05i,-0.00029179-0.00049623i,-5.6486e-05-0.00037516i,0.0004486-0.00051149i,0.00039807-0.00047537i
0.0014331-0.00053924i,0.0015067+0.00044453i,0.00094233+0.0011954i,8.9777e-05+0.00041485i,-0.0016037-9.8781e-05i,-0.0025514+7.7008e-05i,-0.0021251-0.00011693i,-0.0010217-0.00045777i,-9.8225e-05-0.0002405i,-0.00027382+9.4653e-05i,-4.9394e-05+0.00042747i,0.00065282+0.00073758i,0.0002936+0.0012077i,-0.00013116+0.0012703i,0.00022962+0.00023029i,0.00051748-0.0011992i,0.00015688-0.00099095i,-0.00038964-0.00037765i,-0.00063888-0.00022748i,-0.00082466-8.6283e-05i,-0.00097822+0.00037454i,-0.00080688+6.9844e-05i,-0.00023573-5.1752e-05i
-0.00013999-0.0007821i,-0.00053786-0.0002622i,-0.00042176-0.00013828i,0.00064468-0.00073696i,0.0011718-0.00017998i,-4.1087e-05+0.00069265i,-0.00055995+0.00022927i,-0.00023281-0.00034173i,-0.00043033-0.00019021i,0.00029554+9.907e-05i,0.00065948+0.00049823i,-0.00047989-0.00038104i,-0.00083692-0.00099587i,-0.0004256-0.0010482i,-0.00023182-0.0013628i,-0.00035585-0.0010792i,-0.00010237-0.00011742i,0.00011685+0.00034741i,0.00033931+0.00047858i,0.00023884+0.00028789i,-0.00040638+0.00033716i,-0.00044819+0.00024112i,-0.00060133-0.00092376i
0.0014562+0.0010965i,0.0014603+0.00069554i,0.0019995-0.00074872i,0.0017706-0.0018732i,-0.00032092-0.0017272i,-0.0013633-0.00080471i,-0.00094575-0.00040119i,-0.00095559-0.00032114i,-0.00057852-0.00075087i,0.00038984-0.0011451i,0.00078967-0.00063504i,-3.7977e-05-0.00083958i,-0.00018206-0.0010636i,8.6111e-05-0.00037894i,0.00033899-0.00016073i,-0.00010115-0.00022591i,-0.00072517+0.00014088i,-0.00017721+0.00038253i,-7.5285e-05+0.00010222i,-0.00042546-5.0286e-05i,-0.00071903+0.00014283i,-0.00026247-6.7669e-05i,0.00059293-0.00029501i
-0.00018871+0.00013636i,-7.3211e-06-0.00048696i,0.00084472-0.00072652i,0.00037211-0.00062403i,-0.00093345-0.00099142i,-0.00078765-0.0012877i,-0.00034722-0.00069404i,-0.00094685-5.0798e-05i,-0.0006835-0.00011432i,0.00032629-0.0002368i,0.0001248-0.00022663i,-0.00018284-0.00065928i,0.00013977-0.00055456i,0.0006674-4.8842e-05i,-0.00030336-0.00023241i,-0.00068062+0.00016828i,-0.00021249+0.000638i,-4.0006e-05-1.974e-05i,0.00013219-0.00057343i,-0.00017239-0.00039801i,-0.00029948-0.00026704i,-0.00012194+0.000328i,-0.00031911+0.00077074i
0.00044965+0.0007375i,0.00096297+0.00013561i,0.0016612-0.00025645i,0.001028-0.0014223i,-0.00027853-0.0022073i,-0.0012157-0.0012841i,-0.0011399-0.00056079i,-0.00066557-0.00010277i,-0.00019344+0.00064018i,0.00023828+0.0010388i,-0.00060091+0.00065735i,-0.0011874+0.00037612i,-0.0011445+0.00021519i,-0.00093476-0.00011733i,-0.00070235-0.00015422i,-0.00053263-0.00024991i,0.00035703+1.4376e-05i,0.00023092+0.0001549i,-0.00051637-5.0239e-05i,-0.00022617-5.8451e-05i,-0.00026882+0.00088517i,-0.00099365+0.0014539i,-0.0006387+0.00095533i
