-0.00058455-0.00033422i,-0.00032548-0.0016136i,-0.0008999-0.0016351i,-0.0017187-0.0010054i,-0.0017267-0.00050694i,-0.0015378+0.00034866i,-0.001551+0.0020167i,-0.0008281+0.0023287i,0.00041628+0.0012852i,0.00081275+0.00050437i,0.0004656-0.00030688i,-4.3761e-05-0.00092134i,-0.00051581-0.0008192i,-0.0010513-0.00086532i,-0.00060804-0.00033092i,-3.4839e-05-0.00012555i,7.3894e-05-0.00025688i,0.00022433+0.00024076i,-0.00024636+5.8245e-06i,-0.00030651-0.00013257i,0.00012344+0.00013952i,0.00015739-0.00018715i,0.00021612-0.00037583i
0.0024972-0.0016174i,0.0014425-0.0017582i,-0.00026463-0.0015314i,-0.0017847-0.00093719i,-0.0023246-0.00097998i,-0.0020644-0.0005193i,-0.0011205-0.00061378i,5.084e-06-0.0016483i,0.00059441-0.0014355i,0.00075368-0.0010391i,0.00052629-0.0013373i,0.00066557-0.0009901i,0.00035406-0.00056053i,0.00010051-0.00096244i,5.256e-05-0.00043103i,-0.00027455+0.00010187i,-0.00094684-0.00020919i,-0.001143-6.8925e-05i,2.8772e-05+0.00049628i,0.00037057+0.00035482i,0.00012417-0.00014496i,-0.00081299-0.00032909i,-0.00095611-0.00060876i
0.0024425-0.00067521i,0.0015893-0.00038223i,2.2361e-05-0.00077761i,-6.3102e-05-0.0012064i,-0.00070218-0.0014402i,-0.0018915-0.0013143i,-0.0016838-0.00054561i,-0.00044215-0.00025055i,-2.3789e-05-0.00068948i,-0.00061116-0.00062908i,-0.00094765-0.0001619i,-0.00094459+0.00021724i,-0.00059452+0.00025215i,-0.0006906-6.7996e-05i,-0.00063567+8.705e-05i,-0.00022242+5.5472e-05i,-0.00038994-0.00021866i,-9.3801e-05-7.4012e-05i,0.0007379-0.00013164i,0.00060466-0.00073627i,-0.00049385-0.00064969i,-0.00085568-2.9872e-05i,0.00031462+0.00017852i
-0.0013839+0.0024523i,-0.00030699+0.0016523i,0.00044213+0.0013607i,0.00069121+0.0018195i,-0.00031475+0.00020783i,-0.0013202-0.00070964i,-0.0014109-0.0002454i,-0.00065119+6.3437e-05i,-0.00021445-0.00039705i,-0.00030904-0.00095099i,-3.0031e-06-0.0010579i,0.00030629-0.00057225i,0.00031738-0.00025546i,0.00053758-9.0065e-05i,0.00059086+0.00020633i,0.00072728+0.00063531i,0.00051291+0.00065132i,-4.4391e-05+2.185e-05i,-7.2926e-05-0.00081397i,0.00032192-0.00058355i,0.00053106+0.00019909i,0.00014876+0.00084i,0.00023791+0.001131i
0.00077907-0.0011805i,0.001513-0.0008362i,0.0007198-0.00077704i,-0.0011004-0.0008192i,-0.0021881-0.00053i,-0.0022217+0.00033151i,-0.00084233+0.00035132i,0.00023159-0.00028078i,0.00090505+2.2298e-06i,0.00076385+0.00057125i,-0.00019265+0.0006918i,-0.00047128+0.00087655i,-0.00010347+0.000185i,0.00046126-0.00049132i,-0.00017178-0.00017776i,-0.00059289+0.00021069i,0.00056839+0.00019238i,9.5609e-05+5.8769e-05i,-0.00032143-0.00075775i,0.00032032-0.0013743i,0.00044763-0.00089686i,-0.00026441-0.00047039i,-0.00052318+0.00019142i
0.00035468-0.0023165i,-0.00019548-0.0033245i,-0.0017466-0.0028964i,-0.0018586-0.0010375i,-0.0016871+0.0011111i,-0.0013536+0.0010729i,-0.00061999+0.00012339i,-0.00039569+0.00052429i,7.7851e-06+0.0002437i,0.00059654+4.9978e-05i,0.00099692+0.0010806i,0.0010892+0.0019478i,0.00069472+0.0015492i,-0.00012915+0.00074549i,-0.00025365+0.00045611i,-7.69e-05+0.00088267i,-0.00069512+0.0012373i,-0.00061948+0.00095887i,-1.9965e-05+0.00062022i,3.1739e-05+0.00056i,-6.0392e-05+0.0004259i,0.00040932+0.00015761i,0.000632-0.00017211i
1.4415e-05+0.00038476i,-0.00075477+0.00079477i,-0.0002216-0.00010028i,0.0003285-8.6504e-07i,-8.5836e-05+0.00027458i,6.0003e-05-6.7143e-05i,0.00016754-0.00030206i,0.00035628-0.00046945i,0.00032231-0.00098377i,0.00018334-0.0018192i,-0.00013729-0.0013425i,0.00011392-0.00013458i,-4.1077e-05+0.00060433i,-0.0008845+0.0008021i,-0.00069472+0.00047605i,7.1698e-05+3.7438e-05i,0.00073641+0.00021813i,0.00055191+0.00052069i,0.00012811+0.0003067i,0.00026398-0.0001271i,0.00014344-0.00049821i,-0.00030475-0.00081727i,8.6572e-05-0.00080286i
3.3049e-05-0.00051082i,-0.00038379-0.0014841i,0.00056919-0.0014372i,0.001756-0.001048i,0.00071788-0.00076001i,-0.0012086-0.00051009i,-0.0010754-0.0011401i,-0.00032584-0.001045i,0.00015696-0.00069497i,0.00026231-0.0015538i,0.00072726-0.0015505i,0.00074036-0.00058387i,-0.00031993-7.1756e-05i,-0.00017608+0.00010888i,0.00026158-0.00011283i,0.00028936-0.0008469i,0.0007928-0.00069198i,0.00052274-5.1451e-05i,-0.00040823+6.5586e-05i,0.00028681+0.00061577i,0.00041176+0.00092953i,-0.00018408+0.00060059i,8.7442e-05+0.00024443i
0.00042527+0.00025239i,-2.2095e-05+0.00020753i,-0.00047263+0.00015359i,-0.00069098+0.000164i,-0.0010348-0.00023236i,-0.0022324-0.00089296i,-0.0020452-0.00074067i,-0.00096373-0.00036235i,-0.00015705-0.00078661i,0.00031973-0.0011615i,0.00028757-0.0010267i,0.00012325-0.00065436i,0.00044844-0.00040967i,0.00072046-0.00024679i,0.00058921-0.00022625i,0.00012735-0.0001495i,-9.5684e-05+0.0001052i,0.00026843+0.00063208i,0.00034151+0.00051874i,6.4113e-05-0.00015256i,0.00035526-0.00014876i,0.00045339-2.0437e-05i,0.00050805+4.5518e-05i
0.00027166-1.2967e-05i,0.0013769+0.00049685i,0.0016518+4.6079e-05i,0.00047426-0.00085194i,-0.00037421-0.0018657i,-0.0014433-0.0016247i,-0.0019531-0.00014772i,-0.0016465+0.00020226i,-0.0014333+9.3784e-05i,-0.0011608+0.00044346i,-0.00032088+0.00051488i,-0.0003378+0.0001134i,-0.00063332-0.00030883i,-0.00058821-0.00092159i,-2.8213e-05-0.0013815i,0.0010002-0.0012829i,0.00054865-0.00016766i,-0.0011237+0.00019209i,-0.0015091-0.00017148i,-0.00083347+0.00019039i,-0.00071414+0.00032042i,-1.6638e-05+3.6462e-05i,-9.9114e-05-0.00025754i
0.00093507-0.00050527i,0.00027369+0.0012389i,-0.00023499+0.0021952i,0.00028838+0.00051277i,-0.00017021-0.00097285i,-0.00176-0.00086729i,-0.0016377-0.0012235i,-0.0006943-0.0011004i,-0.00024157+0.00016489i,-1.0519e-05+0.00075606i,-0.00050796+0.00076005i,-0.00065444+0.00042809i,-0.00037268-0.00021571i,-0.00023426-0.00029538i,-0.0012451+0.0003906i,-0.0020225+0.00028805i,-0.0010675-0.00016978i,0.00012528-0.00036238i,0.00011308-0.00027089i,-0.0011344+1.3547e-05i,-0.0012526-0.00057279i,-0.00013049-0.00017811i,5.179e-05+0.00042332i
0.0017162-0.00010061i,0.0027909-0.0012278i,0.0024787-0.0020736i,0.0012154-0.0021187i,-0.00024954-0.0018886i,-0.00071019-0.0016032i,5.3307e-06-0.00092554i,-0.00019174-4.6994e-05i,-0.00035662-0.00011063i,0.00026984-0.00015664i,0.00055029-6.077e-06i,0.0006244+0.00022576i,0.0010067+0.00022276i,0.00027947-0.00028577i,-0.00021125-0.00034717i,0.00082454+0.00053789i,0.0007785+0.00092751i,0.00037151+0.00037861i,0.0004875+0.00082058i,0.00060519+0.00078237i,0.00066372+8.2949e-05i,0.00071928+0.00022117i,0.00043702+0.00029513i
0.0007302+8.0735e-06i,0.00091128-0.00044133i,0.00099789-0.0014861i,0.00054246-0.0016625i,-0.0010187-0.0012059i,-0.0025459-0.0013472i,-0.0025199-0.00068566i,-0.00078719+6.5301e-05i,7.5719e-05+0.00011176i,0.00075513-0.00088241i,0.0011343-0.0009572i,0.00071996-0.00010315i,0.00040107+0.00045163i,-0.00010812+0.00016635i,-0.00032786+0.00011966i,-0.00059571+0.0003262i,-0.00050525+0.00080409i,-0.00014547+0.00082142i,7.2728e-05-9.539e-06i,0.00017132-0.00031807i,-0.00018429+0.00049072i,-0.00055232+0.00090167i,-0.00040747+0.00034531i
-0.00090136-0.00018155i,-0.00030372+0.00077757i,-0.00047627+0.001511i,-0.0017033+0.00079214i,-0.0012334-0.00022222i,-0.00048015-0.00015713i,-0.0009057-0.0006849i,-0.00017149-0.0011387i,0.0013135-0.00047772i,0.00050608-5.1127e-05i,-2.8704e-05-0.00032396i,0.00056518-0.00054916i,0.0003492-0.00048437i,-9.9686e-05-7.4755e-06i,-0.00010138-0.0007686i,-7.0417e-05-0.00096066i,-0.00054866-0.00036518i,-0.00074114-0.00054213i,-0.00029899-0.00058364i,6.7323e-05+0.00030878i,0.00028963+0.00078543i,0.00047127+0.00076238i,0.00017613+0.0010264i
0.0028363+0.00031083i,0.0024072+0.0010105i,0.0014875-0.00045486i,0.00014302-0.0016482i,-0.0017203-0.0012162i,-0.002327-0.001486i,-0.0020133-0.0012349i,-0.0016814-0.00089124i,-0.001123-0.00058224i,-0.0008761-0.00086379i,-0.0009926-0.0013192i,-0.00053166-0.0007735i,0.00010937-0.00011336i,0.00046782+2.4467e-05i,0.00044871+0.00037419i,-0.00030312+0.00044871i,-0.00021254+0.00011386i,-0.00020691-3.9922e-05i,0.00013894-0.00010682i,0.0002524-0.00037601i,0.00015527-0.00060426i,0.00022247-0.00031424i,0.000444+0.00025965i
-0.00063074+0.00071593i,-0.00068639-0.0006782i,-0.00017596-0.0010882i,-0.00012341+0.00032349i,-0.00045109+0.00010882i,-0.00075575-0.0007177i,-0.00064377-0.00048327i,-0.00061413+0.00041378i,-0.00095117+0.00065368i,-0.00035236+0.00016335i,7.5561e-05-0.00059301i,-0.00034335-0.00091251i,-0.00057133-0.0013064i,6.9277e-05-0.0013859i,0.00058735-0.00094417i,0.0003748-0.00044043i,0.00012619-0.00044259i,-0.00026514-0.00011713i,-0.00063558+0.00066948i,-0.00023181+0.0001912i,0.00045097-0.00033911i,0.00041174+0.00013535i,0.0001205+0.00036353i
0.00085598+0.00070026i,0.00017479+0.0013886i,0.00082312+0.0013906i,0.00076566+0.00059985i,-6.0453e-05-0.00045402i,0.00062213-0.00091431i,0.00065656-0.00037072i,-0.00030628+0.00018508i,-0.00027236-6.9491e-05i,0.00023498-0.00078687i,0.00070111-0.00062359i,0.00029048-0.0004571i,-0.00029096-0.00043231i,-0.00069388-0.00028733i,-0.00056037-0.00011731i,2.6134e-05+0.0003503i,-4.6736e-05+0.00046512i,-2.4084e-05+0.00016522i,0.00044458-0.00034456i,0.0007461-0.0011316i,0.00068898-0.0011286i,5.9794e-05+0.00038042i,-0.00067036+0.00088959i
-0.0001662-0.0024294i,-0.00066145-0.0027132i,-0.001405-0.0037496i,-0.0015746-0.0029845i,-0.001035-0.0020791i,-0.00059728-0.0012885i,-0.00092673-0.00034132i,-0.00049881-0.00081515i,8.3078e-05-0.0012017i,0.00056172-0.0004726i,0.0010812-0.00053331i,0.00057902-0.00054159i,-8.8702e-05-0.00028319i,0.00035184-0.00031997i,0.00047042+0.00018098i,0.00024502+0.00060946i,-0.00021425+8.2334e-05i,0.00018846+0.00015044i,0.00069908+0.00030867i,0.00040234+0.00028286i,0.00071352+0.0005781i,0.00059459+0.00022911i,-0.00021065+0.00051174i
0.00086635+0.00032386i,0.00074297+0.0015083i,0.0016004+0.0023988i,0.0018497+0.0006205i,0.00093446-0.00095302i,-0.00062554-0.0014716i,-0.001199-0.0015892i,-0.00028252-0.0012924i,0.00097104-0.00068588i,0.0010661+0.00026675i,0.00041409-0.00024894i,0.00059817-0.0010566i,0.0010649-0.00054556i,0.00075165-0.00047329i,-0.00013045-0.00053853i,-0.00039281-0.00027185i,0.00056991+0.00011837i,0.00038769+0.00056094i,-0.00043036+7.7557e-06i,-3.4854e-05-0.00064625i,0.00026837-0.00048324i,-3.5395e-05-0.00020525i,9.6186e-05+1.456e-05i
0.0014044+0.002598i,0.0019717+0.0020005i,0.0027554-8.4413e-05i,0.0024497-0.0018797i,0.00041624-0.003022i,-0.00075839-0.0024675i,-0.00095933-0.0010346i,-0.00065853+9.8523e-05i,-0.00070613-1.6855e-05i,-0.0010061-0.00019485i,0.00035574-0.0008724i,0.0013639-0.0013014i,0.00037087-0.00065413i,-0.00015686+0.00052534i,7.4411e-05+0.00079478i,0.00065281+0.00013608i,0.0011709+0.00011101i,0.0008138+0.00016554i,1.7874e-05-0.0002812i,-0.00083643-0.0001537i,-0.0009781+0.0005236i,-0.0002376+0.00044479i,0.0006416-0.00034596i
-0.0018471-0.0018617i,-0.0023147-0.0013088i,-0.0027409-0.00022547i,-0.0023045+0.00030549i,-0.00098209+0.00087546i,-0.00026158+5.2234e-05i,-0.00032265-0.00049358i,0.00024712-0.00033044i,0.00035039-0.00048415i,-0.00022796-0.00025973i,-0.00053599-0.001621i,-0.00024395-0.0023506i,0.00039642-0.00073995i,0.00088756-0.00019373i,0.00015483-0.0003129i,-0.0010771-0.00067926i,-0.0012005-0.00013623i,-0.0012377+0.00046764i,-0.00053362+0.00045974i,0.00056272+0.00041314i,0.00023227+0.00027555i,8.2331e-06-0.00013021i,0.00076265-0.00039963i
0.00093996-0.001578i,0.0011271-0.00096605i,0.00027798-0.00017784i,-0.00072943-0.00035916i,-0.00098776-3.6514e-06i,-0.001134+0.00065802i,-0.0012121+0.0002162i,-0.00049538-0.00049093i,0.00024291-0.00091645i,0.00046744-0.00048521i,-5.0823e-05+0.00023396i,-0.00043834+0.00014811i,-0.00021967-0.00024456i,6.806e-05-0.00039469i,0.00033903-0.00025891i,0.0010074-0.00020611i,0.0011148-0.00049865i,0.00045662-0.00043117i,-0.00030015+1.491e-05i,0.00010226+0.00036141i,0.00048848+0.00055624i,0.00028665+0.00052527i,0.00010739+0.00045241i
-0.0014513-0.00055747i,-0.00094578-0.00028885i,5.886e-06+0.00013539i,-0.00011666-1.2261e-05i,-0.00089778-0.00028583i,-0.0021221-7.974e-05i,-0.0017711+0.00066894i,-0.00097235+0.00055138i,-0.00042354+0.00046434i,0.00056747+0.0014069i,0.00074079+0.0013618i,9.9097e-05+0.00038133i,-0.00047417-0.0004846i,-0.00096414-0.00043843i,-0.00066841-0.00070233i,0.00057724-0.0007998i,0.00054288-0.00018087i,-9.1793e-05-0.00010348i,8.7005e-05-0.00059417i,0.00027764-0.00094814i,-0.00029229-0.00081813i,-0.00055696-0.00013498i,-0.00040812+0.00026898i
-0.0011235-0.0013383i,-0.00091017-0.00081471i,-0.0018215-0.00031668i,-0.0018143-0.0003248i,-0.0010278-0.0005958i,-0.00048401-0.00022787i,9.7342e-05-0.00036699i,0.00032693-0.00084303i,0.00035108-0.00065366i,0.00062788-0.00010743i,0.0003257+0.00058866i,0.00045399+0.00085546i,0.00055913+0.00068376i,0.000641+0.00028682i,0.00077282+0.00014765i,-6.4422e-05-1.8288e-05i,-0.00044576+6.6616e-05i,-5.9313e-05+5.8527e-05i,0.00061209-9.7904e-05i,0.00040615-0.00028888i,0.00059473-0.00071284i,0.0012074-0.00085235i,0.00058111-0.00043837i
-0.00052376-0.00076907i,-0.00050011-0.00065447i,-0.0004177+0.00059475i,-0.0010293+0.0011632i,-0.00092187-0.0012002i,9.4587e-05-0.0027102i,0.0001937-0.0018877i,-0.0004077-0.00098726i,-0.00077863-0.00046095i,-0.00030785-0.00031905i,1.6145e-05-0.00078274i,0.00038671-0.00065123i,0.0012589+0.00030331i,0.0011882+0.00047438i,0.00015211-0.00046439i,-0.0005639-0.0010887i,-0.00090976-0.00054056i,-0.0010074-0.0001409i,-0.0008432-0.0003633i,-0.00027343+0.00041323i,-0.00032342+0.00087325i,-0.00046482+0.00047884i,-1.8861e-05-1.1066e-05i
0.0011624-0.00080368i,0.00099037-0.00060788i,0.00047192-0.0013651i,-0.00035239-0.0021689i,-0.0013934-0.0016222i,-0.0024534-0.001702i,-0.0021267-0.0015103i,0.00015983-0.00065782i,0.00097639+0.00026606i,8.2964e-05+0.00012816i,-0.00039639-0.0004951i,-0.00012118-0.00049008i,-0.00024066+0.00025263i,-0.00033179-1.8536e-05i,-0.00015253-0.0011514i,0.00031607-0.00081607i,0.00065273+9.3264e-05i,6.4088e-05-0.00034399i,-0.00039561-0.0011814i,-0.00048525-0.00092297i,-0.00038761-0.00068347i,-7.4325e-06-0.00041464i,-1.7302e-05+0.00041914i
-0.00040836+8.5553e-05i,-0.00088318-0.00082287i,8.8941e-06+0.00012693i,0.00083949+0.00037945i,1.4036e-05-0.00037762i,-0.00081348-0.00020058i,-0.0005289+0.00030193i,-0.00011041+0.00050733i,-4.1934e-05+9.485e-05i,7.6183e-05-0.00090662i,0.00039235-0.00161i,-9.5685e-05-0.0010532i,-0.00039823-0.00065104i,-0.00041789-0.00052921i,-0.00035062-5.7063e-05i,-3.7803e-05+0.00033512i,-0.00024075+1.8807e-05i,-0.00021293-0.00058294i,-5.9608e-05-0.00043995i,-1.0291e-05-0.00013216i,0.00066176+0.00015398i,0.00057097-0.00012i,-0.00026417-0.00017122i
-0.00037731+0.00031421i,0.00045252+9.6558e-05i,0.00030689+0.00031973i,-0.00050254+0.00014631i,-0.00093083-0.00084645i,-0.00083489-0.0015026i,-0.00070141-0.001466i,-0.00073649-0.00076743i,-0.00084094+0.00051693i,-0.00094645+0.0008486i,-0.0010191+0.00089135i,-0.00032694+0.00034152i,0.00057606-0.00018606i,0.00074034-0.00030161i,-4.7716e-05-0.00057412i,-0.00019964-0.00076015i,-0.00011215-2.3768e-05i,-0.00041199+0.00027102i,4.9481e-05-0.00089843i,-0.00012889-0.0010758i,-0.0010631-0.00021327i,-0.00060203-4.0595e-05i,-6.8129e-05-0.00013684i
-0.00036454+0.00063525i,-0.00043275+0.00099658i,-0.00066265+0.00091475i,-5.9108e-05+0.00048598i,0.0010075-0.0001552i,0.00082981-0.0014332i,-0.00066407-0.0021361i,0.00011479-0.00092125i,0.0011348+0.00072528i,0.00068745+0.00061207i,0.00070462+1.1631e-05i,0.00013157+0.00048885i,-0.00083343+0.00080627i,-0.00034062+0.0002197i,-9.4999e-05+8.4131e-06i,5.8927e-05-8.4395e-05i,0.00018351-0.00015879i,0.00059796-0.00039501i,0.0017865-5.4246e-05i,0.0016493+0.00073546i,0.00097155+0.00016844i,0.00037399-0.00060619i,-0.00042464-0.0010516i
0.0030487-0.00059463i,0.00348-0.0010898i,0.0017284-0.0015694i,-0.00067727-0.002047i,-0.0014231-0.0019713i,-0.0012951-0.0005854i,-0.00085725-3.6412e-05i,-0.00012285-0.00036966i,0.00034236-0.000474i,5.7936e-05-8.0021e-05i,-7.9714e-05+0.00035306i,-6.1274e-05+0.00051147i,-0.00041758+0.00086512i,6.3504e-05+0.0008561i,4.6607e-05+0.00079603i,-0.00089411+6.8814e-05i,-0.00091327-0.00083674i,-0.00017288-0.00096667i,0.00056919-0.00042048i,0.00057242+0.00052198i,2.8199e-05+0.00054509i,3.5558e-05+0.00037456i,0.00039978+0.00038502i
-0.002425+0.0007226i,-0.0031187+0.00070166i,-0.0031725+0.00079285i,-0.0016874+0.00077611i,2.5527e-05+0.00028075i,0.00040804-0.00086236i,-0.00045921-0.0013063i,-0.00083677+0.00012078i,-0.00067258+0.00079285i,-0.00052547+0.00015719i,-0.00028473-0.00037481i,0.00037641-0.00051702i,0.00064023-0.00051715i,0.00034384-0.00049914i,4.9802e-05-0.00041594i,-0.00083553-0.00070065i,-0.0013304-0.00072395i,-0.0006999-8.8093e-05i,-0.00023591-8.3172e-05i,-0.00011479-3.9977e-05i,-0.00024895-7.969e-05i,-0.0004857-3.9435e-05i,-0.00092401-2.8185e-06i
-0.00046607-0.0010801i,-2.9863e-05-0.0012596i,-0.00031505+0.00071723i,-0.00058562+0.0007594i,-0.00053696+0.00025513i,-0.00093892+0.0005021i,-0.00075701+0.0002866i,-1.6202e-05-1.4441e-05i,0.00056867+7.002e-05i,8.8874e-05-0.00040698i,-0.00026374-0.0010624i,0.00055611-0.0010325i,0.0006552-0.0013525i,0.00028772-0.00080653i,0.00042614-0.00021321i,0.00018976+6.1228e-05i,-3.5703e-05-1.3811e-05i,0.000454+4.5152e-05i,0.00075285+0.00010492i,0.00078484+0.00015542i,0.00049393+0.0011469i,-0.00015569+0.00054097i,-0.00033152-0.00080454i
-0.00021013-0.0017779i,-0.0011691-0.0025322i,-0.0016431-0.001769i,-0.0015911-0.00073981i,-0.0014461-0.00025598i,-0.001446-0.00028805i,-0.0011672-0.00018641i,-0.0004485-0.00024408i,0.00027084-0.00069256i,0.00034502-0.00088227i,-0.00033733-0.00098439i,-0.00060932-0.00051433i,-7.9766e-05-0.00027493i,7.8179e-05-0.00031912i,-9.8199e-06+6.945e-06i,5.9985e-06+0.00043944i,0.00044512+0.00041173i,6.6284e-05+0.00029473i,-0.00039085+0.00019853i,-8.3068e-05+0.00013647i,-0.0003265+0.00024093i,-9.2163e-05+0.00020823i,-0.0003799+0.0004932i
0.001671-0.0019818i,0.0013222-0.0010544i,-0.00014875-0.0010422i,-0.0010117-0.00087249i,-0.0015495+0.00021009i,-0.0012195+0.00025726i,-0.00063742-0.00061343i,-0.00051663-0.0002075i,-0.00050156+0.00038238i,-0.00095141+0.00019652i,-0.0013929-0.00024072i,-0.001134+4.1483e-05i,-0.00049812+0.00024595i,0.00021798+0.00015321i,0.00019943+0.00031201i,-0.00045791-0.00056082i,-0.00088577-0.00086031i,-0.0011506-0.00040088i,-0.00069176+0.00016431i,1.4533e-05-7.0684e-05i,-0.00014537-0.00036505i,-7.8331e-05+0.00014414i,8.7138e-05+0.00026574i
0.00033748+0.00055489i,-7.2947e-05+0.00033019i,-5.2533e-06+0.00057582i,0.00052377+0.00036884i,0.00020123-0.0014225i,-0.00069508-0.0017817i,-0.00136-0.00065964i,-0.0010391-0.0010248i,9.1981e-05-0.00094262i,0.00041175-0.00025495i,-0.00040726+0.0006786i,-0.00081203+0.0010969i,-0.00066856+0.00035298i,-0.00031297-0.00031223i,4.9494e-05+0.00015243i,-5.608e-05+2.8453e-05i,1.0016e-05-0.0009421i,0.00012219-0.00095808i,0.00058636+0.00037991i,0.00069494+0.00071262i,0.00046268+8.7973e-05i,0.00057286-0.00050109i,0.00081821-0.00029318i
0.00041004+0.00098383i,0.00019721+0.0016738i,-0.00090284+0.002104i,-0.0014605+0.0013308i,-0.0015567-5.0444e-05i,-0.0019185-0.00071106i,-0.002058-0.0011301i,-0.0014853-0.00038924i,-0.00090455+9.8612e-05i,0.00017527-0.00052865i,0.0005202-6.2614e-05i,0.00083168+0.00024954i,0.00076175+0.00045314i,0.00063658+0.00013061i,0.00070268+6.2886e-05i,0.00047559+0.0003378i,0.00026021-0.00041687i,0.00078233-0.00091114i,0.00049101-0.0010932i,-0.00064786-0.00053254i,-0.00013173+0.00021644i,0.00055511+0.00038973i,0.00047277+0.0010467i
0.00082717-0.0018438i,-0.00017679-0.0025819i,-0.00057032-0.0021175i,-0.00021451-0.0012531i,-0.0011606-0.00039718i,-0.0018098-0.00076655i,-0.00085721-0.0011389i,-0.00012428-0.00021356i,-0.00042876-0.00040716i,0.00013273-0.00068245i,0.0010186-0.00018383i,0.00059597+0.00020942i,-8.6114e-05+0.00037116i,-0.00034711+0.00039786i,-0.00059727+0.00072454i,-0.0006941+0.00028353i,-0.00058791-0.00071261i,-0.00054365-0.00017391i,-0.00055202+0.00095106i,-0.00080396+0.0006265i,-0.00015463+0.00034708i,-0.00018401+0.00053996i,-0.00087748+0.00016481i
0.0015748-0.00082047i,0.0009802+7.0702e-05i,0.0013769-0.00052347i,0.00070519-0.0017444i,-0.00081036-0.0023892i,-0.0014387-0.001244i,-0.00086853-0.00013037i,-5.3975e-06-0.0001707i,0.00093236+0.00031921i,0.0011394+0.00018945i,0.00029686-0.00082356i,-0.00045215-0.00098633i,0.00023163-0.00078527i,0.00037859+0.00019366i,-0.0010295+0.000761i,-0.00085375+0.00021275i,-0.00012581-0.00024994i,-0.00048122-0.00018382i,-0.00094437-0.00036884i,-9.8348e-05+0.00025041i,0.00085867+0.0011226i,0.00081773+0.0013496i,0.00042555+0.0014156i
-0.0011129-4.0855e-05i,-0.00012571-0.00063249i,0.0012618+7.4271e-05i,0.0022295+0.00055665i,0.00097919+5.3002e-05i,-0.00087596-0.0011151i,-0.00053225-0.0016234i,5.1856e-05-0.00051753i,0.0001656-0.00010397i,-4.1651e-05-0.00040476i,-0.00013084-0.00051866i,0.00048569-0.00025415i,0.00077952+0.00036467i,0.00082452+0.0004119i,0.00083398-0.00017495i,0.00029966-0.00071919i,-0.0006043-0.0004729i,-0.0012426-0.00061434i,-0.00093081-0.00058257i,-0.00079494-2.6134e-05i,-0.0009073-4.5587e-06i,-0.00070501+0.00019153i,-0.00020951+0.00048509i
0.00022087-0.0014817i,-0.0014623-0.0014035i,-0.0017175+0.00029769i,-0.00073833+0.00096677i,-0.0005319+0.00022493i,-0.00045286-0.00072827i,-0.000641-0.0010689i,-0.00069559-0.001331i,-0.00015579-0.0013188i,0.00070244-0.0007967i,0.00060652+4.2137e-05i,-3.1699e-05+3.5794e-05i,3.4236e-05-0.00052843i,-0.00087473-0.00044132i,-0.0010886-0.0001834i,0.0003023-0.00020871i,0.00028711+0.0005855i,-2.4848e-05+0.0001026i,6.7295e-05-0.00082611i,0.00064318-0.0003889i,0.0013232-0.0004392i,0.0010154-0.00033455i,0.00051849+0.00065027i
-0.0009929-0.001409i,-0.00077231-0.00060344i,-0.00091093+0.00054771i,-0.00060064+0.00066761i,-0.00015345+0.00014802i,-0.00044303-0.00047759i,-0.00074233-0.00068555i,-0.00067581-0.00048373i,-0.00066913+0.00033153i,-0.00062152+0.00076926i,-0.0010069-6.9888e-06i,-0.00030004+0.00035106i,-0.00020093+0.00033254i,-0.00081311-0.00051288i,-0.00056538-0.00031312i,-0.00045752-0.00011464i,-0.00074504-0.00039408i,-0.00051345-9.3623e-05i,0.00026147+0.00031263i,0.00058194-9.4241e-06i,-0.00019986-0.0002978i,-0.00024268-7.5606e-05i,0.00014653-0.00020735i
0.0011787+0.00098697i,0.0020322+0.00023203i,0.0017735-0.00067449i,0.00055428-0.0010681i,-0.00036955-0.00090574i,-0.00071823-0.00080622i,-0.00078642-0.00099254i,-0.00053549-0.00078327i,-0.00055658+0.00044624i,-0.00091678+0.00099399i,-0.0008563+0.00087105i,-0.00052698+0.00055954i,-0.00062238+0.00011764i,0.00012834-4.7861e-05i,0.00028169+0.00058194i,-0.0002742+0.00044546i,0.00020845-0.0010492i,0.00071141-0.00094079i,0.00030606-0.00063235i,-0.00017701-0.00067324i,-0.00068601-0.00036302i,-0.00053319-0.00026744i,-6.2338e-05+7.717e-05i
-0.00091086+0.0011701i,-0.0019927+0.00070668i,-0.0018988+0.0015134i,-0.00096988+0.0009973i,-0.00051345-0.00053042i,-0.0002759-0.0015957i,-0.00024326-0.0016617i,-0.00070063-0.0010145i,-0.00040755+0.00037966i,0.00015516+0.0013994i,0.00018926+0.00096314i,-1.45e-05-0.00032695i,-0.00030984-0.00044099i,-0.00021218-0.00020319i,7.0382e-05-0.00030344i,0.0001842-0.00028741i,-0.00014555-0.00013151i,-0.000195+0.00013882i,-0.00014303+0.00017363i,-0.00038123+0.00025379i,-0.0006905-0.00026921i,-0.00048761-0.0008103i,6.1566e-05-0.00049059i
