-0.0015055+0.00055566i,-0.0012495+0.0012356i,-0.0015334+0.0021231i,-0.00082461+0.0017862i,-0.00020814+0.0018395i,-0.00092409+0.0018092i,-0.00057474+0.0014518i,0.00052232+0.00095664i,0.00070075+7.2377e-05i,0.00054724-0.00085956i,0.00060768-0.0016484i,0.00045635-0.0013479i,0.00051682-0.00065665i,0.00045203+0.00044908i,0.00031425+0.00048496i,0.0009518-0.00020067i,0.00084393+0.00021599i,0.00052771-9.4904e-05i,4.1092e-06-0.00071391i,-0.00041219-0.00033026i,-0.00050212-8.3933e-05i,-0.00070006-0.00010081i,-0.00016623+0.00046782i
-0.0002643-0.00017883i,-0.00055168-0.00063147i,-0.0012518-4.5464e-05i,-0.00097789+0.00058946i,-0.00034318+0.00046727i,0.00012521-0.0010924i,0.0002878-0.0014936i,0.0011094-0.0010111i,0.00098772-0.00051563i,0.00058058+0.00055641i,0.00015741+0.00073237i,-0.00072427-4.6422e-05i,-0.00051232-0.00065202i,0.00017296-0.00053717i,0.00037101-0.00015953i,-0.00058803-0.00033687i,-0.0010389-0.00014259i,-0.00050694+0.00033132i,0.00057136-3.4478e-05i,0.00057053-0.0003412i,4.7456e-05-0.00015349i,0.00082358-5.4103e-05i,0.0012866+0.00021127i
-0.00039017-0.00072415i,-0.00035049+0.00033842i,0.0010161+0.00086134i,0.0018121+0.00041275i,0.0012017-1.4207e-05i,0.00064346-0.0006897i,0.00073195-0.00097326i,0.00087582-0.0012907i,0.00050717-0.0010937i,0.00020598-0.0004467i,0.00037545-0.00020098i,0.00019794-0.00042622i,0.00032948-0.00044193i,0.00074701-0.0003426i,0.00026701-0.00039978i,0.0001861-0.00021614i,0.00038803+0.00015369i,0.00039586+0.00024082i,0.00056095+2.5681e-05i,8.7525e-06-0.00040067i,-0.00040342-7.1141e-05i,-0.00026625+0.00011621i,0.0002607-0.00026672i
0.00071934+0.0017037i,0.00081336+0.0013026i,0.00050838+0.00081442i,0.00033601+0.00018376i,0.00015932+0.00023376i,-0.00066075-0.00019565i,-0.00041002-0.00030413i,0.00033163+2.1789e-05i,0.00052003-0.0001583i,0.00034535-0.00054174i,0.00026366-0.00069285i,0.00013656-0.00064655i,-0.00014129-0.00027936i,-0.00030203-0.00036706i,-0.00068445-0.00055223i,-0.00067487+0.0005267i,-0.00062477+0.00059101i,3.6099e-05+0.00019907i,0.00031028+9.5874e-05i,-0.00024406+0.00011239i,0.00014914+0.00037863i,0.00052065+0.00031576i,6.5619e-06+0.00014775i
0.0010641+0.00034223i,0.0010016+0.00023278i,0.0003975-0.00032968i,0.00036793-0.00051859i,0.00084269+0.00023965i,0.0010383+0.00088547i,0.0011779+0.00022176i,0.00069005+0.00019702i,-0.00049+0.00052242i,-0.00032835-0.00013274i,0.00026022-0.00039407i,0.00024951+0.00031371i,-0.00026586+6.2986e-05i,-0.00061119+0.00030205i,-0.00066172+0.00069596i,-0.00045412-1.0149e-05i,-2.7628e-05-0.00010143i,-0.0001271+8.8118e-05i,-0.0003908+9.3472e-05i,0.0001302-0.00023344i,0.00026446-0.00080999i,0.00049939-0.00040369i,4.1734e-05+0.00015519i
0.00056673+0.0002635i,0.00050853-0.0014422i,0.0015082-0.0019218i,0.00087089-0.0010269i,-0.00010166-0.0010896i,-0.0006597-0.00035879i,-0.00062984+0.00021359i,4.671e-05-0.00015242i,0.00015871-0.00036299i,0.00025407-4.0315e-05i,-2.7424e-05+0.00022128i,-0.00069284+0.00041323i,-0.00075053+0.00060256i,-0.0011363+0.00043116i,-0.0013554+0.00034151i,-0.00088077+0.0013086i,-0.00058523+0.0017842i,-0.00016326+0.00095611i,-0.00051805+0.00046227i,-0.00093077+7.294e-05i,-0.00088012-0.00037007i,-0.00052555-0.00056486i,-0.00038663-0.00015693i
-0.0013579+0.0019266i,-0.00076161+0.0016479i,-6.4717e-05+0.0012719i,-0.00034392+0.00083719i,-0.00044533+0.00046611i,0.00074594-0.0001746i,0.001128-0.00056767i,0.00025609-0.00014575i,-4.2329e-05+0.00013704i,0.00019473-0.00028183i,-5.0556e-05-0.00030076i,-0.00056205-0.0001948i,-0.0014951-0.00059682i,-0.0014735-0.0011586i,-0.00071107-0.0010441i,-0.00027498-0.0003652i,-1.7755e-05+0.0004765i,5.8868e-05+0.00062734i,-0.00069171+0.0010199i,-0.0006937+0.00071239i,0.00052236-0.00010001i,0.0002646-0.00024249i,-0.00025708-4.4773e-05i
-0.00050202+0.00081511i,-0.00039667+0.00081981i,0.00016125+0.00046526i,0.00096874-0.00058248i,0.0010739-0.00079331i,0.0013948-0.00021149i,0.0014213-0.00036708i,0.00087902-0.00067365i,0.00024611-0.00044113i,-0.00018361+9.1826e-05i,-0.00030564-5.3616e-06i,-0.00013423-0.00077991i,0.00035383-0.0010981i,0.00048343-0.00074036i,0.00035468-0.00050205i,-0.0002963+0.00039498i,-0.00020829+0.00070782i,0.00028049+0.00011343i,0.00079082-1.0499e-05i,0.00060703-9.5705e-06i,0.00037641+0.00019306i,0.00055457+0.00036876i,1.7462e-05+0.00019804i
-0.00046139+7.8758e-05i,-0.00041279+0.0010298i,-0.00071836+0.0018839i,-0.00036817+0.0015242i,0.00048606+0.00085172i,0.0012126+0.00013203i,0.0011757-0.00037981i,0.00062995-0.0010134i,0.00016456-0.00092213i,0.00026571-0.00097224i,0.00049042-0.0013634i,0.00059371-0.0009056i,0.00072934-2.1167e-05i,0.00082011+6.1333e-05i,-0.00013527-0.00028488i,-0.0006988-0.00019986i,-0.00019852-0.00076938i,9.1304e-05-0.00064181i,0.00031563+0.0004245i,0.0010167+0.00013715i,0.00055248-0.00077893i,3.8369e-05-0.0011633i,-8.4338e-06-0.00092565i
-0.00054488+0.0010087i,0.0001769+0.000576i,0.0015352+0.00041161i,0.0015828-0.0004601i,0.0014754-0.0013018i,0.00065773-0.0011785i,-0.0010464-0.00044823i,-0.0011779+0.00086317i,8.4467e-05+0.0015381i,0.00041178+0.00024413i,0.00048858-0.00061754i,0.00033762-0.00041564i,-0.000534-0.00044969i,-0.00090322-0.00041782i,-0.0013816-0.00028841i,-0.0011184+0.00014841i,-0.00023088+0.00063931i,-0.000123+0.00032582i,2.4831e-05+0.00015531i,-0.00048556+0.00089497i,-0.00090332+0.00084244i,-0.00048702-0.00042049i,0.00011477-0.00097202i
-0.0001237-0.00049358i,0.00022555-0.0013647i,0.00085967-0.0017712i,0.00014262-0.00087448i,0.00023289-1.6712e-05i,0.00080623-0.00016466i,0.00025917-0.00053064i,0.00022554-0.00094518i,0.00044886-0.00043162i,0.00016199-6.5923e-06i,6.7534e-05-8.1543e-05i,-0.00023541+0.00045231i,-0.00079361+0.00081831i,-0.00125+0.00072897i,-0.00067929+0.00037988i,-0.00034017+0.0002319i,-0.00046762+0.00057031i,4.0141e-05+0.00028645i,0.00018259-0.00056935i,0.00047307-0.00092359i,0.00061471-3.2562e-05i,0.0005501+0.00037841i,-0.0001185-0.00042094i
-0.00019377+0.0012237i,-0.00052057+0.0022831i,2.4475e-05+0.0023364i,0.00097095+0.0015095i,0.001365+0.00067576i,0.0016239-3.2951e-05i,0.00073123-0.00095734i,-0.00028109-0.0012257i,-0.00016838-0.00048618i,-0.0001944-0.00025127i,-0.00021963-0.0013304i,-0.00028057-0.0016968i,-0.00047565-0.00018179i,-0.001133+0.00011839i,-0.00074795-0.0011699i,0.00099818-0.0010934i,0.0011301+0.00019499i,6.3894e-05+0.00035696i,-4.5861e-05-0.00016439i,0.00060533+0.00056555i,0.00049794+0.0013956i,0.00027293+0.00041355i,-0.00049143-0.00081764i
3.7264e-05-0.00054787i,0.00053095-0.001159i,0.0003703-0.00083953i,-0.00010889+6.4964e-05i,0.00039149+0.00087997i,0.00033495+0.0002642i,0.000588-0.00056187i,0.0011153-6.2861e-05i,0.00092347+0.00031027i,-0.00021581-0.00047757i,-0.00062718-0.0008546i,-3.3754e-05-0.00019048i,0.00040487+0.00053423i,0.00055043+0.00062282i,0.00028329+0.00046687i,0.0008319+0.00059274i,0.00049354+0.00079347i,-0.00043952+0.00096279i,8.6857e-05+0.00048377i,-0.00024511-0.00046186i,-0.00051369-0.00072209i,-0.00012102-0.00035869i,0.00026884-0.00029532i
0.0013078-0.0015138i,0.001498-0.0010582i,0.0010039-0.0017832i,0.00066108-0.0011962i,0.00010154+0.0001502i,0.00031279+0.00081986i,0.0010254+0.00047053i,0.0010939-0.00068555i,0.00098737-0.0012274i,0.00045683-0.00020814i,-0.0005405+0.00076221i,-0.0006052+0.00096272i,-0.00023456+0.00069499i,-0.00029671+0.00028994i,-4.3808e-05+0.00019718i,-0.0001341-0.00013912i,-0.00014388-0.00024809i,-0.00048779+0.00030014i,-0.0002751+0.00069137i,0.00041049+0.00070147i,0.00064118+0.00026584i,0.00068914+0.00056207i,-0.00025122+0.00030123i
0.00082201+0.0017505i,0.00089323+0.0021737i,0.00089786+0.0013955i,0.0016765+0.00052057i,0.0013417-0.00061439i,0.00069104-0.00091148i,0.00027909-0.00058679i,-0.00052315+0.00012463i,-4.8912e-05+0.00047169i,-5.8833e-05-0.00029899i,-0.00038899-0.00079982i,-9.8599e-07-0.00010505i,-0.00057216+0.00025042i,-0.0012572+0.00016352i,-0.00083515+9.0842e-05i,6.119e-05-0.00026519i,0.00029497+0.00022087i,0.00096241+0.0011817i,0.00039485+0.0013266i,-0.00081037+0.00061396i,-0.00051559+0.0002901i,-0.00014951+0.00045164i,-0.00080238-3.9085e-05i
-0.0017624+8.5115e-05i,-0.0015495-7.3249e-05i,-0.00045916-0.00061471i,0.00033548+0.0002518i,0.00049904+0.0011273i,0.0010656-6.6888e-05i,0.0016878-0.00093993i,0.0014299-0.00011168i,0.0006128+0.00059563i,0.00022666+0.00048199i,6.6156e-05+0.00060641i,7.1061e-05+4.3284e-05i,2.1141e-06-0.00046147i,0.00018281-0.00058776i,0.00077225-0.00065844i,0.0010804-0.00028452i,0.00085469+0.00018621i,0.00047418-0.00017364i,0.0003254-0.00093766i,0.00018385-0.0010952i,4.3928e-05-0.00072435i,0.00030288-0.00040939i,0.00016646-0.00030683i
-0.00062127+0.0014373i,-0.00088528+0.0013163i,0.00082575+0.0011672i,0.0018689+0.00059326i,0.0019008-0.00097522i,0.0016122-0.00053237i,0.00051995+0.00019243i,-9.3583e-07-0.0001565i,0.00042279-0.00045871i,0.00089281-0.00049251i,0.0012446-0.00079429i,0.0011693-0.00086349i,0.00048487-0.00040312i,-0.00011844-4.8139e-06i,-0.00036298-0.00017951i,-0.00028109-0.00021722i,0.00017846-0.00074838i,-0.0002277-0.00078031i,-0.00089457+0.00038519i,-0.00046324+0.00010204i,8.6879e-05-0.00057171i,0.00031939-8.6817e-06i,0.00016547+0.00077174i
-0.00095755-0.00047i,-0.0011132+0.00073482i,-0.0014712+0.0017349i,-0.00085362+0.0012471i,0.00036341+0.00066961i,0.0010287+0.00030276i,0.00083878+0.0002586i,-6.6858e-05+0.00016127i,-0.00060169-0.00047738i,-0.0002366-0.00070426i,-0.00017594-0.00091154i,-0.00019564-0.0004109i,-0.00013007-6.9432e-05i,7.6609e-05-0.00042276i,0.00031001-0.00022641i,0.00015557+0.0003844i,0.00064676+0.00042786i,0.00076814-2.0207e-06i,0.00031876-3.1026e-05i,0.00011032-2.4036e-05i,-0.00011876+6.5269e-05i,0.00033227+0.00028846i,0.00078247+0.00059712i
-0.00057182+0.00010165i,-0.00042026-0.0003424i,-0.00050456-0.0001393i,0.00020098+0.0006097i,0.0011454+0.0011239i,0.0014635+0.00056799i,0.0010044-0.00044819i,-2.6253e-05-0.0011354i,-0.00054433-0.00066705i,-0.00063596+0.00027612i,-0.0002231+0.00039255i,0.00062937+0.00030108i,0.00086625+1.5945e-05i,0.00059987-0.00071071i,0.00025911-0.00076777i,-0.0001207-0.00022776i,0.00044009+0.00011025i,0.00068355+0.00015897i,0.00029036-0.00019048i,0.00013327+0.00014486i,-0.00031383+0.00096847i,-0.00058227+0.0014605i,-0.00060761+0.0012705i
0.00043177-0.00023362i,0.00035806-0.0010091i,0.00090286-0.0013275i,0.00025547-0.00016467i,-0.00084494-2.3969e-05i,-0.0003022-0.00056064i,0.00045378-0.0006628i,-3.1578e-06-0.001402i,-0.00027595-0.0016582i,-0.00024659-0.001172i,-0.0005487-0.00022227i,-0.0010311+0.00069104i,-0.0012517+0.00096092i,-0.00076827+0.00072847i,-0.00017506+0.00042491i,-0.00078536+0.00022481i,-0.00036937-0.00038572i,-7.163e-05-0.00014333i,-0.00013815+0.00051389i,0.00056195+0.00021402i,0.00041508+4.0599e-05i,0.00020736+0.00037604i,8.0375e-05+0.00072593i
0.00056082-0.00093213i,0.00073057-0.0014521i,0.00075513-0.0013203i,2.5928e-05-0.002211i,-0.00025278-0.0022121i,4.1767e-05-0.0004889i,0.00090063+0.00036929i,0.0010262-2.6874e-05i,0.00048274-0.00030113i,-0.00031681-0.00089428i,-0.00048603-0.00089883i,4.8029e-05+0.00041055i,0.00065198+0.00087117i,0.00075557+0.00069333i,0.00045679+0.00071838i,-0.00079046+0.00028221i,-0.0010199+0.00044645i,-4.0957e-05+0.00015221i,0.00033594+0.00049651i,0.00029729+0.00041698i,0.00033867-0.00015726i,0.00019047-5.983e-05i,-4.5481e-05+0.00036776i
0.00044523-0.00046688i,0.0015696-0.0003441i,0.00083588-0.00050356i,0.00024908-0.00057672i,0.00077817+0.00037184i,0.00029978+0.00072668i,0.00010683-0.00021836i,0.00054628-0.00095635i,0.00083966-0.00069395i,0.00037891-0.00053775i,0.00023125-0.00070195i,0.00029496-0.00023402i,-0.00019606+0.00037437i,-0.00012948+0.00046775i,0.00049764+0.00077654i,0.00045735+0.00059224i,5.3845e-05+0.00077699i,0.00059405+0.00079006i,0.0010938-0.00034307i,-0.00025257-0.00082138i,-0.00065165-0.00080513i,-0.00022231-0.0011653i,0.00029652-0.001302i
-0.0004825-0.0017506i,-0.00075928-0.0017928i,-0.0011892-0.0015597i,-0.0010968-0.00032145i,-0.0005808+0.00083611i,0.00066424+0.00077436i,0.0013741-9.2399e-05i,0.00044784-0.00071575i,-0.00021322-0.0011796i,-0.00019797-0.0010145i,-0.00012768+0.00036965i,-0.0003045+0.0011073i,-0.00073627+0.00047717i,-0.00013926+0.00017014i,0.00047885+0.00016779i,0.00018224+0.00055832i,0.00038855+0.00075276i,0.00072686+0.0011162i,-5.8734e-05+0.00096368i,-0.00044105-0.00021883i,-0.00020974-0.00077801i,0.00043337+0.00010323i,0.00098414+0.00098237i
-0.0010875+0.00013588i,-0.0003005+0.00067245i,-0.00010608-0.00062813i,-0.00064119-0.00065042i,-0.00048095+0.00051915i,0.00088997+0.00082904i,0.0012122-0.00043502i,0.00054089-0.00075451i,0.00015921-0.00046053i,0.0002192-0.0010852i,3.0802e-05-0.00074515i,-0.00043971-0.00028661i,-7.5155e-05-0.00070685i,0.00011152-0.00047899i,0.00023291+0.00019358i,0.00050297+0.00052006i,0.00024655+0.00030777i,0.00034612-0.00011343i,0.00056293-0.00067201i,0.00045353-0.00059731i,0.00064463+0.0005175i,0.00062628+0.00075074i,0.00021056+0.00073601i
-0.00033098-0.0017918i,-0.00072676-0.00043716i,0.0001549+0.00021101i,0.00034514+0.0007224i,0.00021115+0.0014128i,0.0010253+0.0014824i,0.0014527+0.00046076i,0.0011124-0.00041162i,0.0010807-5.6042e-05i,0.00056099+0.00055633i,-0.0007381+7.6433e-05i,-0.00079638-0.00064981i,-5.7058e-05-0.0007336i,0.00041743-0.00028812i,0.00089006-0.00019088i,0.00067253+0.00014357i,-7.7012e-06+0.00077315i,0.0001538+0.00030854i,0.00027009-0.00037719i,0.00014101-0.00064872i,-4.9341e-05-0.00020436i,0.00013163+0.00032336i,0.00052552+0.00085943i
0.00042495+0.0017793i,0.00011007+0.00090604i,0.0002675+5.0272e-06i,0.00057816-0.0008671i,0.00041044-0.00082567i,0.00024149-0.00052161i,-0.00034409-0.0009912i,-0.00025721-0.0013906i,0.00033419-0.00064495i,0.00045442-0.00052733i,0.00015333-0.00081394i,-0.00010562-0.00070838i,-0.0003017-0.00029754i,-0.0010116-0.00033833i,-0.0011779-0.00047496i,-0.0006572-0.0003728i,-0.00024499-0.0001262i,4.3415e-05-0.00031982i,-0.00026427-0.00018213i,0.00014779+0.00053781i,0.00034719-1.9445e-05i,-0.00051628-0.00079125i,-0.0004891-0.00034094i
0.0014936-0.00036679i,0.001656-0.00064983i,0.0018019-0.00040001i,0.00080748-0.00067899i,-5.1055e-05-0.00017538i,-0.00025258+0.00032796i,0.00022673-0.00029876i,0.0007564-0.00010205i,0.0003489+2.8685e-05i,1.9098e-05-0.00010944i,-0.00033731-0.00041195i,-0.00017243-1.9245e-05i,-5.5168e-05+0.00059491i,-0.00019959-3.3339e-05i,0.00016954-0.00065124i,2.2075e-05-0.00087747i,-0.00025072-0.00091263i,-0.00025577-0.00084488i,-0.00058385-0.00069915i,-0.00063228-0.00088184i,-0.00024178-0.00087554i,0.00038862-0.00041952i,0.0011377-0.00010777i
-0.0018893+0.00033191i,-0.0011186+0.00071256i,-0.00029587+0.00026541i,-0.00079672-0.00013277i,-0.00094586-0.00047789i,0.0001886-0.0006325i,0.00087143-0.00041654i,1.1621e-05-0.00031867i,-0.00025856-0.00067285i,-0.00011783-0.00021454i,-0.00023965+3.7103e-05i,9.7332e-06+0.00026433i,0.00029638+0.00069533i,5.5448e-05+0.00032113i,-0.000106-0.00053433i,-0.00031036-0.00010449i,-0.00058531+0.0003171i,-0.0004295-0.00019478i,5.1675e-05-0.00021754i,-4.4354e-05+0.00037983i,0.00014907+0.0006322i,0.0010111+0.0003912i,0.0008607+0.00017259i
-0.0016959-0.00034679i,-0.00095973+0.00044557i,-0.00011082+0.00058114i,0.0010938+0.00071725i,0.00069913+0.0010656i,0.00016562-4.1583e-07i,0.00038574-0.00084912i,0.00023519-0.00093745i,-0.00019233-0.0011967i,-0.0005021-0.00058204i,-0.00059701-0.00033994i,-5.0016e-05-9.0685e-05i,0.00021875+0.00030598i,-0.00031188+0.00019034i,-1.672e-05-0.00010684i,0.00021076-0.0001201i,0.00039658-0.00050816i,5.7021e-05-0.0010282i,-0.00053657-0.00066344i,-2.5556e-05-0.00068383i,-3.2232e-05-0.00031178i,-0.00094786+0.00028052i,-0.001093+0.00083693i
-0.0004454-0.00031938i,-0.00013951-0.00044882i,0.00020584-0.0010795i,0.00062073-0.00051825i,0.00081295+0.00025215i,0.00015829+6.2316e-05i,-0.00019196+8.9108e-05i,0.00025542-0.00018258i,0.00047871-0.00038418i,0.00017887-0.00010147i,-5.0959e-05+0.00034534i,-0.00059098+6.0367e-05i,-0.00057313-0.00060929i,-0.00020107-0.00046597i,-0.00046692-5.5889e-05i,-0.00076969-0.00028645i,-0.00056978-0.00015433i,6.994e-05-0.0003408i,0.00073867-8.7783e-05i,0.0010363+0.00044866i,0.00093468-4.51e-05i,0.00082985-0.00016243i,2.6905e-05-0.00015248i
-0.00088107-0.0004652i,-0.00045218-0.00091962i,7.7885e-05-0.001152i,-0.00012523-0.00059833i,0.00020757+0.0011479i,0.00055933+0.0013279i,0.00085818+0.00014798i,0.00044332-0.00067632i,0.00030772-0.00066142i,0.00035945-0.0001773i,-0.00013377-0.00032991i,-0.0005677-0.00073672i,-0.00017746-0.00022954i,4.3106e-05-0.00011056i,-0.00036636-0.00055998i,-0.0007506-0.00079923i,-0.0005416-0.00091047i,-0.00015659-0.00028242i,0.000324+0.00039995i,0.00086515+0.00015687i,0.0011435-0.00042447i,0.00076891+0.00015347i,-0.00044261+0.00060279i
-0.0027307+0.0019173i,-0.0022997+0.0024527i,-0.00086846+0.0025967i,0.0009108+0.0028603i,0.0017776+0.0017574i,0.0017743+0.00026078i,0.0012109-0.00044743i,0.00060358-0.00063384i,-6.6718e-05-0.00038266i,4.5359e-05-8.5307e-05i,0.00025532-0.00053945i,0.00033542-0.00089507i,0.00085016-0.00073856i,0.0012669-0.0010782i,0.0011054-0.00077713i,-3.5907e-05-0.00031329i,-0.00026841-0.00058646i,0.00040949-0.00050409i,0.00030663-7.9084e-05i,-0.00016562-6.6663e-05i,-0.00037227+3.5417e-05i,0.00010434+0.00025548i,0.00026625-0.00025877i
