-0.0041173+0.00034742i,-0.0029617+0.00054204i,-0.0026949+0.0017272i,-0.0031124+0.0019997i,-0.0020522+0.0017971i,0.00063586+0.0011451i,0.0012354+0.00018625i,0.00032426-0.00048361i,-0.00022853-0.00013251i,4.8151e-05+0.00081181i,0.0012002+0.00073361i,0.0016748-0.00022265i,0.0011964-0.0013292i,-0.00014809-0.0015353i,-0.00083859-0.00082828i,6.6767e-05+0.00022084i,-3.9932e-05+0.00054509i,-0.00046227+0.00044199i,-0.00054456+0.00012154i,-0.00065518+0.00020989i,-0.00062712+0.0010954i,-0.00079084+0.0014953i,-0.001125+0.00091335i
-6.2371e-05-0.00047207i,-0.00039127-0.00060294i,-0.00098031-0.00013606i,-0.0012554-0.00035937i,-0.0014351-0.00062643i,-0.00059427-0.00069237i,0.00023293-0.00093063i,0.00059715-0.001236i,0.00041169-0.00091158i,0.00030499+7.6916e-05i,9.4929e-05+0.00038222i,4.2212e-05+0.00027361i,0.00026328+0.00014957i,0.00065732-0.00017589i,0.00031239-0.00020899i,7.6047e-05-0.00018553i,0.00090571+6.3173e-05i,0.00073129-5.5602e-05i,0.00049991+0.00012159i,0.001103+0.00018802i,0.00077209-0.00063396i,0.0003029-0.00012775i,-0.00019891+0.00089071i
0.00016666-0.0017771i,-0.00092565-0.0017077i,-0.0019664-0.0023523i,-0.0028194-0.0030663i,-0.0026268-0.0027844i,-0.0020446-0.0014554i,-0.00080312+3.034e-07i,0.00058961+0.00010701i,6.6878e-05-5.8283e-05i,-0.0012203+4.9293e-05i,-0.0011752+0.00034781i,5.6339e-06+0.00096262i,0.00074273+0.00080372i,0.00082669+0.0010476i,0.0005359+0.00081255i,0.00019438+0.00039374i,1.463e-06+0.00061215i,-0.00043595+0.00030083i,-0.00081342-0.00060275i,-0.00056815-0.0010794i,0.0001647-0.00068929i,0.0010052+0.00036379i,0.00076207+0.0009844i
0.0014115+0.00062451i,0.00098636-0.00064807i,0.00096859-0.0022461i,0.00026212-0.0020875i,-0.00050047-0.0014592i,-0.00087533-0.0014083i,-0.001131-0.00081914i,-0.00093972-0.0010222i,-0.00038689-0.0011315i,-0.0004514-0.00048963i,-0.00065968+0.00050707i,-0.00038042+0.0011374i,-0.00054565+0.0007944i,-0.00067598+0.00047555i,-0.00025998+0.00049443i,0.00036908+0.00051338i,0.00072827+0.00052549i,0.00051576+0.00035586i,0.00029651+9.2042e-05i,0.0006161+1.9992e-05i,0.0010377-0.00017697i,0.0006593-9.2265e-05i,6.0141e-05+0.00029486i
0.0012633-0.0005569i,0.00025934-0.00062199i,0.0005641-0.00060893i,0.0011351-0.0008253i,0.00067349-0.0014834i,-0.00010163-0.0013144i,-0.00023462-0.00052783i,5.3054e-05-0.0013723i,3.4398e-05-0.0017813i,-7.1671e-05-0.000873i,-0.00015765-0.00078176i,-0.00035363+0.00013352i,-0.00015635+0.00097193i,0.00059396+0.00063026i,0.0005526-9.7372e-05i,0.00029765+0.00017638i,-0.00025134+0.00038527i,-0.00052728-0.00061661i,-0.00023167-0.00084929i,-0.0006245-0.00065986i,-0.00019449-0.00020892i,0.00065111+0.00015603i,0.00065692-8.6919e-05i
0.0010567-0.000747i,0.00038804-0.0011035i,-0.00054469-0.0011263i,-0.00094946-0.0016806i,-0.0015895-0.0018789i,-0.001481-0.0016686i,-0.00040572-0.0010937i,0.00027588-0.00011557i,-0.00024777+0.00028009i,-0.00060563-6.0394e-06i,0.00035289-0.00048821i,0.0012877-0.00027204i,0.0015613+0.0004605i,0.0016745+0.0013581i,0.0011525+0.0011431i,0.00012458+0.00014059i,0.00028308+0.00024179i,0.00046291+0.00061581i,0.00047476+0.00016188i,0.00070469+0.00015765i,9.0221e-05+0.00025487i,-0.00047818-0.0004942i,0.00036614-0.00065334i
-0.00024061-0.00075534i,-0.0015825-0.00064868i,-0.0022578+0.00038449i,-0.0028758-9.67e-05i,-0.0024876-0.00077048i,-0.0013391-0.000498i,-0.00013524-0.00022444i,3.713e-06+5.5366e-05i,0.00015647+0.00010594i,-0.00015662-0.00049742i,-0.00069301-0.0011214i,0.00011948-0.00079829i,0.0010695-0.00019009i,0.00082574+0.00074376i,6.9113e-05+0.00065486i,0.00020078-0.00083495i,-0.00037032-0.00065061i,-0.0016177+0.00014654i,-0.00094188-0.0001098i,0.00011143+0.00013589i,0.00067277+0.00045053i,0.00058372+0.00034322i,-3.1911e-05+6.8859e-05i
-0.00047507-0.00012909i,-0.00064891-0.0004349i,-0.00031087-0.00029731i,7.4225e-05-0.00058312i,0.00018015-0.0010992i,0.00053186-0.0016058i,0.0008672-0.0017124i,0.00052459-0.0018947i,-0.0003016-0.0015825i,-0.00059248-0.00040451i,-0.00070699+0.00022329i,0.00030838+0.00014033i,0.0012827+0.00076493i,0.0011017+0.00068126i,0.00098217-0.00012945i,0.00034871+4.1621e-05i,4.769e-05+0.00061283i,0.00055679+0.0010546i,6.3599e-05+0.00093466i,-0.00031685+7.8334e-05i,0.00045093-0.00052269i,5.2093e-05-0.00065602i,-0.00025649-0.00023563i
-0.00099039-0.00057027i,-0.0014875+5.9442e-05i,-0.0020211+0.00025949i,-0.0023558-0.00016472i,-0.0012028-0.00095183i,0.0007011-0.00074065i,0.0011025-0.00023661i,0.00053196-0.00053538i,0.00036455-0.001159i,9.9739e-05-0.00082709i,-0.00033163-2.7753e-05i,-0.00012535+0.0010372i,0.00051723+0.0009535i,0.00029266+0.0004344i,0.00038879-0.00045473i,0.00091806-0.00092101i,-7.1588e-05-0.00010772i,-0.00052652+0.00061867i,-0.00018481+0.00073157i,-0.00028594+0.00063914i,-0.00069272+0.0010297i,-0.00093355+0.00033082i,-0.00078467-0.00046945i
0.00028224+0.00091924i,-0.00019714+0.00099872i,-1.0526e-05-0.00040749i,0.00050684-0.0010319i,-0.00019975-0.0011597i,-0.00079155-0.0019789i,-0.0011051-0.0015831i,-1.3803e-05-0.00087913i,0.001213-0.00051621i,0.00049911+0.00017678i,-0.00059438+0.00041176i,-0.00052562+0.00030545i,7.0265e-05-4.5145e-05i,0.00014781-0.000366i,0.00042549-3.5103e-05i,-0.00016844+7.7356e-05i,-0.00057633-2.8492e-05i,-0.00074681+0.00038623i,-0.0011502+0.0012902i,-0.00046429+0.0013014i,0.00082676+0.00083366i,0.00065965+0.00057227i,-0.00022872+0.00026221i
0.00089448-0.00097393i,-0.00051597-0.001621i,-0.0019165-0.0011739i,-0.0028051-0.00013605i,-0.002023+3.2284e-06i,-0.0010865-0.00090542i,-0.00012499-0.00054763i,0.00022291-0.00057609i,-3.5265e-05-0.0012051i,0.00037213-0.00075772i,0.00021423-2.6865e-05i,-0.00025687-0.00024184i,-0.00025202-3.5922e-05i,-0.00032276+0.00087008i,3.9382e-05+0.0011048i,0.00056908+0.00045716i,0.00054498-0.00023237i,0.00030099-0.00010972i,-0.00019932+1.0392e-05i,7.9281e-05+8.376e-05i,0.00059009+0.00026103i,0.00072485+0.00013936i,0.00057387+0.00040491i
0.00062356-0.0008467i,0.00085361-0.00081489i,-0.00025963-0.0018431i,-0.00039067-0.0022589i,0.00017136-0.0020202i,0.00037231-0.0021855i,0.00041815-0.0011534i,-0.00053379+0.00013751i,-0.0012584+0.00041459i,-0.00098701-8.7635e-05i,-0.00044957-6.1513e-05i,-7.9562e-05+0.00025694i,0.00025569+0.0005468i,0.00014757+0.00069517i,-0.00057934-0.00017127i,-0.00082704-0.00028859i,2.3527e-05+0.00036921i,0.0013671+0.00042547i,0.0012329+3.018e-05i,0.00016269+0.00010117i,-0.00019289+0.00048507i,-2.1422e-05+0.00014402i,-0.00010353+0.00018747i
0.00046516-0.001373i,-0.0011396-0.0010579i,-0.0020559-0.00040048i,-0.0021498-0.00045755i,-0.0020538-0.00085109i,-0.00069198-0.00022937i,0.00080748+0.0010019i,0.0014094+0.0013811i,0.00052917+0.00088931i,-0.00089072-0.00023986i,-0.00061201-0.00084446i,0.0006346-0.00032765i,0.0011381+0.00035688i,0.0011579+0.00053653i,0.0008355+0.00061294i,-0.00010038+0.00135i,1.7459e-05+0.00081576i,0.00055873-8.3145e-05i,-0.00020475+0.00025132i,-0.0010255-5.1345e-05i,-0.0010733-0.00042495i,-0.001119+3.5113e-05i,-0.00040785-2.0953e-05i
0.00019842+0.00050099i,-0.00042608+0.0005214i,0.00025767+0.0011875i,0.00077817+0.00075761i,0.0013672-0.00029334i,0.0013813-0.00032484i,0.00051789-0.0004347i,7.3085e-05-0.00033693i,0.00021349-5.2856e-05i,-9.6287e-05+0.00022374i,-0.0006374+0.00071616i,-0.00046326+0.00044516i,0.0004998-0.00010869i,0.00051879+9.1837e-05i,-0.00025928+0.00032423i,0.00049586+0.00033134i,0.0013576+0.00065359i,0.0016369+0.00042998i,0.001102+0.00019125i,0.00026957-0.00049524i,-9.2901e-05-0.0010089i,-0.00023808-0.00066395i,0.00011594-0.00078244i
-0.00095577+0.00010309i,-0.00082179-9.999e-05i,-0.00049213-0.00024i,-0.00025498-0.00047023i,-0.00081873-0.00026353i,-0.00093655-0.0010476i,8.5128e-05-0.0014256i,0.00098527-0.0020218i,0.00052734-0.0017728i,-0.00041742-0.00032266i,-0.00056703+0.00045983i,-0.00032056-0.00027397i,-0.00055192-0.0012393i,-0.00075368-0.001475i,9.042e-05-0.00082609i,-8.2711e-05-0.00041184i,-0.0004589-0.00022673i,5.1492e-05+2.8122e-05i,-7.6873e-05-0.00042838i,-0.00032101+0.00031746i,-0.0004382+0.00070033i,-0.00041363+6.3161e-06i,-7.8113e-05-3.1054e-05i
0.00076494-0.00024257i,-0.00011909+0.00048474i,-0.00017051+0.00040818i,-0.00074551-0.00026646i,-0.00094085-0.00072336i,-0.0016781-0.0010214i,-0.0010652-0.0010999i,-0.00036041-0.0014524i,-0.00089744-0.0018104i,-0.00048322-0.0010048i,0.0002849+0.00024054i,8.2191e-05+0.0008153i,0.00019471+0.00082107i,-0.00059282+0.00041587i,-0.0015472-0.00016607i,-0.00030225-0.00052574i,0.00055607-0.00023975i,9.2341e-05+0.00043112i,0.0001309+0.00015376i,0.00051475-0.00018239i,6.6904e-05+8.453e-05i,0.00014686+0.00015594i,0.00035736+5.1441e-05i
5.6486e-06+0.00064992i,0.00021063-0.00070263i,0.00040161-0.0014911i,5.9847e-05-0.001266i,-0.00031225-0.00067699i,-0.00067474-8.5968e-05i,-0.00050083+0.00017334i,0.00018514-5.0121e-05i,0.0003372-0.00061634i,-0.00012216-0.00028499i,-0.00063845+0.00015904i,-0.00043073+0.00056036i,-0.00055378+0.00084537i,-0.0011467+0.00031567i,-0.00062563+5.3035e-06i,0.00066048+0.00013237i,0.00029463+5.7456e-05i,5.628e-06+5.0628e-05i,0.00045434+0.00028207i,0.0003974+0.00012163i,0.00021344+5.9324e-05i,-6.1449e-05-0.00016959i,0.00055341-0.00012396i
0.00050217-0.00074939i,-0.00018651-0.0013278i,-0.001034-0.0011476i,-0.002045-0.0011444i,-0.0023916-0.00076808i,-0.0013541+0.00033242i,-0.00029049+0.00060834i,3.2071e-05+0.0001878i,-0.00069754-0.00051668i,-0.001154-0.00024757i,-0.0004145+0.00095775i,0.0004305+0.00067536i,0.0010016-0.0002969i,0.0010227+3.861e-05i,0.00020232+0.00022194i,-0.00064868-0.00044284i,-0.00086477-0.00053155i,-0.00060696-0.0005337i,0.00016219-1.14e-05i,0.00022084+0.00046814i,5.4956e-05+0.00043826i,0.00052505+0.00086966i,0.00067562+0.0011082i
0.00012096-0.00029027i,0.0005403-0.00062852i,0.00042038-0.00073085i,0.00040617-0.00060366i,0.00033459-0.0021197i,0.00063351-0.0019688i,0.00084279-0.00019658i,0.0005214+0.0003739i,0.00019926-0.00019414i,-0.00037502-0.00013156i,-0.0013136+0.00045644i,-0.00036747+0.00052558i,0.0011676+0.00034239i,0.0011563+0.00052249i,0.00033584+0.00067555i,-0.00011966+0.00055726i,-0.00023671+0.00063978i,-3.4489e-05-0.00038315i,-0.00041243-0.0011838i,-0.00089578-0.00069693i,-0.00068847+0.00035471i,-4.8077e-05+0.00077829i,0.00017317-0.00056122i
-0.0005088-0.0010086i,-0.0019964-0.00020464i,-0.0027884+0.00064657i,-0.0019477+0.00046678i,-0.0010655-0.00018264i,-0.00080619-0.00054356i,-0.00076523-0.00037546i,-0.00047393-0.00030415i,-0.00032186-0.00015773i,-0.0002034+9.8671e-06i,3.9529e-05+0.00035769i,0.00043715+0.00091169i,0.00070323+0.00044594i,0.00069732-0.00025487i,8.2032e-05-0.00059482i,-0.00029173-0.00084144i,-0.00041197-0.00057601i,-0.00040918-4.951e-05i,-0.00063729-0.00016516i,-0.00088538-0.00056038i,-0.0006833+0.00014497i,-0.00010886+0.00084175i,0.0003236+0.00025782i
-0.00074346-0.000236i,3.8642e-05+0.00059449i,-0.0002919+0.0011875i,-0.0015283+0.00036509i,-0.0011014-0.00037229i,-4.3062e-05-0.00037018i,0.00013678-0.0006171i,0.00046905-0.00036573i,0.00060304+0.0005686i,0.00071536+0.00034347i,0.00097952+0.00029319i,0.00072616+0.00071425i,0.0010452+0.00052329i,0.0010041+0.0001564i,2.3759e-05-0.00041754i,-0.00041304-0.00035794i,3.462e-05-0.00063812i,-2.7283e-06-0.0008781i,-7.7427e-05-0.00068524i,-0.0002345+0.0006454i,-0.00010191+0.0011653i,0.0006643+0.00026899i,0.00058701+0.00040919i
-0.0020839-3.233e-05i,-0.0026434+1.1188e-06i,-0.0023859+0.00064506i,-0.0010755+0.0013836i,0.0005906+0.00083762i,0.0011575-0.00032639i,0.00038545-0.00060294i,-0.00062357-0.00073706i,-0.00072-0.0011808i,-0.00018565-0.0012028i,0.00082843-0.00049949i,0.0011255+0.00038348i,0.00011812+0.00048545i,-0.00038001+8.9496e-05i,-0.00026244-0.00010064i,-0.00031161-1.6004e-05i,-0.00014875+0.00035986i,7.2671e-05+0.00073635i,-0.00011137+0.00060943i,-0.00020359+0.00055349i,-0.00013297+0.0001821i,0.00013392-0.0003034i,0.00060548-0.00038177i
-8.9759e-05+0.00030917i,-0.00051631-0.00040983i,-0.00092573+0.00046336i,-0.001134+0.0012134i,-0.00045547+0.0013173i,0.00038776+0.0012969i,0.00015903+0.0008577i,-0.00041941+0.00030671i,-0.00077857-0.00029673i,-0.00078727-0.00015755i,9.1206e-06+0.0013458i,0.00072342+0.0022003i,0.00086659+0.0011453i,0.00050602+0.00070589i,3.3548e-05+0.0010129i,-0.00022548+0.00075451i,-0.001135+0.00026616i,-0.0011647+0.00085077i,-0.00027466+0.0016161i,-5.4095e-05+0.00083852i,-0.00055179-0.00040147i,-0.00093742-0.00067544i,-0.00013193-0.00060768i
-7.3958e-05-0.0006781i,-0.00086652-0.0008509i,-0.00094635-0.00040668i,-0.00099854+1.6905e-05i,-0.0010664-0.00069131i,-0.00058781-0.001124i,-9.7136e-05-0.00078397i,-0.00015489-0.00019982i,-0.00086479-0.00018312i,-0.00112+0.00031441i,-0.00073825+0.0011684i,0.00055298+0.00037971i,0.0010788-0.00027946i,0.00041541-0.00034551i,0.00014921-0.00078889i,-0.00025006-0.00026884i,-0.00053087+0.00023557i,-0.00022097+0.00025333i,0.00011031-0.00043741i,0.00028729-0.00020983i,0.00017999+0.00058167i,-0.00018056+0.00023044i,-0.0002161-0.00031284i
-0.00064555+0.00054529i,-0.0013128-0.00065342i,-0.0012004-0.00089201i,-0.0012827-5.5529e-05i,-0.001746-0.00083238i,-0.00080369-0.0017704i,0.00041084-0.0015837i,0.00034514-0.0010671i,0.00022117-0.00032396i,5.9371e-05+0.00026615i,-0.00069325+0.0003476i,-0.0010341+0.00038978i,-0.00011221+0.00064079i,0.00090958-8.9979e-05i,0.0012374-0.00047658i,0.00090559-4.0614e-05i,0.00030648+0.00036294i,-0.00031191+0.00080451i,-0.00032238+0.0011028i,-4.0012e-05+0.0013515i,-0.0002083+0.0013377i,-0.00044798+0.00060744i,0.00012417-9.9264e-05i
-0.00096068+0.00070141i,-0.0006296+0.00083098i,-0.0016183+0.00047955i,-0.0020498-0.00052047i,-0.00083415-0.0013801i,0.00042193-0.001849i,0.00090886-0.0012516i,0.00055589-0.0012784i,0.00013114-0.0012106i,-0.00087463-0.00024156i,-0.0012512+0.0003789i,-0.00044213+0.00064249i,-0.00012585+0.00062966i,-0.0004497+0.00054386i,-0.00036142-0.00029746i,-5.5473e-05-0.00021619i,-0.00035218+0.00014506i,-0.0011193-0.00019616i,-0.00092908+0.00040641i,0.00040018+0.0008126i,0.00086465+0.00044919i,0.00018603+0.0002343i,-0.0002601+0.0004186i
0.00074562-0.00086576i,0.0010729+0.0003475i,0.00023568+0.0006322i,-0.0011965+3.6598e-05i,-0.00099734+0.0003731i,-7.0174e-05+0.00072479i,0.00087807-1.8576e-05i,0.001561-0.0011526i,0.0012472-0.0014739i,0.00065058-0.0003919i,0.0001281+0.00033127i,0.00018742+0.00046953i,-9.4862e-05+3.0612e-05i,-0.00013804+0.00011621i,0.00086149+0.00053479i,0.00085378+0.00017375i,-0.00016118+9.8296e-05i,-0.00025499+0.00061412i,0.00040772+0.00079599i,0.00050622+0.00095807i,0.00021065+0.00094244i,0.00012198+0.0010337i,0.00012805+0.00078429i
0.00091703-0.00040517i,-0.00039795-0.00047595i,-0.00071776-8.7689e-05i,-0.0016093-0.00059883i,-0.0014263-0.00080265i,-0.00047003-0.00020334i,5.2804e-05+0.00012754i,-3.0639e-05-0.00031524i,0.00033289-0.00054426i,0.00026037-0.00015943i,5.6225e-05+0.0001477i,0.0003503+0.00042888i,8.6565e-05+0.00099876i,7.1298e-05+0.0013288i,1.4012e-05+0.0016492i,-3.6468e-06+0.0010148i,0.00074681-4.5339e-05i,0.00060945+0.00019299i,0.00044304+0.0001368i,0.00070798-0.00030283i,0.00056907-0.00047117i,-7.8548e-05-0.0001573i,0.0002704+0.00057643i
-0.00071868-0.00065499i,-0.00031675+8.9392e-05i,-0.00092975+1.692e-05i,-0.0010797-0.00077653i,-0.0012029-0.0012796i,-0.0012932-0.0012324i,-0.0015204-0.00030102i,-0.0011678+9.9131e-05i,-0.00080245-0.00036975i,-0.00079348-1.7608e-05i,5.6683e-05+0.00056567i,8.216e-05-0.00040158i,0.00013855-0.0010607i,-0.00015362-0.00055043i,-0.0011199-0.00030138i,-0.00047852+0.00042703i,0.00035062+0.00055791i,-7.8485e-06+0.00015204i,-0.00027744-0.00043701i,-0.00010092-0.0013752i,0.00037284-0.00080507i,0.00063059+0.00041881i,0.0003557+0.00050522i
-0.0007632-0.00049446i,-0.0011945-0.00092887i,-0.0017954-0.001095i,-0.0011589-0.00060239i,-0.00092053-0.0010083i,-0.0017133-0.0015107i,-0.0015987-0.0011118i,-0.00064063-0.00099821i,-0.00033251-0.00083856i,-0.00050158-0.00063119i,-0.0006388-0.00054918i,-0.0004663-3.8424e-06i,-0.00039788+0.00030874i,0.00020114-4.2958e-05i,0.001027-0.00062002i,0.0010152-0.00039734i,0.0009104+0.00060129i,0.00053546+0.001096i,0.00011033+0.00057616i,0.00024153+0.0004997i,-0.00026024+0.00087927i,-0.00070989+0.00032324i,-0.00015721-0.00085115i
-0.00074621-0.00017394i,-0.0016445-0.00014812i,-0.0020201+0.00017072i,-0.0016573+0.0011367i,-0.0010633+0.0013783i,0.00021691+0.00093664i,0.00057524+0.00052019i,-0.00019287-0.00012224i,-0.00029937+1.9514e-06i,-6.1213e-05+0.00042523i,3.8632e-05+0.00059233i,0.00040055+0.00033171i,0.00087086+0.00013585i,0.00095513+0.00042959i,0.00056741+0.00073412i,-0.00040253+0.00088016i,-0.0011404+0.0012434i,-0.0010785+0.00031628i,-0.00072308-0.00018773i,-0.00022382+0.00011177i,-0.00010733+7.4955e-05i,-0.00031662-0.000615i,0.00034693-0.0009415i
-0.00046699-0.00043076i,-0.00035213-0.00037727i,-0.00070123+0.00024754i,-0.0008462-8.165e-05i,-0.00048082-0.00094011i,-0.00028179-0.00094804i,5.7552e-06-0.00028396i,0.0007074-1.56e-05i,-0.00017584+3.8802e-05i,-0.0013735+0.00065402i,-0.0010532+0.0010306i,0.00016224+0.00089167i,0.0002393+0.00057999i,-0.00039031-0.00038051i,-0.00086343-0.00064851i,-0.0017553-0.00010131i,-0.0015272-0.00067034i,-0.00089059-6.4217e-05i,-0.00075564+0.00063081i,0.00021413+0.00050211i,8.0804e-05+0.00041661i,-0.00043717+0.00045493i,-0.00033178+0.0003053i
