-0.0029702+0.00014561i,-0.00069514-0.0008023i,-0.0011331-0.00031779i,-0.00086412+0.00012595i,-9.6356e-05+0.00084686i,0.00016316+0.0017304i,0.00035377+0.0023978i,0.0001745+0.0026109i,-8.5089e-05+0.0015149i,6.6289e-05+0.00024482i,0.00060155+0.00012319i,0.0014508+0.00016501i,0.00090751-0.00055448i,6.7642e-05-0.00094921i,-0.00043166-5.5757e-05i,-0.0011471+0.00016791i,-0.00082701-0.00033313i,-0.00089856-0.00053948i,-0.00051917-0.00029971i,0.00019975+0.0001914i,-1.0651e-05+0.00078109i,-0.00012683+0.00053924i,-0.00014601-0.00024727i
-0.00059295+0.00042025i,-0.00031802+0.00066761i,0.00021868-0.00048497i,-0.00045568-0.0005558i,-0.00089042+0.00089678i,0.00017417+0.0013022i,9.06e-06+2.7042e-05i,-0.000612-0.00051133i,-0.00094882+0.00026436i,-0.0006691+0.00045013i,9.7493e-05+0.00015946i,8.4573e-05+0.00012955i,-0.00029714+0.00010875i,-0.00023905-3.9177e-05i,0.00055605-0.0001301i,0.00057566-9.675e-05i,0.00046106+0.00032317i,0.00027684+0.0005558i,-0.0009748+0.0010289i,-0.0013878+0.00090932i,-0.00028136+1.7653e-05i,0.00030046-0.00011318i,-0.00015799-6.1704e-05i
0.00059121+0.001793i,0.0013513+0.00060391i,0.0021583+0.0005287i,0.0022913+0.00019435i,0.0012155+0.00033539i,0.00042502+0.00010605i,0.00053033-0.00019612i,0.00033313-0.00032599i,-0.00035369-0.0007473i,-0.00037015-2.2574e-05i,-0.00074786+0.001158i,-0.0010956+0.0006736i,-0.0003208-0.0002784i,0.00019512-2.0217e-05i,-0.0004478+0.00076428i,-0.00078939+0.00052077i,-0.00030688+0.00021931i,5.5902e-05+0.00049344i,0.0010562+0.0008623i,0.00062155+0.00076816i,-0.00087158+0.00052603i,-0.00087672-0.00017438i,-0.0008036-0.00068082i
0.0019396+0.00017241i,-9.5686e-06+0.00062493i,0.00039411-0.0002081i,0.0011944-0.00060177i,0.00026789-0.00098909i,0.00063613-0.00044635i,0.0014328+2.3584e-05i,0.00085133-0.00034127i,0.00047579-0.00064871i,-0.00012374-0.00015833i,-0.00038995+0.00010332i,-0.00011331-0.00047252i,-0.00022503-0.00053592i,-0.00037037-0.00024272i,-0.00012265-2.0307e-05i,0.00039687-2.0256e-05i,0.0002114+0.00045068i,-0.0004127+0.0009989i,-0.0003209+0.00099212i,0.00061831+0.00060412i,0.0014273+0.00020304i,0.0011764+7.2224e-05i,-3.2595e-05+0.00023141i
4.0965e-05+0.0007698i,0.00021942+0.00092975i,0.00015732+0.0007717i,0.00065207+0.0013025i,0.00071298+0.0022444i,0.00079879+0.0015051i,0.0010411+0.00039112i,0.00020013-0.00010608i,-0.00024521-0.00053768i,5.3561e-05-3.6854e-06i,0.00025037-0.0001768i,0.00013564-0.00026185i,-0.00025706+0.00044004i,0.00012286+0.00015818i,0.00095025-0.00038023i,0.00052778-4.8377e-06i,2.2344e-05-0.00016077i,-0.0005939+3.3991e-05i,-0.00044185+0.00058076i,0.00034875+0.00042695i,0.00037793-1.3404e-05i,0.00048172+0.00025602i,4.6611e-05+0.00057209i
-0.00095944-0.00012875i,-0.0022529+0.00051303i,-0.0028406+0.0013893i,-0.0018566+0.00083599i,-0.0003568+0.00043832i,0.00049118+0.0012166i,2.9633e-05+0.00059778i,-0.00066478-0.00035426i,-0.00060774+0.00019689i,-3.6904e-05+0.0010161i,0.00053809+0.00071081i,0.00037244-0.00053785i,-0.00024378-0.00075174i,-0.0013969-0.00050045i,-0.001342-0.0011168i,-0.00010119-0.00086386i,-0.00051788-0.00012913i,-0.0017678+0.00095531i,-0.001238+0.0010172i,-9.5221e-05+0.00062949i,0.00023866+0.00053915i,0.00078499+2.0663e-05i,0.00039426-0.00076388i
-0.0002574-0.0017934i,-0.00083754-0.0029342i,-0.00042671-0.0026852i,-0.00021724-0.00106i,1.1034e-05+0.00081162i,0.000432+0.0019047i,0.00055288+0.0019365i,0.00027919+0.0007266i,-8.9317e-05+0.00032696i,-0.00044803+0.0011052i,-0.00022004+0.0015988i,0.00036874+0.0015479i,0.00043978+0.00047585i,-0.0003597-9.5224e-05i,-0.00081688-0.00013602i,-0.00061791-0.00053067i,0.00019608-0.00062404i,0.00072843-0.00019187i,0.00017881+0.00023135i,0.0001439+0.00023241i,0.00056995+0.00043574i,0.00012998+0.00037526i,0.00015096-0.00010819i
-0.00079421+0.00053094i,-0.00074867+6.8274e-05i,0.00040002+6.3087e-05i,0.0012631-0.00013798i,0.0015825+0.00062772i,0.001122+0.00060309i,0.00096564-0.00020829i,0.00081453-0.00021772i,0.00025821+0.00036254i,0.00046221-0.00013482i,0.00056649-0.0010853i,6.9049e-05-0.0010037i,-0.00051635-0.00057757i,-0.00085987-0.00055575i,-0.00069507-0.00039999i,-0.00090546-0.00051771i,-0.00096682-0.00070738i,-0.0011332-1.4985e-05i,-0.00075931+0.00059554i,0.00033451+0.00049448i,0.00063013+0.00018331i,0.00073838-6.1408e-05i,0.0004888-0.00059408i
0.001107-0.00053761i,0.00031419-0.00090149i,0.00012185-0.00073507i,9.7842e-06+0.0004026i,-4.3993e-05+0.0011028i,0.00088888+0.00031892i,0.0010703-0.00075189i,0.0003392-0.00043224i,-0.00090478+0.00028452i,-0.0015074+1.6832e-05i,-0.00076485-0.00027013i,0.00051735-0.00045422i,0.0007803-0.00026886i,-0.00013373-0.00012756i,-0.00053329+0.00021276i,9.5292e-05+0.00046557i,0.00025229+0.00017849i,4.6669e-05+0.00051835i,0.00039078+0.00071847i,0.00076305+0.00027224i,0.00045928-0.0002719i,0.00069062-0.001003i,0.0004358-0.0013047i
0.0010344-0.00061227i,0.00083616-0.0012392i,0.0006019-0.00060755i,0.00042973+0.00064395i,0.00064592+0.0012309i,0.00066486+0.00061507i,0.0006492-0.00022931i,-0.00037328-3.8344e-05i,-0.0012663+0.00085256i,-0.00071113+0.00098517i,-0.00011969+2.7541e-05i,-0.00019942-0.00073153i,-0.000457+1.0217e-05i,-0.00041991+7.4338e-05i,0.00070293-7.8723e-05i,0.00031745-0.00026495i,-0.00036174-0.00039161i,-0.00029854-8.9691e-05i,-0.00061725+6.8107e-05i,-0.00058007+0.00063961i,-0.00041637+0.0014099i,-0.00062757+0.00095464i,-0.00051762-0.00032018i
-0.0031302+2.3804e-05i,-0.0014726-0.00027653i,-0.00033251+6.181e-05i,-0.00058457+0.0001435i,0.00015242+0.00030894i,0.0015445+0.00027052i,0.0010071+0.00018848i,-0.0010615+0.00031984i,-0.0019173+0.0005067i,-0.001534+0.00096964i,-0.00070389+0.00018632i,-2.4381e-05-0.00076638i,-0.00087839-0.0011126i,-0.0012772-0.0010725i,-0.00033156-0.00010481i,-7.7827e-05+0.00045781i,-0.0006498+0.00050461i,-0.00040499+0.00080106i,0.00017227+0.00075987i,0.00027105+0.00079405i,3.8255e-05+0.00046751i,-0.00027385+0.00032417i,-0.0007898+0.00078551i
