0.000374+0.00034737i,0.00053064+0.00028064i,0.00032336-0.00026226i,-0.00035839-0.0008752i,-0.0011478-0.00064232i,-0.0016052+0.00031269i,-0.00070029+0.0013325i,0.0012198+0.0024655i,0.0022542+0.0023013i,0.0016518+0.0014505i,9.8029e-05+0.00097788i,-0.00014328+0.00059776i,-0.00019662+0.00061173i,-0.0010839+3.8789e-05i,-0.00096602-0.00058426i,-0.00028389-0.00021092i,0.00062632+0.00026582i,0.00061735+0.00052361i,6.2857e-05-7.876e-05i,-0.00039064-0.0013748i,-0.00057138-0.0016627i,-0.00020515-0.00089203i,0.00038184-0.00057849i
0.00015994+0.00022115i,-1.1521e-05+0.00082783i,-0.00073836+0.00084733i,-0.0010285-0.00014773i,-0.00066093-0.00062226i,-0.00069355+0.00016191i,-8.0397e-05+0.00068781i,0.00076752+0.00074549i,0.0011549+0.00089189i,0.00090033+0.0012094i,-0.00025386+0.0010147i,-0.00054579+9.9429e-05i,0.00034058-0.00023135i,0.00048024-0.00040526i,9.5705e-05-0.00063513i,0.00022625-0.00039682i,4.2248e-05-0.00037405i,-0.00044215-0.00071176i,-0.00049627-0.00039682i,-0.00045579-0.00016391i,-0.00076248-0.00010864i,-0.000493-0.00038412i,9.2685e-05-0.00099494i
0.00132-0.00043957i,0.00078727-0.00085943i,0.00016704-0.00061025i,0.00024518-0.00028675i,0.00045029-0.00044699i,0.00090741-0.00030254i,0.0010059+0.00065893i,0.00098337+0.0017094i,0.0013021+0.0014411i,0.00083727+0.00093544i,-0.0001641+0.00072338i,-0.00070803+0.00048966i,-0.0001813+0.00049246i,-0.00010122-0.00014379i,-1.7655e-05-0.00095768i,0.00042994-0.0010313i,-3.5012e-05-0.00087238i,-0.00015341-0.00046811i,6.6124e-05-8.2868e-05i,0.00033705-0.00013438i,0.0010138+0.00021809i,0.0007726+0.00027765i,4.07e-06-0.00019838i
-0.000125-0.00075632i,-0.00014722-0.00051476i,-0.00026278-0.00050652i,-0.00082758-0.00028572i,-0.0010436+0.00029258i,0.00030025+0.00018225i,0.0010104-0.00020463i,0.00048922+8.7849e-05i,0.00097028+9.6007e-05i,0.0010912-0.0003559i,0.00015213-0.00016626i,-0.00017355+0.00068899i,-0.0001031+0.00050065i,0.00026442-0.00076887i,7.1449e-05-0.0013307i,-0.00025732-0.00087834i,0.0001192-0.00030118i,-4.6986e-05+6.8403e-05i,-0.00028595-0.00010424i,0.00013884-0.00026237i,0.00069936+2.605e-05i,0.00083077+0.00021989i,0.00036622-0.00012224i
0.00028216-0.0018781i,8.2322e-05-0.00073956i,0.00030033-0.00064032i,0.00048674-0.00015989i,3.5513e-05+0.00061352i,0.00029909+0.0010731i,0.00032888+0.001697i,0.00020185+0.00092389i,0.00077016+0.000187i,0.00030341+0.0011485i,-0.00022596+0.00061635i,-0.00024574-0.00034914i,-0.00028876-0.0004506i,5.2361e-05-0.00065157i,0.00053781-0.00072626i,0.00065887-0.00022423i,-3.1816e-05+8.1489e-05i,-0.00077661+0.00045182i,-0.0005479-8.9776e-05i,-6.7721e-05-0.00093305i,-0.00045141-0.00064989i,-0.00033593-0.00070018i,0.00080268-0.00094871i
-0.0004838-0.00090033i,-0.0001661-0.00026573i,4.61e-05-0.0003978i,-0.00050215-0.00094548i,-0.00085591+0.00037024i,-0.00026805+0.00088065i,0.00079481+0.00091799i,0.0011344+0.0016632i,0.0011442+0.0013697i,0.00040852+0.00036375i,-0.00038447+0.00012119i,-0.00082989+0.00050641i,-0.00096579+7.9826e-05i,0.0003188-0.00044112i,0.00081862-0.00045265i,0.00031402-0.00066709i,0.00016138-0.00039782i,0.00026433+0.00069757i,0.00060903+0.00089027i,0.00022775+0.00090727i,-0.000107+0.00076946i,0.00013487-0.00038316i,1.6728e-05-0.0010407i
-0.00078104+0.00092316i,-0.00021518+0.00025241i,0.0003234-0.00044201i,0.001073-0.0006565i,0.0013087-0.00076308i,0.00075528-0.00053679i,0.00013545+0.00039551i,0.00059564+0.0012915i,0.00077209+0.0021729i,0.00055049+0.0020492i,-0.00031623+0.0011229i,-0.000545+0.00065932i,0.00025805+0.00057418i,0.00048965-0.00034725i,0.00060048-0.00046405i,1.3868e-05+2.685e-05i,3.7161e-05-0.00011797i,-0.00015924-0.00071281i,-0.00081488-0.0011777i,-0.00074971-0.001185i,-0.00063522-0.0011519i,-0.00010197-0.00024329i,0.00035811+0.00061449i
-0.0014665+0.00096139i,0.00041865-0.0010377i,0.0016422-0.0017492i,0.00017427-0.0014582i,-0.00086725-0.0023682i,-0.00047525-0.0020402i,3.1321e-05+3.0184e-06i,0.00034659+0.0013355i,0.001213+0.0016515i,0.0014269+0.0011755i,0.00094528+0.0007866i,0.00036556+0.0005311i,0.00029446-0.00021511i,0.00018019-0.00042752i,-2.9654e-05-0.00022205i,0.00015325-1.2598e-05i,0.00010817+2.4349e-05i,-0.00018482-3.9969e-05i,-0.00015553-9.6768e-05i,-0.00050138+0.00023684i,-0.00086214+0.00059464i,-0.00054118+0.00019763i,3.4553e-05+0.00031239i
0.0013725-1.3576e-05i,0.00061762+0.00029293i,-0.00030806-0.00073531i,-0.0011053-0.0013001i,-0.0016501-0.00078497i,-0.0021413-0.00054442i,-0.0018563+0.00037177i,-0.00023432+0.0016886i,0.0010827+0.0017717i,0.00035125+0.00054089i,-0.00086328+5.0595e-05i,-0.0012774+0.00012737i,-0.00064425+7.0555e-05i,7.4868e-05+0.00011882i,4.2917e-05+1.5857e-05i,-0.00037723+4.6614e-05i,-0.00071848-6.0573e-05i,-2.234e-05-0.0010041i,0.00018981-0.001026i,-0.00034875-8.435e-05i,0.00013348+0.00038363i,0.00012006+8.4741e-05i,-0.00031306-0.00034583i
0.00097178-0.00060758i,0.00068253-0.00051466i,0.0013556-0.00045058i,0.00066026-0.00049915i,9.907e-05-0.00077665i,0.00059911+0.00059194i,0.0010072+0.0022962i,0.0012643+0.0023855i,0.002381+0.0019633i,0.0025819+0.0013242i,0.00032899+0.00074771i,-0.0011637+0.00066081i,-0.00081179+0.00064048i,0.00011945+0.00046464i,0.00079332+0.00074453i,0.00046695+0.00074009i,0.00016542+0.00018828i,-2.9313e-05-0.0004178i,0.00011967-0.00044662i,0.00068661-0.00067038i,0.00060362-0.00034497i,0.00080658+0.00066725i,0.00082878+0.00096796i
0.0024023-0.00216i,0.002359-0.0014031i,0.00045071-0.00051018i,-0.00069365-0.0004794i,2.3295e-05-0.0001139i,0.00013801+0.0010803i,0.00032332+0.00088027i,0.0013891+0.0010716i,0.0013529+0.0010965i,-0.00025357+0.00032901i,-0.0014404-0.00066506i,-0.0010161-0.00023794i,0.00017927-0.00012095i,0.00051794-0.00097113i,-2.8984e-05-0.00012134i,-0.0001622+0.00027722i,3.0702e-05+0.00022362i,-0.00018641+0.00049773i,-0.00019413+0.00046658i,0.00021791+0.00050975i,-6.9062e-05+0.00045944i,-0.00025323+0.00060288i,0.00049657+0.00045718i
