-0.00065458-0.00019655i,-3.9349e-05-0.0016443i,5.2883e-05-0.0012668i,7.7087e-05-0.0004311i,-0.00033742+0.00058574i,0.00010424+0.00078708i,0.0011449+0.00018034i,0.0019633+0.00049512i,0.0017676+9.2272e-05i,0.00049174-0.00025701i,-0.0003177-0.00012727i,0.00030714-0.00084165i,0.00029526-0.0012876i,-0.00031713-0.00040229i,-0.00056876+0.00074581i,-0.0001259+0.00030228i,0.00036358-0.0003846i,0.00065063-4.4201e-05i,0.00078033-0.00030835i,0.00014363-0.00061239i,-0.00044799-0.00028357i,-0.0002443-0.0001417i,-0.00010985-0.0003315i
0.001696-0.0015686i,0.0011165-0.00046289i,0.0011335-0.0006495i,0.0012871-0.00015211i,-3.5082e-05+0.0013895i,-0.00043473+0.0022829i,0.0010633+0.0021284i,0.0020746+0.0013361i,0.00093034+0.00025935i,-0.00089906-0.0009594i,-0.0010438-0.0010377i,3.8803e-05-0.00024154i,0.00066538+5.4691e-05i,8.4648e-05-0.00043987i,-0.0002403-0.00010732i,-0.00035321+0.00062669i,0.00021933+0.00010432i,0.0011077+0.00020379i,0.00034685+0.00058893i,-0.00050505-0.00015266i,-0.00023309-0.00018916i,0.00024555+0.0001117i,0.00034895-0.00045962i
-0.00078163+1.7162e-05i,-0.00058881-0.0010736i,-0.00032221+0.0003134i,0.00029587+0.0008794i,0.00090508+0.00025787i,0.0007305+0.0002264i,0.0005068+0.00039446i,0.0012974+0.00061358i,0.0016604+0.00098427i,0.00017071+0.0010307i,-0.00039034+0.0010113i,0.00047619+0.00046149i,0.00043515+2.8367e-05i,0.00014257+0.00019879i,0.00092585+7.707e-05i,0.0011967-0.00048716i,0.00055275-0.00095131i,9.3529e-06-0.00049904i,-8.2079e-05+0.00014414i,9.4959e-05-1.4007e-05i,-9.9786e-05-0.00019349i,0.0004466+0.00026918i,0.0002314+0.00066382i
-0.0014976-4.1688e-05i,-0.0010266-0.00079274i,-0.00079823-0.00025421i,-8.398e-05-0.00016091i,0.0013407-9.456e-05i,0.0015353-0.00018127i,0.001987+0.0005129i,0.0020046+0.0011074i,0.0010983+0.00022674i,0.0011578-0.000454i,0.0011259+0.00015094i,0.00021817+0.0008158i,0.00046195+0.00058828i,8.1375e-05+0.00027701i,-0.00071192+0.00024415i,-0.0004745+7.8067e-05i,0.00012864+0.0001341i,0.00076236+0.0005169i,0.00082696+0.0006144i,0.00023626+0.0003623i,0.00041685+0.00032887i,0.00053031-0.00022754i,-9.9778e-05-0.00091568i
8.9311e-05-0.0016674i,-0.0008304-0.0013537i,-0.0010384-0.0013109i,-2.8041e-05+9.5942e-05i,0.00030468+0.00078264i,0.00073354+0.00043395i,0.0015345+0.00033614i,0.0021463+0.00032206i,0.0020732+0.00049788i,0.0012231+0.0002719i,4.2483e-05+0.00025939i,-0.00019728+0.00019601i,-0.00019243-0.00051761i,-0.00041003-0.00071851i,0.00052646-0.00040532i,0.00063622-0.00028128i,-7.4953e-05-5.7769e-05i,-0.00048707+2.2149e-06i,-0.00016272+0.00022701i,0.00063533+0.00046332i,0.00075251+0.00017666i,-3.6103e-05+0.00020989i,-0.00069277+0.00032451i
0.00020127+0.00080315i,-0.00038965+0.0006086i,-0.00099608-0.00030452i,-0.00098737-0.00045384i,-0.0006568+0.00013041i,-0.00040559+0.00063659i,0.00074916+0.00096294i,0.002034+0.00046341i,0.0016296-0.0005553i,0.00067573-0.0011307i,-0.00014313-0.00078766i,-0.00030497-0.00027722i,-0.00051299-0.00027469i,-0.00047019+0.00034853i,7.4005e-05+0.00038859i,0.00035472-7.773e-05i,0.0011646-0.00057423i,0.00084605-0.00062151i,-0.00055895+0.00045971i,-0.00088962+0.0012937i,-0.00034947+0.00046555i,0.0002337-7.1403e-05i,0.00066872-9.5215e-05i
0.00051956+2.0981e-05i,0.00066253-0.00065624i,0.0006506-0.0010749i,0.0002601-0.0014333i,-0.00038791-0.001264i,-0.00035255-0.00056436i,0.00081454-0.00050714i,0.0021284-0.00028843i,0.001789-0.00042507i,0.00017654-0.00060778i,-0.00040164-0.00026473i,2.8469e-06-0.00032299i,0.00027896-0.00051052i,-0.00059457-0.00033308i,-0.0013425+0.00033145i,-0.00099926+0.00093415i,-0.00067987+0.00043974i,-8.3866e-05-2.713e-05i,0.00040115-0.00012565i,-0.00015989-0.00040049i,-0.00046146-0.00024982i,-0.00023157+0.00015499i,-0.00021097-0.00083596i
-0.00090952+0.0002873i,-0.000453+0.00054958i,-0.00099538+0.00065942i,-0.00053365+0.0010602i,0.00025857+0.0013684i,0.00055271+0.001567i,0.0010701+0.0012514i,0.0018033+0.00028619i,0.001638-0.00063231i,0.00096096-0.00056325i,0.00026165+0.00015062i,-0.00013422+0.0004255i,-0.00044613-0.00022157i,-0.00059043-0.00030794i,-0.00045392-0.00015432i,-7.7546e-05-0.00025231i,0.00018157+0.00021646i,-0.00032903+0.00060684i,-0.00081152+0.00018064i,-0.0014766+8.6737e-05i,-0.0014771+0.00021735i,-0.00049767-0.00031268i,0.00070386-0.00042236i
-0.00047493+0.00022858i,-0.00075952-0.00018223i,-0.0013282-0.00034821i,-0.0012971-0.00047341i,-7.1133e-05-0.00045216i,0.0009213-0.00016956i,0.0017779+5.7526e-05i,0.0030994+0.00084723i,0.003242+0.00071732i,0.0011913-0.00012811i,-0.00043153+0.00025206i,-0.00042309+0.0004378i,-0.00049286-0.00023871i,-0.00090024+0.00016973i,-0.0014449+0.00032759i,-0.0013533-0.00095195i,-0.00043068-0.00056655i,0.00019644+0.00046224i,0.00042101-0.00044365i,0.00042241-0.0012056i,0.00073127-0.0010173i,0.00051748-0.00060759i,0.0002097-5.9544e-05i
-0.0004001-0.00057566i,-0.0012466-0.00074202i,-0.00087338-0.001089i,-0.00038488-0.00089619i,-8.9163e-05-0.00068721i,0.00028265-0.00091375i,0.00016949-0.00038115i,0.0011369+0.00026657i,0.0017659-4.4227e-05i,0.00092994+0.00039956i,-9.6938e-05+0.0011445i,0.00034381+0.00092661i,0.00059951+0.00065448i,-0.0003143+0.00039566i,-0.00039356-0.00049912i,-0.0002032-0.00078496i,-0.00024694-0.00044922i,0.0004053-0.00093169i,0.0001434-0.0015869i,-0.00039717-0.0011378i,0.00020424-0.00056806i,0.00012948-0.00053902i,-0.00011861-0.00086234i
0.00029816-0.0017437i,0.00042552-0.0014811i,0.00076141-0.0006154i,5.9011e-05-3.9362e-05i,-0.00073494+0.00026604i,-0.00096725+0.00067013i,-0.00042544+0.0014896i,0.0011827+0.0013146i,0.0012081+0.00015672i,4.9381e-06-0.00011022i,-8.2589e-05+0.00065442i,0.00017575+0.00060434i,4.0389e-05+0.00028009i,3.9949e-05-0.00020098i,0.00028929-0.00075724i,-7.9371e-06-0.00056951i,-0.0012026-0.00098425i,-0.0018912-0.00095924i,-0.0015275-0.00027028i,-0.0010384-0.00019497i,-0.00057023-0.00036242i,0.00018906-0.00050979i,0.00052377+2.4948e-06i
-0.00019995+0.0010896i,-0.00042211+0.00033854i,-0.00062951+0.00061807i,-0.00052277+0.00010978i,-0.00016074-0.00094536i,-0.00014681-0.00020215i,0.00054554+0.00084878i,0.0020376+0.00035381i,0.0027068-0.00019948i,0.0013018-0.00025927i,-0.0004271-2.6334e-05i,-0.000473+0.00033417i,-0.0003024-0.00027729i,-0.00011369-0.00038394i,7.2742e-06+0.00012611i,-8.3259e-05+8.7217e-05i,0.00020765-0.00015622i,0.00054345-0.00034513i,0.00065805-0.00019302i,0.00049433-0.00040144i,0.00023392-0.00031517i,0.00051315-0.00030904i,0.00046374-0.00062681i
0.00088398+0.00032725i,0.00043762+0.0005715i,0.00095212-0.00012523i,0.00089973-0.0010186i,0.00066014-0.00028179i,0.00027169+0.0012377i,0.00077221+0.0021741i,0.001906+0.0018984i,0.0024415+0.00073605i,0.0015901-0.00036963i,0.00063106-3.8205e-05i,-8.1863e-05+0.00025448i,0.00056948+0.00012158i,0.0011647+7.0658e-05i,0.00094718-0.00028131i,0.00093762+5.9505e-05i,0.00085204-0.00010594i,0.00026011-0.00058481i,-0.0002597-0.00074971i,-9.4846e-05-0.00033794i,0.00017017+0.00068329i,4.7766e-05+0.00081779i,-0.00022481+0.0001199i
-0.0011732-0.00024399i,-0.0019143-0.000489i,-0.0020228-0.0003878i,-0.0015565+0.00024368i,-0.00072697+0.001326i,0.00027849+0.0016198i,0.00084859+0.0014436i,0.001554+0.00085877i,0.0026619+0.00049114i,0.0019187+0.00030508i,0.00071411+8.4971e-05i,0.00048839+0.00058107i,0.00062109+0.00037088i,0.00039639-0.00091126i,-4.271e-05-0.0010423i,-0.00012121-0.00022125i,-0.0001598+4.2256e-05i,0.0004856-0.00016287i,0.001058+5.523e-05i,0.00064718-0.00013575i,0.00081745-0.00080957i,0.00064169-0.00065139i,-0.00020089-0.00060933i
0.00098467-0.0002402i,0.00034041-0.00048914i,0.0002162-3.8374e-05i,0.000102-0.00057446i,-0.00048583-0.00082833i,-0.00086693-0.00027073i,-0.0007118+0.00034879i,0.00081724+0.00037427i,0.0020305-0.00039194i,0.0012008-0.00087444i,0.00036549-0.00058757i,0.00097617-0.00048i,0.0013188-9.8802e-05i,0.0011471-9.1762e-05i,0.00088587-0.00057782i,0.00055192+0.00015194i,0.00043778+0.00022502i,0.00058588-6.6916e-05i,-0.0001092-0.00020848i,-0.00020966+9.1906e-06i,-0.00010102-0.00041064i,-0.00069532-0.0012497i,-0.00095591-0.0011473i
0.0003233+0.00033295i,-0.00036258+0.00019788i,0.00024361+0.00055952i,0.00043742+0.00021968i,0.00084096-0.00025733i,0.0012372+0.00017445i,0.0010531+0.00072112i,0.0016773+0.00071902i,0.0023133+0.0010153i,0.0015805+0.00095841i,0.00023187+0.00046711i,0.00015449+0.00080103i,0.00071924+0.00077395i,0.00028902+6.3158e-05i,-0.00040964-0.00029675i,-0.00089859-0.00041606i,-0.00085362-0.0013433i,4.1733e-05-0.0010624i,0.00036003-2.3057e-05i,0.00025812-0.00040908i,1.2097e-05-0.0011125i,-7.8859e-05-0.00074207i,-2.8878e-05+0.00019736i
-0.00062637-0.0010734i,-0.00028794-0.00028979i,-0.0002091+0.00053186i,1.8425e-05+0.0009083i,0.00060478+0.00022265i,0.001356-0.00014405i,0.0022996+1.414e-05i,0.0028166+9.4725e-05i,0.0020937-0.00013095i,0.00052111-0.00059523i,-0.00030893-0.00012008i,-0.00022007+0.00033192i,0.00033813+0.00042294i,0.00092797+0.00056057i,0.0012206+0.00069782i,0.001058+0.00035032i,-0.00046391+0.00035808i,-0.00053033+0.00010037i,-1.1004e-05-0.00062956i,-0.00014491-0.00057223i,-0.00017835-0.00024406i,-0.00021119-2.6443e-05i,-0.00039034-0.00028098i
0.0013122-0.00062891i,0.0010692+0.00028919i,0.00013728-0.00010975i,-0.00090722-0.0011523i,-0.001464-0.0013028i,-0.0011833-0.00032967i,-8.7378e-06+0.00030827i,0.000986+0.00038494i,0.00099118-0.00011697i,0.00027326-0.00084022i,0.00013888-0.0006426i,0.00026672+0.00038196i,0.00040862+0.00041982i,8.779e-05+0.00032874i,-0.00031495+0.00036079i,-0.00061885-0.00040356i,-7.6648e-05-0.0010445i,0.00056579-0.00070097i,0.00041085-0.00041034i,-0.00033516-0.00069116i,-3.1052e-05-0.00058442i,0.00038052+5.0665e-05i,0.00018378+0.0005474i
-0.0010698-0.00046113i,-0.0010664-0.00030999i,-0.0014618+0.00035937i,-0.0016219+0.00079581i,-0.00078718+0.00078389i,0.00073369+0.00079597i,0.0015213+0.0011036i,0.0018014+0.00048422i,0.0019474-0.00011665i,0.0016999-0.00016159i,0.00048536-0.00062621i,-0.00073458-0.00047734i,-0.00061833-0.00050828i,-0.00029542-0.00071308i,0.00029532-0.00048367i,0.00047654-0.00023836i,6.3724e-05-0.00043128i,6.7411e-05-0.00063596i,0.00014556-0.00070137i,0.00018812-0.0004594i,0.00035452-0.00063309i,0.00070456-0.00068315i,0.0001616-0.00049909i
0.00075514-0.00014084i,0.00044835-0.000153i,0.00016785+0.00012653i,-0.00018212-2.2568e-05i,0.00047407-0.00019225i,0.0011964-4.707e-05i,0.0016468-0.00044616i,0.0022756-0.00027672i,0.0020949-0.0001303i,0.00078885+6.7805e-06i,-0.00038034+0.00037834i,-0.00030612+9.005e-05i,0.00039334-0.00011296i,0.00021859-0.00011616i,-0.00012925-0.00054929i,-0.00039894-0.0007113i,-0.0010235-0.00051746i,-0.00052036-0.00053585i,0.00037897-0.00028239i,0.00050343+0.0003299i,0.00015572+0.00077139i,0.00011209+0.00063373i,-0.00015625-0.00015105i
0.0020176+0.00014574i,0.001378-0.00073219i,0.00061814-0.0011009i,-6.2145e-05-0.00074546i,-0.00023983-0.00033129i,-9.4706e-05-0.00053318i,0.00085098-0.00017499i,0.0020006+6.5685e-05i,0.001431-0.00075032i,-0.00015852-0.001381i,-0.00017957-0.00029229i,0.00099061+0.00069046i,0.001181+0.00010945i,0.00096268-6.201e-05i,0.00036526+0.0002595i,0.00017619+5.3624e-05i,0.00070842-0.00038353i,0.00014008+0.0001503i,-0.0011356+0.00011233i,-0.00084421+0.0001187i,-2.9257e-05+0.0008505i,0.00024127+0.0006901i,0.00012255-0.00023804i
-0.00074605-0.00041506i,-0.00079797+6.2568e-05i,-0.00015988+0.00066095i,0.00045329+0.00017578i,0.00052864-9.756e-05i,0.00043375+0.00060018i,0.0020016+0.0018688i,0.0034702+0.00223i,0.0023411+0.00067878i,0.00077781+0.00013599i,-9.9492e-05+0.001312i,-0.00022722+0.0010149i,-0.00032439-0.00017119i,-0.00063652+7.151e-05i,-0.0010828-0.00017675i,-0.0012944-0.00097975i,-0.00060167-0.0011904i,-0.00042355-0.001087i,-0.0012341-0.00027123i,-0.0012487-0.00026784i,-0.00031786-0.00063736i,-0.0001501-0.00047454i,-0.001167-0.00033021i
3.5615e-05-0.00087559i,-0.0003966-0.00043993i,-0.0012218-0.00072713i,-0.0016239-0.00090981i,-0.0010237-0.00093312i,-0.00039846-0.00011955i,0.00097366+0.0011193i,0.00198+0.0011871i,0.0017292+0.00073871i,0.00061977+0.00036088i,-0.00043738+0.00029173i,-4.0866e-05+7.4899e-05i,0.00022481-0.00030631i,0.00012511-0.00014159i,0.00021784+0.0001983i,0.00012693+0.00030132i,0.00013278-4.9428e-05i,0.00050353-0.00042989i,0.00093831+0.00016003i,-0.00027102+0.00033231i,-0.001224+0.00038653i,-0.00033109+0.0008231i,-0.00034286+0.00051033i
-0.0009794-0.00099841i,0.00060433-0.00021851i,0.00126+0.00043183i,0.00039871+0.00039992i,0.00037843+0.00021834i,0.00087763+6.2123e-05i,0.00075552+0.00033179i,0.0012223-8.1413e-05i,0.0022114-0.00059833i,0.0017809-0.0007676i,0.0010611-0.00018215i,0.00052851+0.00069891i,0.00029272+0.00032231i,3.7481e-05-0.00020641i,-0.000413+4.2209e-05i,-0.0009842-0.0001508i,-0.0013793-0.00031518i,-0.00079989-0.00035844i,-0.0004606-0.00040329i,-0.0007076-0.00013486i,-0.00048283-0.0001247i,0.00025965-6.6126e-05i,7.4715e-05-0.00039672i
-0.0017257+0.00099267i,-0.0022615-0.00025459i,-0.001951+0.00010366i,-0.0013161-0.00019412i,-0.0009001-0.00017371i,-0.00025279-0.00072872i,0.00034299-0.0008243i,0.0012378+0.00018397i,0.0017078+0.00038364i,0.001541+0.00030763i,0.0010203+0.00079499i,0.00016144+0.00059159i,0.00020682+0.00015354i,0.00030339-2.4921e-05i,-0.00036795+0.00040096i,-0.0003626+0.0014435i,-0.00024849+0.001426i,-0.00029459+0.001093i,-0.00037574+0.00059323i,-0.00080541-0.00024818i,-0.00016645-9.7835e-05i,6.8202e-05-0.00011302i,-0.00041773-0.00049622i
0.00048051-0.0014134i,0.00099142-0.0010164i,0.00046559-0.00089928i,0.00024598-0.00049957i,0.0004768-8.6525e-06i,-3.5801e-05+0.00055767i,0.0006637+0.00088628i,0.0022331+0.00063268i,0.0028003+0.00018634i,0.0018256-3.2883e-05i,0.00065453+0.00020566i,0.00018934+0.00068645i,-0.0001516+0.00044573i,0.00017064-0.00017114i,0.00019653-0.00053185i,-0.00079937-0.00052076i,-0.0014355-0.00029868i,-0.0011552-0.00034927i,-0.00026646-0.00039212i,4.2207e-05-0.00050822i,-9.1195e-05-0.00061619i,1.96e-05-0.00081796i,0.00029721-0.0010901i
-0.00097388+0.00043845i,-0.0014977+1.3338e-05i,-0.0009838+0.0013551i,-0.00023605+0.0012532i,-0.00048093+0.00058817i,-7.3221e-05+0.00030955i,0.0012927+0.00043468i,0.0020381+7.512e-05i,0.0022471-0.00014084i,0.001376+1.1658e-05i,4.4449e-06-0.00022536i,-0.00021533-0.00016463i,0.0001089-0.00022684i,-0.00027189-0.00054916i,-0.00082224+8.8857e-05i,-0.0004541+0.00073574i,-6.0713e-05+0.00023366i,0.00051975+9.9066e-06i,0.00095797-0.00046711i,0.0009798-0.00061887i,0.00054638-0.00049731i,-0.00024788-0.00041162i,0.00021544-8.2146e-05i
-0.00014143+0.00051492i,0.0012338-8.9992e-05i,0.00045249-0.00085333i,-0.0014529-0.0001715i,-0.001861+0.00088206i,-0.0010224+0.00084365i,-3.8211e-06+0.0012855i,0.0011273+0.0010733i,0.0016513-0.00017604i,0.00080048-0.00058145i,-0.00015159+0.00018611i,-0.00031619+0.00099553i,-0.00075741+0.0005075i,-0.00063811+0.00046269i,0.00027941+0.0007213i,-1.8212e-05+0.00060246i,-0.00053504+0.00039316i,-7.2258e-05-5.0301e-05i,0.00018799-0.00036134i,-0.00019742-7.8503e-05i,0.00039596+0.00018524i,0.00070699-9.2458e-05i,3.8106e-05+0.00026798i
0.0016341-0.000408i,0.00072313-0.00057635i,-0.0007337-0.00099972i,-0.0014065-0.0020322i,-0.00057695-0.00092727i,0.00050294+0.0013228i,0.0015904+0.0022689i,0.0027852+0.0015998i,0.0032273+0.00020947i,0.0021196-0.00068394i,-4.9723e-05-0.00065098i,-0.00088109-4.4495e-05i,-0.00024827+9.8746e-06i,-1.65e-05-6.5813e-06i,0.00029484+4.4642e-05i,0.0007802-0.00054729i,0.00039744-0.00042009i,3.28e-05+0.00062308i,-0.0005049+0.0012637i,-0.00060415+0.0011049i,-0.00064719+0.00063113i,-0.00081632+0.00015479i,-0.00063442-0.00029435i
-0.00026714-0.00051445i,-2.6986e-05+0.00039131i,-0.00049079+0.0012398i,-0.00013876+0.00096803i,0.00043773+1.8882e-05i,0.00061558-0.00021981i,0.0013369+0.00047096i,0.0021076+0.0011345i,0.0018448+0.0010558i,0.0013154+0.00012566i,0.0008909-0.00030525i,-3.3674e-05+0.00032017i,-0.00032815+0.00072394i,-3.3395e-06+0.00075716i,-0.00030436+0.00096991i,-0.0010272+0.00069808i,-0.0010422+0.00021233i,-0.00076159-0.00054591i,-0.0012498-0.00096326i,-0.00056884-0.00076851i,0.00091111+0.00023559i,0.00094847+0.00064825i,0.00029366+3.9607e-05i
0.00016231-0.00042187i,0.00019896-0.00078617i,-0.00075003-0.001531i,-0.0017431-0.0011588i,-0.0011956-0.00035819i,-0.00044704+0.00019086i,0.00030462+0.00023225i,0.00096933-0.00041963i,0.001385-0.00074881i,0.00078691-0.00072289i,-0.00015859-0.00051984i,-0.00030013+7.8857e-05i,-0.00015082-0.00038967i,0.00041093-0.0012794i,0.00019717-0.0004956i,-0.00097495+0.00011649i,-0.00097881-0.00018987i,-0.00021956-0.00035309i,-4.317e-06+0.0003429i,0.0007249+0.00069024i,0.0015872+0.00024801i,0.0011087+6.1999e-05i,5.1637e-05+5.9793e-05i
