-0.0016073+0.00054414i,-0.0011996+0.00068266i,-0.0015872+0.00061227i,-0.0023963+0.00018039i,-0.0023627+0.0009613i,-0.0016149+0.0018605i,-0.00063383+0.0022329i,-0.00070573+0.0016545i,-0.0013843+0.00095413i,-0.00097408+0.00041237i,0.00014466-1.3577e-05i,0.0004155+4.3229e-05i,0.00011215+0.00031275i,-0.0002337+0.00044316i,-0.00044789+0.00025995i,-0.00040082-0.00043657i,-7.3143e-06-0.00054896i,0.0002079-0.00038862i,-0.00042384+1.4801e-05i,-0.00071039+0.00037569i,-0.0003014+0.00024184i,0.0001257-1.952e-05i,0.00093288+0.00052215i
0.00064797-0.00040403i,-0.00055419-0.00075047i,-0.0015556-0.00027982i,-0.0009979-0.00072407i,-0.00058534-0.0012223i,-0.0014027-0.00092485i,-0.0014106-0.00068285i,-0.0012709-0.00077319i,-0.0013954-0.00029957i,-0.0019863+0.00087312i,-0.0016971+0.0015188i,-0.00052846+0.0015286i,-4.3545e-05+0.0012534i,-0.0004142+0.0013044i,-0.00038456+0.0006063i,5.7284e-05-0.00024735i,7.4815e-05-0.00032051i,-0.00026346-0.00048257i,-0.00030912+0.0001382i,-0.0004005+0.0004394i,-0.00061027+0.00023976i,0.00017299+9.1617e-05i,0.00067826-0.00032614i
-0.00017128+0.0026962i,0.001925+0.0018725i,0.0023115+0.0013509i,0.0010664+0.00064432i,0.00027819-0.00042861i,-0.00046053-0.0013084i,-0.0017133-0.00095619i,-0.0031363-0.00074577i,-0.0039804-0.00030961i,-0.0031601+0.0009043i,-0.0012167+0.001399i,-5.9769e-05+0.0004537i,-2.2437e-05-5.4285e-05i,-0.00021809+4.2136e-05i,-0.00095863+0.00044693i,-0.0014133+0.00080927i,-0.0013004+0.0005728i,-0.00073353+0.00026707i,-3.5872e-05-0.00015642i,-0.00032685+0.00021559i,-0.0011207+0.00065414i,-0.00090295-0.00016848i,-0.00060241-0.00028066i
0.0010099-0.00059668i,-0.00057148-0.0010051i,-0.0015376-0.00086761i,-0.0014947-0.0011057i,-0.0011206-0.0012906i,-0.00082771-0.00035492i,-0.00025355+0.00038201i,-0.00085668-0.00019312i,-0.0016873-0.00055377i,-0.0016861+0.00037474i,-0.0012564+0.001257i,-0.00037757+0.0015179i,-0.00058757+0.0015639i,-9.0976e-05+0.00071414i,0.00071113-0.00044185i,8.7933e-05-0.00082153i,-0.001068-0.00024209i,-0.0012992+0.00043548i,-0.00057387+0.00057416i,-0.0005938+0.00044815i,-0.0011194+0.00025798i,-0.0013951+0.00034058i,-0.00090625+0.00010141i
0.0025619-0.0008131i,0.0023511-0.00089567i,0.0025464-0.0013572i,0.0016338-0.0014878i,-0.00063219-0.0013719i,-0.00061358-0.00089462i,-0.00019579-0.00046295i,-0.0006484-0.00070002i,3.4254e-05-0.00089202i,0.00050375-9.5355e-05i,-0.00024574+0.00070396i,-0.0001621+0.00053682i,0.00055696+0.00056979i,0.00089924+0.00019484i,0.00020459-6.3304e-05i,-9.5676e-05+0.00012078i,0.00036569+0.00024501i,-0.00042653+6.3387e-05i,-0.00056917+0.00021219i,0.00027498+0.00074881i,0.00061516+0.00078244i,-0.00052094+0.00018313i,-0.0011268+0.00015437i
-0.00034962-0.00027492i,-0.00073259-0.0010575i,-0.0010682-0.0021224i,-0.00090858-0.00048572i,-0.0013812+0.00050972i,-0.0016015-8.1028e-05i,-0.0011993-0.00057749i,-0.00073327-0.0012358i,-0.00092723-0.00071686i,-0.0014483+7.6857e-05i,-0.00086597+0.00012456i,2.5795e-05+0.0008823i,-0.00020251+0.0014535i,-0.00013112+0.00060989i,-2.6794e-05-0.00025188i,-0.00097895-0.00039419i,-0.0013959-0.00074028i,-0.0013533-0.0010699i,-0.00040248-0.00058077i,-7.206e-06-4.3582e-05i,-0.00042953-0.00044291i,-0.00030351-0.00030505i,-0.00015029+0.00055556i
9.411e-05-0.00011264i,0.00063568-0.00056031i,0.00076422+5.1642e-05i,-0.00041456+7.1555e-05i,-0.0011773-0.00013021i,-0.00091153-0.00082442i,-0.00084948-0.0017882i,-0.0008747-0.0022523i,-0.00074777-0.0019284i,-0.00096671-0.00052915i,-0.00089648+0.00049345i,-0.00036392+0.00059238i,-0.00022359+0.00065486i,-0.00031625+0.00049534i,-0.00030202+4.9013e-05i,-0.00024192-0.00026642i,-0.00015203-0.00015046i,-0.00020164+0.00056067i,-0.00026947+0.00072018i,1.8616e-05-0.00013771i,-3.9682e-05-0.00034914i,-0.00020885-1.4308e-05i,0.00036195-0.00034409i
0.00025903-0.00065581i,0.00033523-0.0011338i,-4.3106e-05-0.0016637i,-0.0011092-0.0013131i,-0.0010551-0.00074025i,-0.00045873-0.00048446i,-0.00048104-0.0016828i,-0.0011847-0.0026273i,-0.0017315-0.0020093i,-0.0021316-0.000788i,-0.0017591-7.8087e-05i,-0.0012701-0.00014222i,-0.00071626+7.8229e-05i,-3.3024e-06+0.00061765i,0.0002954+0.00063571i,-0.00017336+0.00048007i,0.00032239+7.4923e-05i,0.00074415+0.00044921i,0.00022045+0.0010285i,-1.8916e-05+0.001031i,0.00013153+0.00049032i,-0.0002274+4.4999e-05i,-0.00053748+0.00016236i
0.0010315+0.0015321i,0.0015117+0.0018572i,0.0011943+0.00017606i,0.0005861-0.00050326i,-0.00061977-0.00058518i,-0.0011641-0.0016005i,-0.00068591-0.0024094i,-0.00067244-0.0020786i,-0.00082998-0.00092504i,-0.0010012-5.1849e-05i,-0.00099635+8.149e-05i,-0.00059622+0.00040132i,-0.00067846+0.0008596i,-0.00065248+0.0011485i,-0.00021059+0.0013299i,9.0655e-05+0.00091777i,0.0001104-0.00045859i,0.00012146-0.0010059i,0.00035118-0.00030497i,0.00020331+0.00021399i,0.0001176+0.00039602i,0.00041043+4.828e-05i,0.00044934-8.0554e-06i
3.1303e-05+0.000216i,0.00021827-0.00062091i,6.6313e-06-0.0012058i,-0.00060513-0.00087851i,-0.0014879-0.0016571i,-0.001575-0.0020741i,-0.001143-0.001651i,-0.0013187-0.0011633i,-0.0015935+0.00034638i,-0.0016971+0.0013363i,-0.0019113+0.00075416i,-0.0018255+0.00027911i,-0.0010439+0.00056094i,-0.00041156-0.00048499i,-0.0004977-0.0012445i,-0.00063919-0.0011637i,-0.00036973-0.0010893i,-0.0002411-0.00065507i,-0.00036801-0.00038973i,-0.00043092-0.0008433i,3.2031e-05-0.0013469i,0.00039371-0.0010739i,-0.0006045-0.00032778i
-0.00041111+0.00099642i,-0.0014147+0.0018549i,-0.00080092+0.0018252i,-0.0003525+0.0013451i,0.00016217+0.00068805i,0.00063341-0.00014023i,-0.00053734-0.00043681i,-0.001634-0.00076404i,-0.0012751+0.00016685i,-0.0010048+0.0016564i,-0.00086284+0.0013046i,-0.00046829+0.00059788i,-0.00055674+0.00053325i,-9.4968e-05+0.00024295i,0.00048614-7.7265e-05i,0.00039818-0.00058512i,-0.00051603-0.0010009i,-0.00089959-0.00066516i,-0.00075492-0.0004449i,-0.00086511-0.00018102i,-0.00095435-6.2334e-05i,-0.0011442-0.00017197i,-0.00082483+0.00034708i
0.00024442+0.00051125i,0.00089492+0.00057119i,0.00093392+0.00071054i,0.00079573+6.7161e-05i,-5.6949e-05-0.00045489i,-0.00082779-0.00073409i,-0.0012652-0.00094368i,-0.0016003-0.0011174i,-0.001452-0.0009105i,-0.00054943+0.00013567i,-0.00039126+0.00066432i,-0.00083723+0.00028242i,-0.00012984+0.00024339i,0.00014744+0.00070005i,3.323e-05+0.00041939i,-0.00055051+0.00023407i,-0.0009267+0.00020142i,-0.00055467+8.4935e-05i,-0.00010618-0.00039538i,5.5877e-05-9.7236e-05i,0.00027618+0.00043491i,-0.000232+0.00046746i,-0.00021308+0.00060956i
-0.0009309-0.00091234i,0.00014635-0.0014137i,-6.2821e-05-0.00074257i,-0.0017075-0.00015664i,-0.0014738-0.00028883i,-3.0758e-05+0.00020689i,-0.00039108+2.4249e-05i,-0.0004454-0.00092177i,-0.00037871-0.00080453i,-0.00054211-0.00037679i,-6.49e-05-1.5718e-05i,-1.9519e-05+0.00019141i,9.713e-05-0.00015441i,0.00095967+4.5738e-05i,0.00086335+0.00043873i,-0.00028504+0.00044242i,-0.00048891+0.00036069i,0.0004617+0.00056857i,0.00065332+0.00078623i,4.1373e-05+0.00025885i,5.1368e-05-0.00052666i,0.00042805-1.2577e-05i,8.6561e-05+0.00060472i
-0.00091881-0.00066023i,-0.00069406-0.00090797i,-0.00090425-0.00071406i,-0.0013451+0.00011622i,-0.0016947-0.00040966i,-0.0014976-0.0013632i,-0.00068293-0.0014373i,-0.0004008-0.00099155i,-0.001122-0.0011074i,-0.0015114-0.001335i,-0.00085968-0.00027231i,-9.5996e-05+0.00046791i,-0.00046814+8.6227e-05i,-0.0009524-0.00079305i,-0.00060699-0.00082631i,-0.00015511-0.00020819i,4.2159e-05+5.1204e-05i,-0.00012747+0.00053374i,-0.00066903+0.0010125i,-0.00074414+0.0012536i,0.00011813+0.0011552i,0.0008517+0.0008539i,0.00096689+0.00081468i
-0.00018396+6.313e-05i,-0.00039708-0.00042084i,0.00090734-0.00094581i,0.0014077-0.00052394i,0.00056895-8.8093e-05i,0.00023317-0.00049845i,0.00047969-0.0010127i,-0.0003999-0.0018151i,-0.0016443-0.0014577i,-0.0022323-0.00050238i,-0.0020319-8.3966e-05i,-0.00081667+0.00031881i,-0.00038652+0.00072028i,-0.00097248+0.0007541i,-0.00052907+0.00010483i,-1.9758e-05-0.00017852i,3.2451e-05-0.00013214i,8.346e-05-0.00017519i,0.00046448+7.2623e-05i,0.00088101+0.00039139i,0.00088717+0.00054463i,0.00044841+0.0007389i,0.0003652+0.0009075i
-2.3271e-05+0.0018324i,0.00040557+0.00079833i,0.00061209+0.00040887i,0.001014+0.00038071i,0.00098831+3.7197e-05i,0.00021493-0.0010408i,-0.00011775-0.0017617i,-0.00089883-0.0017421i,-0.0017903-0.0014572i,-0.0018296-0.00049482i,-0.0016321+0.00012234i,-0.001312-0.00040079i,-0.00094606-0.00074961i,-0.0014785-0.00069333i,-0.0019849+5.4118e-05i,-0.0018998+0.00049312i,-0.001406-8.3089e-05i,-0.00074342-0.00029946i,0.00041529-0.00049209i,0.00076862-0.00069497i,-1.2496e-05-0.00027459i,-0.00027716+6.3723e-05i,-0.000289-7.7961e-05i
2.2482e-06+0.0014582i,0.00024813+0.0015698i,0.00019541+0.0013609i,-5.0829e-05+0.0011813i,-0.00016398+0.00052889i,5.3826e-05-0.00043994i,9.1522e-05-0.0018041i,-0.00057768-0.0020085i,-0.0012522-0.00070943i,-0.0018302+0.00097372i,-0.0017744+0.0019826i,-0.0011648+0.0015135i,-0.00052299+0.00044853i,-0.00055139+9.5212e-05i,-0.00023559-2.0241e-05i,0.00082516-0.00030703i,0.00095827-0.00043842i,4.6769e-05-4.6792e-05i,-0.00062308-7.8454e-06i,0.00011934+7.616e-05i,0.00019874+0.00022645i,-0.00050041+0.00040274i,-0.00077688+0.00077677i
0.00013196-5.4733e-05i,-9.9125e-05-0.00045307i,-0.00049055-8.5718e-05i,0.00044043+9.9448e-05i,0.00056896-5.6086e-06i,-0.00017579-0.0003156i,-0.00059042-0.0002282i,-0.0014935-0.00053547i,-0.00154-0.00010667i,-0.00099978+0.00086689i,0.0003071+0.0010368i,0.0002721+0.00070833i,-0.00030776+0.00040784i,-0.00041778+0.00018285i,-0.00077769-0.00073178i,-0.00024551-0.0012117i,0.00036633-0.0011608i,3.3025e-05-0.00073562i,-0.00068048-0.00061022i,-0.00086917-0.00072593i,-0.0002317-0.0008137i,0.00044432-0.00090136i,-0.00017833-0.00010213i
0.00014764+0.0010025i,0.00046512+0.00089084i,0.00012767+0.0018322i,0.00024+0.0027503i,3.9033e-05+0.0018817i,-0.00064412+0.00035714i,-0.00055933-0.00043161i,-0.00059481-0.00052098i,-0.0010476-0.00023198i,-0.00041482+0.0006342i,0.0006045+0.0018013i,0.00020902+0.0015668i,-0.00072265+0.00088441i,-0.00046727+0.00097433i,-0.0002997+0.00085986i,-0.00054943+0.00036198i,-0.0010236+0.0004886i,-0.0010774+0.00046755i,-0.0013035+0.00019995i,-0.0013406+0.00027696i,-0.00063658+0.00087454i,0.00035498+0.00085828i,0.00076326+0.00065045i
-0.00068777-0.00017898i,-0.00019389+0.00017069i,-8.7576e-05+0.00047821i,-0.00099883+0.00046311i,-0.00087016-0.00022822i,0.00032756-0.00044967i,0.00071289+0.00026545i,-8.1138e-06-0.00034542i,-0.00033121-0.00069969i,-6.5666e-05-0.00011766i,-0.00014888+0.000442i,-0.00019612+0.00079456i,-0.00021306+0.00010274i,0.00024275-0.00032221i,0.00028074-0.00023846i,-0.00032644-0.00029403i,-0.00065776+2.1754e-05i,-0.00050848+0.00075598i,0.00023101+0.00030473i,0.00080968-0.00020034i,0.00092601-0.00023224i,0.00085531-4.811e-05i,0.00067717+0.0005879i
-0.0022919-0.00049903i,-0.001843-0.00045202i,-0.0010726+1.6242e-05i,-0.00019634+0.0012899i,0.00062363+0.0015872i,0.00066038+0.00013025i,0.0001996-0.00095565i,0.00028198-0.0015676i,-0.00058238-0.0023935i,-0.0011475-0.001375i,-0.00015099+0.00027373i,0.00043185+0.00053656i,0.00041602-0.000273i,-7.8186e-05-0.0013448i,-0.00043636-0.0013601i,0.00020752-0.00082109i,0.00076626-0.0004099i,0.00057076-0.00034747i,0.00089975+0.00032686i,0.00095562+0.0010332i,-0.00015732+0.00074144i,-0.00036705+0.00026441i,0.00028511+0.00010253i
-0.00058624-0.00067895i,-0.0015006-0.0014425i,-0.0008462-0.0016826i,-0.00091971-0.00091889i,-0.00043959-0.0011104i,0.00034495-0.0018519i,0.00024632-0.0019242i,-0.00045424-0.0023754i,-0.00077758-0.002089i,-0.001263-0.00091765i,-0.0012249-3.2003e-05i,-0.00077967+0.00045411i,-0.00056323+0.0006727i,-0.00050861+0.00061993i,7.0546e-05-5.4829e-06i,0.00029488-0.00048609i,0.00025319-0.0006847i,0.00037643-0.00053369i,0.00065922-0.00028038i,-0.00024255+0.00018351i,-0.00096653+0.00027644i,-0.00075637-0.00039583i,-0.00059879-0.00027196i
0.00040833+0.001684i,0.00050537+0.00049846i,-0.00017545+5.988e-05i,-0.00040872+0.00051162i,-0.00092552+0.00040352i,-0.0016393-0.00053505i,-0.0017308-0.001236i,-0.0016488-0.0010999i,-0.0019868-0.00030572i,-0.002152+0.0012299i,-0.0011856+0.0018546i,-0.0010654+0.0013596i,-0.0012336+0.00039717i,-0.00093629+0.00037298i,-0.00059653+0.00019607i,-0.0001944-0.00069205i,0.0003135-0.00070843i,2.6163e-05-6.526e-05i,-0.00039779+0.00056479i,-6.5534e-05+0.00099821i,-2.9984e-05+0.0011274i,-0.00080354+7.6672e-05i,-0.0011049+0.00015607i
-0.00085044-0.00065716i,-0.0014605-0.00027293i,-0.0025632+0.0005816i,-0.001862+0.0010392i,-0.0011843+0.00054059i,-0.00084185-0.00032297i,-0.00122-0.0010358i,-0.0023735-0.0018476i,-0.0028387-0.0011519i,-0.0027333+0.00098858i,-0.0010087+0.0016038i,-0.00065803+0.00079216i,-0.00086261-0.00018623i,-0.00035121-0.0010559i,-0.00035882-0.00034048i,-0.00056768-0.00022702i,-0.0015029-0.001306i,-0.001041-0.0012296i,-9.5521e-05-0.00045386i,-0.00037498-0.0005584i,0.00030141-0.00063445i,-7.6453e-05-5.1767e-05i,-0.00045983+0.0007177i
-0.00075769+0.00064371i,-0.00049965+0.00055671i,-0.0014849+0.00052067i,-0.0015876+0.00026222i,-0.00078129+0.00092643i,-0.00053062+0.00092393i,-0.0010453+2.9396e-06i,-0.0019452-0.00032337i,-0.0017589-0.00032779i,-0.0012784+0.00054967i,-0.00087721+0.00078955i,-0.00052577+0.00064602i,-0.0004221+0.0001059i,-0.00022538-0.00025394i,-0.00067919-0.00046831i,-0.0014195-0.00088026i,-0.0012083-2.4778e-05i,-0.00049734+0.00085676i,-0.00054441+0.00025253i,-0.00033652+1.295e-05i,0.00047369-2.1491e-05i,0.00045954+0.0004655i,-0.00032347+0.0011087i
0.00083689+0.0017215i,0.0018538+0.0022924i,0.0021541+0.0025211i,0.0021442+0.0018546i,0.0020445+0.00056522i,0.0010357-0.0011714i,-0.00028965-0.0011864i,-0.00066804-0.0008926i,-0.00030835-0.0005918i,-5.6289e-05+3.1862e-05i,0.00018832+0.0001102i,-5.3782e-06+5.2635e-05i,-0.00080506+0.00062024i,-0.0011622+0.0010005i,-0.0009001+0.00072605i,-0.0009273+0.00027767i,-0.00099779+0.00053965i,-0.00019867+0.00069062i,0.00016514+0.00046356i,-0.0006044+0.00043028i,-0.00051232+0.00030549i,-0.00015332+0.00022923i,-0.00025583+0.00025536i
-0.00038594+0.00029909i,0.00010883+0.0007597i,0.00020521+0.0017925i,0.00013884+0.0016402i,0.00044381+0.00062376i,-0.00026803-8.8839e-05i,-0.00062094-0.00069598i,-0.0011199-0.00083994i,-0.0020027-0.00082577i,-0.0015558-0.00076877i,-0.00094946+0.00016375i,-0.00023189+0.0010685i,1.735e-05+0.0003307i,-0.00012298+0.00021678i,-0.00041308+0.00059858i,-0.00045575+0.00036323i,-0.00026068+0.00083457i,0.00014201+0.00056934i,0.00055745+8.2545e-05i,0.00083173+0.00068239i,0.0010009+0.00074647i,0.00068689-6.3475e-05i,0.00056268-0.00017085i
0.0011792-0.0011195i,0.00072961-0.0017386i,-0.00014675-0.0017605i,-0.00014877-0.001028i,-0.00048449-0.0002538i,-0.00011146-0.00048053i,0.00026636-0.00098326i,-0.00080648-0.0011687i,-0.0014595-0.0015109i,-0.0010817-0.0016825i,-0.00094063-0.00067038i,-0.00092801-1.4322e-05i,2.3692e-05-0.00060842i,0.0013168-0.0010179i,0.0011768-0.00041998i,1.8007e-05+2.1976e-05i,-0.0001298+4.4538e-05i,-0.00054373-0.00026657i,-0.00093218-0.0005317i,-0.00069031-0.00068558i,-0.00076293-0.00074802i,-0.00072948-0.00047128i,-0.00046442-0.00039413i
-0.0020414+0.0004187i,-0.0033835+0.0018338i,-0.0038121+0.0026986i,-0.0026672+0.0024819i,-0.00078222+0.0021393i,0.0012119+0.00096689i,0.0016935-0.00099474i,-8.9711e-05-0.0018018i,-0.00227-0.00093506i,-0.002601+0.00037601i,-0.0016383+0.0004555i,-0.0011083+3.487e-05i,-0.00062657-0.00049777i,0.00018887-0.0011344i,0.00026407-0.001371i,-0.00045697-0.00053439i,-0.00053798-0.00028076i,9.1769e-05-0.00058484i,-0.0002794-9.7187e-05i,-0.00033932-8.2566e-05i,0.00041515-4.501e-06i,-0.00055008-0.00015391i,-0.001437-0.00058906i
0.0002364-0.00070637i,0.00046198-0.00048383i,-0.00050904-0.00025978i,-0.0013508-0.00020561i,-0.0011881-0.00018266i,0.00022854-0.0019311i,0.0013538-0.0032642i,-0.00024567-0.0026607i,-0.0026392-0.001174i,-0.0026843+0.00062527i,-0.001718+0.0016416i,-0.0017726+0.00094157i,-0.0020046-0.00030815i,-0.0012845-0.00038611i,-0.00029004-0.00033546i,0.00014394-0.00036962i,-0.00027668-0.00013043i,-0.00046168+0.00015449i,0.00040673-6.8065e-05i,0.00089165-0.00044999i,0.00048173-0.00032243i,0.00012824+0.00017502i,-0.00029873+0.00037967i
