-0.0013109+0.00012582i,-0.001433-0.0014426i,-0.00064719-0.0016737i,-0.00023992-0.0015004i,-0.00091954+0.00022165i,-0.00057217+0.0019832i,1.1488e-05+0.0020377i,0.00087421+0.0016232i,0.0010145+0.0019519i,0.00022527+0.001056i,-0.00024953-0.00050853i,-0.00037009-0.00091825i,-0.00061282-0.00044598i,-0.00081501+9.8734e-05i,-0.00098711+0.00068527i,-0.0011319+0.00084863i,-0.00044336+0.00023777i,0.00066938-0.00025979i,0.0004943-8.3135e-05i,-0.00018807-6.8057e-05i,0.0001733-0.00032347i,-0.00011921-0.00022052i,-0.00033504-0.00015594i
-0.0012232-0.00088772i,-0.001729-0.0012033i,-0.0017334-0.001217i,-0.00056416-0.00085888i,-0.00015046-9.0638e-05i,7.7381e-06+0.00086164i,0.00047369+0.0011229i,0.0013467+5.6541e-05i,0.0012293-0.00081404i,0.0001645-0.00096506i,-0.00044937-0.00045493i,-0.00080541+0.00032351i,-0.00093842+0.0004723i,-0.00045044+0.00078521i,-0.00044904+0.00074188i,-0.00091177+0.00061804i,-0.00045805+0.00047707i,-0.00023983-0.00022839i,-0.00066199-0.00036363i,-0.0010244-0.00030122i,-0.00064711-0.00040127i,-0.00022018-0.00032754i,-0.00080537-0.00027739i
0.00073045-0.00012801i,0.0002628-3.731e-05i,-0.00019465-0.00055047i,-0.00058618-0.0013379i,-0.00030148-0.0010416i,0.00051097-0.00049416i,0.00083844+0.00028236i,0.00039221+0.00064037i,-0.00047526+0.00076761i,-0.00068342+0.00071082i,-0.0003671+0.00026832i,-0.0007332+0.00041384i,-0.00022194+0.00015887i,0.0006908+0.00017123i,0.00072472+0.0002874i,0.00039491-0.00048852i,0.00025059-0.0003654i,0.00063971+0.00069748i,0.000787+0.0011896i,0.00044321+0.00071745i,0.00014406+0.0003974i,-7.0244e-05+0.00058066i,1.2074e-05+0.00049699i
0.0032684+0.00021495i,0.0022742-0.00043029i,0.0016311-0.0010966i,0.00067843-0.0016459i,-0.00036374-0.001517i,-0.0010436-0.00099856i,-0.00088009-0.00087933i,-0.00012373-0.00076452i,0.00025493-0.00097777i,2.348e-05-0.00064652i,0.00058035+0.00014791i,0.00071548+0.00050414i,0.0001094+0.00070846i,-0.00031366+0.00059936i,0.00029162-0.00013116i,0.00032183-0.00036726i,-0.00016385+0.00061153i,9.4043e-05+0.00087008i,-9.3916e-05+8.2987e-05i,-0.00033253-0.00024836i,-0.00037656+0.00018407i,-0.00010053+0.00078605i,-6.5329e-05+0.0012086i
-0.00027845+0.0014674i,-0.0017484+0.0004809i,-0.0020307-6.1985e-05i,-0.0012145-0.00053459i,-0.00039309-0.0008137i,-0.00055115-0.0007803i,-1.913e-06-0.00026567i,0.00098625+0.00036196i,0.00046896-0.00029763i,-0.00033042-0.0009203i,1.2014e-05+7.6183e-05i,0.0005153+0.00094101i,0.00021914+0.00047821i,9.8469e-05+0.00015907i,0.00049218+0.0003201i,0.00047982-0.00012183i,0.00040543-0.0005061i,0.00046662+0.00019275i,6.6608e-05+0.00084271i,-8.0841e-06+0.00044044i,0.00010211+0.00019543i,0.00011698-0.00014988i,0.000179-0.00038444i
0.00035401-0.0015171i,0.00031727-0.0020812i,-0.00058962-0.0010995i,-0.00076236+0.00054486i,-0.00017018+0.00075443i,-1.0769e-05+0.00029185i,0.00017936+7.1264e-05i,0.00067475+0.00015059i,-2.2242e-05+0.00040225i,-0.001034-0.00019479i,-0.0013226-0.0014281i,-0.00058364-0.0003601i,-0.00014772+0.00059635i,-0.00062845+0.00032154i,-0.00078222+0.00010769i,-0.00018822-2.9333e-05i,4.7437e-05+0.0001288i,0.00058744+0.0001446i,0.00066193-0.00021429i,0.00056522+2.2918e-05i,0.0012836-6.671e-05i,0.0012713-0.00026506i,0.00058598+0.00039866i
0.00058563+0.00082462i,0.0012756-0.00033436i,0.0010706-0.00085588i,0.0001876-0.00083234i,-0.00034186-0.00071713i,-2.9507e-05-0.00027701i,5.3816e-05-4.0221e-05i,-0.00040052+2.3991e-05i,-0.00027721-3.4143e-06i,0.00040416+0.00010016i,0.00077272+0.00013224i,-0.00028419-7.8384e-05i,-0.0016783-0.0003201i,-0.001528-0.00062191i,-0.00021634-0.0010284i,0.00062295-0.00056894i,-0.0003163-0.0004528i,-0.0010053-0.00096435i,-0.00036344-0.00087598i,0.0001091-0.00055581i,-0.00052395-0.00086674i,-0.00060178-0.00033345i,-0.00011515+0.0001759i
-0.00016278-0.0019134i,-0.00077671-0.0013163i,-0.0022098-0.001115i,-0.0024872-0.001092i,-0.0015256-0.00073234i,-0.00051972+0.0010834i,0.00021458+0.0018587i,0.0010795+0.0014691i,0.00047668+0.00094492i,-0.00049727+0.00090495i,-0.00079412+0.00126i,-9.821e-05+0.00044383i,0.00072067-0.00017765i,-0.00013106-0.00011217i,-0.00054119-0.00075668i,0.0001865-0.0004999i,0.00063945+0.0006542i,0.00091538+0.0010823i,0.0010492+0.0010812i,0.00053608+0.00057379i,0.00012563+0.00040335i,0.0001217+0.00060572i,0.00025322+0.00014667i
0.0010689-0.00054907i,0.0012009-0.00054309i,0.00017846-0.00077164i,-0.0012002+3.3167e-05i,-0.0013948+0.0015142i,-0.00030739+0.00189i,0.00022979+0.0012975i,0.00048243+0.00061792i,0.00039658+0.00021257i,-0.0002597+0.00035818i,-0.00012649+0.00012641i,-7.1185e-05-0.00064708i,-0.00040238-0.00086623i,-0.00039853-0.00038475i,-7.7322e-05-0.00025618i,0.00064861-0.00053219i,0.0013969-0.0007798i,0.0011762-0.00099929i,0.00041797-0.00067293i,-0.00029114-0.00034848i,0.00010527-0.00034323i,0.00084718+0.00011304i,0.00084904+0.0010584i
-0.00012184-0.00050925i,-0.00082993-0.0011438i,-0.0014228-0.0018895i,-0.0011604-0.0016637i,-0.00051959-0.0012819i,-0.00012561-0.00061842i,-0.00026766+0.0002864i,-7.8027e-05+0.00072039i,0.00074248+0.0010847i,0.00074394+0.0010569i,0.00038238+0.00026157i,-0.00012807-0.00012369i,-0.0013513-2.1859e-06i,-0.0016742-0.00028403i,-0.001823-0.00016287i,-0.0006861+0.00047386i,0.00092123+0.00077226i,0.0011496+0.00022644i,0.00084589-0.00037026i,0.00053154-0.00046538i,0.00048311-0.00028015i,-8.794e-05-1.0247e-05i,-0.00040443-0.00063106i
0.0027657-0.00069495i,0.002993-0.0012856i,0.0024461-0.00092579i,0.00091129-0.00078167i,0.00067861-0.00053835i,0.0010571-0.00030104i,0.0012046+0.00045762i,0.0012658+0.00064513i,0.00090944+0.00011239i,5.3182e-05-0.00013196i,-0.00041936+0.00017852i,-0.0005927+0.00015356i,-0.00058099+0.0002509i,-0.00070697+0.00029039i,-0.00032619+0.00014191i,-8.9269e-05+0.00058953i,-0.00052083+0.00032039i,-0.00018637+0.00043926i,0.00053292+0.00023976i,0.0001427-0.0003446i,-0.00032148+0.00027029i,0.00024403+0.00086499i,5.2118e-05+0.00050464i
-0.0014881+0.0004016i,-0.001709-0.00018525i,-0.00090602-0.00070947i,-0.0004282-0.0011352i,-0.00089012-0.00084203i,-0.00096768-0.00041887i,-0.00055714-0.00045964i,-0.00060166+0.00036276i,-5.4693e-05+0.00057306i,-9.4852e-05-0.00048611i,-0.00092492-0.0013165i,-0.0012794-0.00093759i,-0.00078208+1.1992e-05i,-0.00018234+0.00029395i,-0.00016521+0.00016048i,0.00040103-0.0001745i,0.0005493+0.00018191i,0.00036322+0.00052779i,0.00037309-0.0002962i,0.00082197+3.3356e-05i,0.00080665+0.00069885i,0.00014298+0.00034264i,0.00018705+9.4386e-05i
0.0026947-0.001758i,0.0020585-0.0019436i,0.0011282-0.0014133i,0.00025971-0.0010214i,-0.00090152-0.00044468i,-0.0013514+6.6686e-05i,-0.00038871+0.00055782i,0.00040073+0.00054217i,0.0008445-8.4172e-05i,0.00041028-0.00030818i,-7.3411e-05-0.00017048i,0.00040208+2.5882e-06i,0.00054781+0.00041387i,0.00042053+0.00047464i,0.00099205+3.0331e-05i,0.0013177-0.0002772i,0.00045367-0.0002811i,-0.00056096-0.00028553i,-0.00013992-0.00063845i,0.0008574-0.00022862i,0.00049384+0.00030613i,-6.8285e-05-7.5878e-05i,9.9683e-05-0.00031731i
-0.0013189+0.0014382i,-0.0017597+0.0012911i,-0.0015602+0.0010038i,-0.0011754+0.0010564i,-0.00020576+0.00084064i,0.00084069+0.00042474i,0.0013222+0.00040558i,0.0018041+0.00061241i,0.0013721+0.00056165i,0.00044025+0.00056227i,0.00022235+0.00038678i,-0.00017502-0.00078088i,-0.00030883-0.00089902i,-0.00076454-0.00010247i,-0.0012714+2.3359e-05i,-0.0003561+3.9115e-05i,0.00034969+0.00076225i,-7.1669e-05+0.00072989i,0.00037026-1.8308e-05i,0.0003937-0.0002256i,-8.0527e-05-0.00025241i,-0.00024173+0.00016997i,-0.00034557+0.00010391i
-0.0010657-0.0020067i,-0.00042364-0.0018649i,-0.0007287-0.00097652i,-0.0015827-0.00033141i,-0.0022813+5.5074e-05i,-0.0011908+0.00051664i,-8.0394e-05+0.00045544i,-9.2175e-05+0.00041639i,-0.00011954+0.0010371i,-0.00034658+0.0010207i,-0.00075936+0.00028638i,-0.00090847-0.00058568i,-0.00054368-0.00077246i,-0.00050626-8.3713e-05i,0.00029523+0.00018276i,0.0014462-4.2959e-05i,0.00078949-0.00010874i,-6.1411e-05-0.00087954i,0.00040289-0.0010689i,0.00034469-0.00056768i,0.00039102-0.00061137i,0.00042724-0.00054897i,0.00038436-0.00074068i
-0.00057779+0.00026537i,-0.00060751+0.00012239i,-0.00035889+0.00038921i,-0.00043907+9.7759e-05i,-0.00012576+0.00023367i,1.0289e-05+0.00062287i,0.00023215+0.00082252i,0.00046254+0.0010512i,8.1522e-05+0.00072383i,-0.00038041+0.00032978i,-0.00049394-0.00032568i,-0.00061811-0.00037977i,-0.00081685-0.00016066i,-0.00052242+0.00019163i,0.00015119+0.00073068i,-0.0003091+0.00090831i,-0.0015478+0.00057775i,-0.0005069+0.00012029i,0.00071762+0.00056148i,0.00013043+0.00045625i,-0.0010104+0.00028668i,-0.0012715-2.6094e-05i,-0.00085882-0.00063666i
0.0015804+0.00047811i,0.00043439-0.00032021i,0.00024136-0.00067537i,0.00056495+0.00033822i,0.0005286+0.00033152i,0.00057617+0.00050269i,0.00051329+0.0011695i,0.00037356+0.00080748i,0.00057532-7.4529e-05i,0.00027862-0.00027621i,-0.00088681-0.00026399i,-0.0017709-0.00043784i,-0.00096152-0.00028739i,-3.0736e-05-9.175e-05i,-0.00011994-2.682e-06i,-0.00024164-1.4954e-05i,-0.00033181+0.00036825i,-0.00021388+0.00095929i,0.00011448+6.2802e-05i,-9.8363e-06-0.00039087i,-0.00096988+0.00070097i,-0.00093779+0.00076035i,-0.00031402-0.00024871i
0.0016474+0.00047204i,0.000785+0.00045844i,0.0001909+0.00032066i,-0.0014164-0.00038029i,-0.0020106-0.00060911i,-0.0010901+0.00011423i,0.00054148+0.0013692i,0.0013756+0.0017254i,0.0010045+0.0010018i,0.0004685+0.00013468i,0.00025291-0.00026864i,0.00011774-0.00052066i,-0.00017882+3.7091e-05i,4.4261e-05+0.00022764i,-2.8832e-06-3.5163e-05i,0.00030954+0.00031955i,0.0006816+0.00046351i,0.00049729+7.9667e-05i,0.00068259+0.00028688i,2.461e-05+0.00042758i,5.6943e-06-0.00021479i,0.00061264-0.00031211i,0.00044131-0.00036037i
0.0024041-0.00053027i,0.00080363+0.00038896i,3.9183e-05+0.00049085i,-0.00099981+5.3147e-05i,-0.0016383+2.6917e-05i,-0.0013547+0.00034008i,-0.0006094+0.00048393i,0.00053722+0.00019382i,0.00065649+9.9935e-05i,0.00049356+7.1336e-05i,0.00030688-9.0359e-05i,-0.00012678+4.9202e-06i,-0.00014477+0.00040101i,0.00031309+0.00084303i,0.00050433+0.0012967i,0.00050724+0.0011829i,2.437e-05+0.00027237i,-0.00020036-0.00033516i,0.00058039-0.0002408i,0.00037737-0.00059308i,0.00014111-0.00070376i,0.00010542-0.00062166i,-0.00064569-0.00094018i
-0.0011818-0.0012586i,-0.0011344-0.00030221i,-0.0015533-0.00043397i,-0.002572-1.4459e-05i,-0.0025637+0.0010154i,-0.0016776+0.0010281i,-0.00017174+0.00057728i,0.0018531+0.00088693i,0.0017698+0.0016878i,0.00089594+0.0015356i,0.00022844+0.00029797i,-0.00070622+7.5349e-05i,-0.0014531+0.00036757i,-0.0010634+0.00052253i,-6.4242e-05-0.00042009i,0.00085664-0.00085827i,0.00090641-0.00019808i,0.00080679-6.6123e-05i,0.00076321+0.00015614i,0.00015192+0.0011i,-0.00044761+0.0010691i,-0.00078524+8.9661e-05i,-0.0010692+3.0874e-05i
0.0020578-0.0022996i,0.0009539-0.002173i,-0.00035534-0.00088332i,-0.00091452+0.00026771i,-0.0006606+0.0011708i,0.00043054+0.0014204i,0.0014573+0.00084999i,0.00093864+0.00098527i,-0.00060315+0.0014435i,-0.0003917+0.0013426i,0.00010751+0.00099898i,-0.00040164+0.00011635i,-2.7325e-05-0.00030304i,0.00087249+0.00023307i,0.00061806-0.00020385i,0.0002086-0.00090726i,-0.00011752-0.00085038i,-0.00035965-0.00096942i,1.8774e-05-0.00059544i,-0.00057429-0.00015148i,-0.0011491+0.00014313i,-0.00041233+0.00084967i,-0.00042135+0.00045459i
-0.0025101+0.001818i,-0.00081481+0.0012797i,0.00072801+0.00044091i,0.00080575+8.1766e-05i,0.00073677-0.00014536i,0.0010384-0.00053624i,0.00039581-0.0003659i,8.358e-06+0.00072279i,-0.00054247+0.0013182i,-0.0010533+0.00086079i,-0.00040222+0.00053002i,-7.3581e-05+0.00023228i,-0.00028908-0.00017619i,-0.00023148-0.00080081i,5.3857e-05-0.00072769i,-9.3779e-06-0.00029882i,-0.00051571-0.00014979i,-0.00041162-6.3734e-05i,-4.6913e-06+0.00012419i,7.3184e-05+0.00011412i,-0.00025153+0.00011968i,-0.00064797+0.00038105i,-0.00048694+0.00064927i
-0.0014574-0.0012218i,-0.0013443-0.0024059i,-0.00068834-0.001126i,2.8302e-05-0.00053161i,0.00057727-0.00077984i,0.0013362+7.0122e-05i,0.001143+0.0006873i,0.00084991+0.001321i,0.00056796+0.0013166i,-3.3385e-05+5.7823e-05i,-0.00019409-1.1085e-05i,-0.00012231-5.1554e-05i,-0.00017239-0.00038187i,-0.00045375-0.00078347i,-0.00016961-0.0010478i,-2.152e-05-0.00081529i,0.0002081+0.00011241i,0.00060991+0.00021338i,0.0004431-0.00029096i,0.00026148+2.7063e-05i,0.00020038+0.00047469i,-0.00033472+0.00019556i,-0.00047738-0.00039082i
0.0035271+0.00057472i,0.0019005+0.00092468i,0.0010784-0.00076551i,-0.00039497-0.0015322i,-0.0014988-0.0013824i,-0.0007323-0.00059549i,0.0001694+0.00064027i,0.0010375+0.00059408i,0.0014572-4.5386e-05i,0.0010396-0.00024972i,0.00056242+0.00036816i,-0.00052414+8.2248e-05i,-0.00074697-9.0211e-06i,-0.0001555+0.00056745i,4.3698e-05+0.00054759i,0.00034526+0.00010397i,0.00034572+2.0623e-05i,-6.0314e-05+0.00023587i,0.00037678-0.00014126i,0.00064957+2.4046e-06i,0.00016198+0.00025562i,-0.00034142+0.00034845i,-0.00012485+0.00099516i
0.00080381-0.0024011i,0.00097509-0.0028253i,0.0007193-0.0020732i,-0.00015298-0.0014264i,-0.00094068-0.00081768i,-0.0011411-0.00029139i,-0.00028974+0.0005608i,-0.00021204+0.0013318i,-0.00044336+0.00052329i,-0.00043227+8.2131e-05i,-0.00067763+0.00027073i,-0.00078849+0.00026956i,-0.0004005+0.00019262i,0.00013249+0.00036747i,0.00046553+0.0010897i,0.00063898+0.0011018i,0.00015574+0.00059603i,0.00032099-6.6772e-05i,0.0010592-0.00016647i,0.00082461+0.00059018i,7.6312e-05+0.0012196i,-0.00024352+0.00091483i,-0.00052882-9.4181e-06i
-0.0012712+0.00084688i,-0.0011739+0.00095854i,3.3783e-05-0.00021735i,0.00016912-0.0008887i,-0.00050326-0.00023558i,-0.00050505+1.3181e-05i,-0.00021963+0.00018778i,0.00042959+0.00016969i,0.00064971+0.00056771i,0.00055819+0.00093894i,1.8764e-05+0.00073615i,0.00011613+0.00048974i,0.0003153-0.00039617i,-3.2818e-05-0.00032867i,-0.00036566+0.00032053i,-2.2772e-05+0.00010372i,2.6476e-05-8.4076e-05i,-0.00070156-0.00048321i,-0.00083462-0.00091968i,-0.00057702-0.0002892i,-1.8529e-05+0.00035221i,2.5087e-05+0.00010229i,0.00029466-0.0002792i
0.0012121-0.0010327i,0.0010257-0.00090869i,-0.0011994-0.00081225i,-0.0016866-0.00085762i,-0.00029285-0.00034129i,0.00096656+1.5065e-05i,0.0012095-0.00043175i,0.00093837-0.00046531i,0.0007174+0.00085453i,0.00030815+0.00048697i,-0.00017457-0.00011962i,-0.000659-0.00027007i,-0.00073959-0.00022553i,-0.00019578+0.00016618i,0.00071882+0.00049357i,0.00031436+0.00095309i,-0.00029901+0.00071703i,-4.7078e-05+0.00035299i,0.0002306+0.00017286i,-0.00028367+0.00058704i,-0.00078276+0.00091411i,-0.00075004+0.0007638i,-0.00073425+0.00054292i
-0.00075607+0.0014853i,-0.001677+0.0014222i,-0.0013397+0.00050976i,-0.00082199-0.00035339i,-0.00029615-0.00063809i,-0.00055253+0.00028396i,-0.00043737+0.00080279i,0.00049879+0.00064756i,-0.000259+0.0013112i,-0.0011249+0.00056515i,-0.00072827-0.00031445i,-0.00049578+7.6348e-05i,-9.4306e-05-0.00012353i,0.00054129-0.00073223i,8.5748e-05-0.00033533i,-9.7861e-05-0.00022259i,0.00075037-0.00013448i,0.00042186+0.00031092i,0.00014172+0.00010293i,2.7799e-05-5.6246e-05i,-0.00053034-0.00026058i,-0.00058068-0.00063656i,-0.00064392-0.00072435i
0.0018819+0.00047318i,0.0023444-0.0010784i,0.0021972-0.0016372i,0.00061293-0.0011817i,-0.0014577+0.0001375i,-0.0019737+0.00053281i,-0.00063799+0.0011662i,0.00014668+0.0011624i,0.00050192-8.3504e-05i,0.00037346-0.00074008i,-9.6672e-05-0.00048441i,-0.00026687-0.00022182i,-5.7142e-05+0.00013947i,0.00079559+0.00074638i,0.00078629+0.00025536i,-0.00013427-0.00048206i,0.00010993-0.00058422i,0.0010193+5.9679e-05i,0.00045027+0.0005277i,-0.0010779+0.00010933i,-0.0011013-0.00048275i,0.00030589-0.00024508i,0.00086968+0.00031874i
-0.00032611+0.00083047i,-0.0007079+0.0010956i,-0.0012574+0.00033982i,-0.0012203+0.00019456i,-0.00018427+0.00057596i,0.00057667+0.00071505i,0.00081819+0.001233i,0.00085414+0.0014091i,8.5095e-05+0.00091767i,-0.00051804+0.00059708i,-0.00054427-0.00013776i,-0.00036312-0.00047765i,-0.00077002-0.0007183i,-0.0010818-0.00031937i,-0.00042902+0.00012405i,0.00056873+0.00017176i,0.00082648+0.0010438i,0.00046449+0.00084325i,0.00032156+3.8824e-05i,9.4419e-05+0.00031754i,9.6436e-05+0.00032841i,0.00044396+0.00048147i,5.6547e-05+0.00058299i
0.00020493-0.0023645i,0.00075559-0.0015841i,0.00011589-0.0021718i,-0.0014331-0.001385i,-0.0010228-0.00039928i,0.0006272-0.00043431i,0.00065453-0.00038301i,-5.0723e-05+0.00024323i,-0.00084306+0.00077584i,-0.0013985+0.00076457i,-0.00048206+0.0007663i,0.00044984+0.00040138i,0.00042754-4.548e-06i,0.00046326-0.00059485i,0.00073039-0.00012646i,0.0010954+0.00078652i,0.00091724+0.00069484i,-0.00013629+0.00010619i,-0.0004396-7.7629e-05i,-0.00048956+0.00042452i,-0.00052518-0.0002392i,7.9754e-05-0.00046083i,0.00036904+0.00049965i
0.0010005+0.0016713i,-0.00031999+0.00098329i,3.1598e-05+8.1611e-05i,0.00015614-0.00047984i,-0.00053524-0.00092057i,-0.00051074-0.0003396i,-0.00024391+0.0012356i,0.00017102+0.0015024i,0.00099229+0.00026595i,0.00066757-0.00080018i,-0.00029492-0.00066772i,-0.00016923-0.00015319i,-0.00010735+0.00021495i,-0.00039689+0.00015051i,-0.0001694-0.00015578i,0.00040553-0.00034163i,0.0003042-0.00059911i,6.7705e-05-0.0003572i,0.00025784-0.00037059i,-0.00047521-0.00094173i,-0.00055391-0.00082765i,-0.00046939-0.00021322i,-0.0001051-0.00035674i
