-0.0024469+0.00063301i,-0.002262-0.00069905i,-0.0032608-0.00075431i,-0.0027361-0.00062369i,-0.0017874-0.00045492i,-0.00024733-4.6303e-05i,0.00064781+0.0011257i,0.00079251+0.0014552i,0.001152+0.00082621i,0.00047889+0.00027087i,-4.4253e-05-0.00029999i,0.0003752-0.00043444i,0.00076577-4.9203e-06i,-0.00057009+0.00020865i,-0.0013457+0.00012307i,-0.00017199-4.4681e-06i,-0.00013726-7.872e-05i,-0.00029604+0.00054101i,0.00056582+0.00044102i,0.00058233+0.00028125i,0.00067418-0.00045045i,0.0013596-0.00083846i,0.00054797-0.00027031i
-0.00023396+0.00090608i,2.1748e-05+0.00080811i,-0.00029925+0.00030593i,-5.7716e-05+0.0012063i,0.0010256+0.0019627i,0.0016023+0.0017021i,0.00061071+0.00061682i,9.3928e-05-2.4982e-05i,-0.00037251+0.00014802i,-0.00064652+1.6098e-05i,-5.7598e-05+3.7457e-05i,0.00031514-2.0993e-05i,0.00021178-7.0908e-05i,0.00041297-6.4348e-05i,0.00038058+0.00015733i,0.00017038+0.00013008i,0.00064008+0.00017248i,0.00058746-0.00018671i,-0.00054092-0.00051669i,-0.00082778-0.00061393i,-0.00018893-0.00059276i,0.00079881-0.00037974i,0.00013025+5.273e-05i
-0.00041312+0.00064456i,-0.0014394+5.8216e-05i,-0.0024235+0.00064484i,-0.0020705+0.00034944i,-0.00092791+0.00017956i,-0.00044827-0.00072948i,-0.00030029-0.0017993i,0.00032439-0.00099236i,0.00044559+0.00063688i,0.00068841+0.00098549i,0.00072042+0.00058613i,0.00031842+0.00043788i,3.509e-05+0.00070205i,-0.00033377+0.00057262i,-0.00034321+0.00076625i,-0.00049852+0.0010458i,-0.00043087+0.0011631i,0.00022204+0.0013376i,0.00087785+0.00076974i,0.00096774-0.00021171i,0.00027103-0.00081258i,0.00017679-0.00016325i,0.00022999+0.00013321i
0.00087167-0.0010047i,0.00064802-0.0018609i,-0.00034797-0.00064258i,-0.00071902+0.00017833i,-0.0003253+0.00017155i,0.00035184+0.00044961i,8.621e-05+0.00078646i,-0.00047162+0.00092562i,-0.00038092+0.00048434i,-0.00022806+0.00041071i,0.00029361+0.00069548i,0.00024719-1.4737e-05i,-0.00071812-0.00041652i,-0.00085094-5.6239e-05i,-0.00016747-7.5757e-05i,0.00056388-3.0761e-05i,0.0003896+0.00041922i,0.00068438+9.9859e-06i,0.0010343-0.00023236i,0.00027204+0.00033273i,-0.00078181+0.00075577i,-0.00087481-0.00039152i,5.4939e-05-0.00082897i
0.0014111+0.0011739i,0.0015495+0.00087335i,0.001226+0.00028809i,0.0010221-6.1756e-05i,0.00065305-0.0001579i,-0.00025182-0.00033656i,-0.00065029-0.00013185i,-0.00048647+0.00023733i,-0.00057053+0.00010124i,-8.9881e-05-0.00057493i,8.0907e-05-0.00075906i,-0.00011737-0.00078163i,8.5875e-05-0.00094283i,0.00048594-0.00063614i,4.6167e-05+0.00024732i,0.00011402+0.00076654i,0.0001093+0.00058406i,-0.00058871+0.00037751i,-0.00044709+0.00019631i,-4.3908e-05-0.0006669i,0.00013346-0.00098117i,0.00020901-0.00037697i,-0.00021245-0.00035614i
-0.0015192-0.001461i,-0.0023769-0.0005577i,-0.0018743-0.00031125i,-0.0011832+0.001118i,-8.8773e-05+0.0022747i,0.0012631+0.0011589i,0.00055949-0.00012995i,-0.00032607+0.00017891i,-9.4489e-05+0.00050502i,-0.00036458-1.876e-05i,-0.00048376-0.00089248i,-6.7206e-05-0.00065549i,0.00057703+0.00017641i,0.00093285-4.6582e-05i,0.00083163+3.3639e-05i,0.00045829+0.00043554i,-0.00023015+6.9535e-05i,-5.3303e-05-0.00031917i,0.00048466-0.00029987i,0.00055922-0.00044185i,0.00035237-1.2974e-05i,0.00018327+0.00031973i,-0.00054571+0.00030704i
-5.7719e-05-0.00056115i,0.00017167-0.00093827i,0.001088-0.0010038i,0.0012736-0.00048611i,0.0012514+6.546e-05i,0.0013716-1.6458e-05i,0.00023395-0.00029835i,-0.000125-0.00030949i,0.00020628-9.302e-05i,7.6472e-05+0.0001073i,-0.00025906+0.00035848i,3.2475e-05+0.00053875i,0.00064521+0.00014908i,0.00051972-0.00027628i,0.00029854-0.00050893i,0.0010615-0.00026502i,0.0013406+0.00037602i,0.00046544+0.00029505i,-0.00016505+0.00027497i,0.00029091+0.00011693i,0.00047578+0.00025957i,-0.00027079-1.9554e-05i,-0.00045948-0.00094145i
-0.0032008+0.0013663i,-0.0038824+0.001408i,-0.0044598+0.0024948i,-0.0033708+0.0031109i,-0.00061375+0.0026454i,0.0011833+0.00092184i,0.00065261-0.00012077i,0.00040341+0.0001215i,0.00047948+0.00024069i,1.575e-05+0.00044857i,0.00084424+0.00051547i,0.0011021+8.4032e-05i,0.00020851-0.0010121i,5.1531e-05-0.001136i,-0.00045626-0.00030581i,-0.00087162+6.1476e-06i,-0.0007899-7.8918e-05i,1.4898e-05+0.00025033i,0.00058262+7.7158e-05i,0.0011042-0.00050702i,0.0011479-0.00052408i,0.00054505-0.00075316i,0.00025809-0.0011437i
0.0016024-0.0004003i,0.0016345-0.0010834i,0.0017727-0.00098077i,0.00066586+6.5161e-06i,0.00019516+0.00010024i,0.000244-0.00071329i,-0.00026106-0.0011776i,-0.00081442-0.00058686i,-0.0005622+0.00010946i,-5.3748e-06+0.00044993i,0.0006932-4.077e-05i,0.00067838-0.00047925i,-0.00018896-0.00065077i,3.1637e-05-0.00051453i,0.00058491-0.00014924i,0.00021484-0.00081664i,-0.00043743-0.00058261i,-0.00019124+0.00024291i,-0.0001453+0.00026931i,-0.00037031-0.00029832i,-0.00029656+1.6549e-05i,-7.7739e-06+0.00066116i,0.00052611+5.2529e-05i
-0.00033893+0.00066097i,-0.0015592+8.3497e-05i,-0.0021858+0.00062343i,-0.0016043+0.001195i,-0.0003807+0.00098559i,0.0001115+0.00011863i,0.00028227-0.00021804i,0.00025094-0.00026085i,0.00033104-0.00086701i,0.00036976-0.00062208i,-0.0004086+0.00023267i,-0.001199+0.00032312i,-0.00084044-0.00012821i,-0.00050105+0.00046508i,-0.00047104+0.00016783i,0.00016386-0.00071964i,0.00028238-0.00011688i,9.4167e-05+0.00018847i,-0.00013106+0.00012588i,-0.00019831+0.00067276i,0.00041121+0.0011211i,0.0006332+0.0010497i,0.0004167+0.00025262i
-0.0010917+0.0019659i,-0.00085235+0.0026944i,-0.00088219+0.0039472i,-0.00012635+0.0029558i,0.0012005+0.0014589i,0.001453+0.00048794i,0.00018257-0.00025844i,-0.00043292-0.00031369i,6.351e-05+0.00026187i,0.00044198+0.00074261i,0.0010645+0.0011545i,0.0010981+0.00070272i,0.00054396+3.9509e-05i,0.00024015-0.00047309i,0.00011256-0.00067698i,0.0006585+4.274e-06i,0.0011444+0.00049002i,0.00095875+7.1879e-05i,0.00090812-0.00011102i,0.00088318+7.386e-05i,0.000444-0.00010691i,-0.00035775-0.0007152i,-0.00051972-0.00073229i
0.0015846+0.0013372i,0.0013221+0.0009415i,0.0017491+0.00075584i,0.0020295+0.0011823i,0.0022841+0.0012273i,0.0011622+0.00017407i,0.00017915-0.00040193i,0.00030625-0.00018792i,0.00087401-0.00047519i,5.0276e-05-0.00080421i,-0.00071571-0.0010633i,0.00052408-0.0010053i,0.00090583-0.00077016i,0.00038957-0.00054826i,0.00053186-0.00036296i,0.00039869+2.9176e-05i,0.00030486+8.3123e-05i,0.00047434-9.5873e-05i,0.00093423-9.4711e-05i,0.00033999-0.00071239i,-0.00074031-0.0016785i,-8.2041e-05-0.0010618i,0.00078399+0.00061627i
-0.0013+0.00063003i,-0.0013268-6.0725e-05i,-0.0004945+0.00039948i,0.00020671+0.00059553i,0.0009313+0.00086526i,0.00097918+5.1519e-05i,0.00019711-0.00072693i,-5.7578e-05-7.2084e-05i,0.00082062+0.00075528i,0.0016329+0.00036374i,0.0012703-0.00035977i,0.00034225-3.6931e-05i,-0.00013732+0.0011488i,-0.00013878+0.0010316i,-0.00026094-0.00019348i,-0.00011311-0.00024007i,4.4269e-05+0.00076518i,-6.3207e-05+0.0013877i,-0.00026238+0.0013046i,-0.00031058+0.00037185i,-0.00027287+0.00046689i,-0.00028742+0.00081718i,0.00021002+0.00086163i
0.00057723+0.00043634i,-0.00025362+0.0001811i,-0.00011476+0.0011449i,0.00073077+0.0019147i,0.0010328+0.0005255i,0.0008679-0.00059925i,0.00066164-0.00065378i,-4.649e-06-0.00024925i,0.00015984+0.00024084i,0.00055327+9.8674e-05i,-0.00013967-0.00010224i,0.00014921-0.00051297i,0.00072493-0.0013386i,0.00050468-0.0015504i,0.00083596-0.001425i,0.00076713-0.0010638i,0.00030383-0.00056556i,-4.916e-05-0.00037361i,0.00060337-0.00069499i,0.00083236-0.00063664i,0.00092885-0.00022729i,0.0012189+0.00049412i,9.8163e-05+0.00014258i
-0.0018418-0.00093819i,-0.0018447-0.00018297i,-0.0016895+0.00020617i,-0.00018333+0.0015316i,0.00072717+0.0018344i,0.00076704+0.00035651i,0.0009109-0.00059777i,0.00066253+0.00018731i,0.00010277+0.0011333i,-0.00060209+0.00039943i,-0.00095197+0.00048707i,-0.0011281+0.00060674i,-0.00096568+0.00029762i,-0.00046091-0.0003028i,0.00046604-0.00050921i,0.0004346-8.7172e-05i,-0.00066437+0.00022599i,-0.00050039+0.00049611i,0.00030856-0.00014211i,0.0004507-0.00075409i,0.00044268-0.00033049i,0.00040098+0.00037291i,0.00015477+0.0006857i
0.00053696-0.00069296i,0.00065262-0.001616i,0.0012124-0.0015283i,0.0010697+0.00010174i,0.001436+0.0013297i,0.0017381+0.0012443i,0.0012479+0.00041904i,0.0015406-0.00035212i,0.0020465-0.00037539i,0.00090249+1.6527e-05i,-0.00019748+0.00060169i,-0.00078238+0.00085756i,-0.00064667+0.0003064i,0.00050433+0.00043157i,0.00016125+0.00050107i,0.00055004+0.00015604i,0.0009462+0.00036879i,0.0001513+0.00046692i,0.00031997+0.00020654i,0.00051333+0.00010921i,-0.00031372+1.9061e-05i,-0.00054325-0.00033511i,-0.00026559-0.00045871i
-0.0014078+0.0005057i,-0.00050503+0.00013973i,-0.00046653+5.2287e-05i,-0.00053189+0.00034364i,0.00079347+0.0002999i,0.0013537-0.0011424i,0.0012668-0.0018014i,0.00081618-0.0004738i,0.0004433+0.0007057i,0.0012339+0.00070002i,0.0016635+0.00042302i,0.0011378+0.00013564i,-0.00024066+5.8343e-05i,-0.00083391-0.00011036i,-0.00092403+0.00024758i,-0.0009194+0.00010434i,-0.00029735-0.0003788i,-0.00065856-0.00033804i,-0.00049545-0.00028509i,0.0005147-0.0003694i,0.00046808+0.00020782i,0.00032412+0.00051675i,0.00018584-1.6313e-05i
0.0013389-0.0018452i,0.00053344-0.0023741i,-0.00087958-0.0023507i,-0.0017344-0.00053297i,-0.0011656+0.00051604i,2.492e-05-2.9717e-05i,0.00052946-0.00052499i,4.7561e-06-0.00054431i,0.00052754-0.00020236i,0.001087-3.4979e-06i,0.00079521-0.00079285i,0.00031028-0.0012626i,-0.00037655-0.00045505i,-0.00043918-2.343e-05i,-0.00010071+0.00018777i,0.00025965+8.7309e-05i,0.00022475-8.7695e-05i,0.00036916-0.00018825i,0.0011501-0.00046592i,0.00076379+0.00012567i,8.3694e-05+0.00050452i,-0.00046206+0.00020613i,-0.00079349+7.0062e-05i
0.0023628+0.0010549i,0.0021178+0.0012564i,0.0033501+0.00013384i,0.00363-0.00024518i,0.0024608-0.00017612i,0.0015801-0.00053686i,0.0010024-4.0509e-05i,0.00020444+0.00045334i,0.00011503+5.5244e-05i,-0.00024-0.00048703i,-0.00087552-0.0010477i,-0.00046841-0.00094012i,1.1687e-05-0.00029216i,7.7698e-05-0.00014862i,-0.00017179+0.00057032i,-0.00052061-7.4854e-05i,-0.00023392-0.00070786i,0.00040293-0.00017934i,0.00075904+0.00074976i,0.00041962+0.0014486i,0.00029872+0.00074495i,0.00019514+0.00041938i,-0.00016563-0.0001192i
-0.00082838+0.00071597i,-0.0011572+0.0004683i,-0.0021289+0.00012415i,-0.0023231+0.00061541i,-0.00069062+0.0004331i,0.0012606-0.00025939i,0.00062562-0.00087923i,-0.00017418-0.0011713i,-3.6454e-05-0.00043606i,0.0003996+7.7626e-05i,0.00027199+0.00040065i,-0.00035353-6.8653e-05i,-0.00043773-0.00013608i,0.00034686+0.00033356i,0.00073455+0.00030831i,0.0002603-6.1084e-05i,0.00033625-0.00041576i,0.00083199-0.00030028i,0.0010205+0.00050889i,0.00040034+0.0010268i,-0.00055845+0.00010586i,-0.00047086-0.0004799i,0.0001381-0.00071185i
0.0021525-0.0008293i,0.0021554-0.0008944i,0.0010441-0.0021626i,-0.00032799-0.0028707i,-0.0015839-0.0021891i,-0.0016737-0.0012477i,-0.00062031-0.00045162i,-5.2733e-05-0.00070236i,0.00018519-0.0012709i,0.00011473-0.00068163i,0.00032181-5.3287e-05i,0.00041941-8.4055e-05i,0.00017855-5.358e-05i,-0.00053416+0.00016884i,-0.00098435-8.5691e-05i,-0.0011926-0.00036075i,-0.00087745-0.0003291i,-0.00051485-0.00039255i,0.00021753+4.2638e-06i,-2e-05+0.00061546i,-0.00020916+0.0007852i,0.00014033+0.00052677i,0.00036223+0.00097448i
