0.0019296-0.001665i,0.0015048-0.0019651i,0.00026272-0.0023844i,-0.0010553-0.0022981i,-0.00076988-0.0010288i,-0.00043237+0.0015135i,-0.00021889+0.0022908i,0.00035428+0.0016081i,0.00054671+0.00096023i,0.00029229+0.00034394i,0.00022902+0.00012658i,0.00019138-6.3003e-05i,0.00041195+0.00042277i,0.00054843+0.0011382i,7.7708e-05+0.0011565i,-0.00039039+0.00036866i,-0.00018615-0.00039769i,0.00026821-0.0012944i,0.00027232-0.0010579i,-0.00032103-0.00042722i,-0.00076271-0.00040217i,-0.00029185-0.00053022i,-0.00028597-0.00047972i
0.0017859+7.5752e-05i,0.0018283+0.00032446i,0.001007-0.00042663i,-0.00045086-0.0019498i,-0.00055347-0.00073387i,-0.00049542+0.00078666i,-0.0010219+0.00053122i,-0.00098518-7.2104e-05i,-0.00022679+4.2552e-05i,0.00072781+0.00019504i,0.00045902-0.0001157i,-3.5333e-05-7.0456e-05i,1.0957e-05+0.00044073i,0.0002846+0.00079372i,0.00090572+0.0010526i,0.00069912+0.00099767i,0.00010869+0.00031994i,9.2601e-05+0.00041252i,-0.00019209+0.00056822i,-0.00077669-0.00018133i,-0.00072723-0.00067902i,-0.0006616-0.00038069i,7.6821e-06-0.0002939i
0.00039195-0.0012678i,0.00067037-0.001168i,0.00043629-0.0016581i,-0.00038532-0.0015838i,-0.0003396-6.3706e-05i,0.00083163+0.00086599i,0.00086276+0.00015284i,0.00017524-0.0009435i,-0.00060495-0.0015934i,-0.00099178-0.0014058i,-0.00087567-0.0010494i,-0.0013707-0.00025773i,-0.00081057-0.00016207i,0.0004763-2.3281e-05i,0.00027511+0.0011947i,1.0855e-05+0.00086367i,-0.00024978-0.00015768i,-0.00072842-0.00024734i,-0.0005264-0.00015643i,-0.00092751-0.00023516i,-0.00044303-0.00061829i,0.00097779-0.00070014i,0.0004297-0.00030609i
4.2071e-05-0.0013112i,-0.00020286-0.00050627i,0.00067876-0.0002341i,0.000702+0.00091821i,-0.0012217+0.00099086i,-0.0009099+0.00077031i,0.00058467+0.00014782i,0.00010527-0.00066644i,-0.00072779+3.4655e-05i,-0.00086789+3.6573e-05i,-0.00082698-0.00060151i,-0.00093693-0.00049318i,-0.00064152-0.00051599i,0.00015669-0.00037388i,-0.00027651+0.00013717i,-0.00018289+0.00067928i,-0.00015199+0.00068083i,-0.00033622-0.00032985i,0.00014019-0.00080909i,-0.00031599-0.00010449i,-0.00017971-0.00019362i,-0.00010869-0.00030694i,-0.00033603-0.0002429i
7.3453e-05+0.00050842i,0.00060555+0.00049408i,-0.00072613+0.00070722i,-0.0013833+0.0012006i,-0.00051475+0.0020445i,0.00047621+0.0018589i,0.00041299+0.0010998i,-0.00017411+0.00052498i,-1.3235e-05+0.00063438i,0.000492+0.00060767i,0.00050599+0.00028348i,0.00047547-0.00010331i,0.00050112-0.0010933i,0.00037808-0.00086204i,0.00031792-0.00073122i,-9.6617e-05-0.00069416i,-0.00029864-0.00052336i,-1.4547e-05-0.00046462i,-0.00024927-0.00052534i,-0.00057967-0.00043967i,-0.00075376-0.00045409i,-0.00064659-0.00040454i,-0.00023698+8.5104e-05i
-0.00033666+0.0009515i,0.00068244+0.00097031i,0.0017479+0.00072586i,0.0010224+0.00075509i,0.0003148+0.00028888i,0.00075699-0.00065499i,-0.00013347-0.00068595i,-0.00098645-0.00071294i,-0.00034857-0.00053812i,-0.00059165-8.0326e-05i,1.1498e-05+0.00023874i,0.00042634+4.4777e-05i,-0.00023026-0.00044957i,-0.00043931-0.00076576i,-9.7008e-05-0.0006173i,0.00011722-0.00018672i,0.0004088-0.0002493i,0.00014818-0.00037109i,-0.00048602-0.00080206i,-0.0004658-0.00035255i,0.00018293-0.00026015i,0.00025481-0.00040733i,-0.00042475+8.5114e-06i
0.00012967+0.0017117i,0.00022214+0.0016116i,0.0017176+0.0011997i,0.0025963+0.00070153i,0.0017461+0.00051893i,0.0014034+7.2967e-05i,0.00074038-0.00042699i,-0.00028134-0.00060518i,0.0004374-3.888e-06i,0.0011383+0.0003425i,0.00066314+0.00019571i,0.00022242+0.00020031i,0.00031319-0.00021137i,0.00035207-0.00091532i,0.00031811-0.0011548i,0.00064006-0.00015506i,0.00036437+0.00047221i,-3.2278e-05-0.00028577i,-0.00015779-0.00052392i,-0.0001068-0.00029519i,-0.00013065-0.0003467i,-0.00029653-6.0144e-05i,-0.00027958-0.0002675i
-7.9695e-06+0.0014429i,0.0010529+0.00093988i,0.0015329+0.00049449i,0.0018083-5.0149e-05i,0.0021352+4.3006e-05i,0.0010645-0.00061113i,-0.00070405-0.0015201i,-0.00049204-0.0013405i,0.0010903-0.00026791i,0.0016215+0.00043583i,0.0010294+0.00037598i,0.00028664-0.00018724i,0.00034693-0.0005388i,0.0007183-0.00025484i,0.00056794-0.00043793i,0.00012413-0.00022285i,0.00021957+0.00031515i,0.00036469+0.0003765i,7.6641e-05+0.00020496i,-0.00079306+0.00067326i,-0.00087162+0.0010453i,0.00028797+0.00014544i,0.0003706-6.8098e-05i
0.0023531-0.0017372i,0.0022992-0.0013001i,0.0017297-0.0016299i,0.00065751-0.0011984i,-0.00075694+0.0002261i,-0.00074864+0.00086855i,-0.00015714+0.00048931i,0.00020847+0.00024602i,3.8155e-05+3.8058e-06i,-0.00058808-0.00035509i,-0.00077751-8.3827e-05i,-4.3518e-05-0.00012128i,0.00021186-5.1044e-05i,8.7931e-05+2.0443e-05i,0.00039276+1.7556e-06i,0.0006611+7.0752e-05i,0.00084157-0.00041469i,0.00070328-0.0010304i,0.00040532-7.0639e-06i,8.1506e-05+0.00080552i,-4.4234e-05-5.6179e-05i,-2.2405e-05-0.00055122i,-0.00025154+2.8332e-05i
0.00017554-0.0020126i,-0.00033425-0.001207i,-0.00085279-0.0006185i,-0.00042693-0.00085161i,-0.00040133-0.00076287i,-0.0002413-0.0005759i,0.00065869-1.9417e-05i,0.00026315+0.00014932i,-0.00033645-3.2981e-05i,-0.000222-0.00040706i,-0.00064558-0.00058577i,-0.0013471+0.00055849i,-0.0013969+0.0011982i,-0.00017407+0.0007216i,0.00038412+0.0017197i,-0.00052451+0.0022025i,-0.0009564+0.00081309i,-0.00033118-0.0001079i,-0.00019276-0.00020996i,-0.00041676-0.00010766i,-0.00025354+0.00024751i,-0.00053057+0.00021263i,-0.00076846+0.00025374i
-3.9578e-06+0.0015352i,0.001611+0.00086302i,0.0022573-0.00040077i,0.001455-0.0010934i,0.00027365+0.00020236i,-0.00028284+0.00099046i,0.00025222+0.00053422i,0.0006335-0.00032711i,0.00026719-0.0010146i,-0.00034218-0.00091786i,-0.00039588-0.00063527i,-0.00031668-0.00058073i,-0.00048791-0.00054868i,-0.0013208-0.00091764i,-0.001312-0.0012819i,-0.00015922-0.00023256i,0.00010635+0.00067656i,0.00011889+0.00044434i,0.00046184+0.00020066i,0.00073306-0.00023276i,0.00073664+0.00056815i,-0.00040011+0.0010171i,-0.001489+0.00058231i
0.00062464-0.0020702i,0.001304-0.0020028i,0.0017509-0.00052295i,0.0012293+0.00095726i,-6.9918e-05+0.00072896i,-0.00026271+0.00051063i,0.00040736+0.00066269i,0.00069702+1.0439e-06i,0.00041797-0.00045522i,-0.0001485-8.2352e-05i,0.00019537-9.8878e-05i,0.00091779-0.00030852i,0.0007367+0.00022276i,0.00068809+0.0012023i,0.00095484+0.0014077i,0.00025353+0.00058856i,-0.00021512+0.00031572i,-0.00042462+0.00084893i,-0.00045307+0.00030578i,0.00021104-0.0009587i,0.00021586-0.0012445i,-0.00020963-0.00080515i,-0.00010144+7.8768e-05i
0.00099499-0.00049653i,0.00085389+0.00053477i,-0.00022056+0.00040243i,-0.0010374+0.00075823i,-0.00059208+0.0016174i,4.9827e-05+0.0010889i,4.6331e-05+0.00038234i,7.0769e-05+0.0002383i,-0.00019992+0.00013038i,-4.552e-05-2.6493e-05i,0.00095107-0.00048526i,0.00089567-0.00044107i,0.00061651+0.00010541i,0.00092044+0.00052639i,0.00081073+0.00015687i,0.00054284-0.00019267i,0.00037437-0.00015564i,0.00044828-0.00012315i,-0.00049605-0.0001337i,-0.001313-0.00040444i,-0.0011171+0.00038537i,-0.00024737+0.0012597i,0.00050565+0.00051316i
0.00071758+0.00018808i,0.0012423-0.00079515i,0.001213-0.0026545i,0.00057386-0.0022846i,-0.00097253-0.000716i,-0.001083-1.0436e-05i,-0.00015159+2.4685e-05i,0.00024211-0.00014702i,-0.00018365+0.00018017i,-0.00060682-0.00016776i,-0.00064349-0.00092143i,5.3431e-05-0.0012343i,0.0011-0.00049819i,0.00078192+0.00031577i,0.00014483+0.00025478i,-0.00031437+5.6787e-05i,-0.00043546-0.00020342i,0.00020234-4.1623e-05i,0.00082698+0.00078745i,0.00070051+0.00095439i,0.00071069+0.0005878i,0.00048473+0.00042505i,-0.00031716+0.00028852i
0.00089193-0.00026476i,0.0021276-7.06e-05i,0.0018611+0.00044025i,0.00059588+0.0010841i,0.00045449+0.0015561i,0.00055754+0.0021389i,-9.8381e-05+0.001528i,-0.00047303+0.0012579i,-0.0011071+0.00081332i,-0.00069101+9.1764e-05i,0.00029821-0.00034999i,0.00015722-0.00046943i,-0.00013425+0.00017371i,-9.8975e-05+0.00030013i,-3.7943e-05+0.00039415i,0.00037257+0.00025261i,0.00032999-0.00018789i,8.0179e-05-8.1978e-05i,0.00078543-0.00012892i,0.0005779+0.00023379i,-0.00029535+0.00032228i,0.0001005-0.00057667i,0.00087646-0.00095325i
0.0016266+0.0017798i,0.0019574+0.00042418i,0.0024369-0.00025828i,0.0016366-0.00026434i,0.00043307-0.00035019i,-0.00039094-0.00063751i,-0.00074-0.00024142i,-0.00078558-5.3256e-05i,-0.00076392-0.00017522i,-0.0007175+0.0002388i,-0.00048519+0.00031887i,-0.00016049+0.00026568i,0.0001219+0.00014287i,5.5927e-05+0.00036568i,0.00029458+0.00058194i,0.0013707+0.0006697i,0.001063+0.00056894i,-0.00027382+0.00020166i,-0.00058794+0.00023527i,-0.00032195+0.00033393i,-0.00040805+0.00058147i,-0.00091282+0.00095298i,-0.0007406+0.00049168i
8.1765e-05+0.00064292i,0.0007195+0.00013716i,0.00090839-0.00018509i,0.00024016+0.0001923i,0.00024826-0.00012199i,0.00040465-0.00089501i,0.00091289-0.00068023i,0.0011536-0.000431i,0.00046645-0.00030757i,0.00035657+0.00031638i,0.00056291+5.991e-05i,-0.00037985-8.3792e-06i,-0.00087965+0.0006408i,-0.00062308+0.00022872i,-0.0004971+0.00059123i,-0.00041776+0.00096667i,-0.00010801+0.00024644i,0.00035804+9.2628e-05i,0.00010844+0.00064873i,-0.00040145+0.00049655i,-0.00028538+0.00022142i,0.00040602-0.00023472i,0.00087466-0.00043359i
0.00042357+0.00011103i,0.00080729+0.0003743i,0.0015421-0.00031581i,0.0007398-0.00048036i,-0.00062829-0.00050842i,-0.00092764+0.00031931i,-0.0003352+0.00092974i,0.00026269-0.00011094i,0.00048391-0.001124i,0.00063692-0.00058549i,-0.00020859-0.00039202i,-0.0013092-0.0010038i,-0.00093258-0.0016178i,-1.9448e-05-0.0021044i,0.00017973-0.002194i,-8.3988e-05-0.0013474i,-0.00033645-0.00067574i,-0.0010378-0.0004254i,-0.0019113-0.00035437i,-0.00069257+0.00022411i,0.00047589+0.00025638i,0.00034877-7.5832e-05i,8.0811e-05-0.00022007i
0.0013794-0.00065231i,0.0011242-0.00084652i,0.00037634-0.00087667i,-0.00055423-0.00057816i,-0.0011526+0.0002312i,-0.00048417+0.000939i,0.00023071+0.00047669i,0.00092624+6.5871e-05i,0.0010897-0.00059166i,-1.9835e-05-0.0010555i,-0.00047976-0.00015976i,-0.00010189+0.00077986i,0.00055036+0.0012208i,0.00085794+0.001659i,0.00073651+0.00084586i,0.0010605-0.00020359i,0.00045101-0.00016585i,-0.00015838-3.5125e-05i,-0.00047331+0.00068259i,-0.00046919+0.00076948i,0.00030127+0.00035994i,0.0001053+0.00074314i,-0.00055317+0.0011268i
0.00040513+0.00024806i,-0.00017268+8.8027e-05i,0.00054128+0.00024636i,0.0011961+0.00064709i,0.00058947+0.0011057i,0.00052005+0.0018778i,0.0007275+0.001566i,0.00065181+0.00041395i,3.6245e-05+6.4877e-05i,-0.00024097+0.00061813i,-0.000261+0.0011837i,-0.00067085+0.00078938i,-0.00052606+0.00057417i,9.4049e-05+0.00081418i,0.00071314+0.00032799i,0.00071778+9.9361e-05i,-0.00077776+0.00015627i,-0.0010326+0.00033648i,0.00059282+0.0010674i,0.00070549+0.00085778i,-0.00022487+0.00025788i,-0.00031162+0.00061768i,-0.00018685+0.001259i
-0.001031-0.00084066i,-0.00094852-0.0010981i,-0.0017176-0.0011199i,-0.0016399-0.00017014i,-0.00091312+0.0011318i,-0.00034108+0.00064165i,0.00015293-0.0001861i,0.00040289+0.00010295i,0.00035568+0.00010131i,5.7641e-05-0.00014346i,0.00024566+7.981e-05i,0.0011229-1.9804e-05i,0.0013677-0.00062647i,0.0010276-0.00072306i,0.00079229+0.00010027i,0.00051727+0.00015095i,0.00061586-0.00058435i,0.00044243-0.0006323i,-0.00080035+0.00063817i,-0.0011298+0.0010049i,-0.00089833+0.0009151i,-0.0011468+0.00075057i,-0.00094355+0.00033079i
0.00023092+0.00082524i,0.0013373+0.0010862i,0.0020848+0.00039207i,0.0019347+0.00030229i,0.0015275+0.00062993i,0.00040262-0.00050016i,-8.3627e-05-0.0011844i,-0.00036875-0.001176i,-0.00031685-0.00033283i,0.00067+0.00054257i,0.00099292+0.00057829i,-9.1848e-05-0.000123i,-0.00011967-0.0010068i,0.00058432-0.0010803i,0.00084258-0.0013531i,0.0013835-0.0013492i,0.0011091-0.00032705i,3.4889e-05+0.00050162i,-0.0002861+0.00027649i,-0.00031547-1.8587e-05i,-0.0002035-4.6631e-05i,0.00065968-0.00018634i,0.00038644-0.00011252i
-0.0019528+0.00097304i,-0.0012488+0.0011156i,-0.00047133+0.0015157i,0.00075405+0.0018171i,0.0015011+0.0016338i,0.00079319+0.0016302i,-0.00056293+0.00071256i,-0.00045249+6.9676e-05i,-0.00026791+0.00038381i,-0.00025172+0.00072854i,0.0011221+4.0186e-05i,0.0011869-0.0001063i,0.00074141-0.00037529i,0.00098245-0.00049099i,0.0011118-0.00067562i,0.00089621-0.0016146i,-5.3718e-05-0.00057253i,-0.001255+0.00036803i,-0.0016824-0.00067708i,-0.0011599-0.0010077i,-0.00036456-0.00044434i,0.00041484+0.00031338i,0.00084946+0.0004081i
0.00038291-0.0002667i,0.00099327+6.6769e-05i,0.00081529+0.0002198i,0.00035456+0.00021592i,0.00039939+0.0010656i,0.00078527+0.001068i,0.00085576+0.00029224i,0.00023981-0.00028619i,-8.8711e-05-0.000595i,-0.0003045-0.00063776i,5.44e-05-0.00044918i,0.00087667-9.7333e-05i,0.0011173-0.00013805i,0.0006589-7.0951e-06i,0.00011325+0.00085273i,-0.00045396+0.00061494i,-0.00098439+0.00020447i,-0.00062662+0.00035587i,-0.00040407+4.0507e-05i,-0.00017871-0.00013392i,-0.00026168+0.00039846i,-0.0006388+0.00050791i,0.00041341-0.00037728i
-9.617e-05-0.00026171i,1.5974e-05+0.000206i,0.00020439+0.00010766i,0.00019368+4.3216e-05i,0.00038812+0.00053753i,0.00098008+0.0005821i,0.00092345+5.2438e-05i,0.00041971-0.00023339i,0.00075369-0.00044416i,0.00092262+0.00019089i,0.00094977+0.0006549i,0.00099974+1.3844e-06i,0.00071897-0.00079769i,4.1137e-05-0.00034282i,0.00058385+0.00047835i,0.00064625-3.1471e-06i,0.00010286-0.00053655i,0.00027677-0.00045594i,0.00063981-0.00015849i,0.00039035-7.2518e-05i,-0.00055409+0.00036559i,-0.00044284+0.00020907i,-0.00011068+0.00034144i
0.0022556+0.00030387i,0.0022571-0.0010117i,0.00045208-0.0017541i,-0.0012864-0.0015966i,-0.0011794-0.0011862i,1.0438e-05-0.00062653i,0.0008202+0.00029222i,0.00062598+0.0010233i,0.00056643+0.00062614i,0.00046927-0.0001402i,0.00035304-0.00036329i,0.00024859-0.00094674i,-0.00014838-0.00070089i,-7.7121e-05-0.00049319i,-0.00024536-0.00062383i,-0.00076923-0.00043059i,-0.00061656-0.00028302i,-0.0003915-9.5405e-05i,0.00016076+0.00079768i,0.00025003+0.00045003i,-0.00023759-0.00081524i,-0.00025787-0.0011928i,-1.564e-05-0.00034507i
0.00018791-6.6989e-05i,0.0011289-0.00029744i,0.0015205-7.3499e-05i,0.001595-0.00015629i,0.0010047+0.00024413i,0.00022965+0.0013915i,0.00020109+0.00097869i,0.00041134+5.7014e-05i,0.00021727-0.00015526i,-8.1269e-05-0.00010125i,0.00019485+0.00039876i,0.00032383+0.00043473i,0.00014289+1.9447e-05i,0.00026625+0.00025815i,0.00098295+0.00046649i,0.0014352-0.00024742i,0.00075022-0.00020698i,-0.0005018+0.00051949i,-0.0010688+0.00019077i,-0.00031759-0.00061821i,0.00044304-0.00025682i,0.00013747+0.00030416i,-0.00027115+0.00062535i
8.0791e-05-0.0011784i,0.00051392-0.00051213i,0.00042782-0.00021432i,0.00052309-0.00016508i,0.000507+0.00037497i,0.00047139+0.0010306i,0.00099392+0.0014725i,0.00057411+0.0011865i,-2.3323e-06+0.00065191i,-0.00018376+0.00068695i,0.00039386+0.0005339i,0.000818+0.00011839i,0.00063035+0.00010875i,0.00078666+0.00051782i,0.0012856+0.00065248i,0.0004998+8.9526e-05i,-0.00033418-0.00091767i,0.00020883-0.00089112i,0.00024536-0.00073407i,-0.00017367-0.00054253i,5.833e-05-0.00042695i,0.00066711+0.00032883i,0.00046008+0.00047417i
0.00081238-0.00076219i,0.0010671-0.00014403i,0.00040995-2.481e-05i,0.00010902+0.00050689i,-0.00020745+0.0012241i,-7.4324e-05+0.00036397i,9.055e-05-0.00075646i,3.0641e-05-0.0014069i,-0.00014066-0.00086156i,-0.00042023-9.4855e-05i,-0.00014817+6.5815e-05i,0.00061026+0.00085626i,0.00079581+0.0013619i,-1.1091e-05+0.00073642i,-0.00010993-3.6367e-05i,0.00043417-0.00030565i,0.00056463-0.00047088i,0.00075505-0.00085271i,0.0011498-0.00075352i,0.00029815-7.3521e-05i,-0.00044671-0.00045771i,0.0001434-0.00076681i,0.00015766-6.9453e-05i
0.00026973-0.00042446i,0.00078056-0.00095953i,0.0004929-0.0015186i,-0.00015663-0.0013833i,-0.00037284-0.0002526i,-0.00036207-0.00040319i,-2.9704e-05-0.00066582i,0.00029153-0.00069513i,0.00026984-0.0004959i,-0.00015993-0.00012925i,9.4029e-05-0.00020301i,0.0003108-6.1881e-05i,-0.00016292-0.00014397i,-0.00024061-1.3518e-05i,0.00012554+0.001007i,0.00086444+0.00072504i,0.00065641+3.0048e-05i,-1.2417e-05-0.0005574i,-0.00017787-0.00051245i,-0.0003517-0.0004136i,-0.00060169-0.00083338i,-0.00061631-0.0007542i,9.8411e-05-0.00045541i
0.00012889-0.0013844i,0.00054276-0.00065752i,-0.0011025+8.4179e-05i,-0.0017739+0.00088633i,-0.00096412+0.0015179i,-6.8014e-05+0.0016965i,0.00039728+0.0004364i,0.00037519-0.00051573i,0.00041752-0.00018069i,0.00048814-0.00064134i,0.00053238-0.0010107i,0.00048186-0.00076221i,0.0003561-0.00030357i,0.00067059+0.00039933i,0.0019225+0.00026199i,0.002137-0.00019283i,0.001037-0.0001778i,0.00053461+0.0004743i,0.00063696-0.0003275i,0.00068379-0.00089602i,0.00053303-0.00030185i,0.00012814-0.00026243i,-0.00058588-8.6386e-05i
6.51e-05-0.00081664i,0.00040843-0.00056175i,0.00075425+0.00022637i,0.00070601+0.00087635i,0.00050625+0.00074364i,0.00037955+0.00034587i,1.8574e-05+0.0003142i,0.00035302+0.00014166i,0.00039663-4.1297e-07i,-0.00015134+4.6213e-05i,-0.00027279+0.00026382i,-0.00010817+0.00038277i,0.00025999+0.00064407i,0.0010606+0.00039047i,0.0012048+0.00020175i,0.00050625+0.00021145i,0.00037062-0.00019222i,0.00034748-0.00012556i,0.00016804-3.8923e-06i,0.00026057-0.00014787i,-5.9567e-06-0.00076692i,-0.00049898-0.00085709i,-0.00016365-9.2448e-05i
0.0006786+0.00051789i,0.00091683+0.00059199i,0.0013304+0.00020244i,0.00166-0.00059328i,0.0010376-0.00011014i,2.9614e-05+0.00073531i,-0.00063602-0.00024303i,-0.00040212-0.0011825i,7.7546e-05-0.00032364i,-0.00050131-0.00017819i,-0.00036192-0.0012444i,0.00023545-0.00089156i,-4.5383e-05-0.00081419i,1.4862e-05-0.0016653i,0.00081909-0.0016846i,0.00053634-0.00061262i,-0.00042169-0.00015846i,-0.00069599+7.0439e-05i,-0.00072828+0.00034871i,-0.00056972+0.00012368i,-0.0001268+0.00017685i,5.5599e-05-0.00019935i,0.00061889-0.00035849i
