0.00029476+0.0011705i,0.00011908-0.00021133i,-0.0013175-0.0018119i,-0.00080236-0.0035553i,-0.00012814-0.0026493i,-0.00037782-1.5316e-05i,-0.0012057+0.00063734i,-0.00093939+0.00049714i,0.00023818+0.00017897i,0.00094559+4.1142e-05i,0.0002639-0.00026241i,0.00019373-0.0010675i,0.00044807-0.00074895i,-0.00031391-0.00048032i,-0.00057546-0.00036367i,9.4319e-05-0.00048679i,0.00072157-0.0011998i,0.00058372-0.00087411i,0.00032039-7.3787e-05i,0.00065508+0.00027992i,0.00044104+0.00018408i,-0.00010465-5.2738e-05i,5.2326e-05-0.00055983i
0.0024989+0.00096704i,0.0022362+0.00019876i,0.0027618+0.00019668i,0.0033534-0.00019309i,0.0033109-0.0013022i,0.0022965-0.0012136i,0.00055884-0.00054465i,0.00024172+0.00047046i,0.00032685+0.00070389i,0.00024608+0.00058208i,0.00072079+0.00038681i,0.0006095+0.00014484i,0.00095818-0.00053727i,0.0017934-0.001077i,0.0014408-0.00083889i,0.0010116-0.000299i,0.0010736+0.00019083i,0.00044489+0.00028859i,5.6191e-05+7.6151e-05i,-0.00038688-0.0004065i,-0.00068815+0.00019684i,-0.00093303+0.00045973i,-0.00033046-0.00041383i
0.0018109+0.00010399i,0.0005837+0.00040725i,0.00029236+0.00033118i,0.0013441+0.00055819i,0.0019092+2.1137e-05i,0.0012319-0.0016053i,0.00057634-0.0022408i,0.00036805-0.0011807i,0.00063756-0.00066582i,0.00070501-0.0012365i,3.647e-05-0.0010926i,6.6289e-05-0.00049579i,0.00086142+6.8709e-05i,0.0014546+0.00067542i,0.001248+0.00060509i,0.00050782-0.00042146i,-0.00024878-0.00056793i,-0.00081045+0.00031461i,-0.00056041+0.00068436i,6.7213e-05+0.00027897i,0.00047389+0.00025169i,0.00038308+0.00061118i,0.00018401+0.0005947i
-0.0014001-0.0027874i,-0.0013207-0.0020543i,-0.00095386-0.0011684i,0.00032301+1.5232e-06i,0.00067416+0.00027315i,0.00075804-0.0010208i,0.00040055-0.0015186i,-0.00034705-0.00065421i,-0.00036153-0.00077209i,-3.8971e-05-0.0010767i,-0.00068683-0.00071954i,-0.00042116+8.8136e-05i,0.0004809+0.00062567i,-0.00015858-0.00017268i,-0.00094259-9.2423e-05i,-0.00075416+0.00047515i,-0.00019425+0.00059088i,0.00038327+0.00039245i,0.00085243+0.00018378i,0.0005874-1.8142e-05i,0.0001168-0.00074219i,-0.00015284-0.00083363i,-0.00029229-0.00059607i
-0.0010894-9.09e-05i,-0.0012892+0.00059191i,-0.0017126+0.0022113i,-0.00038304+0.0015848i,0.0020024+0.00029133i,0.0022762-0.0007771i,0.001441-0.0012983i,0.00069726-0.00071216i,0.00031281-0.00028515i,-0.00017666-0.00012673i,-0.00029555+0.00027773i,-2.0837e-05+0.0010376i,0.00018551+0.00098309i,0.00088923+0.00062138i,0.00082172-2.5788e-05i,0.00034217-0.00025556i,-6.1913e-05-6.898e-05i,-0.00058322+3.0608e-05i,-0.00057244+0.00011862i,-3.4297e-05+1.0636e-06i,-0.00044689+0.00035019i,-0.00088347+8.3558e-05i,-0.00033478+0.00014904i
-0.00045717+0.0010608i,-0.00036877+0.00091283i,0.00066347+0.00056483i,0.002285+0.00028792i,0.0043418-0.00029099i,0.0040608-0.0011801i,0.0015315-0.0014359i,-0.00011043-0.0010599i,-0.00029219-0.0012383i,7.5189e-05-0.00080136i,0.00033868+0.00069456i,0.00018991+0.00086177i,-0.00017873+0.00019925i,-9.6473e-05-0.00046374i,7.1674e-05-0.00083924i,-0.00036566-0.00054263i,-0.00075274-0.00012353i,-0.00013814-0.00038346i,0.00047207-0.00076813i,0.00087408-4.2085e-05i,0.00089367+0.00052342i,0.0010391-0.00022925i,0.0011136+0.00064767i
0.0018089+0.0010152i,0.0017117+0.0016687i,0.0022985+0.0016093i,0.0023968+0.00099905i,0.0015243-0.00050316i,-2.4229e-05-0.0021026i,-0.0014157-0.0019859i,-0.0014162-0.00083796i,-0.00079368-0.00048143i,2.7135e-05-0.00077793i,0.0013342-0.00075892i,0.0013608-0.00067448i,0.00092635-0.00046957i,0.0016396-0.00047943i,0.0019201-0.00047133i,0.00030227-0.00026239i,-0.00077246-0.00042893i,-0.00023108+0.00012639i,0.00033213+0.00022831i,0.0010349+0.00010341i,0.0013038+0.00039321i,0.00072132+0.00069312i,0.00019384+0.00047875i
0.00074171+0.00069591i,0.0015472+0.0011794i,0.0023537+0.0023397i,0.0038811+0.0010909i,0.0049553-0.00063099i,0.0032702-0.0014888i,0.0004064-0.00056803i,-0.00031509+5.1173e-05i,0.00076764-0.00032147i,0.00086563-0.00030799i,-0.00037055+3.0798e-06i,-0.00021944-0.00014529i,0.0011295-0.00033671i,0.0013133+0.00014357i,0.0010966+7.406e-05i,0.0012372+6.6759e-05i,0.0011203+0.00010005i,0.00030292+0.00045559i,-9.6097e-05+0.00052366i,8.8126e-05+0.00014962i,0.00091885+0.00028002i,0.00097395+0.00026713i,0.00011259+0.00029439i
0.00065608-0.0003833i,0.00080018-0.00081578i,0.0013911-0.0014225i,0.0021377-0.0020946i,0.0027327-0.0020555i,0.0019708-0.0022961i,0.0011957-0.0016666i,0.0005883-0.00076701i,6.0777e-05-0.0008469i,1.3968e-05-0.00065707i,-0.00046207-0.00053052i,-0.00058906-0.0012155i,2.6678e-05-0.0012915i,0.00047699-0.0012544i,0.0002345-0.0013697i,0.00020477-0.00073776i,0.00015896-0.00042824i,-0.00037744+1.224e-05i,-0.00041264-0.00025654i,-9.0372e-06-0.00047834i,0.00058853-0.00052055i,0.00027316-0.00021311i,-2.8108e-06-0.00013231i
0.0022548-0.00075151i,0.0025514-0.00027852i,0.0028503-0.00040825i,0.0025181-0.00040132i,0.0017138-0.0017868i,0.00077341-0.0037742i,-0.00080263-0.0034083i,-0.0014228-0.0024386i,-0.00095025-0.0013516i,-0.0011144-0.00064782i,-0.00060845-0.0011209i,-0.00031547-0.0015884i,-0.00049067-0.0011536i,-0.0010293-0.0004924i,-0.0012317-0.00028323i,-0.00071671-0.0002218i,0.00014858-0.00038737i,0.00085163-0.00011171i,0.00034813+0.0004935i,-0.00012215+0.00021582i,0.00023353+4.179e-06i,-6.6616e-05-0.00026763i,-0.00044643-0.00017535i
0.0017917+0.0012159i,0.0028831+0.0011514i,0.0037559+0.0017006i,0.0038903+0.00076247i,0.0040203-0.0011841i,0.0029699-0.0024475i,0.0010563-0.0017632i,-9.5868e-05-0.0006993i,3.6909e-05-0.0013304i,0.00019244-0.0016528i,-0.00012642-0.00069208i,0.0002508-0.00011232i,0.0010784+1.3911e-05i,0.0011021+2.164e-05i,0.00044562-0.00033492i,3.7416e-05-0.00073954i,-0.00027551-0.00043345i,-0.00031643+0.00025192i,0.00021709+0.0008996i,-0.00012592+0.0010031i,-0.0003655+0.00070996i,-0.00058043+0.00041646i,-0.0010228-0.00037177i
0.00038943-0.00055945i,0.00034146-0.0016051i,0.0012799-0.0013686i,0.0021481-0.00093876i,0.0016005-0.00142i,0.00031007-0.0018666i,-0.00073786-0.0011462i,-0.0015485-0.00037022i,-0.0012886-0.00060198i,-0.00037205-0.00059713i,-0.0003683+0.00044164i,-4.6993e-05+0.00046588i,0.00088366+0.00023136i,0.00079368+0.00050882i,-9.1173e-05-9.7141e-05i,-0.0001863-0.00038448i,-0.00021111-8.9032e-05i,-6.0101e-05+0.00019413i,-0.00013215+0.00036035i,-0.00056885-0.00033708i,0.00082253-0.0012835i,0.001397-0.00091866i,0.00017176-0.00038292i
-0.00045015-0.0011285i,0.00063443+0.00010541i,0.00082119+0.00079989i,0.00101-0.00014283i,0.0020747-0.0014988i,0.0014898-0.002798i,7.5656e-05-0.0024598i,-0.00048119-0.0011689i,0.00023557-0.00066764i,0.0008785-0.00011757i,0.00013198+0.00026546i,-0.00016855-9.8698e-05i,0.00021001-0.00015704i,0.00031706-6.2076e-05i,0.00018628+0.00026397i,0.00044094+0.00026532i,0.00079886+0.00033394i,0.00076065+0.00017509i,0.00036285-0.00029315i,-0.00017178-0.00090133i,-0.00085777-0.00083819i,-0.00054767-5.7322e-05i,0.00049693-6.7531e-05i
0.00037089-0.0013896i,0.00051622-0.0013103i,0.00049238-0.002146i,0.00115-0.0023367i,0.0017156-0.0014998i,0.0011939-0.0010264i,-0.00021065-0.0011108i,-0.0010098-0.0015285i,-0.00023497-0.0015789i,-3.3757e-05-0.0011251i,-0.00078161-0.00048965i,4.3891e-05-0.0003109i,0.0010685+0.00030087i,0.00046899+0.00053227i,-0.00049314+0.00011992i,-0.00018018-0.00050746i,0.00057607-0.00033359i,0.00022615+0.00010819i,-0.0002409+0.00025674i,0.0002051+0.00051247i,1.9793e-05-9.071e-05i,-4.957e-05-0.00022294i,0.0005553+0.0005028i
-0.00016162-0.00082611i,-0.0004928+7.1966e-05i,-0.00083015+3.7657e-06i,0.0002675-5.8046e-05i,0.00076485+0.00011832i,5.9874e-05+0.0002157i,-0.00060794-7.3016e-07i,-0.00037663-8.0262e-05i,0.00037887+9.9752e-05i,-0.00030431-2.7743e-05i,-0.00043566-0.00023614i,0.00015672-0.00060833i,0.00014574-0.00037499i,0.00023626+0.00019241i,-4.2134e-05+0.00046932i,0.00015616-0.00015227i,0.00082444-0.00048992i,0.0004334+0.00011065i,-0.00019285-0.00037813i,0.00042596-0.00071544i,0.0010399+3.1884e-05i,0.00086551+0.00046481i,0.00020684+0.00088557i
0.0022109-0.0016704i,0.0027424-0.0019936i,0.0030226-0.0025906i,0.0025067-0.002701i,0.002086-0.0026805i,0.0014057-0.0028566i,0.00090957-0.0019011i,0.00077193-0.0010359i,-0.00026713-0.00075781i,-0.00077233-0.00019771i,-0.00025511+0.00020493i,-0.00024908+0.00012984i,-0.00021239-0.00024984i,0.00047863-0.00011009i,0.00092958+2.4579e-05i,0.00066229-7.6626e-05i,-3.1635e-06-0.00044846i,-0.00030969-0.00078635i,0.00028485+4.6984e-06i,0.00050621+0.00087425i,0.00083044+0.00090742i,0.00086902+0.00046457i,0.00076025+0.00051156i
-0.00092741-0.0013104i,-0.0013884-0.0016651i,-5.9154e-06-0.00042989i,0.00056768+0.00093541i,0.00146+0.0014273i,0.0017107+0.00073574i,0.00079383-0.00056191i,-9.9385e-05-0.0013532i,-0.0004314-0.0011435i,-0.00037505-0.00045919i,-0.00019722-0.00048108i,0.00014792-0.00025664i,-0.00019243+0.00022472i,-0.00060178-0.00046677i,-0.00098921-0.0012593i,-0.0013884-0.001335i,-9.3376e-05-0.00083009i,0.0010453-0.00014342i,0.00042936-0.00013908i,-0.00026329+7.1829e-05i,-0.00012258+0.00057359i,-3.9592e-05+0.00065762i,0.00012197+0.00028837i
-0.0013229-0.0010088i,-0.00070424-0.0001986i,-0.0008936-0.00082354i,-0.00022837-0.0017132i,0.0012287-0.0024174i,0.00068198-0.0021583i,-3.0335e-05-0.0013837i,0.00022216-0.00050135i,-0.00034862+0.00015215i,-0.0012248-0.00043691i,-0.00021605-0.0010708i,0.00056709-0.00057428i,-8.8632e-05-0.00039523i,-0.00028346-0.0005283i,-4.6178e-06-0.00024028i,0.00023168-0.00011673i,0.00026401-0.00021545i,0.0003451-0.00011829i,0.0004646+0.00025517i,0.00026897+0.00049713i,-0.00031708+0.00074278i,-0.00065521+0.0009021i,-0.00038284+0.00040039i
-0.00064607+0.00026469i,0.00018199+0.0011239i,0.0020337+0.0012117i,0.0033963+0.0010768i,0.0033706-0.00020367i,0.0024544-0.00139i,0.0015944-0.0015467i,0.00045832-0.0014875i,-0.00050514-0.0017496i,-0.00080838-0.0019769i,-0.00065378-0.0010294i,-0.0001883-0.00067378i,-8.5863e-05-0.00062115i,-0.00010059-0.00058896i,-0.00036939+1.0981e-05i,-0.0007418+0.0008333i,-0.00037558-3.2474e-05i,0.00014723-0.00045019i,-0.00017697-6.0707e-05i,-7.6284e-05-4.7827e-05i,4.524e-05+0.00025767i,0.00020424-0.00059418i,0.00089717-0.0007214i
-1.5624e-05-0.0012421i,1.7775e-05-0.0025019i,0.0016482-0.0021138i,0.0019959-0.0012037i,0.0022392-0.0010689i,0.0018305-0.0013215i,0.00038978-0.00099117i,-0.00031076-0.0011846i,0.00016406-0.0011748i,-0.00038986-0.00040782i,-0.0013079-0.00057438i,-0.0011744-0.00076844i,-0.00067808-0.00065628i,-0.0002476-0.00054579i,3.3456e-06-0.00073946i,-0.00020179-0.00074049i,8.496e-05+0.00024313i,0.00032784+0.00073922i,0.00048559+0.00015142i,0.00038229+0.00037905i,-0.00019451+0.00086287i,0.00026053+0.00076352i,-0.00013119+0.00022737i
0.00031225+0.001684i,-9.526e-05+0.0022418i,0.00058153+0.0025226i,0.0021584+0.001796i,0.0040686-0.00032851i,0.0039437-0.0020586i,0.0022486-0.0022655i,0.00099409-0.0014395i,0.0010694-0.00018507i,0.0014662-0.00036097i,0.0010181-0.00025832i,0.00063424+0.0001909i,0.00087944-0.00047079i,0.0014545-0.00053931i,0.0011801-0.00025108i,0.00041993-0.0013037i,0.00039417-0.0014261i,0.00026559+0.00019216i,-0.00039554+0.0010436i,-0.00064574+0.00077586i,0.00022583+0.0007113i,0.00070469+0.00090803i,0.00061799+0.0006121i
0.0025277+2.0823e-05i,0.001925+6.8175e-05i,0.0013891-0.000737i,0.0015709-0.0012822i,0.0014785-0.0012089i,0.00066547-0.0016519i,-0.00053748-0.0017174i,-0.00063822-0.0010962i,-0.00038296-0.00094123i,-0.00068992-0.00056753i,-0.00060635-0.00042635i,-0.00012267-0.00074292i,-0.00011303-0.00091852i,3.3685e-05-9.0023e-05i,0.00026667+0.00066856i,-0.00031209-4.3699e-05i,-0.00092815-0.00068714i,-0.00053053-0.00058661i,-0.00046085-1.4433e-05i,-0.00059455+0.0001919i,-0.00071909+0.00020417i,-0.00045813-0.00048278i,0.000591-0.00089496i
0.0005914-0.00042793i,0.00069699-0.00046508i,0.001415-0.00029689i,0.0026695+0.00043634i,0.003152-0.00014918i,0.0027024-0.0007358i,0.0010557-0.0003163i,1.3558e-05-6.2556e-05i,-0.00019353-0.00018345i,-0.00043031-0.00052313i,-0.00017217-0.00083851i,-0.00017336-0.00066551i,-0.00070963-0.0010205i,-0.0013041-0.0010524i,-0.00057567-5.5172e-05i,0.00078531-2.1675e-05i,0.0014624-0.00043982i,0.00052861-0.00010585i,-0.00068155+6.1146e-05i,-0.00051503+0.00030877i,-0.00025604-0.00026025i,-1.7823e-05-0.00093938i,0.00023549-0.00051951i
-0.00020934+0.00080414i,0.00095701+0.0014281i,0.0013437+0.0021802i,0.0014444+0.0019586i,0.0023701+0.00031146i,0.0022604-0.0014681i,0.00085184-0.0015336i,0.00050826-0.00044922i,0.00060269+4.9025e-05i,0.00025257-0.00033282i,9.4459e-06-1.4903e-05i,0.00066054-0.00038749i,0.00083421+2.6307e-05i,0.0001723+0.00034588i,6.0576e-05-4.5665e-05i,0.00017086+8.2026e-05i,0.00037351+0.00058338i,-0.00034337+0.00059092i,-0.0013868+0.00026793i,-0.0010648+0.00038334i,-0.00045536+0.00016926i,-1.2413e-05-0.00030054i,-0.00015363+8.9e-05i
0.0019792-0.00093028i,0.00088502-0.0011142i,0.0020497-0.00037703i,0.0021311-0.0011132i,0.0010903-0.002132i,8.7749e-05-0.0026862i,-0.00095015-0.0030173i,-0.0007493-0.0021199i,-0.0004065-0.0014664i,-0.00056913-0.0017849i,-0.00076963-0.00070391i,-0.00097664+0.00018548i,-0.00072855-4.283e-05i,-7.761e-05+0.00016401i,-0.00027186+6.112e-05i,-0.00079916-0.00065294i,-0.000251-0.00070847i,0.00029481-0.00027704i,3.9992e-05-4.957e-06i,-4.1607e-05-0.00030994i,7.7637e-05-0.00033643i,8.9316e-05-0.00050013i,0.00014285-0.00022189i
0.0005021+0.00036226i,0.0011623+0.00057605i,0.0016127+0.001448i,0.0026048+0.00095123i,0.0037481-0.0010318i,0.0028763-0.002883i,0.00075959-0.002411i,-0.00018721-0.001039i,-0.00077711-0.00055697i,-0.00069197-0.00046005i,-0.00047049-0.00013124i,-0.00043385+0.00082474i,8.4397e-05+0.001142i,0.00047126+0.00034011i,0.00033411-0.00030991i,0.00058022+0.00016132i,0.00045887+9.6426e-05i,-0.00039237-9.2896e-06i,-0.00076559+0.00027452i,-0.00010994+0.00031341i,0.00037229+0.00015678i,-0.00013787+0.00031584i,3.5761e-05+0.00069521i
-0.00076754+0.0010539i,-0.0016917+0.00056143i,-0.00091396+0.001323i,0.00086274+0.0015481i,0.0014866+4.4209e-06i,0.00060699-0.0011985i,-0.00050648-0.0016881i,-0.00084558-0.00092257i,-0.00055654-0.0008147i,-0.00038512-0.0012615i,0.00019362-0.00058898i,0.00085513+0.00016141i,0.0012503+0.00043813i,0.00090963-0.00033894i,0.00098655-0.00049609i,0.0010411+0.00038047i,0.00027959+3.3241e-05i,-5.0693e-05-0.00024821i,-0.00024414+0.00045914i,0.00058848+0.00086498i,0.0011182+0.0011125i,0.00099821+0.00048945i,0.00065984-2.2116e-05i
-0.0017042-0.002233i,-0.0016467-0.00048567i,-0.0013645+9.4882e-05i,0.00061605+0.00073157i,0.0019305+0.00072747i,0.0018163-0.00039227i,0.00073017-0.0012155i,-1.4778e-05-0.0013711i,0.00057285-0.0013574i,0.00087319-0.0013283i,9.5578e-05-0.00069828i,0.00016534-0.00012848i,-4.1303e-05+0.00063775i,-0.00037143+0.00088747i,-0.00028544+0.00053176i,-0.00034586+0.00036983i,0.00048279+0.00014498i,0.0012498+0.00014358i,0.0011768-0.00019064i,0.00023323-0.0003316i,0.00044297-0.00026042i,0.0010329-7.7648e-06i,0.00071608-8.9663e-05i
0.00020366-0.0012075i,-3.0947e-05-0.00077092i,0.00022482-0.00070493i,0.0014705-0.0010353i,0.0019904-0.0010885i,0.0012036-0.00077283i,0.00022419-0.00013399i,0.00019124+0.00011228i,0.00064237-0.00046954i,0.00024124-0.00054227i,-0.00022458+0.00013989i,-0.00066828+0.0010119i,0.00016996+0.00078218i,0.00072199-0.00038768i,-3.0133e-05-0.00098947i,-0.00067687-0.00094255i,-0.00099228-0.00056809i,-0.00087555+0.00054258i,-8.8076e-05+0.00070232i,0.00043699-0.00019557i,0.00049125-0.00016673i,0.000303-0.0001749i,0.00050099+0.00019427i
0.0019074-0.00010013i,0.0028042-0.00084836i,0.0037402-0.0006581i,0.0032531-0.00042335i,0.0025344-0.0012867i,0.0015863-0.0016938i,0.00022189-0.0017417i,-0.00028704-0.0017531i,-0.00035268-0.0013084i,-0.00061566-0.0012432i,-0.00028382-0.00085195i,0.00034238-0.0002374i,-6.4281e-05-0.00053236i,-0.00041783-0.00052905i,1.8774e-05-0.0006993i,0.00037203-0.00079488i,0.00027659-0.00028012i,-9.1725e-05+0.00035186i,-0.00025677+0.0004655i,0.00035706+0.00011668i,0.00078851-0.00016882i,0.00046632-0.0008332i,0.00039844-0.00068705i
0.0017511-0.00060762i,0.0027494-0.0010262i,0.0034777-0.0023742i,0.0030186-0.0029478i,0.0019134-0.0021398i,0.00027146-0.0024451i,-0.00061629-0.0023442i,-0.00097384-0.0012761i,-0.0010272-0.0015883i,-0.00037945-0.0019374i,0.00033043-0.00095725i,0.001211-9.5765e-05i,0.0014148-0.00040703i,0.0013693-0.00071713i,0.001034-0.0007826i,0.00052175-0.0012894i,0.00062617-0.0010009i,0.0004111-0.00027885i,-7.2927e-05+0.00062732i,-8.0645e-05+0.00068281i,0.00010321+9.1722e-06i,-0.00035537+3.404e-05i,-0.0004381+8.1425e-05i
0.0029608-0.00012685i,0.0032048-0.00044003i,0.0034599-1.2585e-05i,0.0034555+0.00087934i,0.0024628+0.0003598i,0.0011534-0.0011884i,-0.00043042-0.0010165i,-0.0011169-0.00056168i,-0.00045368-0.0009283i,-0.00055223-0.001001i,-0.00041127-0.00060996i,0.00014952-0.00014403i,0.00032844+0.00024678i,0.00062426-0.0003084i,0.00043887-0.00044055i,-0.00011297-0.00015915i,-0.00083919-0.00036785i,-0.00072455-0.00075299i,-1.2643e-05-0.00061873i,-0.00026597-0.00090536i,-0.00069158-0.0009647i,-0.00042004-2.4997e-06i,-0.00021521+0.0005316i
0.0014308+0.00085635i,0.0024175+0.0011187i,0.0034819+0.0012694i,0.0036709+0.0011944i,0.0034246-4.1068e-05i,0.0024809-0.0017303i,0.00070638-0.0017696i,-0.00029845-0.00072448i,0.00045799-0.00061774i,0.00089629-0.00090656i,-1.0104e-05-0.00049374i,-0.00015155-1.4345e-05i,0.00042862+4.0339e-05i,0.00071007-0.00035795i,0.00088791-0.00067785i,0.00061954-0.00036287i,-0.00031961+8.6874e-06i,-0.00045703+0.0004121i,-7.7822e-06+9.8476e-05i,3.4286e-05-0.00052181i,0.00026075-0.00044233i,0.00043323+0.00022951i,0.00046936+0.00095388i
