-0.0012301-0.00029107i,-0.0017755-0.00036694i,-0.0031936-0.00012842i,-0.0036953-0.00094235i,-0.0043719-0.00045333i,-0.0038176+0.0021677i,-0.0017393+0.002674i,0.00024442+0.0011806i,0.0010655+0.00031209i,0.0011328+0.00090876i,0.00094521+0.00077516i,0.00031095-5.573e-05i,-0.00043592+0.00058846i,-0.00042992+0.00075653i,0.00018995-0.0006393i,0.00017675-0.00091628i,-0.0003106-2.214e-05i,-0.00036251-4.0783e-05i,-0.00027465-0.00020425i,-0.0002356+0.0002161i,0.00054664+3.46e-05i,0.00090086-0.00019737i,0.00029812-0.00049408i
-0.00077331-0.0017138i,-0.0010304-0.0020176i,-0.0024583-0.0019292i,-0.0025804-0.002313i,-0.00092977-0.00151i,-0.00033016-9.0825e-05i,-0.00011057+0.00043602i,-0.00058254+0.00055459i,-0.00097576+7.585e-06i,-0.00067102-0.001073i,-0.00028485-0.0011379i,0.00030546-3.3684e-05i,0.00057798+0.00034682i,0.0003036-1.8974e-05i,0.00014349-0.00061788i,-0.00015152-0.00042916i,-0.00061161+0.00036641i,-0.00089584+0.00024725i,-0.00059003-0.00040371i,-5.4922e-05-0.00043959i,3.4695e-05-0.0006177i,-8.4373e-05-0.0011548i,-0.00023065-0.00084696i
0.00049817-0.00072041i,0.00040748-0.00060704i,0.0011557-0.00060632i,0.001546-0.0012063i,7.2497e-05-0.0017522i,-0.00078012-0.00092253i,-0.00062448+0.00066065i,-0.00028973+0.00091362i,6.221e-05+0.00038635i,0.00021106-0.00064032i,-0.00058517-0.00067265i,-0.0012792-0.000731i,-0.00073756-0.0013644i,-9.7079e-05-0.00063395i,-0.00059233-0.00041856i,-0.00092198-0.000989i,-0.00037817-0.00087997i,0.00059109-0.00062961i,0.00021162+0.00028611i,1.7889e-05+0.0010552i,0.00083007+0.00061133i,0.00093778+0.00061083i,0.00051192+0.00046924i
0.00034163-0.0013019i,0.00095746-0.00028413i,0.0014837-0.0014833i,0.00038557-0.0013842i,-0.0015051-0.00071634i,-0.0013381-7.5366e-05i,-0.0002466+0.00055981i,-0.00021043+4.4538e-05i,-0.0001096-0.00049474i,0.00074272-0.00050619i,0.00068111-0.00023817i,5.5436e-05-0.00019206i,-2.4788e-05-0.00043458i,0.00011005-0.00046783i,1.7628e-05-0.00025329i,-0.00049594+4.2009e-05i,-0.00065344+0.00052229i,-0.00020914+0.00081984i,-4.6875e-05+0.0012181i,0.00055342+0.001015i,0.00072203+3.9524e-05i,0.00043227-0.00012383i,0.00018443+3.3432e-05i
-0.00051901+0.00080876i,-0.00027539+0.00095084i,-0.0001507+0.00066627i,-0.00098022-0.00015375i,-0.0014644-0.00070549i,-0.00097082-0.00062359i,-0.000486-0.00017766i,0.00022829+0.00055586i,0.00052588+0.00093686i,0.00040383+0.00085131i,0.00079042+0.00024469i,0.0013474-0.00010589i,0.001597-4.9564e-05i,0.00071152+7.4014e-05i,0.00016753+0.000149i,0.00033873+0.00021896i,-0.0001245+0.00047597i,-0.00019373+0.00071211i,-0.00018128+0.00036813i,-0.00026079-0.00021213i,0.00019972-0.00051347i,0.00051212-0.00037951i,-8.2967e-07+0.00021035i
-0.00014566+0.0016339i,0.0010272+0.0028574i,0.00089573+0.0031795i,0.0010989+0.0019713i,0.00012349+0.0010497i,-0.0010659-0.00067205i,-0.00046412-0.0009104i,0.00013819+0.00012982i,-0.00024191+0.00056392i,-0.00073088+0.00078414i,-0.0012522+0.00063699i,-0.00034142-2.0804e-05i,0.00070233+0.00036323i,0.0010429+0.00069395i,0.0012943+0.00032246i,0.00018705-3.0788e-05i,-0.00063617+0.00019887i,0.00017561+0.00067571i,0.00094467+0.00086829i,0.00022317+0.00060308i,0.0001939+0.000441i,0.00013438+0.00087216i,-9.5108e-05+0.00062075i
0.00046297-0.0005259i,0.00024677+0.0003017i,-0.00022985+0.00017505i,-0.00071339-0.00039339i,-0.0010265-0.00016318i,-0.0011038+0.00039547i,-0.000608+0.00066571i,0.00025049+0.00058406i,0.00086396+0.00020218i,0.00042395-5.3742e-05i,-0.00073492+0.00046295i,-0.00064835+0.00024324i,-0.0005094-0.00051963i,-0.00023041+0.00017085i,0.00034415+0.00090934i,-7.1755e-05+8.3681e-05i,-0.00014845+0.00049386i,0.00025153+0.0012296i,0.0005142+0.00048644i,0.00044355-0.00031695i,0.00088757+0.00012647i,0.00061824+0.0004167i,-0.00016905-5.7079e-05i
-0.00053348+0.0018334i,-0.00065937+0.0010147i,-0.0010935+0.00018462i,-0.0012456-0.00024745i,-0.0014464-0.00061051i,-0.0014996-0.00052711i,-0.0013854-0.00040604i,-0.00066318-0.00050398i,0.00024876-0.0003152i,-0.00019361-1.2254e-05i,-0.00032138+4.4753e-06i,4.8066e-05+0.00024667i,0.0004032+0.0001869i,0.0012151-0.00012086i,0.001197-0.00065482i,0.00030787-0.0011043i,-0.00039254-0.00059231i,-0.00074768-3.8811e-05i,-0.00055674-0.00031658i,0.0003624-0.00050332i,0.00061475-9.4612e-05i,0.00074803+0.0003412i,0.00098974+0.00084784i
-3.9797e-05+0.00039564i,0.0014568-0.00074821i,0.00065859-0.002024i,-0.00063227-0.0024269i,-0.00080925-0.0011603i,-0.00080875+1.7936e-05i,-0.0012368-5.2024e-05i,-0.00069086-0.00047813i,-0.00023273-0.00028305i,-0.00025559-0.00026542i,-7.2942e-05-0.00018581i,0.00026144+0.00034196i,0.00023812-0.00011209i,0.00054639-0.0002977i,0.00020779+9.0184e-05i,-0.00062428+0.00054224i,-0.00050557+0.00032662i,-9.1148e-05-0.00046019i,0.00019534+0.00014393i,0.00010419+0.00051645i,0.0007033+0.00014888i,0.00098888-0.0001505i,0.00054031-0.00035243i
0.00022215-0.00055207i,-8.552e-05-0.00036799i,-0.00052648-0.00080785i,-0.0015448-0.0013284i,-0.0025864-0.0016205i,-0.0026826-0.00061272i,-0.0016973+0.0001447i,-0.00081233+0.0002199i,-0.00047341-5.0746e-05i,-0.00076804-7.8015e-05i,-0.0006026+0.00055606i,-4.4189e-05+0.00052147i,0.00024347-0.00060713i,1.101e-05-0.00024427i,-0.0008182+0.00088245i,-0.00098824+0.00090184i,-0.00096825+0.00037113i,-0.00084312+0.00066356i,-0.00024377+0.0010128i,2.0326e-05+0.00030998i,-0.00038003+0.00021413i,-6.5209e-05+0.00064858i,3.6366e-07+0.00063249i
-0.0051382-0.00088369i,-0.0038919-0.0011628i,-0.0023095-0.0011464i,-0.0014597-0.0003514i,-0.0012566+0.00078326i,-0.00044009+0.0016217i,0.00075711+0.001174i,0.0008255+0.0002126i,-0.00017818+9.0806e-05i,-0.00053778+0.00069996i,-1.8381e-05+0.0013244i,0.00015767+0.00097031i,-7.1632e-05+0.00072873i,-1.7293e-05+0.00096088i,0.00016517+0.00092099i,-0.00030707+8.791e-05i,-0.00068774-0.00084543i,-0.00062427-0.00053098i,-0.00019893+0.00011571i,-6.0857e-05+0.00012225i,0.00016685-0.00083564i,0.00028108-0.0010557i,-0.00024549+0.00022158i
0.00034658-0.0021891i,-0.00018046-0.0010682i,-0.0016947-0.0013747i,-0.0024161-0.0016416i,-0.0021872-0.00082188i,-0.0018022+0.00019076i,-0.00068192+0.00030388i,0.00025573-0.00052943i,0.00035643-0.0010218i,0.00044857-0.00068559i,0.00033261+0.00038587i,0.00011732+0.0010425i,0.00025708+0.00078733i,0.00035663+0.00050488i,-0.00020699+0.00068258i,-0.0010081+0.00063288i,-0.00099233+0.000275i,0.00021716-0.00042725i,0.00082094-0.000669i,0.0007598+0.00020673i,5.1758e-05-2.7127e-05i,-0.00021857-0.0010169i,0.00060754-0.00088969i
-0.00035798+0.00018232i,-0.00029949+0.00046142i,-0.0010304+2.6625e-05i,-0.0019176-0.0002339i,-0.0021881-0.00035433i,-0.0017921+0.00037461i,-2.5723e-05+0.001295i,0.00024434+0.0013026i,-0.0013915+0.0010408i,-0.001099+0.00045845i,-0.00047347-9.6734e-05i,-0.00084271+0.00046953i,-0.00040258+0.0010985i,0.00056739+0.00070034i,0.00074191-0.00031977i,0.00013883-0.0013278i,-0.00089153-0.00069935i,-0.00063094+0.00058921i,0.00071758+0.00069724i,0.00095247-0.00011581i,0.0012083-0.00035533i,0.0014702+0.0001077i,0.00023411-7.5098e-05i
-0.0020599-8.7799e-05i,-0.0014483-0.00077807i,-0.0013226-0.00033485i,-0.0016242-7.0733e-05i,-0.0011475-6.8208e-05i,-0.00048374+0.00079116i,0.00039558+0.0010024i,0.00058134+0.00076143i,-0.00030186+0.0006317i,-0.00078622+0.00067619i,-0.00076338+0.00036855i,-0.0001644-0.00023836i,-9.0948e-05-0.00011293i,-0.0011304-0.00011871i,-0.0010711-0.00016172i,-0.00055129+0.00063555i,-2.6391e-05+0.0010139i,0.00038168+0.0010706i,0.00051173+0.00035681i,0.00073952-6.6677e-05i,0.00027037-0.00018777i,-0.0002979-3.083e-05i,-0.00028232+0.00046842i
-0.00068061-0.00016821i,-0.0017921+2.4307e-05i,-0.0023405+0.00065413i,-0.0012811+0.0010076i,-0.0010013+0.00016291i,-0.00023948-6.1936e-05i,0.00080711-9.3377e-05i,0.00058408-0.00083019i,0.00023678-0.0007933i,-0.00032282-0.00053602i,-0.00063827+0.00013714i,-0.00030224+7.9337e-05i,0.0003151-0.00027065i,0.00029321+0.00045668i,-0.00033577+0.00077753i,-0.00027221+0.00040723i,3.7471e-05+0.00043556i,-0.00011821+0.00071662i,-0.00021221+0.00062881i,-0.00038539+0.00093059i,-0.00053105+0.00097509i,-0.00051396+0.00092558i,-0.00056816+0.00064306i
-0.00021023-0.00031005i,0.00029449-0.0012548i,0.00021542-0.0022465i,-0.00028714-0.0023207i,-0.00064245-0.0016836i,-0.00084326-0.00085964i,-0.00028238+0.0010338i,0.00045797+0.0010775i,0.00056291+0.00012381i,-0.00071185-0.00038283i,-0.0012116-0.00054352i,-0.00030936+0.00031223i,-0.00012344+0.00082795i,-0.00036703-0.00014032i,-0.00026193-0.00062212i,-0.00070215-4.0844e-05i,-0.0014098+0.00055842i,-0.00077779+0.00025091i,-1.4096e-05-0.00034503i,0.00047243-0.00052041i,0.00055325-0.00067119i,0.00067643-0.00031143i,0.0010619+0.00042927i
-0.00086552-0.00043157i,-0.0010527-0.00023079i,-0.0019252+0.00019802i,-0.0023725+0.00056735i,-0.0028059+0.00025044i,-0.0026695+0.00013112i,-0.0014543-1.3555e-05i,0.00013355-0.00016079i,0.00018483+0.00017637i,-0.00027289+0.00056584i,-0.0002229+0.00025785i,-0.00014998-0.00046895i,-8.2994e-05-0.00029753i,-0.0010247-0.00026159i,-0.0011254-0.00035548i,3.0558e-05-0.00019567i,-0.00012702-0.00033146i,-0.00028404+0.00030899i,0.00043768+0.00080377i,0.0011402+0.0007537i,0.00072088+0.00081277i,-9.2558e-05-4.0367e-05i,0.00031732-0.00086526i
0.0011038+0.0016081i,0.0010266+0.0015733i,0.0010473+0.00098848i,0.0015518-6.8028e-05i,0.00078022+0.00011523i,2.4038e-05+0.00050261i,0.00010102+0.00067999i,8.9775e-05+0.00063798i,-0.00034808-0.00016101i,-0.00072749-0.00032703i,-0.00047916-6.4544e-05i,-0.00043242-0.00083274i,-0.00085129-0.0011073i,-0.00017556-0.00023354i,0.00084084-0.00026103i,0.0010612-0.00042553i,0.00045233+0.00048183i,3.387e-05+0.0010049i,0.00068314+0.000718i,0.00097611+0.00048414i,0.00057868+0.00054534i,0.00030544+0.00056901i,0.0005798+4.0027e-05i
-0.00091336+0.00088043i,-0.0019605+0.00040172i,-0.0017586+0.00082788i,-0.00058713+0.00088967i,-0.00034826+0.00037223i,4.0319e-05+0.00026934i,0.00018842+0.00019066i,-0.00064849+0.00021171i,-0.00075162+0.00059655i,-0.00036439+0.00086271i,-0.00016835+0.00029144i,0.00027259-0.00033144i,0.00018647+0.00049756i,-0.00039925+0.0013189i,-0.00016605+0.00084931i,-7.9473e-05-0.00013792i,-0.00076583+0.00015676i,-0.00070419+0.0012782i,-0.00054803+0.0015116i,-0.0005788+0.00076146i,-0.00011129+0.00059285i,-0.00020128+0.00016377i,-0.00022597-0.00057354i
-0.00050376-0.00040188i,-0.00034043-8.4535e-06i,-0.00043734+0.00072993i,-0.0011966-0.00030413i,-0.0017428-0.00065101i,-0.0014644+0.00072917i,-0.00048376+0.00085091i,-8.7775e-05-2.1474e-05i,-0.00042571-0.00040375i,-0.00036204-0.00040278i,-0.00072427+0.00030105i,-0.0011325-0.00024913i,-0.00073052-0.00070796i,-0.0001722-0.00045251i,0.00040567-0.00054256i,8.2504e-05-0.00041172i,-0.00042043-0.00019566i,-0.00068096-0.00050897i,0.00023223-0.00063358i,0.00098373-0.00016844i,0.00073927+5.0423e-05i,0.00026667+0.00011905i,0.00019421+0.00048392i
0.0011467-0.00021184i,0.0015098-0.00023108i,0.0010054-0.00092888i,0.00047011-0.0020511i,9.3392e-05-0.0016098i,-0.00097366-0.00076509i,-0.00075205-0.00047948i,0.00025019-0.00013132i,-9.682e-05-0.00028957i,-0.00065242-0.00056718i,-0.00018124-0.00048021i,0.00053581-0.00057259i,0.0009934+1.1698e-05i,0.00028014+0.00057086i,-7.1163e-05-0.00034749i,0.00024481-0.00059218i,0.00025207+0.00050838i,-3.424e-05+0.00063139i,-0.00026009-7.1663e-05i,-1.6267e-05-0.00029242i,0.00014007-0.00028031i,0.00030401-0.0001593i,0.0003049-0.00025556i
-0.00068639+0.001579i,-0.00084202+0.0010452i,-0.00024719+0.0011168i,0.00012476+0.0014061i,-0.00085724+0.0012208i,-0.0014908+0.0013488i,-0.00067313+0.00083038i,0.00035577+0.00019258i,0.00049445-0.00025372i,-2.8853e-05+2.563e-05i,-0.00068395+0.00076806i,-0.0010674+0.0010785i,-0.00077995+0.0009576i,-0.00034179+0.0015056i,0.00014269+0.0018828i,0.00030328+0.0012187i,0.00016804+0.00058603i,0.00023773+0.00020735i,7.9214e-05-7.6081e-05i,0.00043527-0.00013287i,0.00081185+0.00022382i,0.0012159+0.00040623i,0.00069795-0.00029589i
-0.0013081+0.00092286i,-0.00079419+0.00089788i,-0.00098345+0.000169i,-0.0013262-8.0958e-06i,-0.0010979+0.00041071i,0.00024637+0.00072376i,0.0013715+0.00031999i,0.00073711-0.00079182i,0.00019801-0.001229i,0.00053133-0.00075883i,0.0003692-0.00038592i,-0.00024975-0.00083021i,0.00017981-0.0009516i,0.00098462-0.0008088i,0.0014635-0.00021877i,0.0003551-7.0008e-05i,-0.00061941-0.00041986i,-6.6073e-05-0.00065354i,2.6123e-05-0.00071384i,-0.00018684-0.00024719i,-0.0001011-0.00016742i,1.2061e-05-9.4719e-05i,0.00064413-0.00027183i
0.00027321+0.0022979i,-0.00040108+0.0020116i,-0.0013182+0.0031306i,-0.0016947+0.0020606i,-0.0011386+0.00011021i,-0.00107-0.00018018i,-0.0012848-0.00024244i,-0.00094227+0.00011707i,-0.00046338+0.00022418i,-0.00012202+0.00031896i,-0.00037704+0.0002541i,-0.00052469+4.2126e-05i,-8.8651e-05+0.00010198i,0.00044397+0.00096567i,0.00074841+0.001023i,0.00029077+0.00025341i,0.00026042-0.00042182i,0.00076929-0.00012687i,0.0002757+0.0005782i,-0.00021442+0.0015886i,-0.00043377+0.0017004i,-0.00052461+0.00083238i,-0.00019039+0.0002742i
0.00085389-4.8249e-05i,0.0010112+0.00027921i,0.0019464-0.00024686i,0.0017408-0.00026869i,-0.00047583-7.6493e-05i,-0.0014429+3.1156e-05i,-0.00074308+4.1474e-05i,0.00019657+3.9783e-07i,0.0010287-0.00041842i,0.0010117-0.0001904i,0.00038978+0.00028606i,-0.00040325+0.00045335i,-0.00033382+0.00059296i,3.2543e-05+0.00032606i,-0.00013617-1.244e-05i,-4.6658e-05-0.00071841i,0.00054203-0.00092376i,0.00066511+0.0002268i,0.00026258+0.0008893i,-0.00060036+0.00057165i,-0.00074422+8.2244e-05i,-0.00015107-0.0011195i,-1.0318e-05-0.0017492i
0.00056727-0.0011512i,0.00074013-0.0012021i,-7.2457e-05-0.0021774i,-0.0011781-0.0024775i,-0.0011298-0.0012552i,-0.00078635+0.00036119i,-0.00026266+0.00072037i,-0.00021876-0.00053011i,-0.00038039-0.0012982i,-0.00037535-0.00064443i,-0.00082697-0.00028383i,-0.00064212-0.00041592i,-0.00040521-0.00040218i,-0.00021604-0.00045614i,0.00081617-0.00023329i,0.00012152-0.00037819i,-0.00089601-0.00026704i,-5.7324e-05+0.00030471i,0.0009053-0.00015615i,0.00063617-0.00057071i,0.0003464-3.932e-05i,0.00084441+0.00018937i,0.0009349+6.7203e-05i
-0.00056416+0.0019971i,-0.0011695+0.0024216i,-0.0025129+0.00046681i,-0.0025081-0.00025622i,-0.0016056+0.00055062i,-0.00067924+0.00088109i,0.0002725+0.00018703i,0.00025154-0.00053642i,-0.00012923-0.0007797i,-0.00017557+0.00016099i,-0.0007033+0.0012534i,-0.00048134+0.0012468i,-4.5384e-05+0.0013153i,-0.00016781+0.00089098i,-0.00031798-6.1164e-05i,-0.00047603-0.0001417i,-0.00080712+0.00012535i,-0.0013303+2.9967e-05i,-0.0014199+0.000196i,-0.00084373+0.00017848i,-0.00028779+0.00033358i,0.00033411+0.00088175i,0.0008423+0.00077661i
-0.00035012-0.0015551i,6.8046e-05-0.0018912i,-0.00081279-0.0019156i,-0.0015333-0.001497i,-0.0020528-0.00031504i,-0.0020429+0.0003537i,-0.00067785+0.00047902i,-1.1121e-06+0.00025078i,-0.00054818-0.0006282i,-0.00083075-0.00031612i,-0.00061867+0.00020444i,-0.00033821+0.00050604i,-0.00048092+0.00050498i,-0.00069559+8.3651e-05i,-0.00041066-5.5514e-06i,2.6387e-05+0.00018117i,-0.00017419+0.00056133i,-0.00049225+0.00046219i,-0.00039097+0.0002257i,-0.00015166+0.00030458i,-1.9472e-05+0.00077111i,0.0005261+0.00045399i,0.00091535-0.00034616i
-6.9774e-05-0.00014025i,0.00045142-0.00020841i,-6.6664e-05+4.179e-05i,-0.00052627-0.00097509i,-0.00079628-0.0017824i,-0.00082057-0.00017096i,0.00010201+0.0012071i,0.00071187+0.00034865i,0.00017195-0.00043497i,-0.00073786-5.0125e-05i,-0.00097088-8.5786e-05i,-0.0013009-0.00034347i,-0.00074817-1.1632e-05i,0.0001125+0.00039486i,0.00030089+0.00023766i,-3.5777e-05-0.00010176i,-0.0007359-0.00035575i,-0.0010803-0.00024028i,-0.00021732-0.00062361i,0.0005363-0.00041648i,0.00043017+0.00010184i,-0.00017537+0.00019566i,-0.00077502-7.0536e-05i
0.001091-5.0819e-05i,0.0011071-0.00032987i,0.000976-0.00017794i,6.6558e-06+0.00034204i,-0.00031473-0.00046974i,-7.7865e-05-0.0012108i,0.00038393-0.00081048i,0.00086582-0.00062328i,0.00049091-0.00034936i,-0.00022952-0.00028798i,-0.00026353-0.00058721i,-0.0005328-0.00097555i,-0.00064777-0.00025757i,-5.1085e-05+0.00097119i,0.00018807+0.00061352i,-0.00044182-3.5534e-05i,-0.00074876+0.00046666i,-0.00028217+0.0006621i,-0.00047395+0.00052705i,-0.00046179+0.00087104i,0.00052211+0.001147i,0.0010942+0.00031031i,0.00041773-0.00085975i
-0.00063677+8.6471e-05i,0.00026413-0.00055363i,0.00033613-0.00072586i,-0.00041045-0.00030716i,-0.0014656-0.00082111i,-0.0014209-0.0007708i,-0.00018259-0.00025941i,0.00037906-6.0644e-05i,-0.00043328-0.00011177i,-0.00057044-0.00043762i,-0.00047321-4.0258e-05i,5.1085e-05-7.918e-08i,0.00040822+1.0738e-05i,0.00028141-0.00011813i,0.00016178-0.00013682i,-9.7047e-05+0.00081817i,-0.00017313+0.00068427i,-7.441e-05-5.7137e-05i,0.00046284+0.00040532i,0.0006601+0.00085044i,-9.5993e-05-8.6548e-05i,-0.0004482-0.00021356i,-0.00015999+0.00012766i
0.00063722+0.00078002i,0.00042325+0.0011564i,0.00065099+0.00054957i,7.2899e-05-0.00011177i,-0.00056705-0.00023843i,-0.00021236+0.0002231i,0.00025412+0.00060308i,0.0010281+0.00031099i,0.0010998-0.00020685i,0.00041567-0.0004697i,0.00038821-0.00056457i,0.00017918-0.00069153i,0.00013156-0.00055325i,-0.00028469-0.00061354i,-0.0010471-0.00019994i,-0.0011633+0.00064861i,-0.00071248+0.00047068i,-0.00064044-6.76e-05i,-0.00069669+8.3835e-05i,-0.00043881+0.00049922i,-0.00063079+0.00056038i,-0.00015626+0.00091912i,0.00041591+0.00071124i
