-0.0036722-5.5365e-05i,-0.0032949+0.0016065i,-0.0044065+0.0029851i,-0.0032964+0.0029672i,-0.0022423+0.0021264i,-0.00246+0.0016975i,-0.0023666+0.0011118i,-0.0013219+0.00065962i,-0.00032732+0.00054252i,-0.00014767+1.2301e-05i,0.00019174-0.00027137i,3.8402e-05-0.00010208i,0.00013677+0.00022157i,0.00048775+0.00030423i,-0.00013427+0.00047909i,-0.00062491+0.00059618i,4.1435e-05+0.00072831i,0.00028079+0.000671i,-0.00017788+0.00055404i,-0.00040604+0.00067218i,-0.00071644+0.0010722i,-0.0012869+0.00090504i,-0.0005539+0.00038113i
-0.0019397+0.00037395i,-0.00092202+0.00026102i,-0.0011131+0.0013784i,-0.0012947+0.0013882i,-0.00096704+0.00040656i,-0.00024413+0.00035989i,-8.7781e-05+0.0011064i,-0.00085906+0.00080444i,-0.000744+0.00018124i,-0.0007106-0.00019165i,-0.0010262-0.0008602i,-0.00086789-0.00041133i,-0.00041707-0.0001398i,-0.00021525+4.8076e-05i,9.9464e-06+0.00012195i,-0.00030363+0.00019619i,-0.00049678+0.00060119i,-3.0816e-05+0.00011221i,0.00044516-5.7207e-05i,0.00067984-0.00050182i,0.00059279-0.00072482i,-2.436e-05-0.00024208i,-0.00032888-0.00028022i
-0.00042361+0.00053808i,-0.001237+0.00064728i,-0.0022526+0.0010247i,-0.0019343+0.00084982i,-0.0017088+0.00044225i,-0.0013922+0.00060552i,-0.00011354+0.0007393i,5.7846e-05+0.00013272i,-0.00018358-0.00079637i,6.9991e-05-0.00039838i,-0.00039377+4.8688e-05i,-8.4629e-05-0.00020232i,0.0008772-0.00052707i,0.00061213-0.00035482i,0.00023989-8.3132e-05i,0.00019152-0.00030087i,-0.00017868+0.00031885i,-0.00081202+0.0010305i,-0.00066732+0.00074534i,-0.00020028+0.00036604i,-0.00033249+0.00063037i,-0.00090945+0.00037435i,-0.00017825+3.7369e-05i
0.001436-0.0004871i,0.00071086+0.00010764i,0.00098973-0.00086861i,0.00092409-0.0012425i,-0.0005839-0.00086597i,-0.0012103-0.00010129i,-0.00063024-0.00028957i,-0.00021738-0.00048088i,-0.00050518+6.9645e-05i,-0.0004683+0.00036157i,-0.00023255-0.0004141i,-0.00012691-0.00064425i,-5.852e-05+0.00025936i,0.0002259+0.00081375i,-0.00017156+0.00019635i,-0.00074343-0.00059769i,-0.00057829+3.3254e-05i,-6.9515e-05+0.00088575i,-1.7172e-05+0.00055718i,-0.00037522+0.00017123i,-0.0004687+0.00014479i,9.5672e-05+0.00035595i,0.00017864+0.00067858i
-0.0011456+0.0026683i,-0.00087967+0.0025865i,-0.00080394+0.002409i,-0.00060139+0.0020053i,-0.0006178+0.00069383i,-0.00043761-0.00011342i,0.0002645-2.5206e-05i,0.00017535-0.00030298i,-0.00038913-0.0010924i,-0.00014284-0.00090917i,9.5995e-05-0.00070521i,0.00033784-0.0007274i,0.0009145-0.00031992i,0.0011724-0.00039785i,0.00037642-0.00093089i,7.8977e-05-0.00037725i,-0.00038041+0.00075919i,-0.00051016+0.00073165i,0.00039139+0.00049471i,0.00090737+0.00052935i,0.00071515-8.8324e-06i,0.00028142-0.00036485i,-0.00039673+0.00023176i
0.0019047+1.078e-05i,0.0025871-0.00060971i,0.0023809-0.0017549i,0.00050484-0.002095i,-0.00085751-0.0019881i,-0.0017779-0.0011623i,-0.0021633-0.0003811i,-0.0020291+1.3664e-05i,-0.001097-0.00027589i,-4.9127e-05-0.0004223i,0.00099684-0.00016711i,0.00055242+0.00041898i,-0.00055207+0.00083587i,-0.00054947+0.00050814i,-0.00069364-0.00054598i,-0.00055674-0.00047285i,8.3778e-05+9.7123e-05i,-8.0893e-05-0.00041005i,-0.00054554-0.00073763i,-0.0011063-0.00050115i,-0.000822-1.2738e-05i,0.00024141-4.2758e-07i,0.00037974-0.00029506i
-0.00059579+0.00051145i,-0.00018039+0.00086227i,-6.5834e-05+0.00076371i,0.00025266-0.00047404i,0.0003809-0.00055274i,-0.00090512+6.6247e-05i,-0.0017195-4.9804e-05i,-0.0011164-0.00078151i,-0.00075685-0.0010626i,-0.00054457-0.0001688i,-0.00035373+0.00010781i,0.0004569-0.00097586i,0.001365-0.0012086i,0.0016703-0.000185i,0.0014021+0.00048227i,0.00062575+0.00042465i,7.9494e-05-0.00024869i,6.9323e-05-0.00023038i,6.7289e-05+0.00013467i,3.7919e-05-0.00052505i,-7.4894e-05-0.00070276i,0.00030099+0.00024084i,0.00082038+0.00059675i
-0.00085765-0.00090956i,-0.0012529-0.00019723i,-0.00092892-0.00022463i,-0.0010583-0.00032889i,-0.0017009+8.3507e-06i,-0.0019504-6.2912e-05i,-0.0013791+0.00037336i,-0.00047282+0.00059951i,-0.00043928-0.0002198i,-0.00078521-0.00074095i,-0.0014436-0.0002553i,-0.0010442-0.00042117i,-0.0002412-0.0010858i,-0.00010307-0.0012755i,-0.00043386-0.0007827i,-0.00046042+0.00041373i,-0.00064573+0.0011385i,-7.988e-06+0.00074184i,0.00092658-0.00016056i,0.0007255-0.0006857i,-0.00033424-0.00045449i,-0.00075935-0.00023418i,-0.00056984+0.00038904i
-0.0019591-0.0001987i,-0.0016931+0.0012092i,-0.0018752+0.00048301i,-0.00243-3.1537e-05i,-0.0019078+8.9491e-05i,-0.0012247+0.00037418i,-0.0012429+0.0013279i,-0.0015202+0.0018184i,-0.0010728+0.0014745i,-0.00019233+0.00059474i,0.00042247-0.0002543i,0.00029792-0.00015906i,-5.1001e-05+0.0002687i,-0.00021311+0.00011212i,-0.0006527-0.0003845i,-0.00043396-0.00078116i,-9.3054e-05-0.00063817i,-0.00018004+5.2226e-05i,-6.6407e-05+0.00055245i,-0.00048665-9.0126e-05i,-0.00071279-0.00029595i,-0.00043062+2.343e-05i,-0.00034-0.00077154i
0.0011699+0.0012927i,0.0014217+0.00081698i,0.0003342+0.00024049i,-0.00058878-0.00034891i,-0.0010935-0.00073688i,-0.001239-0.00080543i,-0.00057393-0.00056822i,-0.0001475-0.00048974i,1.7948e-05+1.4122e-05i,-0.00068171+0.0006598i,-0.00096818+0.00061245i,-0.00041155+0.00050506i,-0.00013778-0.00015835i,-0.00027663-0.00082499i,-0.00083398-0.00042542i,-0.00050884+0.00013184i,0.00045477+0.00033921i,0.0006268+0.00070003i,0.00019178+0.00047571i,-8.1954e-06-0.00039178i,-0.00072624-0.00049726i,-0.00056522-0.00031322i,0.00040867+0.00011212i
-0.0010769+0.0021358i,-0.0012513+0.0025866i,-0.00063321+0.0026363i,-0.00034056+0.0016903i,0.00032573+0.00056115i,7.6727e-05-0.0010295i,-0.0001327-0.0013895i,0.00049258-0.00013805i,-0.00055484-1.0849e-05i,-0.00092991-0.00037187i,-0.00061162+7.6059e-05i,-0.00058401+0.0010343i,-0.00051034+0.001227i,-0.00075872+0.00068302i,-0.0007753+7.2875e-05i,-0.00034033-0.00069329i,-4.6924e-05-0.00067202i,4.3266e-05-0.00061088i,0.00026481-0.0011896i,0.00050458-0.0011785i,0.00039467-0.00060515i,0.00014467+0.000106i,0.0004991+0.0002358i
0.00084392+0.0019634i,0.00032474+0.0010134i,0.00025039+0.0001252i,0.00049597+0.00057373i,2.8767e-05+0.00051515i,-0.00063104-0.00059074i,-0.0012651-0.00092548i,-0.00078914-0.00089943i,7.2816e-05-0.0010364i,0.00020691-0.0011062i,0.00076162-0.00058651i,0.00063442+0.00028539i,-0.00020628+0.00076218i,-0.00032018+0.00085556i,-0.00029366+4.0379e-05i,-0.00026603-0.00069257i,0.00020591-0.00075425i,-0.00022602-0.00051681i,-0.00015439-0.00031436i,0.00087895+0.00020525i,0.00024311+0.00025133i,-0.00045407+0.000488i,-0.00025703+0.00029772i
-0.0016039+0.0011327i,-0.0011756+0.0010127i,-0.00063542+0.0013228i,-0.00034317+0.00086375i,-0.00026087+0.00014976i,-0.00062423-0.0002743i,-0.0014266-0.00040223i,-0.0015041+0.00022689i,-0.00095485+0.00020713i,-0.00055745+2.2235e-05i,-0.00066595-9.2522e-05i,-0.00047455-0.00020855i,-0.00015908-0.00030588i,0.00029868+5.8482e-05i,0.00095982+0.00034594i,0.00080775-2.8999e-05i,-3.2485e-06-0.00046846i,-0.00081184-0.00026587i,-0.00044213-0.00025088i,0.0005418-7.0945e-05i,0.00039669+0.0004101i,5.0334e-05+0.00014857i,0.00016714-0.00046226i
-0.0012026+0.0015713i,-0.00063336+0.0014586i,-0.00074369+0.0012821i,-0.00021779+0.0013397i,-0.00034632+0.00066875i,-0.00058081-0.0003915i,-0.00060648+3.9698e-05i,-0.0011055+0.0002321i,-0.0016654-0.00019999i,-0.0012334-0.00030275i,-0.00056572-0.00086573i,-4.5325e-05-0.0010027i,0.00092118-0.0005624i,0.00090539-0.00050645i,0.00015695-0.00044727i,0.00060065-0.00029376i,0.00094161-0.00090546i,0.00033513-0.0010756i,-0.00019617-0.00054706i,-0.00011731-0.00056204i,-0.00017435-7.2324e-05i,-0.00010645+0.00026529i,-0.00013203+0.00045731i
-0.00036849-0.00027089i,-0.0011796-0.0007258i,-0.0010519-0.0012206i,-0.00094092-0.00087705i,-0.0017015-0.00048424i,-0.0027378-0.00021566i,-0.0027513+0.00015036i,-0.0015704+0.00019455i,-0.00060373+6.9686e-05i,-0.0006168-0.00024462i,-8.796e-05-0.00031756i,0.00023352-0.00089863i,-0.00044669-0.0010798i,-0.0010033+0.00027948i,-0.0013011+0.0012174i,-0.00029208+0.00078518i,3.9854e-05-0.00030395i,-0.00028917-0.00063007i,-0.00051107+8.3818e-05i,-0.00065857+0.00010055i,-1.3928e-05-0.00032972i,-0.00033856+0.00043981i,-0.00062265+0.00056029i
-0.0017836+0.0016693i,-0.0011254+0.0026805i,-0.0012968+0.0026689i,-0.0013541+0.0013566i,-0.0014546+0.0012081i,-0.0014471+0.00079109i,-0.0018091+0.00083805i,-0.0017096+0.0013113i,-0.0011459+0.00048688i,-0.001094-0.00042935i,-0.0011827+3.113e-05i,-0.00094293-5.892e-05i,-0.00086487-0.0003783i,-0.0010171-0.00029517i,-0.00077584-0.00013795i,-0.0010388-8.8328e-05i,-0.0013673-6.7462e-05i,-0.00044861+0.00047389i,3.8738e-06+0.0005408i,0.00018373+0.00041862i,0.00049433+0.00068612i,0.00022477+0.00090875i,0.00017998+0.00080369i
-0.0023056+0.0020393i,-0.0025478+0.001803i,-0.0028258+0.0014835i,-0.0026421+0.0011135i,-0.0020524-7.6538e-06i,-0.0015446-0.00063214i,-0.00073655-0.00069239i,-0.00022659-0.00044853i,-0.00055704-0.00019905i,-0.0012825+4.2929e-05i,-0.0013591+0.0002159i,-0.0003112+0.00014311i,0.00067026+0.00069945i,0.00016551+0.0013628i,-0.00032171+0.00089401i,9.775e-05+0.00059124i,0.00034074+0.00069281i,6.7772e-05+0.0007662i,-0.00019688+0.00077464i,0.00029414+0.00052995i,0.00040904+0.00058717i,-0.00033812+0.00026441i,-0.00030246-0.00041717i
-0.001117+0.001971i,0.00022074+0.0025672i,0.0013069+0.0021142i,9.6351e-06+0.0014766i,-0.0015095+0.00076629i,-0.0014285-5.8412e-05i,-0.00076764-0.00018179i,-0.00042826-0.0003672i,-0.0003267-0.00063396i,0.00070343+9.3464e-05i,0.0010957+0.0003309i,0.00022549+7.625e-05i,3.6398e-05-9.5904e-06i,0.00013562+5.943e-05i,-0.00015128+0.00058476i,-0.00016846+0.0011412i,-0.00064761+0.00042326i,-0.00076608-0.00041812i,-0.00016561-0.0003231i,0.00045978+2.9853e-05i,0.00032655+0.00030882i,-0.00048587-6.7076e-05i,0.00068773-0.00021139i
0.00022508+0.002029i,-0.00054938+0.0018029i,7.6986e-05+0.0015958i,-0.00017589+0.00053112i,-0.0011497-0.00039785i,-0.0010143-0.00038308i,-0.00056662-0.00051006i,-0.00018854-0.00079383i,-5.5664e-05-0.00058739i,-0.00016366-0.00039155i,0.00045044-0.00089947i,0.0012582-0.00083479i,0.0017109+8.659e-05i,0.0013481+0.00020362i,0.0003429-0.00028898i,-0.00039564+0.0001823i,0.00037268+0.00043054i,0.00062587-0.00048084i,-1.7415e-05-0.0010832i,6.848e-07-0.0011309i,0.0002285-0.00052146i,4.3135e-05+0.0006782i,0.00047803+0.00020323i
0.00020509-0.00069079i,-3.7646e-06-0.00073468i,-0.00017656-0.0014035i,-0.00063669-0.0010152i,-0.0012031-0.00023223i,-0.0011804-0.00055236i,-0.0016624-0.0010007i,-0.0017928-0.0013401i,-0.00078593-0.0016132i,-1.5336e-05-0.0013699i,0.00017598-0.001371i,0.00052352-0.0015719i,0.00047019-0.0011689i,0.00054856-0.00061486i,0.0015463-0.00015476i,0.0016086+1.2682e-05i,0.0004472+0.00054603i,-0.00049238+0.00033621i,-0.00088737-0.00048392i,-0.00032216-0.00095521i,0.00019734-0.00083494i,-0.00014087-0.00066937i,4.7143e-05-0.00088291i
-0.0014004+0.000505i,-0.001255+0.00059948i,-0.0019277+0.0005227i,-0.0029173-0.00013199i,-0.0025368-0.00081952i,-0.0015846-0.00029807i,-0.0016932-0.00038585i,-0.0020809-0.00064235i,-0.0018196-0.00020579i,-0.0018021-0.00046661i,-0.001383-0.00088309i,-0.00084066-0.00043981i,-0.00064777+0.00023557i,-0.00020657+0.00023993i,-3.6645e-05-0.00063386i,-0.00029394-0.00046017i,-0.00044895-0.00058109i,-0.00047073-0.00097004i,-0.00052537-0.00066676i,-0.00040677+0.0001302i,-0.00044388+0.00065758i,-0.00043999+0.00049184i,0.00025234+4.0211e-05i
-0.0014684+0.00036485i,-0.00097621+0.00064743i,-0.0018859+0.0005542i,-0.002671+0.00067641i,-0.0014525+0.00035809i,-0.0012957+0.00044734i,-0.0018449+0.0010317i,-0.00111+0.0013178i,-0.00085796+0.00078011i,-0.0010525+2.2554e-05i,-0.00088233-5.9558e-06i,-0.00099965+5.4753e-07i,-0.0011265-0.00050591i,-0.0015494-0.0006637i,-0.0017983-0.00024231i,-0.0012117-3.2784e-05i,-0.0008103-8.2247e-05i,-8.204e-05-4.4521e-05i,0.00026551+9.047e-05i,7.2455e-05+0.00029397i,-0.00057119+0.00026426i,-0.00091385+0.00021935i,-0.00059348+0.00030015i
-0.0012246+0.0019612i,-0.00094527+0.0013196i,-0.00067564+0.0016308i,-0.00033904+0.0012647i,-0.00039262+0.00020954i,-0.0015691-0.00037595i,-0.0016299-0.00015304i,-0.00088015+0.00044802i,-0.00052968+0.00016479i,2.8074e-05-0.00055702i,0.00010874-0.00031805i,-8.1294e-05-0.0001819i,-0.00028858+0.00038058i,-0.00054379+0.00083709i,-0.00047907+0.00049042i,-0.00034628+0.00034914i,-0.00058596+0.00056875i,-0.00079417+0.00062989i,-0.00043314-1.2048e-06i,-0.00070313-0.00064481i,-0.00072436-0.00091805i,-0.00058733-0.00014647i,-0.00041803+0.00036957i
-0.0010224+0.0025463i,0.00032345+0.002873i,0.0014625+0.0026135i,0.0013562+0.0012089i,6.0015e-05+0.00067216i,-0.0004724+0.0002814i,0.00018611+0.00010481i,0.00051777+0.0006927i,-2.5635e-06+0.00076501i,0.00024445+7.7999e-05i,0.00075778+0.00013771i,0.00067779+0.00093266i,0.00065678+0.00079611i,0.00016103+0.00077503i,-0.00032385+0.00097796i,-0.00018193+0.00071004i,1.0348e-05+0.00089584i,-0.00029083+0.00025061i,0.00021467-0.00068533i,0.00044839+4.6092e-05i,-0.00024127+0.0004639i,-0.0010731+0.00022998i,-0.00098743-5.9927e-05i
-0.0027287-0.0011001i,-0.002666-0.00012517i,-0.0018721-0.00057842i,-0.00094692-0.00017187i,-0.00044033+0.00088501i,-0.00048828+0.00062979i,-0.00019299-0.00023054i,0.00028121-0.00060938i,0.00051333-0.00062319i,0.00032983-0.00060784i,6.4556e-05-0.00017323i,0.00051213+0.00013698i,0.00051935-0.00070625i,1.0031e-05-0.0010227i,-0.00021966+0.00022261i,0.00019567+0.00057353i,0.00031207+0.00079747i,-7.4082e-06+0.00080267i,9.3576e-05-0.00014355i,0.00015104-0.00013536i,-0.00056704+0.0003884i,-0.0011805-0.00025118i,-0.00055791-0.0010097i
-0.0019774+0.0011184i,-0.0011612+0.00053354i,0.00017153+0.0011096i,0.00048603+0.00081282i,-0.0004144-0.0001345i,-0.0013469-0.00018913i,-0.0011103-0.00014783i,-0.00057208-0.00042856i,-0.00067201-0.0012601i,-0.00047767-0.001937i,-0.00039176-0.0011321i,-0.00012287-0.00032814i,0.00014991-0.00015648i,-0.00039114+0.00066377i,-0.00037012+0.0012438i,0.0001832+0.00063634i,-0.00023167+0.00020116i,-0.0003991-0.00035158i,0.00037196-0.00075826i,0.00066126-0.00049914i,0.00072695-0.00058082i,0.00025946-0.00022651i,9.4027e-07+0.00048729i
-0.0025805+0.001029i,-0.0019555+0.0013543i,-0.00094462+0.0021289i,-0.0012115+0.0017163i,-0.0011886+0.00050123i,-0.00094296+5.0774e-05i,-0.00075666-0.00056504i,-0.00078439-0.00055789i,-0.0017542+0.0002569i,-0.0014543+6.0174e-05i,-0.00056889-0.000958i,-0.00034594-0.0014542i,-0.00072428-0.0012969i,-0.00047981-0.00076412i,0.00029291-0.0011738i,0.00033954-0.0014159i,-0.00061465-0.00074561i,-0.0010271-0.00033185i,-0.0006723-0.00020513i,-0.00055823+9.8329e-05i,-0.00040905-0.00027612i,-0.00017506-0.0002856i,4.2596e-06-0.00027013i
-0.0013777+4.4394e-05i,-0.0021201+0.00025866i,-0.0021811-0.00016348i,-0.0019675-0.00063038i,-0.0022685-0.00067781i,-0.0017921-0.00014434i,-0.001265+0.00031393i,-0.0012083+0.0001016i,-0.00099575-0.00057213i,-0.001216-0.0014266i,-0.0015541-0.0011047i,-0.0015654+0.00036989i,-0.00095235+0.0011191i,-0.00069309+0.00070927i,-0.00067174+0.00015656i,-0.00038565-0.00015973i,-0.00065081+0.00078399i,-0.00021278+0.0019752i,-3.8314e-05+0.0018635i,-0.00027705+0.00051407i,0.00015603+0.00011143i,0.00017881+0.00020942i,0.00028372-0.00019513i
-0.00048885+0.0020354i,0.0002524+0.0024217i,-0.00025217+0.0017818i,-0.00078496+0.00086066i,-0.00086198+0.00080626i,-0.00047099+0.000445i,-0.00055569+0.00062713i,-0.00091714+0.00075441i,-0.00077844-0.0002758i,-0.00058092-0.0012372i,-8.7586e-05-0.0015519i,-0.00024639-0.0011024i,-0.0012136-1.7131e-05i,-0.00099277-4.2795e-05i,-0.0006187-0.00017236i,-0.00046696+0.00052499i,-0.00043528+0.00095023i,0.00021828+0.00087366i,0.00047083+0.00028321i,6.3931e-05-0.00032326i,0.00072157-0.00030195i,0.00094812+0.00025325i,-0.00010791+0.00071599i
-0.0015562+0.00064396i,-0.0014123-0.00029972i,-0.00060298-7.2181e-05i,-0.0012308-0.00030052i,-0.0022798-0.00086355i,-0.0023997-0.00040813i,-0.0013399+0.00018892i,0.00012161+0.00086085i,-3.7743e-05+0.0013815i,-0.0011392+0.00071512i,-0.0010737+0.00032317i,-0.00090576+0.0006952i,-0.00065339+0.00024879i,0.0002845-0.00074636i,0.00037456-0.00069488i,-0.00040771+9.9104e-05i,-0.0013266+0.00037425i,-0.0011801-1.5783e-05i,2.9784e-05+0.00010398i,-6.6736e-05+0.00014208i,-0.0010115-1.797e-05i,-0.00072036+0.00013016i,0.00017815+0.0010533i
0.00044829+0.0012758i,-0.00029918+0.00075137i,-0.0013981-0.00033722i,-0.0015814-0.00027266i,-0.0019229+0.0002816i,-0.0017534+0.00032727i,-0.001268+0.00046415i,-0.0011525+0.00057731i,6.4399e-05-0.00056569i,0.0009312-0.00077372i,-0.00050888-0.00020012i,-0.0010199-0.00039635i,0.00018606-0.00066043i,0.00025738-0.00033878i,0.00035631+0.00042264i,0.00016392+0.00068103i,-0.00068078+7.7907e-05i,-0.0006374-0.00063589i,-0.00030236-0.0011256i,-0.00024847-0.00096776i,-0.0001225-0.00025527i,-0.00020397+0.0003935i,-0.00023154+0.00069294i
0.000119-0.001084i,0.00091852-0.0013859i,0.0016157-0.0019393i,0.00040821-0.0018878i,-0.0014738-0.0018476i,-0.0021393-0.00093123i,-0.0014124-0.00041325i,0.00016039-0.00093607i,0.0010316-0.0014233i,0.00086594-0.0014103i,0.00010687-0.0015451i,9.7124e-05-0.0010249i,4.0648e-05-0.00068588i,-0.00091048-0.0015936i,-0.00048612-0.0014414i,-5.1252e-05-0.00062293i,-0.00019642-0.00032748i,-0.00016193-0.00036424i,0.00023253-0.00062841i,0.00039998-2.4568e-05i,-0.00015082+0.00024201i,-0.00092172-0.00013017i,-0.00058541-0.0010242i
