-0.0012338+0.0012149i,-0.00050245+0.00055416i,-0.0017983+0.0011492i,-0.0028661+0.0013132i,-0.0022752+0.0016376i,-0.0010173+0.0019351i,-0.0011031+0.0017062i,-0.0014215+0.0011589i,-0.0012917+0.00046001i,5.851e-05+0.00064711i,0.0016647+0.00049248i,0.0014652-0.00055195i,0.00038005-0.0018436i,-7.9399e-05-0.0017393i,-0.00033755-0.00064119i,-0.00024364-0.00011989i,-8.3947e-05-0.00031909i,8.8481e-05-0.00052921i,0.00012308-0.00046097i,-0.00046796-0.00073128i,-0.0005576-0.00091779i,-0.0003563-0.0010936i,-0.0008144-0.0010694i
-2.6757e-05-0.00080567i,-0.0013765-0.00086411i,-0.0023548-0.00026083i,-0.0022387-0.00010455i,-0.0014121+0.00026626i,-0.00090643+0.00083797i,-0.0010761+0.0012962i,-0.0016521+0.00091328i,-0.001443+0.00058606i,-0.00090484+0.00046986i,-0.00030152-0.00014207i,0.00035184-0.0007618i,-3.3974e-05-0.00035616i,-0.00067853+7.7559e-05i,-0.00046453-0.00072571i,0.0003077-0.00059947i,0.00044548+0.00032985i,-0.00081268+0.0010913i,-0.0012352+0.0010727i,-0.00069378+0.00051343i,-0.0010553-0.00044364i,-0.00080426-0.00076578i,-5.0145e-05+0.00061822i
0.0011091-0.00072559i,0.0019158-0.0014294i,0.0034946-0.0010055i,0.0022472-0.00018038i,0.00044758-0.00027714i,7.0356e-05-0.0010759i,-0.00045999-0.0014374i,-0.00050717-0.00096864i,-0.00019938-0.0014318i,5.3179e-05-0.00175i,-0.0003317-0.0011423i,-0.00025904-0.00066035i,0.00084676-0.0002122i,0.00099237-0.0006266i,9.3646e-05-0.0012155i,-0.00039301-0.0011116i,-0.00080195-0.00054499i,-0.0010185+9.3461e-05i,-0.00079547+0.00084036i,-0.00034741+0.00078902i,0.0003138+0.00013527i,0.00029314+0.00014488i,0.00020487-0.00018033i
0.00015823+0.00016361i,8.5689e-05+0.00029004i,-0.00093603-0.00026585i,-0.0017065-0.00040448i,-0.0014145-0.0004835i,-0.0013932-0.00062073i,-0.0017701-0.00063923i,-0.0011748+6.568e-05i,-0.00085209+0.00022635i,-0.00067998-0.00025464i,0.00031586-0.00022776i,0.00093333-0.00032124i,0.00024388-0.00065311i,-5.4051e-05-0.00038277i,0.00029564-0.00057692i,5.5284e-05-0.00082396i,-0.00013324-1.3714e-05i,-0.00011026+0.00041194i,-0.00031894+0.00016725i,-0.0008449-0.00047891i,-0.00020426-0.00075082i,0.00056636+0.00042489i,0.00050605+0.00040246i
-0.00054289-0.00048724i,0.00039484-0.0012006i,0.00041787-0.00068915i,-0.0006445-3.4598e-05i,-0.00049233-0.00030773i,-5.59e-05-0.00012751i,-0.0005972-0.0008503i,-0.00077137-0.0016129i,-0.00045901-0.0011972i,-0.00057201-0.00036655i,-4.7236e-05-0.00026635i,0.0010118-0.00050191i,0.00071262+7.4861e-05i,-0.00018721+0.00031789i,-0.00016828-2.1372e-05i,0.00019548+0.00067488i,5.5638e-05+0.00056302i,-0.00038315-0.00058155i,-0.00035614-0.0011004i,0.00011534-0.00031298i,-0.00023488+9.8609e-05i,-0.00075903+0.00050541i,-0.0003401+0.00033585i
-0.00088159+0.00066426i,-7.4364e-05-0.00032598i,8.2456e-05-0.0010426i,0.00071013-0.00023676i,0.00054884+0.00020231i,0.00025976-0.00078677i,0.00012112-0.0015362i,-8.5015e-05-0.0015799i,-0.00042922-0.001391i,-0.00059758-0.00078115i,0.00024318-0.00017494i,0.00049077-0.00022455i,-0.00028074-0.00050119i,0.00044492-0.00046861i,0.0012803-0.00020441i,0.0010547-0.0007244i,0.00090993-0.00067483i,0.00080979-9.4964e-05i,0.00053995+0.00012872i,0.00019391-0.00035103i,0.00018315-0.00060971i,-6.8079e-05-0.0008801i,-0.00025168-0.0012309i
-0.00032599+3.2776e-05i,0.00027197-0.00057495i,7.4602e-05-0.00029316i,9.7323e-05+0.0005218i,2.0685e-05+0.0005879i,-0.00079263-0.00028593i,-0.0011515-0.00078065i,-0.00079834-0.00069781i,-0.0010555-0.001312i,-0.00072996-0.00072058i,0.00033182+0.00074383i,0.0010841+0.00024773i,0.0011044-0.00010435i,0.00093002+7.8075e-05i,0.00074004-6.9736e-05i,7.8643e-06+0.00035542i,-0.00051896+0.000831i,4.2684e-05+0.0011248i,9.5847e-05+0.00065834i,-0.00024644+0.00016695i,-0.00043509-0.00034248i,-0.00069514-0.00098342i,-0.00079636-0.0011592i
0.0018892+0.00051913i,0.0022233-3.2141e-05i,0.0019574-0.0013393i,0.00086626-0.0015382i,-0.00069936-0.00038108i,-0.001935-0.00057285i,-0.001453-0.0010636i,-0.00059309-0.0011281i,-0.00054203-0.0015062i,-0.0012593-0.0018342i,-0.00055729-0.0014637i,0.0005303-0.0010326i,0.00011154-0.00035845i,0.0002955+0.00022365i,0.0009083+6.5539e-05i,0.00038003-0.00052934i,-1.5745e-05-0.00044373i,-2.0626e-05-0.00011254i,-9.6851e-05-6.8462e-05i,0.0002512-0.00024246i,0.00081821-0.00079129i,0.00089609-0.00055873i,0.00072703+0.000109i
0.00092961+0.00053268i,0.00025947-0.00045321i,0.0011581-0.0011894i,0.0014307-0.0025214i,-1.5584e-05-0.002246i,-0.00096782-0.0012866i,-0.00083661-0.00068543i,-0.00055984-0.00059262i,0.00012922-0.00086766i,-0.00023941-0.0011329i,-0.00089336-0.00098259i,-0.00064345-0.00070608i,-0.00047264-0.00085929i,-0.00066391-0.00069921i,-0.00074525-0.00023709i,-3.4547e-05-0.00035918i,0.00021013-0.0008624i,-0.00038205-0.00093673i,-0.0003904-0.00060172i,8.3648e-05-0.0011491i,0.00046633-0.0011495i,-8.4469e-05-8.2915e-05i,-0.00021068+0.00028399i
5.3226e-05+0.00033542i,0.00026161+0.00057557i,0.00028464+0.00083011i,0.00066776+0.0022601i,0.00011036+0.0014899i,-0.00016478-0.00053785i,-7.2554e-05-0.00058813i,-0.00011205-0.00072278i,-0.00010264-0.00066924i,-0.00080181+4.5034e-05i,-0.00086814-0.00015821i,-0.00058056-0.00082849i,-0.00021428-0.00027203i,-0.00015378+0.00038096i,-7.9416e-05+0.00013488i,0.00074307+4.2807e-05i,0.00087584+0.00052559i,0.00018863+0.00053811i,-0.00017569+0.0004221i,7.7652e-05+0.00044969i,-0.00041472-0.00031073i,-0.00084078-0.00038914i,-0.00054161-0.00012407i
0.00028159-0.00067973i,0.00035237+0.00036394i,-0.00065887+0.00062114i,-0.0016572+0.00081437i,-0.0014075+0.00139i,-0.00048848+0.00072337i,-0.00071827-0.0012136i,-0.0007767-0.001615i,-0.00082345-0.0011661i,-0.00083633-0.0011439i,-0.00057065-0.0010104i,-0.00025502-0.00030334i,0.00052892+0.0003623i,0.00063571-2.9609e-06i,0.00034696+0.00010945i,0.00029455+0.00055084i,-0.00015103+0.00045541i,-0.00010211-8.8933e-05i,0.00033553-0.00029047i,0.00031437-6.0706e-05i,0.00019101+0.00024449i,0.00074153+0.00049158i,0.00087788+0.00036225i
