0.0014317+0.00055129i,0.0024428-0.00014106i,0.0021884-0.00016054i,0.0010647-0.00067667i,-0.00036541-0.00087236i,-0.0010745-0.0001684i,-0.0013768+0.00065675i,-0.0014998-0.0003748i,-0.00096628-0.00082706i,-0.00011248-0.00017731i,4.3762e-05-0.00056793i,-0.00020779-0.0012199i,-0.00094654-0.00090407i,-0.00037618-0.00036838i,0.00056706-0.000454i,-0.00016811-0.00044957i,-0.00029124-0.00044323i,0.00038551-0.00022197i,8.8508e-05-0.00029443i,-0.00015797-6.1434e-06i,-0.00031975+0.00075693i,-0.00072499+0.0005922i,-0.00054291+2.3856e-05i
0.00058391+0.00047337i,0.00086146+0.00095832i,0.00092422+0.0011759i,0.00051629+0.0015122i,-0.00052122+0.00052427i,-0.00067412-0.00064147i,-0.0002903-0.0010609i,-0.0014691-0.00085744i,-0.0023256-0.0005084i,-0.001579-0.00025865i,-0.00036038-0.00050142i,0.00031094-0.0012319i,0.0001845-0.0011239i,0.00075491-0.00062171i,0.00089361-0.00058279i,0.00064223+0.0001195i,0.00041378+0.00030077i,-0.00012125+5.6329e-05i,-0.0001469+0.00055773i,0.00035293+0.0011631i,0.00051449+0.00038263i,0.00016094-0.00031045i,8.5947e-05-6.8134e-05i
0.00041104+0.0010153i,-0.0003824+0.00079009i,-0.00068575+0.00028542i,-0.00068566+8.9963e-05i,-0.0006342+0.00023448i,-0.00019493-0.0002791i,-0.00010324-0.00041409i,-0.00060103-0.00011634i,-0.0011309-0.00035148i,-0.00049315-0.00028063i,-0.0001123+2.8411e-05i,-0.00018185-4.0621e-05i,5.989e-05-0.00023433i,0.00030411-0.00022142i,0.00036516-0.0001441i,0.00024753-0.00023608i,0.00038626-0.00025733i,0.00069025-0.00032797i,6.5285e-05-0.00028751i,-0.00036548+0.00052447i,6.0659e-05+0.0007869i,0.00032675+0.00056095i,0.0004122+0.00041277i
0.00016336-0.0015667i,0.00089436-0.0014296i,0.00082635-0.0013177i,0.00076564-0.00045023i,0.00010605+0.00050061i,-7.4569e-05+0.00098527i,-0.00044861+0.00016629i,-0.0012842-0.00017991i,-0.0017012-0.00010593i,-0.0013058-0.0002228i,-0.00054841-0.0001312i,-0.00045705+0.0001548i,-0.00049285-8.9138e-05i,4.0401e-05-0.00063798i,0.00028157-0.00020784i,0.00012902+0.00094283i,-4.3994e-05+0.0010213i,0.00015758+0.00028476i,-6.8534e-05-0.00011443i,6.8222e-05+0.00038565i,0.0002351+0.00024661i,-0.00015684-0.00029163i,-0.00064125-0.00013649i
3.6503e-05+0.0012407i,0.0004213+0.0025941i,0.00085195+0.0016154i,0.0010686-0.00035477i,0.00012293-0.00084617i,-0.0011496-0.0005223i,-0.00089327-0.00074518i,-0.00059824-0.0015174i,-0.0013344-0.0020011i,-0.00061817-0.0013902i,0.00035922-0.00062303i,0.00015111-0.00025248i,-0.00026545-0.00022118i,-0.00055908-0.0002935i,-0.00036143-0.00044789i,5.1271e-05+3.3107e-05i,1.9453e-05+0.00045918i,-0.00010509-0.00041445i,5.5347e-07-0.00072331i,0.00045779-0.00067283i,0.00068456+4.8399e-05i,0.00050814+0.0004749i,0.00072974+0.00017024i
-0.002683-0.0011456i,-0.0024798-0.0016294i,-0.0021257-0.0005005i,-0.0012724+0.00038194i,-0.0008497+0.0012796i,-0.00077033+0.0010937i,-0.0006075-0.0005161i,-0.0011185-0.0013229i,-0.002057-0.00091023i,-0.0010102+0.00013582i,0.00041191-0.00010582i,0.00037103-0.00061732i,0.00025315+0.00018675i,0.0003683+0.00011741i,0.00056316-0.00044047i,-6.0657e-05-0.00028375i,0.00030425-0.00039107i,0.00092402-0.00084352i,0.00064356-0.0010015i,0.00059205-0.00064212i,0.00033419-0.00055658i,-0.00023674-5.7709e-05i,6.7676e-06-0.00030835i
0.0018361+8.3511e-05i,0.00087252+0.00058258i,0.0010423+0.00038057i,0.0010792+0.00017361i,0.000804-0.00033128i,-6.0182e-05+3.0739e-05i,-0.00069001-0.0004318i,-0.0011752-0.0013312i,-0.0011526-0.0013405i,-0.00053441-0.0010787i,-0.00012701-0.0008522i,-6.2161e-05-0.00016925i,6.5813e-06+0.00027552i,0.00037512+0.00058156i,0.00068614+0.00084039i,0.00079667+0.00022575i,0.00076117+4.5752e-05i,0.0013447+0.00016234i,0.0015753+0.00019994i,0.0011463+0.00020185i,0.00063083-5.6815e-05i,0.00051711-0.00028361i,0.00018701-0.00012426i
0.00058341-0.00056862i,-0.00029921+0.00063083i,-0.00051307+0.00096525i,-0.00043171-0.0003317i,-0.00010115-0.0016855i,2.8704e-05-0.00081601i,-0.00060182-0.00028737i,-0.0010929-0.001304i,-0.0013098-0.00195i,-0.00082763-0.0010659i,-0.0010362-0.00028419i,-0.0016493+0.00019973i,-0.0012022+0.00085241i,-0.00016866+0.00081911i,4.784e-05+0.00017022i,-0.00076217-0.00057557i,-0.00046784-0.00056686i,0.00030159+3.5924e-05i,0.00024289-6.8622e-05i,-0.00023283-0.00061352i,-0.00070834-0.00049433i,-0.00022484-0.0001079i,7.1568e-05+0.00048616i
0.00092456-9.9917e-05i,0.00086353-0.00053675i,0.00063551-0.00056633i,-0.00025411-0.00041807i,-0.00072743+0.00030522i,5.0843e-05+0.0011i,8.2006e-05+0.00056787i,-0.00022794-0.00064591i,-0.00054178-0.00049314i,-0.00035283+0.0007874i,0.00035478+0.00020883i,0.00046426-0.0011132i,0.00026585-0.00097986i,0.00022087-0.00060197i,0.00044186-0.00015717i,0.00015202+7.4303e-05i,-0.0008946+0.00055583i,-0.0007175+0.00070063i,0.00011539-4.798e-05i,-8.4442e-05+7.6147e-05i,-0.00064537+0.00044856i,-0.00096044+0.00015185i,-0.0011658-0.00017471i
-0.00010796+0.00024641i,-0.0004008+0.00030589i,0.00067455+0.00089841i,0.0014661+0.0011342i,0.00042739+0.00058394i,-0.00026776+0.00027921i,0.00041574+1.0095e-05i,-0.0001953-7.4465e-05i,-0.0013596-0.00053437i,-0.00094878-0.00099651i,-1.0129e-05-0.00014322i,0.00040462+8.7354e-05i,0.00035993-0.00062145i,8.452e-05-0.00085378i,-0.00014716+0.00015969i,-0.00044499+0.00051986i,-0.0002837-2.2312e-05i,0.0004255-0.00012176i,0.00054924-0.0005218i,3.2242e-05-0.00089756i,-0.00014634-0.00060327i,0.00035627+0.00015158i,0.00065997+0.00075088i
-0.00059048-0.0023195i,-0.00015751-0.0015326i,-0.00060348-0.00023071i,-0.00088501+0.0011653i,-0.00039991+0.00088536i,0.00043222+0.00063403i,0.00021919+3.7803e-05i,-0.00059109-0.0010435i,-0.00065393-0.00103i,-0.00035159-0.00062907i,-0.00025545-0.0005318i,0.00046864-0.00017267i,0.00092834-5.8866e-05i,0.00044569-8.4387e-06i,5.5382e-05+0.00065464i,-0.00033051+0.00061098i,-2.4257e-05+0.00036814i,0.00036008+0.00059534i,0.00022228+0.0009294i,8.8042e-05+0.00031226i,-0.0008157+0.00016077i,-0.0010857+0.00032149i,-0.0004296+0.00061419i
