0.0014317+0.00055129i,0.0024428-0.00014106i,0.0021884-0.00016054i,0.0010647-0.00067667i,-0.00036541-0.00087236i,-0.0010745-0.0001684i,-0.0013768+0.00065675i,-0.0014998-0.0003748i,-0.00096628-0.00082706i,-0.00011248-0.00017731i,4.3762e-05-0.00056793i,-0.00020779-0.0012199i,-0.00094654-0.00090407i,-0.00037618-0.00036838i,0.00056706-0.000454i,-0.00016811-0.00044957i,-0.00029124-0.00044323i,0.00038551-0.00022197i,8.8508e-05-0.00029443i,-0.00015797-6.1434e-06i,-0.00031975+0.00075693i,-0.00072499+0.0005922i,-0.00054291+2.3856e-05i
-0.00069713-0.00088669i,-0.0007635-0.0013982i,-0.00093544-0.00015262i,-0.00098657+0.0015363i,-0.0010329+0.0018194i,-0.0005573+0.00049972i,0.00071199-0.0010648i,-3.6724e-05-0.0025628i,-0.0012138-0.003415i,-0.00050492-0.0030087i,0.0011983-0.0018156i,0.00065929-0.0007865i,-0.0006511+0.00024717i,3.9627e-05+0.00051797i,0.00043957+4.3579e-05i,-0.0002042-0.00017679i,-0.00074058-0.00033077i,-0.0010952-0.00047724i,-0.0011331+0.00015442i,-0.00096312+0.0002642i,-0.00086965+0.00012449i,-0.0010732+5.5385e-05i,-0.0011438-0.00011129i
0.00060779+0.0021454i,0.0001311+0.0011761i,0.00019694+0.00031773i,0.00047386+0.00027448i,0.00018959-0.00041996i,-0.00012969-0.00029805i,-0.00015058-0.00029506i,-0.00043165-0.0015139i,-0.0012626-0.0024876i,-0.00082213-0.0022817i,0.00064754-0.0012057i,0.0012225+2.8086e-05i,0.00026481+0.00021777i,-0.00079672+0.00026343i,9.6748e-05+0.0011642i,0.00086348+0.0016148i,-0.00053288+0.00030154i,-0.0011358-0.0007949i,-0.0010395-3.3037e-05i,-0.00071388+0.0006888i,-0.00026441-3.9069e-05i,-0.00018439-0.00082061i,-0.00056513-0.00079609i
-0.0019057-0.0018526i,-0.0016453-0.0018816i,0.00014544-0.00049119i,0.0010426+0.00051336i,0.00057041+0.00016768i,0.00014032-0.0003038i,-0.00084616-0.0016145i,-0.0014164-0.0032554i,-0.0015029-0.0026896i,-0.0015441-0.00083925i,-0.0008731+6.1132e-05i,-0.00027281-0.00028279i,4.8822e-05-0.0010903i,0.00058113-0.0014608i,0.00059221-0.00091365i,0.00028072-0.00024799i,5.224e-05+0.00045766i,-0.00035654+0.00028177i,-0.00045933+0.00028872i,-0.00019325+0.00088809i,0.00015327+0.00046783i,0.00029547-0.0001198i,0.00033878-0.00010658i
0.002493-0.0025287i,0.0025684-0.0011414i,0.0010681-0.0013867i,-0.00045266-0.0019375i,0.00030061-0.0012598i,0.00077607+4.1982e-05i,0.00042408-0.00091741i,0.00039371-0.00206i,-0.00018552-0.0015738i,-0.00078091+3.0067e-05i,0.00012537+0.00051074i,-9.975e-06-0.00041414i,-0.00062762-0.0013811i,0.00027184-0.0012829i,9.8407e-05-0.00035772i,-0.00058969+1.2814e-05i,0.00013926-0.0001817i,0.0011678+0.00011828i,0.00058611+0.00018057i,-0.00023523-0.00011899i,-0.00045984-0.00044033i,1.6476e-05-0.00093526i,0.00079721-0.00053637i
0.00039068-0.002197i,-0.0008145-0.0018275i,-0.0015832-0.0020629i,-0.0018557-0.00084005i,-0.0024057+0.0017184i,-0.00087327+0.0024109i,0.00087004+9.7195e-06i,0.00073434-0.0024482i,-0.00022612-0.0029836i,0.00033948-0.0026325i,0.0013888-0.0013786i,0.0013214-7.6549e-05i,0.00026479+4.9722e-05i,7.3062e-05-0.00015357i,0.00073324-0.00018033i,0.00082536+0.0003305i,2.6186e-05-0.00018805i,-0.0003981-0.0007465i,-0.00041376-0.00018687i,-0.0002847-0.0001918i,-0.00018112+0.00034592i,-0.00095554+0.00028574i,-0.00078829-0.00065845i
0.0013509-0.00012615i,0.0025306+0.001166i,0.0022255+0.001308i,0.00084526+0.00078759i,7.5779e-05+0.00032129i,-0.00032155-8.4292e-05i,0.00018646-0.00095302i,0.0012077-0.002324i,0.0011412-0.0033087i,3.1173e-05-0.0029188i,1.2057e-05-0.0019922i,-9.9683e-05-0.00094061i,-6.8716e-06-0.00012894i,0.00074121+0.00020642i,0.0003729+0.00051697i,2.0613e-05+0.0004587i,0.00038282+7.8434e-05i,0.00017213+0.00042591i,0.00024576+0.00085432i,-0.00024724+0.0007643i,-0.00065972+0.00042571i,-0.00059978+0.00063434i,3.3438e-05+0.00041013i
-0.00055454-0.00010674i,-0.00071525+0.00075997i,-0.00045715+0.00011319i,-0.00084391-0.00081563i,-0.00089884-0.00077334i,-0.00017013-0.00050987i,0.00012996-0.00087385i,0.00024138-0.0022855i,0.00035954-0.0035028i,-0.00026004-0.0028042i,-0.00015065-0.0016834i,0.00093044-0.0019544i,0.00062842-0.0014815i,-0.00012925+7.0276e-05i,-0.00045579+0.00039611i,-0.00080943-0.00011826i,-0.00053196-0.00032296i,-0.0010261-5.9346e-05i,-0.00082244+4.4705e-06i,0.00027446+6.6528e-05i,0.00026781-0.00030236i,0.00024312-0.00021281i,-0.00013006+0.00076188i
0.00040756-0.0015244i,0.0011097-0.0017659i,0.00028154-1.229e-06i,-0.00037423+0.00075411i,0.00011649+0.00048591i,0.00030314+0.00086379i,-0.00017576-0.00030609i,-0.00040856-0.002337i,-0.00072057-0.0024214i,-0.00075579-8.696e-05i,-0.00044057+0.0010121i,-4.0928e-05+0.00019491i,-0.00020557-2.7354e-05i,-0.00068343-0.00015521i,-0.00037129-0.00042193i,-6.7117e-05-0.00020706i,0.00013518+1.5331e-05i,0.0001688+0.00032916i,-0.00019852-0.00030054i,-0.00033946-0.0011328i,0.00043417-0.00085022i,0.00078767-0.00018968i,0.00093482+0.00077005i
-0.00021755+0.0014673i,-0.00081723+0.0024626i,-0.00087199+0.0020936i,-0.00037152+0.0012279i,0.00055707+0.00010279i,0.00088817-0.001253i,0.00070221-0.0013014i,-0.00041116-0.0012804i,-0.0012185-0.0014107i,-0.00039615-0.0002594i,0.0010792+0.00060011i,0.0010732+0.0003788i,0.00012938-3.6222e-05i,-0.00044815+0.00018613i,-0.00079556+0.0011016i,-0.0012373+0.0019216i,-0.0011025+0.0013i,-0.0010672+0.00037854i,-0.00055432-0.00054294i,0.00039549-0.0010263i,-0.00010491-0.00039i,-0.0010042+5.1375e-05i,-0.00097595-0.00030595i
-0.0017965+0.00056257i,-0.00093709-7.7906e-05i,-0.00021015-0.0002895i,0.0003457+0.00096295i,0.001208+0.0012546i,0.0010771+0.00073711i,0.00014256-0.00079641i,-0.00050114-0.0023878i,-0.00080306-0.0027136i,5.2336e-05-0.0019647i,0.0017675-0.00098628i,0.0014995-0.00049285i,0.00020294+0.00040859i,4.1743e-05+0.00084563i,-0.00017992+0.0010389i,-2.2824e-05+0.00086096i,0.00011815-9.4781e-05i,-0.0002998-0.00080094i,-0.00047166-0.00025222i,-0.0004023-0.00018503i,-0.00068786-0.00056877i,-0.00087801-0.00049925i,-0.00066916-0.00072436i
0.00019588+0.0013237i,0.0008641+0.00062855i,0.0016218+0.00028232i,0.0014422-0.00080915i,0.00039124-0.0016186i,-0.00090673-0.0018604i,-0.0009661-0.0024575i,-3.9574e-05-0.0036666i,-0.00032255-0.0040203i,-0.00050199-0.0026949i,-1.1792e-05-0.0014615i,0.0011173-0.00050328i,0.001558+0.00032628i,0.0011903+0.00097463i,0.0011418+0.00075834i,0.0011568+0.00021799i,0.0011055+0.00034153i,0.00063175-0.00030332i,-0.00014475-0.0005397i,-0.00021253-0.00020341i,3.2113e-05-0.00059419i,-0.00039979-0.00042432i,-0.00041321-0.00026664i
-0.0012607+0.0005979i,-0.0006956+0.0014174i,-0.00050313+0.0012019i,0.00015651+0.00068167i,0.000368+0.00032577i,-0.00011773-0.0002972i,-0.00036487-0.00091255i,-0.00048577-0.0015239i,-0.00092528-0.0014805i,-0.0013529-0.0004005i,-0.00021425+0.00027056i,0.00050351-0.00043944i,0.00029479-0.0014077i,0.00025589-0.00072433i,-0.00033505-0.00048963i,-0.00098941-0.00098853i,-0.00084032-0.0010868i,-0.00034824-0.0010161i,8.5068e-05-0.00053437i,-1.0556e-05-5.7073e-05i,-0.0003283+5.5223e-05i,-0.00055772-0.0003953i,-0.00027454-0.0006343i
-0.0024984+0.0021794i,-0.0019246+0.00028643i,-0.0010459+0.00096121i,-0.00014357+0.0015117i,0.0010964+0.00062i,0.0016285-0.00031819i,0.00062547-0.0010216i,-9.2498e-05-0.0019414i,-0.00045481-0.0017465i,-9.2674e-05-0.0002697i,2.456e-05+0.00063557i,-0.0005982-0.00017214i,-0.00061178-0.00084514i,-0.00061328-0.0010544i,-0.00089321-0.0010962i,-0.00083089-0.00095128i,-0.0010976-0.00022842i,-0.001503+0.00070699i,-0.0011185+0.00063205i,-0.00023024+0.0006027i,-4.0949e-05+0.00012292i,7.7875e-05-0.00026528i,0.00011219+0.00041629i
-9.3862e-05+0.00073459i,0.0003114+0.0011533i,0.00080239+0.0011474i,0.0010515+0.00050225i,0.0010209-0.00026974i,0.00036014-0.00077244i,-8.8908e-05-0.002022i,9.0203e-05-0.0033321i,3.1696e-05-0.0033654i,0.00053885-0.0021918i,0.0010546-0.00082439i,0.0012202+0.0002097i,0.0011183+0.0012115i,0.0005986+0.0010508i,0.00029631+0.00067814i,0.00046741+0.00057216i,0.00074125+0.00056983i,0.00081484+0.00081955i,0.0010278+0.00077312i,0.0010337+0.00041423i,0.00030832-0.00051522i,-0.00044723-0.0002517i,-9.6218e-05+0.00031833i
-0.0018052-0.0011479i,-0.0027583-0.0008749i,-0.0038481-3.4707e-05i,-0.0025054+0.00035594i,-0.00041303-0.00017268i,0.00039782-0.00055087i,-0.00042518-0.0016392i,-0.00076393-0.0029982i,-0.00021442-0.0028965i,0.00072655-0.0012965i,0.00097218-0.0004716i,0.00074578-0.00070077i,0.0004915-0.00014386i,-0.00014165-0.00028581i,-0.00097611-0.00076188i,-0.00078724-0.00042008i,-7.6517e-06+0.0002724i,-0.00035008+0.00067557i,-0.0011895+7.8315e-05i,-0.001119+7.321e-05i,-0.00032035+0.00020584i,0.00075368+0.00021214i,-2.0632e-05+0.00011906i
-0.0009105-0.0019372i,0.00019348-0.001619i,0.00060466-6.8896e-05i,0.00070944+0.001666i,0.00055783+0.0017773i,0.0015459+0.00078506i,0.0017998-0.00078207i,0.0013238-0.0022939i,0.00025111-0.002679i,-0.0014037-0.0017524i,-0.00089273-0.0008406i,-1.5741e-06-0.00052558i,0.00012485-0.00029021i,0.00051148-0.00087553i,0.0010678-0.0010401i,0.0012942+5.054e-05i,0.00042373+0.00066304i,0.0001609+0.00045901i,0.00058174+0.00025714i,0.00017552+0.00029005i,-0.00029912+0.00019068i,0.00024618+0.00036668i,-0.00043174+0.0010881i
-0.0017447-0.0012818i,-0.00061887+2.2954e-05i,-0.00095771+0.0016119i,-0.0011131+0.0022721i,0.00034972+0.0017481i,0.000752+0.00030207i,0.00017102-0.0017193i,-0.00027968-0.0037058i,-0.00030119-0.0035046i,-9.0414e-05-0.0010503i,0.00016855-9.3285e-05i,9.1201e-05-0.00086596i,-0.00023062-0.00096912i,0.00053161-0.00057445i,0.00093834-6.0754e-05i,0.00016201+0.00057712i,0.00011648+0.00088122i,-4.9905e-05+0.00087998i,-0.00042719+0.00069866i,-5.4662e-05+5.9302e-05i,0.00065694-0.00036687i,0.00081273-3.4969e-05i,0.00040678+0.00015132i
-0.00089971-4.062e-05i,-0.0022223+0.00014329i,-0.0025563+0.00071137i,-0.001326+0.0010861i,0.00029392+0.0013667i,0.0013004+0.00029038i,-5.3618e-05-0.0016605i,-0.00062307-0.0033871i,-0.00067226-0.0030322i,-0.00042469-0.00099872i,0.00015404+7.4852e-06i,-0.00032965-0.00023629i,-0.0010004-0.00043994i,-0.0013305-0.00027274i,-0.00093169+0.0002406i,0.00013433+0.00031196i,0.0013607+0.00032903i,0.0009564+0.00023403i,-0.00040868+4.3043e-05i,-0.00063691+0.00034345i,-0.0004586+0.00042454i,-0.00084146-0.00028318i,-0.00042567-0.00043271i
5.0105e-05+1.7201e-05i,0.00063566-0.00019195i,0.0015285-0.0010074i,0.00057769-0.0014179i,-7.9575e-05-0.0010745i,0.00042904-0.00090774i,0.0010888-0.0012674i,-0.00015124-0.0032018i,-0.0012752-0.0043464i,-0.00026962-0.003128i,0.0015669-0.0015901i,0.0018004-0.00011607i,0.00082319+0.001043i,0.00046759+0.0010266i,0.00093096+0.00069988i,0.00066805+0.0011649i,0.00039616+0.0014092i,0.0003347+0.00073895i,-0.00015446-4.4551e-05i,-0.00062912-0.00032598i,-0.00015915-0.00053603i,0.00034978-0.0014075i,0.00030353-0.0013645i
-0.001053+0.00059191i,-0.0005717+0.0014566i,-0.00096117+0.0019725i,-0.00066323+0.0009636i,-0.00013998-0.0004185i,-0.00050222-0.0015461i,0.00019793-0.0021489i,0.00027423-0.0030953i,-0.0011758-0.0031371i,-0.0015554-0.001359i,-0.0001925+0.00053632i,0.00041652+0.00086371i,-0.00037481+0.00095038i,-0.0013796+0.001522i,-0.0012065+0.0015856i,-0.00020575+0.00092246i,0.00022246+2.5836e-05i,-0.00013322-0.00031931i,-0.0003037-6.0779e-05i,-0.00040969+0.00024622i,-0.00054952-4.6934e-05i,-0.00044149-0.00014862i,-0.00064837+0.00063513i
0.00038756-0.00022623i,0.0010629-0.0012323i,0.0012514-0.0018548i,0.00055158-0.0010066i,-0.00017332-9.8906e-05i,-0.00087681-0.00025012i,-0.0014352-0.0016681i,-0.0017009-0.0032466i,-0.0017659-0.0028031i,-0.0017246-0.0011118i,-0.00074083-0.00064753i,0.00075481-0.0014605i,0.00078695-0.001576i,0.00015211-0.0010277i,-0.00027391-0.00094048i,-0.00104-0.00077509i,-0.00070471-0.00066359i,6.59e-06+9.9042e-06i,-0.00088463+8.0869e-05i,-0.00093939-0.00028598i,0.00010721+0.00023451i,0.000671+0.00071395i,-7.0279e-05+0.00054187i
0.001189+0.00077729i,0.00010163+0.0021014i,-0.00067608+0.0023611i,-0.00056467+0.00080371i,-0.00064438-9.5018e-05i,-0.0010499+0.00029217i,-0.0010752+0.00028684i,-0.00053947-0.00060349i,0.0012972-0.0011664i,0.0030967-0.00050057i,0.002828+0.0002431i,0.0012817+0.00022792i,0.0002493+0.00052919i,0.00015433+0.0011405i,0.00053345+0.00082041i,0.0012376+0.00048287i,0.0011201+0.00098671i,-0.00036856+0.00087997i,-0.00077505+0.00021436i,0.00023219-6.3101e-05i,0.00026137-0.0001486i,0.00019563-0.00014956i,0.0010585+0.00012903i
0.00090618-0.0011551i,0.00077406-0.001965i,0.00046364-0.0020148i,0.00053372-0.00088895i,0.00028149-0.00043334i,0.00024398-0.0001327i,0.00070952-0.00012728i,0.00094394-0.0015195i,0.00083723-0.0032622i,0.00158-0.0023194i,0.0018825-0.00024426i,-0.00036755-0.00018282i,-0.0022318-0.0008631i,-0.0015571-0.0012711i,-0.00042295-0.0011657i,-0.00011168-0.00031271i,-0.00039155+8.3977e-05i,-0.00039859-0.00066276i,-0.00036726-0.00087106i,-0.00031696-0.0004394i,-0.00031669-0.00040616i,-0.000837+0.00012715i,-0.0012193+0.00020471i
0.0016148+0.00051803i,0.001101+0.0010851i,-0.00062209+0.00062788i,-0.0014164-9.1169e-06i,-0.0021604+7.9098e-05i,-0.0014448+0.00015284i,0.00078937-0.0017536i,0.00091771-0.0041267i,-0.00075741-0.0049372i,-0.0015006-0.0041339i,-0.00069626-0.0033526i,0.00046688-0.0032672i,0.0004185-0.0016829i,-0.00045227-0.00014448i,-0.00037273-6.4849e-05i,-0.00034922-0.001279i,-0.00017937-0.0011583i,0.00048168-8.0089e-05i,0.00045451-0.00039131i,-0.00049967-0.00042906i,-0.0012794+0.00049558i,-0.0018023+0.0006488i,-0.0017665-0.00020272i
-0.00086169-0.0013868i,-0.001252-0.00068981i,-0.0015016-0.00075391i,-0.001025+1.4577e-05i,-0.0013635+0.00032436i,-0.00095116+0.00042382i,-0.00040964-0.00094222i,-0.00078558-0.0028792i,-0.0020368-0.0034417i,-0.0031369-0.0020434i,-0.0024276+2.074e-05i,-0.00098948+0.00079214i,-0.00097148+0.0015111i,-0.0010181+0.0018001i,-0.00045418+0.0011i,-0.00034668+0.00075002i,-0.00023561+0.00072458i,-0.00053299+0.00072008i,0.000208+0.0010144i,0.00077719+0.00067409i,0.00010777+0.00043876i,-0.00060773+0.00059701i,-0.00041076+0.00035641i
0.0021307+8.9268e-05i,0.0014873+2.6804e-05i,0.00083047-0.00034439i,0.00056508-0.00086848i,0.00099185-0.0013256i,5.0305e-05-0.0010727i,-0.00033044-0.0010745i,0.00045152-0.0018912i,-0.0010628-0.00040016i,-0.0019563+0.0016022i,-0.0011994+0.0022294i,-0.00095427+0.00052766i,-0.00073123-0.0010643i,-0.00018461-0.00044731i,-0.00014183+0.00028304i,-0.00040395+0.00016976i,-0.00084602+0.00060877i,-0.00062765+0.00048012i,0.00053721+0.00071465i,0.0013006+0.00085152i,0.00079306-2.1013e-05i,6.2577e-05+3.2005e-05i,5.2185e-05+0.00069855i
-0.00072648+0.0014887i,-0.00097033+0.0012998i,-0.00025127+0.0012122i,-0.00012403+0.0012623i,-0.0005183+0.00046075i,-0.0013194-0.0013624i,-0.0013106-0.0018372i,0.00011481-0.0013162i,0.0014354-0.0018124i,0.0025715-0.0018616i,0.0038163-0.00079942i,0.0042979-0.00062803i,0.0034305-0.00023021i,0.0015205+0.00052391i,0.00011521+0.00083608i,-0.00020747+0.00071158i,7.4631e-05+0.00074173i,0.00039134+0.00065333i,0.00020633+0.00043538i,-2.0832e-05-0.00017815i,0.0002657-0.00057028i,0.00067998-0.00060508i,0.0011996-0.0010607i
0.0015246-0.00031385i,0.0010995-0.00010254i,0.00087999-0.00092469i,0.0011582-0.0017522i,0.0016747-0.0014678i,0.00065658-0.00056593i,0.00035575-0.0011289i,0.0012876-0.0021421i,0.0013141-0.002884i,0.0022656-0.0039132i,0.002676-0.0031235i,0.0013367-0.0009022i,-0.00033768+5.3793e-05i,-0.0013688+0.00011034i,-0.0013255+0.00051835i,0.00018461+0.0011614i,0.00088256+0.0014589i,-0.00023453+0.0013062i,-0.00064677+0.00022985i,7.128e-05-0.00033252i,0.00033172-0.00052403i,0.0004303-0.00052907i,0.00011461+0.00060764i
0.0022967+0.001659i,0.0015391+0.0024218i,0.001666+0.002281i,0.0012954+0.0015472i,0.00033638+0.00099087i,0.0008412+0.0010286i,0.0017745+0.00038268i,0.00074179-0.0022394i,-0.0016702-0.0045222i,-0.002931-0.0045606i,-0.0027867-0.0038883i,-0.0019674-0.0036556i,-0.001324-0.0020532i,-0.00067683+0.00015308i,0.00049406+0.00064022i,0.0010652-9.8972e-05i,-0.00018406-0.0010992i,-0.00093329-0.0010468i,-0.00096355-0.00011717i,-0.0007447-0.00016861i,0.00055922-0.00021294i,0.00096773-0.00056362i,-0.00026133-0.00046353i
-0.00030827+0.00067165i,-0.0030092-0.00097737i,-0.002996-0.0024333i,-0.0015273-0.0033243i,-0.00045891-0.0028861i,-0.00014834-0.0014027i,-0.00049606-0.0016398i,-0.0016506-0.0026972i,-0.0023001-0.0023586i,-0.0020401-0.00034411i,-0.00092728+0.0021887i,0.00026616+0.0021928i,0.00098564+0.0013694i,0.0014645+0.0018929i,0.0015443+0.0012479i,0.001904-0.00027943i,0.0010835-0.00037025i,-0.00042062-1.3675e-05i,-0.00059692+0.00013699i,0.00061954+0.00048381i,0.0016573+0.00033423i,0.00099781+0.00026558i,-6.678e-05+0.00067322i
0.0022505+0.0004296i,0.0020076-0.00042864i,0.0023659-0.00085497i,0.0012991-0.00043458i,-0.00049571-0.00051338i,-0.0011755-0.0016695i,-0.0011763-0.0023938i,-0.00045436-0.001947i,-0.00020362+6.3541e-05i,-0.00031982+0.0032705i,-0.00012941+0.0046096i,-0.00061426+0.0026047i,-0.0018135+0.0004871i,-0.0014525-0.00058666i,-0.000749-0.00060164i,-0.0005654+0.00015061i,8.942e-05+0.00062923i,-0.00029376+0.00074241i,-0.0011989+0.00021036i,-0.0010481-2.7098e-05i,-0.00065383+0.00011629i,-0.001011+7.2799e-05i,-0.0021211+0.00075837i
-0.0013215+0.0011587i,-0.0021915+0.0017319i,-0.0024437+0.0020521i,-0.0014306+0.0020696i,-0.00037068+0.0012891i,0.00013388+0.00053211i,-0.00015972-0.00072913i,-0.00018383-0.0017812i,0.0012411-0.0023966i,0.0024597-0.0025609i,0.0025419-0.0021608i,0.0021187-0.0021091i,0.0015954-0.0024393i,0.00053024-0.0013976i,-0.00041721+0.00020249i,-0.00088+0.00034408i,-0.00094308+0.00044516i,-0.00045591+0.00044706i,1.7373e-05+9.4839e-05i,-0.0002626+0.00034279i,-0.0013511+0.00053027i,-0.0017613+0.00057101i,-0.0018238+0.00053226i
-0.00095486-0.0015688i,-0.00038104-0.002221i,0.00032203-0.0022531i,0.00071421-0.00018883i,0.00055513+0.000791i,0.0011015+0.00029606i,0.0012456-0.0011565i,0.00087954-0.0030665i,0.00089557-0.0041556i,0.00052115-0.0028797i,0.00076534-0.0010072i,0.00095535-0.00046923i,0.0003612-0.00043935i,-0.00030562+0.00046699i,-0.00049413+0.0015821i,4.3436e-05+0.0007938i,0.00017846-0.00049265i,0.00050023-0.00047972i,0.00094288+0.00041083i,0.00066376+0.0011147i,3.6797e-05+0.00071281i,-0.00050958+0.00014878i,4.9019e-05+0.00017975i
-0.0011996+0.00035127i,0.00014385+0.001324i,0.00020455+0.0013596i,0.00050912+0.00081289i,0.00088777+0.0010891i,0.0019312+0.00087342i,0.0025895-0.0013905i,0.0015078-0.0038864i,-0.00059952-0.0041604i,-0.003489-0.0021311i,-0.0037056+6.2522e-05i,-0.0023197+0.0006286i,-0.0014616+8.6308e-05i,0.0001783+2.6573e-05i,0.0012464-0.00031006i,0.0013198-0.00091179i,0.00079327-0.00077403i,4.2332e-06-0.0010079i,-0.00022816-0.0016062i,0.0003672-0.0014623i,0.00080406-0.00057778i,0.00034858+2.6751e-05i,-0.0004321-0.000763i
-0.00052609-0.0014639i,-0.0017471-0.00049932i,-0.0024844+0.00098511i,-0.0015464+0.0019609i,-0.0010836+0.0012221i,-4.8918e-05+0.00054344i,0.0012573-0.0018017i,0.00052595-0.0042826i,-0.0011007-0.0041283i,-0.0010969-0.001546i,0.0011738+0.00021352i,0.0027311-5.6422e-07i,0.0012745-0.00019213i,0.00045742-0.00022403i,0.0014815-0.0003799i,0.0015707-0.00048621i,0.00018735-0.00012609i,-0.00072368+0.00059025i,-0.0007495+0.00011149i,0.00023118-0.0004858i,0.00085676-0.00066504i,0.00076088-0.00082552i,0.0011262-0.00030051i
-0.0019141-0.00097447i,-0.0013748-0.0017979i,-0.0015576-0.001237i,-0.0011432-0.00067433i,1.4985e-05-0.00025711i,0.00059076-0.0012559i,7.123e-05-0.0033969i,-0.00051321-0.0034573i,0.00019508-0.001347i,0.002052+0.00050655i,0.0031153+0.00081106i,0.0020956+0.00016423i,-0.00046855-0.00031408i,-0.0025256-0.0004353i,-0.0021848-0.00063985i,-0.001182-0.00053456i,0.00013656-0.00025772i,0.00052578+0.00025672i,-0.00013692+0.00037584i,-0.00036333-4.0839e-05i,-0.00012492-0.00086949i,0.00057443-0.0013787i,0.00040976-0.00038715i
-0.0012183-0.00015643i,-0.00033779+0.0009826i,-0.00061671+0.0018214i,-0.0004657+0.0011266i,-0.00012802+2.4406e-05i,-0.0001917-0.0003443i,-0.00015843-0.00088396i,-0.0002387-0.0014673i,-0.0008052-0.002461i,-0.0015514-0.0023563i,-0.0018077-0.0020706i,-0.0015753-0.0022185i,-0.00019124-0.0016979i,0.00036856-0.00041731i,-0.00085571+0.0012151i,-0.00084172+0.002056i,-0.00027223+0.0014008i,-0.00050885+0.00042399i,-0.00079207+0.00022908i,-0.0010423+0.00085142i,-0.00073398+0.0014273i,-0.00033574+0.0018163i,-0.00033309+0.0015436i
0.00057893-0.00018472i,0.00062712+0.00091719i,0.0017204+0.0013041i,0.0017404+0.0013769i,0.00042119+0.0012391i,-0.00044802+0.0012452i,0.00056365+0.0010174i,0.0020667-0.0014128i,0.0016268-0.00353i,-0.00016701-0.0017288i,0.00057764+0.00018833i,0.0019896+0.001111i,0.0011287+0.0021891i,0.00029593+0.0025727i,0.00058813+0.0020328i,0.0012772+0.0015383i,0.0015412+0.001524i,0.0010158+0.0011484i,0.00014862+0.00084134i,0.0003725+0.0013051i,0.0012904+0.0014597i,0.00076144+0.0019499i,0.00040624+0.0019854i
-0.0021201-0.0024545i,-0.0011603-0.0032225i,-0.0021411-0.002263i,-0.0024872-0.00027548i,-0.00031655+0.00094746i,0.0016734+0.0013069i,0.0021229-0.00069188i,0.0013378-0.003501i,-0.0012707-0.0032858i,-0.0028212+0.00072164i,-0.001821+0.0034834i,-0.00064603+0.0018806i,-0.00035582-0.0011041i,0.0004973-0.0032788i,0.00072622-0.003054i,-0.00019876-0.0015972i,-0.00038204-0.00028545i,-0.00017084+0.0006076i,-0.00052786+0.00040213i,-0.00017909+2.5319e-05i,0.00022179+0.00069712i,0.00057619+0.0013388i,0.00036194+0.00077602i
0.00053651+0.00052014i,0.0014005+0.0010548i,-7.2537e-05+0.0019097i,-0.00080128+0.0022009i,0.00014443+0.002138i,0.00028087+0.00090757i,0.00016203-0.0018641i,-0.00040536-0.0041667i,-0.00066092-0.0050952i,-0.0002928-0.003666i,0.00047953-0.0019182i,0.0005997-0.0025671i,1.323e-05-0.0024465i,0.00010383-0.0005791i,0.00031767+0.00055284i,-1.9751e-05+0.00048212i,-0.00094274+0.00016838i,-0.0011662+0.00014504i,-3.3706e-05+0.0001577i,0.0003067-0.00024526i,-0.00074438-0.00093878i,-0.0012383-0.0015593i,-0.00070413-0.001754i
-0.0022354+0.0009022i,-0.0036752+0.00030464i,-0.0031464+0.0010015i,-0.0009608+0.00073711i,0.00095714-7.0949e-05i,0.0019632-0.0016018i,0.00114-0.0030319i,0.00094619-0.0027481i,0.00097529-0.0023749i,0.00089062-0.0030793i,0.00069962-0.002073i,0.0004922-0.0001633i,-0.00036348+0.0017804i,-0.0018125+0.0029781i,-0.0019128+0.0028205i,-0.0013723+0.001891i,-0.00044025+0.00090519i,0.00055933+0.00027082i,-0.0002904-1.0901e-05i,-0.0012479-0.00046478i,-0.0013727-0.001348i,-0.0016323-0.0012148i,-0.00072406-0.00060747i
-0.00024066-0.0069166i,0.0024204-0.0050389i,-0.00027034-0.003087i,-0.003526+0.00039255i,-0.0046346+0.0023384i,-0.0018975+0.0029399i,0.0013977-0.00044562i,0.00046546-0.0040328i,-0.0025826-0.0053538i,-0.0042987-0.0034155i,-0.0035514-0.00026681i,-0.001373+0.00076135i,0.00033481-0.00054383i,0.0015519-0.0017848i,0.0021922-0.0015957i,0.0012168-0.0010177i,-0.00015056-0.00077235i,-0.0012908-4.5592e-05i,-0.0010315+0.00030483i,-0.00025596+0.00010294i,-0.00019135-0.00023324i,-0.00049734-0.00010202i,-4.7061e-05+0.00022707i
5.9088e-05+0.00026739i,-0.00011347+0.0033812i,-0.0017021+0.0034572i,-0.0022572+0.0022434i,-0.0015397+0.0019226i,7.9739e-06+0.0022274i,0.0017218+0.00085739i,0.002795-0.0019355i,0.0027265-0.002985i,0.0016469-0.00094338i,0.0011949+0.00028857i,0.0025196-0.0010362i,0.0036275-0.001741i,0.0035849-8.6674e-05i,0.0023184+0.00074689i,0.00091922+0.0001142i,0.00013678+6.1087e-05i,-5.4835e-05-0.00074155i,-6.6086e-05-0.0013553i,0.00015469-0.00068529i,0.00076695-0.00049399i,0.0020536-0.00055241i,0.0020688-0.00049609i
