0.00057662-0.00011521i,0.00040074+9.713e-05i,0.00048349-9.7413e-05i,0.00020086-0.0014716i,-0.0012417-0.0012563i,-0.0026978-4.1704e-05i,-0.0013479+0.00023881i,9.3507e-05+0.00063685i,0.00054341+0.00022636i,0.0014162-0.00085871i,0.0013652-0.0011004i,0.0007492-0.00087759i,0.00060434-0.00045052i,-1.3418e-05-0.00025164i,-0.00021922-0.00044877i,-5.569e-05-0.00052817i,-0.0003324-0.00042153i,0.0001346+0.00025786i,0.00012081+0.00034386i,-0.00061793+0.00021616i,-0.00036777+0.00016384i,-9.5449e-05+0.00013343i,0.0004164+7.6514e-05i
0.0011078-0.00089072i,0.0012459-0.00076881i,0.00088623+0.0011538i,-0.00015342+0.00090296i,-7.35e-05-0.00050553i,0.00045023-0.00015288i,0.00091331+0.00018789i,0.0011432+0.00083045i,0.0012308+0.00090828i,0.00076613+5.2954e-05i,0.00014137-0.00018222i,-0.00015975-0.00028191i,-0.00051088-0.00038721i,-0.00015274-0.00016745i,0.00020818-0.00059897i,0.00017578-0.00097726i,-0.00039832+0.00032806i,-0.00085733+0.0013159i,-0.00054852+0.00067344i,-0.00025943-0.00023054i,-0.00058363-0.00027494i,-0.00062862+0.00017482i,2.1574e-05+0.0003933i
-0.0011461+0.0003441i,-0.00053085-0.00015991i,0.00012401-0.0010167i,0.00031202-0.0007229i,0.001029-0.00054314i,0.00086894+5.4836e-05i,0.00041443+0.00044073i,0.00082971+0.00018528i,0.0012057-0.00054262i,0.001026-0.0007635i,0.0006535-0.00068833i,0.00093243-0.00026832i,0.00095113-0.00018421i,0.00028733-0.00032951i,-3.877e-05-0.00083885i,0.00050754-0.00031145i,-0.00025358+0.00031575i,-0.00094948+0.00029218i,-0.00035378+0.00020408i,2.3926e-05+0.00035082i,0.00028162+8.1243e-05i,0.00026884-0.00031551i,-0.00010084-0.00020316i
0.00068836+0.00062556i,0.00037352+0.00036365i,0.00031085+0.00033212i,0.00072375+4.5815e-05i,0.00050095-0.00042551i,0.00066787-2.0823e-05i,0.00083732+0.00054273i,0.00084481+0.00053888i,0.00072217+0.00068071i,0.00028915-0.00010798i,0.00030609-0.00064216i,0.0004926-0.00067276i,0.00015565-0.00071643i,-0.00062348-0.0009741i,-0.00037593-0.00061051i,3.1582e-05+0.00038052i,-9.726e-05+0.00017613i,-0.00067746+8.3176e-05i,-0.00035109-0.00026453i,-5.2176e-05-0.00053941i,0.00015578+0.00023856i,0.00014675+0.00059086i,0.00022317+0.00067063i
-0.0007076-0.00067219i,-0.0009354-9.0038e-05i,-0.00063447+5.5997e-05i,9.5804e-05+0.0001797i,-0.00056052+0.00074287i,-0.00070754+0.00043802i,0.0003434-1.5075e-05i,0.00046567-0.00071992i,0.00011085-0.0012117i,0.00011985-0.0005783i,0.00043274-0.00060767i,0.00055534-0.0011132i,0.00050282-0.00066904i,-2.5874e-06+3.234e-06i,-0.00050789+6.5568e-05i,-0.0001855+4.2748e-05i,0.00018865-0.0002192i,0.00035485-0.00011015i,1.3409e-05+0.0006951i,-0.00029095+0.00076103i,0.00022081+0.00046407i,0.0006908+0.00031465i,0.00025869+0.0004917i
0.0007453-0.00074518i,-0.00024615+0.0003082i,-0.00050499-0.00057217i,-0.00069224-0.001335i,-0.0008376-0.0006758i,-0.00073749-0.00015808i,-0.00035441-2.0177e-05i,0.00012438-2.5018e-05i,0.00018269-0.00060306i,0.00040596-0.0011589i,0.00076011-0.00084556i,0.0003859-0.0006995i,-3.3636e-05-0.00036114i,6.248e-05-0.00023051i,8.3157e-05-0.00068014i,0.0007869-0.00049109i,2.4126e-05+0.00029709i,-0.001366+0.00048884i,-0.0014195+0.0002163i,-0.00076886+0.00036939i,0.0002356+0.00052266i,0.00083737+0.00013913i,0.0007077-0.00037516i
-0.00023871+0.00035056i,0.0005325+2.6804e-05i,0.00038772-0.00036117i,-0.00015435-0.0010434i,-0.00069708-0.00082928i,-0.00067428+0.00011819i,-0.00034801+0.00019177i,-0.00030295-0.00083616i,9.082e-05-0.0011559i,0.00032134-0.00094879i,0.00030335-0.00087087i,8.3608e-06-0.00049324i,0.00037917+1.3938e-05i,8.1029e-05+0.00010463i,-0.00017452-0.00010207i,-0.00021561+0.00010466i,-0.00087283+3.159e-05i,-0.00068267-0.00041013i,0.00043951-0.00027348i,0.00048934-0.00078909i,4.0901e-05-0.00076669i,-0.00052404-7.7448e-05i,-0.00056945+0.00032275i
0.0007778-8.612e-05i,0.0010507-0.00068337i,0.00081248-0.0012016i,0.0011634-0.0015777i,0.0015347-0.00049442i,0.00083258+0.0002939i,0.0011383+0.00051255i,0.0017452+0.00062131i,0.0011633+0.00020529i,0.00039388-0.00013669i,0.00019193-0.00034518i,0.00060055-0.00055548i,0.00053675-0.00027762i,4.3659e-05+0.00018158i,-9.0195e-05+6.5073e-05i,2.7573e-05-3.6374e-05i,-0.00057342+0.0002619i,-0.0011494+0.000158i,-0.00019944-0.00023699i,0.00050075-0.00016828i,-0.00028793-5.7295e-05i,-0.0012692+9.8614e-05i,-0.0012839+0.00022168i
0.00097429+0.00045658i,0.001206+0.00087357i,0.0015278+0.00030052i,0.00087939-0.0004442i,-0.0002609-0.00019413i,-0.00065311-0.00012216i,-0.00084843-0.0010763i,-0.00068158-0.0011287i,-9.2174e-05-0.00051832i,0.00097374-0.00036944i,0.0017829-0.00027241i,0.00083257-0.00042461i,0.00016829-0.00065201i,0.00022726-0.00054831i,0.00034582-0.00066066i,0.00019461-0.0003659i,-0.00024436+0.0001631i,-0.00060025+7.9856e-06i,-0.00083972-0.00016906i,-0.00092442+0.00022989i,-0.000648+0.00024466i,-0.00021275+0.00019495i,0.00016142+0.00062835i
0.00070889-0.0031203i,-0.00056555-0.0027556i,-0.0010357-0.0020576i,-0.0016612-0.0015837i,-0.0015114-0.00092108i,-0.00078218+3.9223e-05i,-0.00018283+0.00067956i,0.00078186-0.0005603i,0.0010814-0.0014211i,0.0011333-0.00099276i,0.00042074-0.000772i,-0.00044975-0.00048864i,0.00017739+0.00033015i,0.00070968+0.00068627i,0.00044272+3.8794e-05i,-3.339e-05-0.00040732i,-2.9151e-05+0.00028809i,-0.00017978+0.00093812i,-0.00018774+0.00080431i,2.9273e-05+0.00090082i,6.4523e-05+0.0008689i,0.00079696+0.00011749i,0.0016317-0.00037454i
0.00016196+0.00044607i,0.001266-0.00034535i,0.00073581-0.00020024i,-3.082e-05-0.00017933i,0.00072729-0.00048536i,0.00050041-0.00018741i,0.00033601-0.00016474i,0.0014516-0.00086674i,0.0014371+2.0324e-05i,0.00054998+0.0011375i,0.00035974+0.00031064i,0.00027198-0.00055438i,9.2878e-05-0.00098854i,-8.44e-05-0.0009528i,-0.00053435-0.00028095i,-0.00085499+0.0003639i,-0.0008639+0.00079222i,-0.00074992+0.00094379i,-0.00035728+0.00019511i,5.6364e-05-0.00041674i,-0.00015461-6.1537e-06i,-0.00042568-0.00023522i,0.00039072-0.00043976i
9.2112e-06-0.0018423i,-0.00057624-0.00078088i,-0.00015835+0.00047538i,0.00021753+0.00067208i,0.00032255-8.5557e-05i,0.00078671-0.00025214i,0.00091037-0.00025244i,0.00088868-0.00025697i,0.0012851-0.00030728i,0.0016952-0.0004278i,0.0012522-0.001003i,0.00053679-0.00091383i,0.00043925-0.0007368i,0.00057291-0.00060616i,0.00028629-0.00029789i,0.00026595-0.00046244i,0.00065342+3.2719e-05i,0.00026088+0.00024002i,-3.3179e-05-0.00028067i,-3.4567e-05-0.00015708i,-0.00029936-0.00066913i,-0.00080591-0.00053564i,-0.00098019-0.00025378i
-2.6227e-05-0.00032916i,-3.3577e-05-0.00022603i,-0.00022226-9.2712e-05i,-0.00050113+0.00042752i,-0.00069016+0.0010237i,-0.00048412+0.0012298i,-0.00042245+0.00070806i,-0.00053293-0.00037909i,-0.00019552-0.0005376i,0.00051404-2.4666e-05i,0.0014443-0.00024072i,0.0010043-0.00021398i,-0.00043113-0.00041959i,-0.00043891-0.0010162i,0.0002415-0.0010402i,-0.00015689-0.00078333i,-0.00048884-0.00043921i,-0.00069433+0.00019105i,-0.00046959+0.0004289i,-4.3781e-05+0.00034151i,9.5595e-05+0.00025148i,0.00011894+0.00013547i,-0.0004763-7.9233e-05i
-0.0015577+0.00085003i,-0.00054265+0.0020759i,0.0001891+0.0020455i,-0.00040413+0.001169i,-0.0007355+0.00072221i,0.00063745+2.6305e-05i,0.0011147-0.00075461i,0.00010625-0.00084769i,0.00015761-0.00069684i,0.0006337-0.00046193i,0.00026158-0.0007294i,0.00024774-0.0015813i,0.00063088-0.001772i,0.00064604-0.0015089i,0.00024681-0.00078121i,-0.00010684-0.00080969i,-0.00066268-0.00054773i,-0.00053688+0.0002092i,0.0005804+0.00020582i,0.00045377-0.00020486i,0.00022882-0.0003487i,0.00085566-0.00049987i,0.0014359-0.00042362i
-0.0012766+0.0011298i,0.00066513+0.00077479i,0.0017835+0.00067801i,0.0011831+0.00031903i,0.00075045+0.00057279i,7.254e-05-0.00032993i,-0.00051922-0.0014707i,0.00020301-0.00065662i,0.0008693+0.00059189i,0.0011207+0.00067317i,6.966e-05+0.00035535i,-0.00094359+0.00039191i,-0.00044692+0.00033057i,-0.00030907+0.00055141i,-0.00071317+0.00072039i,-0.00094871+0.00057924i,-0.00054354+0.00010492i,0.00033098-0.00036499i,0.00087288-0.00025393i,7.8407e-05+0.00060151i,-0.00025432+0.0010912i,0.00025046+0.00077826i,0.00033537-0.00025791i
-0.00015485-0.00044768i,-0.00030231-0.00030354i,-0.00044092-0.00025798i,-6.8334e-06-0.00023536i,7.3235e-05-0.00043449i,-0.0004878-0.00030188i,-0.00045012-0.00010452i,0.00028782+0.00037529i,0.00092401+0.00047777i,0.00020088-0.00069432i,-0.00057452-0.0011365i,-3.2204e-05-0.00016348i,0.00030156+0.00080851i,0.00043164+0.0004346i,0.00084668-0.0003727i,0.00087993+0.00014097i,0.00018937-7.6822e-06i,-0.0008236-0.00043118i,-0.00050177-0.00062061i,0.0002361-0.00048903i,0.0001896+0.00035556i,-9.3421e-05+0.0010005i,0.0002121+0.00088213i
-9.6752e-05-0.00084377i,-0.00033982-0.0011045i,-0.00086607-0.00074735i,-0.0010276-4.6255e-05i,-4.6275e-05+0.0010655i,0.00085502+0.0013458i,0.0007606+3.9246e-05i,0.00044223-0.00039109i,0.00076824-0.00036745i,0.0015115-0.00037165i,0.00099007-0.00048913i,0.00061241-0.00044834i,0.00091762-0.00070765i,0.00061653-0.00046441i,-0.00022839-0.00084591i,-0.00038724-0.00073101i,-0.00039491-8.3803e-05i,-0.00020349-0.00030422i,0.00037566-0.00024671i,0.0004763+0.00031496i,0.00034802+0.00055885i,0.00020291+7.0728e-05i,6.4164e-05-0.00041012i
-0.0008853-0.00015924i,-0.00036163+0.00017283i,-0.00016181+0.00056638i,0.00067141+0.00087161i,0.0014318+0.00035541i,0.001243+8.3266e-05i,0.00062843-7.2824e-05i,3.3555e-05+6.2203e-05i,0.0002102+5.9058e-05i,0.00082154-0.00014964i,0.0011701+0.0004897i,0.00064422+0.00060397i,1.1933e-05+0.00063747i,-0.00039085+0.00031302i,-0.0013341+0.00033397i,-0.0012138+0.0011747i,-0.00055331+0.00076471i,-0.00038019-0.00037459i,-0.00032681-0.00038024i,-0.00026539-0.00055493i,0.00016691-0.00086227i,0.00017196-0.00056153i,-0.00066042-9.4173e-05i
-0.0010531+0.00033504i,-0.0010711+0.0010588i,-0.00015523+0.0013322i,-0.00054426+0.0014501i,-0.0015132+0.00049037i,-0.0009464-4.8903e-05i,6.7339e-05+0.00020564i,0.00044043-2.7599e-05i,0.00075829-0.00012024i,0.00059192-0.00019226i,0.00099865-0.00029744i,0.00065583+0.00033441i,-0.0004308+0.00018713i,-0.0011468+0.00015661i,-0.00074026+0.00047505i,7.2925e-05+0.00047402i,-3.3888e-05+0.00058695i,-0.00060055+0.00070443i,-0.00040625-0.00037865i,-0.00010341-0.0011034i,0.00037409-0.0003556i,0.00078542+0.00091444i,0.0011712+0.001715i
0.00030168-0.0017031i,-2.3922e-05-0.00069488i,-0.00015995-7.2545e-05i,-0.00063609-0.00065745i,-0.00064411-0.0011016i,-0.00034302-0.00024742i,0.00026514+0.00022782i,0.00089291-5.5405e-05i,0.00045328+0.00017971i,0.00016441+3.2444e-05i,-0.00017677-0.00057619i,2.4344e-07-0.0008343i,0.00014301-0.00016111i,-3.8025e-05+0.00033659i,-1.3124e-05+0.00014626i,-0.00027877+0.00033607i,-0.0007272+0.00036954i,-0.00069539+0.00031029i,-5.5244e-05+0.00027669i,0.0001604+0.000786i,-0.00035694+0.00089461i,-0.00027027-0.00042769i,-3.2139e-05-0.0011782i
-0.00092145+0.00049324i,-0.00047642+0.00060855i,0.00083663+0.00036044i,0.00054914-0.00016228i,-0.00010708-0.0012576i,0.00077946-0.00099503i,0.001037-0.00020727i,0.000799-0.00033803i,0.0012364-0.00013129i,0.0012821+0.00034191i,0.00091292+0.00019411i,0.00075044+0.00029717i,0.0004104-0.00057073i,2.1048e-05-0.0013398i,-0.00021196-0.00055758i,8.4397e-05-0.00027898i,7.7173e-05+0.00029771i,-0.0004905+0.00040464i,-0.00028821+0.00021265i,-0.00025379+7.9647e-05i,-0.0003007-7.9598e-05i,-0.00016691+7.0106e-05i,-0.00044804-6.6988e-05i
0.00042689-0.0003062i,0.0011235-0.00039133i,0.00052244+1.6415e-05i,0.00033981-0.00046351i,-0.00022965-0.00069494i,-0.00090231-0.00021413i,-0.00051681-0.00053799i,-0.00027092-0.00040787i,0.00027992+1.5018e-05i,0.00094397-1.921e-05i,0.00040233+0.00020435i,-0.00011621+4.512e-05i,-0.00014996-0.00064783i,-0.00063412-0.0012511i,-0.00090365-0.00060249i,-0.00076602-0.00018327i,-0.00045053-0.00037289i,-0.00026535-0.00099873i,-0.00035407-0.00074527i,5.337e-05+7.8388e-05i,0.00022965-8.8706e-05i,-0.00025181-0.00020843i,-0.00053484-0.00079411i
-0.00026321-0.00076876i,-0.00026515+6.0253e-05i,-0.00047244+0.00080322i,-0.0006956+0.0010094i,-0.00029419+0.00092043i,0.00023065+0.00066124i,0.00062293+0.00027188i,0.00010519+0.00015043i,-0.00013631+0.00039344i,1.1595e-05+7.754e-05i,9.0175e-05-0.00027768i,-0.00016403+0.00031067i,-0.00041541+0.0004646i,-0.00022854-0.00010224i,0.00017866-0.00042398i,0.00033947-0.0002312i,0.00040236+0.00018449i,-0.00024538+0.00011482i,-0.00093073+0.00030937i,-0.00030596+0.00057611i,0.00010885-0.00024874i,-0.00029638-0.00040038i,-0.00069155-5.5995e-06i
0.00031105-8.9941e-05i,-0.00050517-0.00056899i,-8.1079e-05-0.00096464i,0.00052962-0.0013436i,8.642e-05-0.001294i,0.00033381-0.00032482i,0.00073538+0.00066484i,0.00041668+0.00061775i,0.00078683-0.00014757i,0.0012346-0.00087263i,0.0013822-0.00094701i,0.00081967-0.00025482i,0.00038566+0.00027732i,0.0009313+0.00022025i,0.00040888+0.00035335i,-0.00042173+0.00016742i,-0.00045411+0.00052696i,-0.00044503+0.00087706i,-0.00022009+0.00029744i,-0.00015423+0.00040221i,0.00014627+0.00095816i,0.00049795+0.00050662i,0.00044685+0.00023898i
-0.0015662+0.00029851i,-0.0020904+0.00082537i,-0.0010789+0.0014519i,-0.00021609+0.0012534i,-0.00032978+0.00020741i,-0.00055488-0.00059057i,0.00013786-0.0011525i,0.00055081-0.0020953i,0.00065755-0.0023385i,0.00078748-0.0012797i,0.00048987-0.00031332i,0.00010245+0.00017785i,3.8734e-08+0.00015758i,0.00030685-0.00083321i,0.00026932-0.00094279i,-0.0005639+0.00015507i,-0.00082544+0.00017259i,-0.00046551+0.00027707i,-0.00021588+0.0001451i,-0.00041984-0.00046523i,-0.00051929-0.00037285i,5.6204e-06-9.7962e-06i,6.8216e-05+0.00012041i
0.0013085+0.00026689i,0.00059664-0.0013788i,0.00034089-0.002331i,0.00082129-0.0017377i,0.0003646-2.7664e-05i,7.5209e-05+0.0013148i,0.00014681+0.0011037i,0.00035578+0.00059319i,0.00079385+5.8771e-05i,0.00063805-0.00015295i,-0.00012941-0.00024134i,-0.00011976-0.00065211i,-0.00031567-0.0001918i,-0.00080796+0.00026878i,0.00013696+0.00030709i,0.0007139+0.00041635i,0.00028482+0.00010206i,-0.0001919+8.5216e-05i,-0.00031396+0.00047931i,-8.8334e-05+0.00081611i,-0.0004485+0.00029773i,-0.00065765+0.00025023i,-0.00010983+0.0011547i
-0.00047429-0.00075994i,-0.0015176-0.0015658i,-0.0024613-0.0012973i,-0.0020855-0.00012757i,-0.0012663-0.00018225i,-0.00024563-0.00022518i,0.00088701+0.00064355i,0.00066475+0.00035123i,0.000589-0.0004463i,0.0012695-0.00011977i,0.0012061+0.00012017i,0.00063675-0.00030971i,0.00060803-0.00041263i,0.00038039-0.0010904i,0.00015654-0.0013143i,0.00012108-0.0012455i,-7.1102e-05-0.0015805i,-0.00076244-0.00090327i,-0.0011114+0.00013562i,-0.00053839+0.00071325i,-4.4948e-05+0.00080357i,0.00037206+0.00027836i,0.00018197+0.00029085i
0.00086229-0.0012761i,0.00011877-0.0011491i,-0.00064199-0.001908i,-0.0010606-0.0016872i,-0.0014634-0.00040908i,-0.00035985+0.00050589i,0.00092643+0.00062885i,0.0013996+0.00055428i,0.0015004+0.00031655i,0.00060583-9.243e-05i,-0.00018246-0.00024132i,-0.00030418-0.00087684i,-0.00038719-0.00082462i,0.00015435+3.5526e-05i,0.00044569+0.00021629i,0.00023346+0.00012789i,0.00029247+0.00041121i,0.00045432+0.00055415i,0.00047196+0.0010055i,0.0003105+0.00097179i,0.00059043+0.00038234i,0.00068076+0.00095053i,0.00029586+0.00075199i
-0.0010552-0.0018719i,-0.0014319+0.00020627i,-0.0023681+0.0015725i,-0.0018818+0.0014202i,-0.0009975+0.00057518i,-0.00033515+1.9926e-05i,0.0007808-4.3536e-05i,0.00057232+0.00020591i,-0.00040769-0.00011446i,0.00019411-0.00030225i,0.00049881+0.00024413i,0.00061563-5.6207e-05i,0.00077392-0.00053289i,-0.00033899-0.00090956i,-0.0010437-0.001187i,4.8547e-06-0.00055296i,-0.00016023-7.2369e-05i,-0.001017+0.00057098i,-0.0011264+0.0010306i,-0.00045806+2.727e-05i,0.00062503-0.00033976i,0.00089206+0.0001182i,0.0004133+0.00058731i
0.00041593-0.001388i,-0.00068239-0.0015295i,-0.00078837-0.0018725i,-7.7761e-05-0.00087023i,0.00016233-4.1417e-05i,-0.00052409+0.00018628i,-0.0015366-0.00016226i,-0.00075013-0.00061202i,0.0012218-0.00089918i,0.0012037-0.001423i,-0.00011713-0.001496i,-0.00047348-0.00066944i,-0.0007722-0.00024283i,-0.00062983-0.00078046i,-0.00010748-0.0010796i,-9.0817e-05-0.00072083i,1.4375e-05-0.00021016i,0.00014907+0.00055066i,-0.00039842+0.00084815i,-0.0012215+0.00069257i,-0.0010127-0.00023273i,0.00028149-0.0008794i,0.0009361-0.00056025i
0.0013358+0.00077587i,0.00096986+0.0011997i,7.3985e-05+0.0014932i,6.2033e-05+0.00078015i,0.00054441-0.00031919i,0.0007888-0.00033455i,0.00099688+2.6607e-05i,0.0009691+0.00033877i,0.0005658+0.00020875i,0.00067392+9.5088e-05i,0.00038159-6.0684e-05i,-0.0011719-0.00048949i,-0.0011424-0.0011024i,0.00014694-0.0014213i,0.00067763-0.00067838i,9.9318e-05+1.7579e-05i,-0.0008708-0.00044486i,-0.0012143-0.0010233i,-0.00073672-0.00029786i,-0.00015171-0.00010831i,0.00035748-0.00084011i,0.00020354-0.00098916i,3.279e-05-0.00079103i
-0.00010721-0.00020088i,-0.00027162-0.0013393i,-0.00057885-0.0016359i,-0.00086908-0.0014126i,-0.00015115-0.00074423i,-0.00042456-0.00012032i,-0.00068567-0.00053857i,-0.00034681-0.0003275i,0.00048077-0.00020584i,0.0010652-0.0010012i,0.00051577-0.00099623i,-0.00019732-0.00093917i,-0.00013877-0.00028793i,0.00016368+0.00035247i,0.0006098-0.00012323i,0.00061874-0.00018357i,-0.00028059-5.4745e-05i,-0.00072798-3.3019e-05i,-0.00065097+2.1659e-05i,-0.00064521+0.00032482i,-0.00078495+0.00049696i,-0.00011568+0.00038487i,0.00079131+0.00059384i
