0.00056717+0.00084588i,0.0011023+0.00020958i,0.0016258+0.00030459i,0.0019576+0.00083643i,0.0013462-5.3318e-05i,8.2657e-05-0.00086788i,0.00024621-0.00032373i,0.00090308+0.0004959i,0.00069474+0.0012043i,0.00066269+0.0013886i,0.00048386+0.0011393i,7.4936e-05+0.00086519i,-0.00026138+0.00071989i,-0.00037498+0.00066447i,-0.00030726+0.00034702i,-0.00069865+0.0002966i,-0.00060973+0.00038609i,0.0010416+0.00067692i,0.0011817+0.00053467i,0.0009231-0.00016015i,0.0010744-0.00036425i,0.0010612-0.00028647i,0.0010192-0.00057117i
-0.00065712-0.00082298i,-0.0010691-0.0016487i,-0.00075995-0.0015786i,-0.00033365-0.00092033i,-2.6503e-05-0.00097458i,0.00046649-0.00082308i,9.6874e-05-0.00016714i,-0.0004613+0.00048706i,-0.00026763+0.00129i,0.00012208+0.0019391i,0.00056304+0.0021183i,0.0013753+0.00083768i,0.0010631-0.00011381i,9.9124e-05+0.00029922i,0.00036998-0.0001155i,0.00033505-0.00092659i,-0.00052687-0.00035103i,-0.00082834+0.00065607i,-0.00076995+0.00083283i,-0.00067565+0.00060623i,-0.0006823+0.00079787i,-0.00047381+0.000493i,2.0972e-07-0.00013104i
0.0034055+0.00092892i,0.0033714+0.0011053i,0.0029562-0.00021922i,0.0026797-0.0012174i,0.0020572-0.001663i,0.0014813-0.0014656i,0.00090628-0.00016641i,0.00022389+0.00044762i,-0.00029275+8.441e-05i,0.00031324-0.00020217i,0.0012373+0.00037448i,0.0011354+0.00084271i,0.00030883+0.00043367i,-0.0003176+9.1178e-06i,0.00015676-0.00028951i,0.00042115-9.3124e-05i,-0.00040463+0.00062848i,-0.00018784+0.00092787i,0.00096757+0.0014374i,0.0010043+0.001411i,0.00021914+0.00033357i,-6.3025e-05-0.00032356i,-0.00026009+0.00048575i
0.00024791-0.00073776i,0.0011109-0.00093608i,0.00018922-0.0013223i,-0.00054333-0.00059669i,-0.00065192+0.00048121i,-0.00022407+0.0005629i,0.00082422+0.00072553i,0.0012945+0.00058457i,0.00083192+0.00063289i,0.00065598+0.0010401i,0.00077575+0.00099811i,0.00087943+0.00055886i,0.001238+0.00058948i,0.0012651+0.00094364i,0.00044377+0.0011198i,-0.00051425+0.00044559i,-0.0012174-0.00046637i,-0.0012679-0.00016198i,-0.00093038+0.00021351i,-3.7193e-07-4.5118e-05i,0.0012491+0.00031937i,0.00085211+0.00091049i,0.00010571+0.00067405i
-0.0016471-0.00034736i,-0.00079161+0.00082163i,0.00021785+0.00055697i,0.0006774+0.00046387i,0.0006384+0.00054878i,0.0011912+0.00027838i,0.001887+0.00057153i,0.0012532+0.00057291i,0.00036204+0.00053435i,-9.5626e-05+0.00088607i,0.00040713+0.00028704i,0.0016768-0.00060611i,0.0012305-0.00037077i,0.00015821+0.00028554i,-0.00046873+0.00012867i,-0.0010019-8.8257e-05i,-0.00045079-0.00031822i,-0.00058975+0.00010141i,-0.0001733+0.00078988i,0.00076434+0.0010281i,0.00062862+0.00069042i,0.00021943+3.1835e-05i,0.00027391-3.3503e-05i
0.0015258-0.00037612i,0.0018246-0.00092602i,0.00057532-0.0011755i,7.1122e-05-0.0011648i,0.00075726-0.00026946i,0.0003709+0.00053879i,-0.00011087+0.00046817i,6.4965e-05+0.0002021i,0.00016868+0.00017265i,9.4569e-05+0.0010013i,0.00065831+0.0011794i,0.00060184+0.00055864i,-0.00027674+0.00036732i,-0.00026426+0.0010092i,-0.00022161+0.00095413i,-0.00037582+0.00041817i,-0.00031654+0.00076136i,0.00018401+0.001483i,0.00078315+0.0011769i,0.00077126-0.00038488i,-0.00040999-0.00090628i,-0.00070425-0.00057136i,0.00021117-0.00052345i
-0.00048734+0.00027034i,-0.00099356+0.0003729i,-0.00019974+0.00010159i,0.00052155-0.00013384i,0.00039411+0.00016497i,0.0008189-0.00011429i,0.00083947-0.00043335i,0.00028492+0.00032055i,0.00057115+0.00079742i,0.00072524+0.00046915i,0.00092546-6.8953e-05i,0.0010707-6.9892e-05i,0.00019841-0.00034009i,-0.00052339+0.00011345i,-0.00017782+0.0010443i,-1.3631e-05+0.0004826i,-2.7629e-05+7.7396e-05i,-6.2783e-06+0.0004394i,0.00010082+0.00021274i,0.00071946+0.00092316i,0.0009126+0.0011966i,0.00035514+0.0007964i,0.00031661+0.00040716i
0.0022697-0.00050394i,0.0019668-0.00023607i,0.0016063-0.00078259i,0.0013445-0.0012789i,0.0011181-0.00092044i,0.00071985-0.00017015i,0.00031739+2.0096e-05i,-0.00031301-0.00025679i,0.00022708+0.00031474i,0.00080515+0.0002128i,0.001015-0.00023266i,0.00041791-0.0003523i,-0.00012203-0.00010539i,-0.00065447+0.00038828i,-0.00090675+0.00049757i,-9.9057e-06+0.0011792i,-8.16e-05+0.0014079i,-0.0011077+0.00097964i,-0.00090522+0.0011939i,-6.729e-05+0.00055282i,0.00042834-0.00090468i,0.00068254-0.0013149i,0.00061125-0.00085387i
0.00060811-0.001765i,-0.00029709-0.0012726i,-0.0012694-0.0013068i,-0.001713-0.0013868i,-0.0011201-0.00085075i,-1.7335e-05-0.00032693i,0.00078306+0.00036052i,-5.5212e-05+0.00029876i,-0.00047393-0.00042043i,0.00019888+0.00011854i,0.00086152+0.00096544i,0.00076642+0.00077644i,0.00038011+0.00012715i,0.00014787-0.00028009i,-6.867e-05+0.00015783i,-0.00061504+0.00018631i,-0.00089778+0.00021114i,-0.00044831+0.00073694i,-0.00029235+0.00049168i,-0.00040275-0.00019446i,-5.3042e-05-0.00037166i,-3.8263e-05-0.0003506i,-0.00037042-0.00064647i
0.00075166-0.00083826i,0.001399+9.6337e-06i,0.0013133-5.6431e-05i,0.00056805-0.00042582i,0.00052676-0.00045438i,0.0011105-0.00012103i,0.00038269-0.00024895i,-0.0011715-0.00016736i,-0.0011063+0.00095712i,5.7855e-06+0.0011877i,0.001001+0.0009711i,0.0016645+0.0012055i,0.00097772+0.0013544i,-5.0459e-05+0.00099726i,-0.00023328+0.00099264i,2.9151e-05+0.0010173i,-3.3177e-05+0.0001603i,0.00010614+0.00030416i,0.00021547+0.0016333i,0.00023992+0.0021046i,0.00063377+0.00064211i,0.00035322-0.00023991i,-0.00015139+0.00023281i
