-0.0042654+0.0016316i,-0.0032681+0.0025789i,-0.0039664+0.0033489i,-0.0033156+0.0033386i,-0.001421+0.002955i,-0.00016701+0.0016023i,-0.0010194+0.00033995i,-0.0017304+0.00051921i,-0.00083108+0.00015656i,-8.3229e-05+7.5276e-05i,-0.00026345+0.00024842i,-0.00031366+0.00051964i,0.0003245+0.00070377i,0.0010618+0.00060673i,0.0011299+5.0305e-05i,0.00072115-0.00024414i,0.0005034+0.00066732i,0.00020396+0.00055692i,0.00030688-0.00030528i,0.00027528+0.00021312i,0.00026183+0.00091095i,0.00034728+0.00013857i,-3.0385e-05-0.00062903i
-0.001068+0.00068826i,-0.0016472+0.00047706i,-0.0025942+0.00082018i,-0.0016412+0.0023938i,0.00053258+0.0028655i,0.00080579+0.00102i,-0.0005979-0.00088694i,-0.0011995-0.00039554i,-0.0010946+0.00053161i,-0.00062012+0.00036844i,-0.00025742+0.00047546i,-2.4756e-05+0.00055416i,-0.00040998+0.00013353i,-0.00087879+0.00011795i,-0.00082501-0.00054708i,-0.00010393-0.0010355i,0.00043372-0.00064902i,0.00083572-0.00057415i,0.0006481-3.9765e-05i,0.00018685-0.00021558i,0.00035786-0.00026071i,0.00062853+0.00031415i,0.00075473+0.00044306i
-0.0010059-0.0023196i,-0.00078217-0.0015231i,-0.0012507-0.00032822i,-0.00058002+0.0017902i,0.0002139+0.0026622i,-0.0010226+0.00045157i,-0.0017997-0.00089181i,-0.0012008-0.00037734i,-0.00042656-0.00050219i,-0.00043201-0.00027806i,-0.00051769+0.00035074i,-0.00044863+0.00051787i,-0.00093829+0.00041087i,-0.00060774-9.3992e-05i,0.00067158+0.00012043i,0.00070426+0.00041382i,0.00069555-0.00018228i,0.00057593-0.00063517i,0.00047126-0.00096012i,0.00024467-0.00088059i,-0.00062929-0.00010977i,-0.00073166+0.00036178i,-0.00035909+0.00052581i
-0.0005187-0.00029221i,-0.0011267+0.00012688i,-0.0018783+0.0010754i,-0.0018343+0.0016687i,-0.00098378+0.0010108i,3.5972e-06-0.00018981i,-0.00065418+9.8218e-05i,-0.0017777+0.00058493i,-0.0012766+0.00037416i,-0.00083311+6.4663e-05i,-0.00079681-4.0414e-05i,-0.00061712+0.00078155i,-0.00034391+0.0005962i,-0.00025244+8.2151e-06i,-0.00081671-5.1983e-05i,-0.00051631-0.00027595i,0.00051935-0.00021973i,0.00047227-0.00043095i,-0.00020896-0.00078231i,-8.2825e-05-0.00052477i,-4.5867e-05-0.00027691i,8.7266e-05-0.00044132i,0.00030459-0.00034017i
-0.0013865-0.00073788i,-0.0018115-0.00056553i,-0.0015063+0.00033021i,-0.00010651+0.0017313i,0.00059252+0.0018606i,0.00094151+0.00027445i,0.00048452-0.00051037i,-0.0011291+0.00024814i,-0.0015582+0.00069674i,-0.0011677+0.0012575i,-0.00050848+0.0014921i,0.00013995+0.00042533i,-0.00016445-0.00053827i,-0.00011197-0.00084025i,0.00048518-0.00031754i,0.00023052+0.00019994i,0.00016126-0.00013048i,0.0002137-0.00014992i,-0.00046607-0.00029695i,-0.00038562-0.00099276i,0.00025341-0.00077962i,0.00022812-0.00063917i,8.665e-05-0.00089418i
6.5539e-05-0.001051i,-0.00041167-0.00081831i,-0.0019578+0.00018085i,-0.0026673+0.0010054i,-0.0015318+0.0013403i,-0.00027608+0.00078491i,-0.00038462-0.00084497i,-0.0012338-0.00046275i,-0.00098131-0.00018306i,0.00015286-0.00084483i,0.00011589-0.00026325i,-0.00046033+0.0005131i,-0.00061607+0.0003496i,-0.00080366-8.5093e-05i,-0.00059607-0.00016248i,-0.00095266-0.00022379i,-0.00059779-0.00037715i,0.00023865-0.00063529i,0.0005183-0.00071441i,0.00055098-0.00059771i,0.00045864-0.00053739i,0.00025709-0.00082165i,0.00028376-0.00082461i
-0.00027145+0.00053892i,-0.00053679+0.00089211i,0.00015368+0.00045939i,0.00016831+0.0009811i,-6.0582e-05+0.0012058i,0.00024627+7.7464e-05i,-0.0012862-0.00065616i,-0.0028207-0.00034138i,-0.001338+0.00022262i,-0.00046337-3.0142e-05i,-0.00032739+3.329e-05i,2.5042e-06+0.00046698i,-0.00047586+0.0002967i,-0.00029215-0.00042627i,0.00069139-0.00085837i,0.00050452-0.0011701i,-0.00031639-0.001346i,-0.00029316-0.00071458i,0.00023463+0.00046007i,0.00060976+0.00031943i,0.00074173+3.4415e-05i,0.00063776+0.00060974i,8.3392e-05+0.00063351i
-0.00056872-0.0020817i,-0.00080755-0.0014565i,-0.0018906-0.0013598i,-0.001294+6.2405e-05i,9.5008e-05+0.00072278i,-0.00057181-1.8959e-06i,-0.00096831-0.0011963i,-0.0005166-0.00043457i,-0.0001614+0.00064333i,-0.00098084-2.7555e-05i,-0.0013129-0.00019595i,-0.00039024+0.00056371i,-0.00057891+0.00089658i,-0.00050744+0.00077289i,-0.00045149+0.00067444i,-0.00039606+0.00016659i,-9.4959e-05-0.00013334i,0.00037337-0.00046288i,0.0010156-0.00015303i,0.00074151+0.00048328i,0.00022684+0.00075544i,-4.0018e-05+0.00063689i,0.00033946+0.00015107i
3.9363e-05+0.0003678i,-7.9754e-05-0.0004991i,0.00011772-0.0006574i,0.00050533-0.00023395i,0.0010737+0.00024602i,0.00039684+0.00011104i,-0.00083351-0.00032981i,-0.0012103+4.8594e-05i,-0.0016043+0.00023659i,-0.0012522-0.00034314i,-0.00051959-0.00077059i,-0.00023175-0.00068143i,-0.0003609-0.0010862i,-9.703e-05-0.00070919i,6.4218e-05-0.00018516i,0.00012318-0.0001898i,0.00036087+0.00017865i,0.00091724-1.9691e-05i,0.00043732-0.00030607i,-0.00060171-0.00017732i,-0.00051945+0.00037356i,0.00025499+0.00058745i,0.00027651+1.5036e-05i
-0.00098321+0.00089119i,-0.0011323+0.0011817i,-0.0012691+0.001813i,-0.0013767+0.0030585i,-0.00078548+0.0020764i,0.00011268-4.6847e-05i,-0.00054561-0.00078305i,-0.0017241-0.00029547i,-0.001483+0.0002035i,-0.00085462-0.00016546i,-0.0006858-0.00091015i,-0.00042803-0.00056012i,0.00014405+0.00032112i,0.00037325+7.8532e-05i,-0.00015376+2.9355e-05i,-0.00021025-2.0187e-05i,0.00033398-0.00030635i,0.00036398-0.00048771i,-9.2007e-05-0.00066632i,-3.324e-05-0.00033087i,-9.1978e-05+8.1879e-05i,-0.00016597+0.00019846i,-0.00050059+0.00040397i
-0.0010375+1.8075e-05i,-0.00049579+3.8563e-05i,0.001029-0.00039745i,0.00090292+0.00068752i,-0.0002139+0.00043432i,-0.00066207-0.00068542i,-0.001178-0.0010319i,-0.0019763-0.00068405i,-0.0019815+0.0002887i,-0.00083666+0.00041113i,-0.00085704-0.00045557i,-0.0006812-0.00087192i,-0.0003105-0.00069266i,-0.00044721-0.00078144i,-0.00034857-0.00056626i,-0.00031209-1.0106e-05i,-4.0482e-05+0.00018594i,0.00052838-0.00010108i,0.00064006+0.00019371i,0.00087634+0.00067066i,0.0012025+0.00046178i,0.00075063-6.2398e-06i,-7.8918e-05+0.00019538i
0.00044026-0.00091303i,0.00022552-0.00036624i,-0.00052219+0.00041255i,-0.00095649+0.00027437i,-0.00016315-5.5151e-05i,-4.4278e-05-0.00079412i,-0.0017836-0.0015974i,-0.0020234-0.00066678i,-0.0013315-3.7483e-05i,-0.0015627-0.00038414i,-0.0011108+7.7463e-05i,-0.0007242+0.00058022i,-0.00042774+0.00023755i,-0.00044855-0.00030169i,-0.0002319-0.00023587i,-0.00033706-4.2529e-05i,-0.00052047-0.00045887i,0.00012001-0.0007528i,0.00013201-0.00040965i,-9.8106e-05-0.00021746i,-0.00010203-0.0001628i,-0.00020726+0.00051556i,-0.00076758-0.00021809i
0.00097089-0.00053436i,7.6246e-05+0.00028798i,-0.00045679-0.00029879i,-0.00040643+1.5007e-05i,1.7867e-05+0.00031638i,0.00031945+0.0001373i,-0.00046646-2.7143e-06i,-0.0011516-0.00024058i,-0.00085937+1.6481e-05i,-0.00059497-0.00092823i,-0.00024359-0.0010516i,0.00013501-0.00049964i,-0.00020514-0.00081668i,-0.00059974-0.00082515i,-0.00083696-0.00046735i,-0.0010641-0.00045561i,-0.0011022+2.6259e-05i,-0.00046009+3.9465e-05i,-0.00025128+4.3741e-05i,-0.00053339+0.00013314i,-0.00028103+7.6595e-05i,-0.00020613+0.00044188i,-0.00038494+0.00067997i
0.0011256+0.00057099i,0.0015444+0.00021047i,0.002176+0.00040224i,0.0020499+0.00097711i,0.0018374+0.00064117i,0.00074835-0.00043174i,-0.0012311-0.0010626i,-0.001891-0.00051493i,-0.0011842+0.00050863i,-0.00047424+0.00025572i,-8.8404e-05-0.00052343i,0.00032861+5.8665e-05i,-0.00017228-0.00042901i,-0.00023681-0.0013181i,0.00023758-0.00065636i,0.00053084+0.00011695i,0.00039017+9.5527e-05i,0.00023044-1.1145e-05i,0.00034719+0.00020062i,0.000432+0.00031412i,0.00085066-7.6326e-05i,0.00039567+2.6038e-05i,-0.00032573+0.00065014i
0.00024877-0.00027656i,-0.00050882-0.00045936i,-0.00090419-0.00087626i,-0.00081547-0.00076203i,0.00021471+9.5809e-05i,0.00021323-0.00041791i,-0.0011327-0.0013567i,-0.0017107-0.00079442i,-0.001123+0.00016777i,-0.00068112-1.3745e-05i,-0.00067697-0.00062163i,-0.00093894-0.0007757i,-0.00092359+0.0001204i,-0.00061121+0.00063907i,-4.9311e-05+0.00052677i,-2.8029e-05+0.00022501i,-0.00038207+0.00012572i,-6.8806e-05+0.0008444i,0.00012665+0.0010464i,0.00075997+0.0005678i,0.00080679-0.00011247i,0.00051189-0.00032219i,0.00064769-0.00059148i
-0.00022922-0.00028657i,0.00058164+0.00043125i,0.00064488+0.0014802i,0.0001337+0.001807i,0.0010302+0.00088015i,0.0015623-0.00022692i,0.00035058-0.00011481i,-0.00035047-0.00035929i,4.5066e-07-0.00087151i,0.00044296-0.00041895i,-0.00044578+0.00038933i,-0.0011218+0.00050465i,-0.00037653+0.00043228i,0.0005359-0.00017144i,0.00069471-0.00055i,-0.00034012-0.00037023i,-0.0002082-0.00055497i,0.00063428-0.00056967i,0.00047851-0.00046591i,-0.00043065-0.00099996i,-0.0010734-0.0013382i,-0.00047469-0.0008599i,-0.00017258-0.00038184i
-0.00047846-0.00067838i,-0.00082164-0.00066513i,-0.0013636+0.00018216i,-0.00039129+0.00095579i,0.00028505+0.00089963i,-0.00027332-0.00017579i,-0.0013082-0.00059603i,-0.001917+4.185e-05i,-0.0015261+0.00057189i,-0.00060499+0.00044239i,-0.00024851+0.0007551i,-0.00022648+0.00054924i,0.00024136+0.00089952i,-0.00011471+0.0011027i,-0.00063542-0.00050344i,-0.00044688-0.00084408i,-0.00040353-8.6804e-05i,-0.00040891-0.00010801i,-0.00011477-0.0003947i,0.00051081+0.00030145i,0.00047482+0.00038458i,-0.00018734+0.00058409i,-0.00065499+0.00078437i
-0.0023115+0.001335i,-0.0013679+0.001828i,-0.0012258+0.0024073i,-0.00041242+0.0032692i,0.00022737+0.002653i,0.00015608+0.0010837i,-0.00039648+0.00024776i,-0.0012176-0.00021161i,-0.00065551-0.00021593i,-0.00078176-0.00022261i,-0.00077652-2.3343e-05i,0.0008633-0.00014133i,0.00077355-0.00038441i,-0.00036487-0.00079763i,-0.000536-0.00098731i,0.00029739-0.00032709i,0.00034778+0.00046966i,-0.00061051+0.0012546i,-0.0011323+0.0011735i,-0.00073703+0.00035939i,0.00038986-0.0006507i,0.00099094-0.0013143i,0.00055726-0.0012597i
-0.0011131-6.3381e-05i,-0.00091318+0.00080644i,-0.0014616+0.0023064i,-0.00013937+0.0022367i,0.0015578+0.001455i,0.00083324+0.00035012i,-0.00055743-0.00085987i,-0.0007036-0.0013327i,-0.00062547-0.00092924i,-0.00046938-0.00073801i,-0.00059904-5.1311e-05i,-0.00074742+0.00065537i,-9.2303e-05+0.00018898i,0.00018514+8.5586e-05i,0.00053899-2.2811e-05i,0.00077031-0.00016167i,0.00039604-0.00050576i,0.00012411-0.0010729i,-0.00025211-0.0012664i,0.00020708-0.00094341i,0.00096897-0.0002335i,0.0013631+0.00020665i,0.00090242+0.00071801i
-0.0013391+0.0010866i,-0.0016602+0.0010972i,-0.0014864+0.00070704i,-0.00083023+0.00071365i,-0.00020802+0.0003166i,-0.00016912-0.00093904i,-0.0012103-0.0013293i,-0.0011119-0.0012402i,-0.00026987-0.00072979i,-0.00093933-0.00024678i,-0.0013302-0.00013001i,0.00016173-9.907e-06i,0.001163-0.00048641i,0.0005043-0.00084955i,-4.0121e-05-0.00057346i,0.00026013-0.00042555i,0.00096277-0.00042461i,0.00083458-0.00026218i,0.00044647-9.529e-05i,0.00053103+0.00040877i,0.0008062+0.0005508i,0.0007077+0.00021473i,-0.00028956-0.00016821i
-0.00042454-0.0020193i,-0.00045454-0.00066743i,-0.00017731+0.0011088i,-0.00047708+0.0021801i,-0.0010471+0.0022743i,-0.00072035+0.0010054i,-0.0012062-0.00072243i,-0.001711-0.0011964i,-0.0011397-0.00065971i,-0.0011677-4.4752e-05i,-0.00078354+4.5877e-05i,-0.00048812+0.00063888i,-0.0010179+6.7493e-05i,-0.00088185-0.00048346i,-0.000555+0.00023854i,-0.00052307+0.000238i,-0.00020711+0.0001442i,0.00026652-0.00027157i,0.0005196-0.00035349i,0.00034728+0.00020697i,1.9487e-05+0.00046702i,-0.00025704+0.0010309i,-0.00039755+0.00061862i
-0.00055004-0.00028066i,-0.00075731+0.00067182i,-0.0010139+0.0016135i,-0.00050542+0.0017029i,3.5378e-05+0.0015731i,-0.00039412+0.00027955i,-0.0019674-0.0003735i,-0.0023742+1.9711e-05i,-0.0016636+0.00015345i,-0.0015214-0.00019687i,-0.0015208-2.3487e-05i,-0.0013217+0.00032834i,-0.00083822-0.00063596i,-0.00036529-0.0010506i,-0.00063687-0.00069168i,-0.0013126-0.00038492i,-0.0014557+6.7509e-05i,-0.0002776-0.00032502i,0.0004739-0.00056496i,0.00037578-0.00026136i,0.00041133+3.5333e-05i,0.00021793-0.00048395i,0.00013806-0.0012162i
-0.0017017-1.0877e-05i,-0.0019845-0.00051217i,-0.0012657+0.0006485i,-0.00065556+0.0020501i,-0.00027032+0.0023068i,0.00033195+0.0016604i,-0.00078338+0.00024299i,-0.0016146-0.00064029i,-0.00059472-0.00034629i,-0.0002868+8.9339e-05i,-0.0010178+4.8097e-05i,-0.00065867+0.000473i,-0.0003807+0.00059931i,-0.00072341+0.00040544i,-0.00040386+0.00051271i,0.00062723+0.00039868i,0.00095462+0.00012035i,0.00062638+0.00039487i,0.0007901+0.00051006i,0.00087209+0.00061869i,0.00040268+0.00039613i,0.00014336-0.0007605i,-0.00049551-0.0012388i
0.00054653+5.314e-06i,0.00052334+0.00070963i,0.00055176+0.0014743i,0.0014345+0.00065433i,0.0018509-3.8042e-05i,0.00070012-5.5769e-05i,-0.00041217-0.00059284i,-0.00074353-0.00049757i,-0.00029053-3.7439e-05i,-0.00042632-0.00025143i,-0.00089168+0.00033863i,-0.0005763+0.00062144i,-0.00012314-9.0465e-05i,0.00041538-0.00072627i,0.0015059-0.00059039i,0.0013595+0.00020721i,0.00079239+0.00029503i,0.0004623+0.00025094i,0.001024+0.00035438i,0.0012014+0.00021972i,0.00040503+0.00033879i,0.00072219+0.00012507i,0.00079298+0.00035073i
-0.00027371-0.002377i,0.00039486-0.0026556i,0.0011551-0.0018686i,0.00017914-0.00097803i,-5.3494e-05+0.0002256i,0.0004488+0.00023801i,-0.0003046-0.00035247i,-0.0010066-6.4712e-06i,-0.00076478-6.4269e-05i,-0.00053637-0.00036446i,-0.00042429+3.5343e-05i,-0.00056199+0.00019073i,-0.00058194-0.0003079i,-0.00067235-0.00052184i,-0.00058598-0.00016003i,-0.00053976-0.00010616i,1.5324e-05-0.00080655i,0.00053553-0.00010036i,-0.00030248+0.00068292i,-0.0010736+0.00015951i,-0.0010024-0.00070269i,-0.00082907-0.00087233i,4.6509e-05+0.00033335i
0.00050531-0.00059345i,-0.0015115-0.00016191i,-0.0020794+0.00068558i,-0.0013191+0.0021217i,0.00012068+0.0017201i,0.00064441-0.00020889i,-0.00024152-0.00075771i,-0.00019956-0.0003369i,-0.00083162+0.00016059i,-0.0015194-0.00016366i,-0.0009724-0.00094481i,-0.00040826-0.0011864i,-0.00026523-0.00090201i,-0.00041035-0.00059484i,-0.00016361-0.00073432i,0.00022028-0.00066177i,2.6664e-05-0.00059529i,0.00015328-0.00077455i,0.001223-9.9497e-05i,0.0015172+0.00033624i,0.00037455+0.00024749i,-0.00055733+0.0002616i,-0.00039288+6.9413e-06i
-0.00021186+0.00010676i,0.00025407+0.00016764i,0.00063336+0.0010281i,0.0011564+0.0013498i,0.001105+0.00049518i,-0.00012726-0.0010335i,-0.0012507-0.0017163i,-0.0013831-0.0011737i,-0.0010574-0.00056365i,-0.00089222-0.0004213i,-0.00015411+0.00049138i,0.00027699+0.0010684i,-0.00019156+0.00033787i,-9.8201e-05-0.00034464i,-0.00022957-0.00032352i,-0.00076219-0.00040121i,-0.0001621-0.00017442i,0.00045006+0.00059071i,0.00020743+0.0010789i,-0.00023596+0.00054286i,-0.00028946-6.5264e-05i,0.00041989-6.8852e-05i,0.00069317-0.00012101i
0.00016767-0.0011446i,-0.00012237-0.00059262i,-1.1353e-05+0.00044034i,-0.00036055+0.0015455i,0.00018461+0.0010604i,0.00014627-7.979e-05i,-8.3058e-05-0.00016639i,-0.00017977-0.00011596i,-0.00078273-0.00031772i,-0.00096037-0.00084708i,-0.00098114-0.00053347i,-0.00059466+0.00026607i,0.00017581+0.00035908i,-0.00018343+0.00019763i,-0.0009078+0.00011635i,-0.00036026+0.0004623i,0.00061019+0.00058446i,0.001133+0.00011964i,0.0006432-1.468e-05i,0.00076476+0.0001275i,0.0016532-0.00030113i,0.0012561-0.00032245i,0.00012861+4.2957e-05i
4.4093e-05-0.00041747i,-8.1023e-05+0.00012131i,-0.0001646+0.001041i,-3.1424e-05+0.00064166i,0.00047129+1.679e-05i,-0.00027446-0.00052655i,-0.0011587-0.00080568i,-0.00097023-0.00021706i,-0.00067645+0.00086352i,-0.00073578+0.00069368i,-0.00038901-0.00019124i,5.0901e-05-0.0005367i,-0.00028253+0.00016165i,-0.00011245-0.00016348i,0.00045101-0.00058603i,0.00064499+4.5958e-06i,0.0001176+3.1085e-05i,-0.00010927-0.0003868i,-7.5695e-05-0.00039054i,-0.00013188-0.00015452i,-0.00024695-0.00061239i,-0.00012683-0.0010888i,-8.7717e-05-0.00072548i
-9.2213e-05-0.0014701i,-0.00019361-0.00080932i,-0.0010855-0.00091229i,-0.0020795+0.00032166i,-0.0011935+0.0012038i,-1.9023e-05+1.0117e-05i,-0.00038445-0.0014313i,-0.00028105-0.00057864i,-0.00022913+7.6145e-05i,-0.00092749-0.0011232i,-0.00057841-0.0012098i,-0.00049136-0.00074884i,-0.00029649-0.00099601i,0.00044507-0.00061364i,0.00042149-0.0002622i,0.00084062-0.00078127i,0.0010154-0.00099985i,0.00040936-0.00071555i,-0.00031739-0.00051757i,-0.00021005-0.00028266i,0.00018936+0.00049731i,1.0113e-05+0.00079292i,-5.357e-05+0.00070454i
0.00076034-0.002228i,0.00072064-0.002505i,0.0006711-0.0016104i,0.00068538-7.3689e-05i,0.00092214+0.00049615i,0.00018356+9.28e-05i,-8.4397e-05-0.00041681i,-0.00052719-0.0004335i,-0.0002651-0.00025474i,-0.00010043-0.00072162i,-0.00059304-0.00057244i,9.535e-05-0.00023479i,0.00019819-0.00040073i,-0.00068624-0.00026133i,-0.00060044-0.0001154i,-0.00027506-0.00053785i,-4.0956e-05-0.00029585i,-0.00024938+0.00059492i,-0.00039949+0.00029256i,-9.2806e-05+9.8645e-05i,0.00031795-0.00023554i,0.00055626-0.00034127i,6.4363e-05+2.1752e-05i
0.00095496-0.0013518i,0.00017235-0.0019965i,0.00030339-0.0020685i,-5.4257e-05-0.00099761i,-6.0471e-05+0.00042762i,-0.00011925-0.00017278i,-0.00052517-0.00078492i,-0.00046763-0.00015759i,0.00039933+0.00097019i,0.00056321+0.0013509i,0.00027729+0.00054263i,8.2415e-06-0.0002222i,-0.00035403-2.2894e-06i,-0.00086257+0.00011178i,-0.0013628-0.00033939i,-0.00055957-0.00076227i,0.00033631-0.00031484i,0.00030323+1.4317e-05i,0.00028093-0.00023974i,-0.0001085-0.00027576i,-0.00010439-0.00063757i,0.00046102-0.00025046i,0.00054537-0.00035743i
