-0.0044094+8.6681e-05i,-0.0032848-0.00015042i,-0.0044642+0.0013853i,-0.0039327+0.0023313i,-0.00085957+0.0019598i,0.00070943+0.0017683i,0.00041021+0.0019325i,0.00093445+0.0016436i,0.0017148+0.0013718i,0.001572+0.0012082i,0.0015092+0.00099627i,0.0011851+0.0010525i,0.00058486+0.001095i,0.00036626+0.0005586i,0.00038203+0.00035451i,0.00012121+0.0013041i,-0.00077447+0.0012618i,-0.00093896+0.00018824i,-0.00037234-6.2352e-05i,0.00016928+0.00044463i,0.00022788+0.00011474i,-7.6021e-05-0.0001776i,-0.00052857+0.00027829i
0.00091395+0.00072984i,0.00072385+0.00073863i,0.0016625+7.0183e-05i,0.0015152-0.00051716i,0.00047498-0.00043659i,0.00026953-7.9878e-05i,-1.9643e-05+0.00040355i,-0.00075139+0.00053658i,-0.0011741+0.00051392i,-0.0013767+0.00032304i,-0.00073064-0.00054164i,2.927e-05-0.00087859i,0.00012861-0.0007992i,0.00014733-0.00082393i,-0.00020823-0.00041915i,-0.00045034-5.6815e-05i,-0.00012187-0.00027423i,-0.00010605-0.00098734i,3.8508e-05-0.0015145i,-0.00020942-0.00087307i,-0.00093877-0.00048225i,-0.00059261-0.00083784i,0.00061655-0.00061637i
-0.00024366-0.00030117i,-0.00037032+0.00053767i,-0.00075291+0.0012615i,-0.00092371+0.00090145i,-0.0013389+0.00054333i,-0.0010405+0.0010759i,-0.00083415+0.0012737i,-0.0004732+0.00097896i,-0.00029186+0.00052i,-0.00020798+0.00085139i,0.00038357+0.0013862i,0.00032916+0.0014666i,-0.00049794+0.0010873i,-0.00030693+0.00029634i,0.00040997+0.00015427i,0.00045747+7.628e-05i,0.00021088-0.00022176i,-0.00016459-0.0003925i,-0.0004366-0.00018947i,-0.00064395+0.00010453i,-0.00065812+0.0005065i,-0.00023028+0.00056006i,-2.7689e-05-0.00017427i
-0.0021925+0.00082606i,-0.00089244+0.0011368i,0.00014007+0.0007672i,0.0019087+0.0011945i,0.0024275+0.0015953i,0.0021861+0.00062278i,0.0015386-2.6879e-05i,0.00087358+0.00025201i,0.00025528+0.00064234i,9.5473e-05+0.00096564i,0.00071664+0.0010789i,0.00059689+0.00081096i,0.00012695+0.00055533i,-0.00049028+0.00032534i,-0.00083093-2.2573e-05i,-0.00062796+0.00058507i,-0.00054085+0.000403i,-0.0014094-0.00067242i,-0.0013538-0.00053974i,0.00021512+0.00042188i,0.001109+0.00095648i,0.00016848+0.00053322i,-0.00018351+3.5838e-05i
-0.00037516-0.00030414i,7.3295e-05+2.6041e-05i,0.0012713+7.892e-05i,0.0019169+0.00062324i,0.00094542+0.0017201i,-0.00038108+0.0015631i,-0.00084861+0.00081825i,-0.0010268+0.00044192i,-0.0003311+0.00023587i,0.00088028+0.00043901i,0.0016413-9.5687e-05i,0.0017863-0.00044453i,0.0011853+0.00040309i,0.00013006+0.00063295i,-0.00058168+0.000127i,-0.00015157-0.0001845i,0.00028965-2.9244e-05i,-4.7745e-05+0.00023107i,-0.00067685+0.00047667i,-0.00070512+0.00091598i,-0.00064047+0.0010309i,-0.0010629+0.00028874i,-2.2665e-05-0.00066188i
0.0023793+0.001046i,0.0018358-0.00065085i,0.0029161-0.0014744i,0.001944-0.0028283i,0.00077557-0.0032246i,0.00041616-0.00088478i,-0.00035821+0.0013834i,-0.00021119+0.0011874i,0.0010063+0.00052714i,0.0017373-7.6226e-05i,0.0015639-0.00063516i,0.0014355-0.00022452i,0.00054821+8.4521e-05i,-0.00031346-0.00021879i,0.00031028+0.00021961i,0.00075648+0.00039051i,9.5237e-05-0.00030816i,-0.0007413-0.00074522i,-0.00057016-0.00087496i,0.00054159-0.0006829i,0.0010686-0.00026119i,0.0001335-0.00024572i,-0.00051795-5.4217e-06i
-0.00047299-0.00075008i,-0.00017116+0.00034265i,8.26e-05+0.0010756i,0.0005038+0.00081681i,0.00075202+0.00034254i,0.00032164+0.00051552i,0.00076372+0.0003149i,0.0010684+0.00032874i,0.00048919+0.0008734i,0.0012229+0.00032104i,0.0019245+7.5096e-05i,0.001341-0.0003952i,0.0010211-0.00060578i,0.0010824-0.00026449i,0.00030389-0.00069889i,-1.6311e-05-0.001123i,3.6937e-05-0.00081155i,-0.00040459-0.00035725i,-0.00046426-0.00015782i,-0.00025672-0.00010583i,-0.00057733+6.5626e-05i,-0.00028574+0.00018363i,-0.00028046-0.00011387i
-0.00022187-0.0009398i,-0.00045711-0.0018724i,-0.00046732-0.0018671i,0.00022371-0.00084677i,0.00020565+0.00035371i,0.00025067+0.0011995i,-0.00011002+0.00061613i,-0.00093687-0.00025699i,-0.0012124-0.0002073i,-0.00097002-0.00012311i,-0.00082373-0.00021389i,-0.00058272-0.00018283i,-0.00039063-0.00027257i,-3.7021e-05-0.00017732i,0.00022754-0.00016966i,0.00054946-0.00083049i,0.00039234-0.00068721i,-0.00079016+0.00030774i,-0.00097352+0.0010613i,-0.00079638+0.00058409i,0.00013991+0.00031472i,0.0010227+0.00074164i,0.00030996+0.0010108i
0.00076266-0.00039983i,-0.00012086-0.00011077i,-0.00083577+6.7634e-05i,-0.0013992+0.00070476i,-0.0013035+0.00095344i,-0.00026258+0.00041543i,-0.00014479+0.00016602i,0.00032689+0.00026459i,0.00037133+0.00098442i,-0.00016889+0.00096051i,-6.1463e-05+0.00010465i,0.00037512-0.00015846i,0.0011679-0.00011063i,0.0012639-4.1178e-05i,0.0010795-0.00041696i,0.00027356-0.00032165i,-0.00029717+0.0002828i,1.1978e-05-3.6832e-05i,-0.00010232-0.00063361i,-3.7875e-05-0.00076524i,0.00020902-0.0006509i,9.093e-05+3.1352e-06i,0.00018659+0.00049947i
0.00035288+0.001025i,0.00027404+0.00062638i,0.00021422+0.00077238i,0.0016486-1.3938e-05i,0.0016554-8.7035e-05i,0.00043286+0.0010179i,-0.000269+0.0010819i,-0.00029674+0.00052138i,0.00027154+0.00072645i,0.00047083+0.0011939i,0.00049347+0.0016632i,0.0002523+0.0017224i,-7.8962e-05+0.00076973i,-0.00059678+0.00029573i,-0.0013172+0.00029993i,-0.00061139-0.00033138i,0.00016137-0.00068713i,0.00045562-0.00036027i,0.00062638+0.00019524i,1.7868e-05+0.001278i,-0.0006282+0.0013026i,-0.00020954+0.00032791i,0.00046309-7.3444e-05i
0.00041448+0.0013722i,0.00086723+0.00036554i,0.00096544+0.00088982i,0.0018451+0.0010881i,0.0022915+0.00061702i,0.0013874-0.00014008i,-0.00073689+5.8944e-05i,-0.00099469+0.00063393i,0.00029618+0.00096068i,0.00082779+0.0015364i,0.0001432+0.00096748i,-3.4597e-06+0.00081344i,-0.00027227+0.00068278i,-0.00036984-0.00092751i,0.0002377-0.0011728i,0.00040308-0.00029567i,-5.4243e-05-2.0261e-05i,-0.0012507+0.00054385i,-0.0012578+0.00068281i,0.00027501+0.00028826i,0.0010565+0.00060563i,0.0010657+0.00055378i,0.00085474+3.0985e-05i
0.00093605+6.0466e-05i,0.00029865-0.00028512i,-0.0006824-0.001415i,-0.00060862-0.0023605i,0.00012157-0.0017274i,-0.00046351-0.00025058i,-0.0012488+0.00051527i,-0.00052136+0.00018894i,0.00035652+0.00018678i,0.0010811+0.00080864i,0.0016253+0.00094719i,0.0010446+9.7612e-05i,0.00031081-0.00060445i,0.00023888-1.8673e-05i,0.00032818+0.00053193i,0.0004813+0.00026264i,0.00059125+0.0002771i,-1.2048e-05+0.00068566i,-0.00019149+0.00069788i,-0.0002786+0.00042711i,-0.0003162-0.00018082i,-0.00058166-0.0003954i,-0.00032616+0.000306i
0.00064182-0.001123i,0.00057828-0.00092889i,0.00038727-0.001565i,0.00043322-0.0015133i,0.001194-0.00054284i,0.0013841+0.00031366i,0.00083661+0.00033219i,0.00047428-0.001052i,7.65e-05-0.0015595i,-1.6961e-05-0.00039899i,2.3421e-06+0.00045875i,0.00021363+0.00015163i,0.00035894-1.5461e-05i,0.00052217+0.00011335i,0.00041217+0.00046226i,-0.00015976+0.00057589i,-0.00018938+0.00043332i,-0.00019914+0.00043006i,-0.00057493-1.8014e-05i,0.00010224-0.00016527i,0.00053404-0.00035494i,-4.0644e-05+2.4306e-05i,-0.00058488+0.00027488i
6.9997e-05-0.0016828i,0.00013705-0.0011548i,0.00018056-0.00081997i,0.000564-0.0008484i,0.00029477-0.00046585i,-0.00066681+0.00017926i,-0.00020823+0.00037642i,0.0001763+0.00086088i,-0.0001196+0.00086235i,-3.2645e-05+0.00031791i,-0.00019251-0.00027168i,-0.00030279-0.00097867i,-0.00075958-0.00049275i,-0.00084887+0.000456i,-0.00015718+0.0004352i,0.00030286+0.00015899i,-0.00018656-0.00031281i,-0.00075393-0.00049691i,-7.0251e-05-0.00045914i,0.00036243-0.00055678i,-0.00015245-0.00016926i,-0.0007192+0.00021712i,-0.0010295-0.00051502i
0.00065886+0.0014761i,0.00078367+0.001663i,0.0015858+0.0020145i,0.0018988+0.0027999i,0.0017958+0.0033328i,0.0014433+0.0019275i,0.00036238+0.0010752i,-0.00085063+0.0011597i,-0.0013199+0.00036068i,-0.00046974+2.1854e-05i,0.00024228+9.0624e-05i,0.0003031+0.00026292i,0.00060144+4.9668e-05i,0.00061228-4.9069e-05i,0.00076238+0.00034945i,0.00074396+6.5109e-06i,0.00023153-0.00014082i,-0.0001819-0.00050289i,0.00046973-0.00046384i,0.00065599-0.00016073i,0.00074278-0.00016642i,0.00019621-8.582e-05i,-7.2979e-05+5.3366e-05i
0.00033329+0.00030122i,-0.00022492-0.0006215i,-0.0005565-0.00069141i,-0.00063309-0.0014705i,-0.00016596-0.0017865i,-0.00017853-0.00080737i,-0.00064247-0.00054032i,-0.00086298-7.7102e-05i,-0.0007617+0.00092546i,-0.00037406+0.001097i,2.2349e-05-0.00010795i,4.2829e-07-0.00071719i,0.00016435-0.00053403i,0.00041972-0.00046936i,0.00047906-8.0334e-05i,-0.00029221-2.7825e-05i,-0.00093424+0.00028957i,3.0808e-05-8.6883e-05i,0.00068678-0.00053249i,0.00076185-0.0002915i,0.00084086-0.00025705i,0.00023668-0.00016719i,-0.00011135+5.8447e-05i
-0.0011345-0.00010015i,-0.00058991+2.1287e-06i,-0.00080546+0.0014533i,2.9118e-05+0.0010617i,-0.00010383+9.254e-05i,-0.00036648-0.00047794i,-0.00027833-0.00020652i,-0.00044453+2.8806e-05i,-0.0011895-0.00034445i,-0.001993-0.00011251i,-0.0020222+0.00044401i,-0.0016341+0.00066526i,-0.0010485+0.00041321i,9.5641e-05-0.00014814i,0.0005059-0.00033352i,-0.00019416+0.00019703i,8.3587e-05+0.00037021i,0.0004319+0.00028101i,0.0003219-5.8524e-05i,0.00033914+7.4492e-05i,0.00053692+4.1214e-05i,0.00083102+0.00057271i,0.00043936+0.001291i
-0.00050582-0.0032293i,-0.00013685-0.0026803i,-0.00075342-0.0025547i,-0.0017979-0.0017942i,-0.0019022-0.00053908i,-0.002201+0.00025385i,-0.0016045+0.0025609i,-0.00014778+0.0046812i,0.0015865+0.0047521i,0.0026576+0.0031147i,0.0030165+0.0015583i,0.0022395+0.000885i,0.00051241+0.00011898i,-0.00046252-0.00062194i,-0.00047343-0.00079849i,-0.00021796-6.4957e-05i,-0.00030883+0.00078076i,-0.00099284+0.00053746i,-0.0010331+0.00025359i,-0.0010287+0.00023679i,-0.0011558-0.00026155i,-0.00078692-0.00021639i,-0.00067915+0.00016842i
0.00066453-0.0013604i,0.00075257-0.0013715i,0.0011781-0.0010305i,0.00071457-0.00063017i,0.00036658+0.00013229i,0.00012167+0.0013887i,0.00067634+0.0019791i,0.0010287+0.0021859i,0.0012053+0.001975i,0.0014497+0.0016884i,0.0010309+0.0013787i,0.0011623+0.00037083i,0.0017359-0.00048397i,0.00071416-0.00037371i,-0.000663+0.00026339i,-0.00044824+0.00058168i,-0.00033393+0.00046709i,-0.0003284+0.00018885i,-9.0658e-05+3.1672e-05i,-0.00020312+4.4647e-05i,-0.00054234+4.6684e-05i,-0.00062786+0.00012831i,-0.00073963+4.5982e-05i
0.0022581+0.00070929i,0.0025099-0.00014761i,0.0017321-0.0012277i,0.0011944-0.0015977i,0.00084909-0.00058596i,-0.00067609-3.2374e-05i,-0.0010088-9.2042e-05i,-0.00042216+0.00055293i,0.00019808+0.00045852i,0.0011235+1.7384e-05i,0.0020971+0.00058785i,0.0016648+0.00013081i,0.0010983-0.00073016i,0.00044069-0.00043359i,-0.00013715+0.0002816i,0.00025247+0.00052015i,0.00021727+0.00033387i,0.00024149+0.0004776i,0.00046277+0.00095598i,-0.00019605+0.00092348i,-0.00029398+0.0004488i,0.0001999+5.5944e-05i,0.00013935-0.00044007i
-0.00054752+0.00041791i,-0.00030313+0.00092963i,-0.0007107+0.00058522i,-2.4576e-05-0.00036399i,0.00098116-0.00064299i,0.00042989+0.00047875i,-0.00048141+0.0012626i,-0.00037072+0.001616i,0.00021773+0.0010765i,0.00072901+0.0011188i,0.00070808+0.0009844i,0.00058433+9.8909e-05i,0.00058364+0.00034691i,0.00029568+0.00061621i,-5.589e-05+0.00053078i,-0.00068606-4.9596e-05i,-0.00033597-0.00071669i,0.00040419-0.0003028i,0.00085573+0.00089324i,0.00086198+0.0013126i,6.4139e-05+0.00049963i,-0.00021067-0.00032026i,-0.00045981-0.00020249i
-0.00026251-0.0011649i,-8.9471e-05-0.00072177i,-0.0012606+0.00026072i,-0.002263+0.00047782i,-0.0011547-0.00019002i,-0.00010619+0.00056148i,-0.00013986+0.0015276i,0.00026264+0.00082189i,0.000341-0.00012783i,0.00059195+0.00018055i,0.00072596+0.00090289i,9.4677e-05+0.0003699i,-0.00074655-0.00096836i,-0.00060565-0.00052737i,-8.7232e-05+3.9883e-05i,0.00017967-0.00015652i,0.0002557-0.00011516i,0.00014516-0.00055889i,-0.00014723-0.00047209i,-0.00033011+0.0001981i,-0.00019773+0.00034712i,0.00010614+0.00020798i,0.00050277+1.8717e-05i
0.0011166+0.0013574i,0.001478+1.9992e-05i,0.0018766-0.0007428i,0.0021027-0.00065958i,0.002951-0.00062298i,0.0018453-0.00028586i,-0.0002135+0.00053346i,-0.00015053+0.0011432i,0.00067018+0.0014281i,0.0012461+0.00091952i,0.0013889+0.00032931i,0.00083107+0.00054616i,5.9807e-05+0.00052613i,6.0649e-05+0.00071542i,0.00041309+0.00053796i,0.00030094+0.00018906i,8.3173e-05+0.00020931i,0.00013162+0.00077084i,0.00038659+0.0010216i,7.3506e-05+0.0007122i,-0.00032038+0.00022087i,-0.00020398-0.0003059i,-0.00012815-0.00030362i
-0.00065677-0.00057838i,-0.0010646-0.0009481i,-0.0014116-0.00066022i,-0.0013839-0.00027851i,-0.00082922+7.2246e-05i,-0.00072914+0.00060113i,-0.00020257+0.00064746i,0.00067529-0.00014313i,0.0011771-6.8875e-05i,0.00092582+0.00080952i,0.00061521+0.00062453i,0.00023938+0.00083709i,-0.00059812+0.0014337i,-0.00083254+0.0013094i,-0.00039695+0.00049935i,0.00041485+0.00043019i,0.00071515+0.00091753i,0.00016763+0.00044831i,-0.00015276-0.00035813i,-1.2747e-05-0.00058727i,0.00050947-0.0003148i,0.00037367+0.00080498i,6.2867e-05+0.0012523i
-0.0003916-0.00085344i,-0.00033334-0.00034236i,-0.00040653-0.0011007i,-0.00033564-0.001922i,-0.0003431-0.0015295i,-0.00076196-8.9537e-05i,-0.00058832+0.00098096i,-0.0004089+0.00096799i,-0.00040506+0.00039802i,6.2623e-05+0.00065132i,0.00060553+0.00099343i,0.00060279+0.00064248i,0.0013631+0.00059743i,0.001134+0.00086809i,-0.00066398+0.00061593i,-0.00095532-5.4477e-05i,-0.00060947-0.00043662i,-0.00092832-0.00023398i,-0.00061114+0.00022246i,-0.00038338+0.00037551i,4.5705e-05+0.0001025i,0.00040324+4.4842e-05i,0.00024185-5.5693e-05i
-0.00022558-0.0025882i,-0.00078135-0.0025152i,-0.0013027-0.0025661i,-0.0018387-0.0010542i,-0.0017499+0.00029671i,-0.00094436+0.00048448i,-0.00094362+0.0010511i,-0.00061807+0.0015012i,-4.4043e-05+0.00093923i,0.00042286+0.00020586i,0.0010129+0.00035459i,0.0010154+0.00060596i,0.00075032+0.00018545i,8.8602e-05+1.6885e-05i,3.37e-05+0.00071358i,0.00022446+0.00070529i,-0.00031268+0.00014453i,-0.00062837-0.00035676i,-0.00055623-0.00042486i,-0.00025066-0.00031578i,-0.00010632-0.00020574i,-0.00083647+7.4603e-05i,-0.0011686-0.0006556i
0.00051696-0.0011141i,0.00088172+0.00078883i,0.00057306+0.00099805i,-0.00010055-3.6804e-05i,-0.00042797-0.0001126i,-0.00087258+0.00048193i,-0.00072746-0.00017751i,0.0001119-7.7912e-05i,0.00025985+0.0010893i,0.00038237+0.0015265i,0.0012005+0.00093553i,0.002029+0.00049186i,0.0011306+0.00033916i,0.00019368-0.00024104i,0.00074087-0.00026077i,0.00071149+0.00022688i,4.0648e-05+0.0006588i,-0.00016389+0.000159i,6.6444e-05-0.00068461i,0.00025143-0.00019476i,7.8264e-05+0.00022993i,-3.5878e-05+0.00024692i,0.00056808+0.00031658i
-0.0009988-0.0015238i,-0.0012322-0.0013194i,-0.0012035-0.00057393i,3.1451e-05+0.0010884i,0.0010827+0.0028367i,0.0004069+0.0022924i,-0.00027029+0.0012643i,-0.00024939+0.00025218i,-0.00077411-0.00011027i,-0.00089518+0.00014053i,0.00027134+0.00039344i,0.0012895-0.00028974i,0.00030314-0.0012099i,0.00014618-0.00056561i,0.00081011+0.00050499i,0.00093014+0.00016904i,0.0005963+0.00046941i,0.00017952+0.000501i,0.00012071-0.00023584i,-0.00023507-0.00045608i,-0.00049099-2.886e-05i,-0.00047894+0.00043591i,-0.00044053-6.1782e-05i
-0.0015511-0.00082906i,-0.00037713-0.0011308i,0.00056729-0.00073645i,0.0012641-0.00042967i,0.0014623+0.00052549i,0.00051453+0.0014569i,0.00038886+0.0014424i,0.00016249+0.0011806i,-0.00065943+0.0013549i,-0.00044792+0.00093857i,8.6989e-05+0.00064165i,0.00061245+0.00024555i,0.00041167-0.00055355i,-0.00030761-0.00085284i,-0.00034366-0.0004665i,0.00010846-0.00012235i,-9.4993e-05-0.00035867i,-0.00030977-0.00055925i,-0.00010883-0.00015709i,-1.1081e-05-0.0001562i,-0.00023468-2.4915e-05i,0.00030063+0.00060303i,0.00072463+0.00072891i
0.00075373-0.00031345i,0.00022845-3.4774e-05i,-0.00075234-0.00066702i,-0.0013086-0.0019496i,-0.0014355-0.0014292i,-0.0012157+0.00054413i,-0.00063731+0.00090678i,-0.00044776+0.0010864i,-0.00050865+0.0011874i,-6.2454e-05+0.00065855i,0.0003894+0.00040228i,0.00059642+0.00013853i,0.00069744-0.0004725i,0.00013248-2.8927e-05i,-0.00077636+0.000555i,-0.00043171-0.00025121i,-0.00026732-0.00038725i,-0.00080586+0.00016529i,-0.0011109+0.00061461i,-0.00065149+0.00027053i,-0.00053241-7.2154e-05i,-0.001197-6.1288e-05i,-0.00069974+0.00029685i
0.00082921-0.0044868i,0.00018341-0.0036148i,0.00013563-0.0043216i,-0.00031342-0.0048032i,-0.0016082-0.0026484i,-0.001418+0.00070158i,-0.00034499+0.0018641i,0.00049828+0.00095965i,0.0011543+0.00064438i,0.00059354+0.0010185i,6.5574e-05+0.0012934i,-0.00023665+0.0013365i,-0.00033058+0.0002641i,-0.00055697+6.1645e-05i,-0.001109+0.00022894i,-0.00071672+0.00015768i,-0.00035625+0.0002406i,-0.00062993+0.0002208i,-0.0006751+0.00062771i,0.00011133+0.00027159i,0.0007693-0.00013357i,0.00074116-0.00017034i,0.00054082-0.00010278i
-0.0017862-0.0021774i,-0.0017435-0.0021367i,-0.0014906-0.0021596i,-0.00081297-0.0010039i,-0.00020979+0.00054089i,6.9008e-05+0.0015211i,-0.00033151+0.0019552i,-7.5616e-05+0.00078094i,7.8565e-05+0.00069361i,0.00043672+0.0011258i,0.00071326+0.0009622i,0.00012446+0.00091385i,-0.00010303+0.00032105i,0.00060077+5.4068e-05i,0.0010778+0.00026589i,0.00023278+0.00042545i,1.1687e-05+0.00010184i,0.00078145-0.00034819i,-2.4685e-05-2.6829e-07i,-0.00073379+0.00037655i,-4.8406e-05+0.00019164i,0.00019342+0.00020489i,-0.00022083-3.3877e-06i
-0.00059534+0.0017026i,0.00034486+0.0015677i,0.00013541+0.0019994i,0.00051924+0.0014934i,0.0013204+0.00097229i,0.00093405+0.0010035i,-4.7031e-05+0.0010179i,-0.00050923+0.00096187i,-0.00042161+0.00049513i,-0.0003234+0.00030031i,0.00043219+4.2174e-05i,0.0011854-7.7305e-05i,0.0010856+9.0366e-05i,0.0010972+7.7745e-06i,0.00066209-0.00011489i,0.00010954-0.00069801i,-0.0003321-0.0015175i,-0.00097217-0.0010112i,-0.00075729-0.00010379i,-0.00030142-0.0003901i,-0.000128-0.00068249i,0.0005469-0.00038578i,0.00061818-8.3262e-05i
0.00079554-0.0015868i,0.00041873-0.001272i,0.00028007-0.00069149i,-1.5853e-05-0.0011679i,-8.663e-05-0.00078518i,-4.8046e-05+0.00048106i,-0.00019719+0.0011558i,0.000122+0.0012523i,0.00069669+0.00075383i,0.001023+5.3047e-05i,0.00063914+4.5294e-05i,-0.00031283+0.00043872i,-0.00012166-0.00015486i,-0.00042553-0.00092877i,-0.00083367-0.00069777i,-0.00022419-0.00037206i,0.00020217+0.00015155i,5.5397e-05+0.0007931i,0.00049944+0.00056779i,0.00076608+0.00015345i,0.00019956-0.00029099i,-0.00089619-0.00040281i,-0.0009456-0.00045276i
-0.0012825-0.00077093i,-0.0018805-0.0012808i,-0.0010547-0.0020234i,0.00025649-0.0019029i,0.00047083-0.0010846i,-3.1436e-05-0.00021991i,0.00022911+0.000289i,0.00043384+9.6839e-05i,0.00038269-6.1692e-05i,4.0564e-05+0.00039489i,3.8208e-05+0.00027877i,0.00035915+3.4388e-05i,0.00057162-0.00054666i,0.00067254-0.00054624i,0.00039144+0.00053534i,0.00016013+0.00089346i,5.9358e-05+0.00056775i,0.0003932+0.00058704i,0.00026653+0.00061229i,0.0002993+0.00038474i,0.00016428-4.3623e-05i,-0.00023343-0.00030361i,-0.0006528-1.5217e-05i
0.0005918+0.00034016i,0.00049101+0.0010566i,0.00025971+8.8923e-05i,0.00054522-0.00068222i,0.00014448+0.00063058i,-0.00063443+0.00154i,-0.00053962+0.0010955i,-0.00058734+0.0011577i,-0.00029001+0.00017403i,0.00049728-0.00036802i,0.00061493-0.00037814i,0.00024459-0.00068995i,-0.00017472-0.00057506i,-0.00011916-0.00046383i,-0.00054255-0.00026166i,-0.00044102-0.0001062i,0.00016483-0.0001474i,0.00034063-0.00057373i,7.9988e-05-0.00078869i,0.00044668-0.0010248i,0.00081808-0.0012282i,0.00062823-0.0006859i,-0.00034115-0.00043909i
0.0022162+0.00085665i,0.0017494+0.00021792i,0.0011573+0.00028237i,0.00011211-0.00012764i,-0.00087157-0.0012267i,-0.0011562-0.00086809i,-0.00054235+0.00019836i,0.00017025+0.00021325i,9.4831e-05+0.00054439i,-0.00057809+0.0011658i,-0.00066708+0.00042903i,-1.1986e-05-8.8996e-05i,7.2609e-05+0.00033125i,-6.9039e-06-0.00015982i,0.0001642-0.00015651i,0.0002857+0.00041911i,0.00030811-0.00012384i,-0.00015008-0.00031398i,-0.00027495-0.00026599i,0.00069369-0.00017759i,0.00053259-9.3253e-05i,-0.00047598+0.00012612i,-0.00052544+0.00065044i
-0.00096111+0.00071364i,-0.00042103+0.0014738i,-0.00028841+0.001324i,-8.4393e-05+0.0019406i,-0.00027128+0.0026115i,-0.0009074+0.0016729i,-0.00076003+0.0010657i,-0.00038489+0.0012663i,-0.00033451+0.0015555i,0.0001748+0.0014048i,0.00089775+0.001122i,0.0011913+0.00026371i,0.0008514-0.00020602i,-0.00014324-0.00046097i,-0.00062457-0.00086274i,-0.00055096-0.00082119i,-5.7612e-05-1.9868e-05i,0.00010952+0.00091831i,-0.00012985+0.00073508i,-0.00045006+6.3772e-06i,-0.00055142-0.0006451i,0.00014699-0.00076827i,0.00032902-9.7437e-05i
-0.00042082+0.0012622i,0.00080043+0.0012681i,0.0017172+0.0019208i,0.0014025+0.0016851i,0.00085084+0.00090161i,0.00049808+0.00076892i,3.1577e-05+0.00038864i,-1.9173e-05+2.1354e-05i,0.00048224+0.00034658i,0.0010534+0.00033953i,0.00075429-9.0184e-05i,0.00051201-7.7432e-05i,0.00059624+6.6902e-05i,0.00047484+0.00035032i,0.00033209-0.0001788i,-0.00017343-0.00078077i,-0.00028841-0.00075007i,-0.00017719-0.00044572i,-0.00038167-0.00036235i,-0.00021106-0.00016633i,0.00039436+0.00018543i,-0.00021551+0.00014651i,-0.00079256-0.00043466i
-0.0017224-0.001801i,-0.0010741-0.0012766i,-0.0017883-0.00083832i,-0.00091038-0.00015615i,0.00010031+0.0011396i,1.2215e-05+0.0025599i,-0.00023541+0.0028491i,0.00019733+0.0019027i,0.00085802+0.0012204i,0.00058932+0.0010515i,0.00047131+0.0011631i,0.00012281+0.0014586i,-9.65e-05+0.0012039i,0.00028918+0.000795i,0.0002186+0.00024583i,3.7356e-05-0.0005729i,-0.00059096-0.00035727i,-0.00074548+0.00032724i,-3.3604e-06-7.5475e-05i,-0.0004919-0.00026906i,-0.0011505-0.0002097i,0.00033132+0.00028349i,0.00040822+0.00077147i
0.0007332-0.0014737i,0.00093665-0.002086i,0.0014967-0.003911i,0.00097575-0.0040794i,0.00039897-0.002411i,-0.00048466-0.0004647i,-0.00051869+0.0007627i,-5.0176e-05+0.0010214i,0.00031861+0.00090031i,0.0007121+0.00022452i,0.00081912-0.00041737i,0.00109+4.5968e-05i,0.00068192+0.0001951i,0.00014461-0.00016005i,-1.7842e-05-0.00014975i,3.7348e-05+0.00036529i,-4.4518e-05+0.00010703i,-0.00088801-0.00022205i,-0.0015012-0.00042459i,-0.0010982+0.00017561i,-0.0003403+0.0003031i,-0.00012052+9.417e-05i,-0.00047883+0.00035853i
0.00073964+0.0003131i,0.00027004+2.3842e-05i,0.00018444+0.0005982i,1.0742e-05+0.00062597i,-0.00013801-9.4437e-05i,-0.00022695+0.00064351i,9.7222e-05+0.001669i,9.682e-05+0.0019381i,-0.00041063+0.0011501i,-0.00051034+0.00063073i,-0.0001448+0.0012507i,0.00062635+0.0013884i,0.00056989+0.0012231i,-0.00030935+0.0013004i,-0.00091138+0.00065778i,8.1979e-05+0.00012409i,0.0012799-0.00020266i,0.001175-0.00045718i,0.00051541+0.00034248i,0.0005592+0.00060543i,0.00067185-4.4174e-05i,4.4175e-05+0.00022587i,0.00022242+0.00026111i
-0.00039449-0.0012044i,-0.00065528-0.0010799i,-0.00089199-0.0014449i,-0.00099662+0.00036204i,-0.00091409+0.0017485i,-0.00024729+0.0013319i,0.00020405+0.0015498i,-0.00022813+0.0013156i,-0.00014363+0.00049901i,0.0001718+0.00063821i,0.00059838+0.00073896i,0.00096709+0.00014811i,0.00017104-0.00028586i,-0.00046953+0.00030746i,-0.00029101+0.0007576i,-0.00023415+0.00063078i,-0.0002271+0.00063272i,-1.9722e-05+0.00056818i,-1.5796e-05-0.0002087i,-0.00011795-0.00058304i,-0.00031759-0.00026012i,-0.00052536-0.00068801i,-0.00038029-0.00054673i
