-0.0044094+8.6681e-05i,-0.0032848-0.00015042i,-0.0044642+0.0013853i,-0.0039327+0.0023313i,-0.00085957+0.0019598i,0.00070943+0.0017683i,0.00041021+0.0019325i,0.00093445+0.0016436i,0.0017148+0.0013718i,0.001572+0.0012082i,0.0015092+0.00099627i,0.0011851+0.0010525i,0.00058486+0.001095i,0.00036626+0.0005586i,0.00038203+0.00035451i,0.00012121+0.0013041i,-0.00077447+0.0012618i,-0.00093896+0.00018824i,-0.00037234-6.2352e-05i,0.00016928+0.00044463i,0.00022788+0.00011474i,-7.6021e-05-0.0001776i,-0.00052857+0.00027829i
0.00018488-0.00076151i,0.00054901-0.0010633i,0.0019639-0.00062451i,0.00080813-0.00045705i,-0.0001177-0.00024892i,0.0004639+0.0012164i,0.00068376+0.0018321i,0.00066579+0.0010921i,0.00074192+0.00039012i,0.0010058+0.00052969i,0.0011495+0.00069927i,0.00085318+0.00030686i,-0.00044012-0.00010314i,-0.00095044-0.000463i,-7.1941e-05-0.00067816i,0.0004951-0.00023051i,0.00030786+0.00075002i,-0.00025346+0.0012156i,-0.00046346+0.00059914i,8.6674e-05+0.00023971i,0.00021793+0.00030127i,0.0003923-0.00017993i,0.00069543-0.00033725i
0.0011782-0.00010605i,0.00032332-0.00049806i,0.00055742-0.0012084i,0.00081107-0.0016547i,0.0004625-0.0017174i,-0.00030672-0.00076155i,-0.00011535+8.8527e-05i,0.00031329+0.00049768i,0.00028616+0.00042989i,0.00031515+0.00024019i,-0.00041641+0.00041206i,-0.00088576+6.5096e-06i,-0.00020721-0.00058739i,0.0005952-0.00065847i,1.9735e-05-0.00073115i,-0.000555-0.00052831i,-0.00084504+2.2846e-05i,-0.00074948+0.00027848i,-0.00058303+3.2898e-05i,-0.00072122-0.00037947i,0.00020963-0.00014202i,0.0010196+0.00027984i,0.00039757+0.00025248i
0.00060635+3.6518e-05i,0.00083692-0.00069881i,0.0004603-0.0013923i,0.0010625-0.0012781i,0.0011929-0.00065982i,0.00053559+0.00031817i,-0.00046423+0.0013026i,-0.00049525+0.0013992i,-2.1438e-05+0.00053827i,0.00071319+0.00031426i,0.0011494+0.00059066i,0.00055343-2.6894e-06i,8.7742e-05-0.00069366i,-4.1352e-05-0.00040999i,-0.00027524+0.00016017i,-0.00041192+0.00038838i,-0.00044642+0.00042115i,-0.00021106+0.00045337i,-0.0001532+0.00030866i,-0.00041867+0.00020333i,-0.0001989+7.5586e-05i,-0.00043812+0.00028201i,-0.00094103+0.00045032i
0.00082945-0.0022253i,-0.00027621-0.001342i,-0.0011471-0.0011321i,-0.0017899-0.00043661i,-0.0017904+0.00029646i,-0.0011229+0.0010143i,-8.3246e-05+0.00084571i,0.00062176+0.00043227i,0.00056753+0.00013202i,0.00051554+0.00029595i,0.00027436+8.4076e-05i,0.00041444-0.0011741i,0.0011933-0.0003458i,0.00052895+0.00015741i,-0.00026906-0.0004239i,8.5881e-05-0.00062876i,0.00044155-0.00086026i,0.00083008-0.00088599i,0.00022483-0.00024267i,-0.00057476+0.00067311i,-4.0237e-05+0.00092616i,0.0007431+0.0011003i,0.00037654+0.00088396i
0.00030862-0.00017097i,0.00075637-0.0008459i,0.00097166-0.0016581i,0.00047458-0.0016352i,0.0002582-0.00080048i,0.0010427-0.0004633i,0.0013703+0.00049862i,0.001117+0.00099861i,0.00066234+0.00070996i,0.00077218+0.00079041i,0.0010211+0.00068178i,0.00086962+0.00028298i,0.00063694+0.00027993i,0.00049506+0.00057676i,0.00048177+0.00061294i,0.00067231+0.00037963i,5.9883e-05+0.00012648i,-0.00074611-3.1281e-05i,-0.00084971+0.00037739i,-0.00051163+0.00063205i,-0.00025694+0.00021563i,0.00013102-5.1882e-05i,9.8409e-05-0.00014473i
-0.0012628-0.00083468i,-0.001149-0.0009847i,-0.0015817-0.00060611i,-0.0015507+0.00016036i,-0.0011321+0.0016508i,-0.00078126+0.0021285i,0.00011204+0.0018192i,0.00076209+0.0011169i,0.00010391+0.00045383i,-0.00079414+0.00062511i,-0.00043177+0.00053053i,0.00033696-9.1576e-05i,0.00045152-0.00060953i,-1.8186e-05+4.0075e-06i,-0.00021295+0.00086317i,2.9956e-05+0.00039647i,0.00028995+0.00022028i,0.00012168+0.0006455i,-0.00021208+0.00056944i,0.00010829-0.00054651i,0.00062264-0.00082324i,7.4485e-05+5.9655e-05i,-0.00062061+0.00055948i
0.001174-0.0017849i,0.00075581-0.0017991i,0.00073255-0.0028375i,0.00030481-0.0028953i,-6.6223e-05-0.00173i,-0.00064972-0.00031532i,-0.00092635+0.00031071i,-0.00015446-0.00013676i,0.00060748-0.00034545i,0.0011223-0.00021932i,0.0010635+0.00021147i,-4.1898e-05+0.00073283i,-0.00073642+0.00063406i,-0.00047176-0.00022058i,-0.00024469-0.00030552i,-0.00027815+0.00025183i,-0.00069832-0.00046054i,-0.0013332-0.0010293i,-0.00054715-0.00023881i,-0.00024355+0.00012298i,-0.00068653+0.00041308i,-0.00096835+0.00057343i,-0.0013635-0.000149i
-0.00079194-0.00027068i,9.5104e-06-0.00025288i,0.00052969-5.0421e-05i,6.2857e-05+9.1642e-05i,9.519e-05+0.00056028i,0.00070113+0.00079192i,0.0002815+2.201e-05i,-0.00025058-0.00079555i,-3.3638e-05-0.00033969i,0.00022805+0.00032582i,0.00041258-5.9867e-05i,0.00027472+0.00013181i,-0.00068567+0.00078928i,-0.00064923+0.00069381i,-0.00011919+0.00031328i,0.00040528+0.00028825i,0.0010608-0.00010971i,0.00012292-0.001425i,-0.00073523-0.00094122i,-0.00029434-0.00023616i,0.00043855-0.00073962i,0.0008542-0.00087386i,0.00040382-0.0001648i
-0.0010356-0.0010131i,-0.0006067-0.0011831i,-0.0010517-0.00088006i,-0.00093499-0.00042316i,-0.00022927+0.00055233i,8.0091e-05+0.0018777i,-0.00014129+0.0010999i,-0.00051268-0.00014707i,-0.00023507-0.00086829i,1.4905e-05-0.00024887i,-9.8842e-05+0.00058431i,-4.5613e-05-0.00048171i,4.7933e-05-0.0014375i,-0.00041576-0.0007828i,-0.0011361+0.00058547i,-0.00099772+0.00080478i,-0.00031081+6.8565e-05i,0.00038089-0.00060587i,0.00054322+1.1918e-05i,0.00014728+0.00057036i,-0.00019645+6.3361e-05i,-0.00016285-4.2423e-05i,-0.00056502+5.2795e-05i
-0.0014788-0.00044778i,-0.00098744+0.0010458i,-0.00081612+0.0016491i,-0.00058698+0.0016764i,0.00027527+0.0019783i,0.00011858+0.0012563i,8.1227e-05+0.00058889i,0.00021861+0.00047959i,0.00022285+0.00052923i,0.00046978+0.00088044i,0.00046158+0.0010676i,0.00031002+0.0007515i,0.00021111+0.0001954i,0.00018022-0.00032078i,6.6814e-05-5.769e-05i,-6.9569e-05-5.4997e-05i,-0.00064263-0.00062274i,-0.0012932-0.0006004i,-0.0013004-0.0002887i,-0.0007943-0.00018374i,0.00016315+0.00076897i,0.00045597+0.00064233i,9.9152e-05-0.00032857i
0.00076288-0.00062436i,0.00018854-0.00073216i,5.1202e-05-0.0018072i,0.00026935-0.0012305i,-0.00053097+0.00022806i,-0.0013541+0.00094868i,-0.0014729+0.0014189i,-0.00070181+0.00027202i,0.00015955-0.00099009i,8.1948e-05-0.0011065i,0.00036319-5.5659e-05i,0.00057692+0.0006701i,-5.9091e-05+0.00060571i,-0.00032415+0.00056699i,-0.00017165+0.00046072i,-0.0001044+0.00067373i,0.00020013-0.00021279i,0.00016405-0.00114i,0.00041236-0.00082055i,0.00083392-0.0010315i,0.00063983-0.00044572i,0.00014169+0.00038499i,0.00035581-0.00048715i
0.0004606-0.00077726i,0.00020989-0.00047214i,0.00041263-0.00079298i,0.0002901-0.0018953i,0.00019792-0.0012388i,0.00029496+0.0004487i,0.00055988+0.00069664i,0.00042784+0.00021481i,0.00016163-0.00028205i,-0.00010808-8.1938e-05i,0.00037112+0.00043901i,0.00068114+0.00046105i,0.00012838+0.00051481i,-0.00060715-8.595e-05i,-0.00083663-0.00062473i,-0.00082209-0.000737i,-0.00061269-0.00036975i,0.00032733+0.00016665i,0.0008955-0.00011464i,0.0008006-0.00057845i,-1.1078e-05-0.00061144i,-0.0001408-0.00023517i,0.00018962+0.0003122i
0.00018147-0.0001135i,0.00072494-1.7277e-05i,0.001422+0.0008314i,0.0015444+0.00039938i,0.00060895+6.8835e-05i,0.00065912-0.00015957i,0.00038141-0.00021959i,0.0001039-0.00024178i,0.00045546-0.00012366i,0.00049712+0.00023223i,0.00055665+1.7827e-05i,0.00044437-6.0443e-05i,-0.00024075-9.3031e-06i,-0.00034163-2.7447e-05i,0.00038471+0.00010414i,0.00055061-0.00017454i,1.5031e-05-0.0006534i,-0.00035802-0.0011586i,3.4929e-05-0.0011884i,0.00079517-0.00057347i,0.0011833+0.00020952i,0.00095763+8.9764e-05i,0.00090811-0.00052361i
