-0.0011203+0.0006573i,-0.00020581+0.00045598i,-0.0012347+0.00050013i,-0.0021328-0.00014363i,-0.0030184-0.00013226i,-0.0027348+0.002311i,-0.0012219+0.0029441i,0.00030899+0.0014538i,0.0011936+0.0010755i,0.0011982+0.0018194i,0.00064768+0.0017094i,-6.8015e-05+0.0010191i,-0.00033963+0.00071817i,0.00013662+0.0010522i,-0.00012099+0.00095441i,-0.00034561+0.00087409i,-5.8455e-05+0.00073982i,0.00021143+0.00020836i,-3.3231e-05+0.00032315i,-0.00047174+0.000385i,-0.00017779+0.00016787i,0.00024867-0.00016702i,0.00063754-0.00024345i
-0.00067979+0.00080143i,0.00039447+0.0016611i,0.00031004+0.002631i,-0.00036284+0.0019254i,-5.3211e-05+0.00058798i,3.739e-05-0.00084518i,-0.00019773-0.00054393i,-0.00056485+0.00072444i,-0.00067669+0.0015132i,-2.4154e-05+0.0010218i,0.00051859+0.0005236i,0.0008954+0.00044196i,0.00091848+0.00050624i,0.00047737+0.00016935i,0.00020287-4.9896e-06i,0.00030671+0.00037901i,0.00077919+0.00038258i,0.0013725-7.2395e-05i,0.00087271-0.00053515i,4.4747e-05-0.00062843i,-0.00023464-0.00021425i,-0.00025595-7.4094e-05i,-0.00048712+0.00032723i
0.00082551+0.0017244i,0.0016894+0.0026177i,0.0010569+0.0031984i,0.0012501+0.0025368i,0.00098652+0.00073853i,0.00043497-0.00045349i,0.00021815-0.00077264i,0.0003952-0.0010311i,0.00014033+0.00013987i,-2.3287e-05+0.00058645i,0.0003383+0.00038023i,0.00041526+0.00055021i,0.00067976-0.0005178i,0.00091601-0.00077215i,0.00081054-0.00089184i,0.001226-0.00066295i,0.0018067+0.00055134i,0.00059921+0.00022181i,-0.00057084-0.00060267i,-2.7915e-05-0.0008053i,9.7336e-05-0.0012557i,-0.00075576-0.00084282i,-0.0011803-0.0001141i
0.0012545+8.3132e-05i,0.0021648+0.00021028i,0.0010861+0.00083991i,0.00013766+0.00019276i,-0.00052139+1.8949e-05i,-0.00037208-0.00013491i,-8.6113e-06-8.8143e-05i,0.00018527+0.00054502i,0.00056942+0.0011292i,0.00024047+0.001464i,-6.1714e-06+0.0008174i,-0.00017273-0.0001987i,0.0002253-0.00076596i,0.00045953-0.00056263i,4.5432e-05-0.00023102i,5.898e-06-8.9822e-05i,0.00011893+0.00015232i,0.0003227+0.00011478i,0.00056542+0.00041068i,0.0005711+0.00049581i,-0.00026563-0.00036478i,-0.00098284-0.00049397i,-0.00050544-0.00031642i
0.00036993-0.00076365i,0.00037924-7.517e-05i,-0.00023052-0.00035152i,-0.0008866-0.00072854i,-0.001518-0.00033523i,-0.0016836+0.0009423i,-0.0010467+0.0013856i,-0.00024239+0.00048944i,0.00017647+0.00012914i,-0.00017356+0.0004958i,-7.3722e-05+0.00072018i,4.1504e-05+0.00032887i,0.00019075-0.0001893i,6.7858e-06-0.00062242i,-0.00042394-0.0007513i,-0.00019255-2.2834e-05i,0.00045083-0.00034006i,0.00064997-0.0010665i,-2.1225e-05-0.00085605i,-0.00071079-0.0003288i,-0.00055927+0.00022073i,0.00022398+0.00017867i,0.00079056+0.00016143i
0.0012016+0.0010805i,0.00084576+0.0021034i,0.00054634+0.0021729i,0.00052078+0.0018635i,0.00042148+0.0017922i,0.00031298+0.00076815i,0.00059673-0.00012432i,0.00051125+0.00046801i,0.00028439+0.00094695i,0.00024073+0.0015506i,-0.0002017+0.00088833i,-8.9867e-05-0.00045914i,8.2213e-05-0.00086729i,-4.2832e-05-0.0011239i,-7.271e-05-0.00050575i,-0.00044406+0.00020889i,-0.00024846+0.00045547i,0.00062055+0.0005379i,0.00043929+8.6327e-06i,-0.00043603+0.00014597i,-0.0010869+0.00056102i,-0.0011122+0.00015284i,-0.00013706+0.00044248i
0.0010692-0.00051205i,0.0005308-0.00038211i,0.00083854-0.0014977i,0.00014908-0.0026205i,-0.00093161-0.0025016i,-0.0013828-0.0011658i,-0.00057755-0.00021667i,2.5643e-05-0.00030925i,-0.00018396-6.0855e-05i,0.00045254-0.00012502i,0.0010348-0.00014349i,0.00023707+0.00070703i,-0.00034154+0.000912i,-0.00043208+0.0010308i,-0.00092341+0.00054272i,-0.00061152+0.0006084i,1.4971e-05+0.0015121i,0.00077897+0.0012484i,0.0011097+0.00070732i,0.00041462+0.00029965i,-6.1388e-05-9.6543e-05i,6.7026e-05+0.0005776i,0.00034156+0.0012511i
0.00035032+0.0012315i,0.00083884+0.0016624i,0.0016945+0.0016764i,0.0015409+0.0012137i,3.1137e-05+0.00055246i,-0.00097902+0.00017116i,-0.00039448+7.6728e-05i,0.00020817+0.00013114i,-0.00024526+0.00030391i,-5.3296e-05+0.00025983i,0.00036391+0.00056692i,0.00067951-1.7732e-05i,0.0011293-0.00057636i,0.0010158-0.00023231i,0.00094549-0.00026885i,0.00084239-8.1857e-05i,0.00057204+0.00040239i,-0.00044341+0.00032558i,-0.00045868+0.00019693i,0.00011113+0.00025253i,-0.00012975-5.2233e-05i,-0.00025294+0.00048078i,7.516e-05+0.0012557i
0.0010951+0.0012938i,0.0015103+0.00064926i,0.0011109+0.0013531i,0.00034599+0.0017832i,-0.00011508+0.0011566i,-0.00025961+0.0002517i,-0.00021363-0.00018236i,-2.5459e-05+0.00027876i,-0.00053958+0.00085524i,-0.0008183+0.0011593i,0.00052887+0.0010543i,0.0016184+0.00021836i,0.0013582-0.00033296i,0.00022037-0.00011619i,-0.00037697+0.00053552i,-0.0003989+0.00082165i,-0.00074621-6.5492e-05i,-0.0010512-0.00025517i,-0.00041986+0.00028853i,-6.899e-05+0.00028353i,-0.00055541-0.00012244i,-0.00043673-0.00014058i,-0.00019909+0.00025058i
0.00097537+6.4483e-05i,0.00084011-6.0345e-05i,0.0010042-0.00076127i,0.00077001-0.00071092i,-0.0004583-0.00061199i,-0.0014795-0.00082756i,-0.0010839-0.00047976i,-0.00084008+0.00011004i,-0.0012174+0.0004433i,-0.0011076+0.00047186i,0.00026454+7.3e-06i,0.0006302-0.00046916i,0.00024848-0.00065115i,-0.00038998-0.00077913i,-0.00057199-0.00092055i,1.1026e-05-0.00054967i,0.00041099+8.8279e-05i,0.00045732-0.0001181i,0.00017626-1.9208e-05i,0.00019202-8.1947e-05i,0.00023822-0.00083709i,0.00064311-0.00074744i,0.0011114+9.3732e-05i
0.00076544-0.0010282i,0.00065342-0.00071078i,0.00037607-0.00072559i,-0.0010738-0.0010706i,-0.002526-0.001203i,-0.0020054-0.00045174i,0.00016575-0.00019201i,0.001156-0.00017713i,0.00032055-0.00076448i,-0.0011773-0.00095079i,-0.0011396-0.00029461i,0.00024016+0.00021056i,5.3743e-06+0.00016533i,-0.0006424+0.00022135i,5.4428e-05+0.00029574i,0.00094005+0.00025313i,0.00054871+5.0092e-06i,0.00071847-0.00044709i,0.0011975-0.00072583i,0.00046172-9.7534e-05i,0.00026709+0.00029794i,-6.6745e-05+0.00021447i,-4.1194e-05+0.00024611i
-0.00052661+0.00097787i,-0.00059964-0.00028015i,0.00029243-0.00018603i,0.0010863+0.00062184i,0.00046167-8.0023e-05i,-0.0002806-0.0011876i,4.2652e-05-0.0014168i,0.00028311-0.00091375i,-0.00034728-0.0002384i,-0.00090842+0.00036646i,-0.00029847+0.00088481i,0.00101+0.00079117i,0.00088742+0.0004486i,0.00054571+0.00047097i,0.00024569-4.1035e-05i,0.00033337-0.00038614i,0.00054474+9.4135e-05i,-0.00015339-7.0777e-05i,-0.000213-0.00033757i,0.0003335+0.00016644i,0.00052128+4.4394e-05i,0.00072054-0.001201i,0.00066068-0.00099468i
0.0019713+0.000124i,0.0029038+0.00070038i,0.0024183+0.00032279i,0.00053566+9.1199e-05i,-0.00080455-0.000442i,-0.0015937-0.00064839i,-0.00078427-0.00032889i,2.07e-05+9.1975e-05i,0.00014334-9.3853e-06i,6.4319e-05+0.00017918i,0.00023764+0.00081846i,0.00051569+0.00065111i,-0.00010272-0.00016712i,-0.0002498-0.0012259i,-0.00022702-0.001575i,0.00022275-0.00085333i,0.00031512-0.00042819i,-3.0749e-05-0.0002257i,0.00033816+0.00015771i,0.0011737+0.00043578i,0.0012488+0.00053002i,0.00028615+0.00027431i,-4.2292e-05+0.00012908i
-0.0021892+0.0017889i,-0.002039+0.0026977i,-0.0014227+0.003079i,-7.343e-05+0.0023799i,0.001107+0.00066601i,0.00063123-0.0002763i,-0.00038838-0.00043196i,-7.6333e-05-5.2495e-05i,0.00011167+0.0011328i,0.00053772+0.0016984i,0.0011432+0.0010478i,0.0010865-5.8121e-05i,0.00034626-0.00035873i,0.00017411+0.00021433i,0.0010437+0.00074755i,0.001046+0.00043864i,0.00068934-8.3148e-05i,0.0005322-0.00015812i,0.00049194-9.3174e-05i,0.00037455-7.9557e-05i,0.00015784-0.00017767i,0.00034324+7.096e-05i,-0.00022443+0.00056115i
-8.4181e-05+0.00078729i,0.00063023+0.0013646i,0.00027787+0.0020984i,0.00032754+0.0013924i,0.00015156-6.023e-06i,-0.00075347-0.00072166i,-0.0015042-0.00053258i,-0.0019734-0.00017384i,-0.0010147-0.00040306i,0.00066385-0.00022955i,0.0012962+0.00081555i,0.00088578+0.00070596i,0.00022326-2.2218e-05i,-0.00052334-0.00030752i,-0.00032629-0.00044439i,-0.00033046-0.00025776i,-0.00012665+0.00085489i,0.00061709+0.001523i,0.00010263+0.00054115i,-0.00063667-0.00053678i,-0.00036105-8.3054e-06i,0.00026922+0.00082835i,0.00016695+8.4176e-06i
4.9582e-05-0.0017844i,-0.00081383-0.0012268i,-0.0018511-0.0011359i,-0.0021791-0.001364i,-0.0016408-0.00093788i,-0.001216-0.00061747i,-0.00077683-0.00035712i,0.00028181-0.00051526i,5.6115e-05+5.4793e-05i,-0.00094895+0.0007572i,-0.00093723+0.00032578i,-0.00048457+0.00018765i,-5.5823e-05+0.00073725i,0.00017371+0.00036646i,-0.00030154-5.2352e-05i,-0.00031426+0.0007168i,-0.00016053+0.0012511i,4.8027e-05+0.00081214i,-0.00031506-0.00015107i,-0.0003539-0.00029452i,0.00031785-8.3444e-05i,0.00065144+0.00018438i,-0.00027236+0.00081571i
-0.00042051+0.001451i,-0.00016974+0.0020157i,-4.9868e-05+0.00238i,-0.00043441+0.0013588i,-0.00038326+7.8481e-05i,0.0003657-0.00039735i,0.00032432+0.00012984i,0.00041387+0.00040261i,0.00076459+0.00017932i,0.00012264+4.2017e-05i,-0.0002392+0.00011356i,0.0005446+0.00037166i,0.00053553+0.00019811i,-1.6771e-05-0.00036811i,3.3438e-05-0.00063907i,0.00023942-0.00038628i,0.00050307-8.445e-05i,0.00040209+0.00019561i,-0.00032085+0.00082591i,-0.0013294+0.00051296i,-0.0016092-0.00034663i,-0.00062067-1.9656e-05i,-0.00024954-4.5879e-05i
0.0021454+0.0015476i,0.0036598+0.0017278i,0.0038142+0.0014281i,0.0023847-0.00029535i,0.0011292-0.00089566i,0.0010312-0.00036809i,0.00083267-0.0004984i,8.3422e-05-0.00084933i,-0.00039736-0.00099593i,-0.00031395-7.3811e-05i,0.00040421+0.00021524i,0.00085862-0.00066887i,0.00042388-0.00076231i,-0.00027313-0.00022613i,-0.00041324+7.1855e-05i,-0.00035945+0.00040004i,-0.0006699+0.00011459i,3.3266e-05-0.00026925i,0.00034839-0.00019878i,-0.00035709-0.00031511i,-0.00024212-3.9124e-05i,0.0002133+0.00016516i,0.00026302-0.00033215i
0.002106+0.001413i,0.0021664+0.00093276i,0.0010174+0.00033961i,-0.0010867+0.00021291i,-0.0015873+4.9321e-05i,-0.00064233+0.00014797i,-0.00034757-6.9359e-05i,-0.00017693-0.00059597i,-0.00058135+0.00015497i,-0.0012608+0.00055748i,-0.00058263-8.5833e-05i,0.0006755-0.00073052i,0.001095-0.00077689i,0.0012219-0.00049027i,0.00089047-0.00021153i,0.00049306-1.2268e-05i,-3.2127e-05-0.00042844i,0.00020909-0.0007175i,0.0010528-0.00061227i,0.00043928-0.00066909i,-0.00049194-0.00081609i,-0.00058079-0.0013903i,-7.1377e-05-0.0014211i
-0.00025048+0.0011713i,0.00019291+0.0011748i,0.0008282+0.0011702i,0.0011358+0.00091629i,6.5664e-05+0.00027354i,-0.00098892-0.0009593i,-0.00051283-0.00071806i,0.00037651+0.0002935i,0.00056506+0.00018494i,0.00022828+0.00058674i,0.00015757+0.00071964i,0.0004009+2.0862e-05i,0.00055465-0.00033526i,0.0007574+1.6446e-05i,0.00029173+0.00036748i,-4.9521e-05+0.0001328i,0.00039199-0.00027451i,0.00032651-0.00039372i,-3.1845e-06-0.00093911i,0.00017721-0.0006625i,-0.00021798-9.8271e-05i,-0.00085861-0.00011807i,-0.0003905+0.000122i
0.00091747+0.003027i,0.0013978+0.0030496i,0.0019584+0.0024654i,0.0018825+0.0012912i,0.0018146-7.3661e-05i,0.00037167-0.00084605i,-0.00057587-0.00074454i,-0.00011943-9.138e-05i,0.00025228+5.36e-05i,0.00045665-0.00027134i,0.00070776-0.00054194i,0.0012436-0.00035389i,0.001359+0.0003102i,0.00081964+0.000142i,0.00070689+0.00016294i,0.00047013+0.00023272i,0.00023729+0.00028658i,0.00046567+0.0004039i,-8.0548e-05-3.5481e-05i,-0.0010765+0.00048941i,-0.00088838+0.00092913i,-0.00051549+0.0007478i,-0.00041421+0.00093885i
0.00064475+0.00098629i,0.00057875+0.00046151i,0.000618+1.7745e-05i,0.00023463-0.00080631i,-0.00091505-0.002098i,-0.0020636-0.0024546i,-0.0014124-0.0016399i,-5.4823e-05-0.0010747i,0.0002459-0.00091222i,0.00013883+7.738e-05i,2.1194e-05+0.00083904i,0.00051917+0.00049897i,0.00051382+1.5074e-05i,0.00032303-0.00065322i,0.00037988-0.00056956i,0.00042218+0.00029627i,0.0001251+0.0007781i,-0.00038745+0.0010525i,-0.00058469+0.0007176i,-0.0001905+0.00030473i,-0.00033135+0.00023596i,-0.00077394+0.00041616i,-0.00091635+0.0004256i
0.00057055-0.0014489i,-0.00033064-0.0010088i,0.00018912-0.00081835i,0.00050707+0.00011232i,-0.00020054+0.0015642i,-0.00067763+0.0020908i,-0.00033449+0.001633i,0.00021557+0.00078608i,-0.00025152+0.00043523i,-0.00053633+0.00062231i,-8.7672e-05+0.00070668i,-0.0001246+0.000513i,-0.00044519-0.00013413i,7.3906e-05-0.00069393i,0.00047346+0.00052571i,0.0005338+0.00083987i,0.00070953-9.7759e-05i,0.00053139-0.00018113i,0.00032705+0.0007179i,-0.00023561+0.00071486i,-0.00055681+0.0005645i,-0.00071926+0.00084278i,-0.00035443+0.00067868i
-0.00012333+0.00024988i,-0.00039449+0.00199i,6.357e-05+0.0019406i,0.00016159+0.0010651i,0.00033458+0.00012433i,0.00058539-0.00027169i,0.00048177-0.00080203i,0.0011579-0.00069187i,0.0010791+0.00018923i,-0.00019345+0.00073866i,-0.00061456+0.00066687i,-0.00047706+0.00029219i,-0.00067048-0.00047864i,-0.00055714-0.00090494i,0.00018124-0.00095161i,-0.00021774-0.00069335i,-0.001013-0.0004466i,-0.00035323-0.00025629i,0.00013419-2.5659e-05i,9.7124e-05-0.00027288i,-0.00086538-0.00031811i,-0.0010583-6.024e-05i,-0.00058475-0.00037839i
0.00080716+0.00025119i,-0.00018872+0.0012186i,-0.00024208+0.00037038i,-0.00042883-0.00070465i,-0.00096747-0.0006334i,-0.0015269-0.00065687i,-0.00088315-0.00045024i,0.00024711-8.7829e-05i,0.00024836+0.00020021i,-2.6801e-05+0.00036157i,0.0003276+8.504e-05i,0.00081583-6.7071e-05i,0.00058044-6.2713e-05i,0.00022179+7.0056e-05i,0.00021009+0.00046751i,0.00035691+0.00034315i,0.00048167+8.4765e-05i,0.00090616-1.0185e-05i,0.00080187+0.00013201i,2.5294e-05+0.00059568i,-0.00035417+0.00067401i,0.00038523+6.2618e-05i,0.00052115-0.00029699i
-0.0017158+0.00083725i,-0.0019131+0.0018276i,-0.0015593+0.0021963i,-0.0014098+0.0021342i,-0.0010961+0.0013245i,-0.00088521+0.0003314i,-0.0010396-0.00021857i,-0.00069982-0.0006266i,-0.00039364-0.00028914i,-4.6556e-05+6.2525e-05i,0.0005206-2.0546e-05i,0.0010318+0.00036506i,0.00058843+0.00081305i,0.0006407+0.00034183i,0.00054408+0.000597i,-0.00021433+0.0012474i,-0.00013817+0.0012345i,0.00021167+0.0011521i,0.00020861+0.00038576i,0.00015086-0.00069773i,0.00018582-0.00073456i,-6.3146e-05+5.4597e-05i,-0.00039771+0.00016177i
0.00022496+0.00055384i,0.0013903+0.00023395i,0.0022256+0.000363i,0.0020242+0.00063061i,0.0002041+0.00032634i,-0.0018046-0.00019725i,-0.0014207-0.0002961i,-0.00023366+0.00030295i,-0.00053736+0.00028388i,-0.00060697+0.00036664i,6.5383e-05+0.00088664i,0.00039219+0.00084072i,0.0003627+0.00058665i,-9.6052e-05+0.00022794i,2.3731e-05-0.00077135i,0.001098-0.00075614i,0.0017359-0.00019008i,0.00096787-0.00056249i,0.00068897-0.0006453i,0.00078427-0.00012705i,3.1688e-05+0.00019454i,-0.00053842+0.00078708i,-0.00047552+0.00083911i
0.0022322+0.0003837i,0.0020271+0.00059234i,0.00058551+0.00095258i,0.00053297+0.00014282i,0.00043501-0.00069698i,-0.00075602-0.0011074i,-0.0010007-0.00027607i,-0.00074201+0.00066781i,-8.7521e-05+0.00112i,0.00071942+0.0016706i,0.0007113+0.0018448i,0.00025282+0.00072698i,0.00019888-9.2571e-06i,0.00045267-0.00027965i,0.00028907-0.00082756i,-0.00047299-0.00022821i,-0.00075172+0.00033886i,-0.00038815+0.00034969i,-4.3884e-05+0.00047685i,0.00021191+2.91e-05i,0.0004856-0.00052409i,0.00044816-0.00075882i,0.00090062-0.00078114i
-0.00027596+0.0012142i,-0.00042443+0.0019104i,-0.00027075+0.0025655i,0.0012649+0.0013117i,0.001309-0.00026873i,-0.00023511-0.00027369i,-0.00087054+2.2876e-06i,-0.00089741-0.00010509i,-0.00050371+0.00023139i,0.00029504+0.0007357i,0.0011558+0.00039037i,0.0020477-0.00018195i,0.0018203-7.3144e-05i,0.00025457+0.00021582i,4.1315e-05-9.3681e-05i,0.0007421-9.0724e-05i,0.00030878-0.00043676i,4.0549e-06-0.00059743i,0.00016091+3.9879e-06i,-8.8943e-05+0.00020402i,-0.00015489-0.00012301i,0.0001752-0.00030756i,0.00020057+0.00039913i
0.00034994+0.00075654i,0.00028966+0.00059596i,-0.00042217+0.0015847i,-0.00025487+0.0011074i,-0.00039784+0.00074561i,-0.00051461+0.00016177i,1.9683e-05-0.00073146i,0.00033087-0.0006371i,0.0002971+0.0002957i,-0.00041865+0.00065407i,-0.00033162+0.00033018i,0.00085718-0.0001233i,0.0010505-0.00076116i,-0.00016007-0.00078527i,0.00024729-0.00036837i,0.00067039+1.9106e-05i,-0.00012823-0.00012005i,-0.00028939-0.00045468i,-3.7982e-05-0.00061539i,8.9431e-05-0.00010994i,0.00035896+0.00068945i,-0.00013984+2.2117e-05i,-0.00072692-0.0009037i
0.0013702+0.00044895i,0.0024647+0.0010691i,0.0024892+0.00067708i,0.00072567+4.6082e-05i,-0.0010494+0.00012364i,-0.0016437-0.00014441i,-0.0014333-0.00050901i,-0.00049744-0.0011237i,-0.00014087-0.00078697i,-0.00069742+9.3753e-05i,-0.0001179+0.00029619i,0.00038622+0.00041644i,0.00030775-7.6227e-06i,-0.00036638-0.00042431i,0.00011446-0.00010218i,0.0011965+0.00029791i,0.0010177-3.455e-05i,0.00067495-0.00023667i,2.5511e-05+0.00035943i,-0.00025551+0.00042972i,9.9236e-05+0.0001358i,-4.038e-05+0.00016725i,3.2365e-05+0.00033312i
-0.0012434-0.0010576i,-7.214e-05-0.0014296i,0.00012221-0.00036401i,8.3173e-05+0.00037817i,0.00026621+0.0011345i,5.3799e-05+0.0017166i,0.00028964+0.00085286i,0.0005165+0.00059551i,-3.1668e-05+0.001275i,-0.00059121+0.00085489i,-0.00047167+0.0002858i,-7.8966e-05+0.00042296i,-2.3516e-05-0.00018692i,-0.00030243-0.00037507i,-0.00054255+6.1747e-05i,-0.000808+0.00039351i,-0.00074234+0.00048278i,-0.00016873+0.00050624i,-0.0001328+0.001153i,-0.00023401+0.00096245i,0.00033752+0.00078958i,-0.00019183+0.00082962i,-0.00059095+0.00029967i
