-0.00090043+0.00076462i,-0.0012882+0.00022655i,-0.0027127+0.00026301i,-0.0020353+0.00086961i,-0.0011187+0.0024814i,-0.0011243+0.0031944i,-0.00065455+0.0029287i,0.00011828+0.0022475i,0.00010445+0.0012043i,0.0003228+0.0004526i,0.00014678-0.00045138i,-0.00047552-0.00059881i,-0.0009783+0.00019584i,-0.0012371+0.00012876i,-0.00094198-0.00011448i,-0.00081456-7.9266e-05i,-0.0014693-0.00035983i,-0.00085331-0.00014452i,0.00036834-0.00011526i,0.00074255-0.00041935i,-1.0385e-05-0.00036133i,-0.00043959-0.000193i,-0.00031201-0.0001227i
-0.0018013+0.00071281i,-0.0027544+0.00044904i,-0.0026644+0.0010441i,-0.0013762+0.00099511i,-0.00050019+0.0011537i,0.0002136+0.0014264i,0.00035507+0.00046889i,0.00026727+0.00017737i,0.00021144-0.00042335i,4.3943e-05-0.0005046i,-0.00019357+0.00019433i,-0.00038117+0.00023951i,-0.00068992+0.00040281i,-0.00078545+0.00049181i,0.00011811-3.8149e-05i,0.00058356-0.00051366i,0.00026716-0.00058255i,0.00055731-0.00012344i,0.00068409-0.00017484i,0.00016223-0.00045504i,-0.00051233-0.00061217i,-0.00022869+3.0892e-05i,0.00062369+0.00027077i
0.00070083+0.0011525i,0.0004109+0.00062746i,-0.00048323+0.00085776i,-0.00076943+0.0006913i,-0.00063053-0.00016111i,-0.00059133-0.00021043i,-0.0010037-0.00012021i,-0.00074658+0.00011571i,0.00062006+6.9657e-05i,0.0010503-0.00026282i,0.001206-0.0013234i,0.00069781-0.0016066i,-9.5771e-05-0.00044415i,0.00010852-0.00027232i,-0.00018446-0.00026941i,-0.0011053+7.7583e-05i,-0.00096902-0.00051447i,-0.00051259-0.00054032i,-0.00070299+0.00063178i,-0.00081219+0.0009131i,1.1999e-05+5.3239e-05i,0.00061444-0.00012063i,0.00049397-0.00012476i
-0.00060176+0.0011937i,0.00018822+0.0012837i,-0.00011037+0.0018704i,-0.00067325+0.00086746i,-0.00077194+1.9262e-05i,-0.0005382+0.00076728i,-0.00054455+0.0012252i,-0.0011206-1.8136e-05i,-0.00085734-0.00075641i,-0.00040307+0.00046233i,0.00021633+0.00040049i,0.0005771-0.00033068i,0.00036344+8.1384e-05i,-7.0461e-05+0.00027058i,-0.00045954-8.8758e-05i,2.1989e-05-0.00049468i,0.0003099-0.00074238i,-0.00019787-0.00049456i,-0.0010823-8.5443e-05i,-0.00077069+0.00043732i,-0.00013309+0.00092153i,0.00040017+0.00097201i,0.00073728+0.00052792i
0.00042288-0.0017045i,-0.0010795-0.0014734i,-0.0016579-0.00055499i,-0.00086405+0.00021496i,-0.0010134+0.00070198i,-0.0014425+0.0012554i,-0.0002636+0.001016i,0.00094002+0.00038444i,0.00021326-0.00026447i,-0.00020741-0.00068014i,0.00056688-0.00076232i,0.00079027-7.9945e-05i,-6.0066e-05-0.00074161i,-0.00063642-0.0016671i,-0.0009745-0.0014529i,-0.00073057-0.0011092i,7.4862e-05-0.00082757i,1.4716e-05-0.00058839i,-0.00016885-0.00042453i,0.00018581-0.00067888i,0.00033153-0.00038099i,-0.00027131+3.9473e-05i,-0.00071011+1.1196e-05i
0.00089667+0.0027895i,0.00041848+0.0034943i,0.0006724+0.0028898i,0.00041018+0.00050271i,7.199e-05-0.0007013i,-0.00042402+0.00040032i,-0.0011247+0.0015214i,-0.00043408+0.0010244i,0.00086299+0.00042422i,0.0020703+0.0010789i,0.001652+0.00098782i,0.0006813+1.2007e-05i,0.00071048-0.00047037i,7.1334e-05-0.00034113i,-0.00068116-0.00025789i,-0.00017632-0.00030386i,0.00049387-0.0001803i,-0.00026382-0.00050911i,-0.00080809-0.00062876i,-0.00064771+0.00030976i,-0.00044185+0.00049034i,0.0003579+0.00085747i,0.00056068+0.001907i
-0.0014955+0.00083365i,-0.0018667+0.0010071i,-0.00024754+0.0015333i,-4.6343e-05+0.0011621i,-0.00099061+0.00026738i,-0.0010144+0.00050941i,-0.00076249+0.00041279i,-0.0005294-0.00029409i,-0.00049261+3.1042e-05i,-0.00029724-0.00012299i,0.00018781-0.00038558i,-7.2065e-05-0.00039646i,0.00014258-0.0011892i,-9.865e-05-0.00099376i,-0.00089659+7.6132e-05i,-0.0009031-0.00034046i,8.2478e-05-0.00037522i,0.00034911+0.00035055i,4.5438e-05+0.00047204i,0.00046333+0.00050441i,0.00055464+0.00078728i,0.00059269+0.00044902i,0.0013285+0.00018657i
-0.00075502+0.00043683i,-0.0010584+0.00030111i,-0.0010833+0.00029654i,-0.0003869+0.00058793i,-0.00023176+0.00056202i,-0.00058697+0.0011425i,-0.00046596+0.001681i,0.00035011+0.00072265i,-0.00010394-0.00010857i,-0.00090089-0.0008556i,2.0461e-05-0.0011879i,0.00078237-0.00050535i,0.00017404-0.00023403i,0.0004952-0.00052077i,0.00059488-0.00081284i,0.00063708-0.00070844i,0.00075223-0.00048698i,0.00024135-0.00031703i,-0.00015421-0.00018638i,1.0489e-05-0.00074944i,-0.0001621-0.0011511i,-1.766e-05-0.00054894i,0.00037348+3.1198e-05i
0.00064044-0.0011507i,0.0005622-0.0015942i,3.1625e-05-0.00083236i,-0.000121-0.00095369i,-0.00053397-0.00066189i,-0.0006802+0.0003472i,-0.00039362+0.0001355i,-4.9961e-05-0.00020389i,0.00086403-0.00052062i,0.00037748-0.00042492i,-0.00017231-0.00083907i,-0.00016992-0.0011668i,-0.0010216-0.00093885i,-0.0011873-0.00098897i,-0.0015189-0.00036787i,-0.0017168+0.00016408i,-0.00091297+0.00063129i,-0.0001738+0.00074498i,0.00027754-0.00012077i,1.6716e-05-0.00072476i,-2.1928e-05-0.00050217i,0.00028704+0.00055103i,0.00043346+0.00040303i
0.00099444+0.00036418i,0.00047453+0.00054633i,0.00091565-0.00031201i,0.00047216+2.9856e-05i,-0.00032346+0.00062907i,-0.0010901+0.00072971i,-0.00076297+0.0006507i,0.00010423+0.0003033i,-0.00018711+0.00018107i,-0.00013147+0.0003559i,-0.00016531+0.00048362i,-0.0005594-0.00062929i,-4.2276e-05-0.0011992i,0.0011475-0.0010212i,0.00092267-0.0011554i,-6.3633e-05-0.00087564i,-5.4845e-05-0.0010687i,0.00024949-0.0014343i,-7.0238e-05-0.00041922i,8.189e-05+0.00036066i,0.00054059-0.00032605i,-0.00018091-0.0006663i,-0.00036304-0.00044032i
-0.0016563-0.0025723i,-0.00228-0.0025573i,-0.0025737-0.0028776i,-0.0025437-0.0013481i,-0.0022835+0.00016469i,-0.0016659+0.00093439i,-0.00075329+0.0010476i,-0.00013323+0.00069851i,-0.0010138+0.00022845i,-0.0014299-0.00020393i,-0.00073752-0.00014197i,-0.00065842+0.00018693i,-0.00069403+0.00046182i,-0.00081541+0.00050763i,-0.00092437+0.00069736i,-0.00072807+0.00095818i,-0.00055993+0.00099399i,-0.00060997+0.00040339i,-0.00096021+0.00012622i,-0.0015028-0.00015007i,-0.0010062+0.00018949i,0.00019883+0.0010596i,0.00072856+0.0015883i
-0.0016449+0.00095515i,-0.0028168+0.0012386i,-0.002855+0.0010605i,-0.0015085+0.0012535i,-0.0010731+0.001858i,-0.0021042+0.0014262i,-0.002099+0.0012445i,-0.00127+0.0011033i,-0.00069876+0.00035909i,-0.00029619-0.00040522i,0.00013024-0.0002236i,4.3007e-05+0.00014382i,-0.00032009+0.0004103i,0.00010601-0.00020966i,0.00038583-0.0012847i,0.00035207-0.001176i,0.00023954-0.0006403i,-0.00021766-0.00030033i,-0.00029474-0.00070054i,1.0374e-05-0.0013048i,0.00034735-0.00044558i,0.00027613+0.00027958i,0.00024495+0.00016923i
0.00080729+0.0013456i,0.0012394+0.001934i,0.0011633+0.002614i,0.00020363+0.0013822i,-0.0014067+0.00017469i,-0.0011788+0.00089685i,-0.00020656+0.0011989i,-0.00070154+0.00026814i,-0.00078935-0.00024351i,-0.00066951-0.00058279i,-0.00026192-0.0012018i,0.00023217-0.00052528i,0.00012607+0.00030362i,-0.00047701-0.00025911i,-0.00071735-0.00073129i,-0.00033668-0.00040474i,-0.00046822+1.7545e-05i,-0.00043106+0.00032322i,-0.00035262-7.7775e-05i,-0.00018138-0.00023485i,0.00067013+0.00024339i,0.0014195+0.00040484i,0.00085054+0.00085369i
-0.00017783+0.0013116i,0.00039271+0.00089591i,0.00054274+0.00088241i,0.00043035+0.00065866i,0.00050657+0.00024777i,-0.00079585+0.00035926i,-0.0010944+0.00076721i,-0.00037843+0.00082015i,-0.00088901+9.5289e-05i,-0.00056157-0.00091369i,0.00052729-0.00039621i,0.00065834+0.00083885i,-0.00014479+0.0012527i,-0.00089835+0.00062623i,-0.00031215+5.466e-05i,-0.0001344-0.00074349i,-0.0003064-0.00088345i,6.9701e-05-0.00037172i,-0.0002377-0.00043549i,-0.0012321+0.00034643i,-0.0011064+0.00063666i,-0.00026692-6.7637e-05i,-3.4574e-05-0.00040339i
-0.00013937-0.0015048i,-0.00053416-0.0016657i,-0.00082815-0.00075176i,-0.0013549-0.00036124i,-0.0021836+0.00059764i,-0.0017808+0.0019703i,-0.00041448+0.0020633i,9.3409e-05+0.00099318i,0.00048072+0.00068639i,0.00077788+0.00040449i,0.0006074+2.9817e-06i,0.00050298-0.00047173i,0.00059569-0.00037789i,0.00023718-3.5311e-05i,0.00021785-0.00065004i,5.6452e-05-0.001002i,-0.00030166-0.00063516i,0.00020751-0.00048877i,0.00076724+0.00024321i,0.00083558+0.00077902i,0.00084245+0.00048956i,-8.171e-05+0.00020812i,-0.00083748+0.0002335i
-0.00076846+0.0024775i,0.00038945+0.00089078i,9.3136e-05+0.0010087i,-0.0004582+0.0017033i,-0.00048454+0.0013987i,-0.00031172+0.00056264i,-0.00027894+0.00029841i,-0.00044113+2.7607e-05i,-0.00015563-0.00035748i,9.718e-05-6.0086e-05i,0.00096463+0.00054206i,0.001447+0.00020288i,0.0012542+0.00025623i,0.0007798+0.00041766i,0.0011009-0.00022539i,0.0012651-0.00073635i,0.00017046-0.0014577i,-0.00054046-0.0011325i,-0.00010076-0.00014296i,0.000426-5.5874e-05i,0.0004721+0.00031329i,0.00019388+0.0011065i,0.00033657+0.0010559i
0.00082438-0.00051648i,0.00011156-0.00033379i,-0.00036487-0.00025182i,-0.00096228-0.00034653i,-0.0012296-0.00066219i,-0.0019393-0.00037301i,-0.0020028+0.00068456i,-0.0012296+0.0010639i,-0.0012457+4.1502e-05i,-0.00075101-0.0010252i,0.00061529-0.0014945i,0.0011155-0.0013494i,0.00019368-0.0008341i,-0.00052464-0.0010778i,-0.0010381-0.00098759i,-0.00069056-0.00083148i,-0.00035906-0.00069893i,0.00010952-0.00016947i,-5.1797e-05+9.3406e-05i,-0.00057213-0.00011362i,0.00023228-0.00013169i,0.00070132+0.00052177i,0.00042703+0.00081413i
-0.0023661-0.0028107i,-0.0024208-0.0021346i,-0.0031083-0.00058185i,-0.0036109+0.00095322i,-0.0026471+0.0021549i,-0.0022478+0.0030499i,-0.0023293+0.0022083i,-0.00098821+5.7847e-05i,-5.1383e-05-0.0009326i,0.00011466-0.00042575i,-0.00024325-0.00034254i,-0.00064366-0.00088346i,-0.00046472-0.0010511i,-0.00054083-0.00055374i,-0.00020956+0.00023594i,-0.00014926+0.00029727i,-0.00054938-0.0013486i,-0.00064099-0.0014861i,-0.00012578-0.00016337i,0.00075601+7.5582e-05i,0.00041407+6.8411e-05i,-3.3748e-05+0.00035869i,0.00032028+0.00068658i
-0.0008166+0.0017275i,0.00010682+0.00096133i,0.0012099-1.8814e-05i,0.00063105-0.00062122i,-0.00039832-0.00042827i,-0.00074875-0.00035119i,-0.00067783-0.00035903i,-0.00015994-0.0001279i,0.00038898-1.538e-05i,0.00062093-0.00012631i,0.00065661+5.0664e-05i,0.00074796+0.00040738i,0.00074788+0.00028782i,0.0006431+0.00061621i,0.00023254+0.00089691i,-0.00066943+0.00059568i,-0.0010244+6.7658e-05i,-0.0002765-0.00038987i,-0.00032236-0.00098367i,-0.0008073-0.0008856i,-0.00042005+0.00031267i,-0.00039572+0.00094063i,-0.00020319+0.0005527i
-0.0018994+0.0014274i,-0.0026476+0.0017038i,-0.0032493+0.0019169i,-0.0018046+0.00059153i,-0.00034883+0.00038957i,-0.00056298-0.00013198i,-0.00039626-0.0002324i,2.1449e-05+0.00062119i,-4.6001e-05+0.0010124i,-0.00053261+0.00099585i,-0.00058325+0.00026379i,-0.00055298-0.0001815i,-0.000213-0.00025733i,0.00045811-0.00050776i,0.00075455-3.9931e-05i,3.9137e-05+0.00018863i,-0.00017262-0.00030868i,8.2222e-06-0.00014642i,9.0555e-05-2.1953e-06i,0.00032062+0.00028235i,0.00071924+0.00059432i,0.00099818+0.00072681i,0.0006715+0.00019269i
-0.00016473+0.00099915i,-0.00034289+0.0013801i,-0.00058619+0.0019411i,-0.0011574+0.00050869i,-0.00076684+0.00012465i,1.199e-05+0.0011922i,-0.00011031+0.0017144i,-0.00033006+0.0016541i,-0.00038476+0.0011844i,1.5031e-05+0.00056117i,0.00040668-0.00028678i,5.1221e-05-0.00066121i,-0.00030772-0.0005513i,-0.00014221-0.0005174i,-0.00016563+7.4267e-05i,-0.00032975-7.927e-05i,0.00023468-0.00025523i,0.00024996+1.3591e-05i,-0.00036228-0.00033131i,-0.00014498-0.00023105i,-0.00010009+0.00016614i,-0.00028003+0.00060399i,-0.00010054+0.0010093i
-0.0012637-0.0016613i,0.00010332-0.0014049i,-0.0002478-0.00075497i,-0.001334+0.00010255i,-0.0021444+0.00059636i,-0.0019415+0.00069141i,-0.0015604+9.4708e-05i,-0.0010035-0.00041116i,-0.00039177-9.1463e-05i,-0.00020095+0.00012558i,-0.00025233+9.7821e-05i,-0.00070916+0.00042769i,-0.0010114+0.0012119i,-0.00043157+0.00067788i,0.00052234-0.00013714i,0.00084665-2.3616e-05i,0.00056245+7.9878e-05i,0.00030934-1.7514e-05i,0.00030067+1.7085e-05i,0.00053786-0.00015346i,0.00023657-1.7252e-05i,0.0001777+0.00074383i,0.00016345+0.00044044i
-0.00032298-0.00075132i,-0.00076542+0.0002918i,-0.00047707+0.00096188i,-0.0009438+0.0011114i,-0.0019054+0.0010304i,-0.0010783+0.0016087i,-0.00045376+0.0014006i,-0.00018809+0.00016947i,6.8815e-05-0.00046203i,9.0323e-05+0.00011146i,-2.7029e-05+0.00058708i,3.0238e-05+0.00024827i,0.00026215-0.0004822i,0.0002136-0.0014429i,-0.00041034-0.001259i,-0.00056014-0.00059055i,-0.00046061-0.00096473i,-0.00061164-0.00086751i,0.00023569-0.00070766i,0.0016023-0.0010789i,0.0017822-0.00059242i,0.0010932-0.00036704i,0.0010094-0.00057109i
-0.0012243+0.0026223i,-0.00139+0.0026058i,-0.0014069+0.0028321i,-0.00012259+0.0020075i,0.0014055+0.0012614i,0.0014443+0.00052074i,0.00024479+0.00039288i,0.00014535+0.00039095i,0.00073762+0.00033001i,0.00078374-5.7474e-05i,0.00042834-0.00035035i,-2.3336e-05-0.00039194i,-0.00035192-0.00066741i,0.00019301-0.00015568i,0.0008655+0.0001822i,0.00017164-3.991e-05i,-0.00011334-1.9022e-05i,-0.00022805-0.00025952i,-0.00081642-0.00058366i,-0.00069876-5.2379e-05i,-0.00066179-3.8336e-05i,-2.1118e-05-0.0002543i,0.00038504+0.0002632i
-0.0011591+0.0019885i,-0.0011826+0.0021954i,-0.00029085+0.002257i,-0.00068307+0.0016156i,-0.0015577+0.00037134i,-0.002176-0.0003842i,-0.0018202+4.3652e-06i,-0.00056105-0.00017031i,-0.0005336-0.00046866i,-0.0013104-8.0566e-05i,-0.00095028-0.00046226i,0.00035014-0.001099i,0.00078718-0.0012429i,-1.6164e-05-0.001207i,9.1971e-05-0.00047488i,0.00055572-0.0001417i,0.00059605-0.00027904i,0.00060136-1.6019e-06i,0.00013373+0.0010534i,0.00014718+0.0018212i,0.00052874+0.001359i,0.00048801+0.00079461i,-0.00015633+9.0103e-05i
0.00042267-7.5144e-05i,-0.0010267+0.00021575i,-0.0016451+0.00027366i,-0.0014887+0.00015348i,-0.00080343+0.00064039i,-0.00024035+0.0010194i,-0.00038407+0.0010543i,-0.00066745+0.00083296i,-0.0008106+0.00019194i,-0.00048223-0.00033949i,0.0005197-0.0003297i,0.00079313+0.00021068i,3.8893e-05+0.00054027i,-0.0010367+0.00067214i,-0.00078481+0.00032283i,-0.00023153+0.00015103i,-0.00015295+0.00091462i,0.00016629+0.00058067i,-0.00076967-0.00026484i,-0.00076085-0.00043983i,0.00010171-0.00050766i,-1.4937e-05-0.00059859i,3.4594e-05-0.00031959i
