-0.0012437+0.002462i,-4.5702e-05+0.00050151i,0.00072566-0.00037571i,0.001931+0.0013022i,0.002451+0.0032155i,0.0020395+0.0021915i,0.0014189+0.00019356i,0.0011127+0.00067129i,0.0016157+0.00086442i,0.00094869+0.00023889i,0.00042595-0.00027729i,0.00095095-0.0007118i,0.00057062-0.00046343i,-0.00035269-0.00013075i,-0.00013139-8.1779e-05i,0.0008148+0.00027363i,0.00099949+0.00065492i,0.00014721+0.00044903i,-0.00026338-0.00021358i,-0.00027382-0.00046239i,-0.00026289-0.00042662i,0.00050311-0.00098951i,0.00064681-0.0012245i
0.00011388+3.1203e-05i,-0.00076046+0.00087084i,-0.00093182+0.0015909i,-0.00046431+0.0034425i,0.00066779+0.0031116i,0.0012174+0.0014879i,0.00099608+0.00046408i,0.0010616-0.00048935i,0.00098262-0.0010173i,0.00048261-0.00034814i,-1.0998e-06+0.00015916i,0.00028733+0.00059761i,0.00052352+0.00096359i,0.0002095+0.0010627i,-0.00055861+0.00078774i,-0.00011633-0.00014665i,0.00035538-0.00027225i,-0.00018798-0.00019172i,-0.00024108-0.00066068i,0.00023435-0.0005759i,0.00050721-0.00043847i,0.00030191-3.7707e-05i,-0.00022396+0.00016513i
0.00096959+0.00095424i,0.0013999+0.00025928i,0.00044595+0.0003215i,-0.00039247+0.00031494i,0.00025824+0.00093094i,0.0016484+0.0014898i,0.0017753+0.00040807i,0.00106-0.000731i,0.00071452+7.1108e-05i,0.00043604+0.0012075i,-0.00054038+0.0012788i,-0.00092749+0.00062232i,0.00034206+0.00036531i,0.00084172+0.00024749i,-0.00026237-0.00024556i,-0.0003852-0.00053962i,0.0003666-0.00095276i,-0.00011791-0.00069106i,-0.00052123+6.3694e-05i,-0.00058481-0.00022288i,-0.00016997-0.00072347i,0.00050784+9.9878e-05i,0.00031512+0.00048355i
-0.00013463+0.0021276i,0.00086726+0.0018824i,0.0027403+0.0020797i,0.00327+0.0020553i,0.0025769+0.0014166i,0.0018294+0.00016461i,0.0016695-0.00097112i,0.00082051-0.0010466i,0.00023224-0.0002078i,0.0005483+0.00053028i,0.00065852+0.00066162i,0.00015404+0.00053658i,2.7183e-05+0.00038067i,0.00021135+0.00016615i,-0.0005158-0.00010029i,-0.0011132+0.00014367i,-0.00059349-8.6354e-05i,-0.00015597-0.00063554i,-0.00028228-0.00070574i,-0.00024468-0.00013701i,0.00023792+0.00074843i,0.00067241+0.00065468i,0.0012188+0.00018958i
-0.0013531-0.0010979i,-0.0012398+0.00018525i,-0.0017753+0.0029419i,-0.0024896+0.0033462i,-0.0012984+0.0029827i,0.00022633+0.0026755i,0.0010862+0.0010724i,0.00089988+0.00056791i,-0.00012992+0.00091261i,-0.00074477+0.00069415i,-0.0010916+0.0006986i,-0.0010345+0.00084808i,-0.0011837+0.00051711i,-0.0011064+8.2119e-05i,-0.00080126+0.000116i,-0.00070628+0.00041501i,-0.00016045+0.00064853i,-8.2671e-05+0.00083255i,5.2814e-05+0.00041389i,9.2251e-05-0.00032637i,-0.00020634-0.00039428i,-0.00020606-0.00040946i,-0.0006433-0.00048635i
0.00053185+0.0018517i,0.0013358+0.0018497i,0.0022592+0.0026229i,0.0023551+0.0028276i,0.0021392+0.0024201i,0.001969+0.001109i,0.0014962+2.6717e-05i,0.0011264-0.00058832i,0.0012694-0.00011368i,0.0017092+0.00060705i,0.0012458+0.0010995i,0.00059618+0.00023923i,0.00059052-0.00074729i,0.00082284-0.00084918i,0.00086809-0.00017682i,0.00068592+0.00043505i,0.00020797+0.00052591i,0.00012097+0.00026559i,-0.00032999-0.00011785i,-0.00084376+1.9641e-05i,-0.00094212+0.00067845i,-0.00094591+0.0006552i,-0.001401+0.00045817i
0.00059274-0.001604i,-5.4417e-06-0.001814i,-0.0011161-0.00066834i,-0.0015924+0.00042212i,-0.00052019+0.0019432i,0.00091164+0.0029739i,0.0017372+0.0019608i,0.00091724+0.00050065i,0.00067296-0.00036054i,0.0011726-0.00023865i,0.00053306-4.283e-05i,0.00012844+0.00023188i,0.00047313+0.0002189i,0.00028555-0.00034988i,-0.00011085-0.00040102i,-0.00033956+0.00048686i,-0.00046047+0.00042157i,-0.00047535-4.7867e-05i,-0.00080559-0.00035236i,-0.00066859-0.00049306i,-7.2737e-05-0.00023797i,0.00010685-6.2538e-05i,-0.00048193-5.1896e-05i
-0.0018492+0.000248i,-0.0010968+0.00081028i,-0.00029049+0.0012498i,0.00036271+0.0022638i,0.0010575+0.0025422i,0.0020531+0.0020704i,0.0018221+0.0011217i,0.00098924+5.7082e-05i,8.3207e-05-0.00041183i,-0.00031286-0.00046164i,-5.0236e-06-0.00065129i,0.00012588-0.00099391i,0.00030146-0.00090098i,0.00034843+0.00023326i,7.2722e-05+0.00070456i,0.00026713+0.00045746i,0.00062387+0.0001057i,0.0003027+9.2298e-05i,-0.00019283+0.00026511i,-0.00040392+0.00010833i,0.00011563-4.545e-05i,0.00063068+0.00034519i,0.00064275+0.00012247i
0.001898-0.0045102i,0.00044485-0.003903i,-0.001161-0.0034074i,-0.0019798-0.0011611i,-0.0010208+0.0017593i,0.00021762+0.0024536i,0.0010917+0.000877i,0.001384-0.00028909i,0.00058536-0.00025195i,0.00040801-0.00018094i,0.00053866-1.0706e-05i,0.00026667+8.112e-05i,-5.02e-05-1.1293e-06i,-0.00028896+0.00029147i,-0.00014166+9.5285e-05i,5.7811e-05-0.00028642i,0.0008646+0.0002077i,0.00013226-6.5284e-05i,-0.00074026-0.00023573i,0.000412-1.7406e-05i,0.00027948-2.9028e-06i,-0.00043625+7.161e-05i,-0.00023183+0.0002075i
-0.00041325-0.00051563i,-0.00029155-0.000991i,0.00062086+0.00047301i,0.00068752+0.0011105i,0.00018879+0.0015911i,0.00077934+0.0011548i,0.0019294-0.00026792i,0.0019016-0.00029271i,0.00020032-6.7638e-05i,-0.00016458-0.00092827i,0.000395-0.00083279i,8.2936e-05+0.00018408i,-2.7504e-05+0.00059546i,-7.5237e-05-0.00010345i,-0.00052912-0.00030235i,-0.00065355+0.00090028i,0.00015252+0.0013494i,0.00083926+0.00015642i,0.00050291-0.00069689i,0.00011939-0.00051965i,0.0005193+4.686e-05i,0.00054206+0.00034883i,0.00039736+0.00036237i
7.618e-05+4.7225e-05i,0.00035237+3.1268e-05i,0.00034698+0.0012484i,0.0011154+0.0024399i,0.0011156+0.0021647i,0.00066328+0.0012494i,0.00037364+0.0003124i,2.2503e-06-0.00028753i,0.0005351-0.00041264i,0.00049725-0.00019688i,0.00026166-0.0005749i,0.00054855-0.0011047i,0.00018288-0.00044407i,-9.9298e-05-4.8648e-05i,-0.00034511-0.00033019i,-0.00019793-1.5285e-05i,0.00055048+0.00031386i,0.0005461-0.00011906i,-0.00052251-0.00041882i,-0.0010554-0.00051742i,-0.0010612-0.00026077i,-0.00068781-0.00051674i,0.0002086-0.00060636i
0.00031195+0.0005958i,1.2258e-05+0.0012892i,-0.00055874+0.0023524i,-0.00064848+0.0028334i,0.00012404+0.0030263i,0.00035931+0.0023727i,0.00091026+0.0009823i,0.00034899-2.2181e-05i,-0.00030909+0.00019323i,6.2525e-05+0.0005665i,0.00010591+5.8602e-05i,0.00013545-0.00058917i,-6.9172e-05-0.000332i,3.7888e-05+0.00037632i,2.5925e-05+0.00023319i,5.5569e-05-0.0007116i,0.00026679-0.0001211i,0.00046716+0.00048407i,0.00014016+0.00023664i,-0.00035101-0.00045699i,-0.00085097-0.00047249i,-0.0007122+3.0986e-06i,0.00013166-0.00020282i
0.0011829-0.0012593i,0.00072575-0.0014043i,0.0013511-0.0011177i,0.0015022-0.0007631i,0.00030581+0.00067744i,-9.3771e-05+0.0016558i,0.00050908+0.0011222i,0.00096876+0.00042403i,0.00097963-0.00010244i,0.00025335-0.00059618i,0.00032401-0.00034418i,-8.7982e-05+0.00015271i,-0.00075566+4.809e-06i,-0.00083822-0.00014343i,-0.00033963+0.00030062i,4.6312e-05+0.00073649i,-0.00022165+8.3943e-05i,-0.00045633-0.00043593i,-3.9912e-05-0.00011394i,0.00032244-5.8224e-05i,1.764e-05-0.00026217i,-0.00019635-0.00020948i,-1.4807e-05-0.00020693i
-0.0021212+0.0017012i,-0.0018931+0.0015436i,-0.0010982+0.0023667i,2.2735e-05+0.0032839i,0.001292+0.0028012i,0.0021919+0.0013365i,0.0023134+0.0006786i,0.0018317+0.00078144i,0.001383+0.00091698i,0.00017439+0.0008584i,-0.00073287+0.00057733i,-0.0002217+0.00073011i,0.00047051+0.0010129i,0.00044026+0.00052181i,0.0002219+0.000274i,0.00067621+0.00029789i,0.0010453-0.00032458i,0.00048553-0.0009765i,0.00032904-0.00029427i,0.00045712+0.0001683i,-0.0003804+1.0806e-05i,-0.00091888-0.00042907i,0.00016244-0.00036918i
-0.00036713-0.0010176i,-0.00073881-0.00015963i,-0.0016216+9.986e-05i,-0.001705+0.0014768i,-0.0016609+0.0026624i,-0.00032741+0.0017719i,0.00071581+0.00062653i,0.00064982+8.5628e-05i,0.0007475+0.00046147i,0.00081401+0.0010657i,0.00024663+0.0010679i,-1.1046e-05+0.00083545i,-0.00037348+0.00066816i,-0.00093979+2.0436e-05i,-0.00079449+0.00055195i,-0.00030424+0.0012312i,-0.00014826+0.00043821i,-4.104e-05-0.00018644i,0.00057874-0.00040155i,0.0009408+2.1184e-05i,0.00044782-0.00010482i,0.00028002-0.00039349i,0.00025559-0.00023262i
-0.0044485+0.00071748i,-0.0039867+0.00085312i,-0.003635+0.0028716i,-0.002813+0.0045378i,-0.0007357+0.0047037i,0.0010079+0.0033259i,0.00074259+0.0016273i,-0.00019313+0.00047765i,-0.00037556+0.00037672i,0.00019091+0.00097201i,0.00054284+0.00073007i,0.00016349+0.000221i,0.00018733+0.00055795i,0.00067145+0.00035532i,-0.00022885-4.4712e-05i,-0.00079183+0.00053837i,0.00011932+0.00047004i,0.00082339-0.00052298i,0.00069678-0.00041293i,-0.00027827+0.00049913i,-0.00096363+0.0010826i,-0.00082412+0.00084902i,-0.00063719+0.00036915i
-0.00018493-0.00019096i,-0.00089048+0.00085343i,-0.0016601+0.001924i,-0.00091427+0.0025011i,-0.0001029+0.0031726i,0.0010222+0.0025617i,0.0013997+0.00089635i,0.00076957+0.00079353i,6.9681e-05+0.00046429i,-0.00012158+0.00015389i,0.0005261+0.00029378i,0.00031283+0.00011081i,-0.00078795-5.7405e-05i,-0.00073194+0.00023376i,-0.00079193+0.00013787i,-0.00089794+0.00020375i,-0.00086424+1.1459e-05i,-0.00059817-0.00075191i,-0.0005117-0.00060035i,-0.0005238+1.4309e-06i,-0.00039564-0.00031294i,0.00011757-0.00076039i,0.00031447-0.00022337i
0.00069252-0.00021846i,0.00020545-0.00018696i,-0.00031864-0.0010306i,0.00069477-0.00077138i,0.0019155-0.00036587i,0.0021404+0.00051305i,0.0016237+0.00057801i,0.00085767-0.00046795i,0.0010073-0.00050355i,0.00048773-0.0001107i,0.00064222-0.00044478i,0.0011583+7.9657e-05i,0.00047844+0.00099582i,-0.00072687+0.00066159i,-0.0012624-3.0379e-05i,-0.00041364-0.00046375i,0.00029416-0.00017305i,-0.00013798-0.00025757i,-0.00022103-0.00013504i,-0.0005209+0.00048323i,-0.0013255+0.00020717i,-0.00090933-1.7147e-05i,-0.0002518-0.00010603i
-0.00076289+0.00035239i,-0.0020455+0.00016062i,-0.0022498+0.00036811i,-0.002359+0.0017987i,-0.0015391+0.0030178i,0.00017685+0.0028357i,0.0010155+0.0013148i,0.00031678+0.00011185i,-0.00013736-0.00017094i,8.6236e-05-0.00046943i,0.00048085-0.00059496i,0.00062665-0.00019067i,0.00027801-6.1666e-05i,0.00019895+2.0773e-05i,0.00021804+0.00020842i,0.00074285+0.00046577i,0.0013475+0.00029686i,0.0013706-0.00045816i,0.00038113-0.00089714i,-0.00070023-0.00072393i,0.00033399-0.00065965i,0.0014961-0.00042459i,0.0006307+0.00014404i
-0.0013159-0.0010793i,-0.001713-0.00061786i,-1.1504e-05+7.4925e-05i,0.00094865+0.0010817i,0.0005592+0.0025962i,0.00046799+0.0031923i,8.214e-05+0.0018607i,-0.00017033+0.0011382i,-0.00044772+0.00066919i,-0.00010597-0.00058276i,0.00034875-0.00087918i,-0.00020983-0.0004692i,-0.00026483-0.00035717i,-3.1442e-05+0.00049347i,-0.00035557+0.00073556i,-0.00061199-0.00030206i,0.00018138-0.0014165i,0.00069775-0.0013803i,-0.00022551-0.00083683i,-0.00044655-0.0013412i,-0.00031511-0.0013913i,-0.00010897-0.00073504i,-9.8711e-05-0.0003569i
-0.00062014+0.00011385i,-0.00079562-0.00015878i,-0.00065444+0.0010139i,-0.00098185+0.00173i,-0.00047676+0.0017009i,0.00062186+0.0015355i,0.0019603+0.0013945i,0.0015777+0.0013482i,0.00044318+0.00067841i,9.0527e-05+0.00017863i,0.00045125+0.00057802i,0.00083087+0.0008258i,-0.00010763+0.00039391i,-0.00061172-0.00041818i,-0.00063525-0.00036849i,-0.0010218+0.00037069i,-0.00019937-0.0002151i,0.00066118-0.00094935i,0.00057344-0.0012788i,0.00049056-0.0011642i,0.00053242-0.00036183i,-0.00019308+0.00030468i,-0.00058846+0.00056698i
-0.00072648-0.001479i,-0.00082047-0.0012861i,-0.00092509-0.00057955i,-0.00040791+0.00069096i,0.00074353+0.0025935i,0.001389+0.0027063i,0.00076952+0.0012876i,0.00015928-9.4988e-05i,-0.00021544-0.00092349i,-5.4268e-05-0.00084233i,0.00055881-0.00068648i,0.00070491-1.2882e-05i,0.0010492+0.00070843i,0.00059371+9.5178e-05i,-5.9274e-06+0.00030561i,0.00043691+0.0012681i,0.00082659+0.00055299i,0.00090398-0.00037079i,0.00056936-0.00046642i,1.177e-05-0.0004042i,7.1104e-05-8.301e-05i,-0.00010139+7.3988e-05i,-0.00067804+7.466e-05i
0.00061457+0.00075775i,0.00025432+0.0013521i,0.00013943+0.0014495i,0.00021683+0.0013154i,0.00027211+0.0020741i,0.00090357+0.0022267i,0.0015514+0.0011784i,0.00062574+0.00083463i,7.0275e-05+0.00023015i,0.00028283-0.00081228i,5.9866e-05-0.00096762i,-1.5591e-05-0.00065447i,-0.0001432-0.0010259i,-0.00046343-0.00096491i,0.00023078-0.00016957i,0.00091391+4.1798e-06i,0.00031483-0.00021343i,-0.00047253-0.00039677i,-0.00012865-3.8959e-08i,0.00028271+0.00035787i,0.00053455+0.00016442i,-8.6861e-05-0.00033819i,-0.00087778-0.00059224i
-0.0010821+8.2254e-05i,-0.0011693+0.00056874i,-0.0015995+0.0013876i,-0.00081462+0.0023429i,-0.00018706+0.0026292i,0.0015347+0.0022498i,0.00179+0.00068597i,-8.7321e-06-0.00032002i,-7.7587e-05-0.00030684i,-0.00011801-0.00030605i,-0.00091766-0.00050937i,-0.00065887-0.00022642i,9.8465e-05+0.00087162i,0.0003708+0.0016034i,0.00031744+0.00099017i,0.00031625-0.00047778i,0.00046628-0.0011851i,8.4327e-05-0.001414i,0.00023616-0.0012366i,0.00058969-0.00045317i,-1.9605e-05-0.00025182i,0.00016116-6.997e-05i,0.00046664+0.00056913i
0.00019816+0.00029826i,0.001162+0.00036444i,0.0013821+0.00089457i,0.00089431+0.0019506i,0.00089236+0.0033847i,0.0016795+0.0028972i,0.0023582+0.00050523i,0.0018225-0.00047875i,0.00075905-0.00057464i,-0.000234-0.00059311i,-0.00067767-0.0004746i,0.00024806-0.00030722i,0.00047767-0.00033973i,0.00024032-0.00072197i,0.00035458-0.0012873i,0.0007116-0.001558i,0.00037365-0.001096i,-0.00015111-0.00066773i,-0.00032466-0.00053678i,0.00011463-0.00075066i,0.00061838-0.00038647i,0.00033203-0.00022239i,0.00045379-0.00065791i
-0.00089558+0.00077067i,-0.0010424+0.0018388i,-0.00042768+0.0014297i,-0.0001892+0.0022434i,-3.3001e-05+0.0033694i,0.0010635+0.0024911i,0.0021774+0.00090126i,0.0015039+0.00010396i,0.00049106+0.00033916i,0.00024501+0.00056452i,-0.0001841+0.00035404i,5.1475e-05-0.00028172i,0.00059337-0.00043198i,-0.00010293-0.00017085i,-4.8912e-05+0.00062384i,0.00060587+0.00091637i,0.00057799+1.0436e-06i,0.00030116-0.00074145i,5.053e-05-0.00030906i,-0.00042101+0.00014151i,-0.00096128-0.00026993i,-0.00086905-0.00022097i,0.00017191-0.00011188i
-0.0016109-0.00028733i,-0.0018761+0.0010397i,-0.0015004+0.00060054i,-0.0011854+0.00087114i,-0.00058468+0.0028455i,0.00075894+0.0033845i,0.0013294+0.0021295i,0.0011696+0.0011169i,0.0010291+0.00054782i,0.00039926+0.00035821i,0.00016732-0.00020515i,0.00093446-0.00067486i,0.00034426-0.00018026i,-0.00043791-0.00032548i,-0.00054714-0.00020328i,-0.0011966+0.00010736i,-0.0012677+0.00034308i,-0.00026385+0.00058855i,0.00057888+8.3036e-05i,0.0011226-0.00020795i,0.0007154-3.394e-05i,-6.4647e-05-0.00038267i,-0.00040307-0.00096391i
-0.0016555+0.0005429i,-0.0025247-0.00058566i,-0.0023683+0.0004875i,-0.0015913+0.0017109i,-0.00026627+0.0020297i,0.0009601+0.0021545i,0.0014096+0.0010376i,0.0011183+3.2108e-05i,0.00074458+0.00044709i,0.00044333+0.00057164i,0.00014725+0.00038936i,-0.00010282-0.00017909i,-1.065e-05-0.00030636i,6.6332e-06-0.00026279i,0.00022854-0.00036711i,0.00025381-0.00061834i,-0.00018053+0.00014298i,-5.2287e-05+0.0008681i,-0.00015648+9.3994e-05i,3.7159e-05-0.0004039i,0.00037583+0.00035263i,-0.00016719+0.0010079i,-0.00068191+0.0008945i
-0.0024783-0.00043304i,-0.0019767+0.00016678i,-0.00029291+0.00061854i,0.0007006+0.0011345i,0.00051687+0.0016787i,0.0011738+0.0014779i,0.0010985+0.0010635i,0.00015983+0.00040933i,-6.5618e-05+0.00028765i,0.00016459+0.00052347i,0.00019989-2.9401e-05i,-0.00049614+8.5769e-05i,-0.00085744+0.00044037i,-0.00079979+0.00029728i,-0.0004957+0.00029195i,-0.00024885+0.00041285i,2.4635e-05+0.00013256i,0.00038542-0.00013621i,-8.1779e-05-0.00046593i,0.00018244-0.00035039i,0.00050142+5.8136e-05i,0.00058285-9.946e-05i,0.00046464-0.0004237i
-0.0031405+0.001268i,-0.0031793+0.0013789i,-0.0030645+0.0026i,-0.0017943+0.0041969i,-0.0002429+0.0045478i,0.00085208+0.0030242i,0.00085026+0.00079191i,-3.6926e-05+0.00019107i,-0.00013602+0.00051687i,0.00014443+0.00046451i,0.00011669+0.0006549i,0.00022225+0.00019923i,5.159e-05+0.00070209i,-0.00012591+0.0015313i,-0.00014245+0.00067054i,0.00044044+0.00038966i,0.00097225+0.0009165i,0.00033462+0.0011729i,-0.00047908+0.00069861i,-0.00012209+0.00024488i,-9.8205e-05-0.00070345i,-0.00087013-0.0010074i,-0.0011873-0.00022005i
0.0006781-0.00072364i,0.0017874-0.0001835i,0.00052843-0.00037023i,-0.0011325+0.0005121i,-0.00043461+0.002287i,0.00051946+0.0022137i,0.00018635+0.00064519i,6.8434e-05-2.8206e-05i,0.00051316+0.0001649i,0.0010615-0.00059005i,0.00084683-0.00073568i,0.00036749+0.00057784i,0.00045896+0.00030375i,0.00045558-9.702e-05i,-0.00026356+0.00064786i,-0.00071881+7.0782e-05i,-0.00067005-0.00077771i,-0.00040497-0.00019104i,-0.00032509-2.5735e-05i,-0.00013987-0.00085039i,-0.00041144-0.00079564i,-0.00084946+1.964e-05i,-0.00058087+0.00021621i
-0.00063243-0.0008203i,-0.00065591+0.0010348i,-0.0012989+0.0018396i,-0.0014764+0.0024482i,-0.00044199+0.0034393i,0.0015411+0.0035493i,0.0021957+0.0026963i,0.0014391+0.0016192i,0.00079182+4.7071e-05i,0.00051637-0.00056592i,0.00046921-0.00037527i,0.00033152-0.000611i,-0.00015949-0.00056581i,0.0004598-0.00018274i,0.00085493-2.2605e-05i,0.00042341-6.9769e-05i,0.0011151-0.00030048i,0.0017893-0.0005673i,0.0012927-0.00029672i,0.00040033-7.2783e-05i,1.0924e-06+0.00024075i,0.00059909+0.00066806i,1.8217e-05+0.00029174i
0.00087909+0.00048535i,0.0014336-0.00074256i,0.0012815-0.00068075i,-0.00014851+0.001367i,-6.4606e-05+0.0027005i,0.0016325+0.0015993i,0.0019229+0.00016316i,0.00073925-0.00066365i,0.00054701-0.00036669i,0.00051572-0.00053765i,-0.00012235-0.00067305i,-0.00018741-0.00031711i,-0.00031234-0.00093901i,-7.7116e-05-0.00092956i,0.00058107-0.00041689i,-0.00029263+5.9631e-05i,-0.0010438-7.9597e-05i,-0.0006028-0.00051241i,-0.00011937-0.00066659i,-0.00015311-8.9281e-05i,-0.0013911+0.00037043i,-0.0012022+0.00041672i,0.00023332+0.00042408i
0.00088415-0.000836i,0.0018324-0.00010538i,0.001599-0.00096635i,0.0005563+0.00014857i,0.0005724+0.0017607i,0.0013962+0.0019359i,0.0015428+0.00092027i,0.0014053-0.00039773i,0.0012556-0.0012011i,0.00062363-0.00092602i,8.2596e-05-0.0012476i,-0.00010545-0.0013642i,-0.0003868-0.00047956i,-0.00019218+0.00019523i,0.00040408+0.000517i,0.00013133+0.00055994i,0.00014224+0.00031939i,0.00062761-0.00028385i,0.00084001-0.00046083i,0.00042033-0.00022211i,0.00019095+0.0004345i,4.2681e-05+0.0012795i,1.4178e-05+0.00060639i
-0.00036279+0.0020257i,-8.6439e-05+0.0015516i,7.5621e-05+0.0023043i,0.00078451+0.0031145i,0.0011277+0.0033865i,0.00071978+0.0021316i,2.6287e-05+0.00030077i,0.00028746-6.4178e-06i,0.00075245+0.00019451i,0.00060224+0.0004124i,-0.00024075+0.00073844i,-0.00068059+0.00062354i,-0.00053636-8.5206e-05i,-0.00034363-0.00096522i,-0.00043344-0.00046291i,-9.8611e-05+0.00014213i,0.00034839+0.00030443i,0.00013517+0.00022868i,0.00033354-0.00013826i,0.00037902-0.00013861i,-0.00013295-0.00011947i,-4.9071e-05-0.00073875i,0.00038326-0.00068887i
-0.00028617-0.0014269i,-0.0004872-0.00040747i,-0.0010733+0.00053551i,-0.00044818+0.0020619i,0.00063415+0.0032992i,0.0015511+0.00285i,0.0014592+0.0015504i,0.00053496+0.00097944i,-5.1463e-05+0.00040996i,-0.00037512+8.6925e-05i,-0.00025192+0.0005776i,0.00033803+0.00094352i,0.00024567+0.00010315i,3.9526e-06-0.00086374i,-0.00048842-0.00056936i,-0.00073917+0.00026242i,6.462e-05+0.00073974i,0.00060553+0.00061445i,0.00033217+3.416e-05i,0.00027432-0.00026113i,-6.9237e-05+0.00010611i,-0.00011063+0.00035741i,0.0002773+0.00081233i
0.0006222-7.0625e-05i,0.00040664+0.00050422i,-2.9788e-05+0.00082764i,-3.7591e-05+0.00041796i,0.001112+0.0010149i,0.0012323+0.0018715i,0.00098746+0.0012622i,0.00037281+0.0010261i,-9.1428e-05+0.00046271i,4.6226e-05-0.00010564i,-0.00052024-0.0002182i,-0.0005001-0.00054041i,0.00020912-0.0012435i,0.00053083-0.002529i,0.00019524-0.0022931i,3.058e-06-0.0010261i,-0.0005851-0.00032255i,-0.00070191-0.00042702i,0.00066692-0.00047212i,0.00049727+0.00044267i,-0.00054305+0.00017214i,-0.00069529-0.0010774i,-0.00092545-0.0011566i
-0.00049738-0.0014421i,-0.00023004-0.00082771i,-0.0011275+0.00018812i,-0.0013661+0.0017478i,-0.00078525+0.0024526i,0.00018667+0.0022234i,0.00085082+0.0010677i,0.0010653+0.00023319i,0.00079126+0.00021397i,0.00075473+0.00036358i,0.0005656+0.00065848i,0.00020249+0.00052217i,-0.00026837+0.00096954i,-0.00069371+0.0010545i,-0.00085427+0.00052766i,-0.00098434-0.00022099i,-0.00099626-0.00057234i,-0.00041688-0.00027288i,-0.00070319-0.00038934i,-0.00077629-0.00021089i,-0.00013475+0.00032913i,0.00012144+0.00066741i,8.5973e-05+0.00079784i
0.00074078-0.0019249i,0.00055618-0.0015037i,0.00069449-0.0002025i,0.00036012+0.0010016i,0.00029265+0.0022348i,0.0010994+0.0013171i,0.0016157+0.0002618i,0.0012112-3.3234e-05i,0.00028789+0.00018005i,1.1914e-05+0.00023596i,-0.00044592-6.1805e-05i,-0.0010275+0.00039936i,-0.0012186+0.00044672i,-0.00088531-0.00023173i,-0.00088072-8.4261e-05i,-0.0013637-0.00077893i,-0.00096475-0.00075657i,7.6135e-05-0.00042234i,0.00045611-0.00058528i,0.00035241-0.00015138i,3.2471e-05-0.00026046i,0.00022552-0.00054557i,4.1902e-05-0.00066034i
3.1535e-05+0.00071299i,-0.00011801+0.00082444i,0.00045177+0.0018397i,-4.774e-05+0.0027051i,-0.00050608+0.0026689i,0.00033988+0.0019747i,0.0013279+0.00096432i,0.0010191+0.0010343i,0.00081808+0.00080895i,0.00087399-0.00036939i,0.00032111-0.00039693i,-0.00036258-0.00017574i,-0.00065108-0.00083302i,-0.00018378-0.00055352i,0.00020691+0.00075782i,-0.00054836+0.00080331i,-0.0011203+7.5467e-05i,-0.00012111-0.00099969i,0.00058-0.0010084i,-6.5781e-05-0.00016104i,-0.00038633-2.1772e-05i,-0.00025932-0.00045798i,0.00017431-0.00064061i
-0.00069114+0.0013815i,-0.00042678+0.0016599i,-0.0011233+0.0024067i,-0.0010584+0.0030101i,0.00043362+0.0029564i,0.0017926+0.0019671i,0.0014252+0.00069911i,0.00056688+0.00017775i,-0.00028797-0.00020234i,-0.0011705-0.00063145i,-0.00048122-0.00093932i,0.00036204-0.00025924i,0.00075347+0.00056207i,0.001208+3.7262e-05i,0.00084149-0.00096689i,-0.00020881-0.0010012i,-0.00091216-0.0002557i,-0.0011515-6.2977e-05i,-0.0011522-0.00065843i,-5.0943e-05-0.00042396i,0.00033962-0.00022658i,-0.00023463-0.00067413i,-0.00015283-0.00079585i
-0.00047812-0.00044282i,-0.0005168-0.00069323i,-0.00053631-0.0014383i,0.00025057-0.00067126i,-0.00034081+0.0016428i,-0.0012049+0.0019066i,-9.4262e-05+0.00087428i,0.0006179+0.00024048i,-0.00016732+0.00038674i,-0.00038254+0.00016035i,-0.00017613+0.00066191i,-8.0639e-05+0.0013914i,-0.00015794+0.00071289i,-0.00077571+0.00019122i,-0.0006975-0.00064929i,-0.00023937-0.0014974i,-0.00038948-0.00066136i,-0.00086099+0.00010933i,-0.00069483+0.00045739i,-0.00045642+0.00083753i,-0.00054662+0.00029193i,-0.00064439-0.00022736i,-0.00083656-0.00019993i
0.00049412+1.5927e-05i,0.00092653+0.00090533i,0.00058548+0.0025446i,0.00037303+0.0033225i,0.0009346+0.0029176i,0.0022562+0.0016319i,0.0017673+0.00045967i,0.00068904-4.5829e-05i,0.00081113-0.00039214i,0.0010429-3.7888e-05i,0.0011189+0.00073013i,0.0014676+0.00031498i,0.0012932-0.00089613i,0.00065216-0.0011336i,0.00040771-0.00057285i,9.5337e-05-0.00054127i,0.00027218-0.00017286i,-0.00012569+0.00056554i,-0.00065521+0.00027787i,-0.00029827-0.00020548i,0.00037039-0.00048144i,0.00061999-0.00062773i,0.00041094-0.00055428i
0.002379+0.00055643i,0.0011078+0.00084309i,4.0679e-05+0.0011714i,0.0003122+0.0011957i,0.0014779+0.0021784i,0.00092058+0.0027136i,0.00041081+0.0015734i,0.00042054-0.00010212i,0.00032223-0.001047i,0.00048246-0.00072995i,3.2373e-05-0.00066795i,-0.00080766-0.00087931i,-0.0010575-0.0003235i,-0.0010668+0.00024233i,-0.00031585-2.087e-05i,4.478e-05-0.00040799i,-0.0002793-0.00044103i,-0.00050836-0.0010247i,-0.0010432-0.00091092i,-0.00093576-1.9992e-06i,-0.00068418+0.00021427i,-2.8218e-05+0.0005575i,0.0006093+0.001046i
