-0.0012437+0.002462i,-4.5702e-05+0.00050151i,0.00072566-0.00037571i,0.001931+0.0013022i,0.002451+0.0032155i,0.0020395+0.0021915i,0.0014189+0.00019356i,0.0011127+0.00067129i,0.0016157+0.00086442i,0.00094869+0.00023889i,0.00042595-0.00027729i,0.00095095-0.0007118i,0.00057062-0.00046343i,-0.00035269-0.00013075i,-0.00013139-8.1779e-05i,0.0008148+0.00027363i,0.00099949+0.00065492i,0.00014721+0.00044903i,-0.00026338-0.00021358i,-0.00027382-0.00046239i,-0.00026289-0.00042662i,0.00050311-0.00098951i,0.00064681-0.0012245i
0.00027615-0.0001101i,0.00044035-0.00038749i,0.0001244+0.00074051i,4.0729e-06+0.0017394i,0.00058131+0.0023253i,0.0014461+0.0015638i,0.0017626-0.00073684i,0.00064607-0.0017503i,4.3805e-05-0.0010305i,7.0091e-05-0.00073657i,-4.2299e-05-0.00042586i,-6.1447e-05+1.3345e-05i,-0.00046078+0.00025579i,-0.00040248+0.00033748i,0.00011692-0.00010242i,0.00058364-0.00047847i,0.00030908-0.00020664i,6.3497e-05-4.9767e-05i,1.9947e-05-0.00024308i,-0.00041297-6.6588e-05i,-0.0010431-0.00021033i,-0.00076348-0.00017413i,9.997e-05+4.1132e-06i
-0.00023837-0.0011148i,0.00023239-0.0009166i,0.00048343-0.00030304i,-0.00043397+0.00088505i,-0.00039722+0.0019126i,0.00075777+0.0016394i,0.00057129+0.00042283i,0.00012429-0.00023585i,-0.00014438+0.00013045i,0.0001731+0.00017099i,0.0011589+0.0004435i,0.00055099+0.00036079i,0.00021457+1.9642e-05i,-1.1754e-05+0.00030426i,-0.00025376+0.00066637i,6.4007e-05+0.00049982i,-0.00028081-0.00021108i,-0.00093288-0.00093211i,-0.0003595-0.001247i,3.2253e-06-0.00072509i,-0.00052593-9.458e-05i,0.00035148-0.00027302i,0.00066604-9.1684e-05i
0.0016546-0.00057266i,0.0012699-0.00085888i,0.00053526-0.00081211i,0.0011277-4.2564e-05i,0.0018468-0.00011848i,0.0015751-0.00054695i,0.0014969-0.00057725i,0.0010758-0.00070974i,0.00053147-0.0011196i,0.00088215-0.00057417i,0.00056668+0.00018593i,0.00026517-3.3325e-05i,0.00021708-0.00030711i,7.119e-06-0.00072314i,-0.00035888-0.00053827i,-2.8226e-05+0.00045539i,6.9623e-05+0.00059565i,-0.00090419+0.00030063i,-0.0014507+0.00067464i,-0.00056912+0.00073697i,-0.00033759+0.00027414i,-0.00055028-8.4329e-05i,-0.0004659+0.00013138i
0.00050525-0.00085412i,0.00044761-0.00093731i,0.00011287-0.00035428i,0.00013884+0.0011544i,0.00035006+0.0019856i,0.0013528+0.0017986i,0.0012825+0.0012216i,-0.00044178+0.0003739i,-0.0011599+8.14e-05i,-0.0003428-0.00034662i,0.00014263-0.00033761i,0.00027115+0.00031386i,2.293e-05+0.00010192i,-0.00075657+5.7626e-05i,-0.00070827+0.00063344i,0.00036645+0.000221i,0.0011712+0.00011561i,0.00073313+0.00066493i,-0.00012864+0.00034311i,-0.00075333-9.1806e-05i,-0.00082729+0.00040435i,-0.00043569+0.00064737i,-0.00027127+0.0002927i
-0.00075663+2.9664e-05i,-0.0013614+0.00022362i,-0.0010472+0.00018768i,-0.0001231+0.0016047i,0.0010023+0.0026297i,0.0020606+0.0018662i,0.0016866+0.00039016i,0.00053194-0.00075267i,0.0001392-0.0009911i,0.00022295-0.00064437i,0.00045677+3.4042e-05i,0.00030861-4.2108e-05i,-0.00068808-0.00048134i,-0.00094577-0.00031635i,-0.00031405-4.2783e-05i,-0.00028745+0.00049825i,-0.00039475+0.00012637i,-0.00026512-0.00030346i,0.00027975+0.00035462i,0.00023851+0.00047226i,-0.0010931-0.00010291i,-0.0016267-0.00055317i,-0.0012126-0.0004778i
-0.0013476+0.00033731i,-0.0011153+0.0013091i,-0.0012082+0.002149i,0.00026+0.003322i,0.0013703+0.0039203i,0.0022626+0.0024402i,0.0021486+0.00045785i,0.00049577-6.4322e-05i,-0.00021864+0.00045152i,-0.00035048+0.000398i,-0.00035978-0.00020869i,-0.0001097+0.00015798i,-5.3528e-05+0.00087997i,-7.6059e-05+0.0014471i,0.00031232+0.0011482i,0.00069209+0.00012383i,0.00045221-0.00031752i,0.00033401-0.00035549i,8.9703e-05-1.2858e-05i,-0.00039715+0.00073083i,-1.1022e-05+0.00097731i,0.00051295+0.00088478i,0.00036938+0.0010753i
-0.0019948-0.00029601i,-0.001652+0.00031743i,-0.0024245+0.0011716i,-0.0017027+0.00228i,-0.00041849+0.0030448i,0.0014278+0.0029397i,0.0017858+0.0026568i,-0.00011838+0.0018949i,-0.00084773+0.0011021i,-0.0008326+0.00056802i,-0.00032905+0.00060014i,0.00046822+0.00018241i,0.0004348-0.00018475i,0.00044255+0.00026769i,0.00032526+0.00018994i,0.00022258-0.00057897i,0.00049931-0.00078854i,0.00063444-0.00020548i,0.00065064+0.00018132i,0.00037629-0.00016438i,-0.00028174-0.00033701i,-0.0011358-0.00031731i,-0.0011675-0.00044364i
-0.00071356-0.00064314i,-0.00064271+0.00026533i,-0.00099835+0.00081686i,-0.00072399+0.0014883i,-0.00043994+0.0019733i,0.00017921+0.00156i,0.00032292+0.00073869i,-0.0005996+0.00027393i,-0.00021611+0.00015495i,0.00017309+0.00025314i,-0.00037025+0.00058022i,-0.00067505+0.0006326i,-0.00060995-0.0003285i,-0.00025345-0.00024094i,-0.00043923+0.00062748i,-0.00065299+0.00038773i,-0.00033014-0.00058993i,0.00028169-0.00030892i,0.00017206+0.00016433i,-0.00014999+0.00055421i,-0.00010765+0.00031769i,0.00030792+0.00011225i,0.00019958+5.3605e-05i
0.00012657-0.0013454i,-0.0018732-0.0011969i,-0.0024164-0.00052907i,-0.00082653+0.001572i,0.00033779+0.0031021i,0.0010058+0.0028417i,0.0013681+0.0020741i,0.00056134+0.0013109i,-0.00030259+0.00089223i,0.00016108+0.00051193i,0.00064752+0.00039399i,0.00033296+0.00049739i,-7.4061e-05+0.00046517i,-0.00012578+0.00040032i,-0.00031367+0.00015394i,-0.00050129+0.00053143i,-0.000844+0.00053609i,-0.00024923-0.00036075i,0.00032559-0.00076958i,0.00045956-0.00045055i,0.00017892+0.00018742i,0.00012849-0.00033203i,0.0006902-0.00082176i
0.0018645+1.1352e-05i,0.00061768+0.0002035i,0.00038304+0.00071207i,0.00056687+0.0017498i,0.00062845+0.0022952i,0.00029029+0.0016222i,0.00046456+0.0007667i,0.0005097-3.5487e-05i,0.00035406-0.00051253i,0.00059009-0.00079515i,-8.4796e-05-0.00036482i,-0.00064755-0.00037256i,0.00030662-0.00056678i,0.00050472-0.00018031i,-0.00031241+0.00014806i,2.3442e-05+0.00036049i,-5.8644e-05+0.00038861i,-0.00077081-0.00050708i,-0.0005241-0.0010585i,0.0002471-0.00075067i,0.0010836-0.00046572i,0.0011084-4.8667e-06i,0.00061123+0.00034775i
-0.0013242+6.0157e-05i,-2.6963e-05-0.00021784i,-0.0011401+0.00012154i,-0.0002785+0.001585i,0.0014664+0.0027674i,0.0015572+0.001755i,0.0012669+7.2898e-05i,0.00051424-0.00051264i,0.00020754-1.3583e-05i,0.00058032+0.00039013i,2.846e-05+0.00050984i,-0.00055872+0.00075174i,-0.0010302+0.0010746i,-0.00082416+0.0011353i,-0.00026932+0.00065361i,-0.00028469+0.0002085i,-0.00057386-0.00056478i,-0.00067746-0.00079378i,-0.00043243-1.2334e-05i,-0.0004903-2.4254e-05i,-0.00049346-0.0010192i,-5.452e-05-0.00082683i,0.00029097-0.00011561i
-0.00050684+0.0007768i,-0.00096694+0.0015934i,-0.00025319+0.0015264i,0.0010443+0.0020375i,0.0019436+0.0025653i,0.0015074+0.0022055i,0.0012401+0.0015865i,0.0009913+0.0010621i,0.00023777+0.0011696i,-0.0001586+0.00087169i,-0.00017244-0.00013817i,0.00017226-0.00030773i,0.00014423-4.1484e-05i,-4.1601e-05-0.00018737i,-9.2513e-05-0.00026125i,-2.3292e-05-0.00021144i,-0.0008103-0.000862i,-0.001001-0.0010127i,-0.00011318-0.00036641i,0.0002865+7.0931e-05i,-0.00018209+0.00014657i,-0.00081551-0.00017034i,-0.00065766-0.00043331i
