0.00045451+0.00026006i,0.0018277-0.0023034i,-0.00022509-0.003906i,-0.0019745-0.002771i,-0.0020733-0.00017165i,-0.0017986+0.0019915i,-0.0012183+0.0034362i,0.00035475+0.0028128i,0.0014748+0.00089367i,0.0017405+0.00016618i,0.0010353+0.0005174i,0.00027365+0.00077953i,0.00018445+0.00043264i,7.1034e-05-0.00036459i,0.00085634-0.00047315i,0.00088889-0.00062251i,0.00052752-0.00081382i,0.00020276-0.00068563i,0.00017353-0.00058628i,0.00041863-0.0001338i,0.00015163-0.00049181i,-0.00038673-0.0005253i,-0.00041451+0.00032736i
-0.0022957+0.00089621i,-0.0016301-0.00024935i,0.00045648+0.00060155i,0.0024073+0.0011834i,0.0030577-0.0001014i,0.0032514-0.0016614i,0.0025997-0.001584i,0.0020702-0.00033745i,0.0014785+0.000552i,0.0010726+0.00010435i,0.0012212-4.2943e-05i,0.001017-0.00055785i,0.0001035-0.0010352i,-0.00064595-0.00080342i,-0.00037631-0.0011099i,0.00044582-0.00052753i,-6.2355e-05+0.00042008i,-0.00074833+0.00061913i,-9.2407e-05+0.00071949i,0.00036307+0.0010931i,0.00089946+0.00055482i,0.00051692-0.00016197i,-0.00012228-0.00011304i
-0.00093916-0.0010477i,-0.0016339-0.00012316i,-0.002927-0.00015524i,-0.0025034-0.00036212i,-0.00098659-0.00045426i,0.00038321-0.00090219i,0.0007718+0.00034411i,0.00084388+0.0012332i,7.1717e-05+0.00016171i,-0.00042784-0.0003046i,0.00027222-0.00054227i,0.00076806-0.00094956i,0.00019956-0.0010046i,-0.00038751-0.0007631i,-0.00035882-0.0001601i,-0.00025284+0.00019085i,-0.00024711-0.00030561i,-0.0004132-0.00028634i,-0.00090777-0.00021577i,-7.0222e-05-0.0001735i,0.00034658+0.00041405i,-0.00031882+0.0007904i,-0.00017812+0.0004445i
-0.00036466+0.0010467i,0.00074221+0.00032085i,0.0011038-0.00021574i,0.0019501-0.00030103i,0.0030143-0.00062868i,0.0025783-0.00033504i,0.0016541+0.00054833i,0.0014351+8.1986e-05i,0.0013288-0.0012217i,0.00099132-0.0016331i,0.00039164-0.0006233i,-4.7437e-05-7.4209e-05i,-0.00012841-0.00077049i,-0.0006261-0.00098181i,-0.00039498-0.00026207i,0.0007521+0.00017419i,0.0016144+4.1018e-05i,0.0011254-0.0002405i,0.00069963-0.00076707i,0.00049438-0.0013868i,-0.0001985-0.0010747i,-0.00020145-8.9965e-05i,0.00040937-4.146e-05i
0.00053133-0.0016138i,-0.00097874-0.0033527i,-0.0025392-0.0038911i,-0.0027959-0.0011582i,-0.0017209+0.00094208i,0.00034979+0.0014617i,0.0016897+0.0013459i,0.0017528+0.0012312i,0.00099177+0.00059007i,0.000118-0.00018128i,-0.00047512-0.0011282i,-0.00062559-0.0010538i,-3.5462e-05+2.4895e-05i,0.00050402-0.00013471i,0.0007062-0.00072138i,0.00056646-0.00068593i,0.00030868-0.0007757i,0.00019034-0.00084355i,0.00028591-0.00073465i,0.00011991-0.00049741i,0.00023499-0.00019772i,0.00035371-0.00031033i,-0.00041331-0.0002114i
-0.00013117+0.00067015i,-0.00037718+0.001063i,-0.00072221+0.00019408i,-6.0558e-05-0.00061878i,0.0014768-4.9745e-05i,0.0020631-9.2006e-05i,0.0015248-0.00012207i,0.0014592+0.00055642i,0.0018512+0.00038209i,0.0010716+1.5128e-05i,0.0006756+0.00061263i,0.0011369+0.00035085i,0.0010504-0.00042278i,0.0012564-0.00046114i,0.0017014-9.5651e-06i,0.0010485+0.00051295i,-6.7168e-05+0.00056358i,-8.2218e-05+0.0002595i,-0.00015042-1.9379e-05i,0.00012366-0.00028504i,0.00079908-0.00073436i,0.0007628-0.000963i,-0.00029803-0.00019434i
-0.0030659+0.00056851i,-0.0034983-0.00026391i,-0.003372+0.00083261i,-0.0017429+0.0016636i,0.00035557+0.0013064i,0.00096965+0.00019038i,0.00099881+0.00030063i,0.0013776+0.0011198i,0.0014504+0.00030186i,0.0014043-0.00039265i,0.0015345+0.0001995i,0.00099095-0.0002762i,0.00043656-0.0011498i,0.00021621-0.0012934i,0.00022219-0.00084806i,-0.00011602-6.4044e-05i,-0.00092709+0.00028885i,-0.0011304+0.00042565i,-0.00028081+0.00030983i,0.00074029+0.00010028i,0.0010128+0.00013532i,0.00049406+0.00078238i,-9.5497e-05+0.00046849i
-0.0013936+0.00022597i,-0.0023689+0.00041476i,-0.0011642+0.00095858i,0.0012436+0.0001583i,0.0024913-0.0002339i,0.0022967-0.00012359i,0.0019825+0.00013689i,0.0012921+5.2511e-05i,0.00029304-0.00026299i,4.5764e-05+0.00018978i,-1.219e-06+0.00035777i,-0.00024596-0.00011556i,-0.00014851-0.00066232i,0.00034812-0.00089589i,8.2653e-05-0.00053821i,0.00029765-0.0002596i,0.00016682-0.00025716i,-0.00020914-0.00068475i,0.00035139-0.00097772i,6.5916e-05-0.00072252i,-0.00015686-0.0005151i,0.00022825-2.9772e-05i,-0.00038308+0.00012874i
-0.00050576-0.00081819i,-0.00034553-0.0011626i,-0.00034615+0.00030007i,0.00029751+0.00085174i,0.0015873+6.1253e-05i,0.0016738-0.00050737i,0.0012041-0.00012002i,0.0014169+6.5646e-05i,0.001135-0.0003693i,0.00042352-0.00066278i,0.00073738-0.00044813i,0.0010507-0.00045934i,0.00056376-0.00028987i,-0.00025377-4.8491e-05i,-0.00095943-0.00038509i,-0.001298-0.00014762i,-0.0010809+5.5978e-06i,-0.00075075+1.4924e-05i,-0.00049904+0.00049938i,-9.7419e-05+0.00016192i,0.00013635+0.00046359i,0.00052539+0.0011796i,0.00095506+0.00029073i
0.00074956+0.0017149i,0.00066625-0.00017223i,0.0018571-0.0014234i,0.0019271-0.001991i,0.00098314-0.0026027i,0.00025332-0.0017479i,0.0004043-0.00021913i,0.00075758-1.9769e-05i,0.0012852+5.7905e-05i,0.0012953-0.00015954i,0.0013708-0.00053692i,0.0012301-5.1955e-05i,0.00085373+0.00034021i,0.00062317+0.00041368i,-0.00027896+0.000455i,8.6748e-05-1.8439e-05i,0.00085772-0.00031362i,0.0002505-0.00016948i,0.00046718+3.2875e-05i,0.0010568+4.6067e-06i,0.00053766+0.00028674i,0.00023032+0.00061351i,-4.7595e-05+0.00030857i
0.0018304+0.00051006i,0.00157-0.00024505i,0.0013662-0.00079248i,0.0011025-0.0020242i,0.00046512-0.0017462i,0.0003424-0.00044922i,0.00070063+0.0008162i,0.001302+0.001548i,0.00071452+0.00081998i,-0.00023534-0.00039132i,-7.3206e-05-0.00088286i,0.00010412-0.00090427i,-0.00019294-0.00085933i,0.00042105-0.00063124i,0.001336-0.00054201i,0.00091432-9.1702e-05i,-0.0002822+0.00062789i,-0.00056401+0.0012215i,-0.00021999+0.00074194i,0.00016134-0.00026285i,0.00040632-0.00027873i,6.0274e-05-0.00033156i,-0.00024381-0.00012679i
