0.001443-0.00024342i,0.001269-0.00094309i,-9.8215e-05-0.0018853i,-0.0019417-0.001364i,-0.0038242+0.00017504i,-0.0038403+0.0024705i,-0.0014447+0.0039073i,0.00082618+0.0035573i,0.0015629+0.0019129i,0.0012518+0.0007533i,0.00039822-7.6034e-05i,-0.00035265-0.0011377i,-0.0014786-0.0005243i,-0.0014854+0.00055961i,-0.00063006+0.00015002i,0.00017075-0.00030565i,0.00050466-0.00060324i,0.00036138-0.00061915i,0.00023112-0.00055043i,-0.00030225-0.00027462i,-0.00023474-6.3109e-05i,4.8097e-05+0.00033593i,-7.0064e-05+6.7139e-05i
0.00056885+8.6446e-05i,1.6167e-06-0.00096933i,0.00045657-0.0012471i,0.00054615-0.0010753i,-0.00083112+0.00050235i,-0.0010826+0.0021432i,-0.00025768+0.0021314i,-0.00011412+0.0011339i,0.00075387+0.00015249i,0.0017527+0.0006416i,0.0016288+0.0011275i,0.00038511+0.00057598i,-0.00082201+0.0008854i,-0.00084982+0.00084147i,-0.00013692-0.00013962i,0.00061367-0.00019352i,0.00049634-0.00039606i,0.00029068-0.00093756i,-2.5556e-05-0.0010569i,-0.00058222-0.00062004i,-0.00049255-0.00026112i,0.00020191-0.00022715i,-8.9425e-05-0.00024999i
-0.00041975+0.00056817i,-0.00061903+0.00016673i,-0.0002669+7.6448e-05i,-0.0005717+0.0012008i,-0.0013439+0.0011016i,-0.0010043+0.0017149i,-1.0417e-05+0.0018428i,0.0014198+0.0012063i,0.0019773+0.00090654i,0.0012689+0.00071099i,0.00060485+0.00085076i,0.00065248+0.00085333i,0.00047081+0.00099606i,0.00027195+0.00067667i,0.00011417+2.3534e-05i,-0.00024011-0.00020583i,3.4277e-05-0.00033788i,0.00040497-0.00083399i,0.0003651-0.0010984i,0.00054628-0.0004375i,2.6457e-05+0.00018767i,-0.00027046+0.00021063i,4.5103e-06+0.00013322i
-0.00035318+0.0024558i,-0.0013719+0.0011604i,-0.0018463+0.00088775i,-0.0022802+0.0014887i,-0.0028132+0.0018835i,-0.0023064+0.0022638i,-0.00099993+0.002594i,0.00022736+0.0027034i,0.00053605+0.0023456i,0.00053573+0.0015209i,0.0011514+0.00076607i,0.00090556+0.00036391i,0.00021527+0.00024514i,0.00012763+0.00034459i,-9.1489e-05+0.00049297i,0.00030133+0.00075913i,0.00043978+0.0010158i,0.0002057+0.00041254i,5.5529e-05-0.00036015i,-0.00018147+0.00016233i,-0.00024687+0.00017516i,-9.3172e-05+7.2886e-05i,0.00019002+0.00039925i
0.00025725-0.0011406i,-3.9599e-05-0.00086069i,-0.0010257-0.0011605i,-0.00079834-0.00021375i,-0.00099864+0.0010879i,-0.0011034+0.0013713i,-0.00027496+0.0017703i,0.0010689+0.0019409i,0.0014401+0.0012653i,0.0010531+0.0002754i,0.00022899-0.00031966i,-0.00018245-0.00094601i,-0.00032862-0.0011854i,-0.00062541-0.00075797i,-0.0010485+0.00026805i,-0.001044+0.0009359i,-0.00010832+0.00043833i,0.00046627+8.5914e-05i,0.00075846+0.00030135i,0.00076441+0.00035917i,-0.0005501+0.00055817i,-0.0010629+0.00065806i,-0.00023755+0.00027089i
-0.00074673-0.00010929i,-0.00045237+0.00053526i,-0.00045346+0.00049075i,-0.0012976-0.0006361i,-0.0020748-0.00046085i,-0.0021781+0.0011501i,-0.00063603+0.0020448i,0.00070937+0.0020241i,0.00063387+0.0013797i,0.00045502+0.0016117i,0.00072617+0.0010817i,0.00093985-0.00037782i,0.00085388-0.00060248i,0.0010057-9.352e-05i,0.00087241+1.2904e-05i,0.0004631-0.00030147i,0.00097698-0.00019391i,0.0010158-6.4756e-05i,0.00023548-0.00014924i,-5.8198e-05-0.00017164i,0.00030839-0.00050681i,0.00039483-0.00046033i,-0.00022653-0.00017377i
0.0011764-0.00075857i,0.00085224-0.00056615i,0.0014979-0.00099703i,0.0015463-0.0010799i,0.00043623-0.00084354i,-0.0010457-0.00063794i,-0.00073247+0.0010207i,0.00097932+0.0012691i,0.0017741+0.00037134i,0.0012341+5.1111e-05i,0.00042777-7.1992e-05i,0.0003865-0.00034555i,0.00049061-0.00098119i,-0.00016038-0.0012628i,-0.00033649-0.00022285i,-0.00021687+0.00023654i,-0.00051855+9.4486e-05i,-0.00045942+0.00029996i,-0.0004203-0.00013355i,-0.00063654+4.7514e-05i,-0.00027886+0.00011989i,-0.00018789-0.00023659i,-0.00017098-0.00068384i
-0.00097067+0.00036792i,-0.00045672+0.00056749i,-0.0018473+0.00048284i,-0.0024171+0.00083445i,-0.0020252+0.0013651i,-0.0014993+0.0017617i,5.8968e-05+0.0019416i,0.0013586+0.0021462i,0.0013382+0.0022236i,0.0012219+0.0015993i,0.0010646+0.0010749i,0.00075033+0.00052177i,0.00040862+0.00025235i,0.0003903+0.00091297i,-0.00019609+0.00081102i,0.00014274+0.00027946i,0.00035299+0.00022518i,0.00024827+0.0001235i,0.00011571+8.4634e-05i,-0.00045953+0.00043946i,-0.00077501+0.00086463i,-0.00044887+0.00092988i,0.00059836+0.00062896i
-0.00045094-0.00080406i,-0.00075519-0.00063642i,-0.0019345-0.00076669i,-0.00187-5.6048e-05i,-0.001957+0.0015298i,-0.0015801+0.0026574i,7.0982e-05+0.0026192i,0.0011467+0.0013881i,0.00123+0.00055062i,0.0010253+0.00028034i,0.00090093+0.00064937i,-2.9284e-05+0.00087199i,-0.00021371+0.00065151i,0.00032282+0.00018779i,0.00013854-0.00041015i,5.5983e-05-0.00033696i,2.4677e-05+0.0006571i,-2.5775e-05+0.0011503i,4.9489e-06+0.00036841i,-0.00029201-0.00029603i,-0.00049917-0.00049305i,-0.00015695+0.00024035i,-0.00029254+0.00069944i
-0.0012724+0.0011351i,4.6645e-05+0.0018286i,7.572e-05+0.0022212i,-0.00068921+0.001772i,-0.00071848+0.0018461i,-0.00062009+0.001999i,-0.00052871+0.0022038i,6.7382e-05+0.0019844i,0.00034193+0.0015322i,0.00045129+0.0010326i,0.00017763+0.00088635i,2.525e-05+0.00083928i,0.00027215+0.001026i,0.00071747+0.00082401i,0.00072642+0.0005337i,0.00020348+0.00064185i,0.00014306+0.00010885i,0.00029703+0.00037903i,-2.7346e-05+0.00057988i,-0.00050188+0.00059879i,-8.6858e-05+8.4038e-05i,3.2214e-05-0.00019279i,-0.00043922+0.00037964i
-0.00032087-0.00029807i,-0.00039308-8.6326e-05i,-0.00099208-0.00083459i,-0.0016565-0.0012133i,-0.0016264-0.00034891i,-0.0014094+0.0013774i,0.00024855+0.0022504i,0.0011627+0.00237i,0.00072772+0.0019506i,0.0006426+0.0013518i,0.00062694+0.00049307i,0.0002952-0.00030959i,1.6151e-05-0.00018403i,-0.00064564+0.00018623i,-0.0010213+0.00079616i,-0.00050725+0.0013785i,-0.00027407+0.0013564i,-0.0003471+0.00066856i,-0.00015659+0.00010123i,0.00036222+0.00023878i,0.00060418+0.00043347i,0.00010495+0.00035871i,6.4933e-05-0.00010134i
-0.00016277+0.00034068i,-0.00018517-1.3697e-05i,-0.001549+0.00056503i,-0.0025015+0.00040658i,-0.0017626+0.0012021i,-0.001474+0.0026871i,-0.00077487+0.0031479i,-0.00010313+0.0019028i,0.00028015+0.0010341i,0.0010189+0.00045972i,0.0008448+0.00050376i,0.00057298-4.7026e-05i,0.00087713-0.00081623i,0.00052274-0.0009879i,-0.00046216-0.00079006i,-0.00039502-6.018e-05i,-7.2368e-05+0.00020962i,0.00026285-2.5005e-06i,0.00011437+2.8099e-05i,-0.00053704+0.00065115i,-0.00070818+0.00093409i,-0.00061978+0.0007249i,-0.00029286+0.00060402i
-0.0022635+0.0015036i,-0.0022626+0.00097251i,-0.0016547+0.0017149i,-0.0020285+0.0022579i,-0.002595+0.0025887i,-0.0017997+0.003257i,-0.000196+0.0031714i,0.00064004+0.0026571i,0.00095454+0.0022461i,0.0008002+0.0017016i,0.00042355+0.0011588i,-0.00021575+0.00029776i,-0.00022704-0.00014465i,0.00043584+0.00030497i,0.00075156+8.5491e-06i,0.00094856-0.00019396i,0.0010546-0.00028268i,0.00073989-8.4437e-05i,0.00016891+0.00047717i,0.00022563+0.00058158i,-0.00037726+0.00040452i,-0.00065176-0.00035815i,-0.00027439-0.0010233i
0.0020313-0.00038616i,0.0025052-8.1412e-05i,0.0019384+0.00025353i,0.0004157-2.4863e-05i,-0.00095402-0.00023361i,-0.0015457+0.0017151i,-0.00038876+0.002766i,0.0010506+0.0028535i,0.00082004+0.0025746i,0.00078681+0.0013247i,0.00075936-0.00021541i,-3.9439e-05-0.0010008i,-6.8431e-05-0.00062796i,0.00040966-0.00033434i,2.3665e-05-0.00017338i,-8.5386e-05-0.00015526i,-5.2025e-05-0.00056436i,2.74e-05-0.00061064i,-0.00025649-0.00038235i,-0.00071059-0.00057122i,-0.0005235-1.6349e-05i,-0.00050348+0.00059003i,7.2614e-05+0.00037005i
5.6735e-05+0.00042924i,0.0011812-0.00058084i,0.0017606-0.00075135i,0.00086551+0.00017189i,-0.0004577-2.7271e-05i,-0.00094337+0.00056887i,-0.00025624+0.0017754i,0.00059461+0.0016655i,0.0014513+0.0005974i,0.0016764-0.00031815i,0.0015777-0.00022945i,0.0012633+0.00069132i,0.00035438+0.00016928i,-1.6438e-05-0.00098764i,0.00012471-0.00093153i,-0.00030772-0.00083069i,-0.0007461-0.00068355i,-0.00039319-0.00027384i,-9.957e-05+2.0739e-05i,-0.00083798-0.00038306i,-0.00076659-0.0005734i,-0.00060707+0.00018288i,-0.00085713+4.1064e-07i
0.001147-0.0021775i,0.0011998-0.0032121i,0.00040988-0.0029659i,-0.0013247-0.0016589i,-0.0030658-0.00020777i,-0.0036388+0.001461i,-0.0020997+0.0021183i,-0.00013275+0.0015027i,0.00032446+0.0013574i,-0.00011186+0.00085114i,-0.00046362-0.00024093i,-0.00052603-0.00023687i,-0.00040057+0.00025677i,-0.00055682+8.8694e-05i,-0.0002702+9.9087e-05i,0.00040684+0.00041303i,0.0012122+0.000329i,0.0011174-0.000474i,0.00093379-0.00068317i,0.0010709-0.00068623i,-8.7019e-05-0.00031736i,-0.00056068+1.569e-06i,-0.00027018-8.7047e-05i
-0.00011015+0.0016355i,-0.00025115+0.001186i,0.00016568+0.00036025i,-0.00052254-0.00045897i,-0.0016464-0.00042609i,-0.0020015+0.00011349i,-0.0013029+0.0012226i,-0.00028921+0.0016005i,0.00032805+0.0011164i,0.00076019+0.00049887i,0.00086753-2.1388e-05i,7.7638e-05-0.00084072i,9.0552e-05-0.0010725i,1.6566e-05-0.0008947i,-0.00011419-0.00064214i,-0.00016997-0.00065194i,-0.00025218-0.00061307i,0.00012882-0.00080822i,0.00037789-0.0007086i,0.00028088-0.00011191i,-0.00023343-0.00011382i,-0.00082021+4.671e-05i,-0.00092573+0.00037902i
0.0027235+0.00015942i,0.0013332+0.00075231i,0.0015472+6.1363e-05i,1.2169e-05+0.00014394i,-0.0021529+0.00096041i,-0.0024374+0.002021i,-0.0014232+0.0026857i,5.2877e-05+0.0024475i,0.00063595+0.0011303i,0.00034551-0.00012331i,0.00033985-0.0005457i,1.5758e-05-0.00055198i,-0.00017174-0.0004999i,-2.5735e-06-0.0009771i,-0.00010045-0.00071047i,2.3787e-05-2.4948e-05i,-0.00021854+0.00016941i,-0.00060765+0.00057392i,-0.00060099+0.00021474i,-0.00096213-0.00011266i,-0.0010043+0.00061646i,-0.00060876+0.00094491i,-0.00062614+0.00018534i
0.0017216-0.0010893i,0.0019439+0.0004674i,0.00049216+0.00061339i,-0.0010362+0.0001809i,-0.0020368+0.00028672i,-0.0019948+0.000985i,-0.001082+0.0019633i,-1.4209e-05+0.0018084i,0.0003284+0.0011045i,0.00077359+0.00086545i,0.00054935+0.00069701i,-0.00075567+0.00016573i,-0.0013034+1.2961e-05i,-0.00040899+4.6351e-05i,0.00035049-0.00016126i,0.00029532-0.00028426i,-0.00012467-0.00023773i,-2.1239e-06-7.9201e-05i,-0.00021577+0.00044831i,-0.00083415+0.00057134i,-0.00037656+0.0007047i,-8.3974e-05+0.00044881i,9.2951e-05+0.00050079i
-0.0018212-0.0015568i,-0.0015746-0.00080978i,-0.0013154+0.00016224i,-0.00036828+0.00066599i,-0.00028618+0.00099445i,-0.0010851+0.0016056i,-0.00052555+0.0016816i,0.00086794+0.00063499i,0.0014165+0.00027354i,0.00087476+0.00058629i,-5.049e-05+0.00077983i,-0.00044391+0.00065533i,5.6966e-05+0.00077947i,0.00084278+0.00072107i,0.00066236+0.0008355i,-3.5337e-05+0.00094029i,7.4854e-05+0.0012401i,0.00031896+0.000357i,0.00029723-0.0010079i,0.00056673-0.00095876i,0.00071957-5.2583e-05i,0.00018227+0.00035804i,0.00033587+0.00040767i
-0.0036956+0.00088313i,-0.0038708+0.0019961i,-0.0035218+0.0014508i,-0.0033829+0.00088238i,-0.0038653+0.002101i,-0.0033302+0.0029072i,-0.0011572+0.0022212i,-7.9341e-05+0.0015898i,0.00041355+0.0012897i,0.00040362+0.0010982i,2.4009e-05+0.00049185i,0.00041159+0.00085191i,0.00059026+0.0013491i,0.00066358+0.001067i,0.0003822+0.0014315i,0.00039172+0.001467i,0.0012311+0.00085443i,0.0014872+7.6683e-05i,0.0014215-3.3573e-05i,0.0010486+0.00045868i,0.0001337+4.2172e-05i,-0.00071985+5.0508e-05i,-0.00095805+0.00030664i
0.00054421-0.00047463i,7.9697e-05-3.0182e-05i,0.00034895+8.0087e-05i,-0.00026881+9.8576e-05i,-0.0013683+0.0013441i,-0.0010442+0.002615i,0.00013339+0.0028941i,0.0013676+0.0022484i,0.0014588+0.0010063i,0.00070323-0.0003508i,9.7298e-05-0.00067058i,9.438e-05+7.3119e-05i,0.0010157+0.0001481i,0.0010815-0.00031396i,0.00015215-0.0002246i,-0.00045186+0.00015646i,0.0001951+0.00020662i,0.00082738+0.00014015i,-6.0055e-05+0.00033034i,-0.00028207+0.0001307i,-0.00010765-0.00013471i,-0.0003667-9.3241e-05i,-0.00052177+0.00032952i
-0.00058829+0.0015553i,-0.00058187+0.00058971i,0.0001008-0.0003211i,-0.00013431+0.00028477i,-0.0012676+0.0014898i,-0.0021143+0.0019538i,-0.0018922+0.0019095i,-0.0002647+0.0015775i,0.0011555+0.0010605i,0.00094101+0.00085948i,0.00054936+0.00065631i,3.2629e-05-0.00029879i,-0.00031071-0.00097026i,0.00019004-0.00093067i,0.00080149-0.00046674i,0.00021461-4.5135e-05i,-0.00023467-0.00056747i,0.00053848-0.0011649i,0.0008563-0.00089857i,0.00022273-0.0010432i,-9.149e-05-0.00070857i,-4.2467e-05-0.00017024i,-0.00060769+0.00038707i
4.53e-05+0.00026965i,8.5317e-05+0.00082983i,-0.00090852+0.0011643i,-0.00018282+0.00096712i,7.3747e-05+0.0012123i,-0.00071653+0.0019795i,7.777e-05+0.0025417i,0.0016732+0.0017493i,0.0012665+0.0010728i,0.00022061+0.0010533i,0.0004471+0.00072463i,0.00061787-0.00010023i,0.0010304-0.00020528i,0.00086387-2.822e-05i,-0.00019574-0.00035894i,-0.00075498-2.4841e-05i,-0.00045631+0.0010486i,0.00090112+0.0010435i,0.0010257+0.0002595i,-0.00040985+0.00034991i,-0.0007843+0.00032915i,-0.00020954-0.00015791i,0.00041839-0.0010012i
-0.0014784-0.0012948i,-0.0020863-0.0021311i,-0.0016374-0.0019155i,-0.0020191-0.00063123i,-0.0032329+0.00099911i,-0.0027916+0.0025097i,-0.0010942+0.0029162i,0.00020488+0.0024638i,0.00074145+0.0017073i,0.0014403+0.0011592i,0.0006879+0.00092807i,0.00013233+0.00047142i,0.00017782+0.00010934i,0.00016204+0.00034175i,0.00013696+0.00088154i,-0.00024883+0.0005435i,0.00018375-0.00010958i,0.00054335-0.00024711i,0.0001296-0.00070397i,-0.00056528-0.00071837i,-0.0011817-0.00013591i,-0.0010772+0.00029668i,-0.00022415-0.00010376i
-0.0010016+0.0030994i,-0.00033548+0.0022136i,-5.3727e-05+0.0013312i,-0.00014963+0.0011756i,-0.0016286+0.0015179i,-0.0024313+0.0019341i,-0.0014337+0.001864i,-0.00020738+0.002138i,0.00062212+0.0018953i,0.0010577+0.0010665i,0.00013038+0.00067765i,-0.00095463+0.00047047i,-0.0010882+0.00048343i,-0.00035346+0.00011256i,0.00024768-0.00039434i,0.0001582+0.0001277i,-2.7725e-05-0.00012291i,6.4672e-05-0.0010371i,-0.0001074-0.00068187i,-0.00047977+0.00050046i,-0.00090725+0.00067422i,-0.00031559-0.0004227i,3.7927e-05-0.0010528i
-4.3228e-05+0.00059009i,-6.3778e-05+0.00021504i,-0.00050454+0.0013601i,-0.00045945+0.001461i,-0.00039093+0.00072735i,-0.00030364+0.0015635i,-6.8059e-05+0.0025768i,0.00036328+0.0026911i,0.0013901+0.0025831i,0.0019214+0.0010076i,0.0018478-0.00031332i,0.0011201-0.00090047i,0.00074105-0.00039872i,0.00073652+7.0337e-06i,0.00028597-0.00014448i,7.3222e-05-0.00013454i,0.00012897-0.00051982i,-8.773e-05-0.0011204i,-0.00013881-0.0010483i,0.00013225+6.5364e-05i,0.00042533+0.00011606i,0.00086203-0.00051876i,0.0009196-0.00034961i
0.00026996-0.0023183i,0.00071552-0.002104i,0.00037225-0.0021254i,-0.0012991-0.0010211i,-0.0027597+0.0013584i,-0.0022544+0.0033028i,-0.00057452+0.003408i,0.00099566+0.0029832i,0.0012227+0.001943i,0.00066455+0.0012097i,0.00032766+0.00052261i,0.00052821+0.00018414i,0.00019458+6.0106e-05i,-0.00043049-8.5915e-05i,-0.00078585-7.4011e-05i,-0.00031861-0.00023715i,0.00037091-0.00078061i,-1.1924e-05-0.00049643i,-0.00059876-0.00025442i,-0.0011221-0.00031875i,-0.0012273+8.9542e-07i,0.0001956+6.3112e-05i,0.00062179-0.00032652i
-7.567e-05-0.00095921i,-5.8199e-05-0.00071734i,0.00056739+0.00010789i,-0.00031163+0.0003107i,-0.0017562+0.00029728i,-0.0023632+0.0011023i,-0.00147+0.0019673i,0.00029065+0.0016378i,0.0012807+0.0014162i,0.0014445+0.0013948i,0.0011412+0.0012539i,0.00083316+0.00060189i,0.00069469+0.00021277i,0.00024699+0.00091645i,-0.00044243+0.00076791i,-0.00065048+4.1418e-06i,-0.00061103-0.00010093i,-0.0004433-0.00084454i,-0.00037594-0.00099162i,-0.00031921-0.00040301i,-0.00011771+0.00081572i,-0.00027654+0.0012997i,-1.0871e-05+0.0004735i
-0.00088492+0.0002927i,-0.00084304+0.00026769i,-0.00057467+0.00034388i,-0.00097558+0.00030808i,-0.0013686+0.00072579i,-0.0017113+0.0018i,-0.00079282+0.001961i,0.00048823+0.001633i,0.00062962+0.00096805i,0.00048286-5.4837e-05i,4.8525e-05-0.00016344i,-0.00017497+0.00035913i,-0.00059577+0.00051636i,-0.00036515+0.00010729i,0.00010976+0.00025491i,-5.6722e-05-6.5342e-05i,0.00016166-0.00045181i,0.0010765+0.0001262i,0.0014646+0.0002782i,0.00078421+0.00012073i,-0.00042577+0.0006539i,-0.00094137+0.00062155i,-0.00093168-0.00016092i
0.00088231-0.0016411i,-0.00020026-0.0014337i,-0.00020708-0.0014183i,-0.0013861-0.0012853i,-0.0039373+0.00060388i,-0.003772+0.0026499i,-0.0017174+0.0024426i,-0.0010184+0.0015398i,0.00012111+0.0010506i,0.00088447+0.00036129i,0.00012408-0.00072353i,-0.0003592-0.00031591i,0.0001733-0.00029315i,0.00070846-0.0011147i,0.00032404-0.00026613i,-0.00027348+0.00049633i,-0.00065697-0.00011384i,-0.00032663-0.00019886i,-0.00014939-7.1007e-05i,-0.00068448-0.00037738i,-0.00056609-0.00046817i,-0.0004748+0.00097411i,-0.00011769+0.0015819i
0.0017107+0.00082606i,0.0016831-0.00029401i,0.0014263-0.00058587i,0.00067835-0.0010471i,-0.00044901-0.0011064i,-0.0019085+0.00060018i,-0.0018246+0.0027806i,-0.00037866+0.002505i,0.00058996+0.0010907i,0.00070704+0.00015769i,5.0005e-05-0.00043359i,-0.00075771-0.00075948i,-0.00096127-0.00099142i,0.00034994-0.00041188i,0.00073558+0.00040075i,0.00018099+0.00041672i,7.4789e-05-0.00022757i,6.0745e-05-0.00015474i,0.00016936+0.00044519i,6.0278e-05+6.5812e-05i,-0.00050696-0.00086726i,-0.00021644-0.0013076i,0.0001918-0.0011987i
