-0.0030018+0.0017158i,-0.0028261+0.0017079i,-0.0040498+0.0018752i,-0.0033829+0.0019119i,-0.0020492+0.0026734i,-0.00043058+0.0037065i,-0.00010369+0.0034219i,-0.00066524+0.0029617i,0.00017038+0.0027312i,0.00094594+0.0016232i,0.0012813-0.0001617i,0.00095263-0.0011044i,0.00054662-0.00080318i,7.0661e-05-5.2086e-05i,-0.00064203-2.7938e-05i,-0.0006349+0.00025395i,-0.00033389+0.00017452i,0.00012976-0.00031523i,0.00059132-0.00020189i,0.00038593-0.00025949i,0.00056554-0.00051449i,0.00061555-0.00052659i,-0.00014517+0.00043536i
0.00022019+0.0021328i,0.00048306+0.0013519i,0.00079955+0.00072064i,0.0010705-0.0003316i,0.00033143-0.00050322i,-0.00032341+0.00020159i,8.5893e-05-0.0004022i,-4.2697e-05-0.00087875i,0.0001254-0.00041249i,0.00055342+0.00026024i,0.00014642+0.00044572i,0.00028922-0.0002189i,0.00019269-0.00094858i,-0.00062285-0.00023892i,-0.0007755+0.00057219i,0.00020884+0.00062025i,0.00090212+4.9825e-05i,0.00061236-0.00046637i,-0.00021218-0.00097417i,-0.00064965-0.00095661i,-0.00021064-0.00073521i,0.00015531-0.0015696i,6.2551e-05-0.0021058i
-0.0017116-8.6081e-07i,-0.0019622+0.0015148i,-0.0025546+0.0028829i,-0.0020212+0.0031916i,-0.00081432+0.0026238i,0.00011297+0.0014276i,0.00048317-3.8447e-07i,0.00015157-0.00087388i,-0.00082542-0.00047816i,-0.00042253+0.00043351i,0.00056328+0.00089672i,0.00038086+0.00074177i,0.00046221+9.9745e-05i,0.00072564-0.00060106i,0.00011834-0.00012371i,-0.00011605-7.9635e-05i,0.00026569-0.00077658i,0.00036215-0.0008974i,0.00055212-0.0009396i,0.00060153-0.000445i,0.00018476+0.00020946i,0.00032941+0.00026629i,0.00067223-0.00024995i
0.0014009+0.00073266i,0.0012061+0.00017329i,0.0015595-0.0013831i,0.00039302-0.0020233i,-0.00073084-0.00081115i,-0.00068285+0.0010438i,-0.00047993+0.0016289i,0.00027441+0.00116i,0.0010925+0.00066462i,0.0014695+0.00024332i,0.00072182+7.43e-05i,1.2725e-05+0.00052611i,0.00046085+2.0387e-05i,0.0010408-0.00031591i,0.00087935-0.00025451i,0.00076775+0.0004516i,0.00050764+0.00080749i,-0.00055005+0.00091091i,-0.0010842+0.00040237i,-8.622e-05+7.7567e-05i,0.00019688+0.00040213i,-0.00044648+0.00075209i,-0.00081964-0.00015057i
-0.00051041+0.0010378i,-0.00066612+0.00093727i,-0.0011748+0.0013486i,-0.0011031+0.0014358i,-0.00054745+8.0701e-05i,-0.00023063-0.00095213i,0.00018838-0.00041944i,0.00088532-4.7601e-05i,0.0010693+5.9671e-05i,0.0012699+0.00019778i,0.0012324+5.8362e-05i,0.00044838+0.00012083i,0.00033548+0.00066094i,0.00028151+0.0013751i,-0.00039846+0.0010592i,-0.00044755+0.00033361i,0.00019647+0.00036032i,0.00063923+7.5105e-05i,0.00066855+6.8612e-05i,-0.00022439+0.00053501i,-0.00026352+0.00056395i,0.00039684-5.1259e-05i,0.00035404-0.00054117i
0.00022684-0.001901i,-0.00018346-0.0027909i,-0.0011391-0.0031059i,-0.0015126-0.0017085i,-0.0014394+0.00061757i,-0.00060734+0.0013928i,0.00010803+0.0005433i,-0.00059513-5.1546e-05i,-0.00096028-0.00068043i,-0.00023373-0.00046006i,9.5364e-05+4.4952e-05i,0.00025013+0.00031417i,0.0007217+0.00048807i,0.0010483+0.00066889i,0.00096934+0.00053667i,0.00073722+0.00027707i,0.00040039-0.00018494i,5.0707e-05-0.00088446i,-5.9073e-05-0.00062973i,-6.2008e-05+0.00040107i,0.00020134+0.00063332i,0.0006486+0.00067952i,0.00013622+0.00073474i
0.00076947-0.00038809i,0.0007019+0.00013504i,0.0013508+0.00043897i,0.0013268+0.001509i,5.0802e-05+0.0015954i,-0.00042362+0.00069397i,0.00043707+0.0001502i,0.0001613-0.00034013i,-0.00027916-0.00047789i,0.00070099-6.4684e-05i,0.0008007+0.00015414i,0.0008104+0.00042655i,0.00058228+0.00039188i,-0.00029119-0.00060253i,-0.00012454-0.00069639i,0.00048165+0.00068501i,-0.00013638+0.00074119i,-0.0012416-0.00023131i,-0.00085749-0.00074576i,0.00038121-0.00061691i,0.00086586-0.00030424i,0.00076428-0.00067149i,0.00077792-0.0008223i
0.00097266-0.0014248i,-0.00037235-0.0019178i,-0.0014934-0.002135i,-0.0024657-0.0011284i,-0.0024373+0.00033295i,-0.0012265+0.00076678i,-0.00053577+0.00090948i,-0.00053047+0.00027443i,-0.00056826-0.00061256i,-0.00036212-0.00072413i,-5.2369e-05-7.244e-05i,-0.00053184+0.00077424i,-0.00011897+0.00074201i,6.0499e-05-5.0992e-05i,-0.00022786-0.00044424i,6.7012e-05+0.00026967i,-0.00023078+0.00061539i,-0.00051111+0.001088i,-9.6316e-05+0.001379i,2.6549e-05+0.00071934i,-0.00013051+9.3606e-05i,0.00025608+0.00014273i,0.0005766+0.00021636i
-0.00092277+0.0012557i,0.00023965+3.5556e-05i,0.0010958-0.00035266i,0.00067549-0.00034415i,0.00037206+0.00088624i,0.00041817+0.0014631i,0.0001547+0.00054684i,-0.00021893-0.00019145i,8.1119e-05-0.00082337i,0.00034374-0.00059823i,-1.1303e-06-0.00010959i,-3.25e-05+8.573e-05i,-0.00026699+0.00015335i,4.9657e-05+0.00054059i,0.00042319+0.00021142i,9.6801e-05-0.00035333i,0.00031489-0.00045114i,0.00091655-0.00011308i,0.00059968+0.00010264i,0.00027504-0.00036642i,0.00028744-0.0013031i,-0.00014699-0.0013708i,0.00032912-0.00062901i
0.00045808-0.0021003i,0.00021757-0.0016966i,-0.00095561-0.00066388i,-0.0019041+0.0016534i,-0.0012005+0.002721i,-0.00041183+0.0017938i,0.00027446+0.00037253i,0.00039236-0.00067239i,0.00012075+0.00010021i,-2.9261e-05+0.0015611i,-0.0001297+0.0011908i,4.7271e-05+0.00012924i,0.00072642-0.00019765i,0.0007715+0.00011124i,0.00041242-5.3034e-05i,0.00020051-0.00085761i,0.00025707-0.0010474i,2.0488e-05-0.00081386i,-0.00018708-5.0917e-05i,-0.00038893+0.00056022i,-8.5774e-05-7.0902e-05i,-0.00013327-0.00056899i,-0.00037278-0.00033158i
-0.00021358+0.0026752i,0.0005548+0.0015247i,0.00081762+0.00026006i,0.00037689-0.00011715i,-0.00064011+0.00013706i,-0.00039937+0.00039137i,-0.00027144+0.00037653i,-0.0004508+2.4774e-05i,-0.00041838+0.00029539i,-0.00062363+0.00039984i,-0.00052831-0.0007717i,0.00020064-0.00055533i,0.00069448+0.0002148i,0.00041638-0.00033054i,-0.00020011-0.0004929i,-0.00044888-0.00036227i,-0.0006993+5.5969e-05i,-0.00062382+0.00037096i,-0.00079948-0.00060818i,-0.0016496-0.0013175i,-0.0019332-0.0005582i,-0.0011251+0.0005162i,-0.0008094+0.00028108i
0.00069032-0.00036045i,0.00022083-0.001106i,-0.00038938-0.0021018i,-0.0011337-0.001702i,-0.0014354-0.00051773i,-0.0011249+5.2605e-05i,-0.0011272-0.00026647i,-0.00068045-0.00095647i,0.00044314-0.0012903i,0.0007683-0.0010324i,0.00069513-0.00049335i,0.00048266-0.00011544i,0.00037982-6.0092e-05i,0.00038432-5.7617e-06i,0.00037749+0.00024761i,0.00038838+0.00037803i,0.000257-0.00012275i,0.0007025-0.00077603i,0.00043902-0.00061398i,-0.00071887-0.00078089i,-0.000312-0.00081096i,0.00040553-0.00068148i,0.00061928-0.00051046i
-0.00030592-0.0026524i,-0.0010805-0.0015537i,-0.0028824-0.0010474i,-0.0040078+0.0003458i,-0.0031758+0.0019094i,-0.0010542+0.0018256i,0.00051743+0.00032343i,0.00029728-0.0010577i,6.4354e-05-0.00095376i,0.00084274-0.00029687i,0.0011273+0.00077119i,0.00049248+0.00083212i,0.00049259+0.00038496i,0.0008782+0.00044607i,0.00032431+0.00021987i,0.00032245+0.0005934i,0.00066769+0.00017964i,0.00030534-0.00033564i,-0.00014021-1.2123e-06i,0.00011671+0.00034704i,0.00052636+0.00011725i,0.00049741+6.145e-05i,0.00051222-0.00012205i
0.0011247-0.00058641i,0.0012537-0.0007157i,0.00077214-0.001385i,-0.00079586-0.00047765i,-0.002063+0.00061312i,-0.0012067+0.0015142i,0.00051756+0.00073863i,0.00052757-0.00054546i,-0.000666-0.00046427i,-0.00033086+9.1192e-05i,0.00058934+0.00029354i,-0.0001076+0.00039958i,-6.7668e-05+0.00015832i,0.00063935+0.00064491i,6.7583e-05+0.00050348i,-0.0003182+5.6672e-05i,0.0002222-0.00018101i,0.00055702-0.00043892i,7.8111e-05-0.00042729i,-0.00035384+0.00053431i,-0.00069782+0.00083372i,-0.00059396+0.00045237i,-1.9039e-05+0.00028099i
-0.00086554+0.00011388i,-0.0022085-2.2468e-05i,-0.0017445+0.00032346i,-0.0013432+0.00076441i,-0.00099114+0.00057929i,-0.00033837+0.00026042i,-0.00020883+0.00060685i,-0.00056712+0.00098883i,-0.00010395+0.00053345i,0.00080024-8.7947e-05i,0.00089829-0.0005731i,0.00043061-0.00027098i,0.00062311+0.00025453i,0.0015963+0.00013752i,0.0011054+0.00021637i,-0.00013707+0.00042462i,-0.00011473+0.00021163i,-7.0355e-05+0.00016448i,-0.00078209-3.6135e-05i,-0.00098165-3.903e-05i,-9.894e-05+4.9475e-05i,0.00082551+2.2107e-05i,0.0011528+0.00017066i
0.0013678-0.0012644i,0.0006779-0.0003729i,-7.9913e-05-0.00016365i,-0.00088655-0.00054424i,-0.0017365-0.00055915i,-0.0015329+0.00015656i,-0.00047662+0.00059635i,-0.00040879+6.2959e-05i,0.00025289-0.00081824i,0.0010559-0.00055786i,0.00026725+8.5887e-05i,-0.00035354+0.00054164i,-0.00026913+0.00086241i,0.00021778+0.0011255i,0.00032985+0.00086592i,0.00034457+7.486e-05i,0.00080384-0.0003196i,0.00021537-0.00025004i,0.0003378-0.00011174i,0.00072681+0.00030129i,-6.1787e-05+0.00066792i,-0.00061115-0.0002757i,-0.00025576-0.0012122i
0.00062386+0.00094994i,0.00063921+0.0010739i,0.00042705+0.00098907i,0.00025238+0.00086429i,-0.00022411+0.00081707i,-0.00096285+0.00066196i,-0.0005765+0.0001294i,-0.00018074-0.00057043i,-6.209e-05-0.00081113i,0.00016407-0.00060086i,0.00025437-9.2022e-05i,0.00040987+0.00027325i,0.00011528+0.00060802i,-0.00056055+0.00018566i,-0.00026827-0.00026728i,0.00052566+1.2695e-05i,0.00046494-0.00019981i,-0.00010419-0.00052194i,-0.00060387-0.00024657i,-0.00066323-0.00048949i,-8.5657e-05-0.00048084i,-0.00021923-0.00040099i,-0.0011487-0.00037042i
0.00031111-0.00013323i,0.0010347-0.00014355i,0.0023166+0.000258i,0.0018562+0.00067361i,0.00081454-0.00021939i,0.00050202-0.00028754i,0.0006832+0.00071099i,0.00065503+0.00066959i,-9.9419e-05-0.00024142i,-0.00055093-0.00019833i,-0.00069374+0.00022295i,0.00019605+3.9711e-05i,0.0012661-0.00041032i,0.00092649-0.00040537i,9.8647e-05-0.0003174i,-0.00071678+0.00035256i,-0.0010275+0.00096427i,-0.00028456+0.00027795i,0.00021105-0.00054483i,-6.5215e-05-0.00057496i,-5.3897e-05+0.00011868i,-0.0010341+0.00043974i,-0.0013354-0.00020872i
-0.00061159+0.00039328i,-0.0015897-0.00017463i,-0.0010413-0.00070026i,-0.0010629+8.5202e-05i,-0.0013273+0.00097205i,-0.00046907+0.001336i,-1.0743e-05+0.0009067i,0.00025232+0.00017466i,0.00018231-0.00018626i,-0.00011837-0.00047648i,-1.9709e-05-0.0010835i,-0.00026455-0.00086589i,-0.00018327-0.00029177i,-0.00044047-0.0004922i,-0.0010173-0.00088946i,-0.0004244-0.00090694i,2.4817e-05-0.00084946i,0.00023248-0.00095621i,0.00011813-0.0010469i,-0.00016999-0.0004472i,-0.00027822-0.00030528i,0.0001748-0.00018555i,0.0003735+6.5994e-06i
-0.001824-0.00059368i,-0.0014339+7.0722e-05i,-0.0017594+0.00075747i,-0.0018315+0.00097282i,-0.0012544+0.00095679i,-0.00076084+0.00054888i,-0.00057204+0.00021493i,-0.00070177+0.00021286i,-0.00080201-5.4153e-05i,0.00033001-0.00018273i,0.0010824-0.0001359i,0.00097984-0.00026855i,0.00086678-0.00055252i,0.00069067-0.00048619i,0.00018706+0.00019764i,-7.3124e-05+0.00010054i,7.1781e-05+0.00022229i,0.00096292+9.5926e-05i,0.0012074+0.00012358i,0.00039649-5.2141e-05i,0.00018944-0.00062897i,0.00031535-0.00027084i,0.00044906+0.00018607i
0.00082569-0.001772i,0.00032964-0.0013722i,-6.7301e-05-0.0012258i,-0.0014843-0.0014536i,-0.0022172-0.00017109i,-0.0012865+0.0013693i,-0.00047489+0.00087006i,-0.0003891+4.7242e-05i,-0.00029638-6.7202e-05i,-0.00023819-0.00039014i,-3.7475e-05-0.00024318i,-0.00051168+0.0004299i,0.00012206+0.00055225i,0.00017772+0.00054421i,-0.00044734+0.00031906i,0.00021144-0.00024621i,0.00048933-0.00066663i,0.0006328-0.00084373i,0.00087164-0.00017383i,0.00083417+0.00019311i,0.00077343-0.00026996i,0.00065927-0.00046263i,0.00055724-0.00014458i
0.00088204+0.00030485i,0.0015769+0.0011027i,0.0013389+0.0015832i,9.3671e-05+0.0011238i,8.4707e-05+0.0012748i,0.00064497+0.0011896i,0.00012249+0.0011975i,-0.00060378+0.00095817i,0.00010079-0.00012526i,0.00040939-0.00038756i,0.00032949+0.00038637i,0.0011272+0.00076529i,0.0015722+0.00066852i,0.001202-0.00010682i,0.00046008+9.0513e-05i,-9.1943e-07+0.00047043i,0.00014931+9.2587e-05i,0.00052805-0.00063411i,0.00041234-0.00012665i,-0.00036655+0.00079386i,-0.00030474+0.00064529i,0.00028266+0.00058868i,-9.1544e-05+0.00022057i
0.00022867-0.0010483i,-0.0013658-0.0016918i,-0.0023165-0.0012989i,-0.0024106-0.00051338i,-0.0024476+0.00075234i,-0.0019369+0.0017185i,-0.0013424+0.00045341i,-0.00098798-0.00071796i,0.00016612-0.00056067i,0.00092451-0.00058279i,0.00027738+7.3629e-05i,-3.4588e-05+0.0012569i,0.00098689+0.0014822i,0.00075764+0.00093865i,-0.0004607-0.00092901i,-0.00073125-0.001883i,-0.00036535-0.0011542i,0.00022234-8.6512e-05i,0.00074187+0.00034323i,0.0004093+0.00013606i,0.00023762+0.00030552i,4.4513e-05+0.00067151i,-4.0935e-05+0.00030567i
2.4513e-05-0.0021813i,-0.00015622-0.0025414i,-0.00095775-0.0027589i,-0.0018257-0.0020469i,-0.0013426-0.00019692i,-0.00042436+0.00075772i,-0.00024129+0.00057595i,-0.00096659+0.00041821i,-0.00087281-0.00017107i,-1.8133e-05-0.00074304i,-0.00010563-0.00077129i,-0.00042035-0.00091504i,-0.0002243-0.00031818i,0.00031939-0.00032675i,0.00012587-0.0008705i,-9.6832e-05-0.00063431i,0.00039771-0.0002948i,0.00013755-0.000101i,-0.00091109+4.1254e-05i,-0.0011354+0.00024061i,4.1016e-06+0.00032794i,0.00057216-0.00023761i,0.0010364-0.00043555i
-0.00058275-0.00070734i,-0.0012611+0.00042105i,-0.00090195-5.5089e-05i,-0.00098013-7.8642e-05i,-0.00086331+0.00044162i,-0.00069679+0.00023687i,-0.00078614-0.00050054i,-0.0010256-0.00060993i,-0.00069551+0.00011457i,0.00048661-4.4247e-05i,0.00096179-0.00014745i,0.00020154+0.00084929i,7.0773e-05+0.00087156i,0.00070159-0.00032494i,0.00063797-0.00080405i,0.00033812+0.00016067i,0.0005614+0.0011257i,0.00066399+0.0011087i,0.00031739-0.00027892i,0.00039629-0.00096062i,0.00023011-0.00017359i,-0.00021017+0.00031278i,-0.00023409+0.00031515i
0.00063132-0.00071072i,0.00036536-0.0010735i,-0.00071022-0.0013002i,-0.002489-0.0023311i,-0.0026282-0.0014974i,-0.001205+0.00031903i,-7.1914e-05+0.00077173i,-3.285e-05+0.00059274i,3.1909e-05+0.00052054i,-6.9758e-05-0.0002171i,0.0002262-0.00075963i,0.00095279-2.2231e-05i,0.0012042+0.00056639i,0.00084003-1.0493e-05i,0.00032596-0.00083763i,-0.00020591-0.0010813i,-0.00012702-0.0014686i,0.00028976-0.0013769i,0.00087776-0.00020375i,0.0010065+0.00056876i,0.00045401+0.00030795i,0.0005177-0.00029229i,0.00094034-0.00037936i
-0.0024233+0.00036816i,-0.0031758+0.0013783i,-0.0031239+0.0014973i,-0.0024068+0.00086749i,-0.0012489+0.00093074i,-0.00041843+0.0016021i,8.3997e-05+0.0011893i,-0.00027079+0.00040175i,-0.00076455-0.00013648i,-0.00032541-0.00036342i,0.00062267-0.00049457i,0.00072102-0.00084375i,8.9861e-05-0.00054384i,-0.0002643-0.00078161i,-0.00034003-0.00083702i,-0.00024814-6.4075e-06i,0.00027027+0.00075347i,0.00039465+0.00079351i,0.00041048-9.5244e-06i,0.00066592-0.00049545i,0.00053439-0.00013738i,0.0010251+0.00052787i,0.00019942+0.00043844i
-0.00081432+0.0005295i,-0.00026468+0.00015944i,0.00037241+0.00055272i,-2.9027e-05+0.00047258i,-0.00043908+0.00043435i,-0.00057325+0.0007312i,-1.4526e-05+0.0003663i,0.0010651+0.00014659i,0.0010792+0.00051192i,0.0004769+0.00066653i,0.00028589+0.00048124i,0.00049355+0.00027795i,0.00063168-0.00042264i,0.00098864-0.00034461i,0.00023097-0.0001319i,-0.00068999-0.00063924i,-0.00052743-0.00015282i,-0.0011644-0.00053212i,-0.00093894-0.0013202i,-0.00016352-0.0010743i,-0.00051394-0.00063029i,-0.00046427-0.00023716i,0.00025025+0.00040893i
-0.00053153+0.00081483i,0.00031026-0.00079195i,0.00045063-0.0010334i,-0.0010041+0.00030531i,-0.001444+0.0013466i,-0.0011922+0.0017049i,-0.001188+0.00099862i,-0.0009759+0.00060351i,-0.00077891+0.00059894i,-6.903e-05+0.00039644i,0.00055333+0.0005056i,-0.00010439+0.00065779i,-0.0005064+0.00089219i,6.2158e-05+0.0007277i,6.9223e-05-0.0002542i,-6.5632e-05-0.00054498i,0.00054237-0.00056071i,5.2211e-05-0.00056275i,-0.00029711+0.00010995i,0.00013589+0.00026893i,0.00041067-0.00027812i,0.000841-0.00048947i,0.0012036-0.00027208i
-0.0003576+0.00081496i,0.00075255+0.0012704i,0.0008491+0.00099675i,0.00032774-6.0007e-05i,0.00014537-0.00041093i,-0.00010815-0.00048238i,-0.00072172-0.00064019i,-0.00064448-0.00064183i,0.00015084-0.00010926i,0.00079937+0.00014506i,3.0446e-06-9.4406e-05i,-0.0003937+9.1038e-05i,6.9175e-05+0.00022972i,0.00052833+0.0002553i,0.00090386+0.00040048i,0.00016848-0.00013428i,-0.00028871-0.0004715i,6.3052e-05-0.00032294i,2.6369e-05-0.00048166i,-0.0002664-0.00022363i,-0.00050339-0.00032126i,-0.00021873-0.00025068i,-0.00028661-0.0002735i
0.00093249-0.0001074i,0.00010841-0.00054673i,-9.4295e-05-0.0012333i,-0.00013496-0.0014977i,-0.00049233-0.00086808i,-0.00036454-0.00029308i,0.0009256-0.00045865i,0.00137-0.00070871i,0.00087611-0.0010902i,0.00088851-0.00078644i,0.00097076-0.00043938i,0.0003986-0.0002464i,-4.901e-06+0.00014119i,-0.00022018+0.00017659i,-0.00050114-0.00045576i,0.00014268-0.00035365i,0.00055809+0.00051923i,0.00048307+0.00032377i,0.00049952-0.00035329i,-0.00023317-0.00036288i,-0.00078118+9.0543e-05i,-0.00041362+0.00013523i,-0.00017583-0.00041321i
0.0012462+0.0010254i,0.001146-0.00040794i,0.0015926-0.00010006i,0.00040563+0.00023108i,-0.00088632-0.00042434i,-0.00043856-0.00025654i,-0.00025026+0.00018048i,5.863e-05+0.00013075i,0.00058368+0.00039517i,0.00066206-0.00037375i,0.00034092-0.00097681i,-0.00027268-0.00064088i,-0.00058034-0.00048369i,-0.00030115-0.00041164i,-0.00027057+0.00021278i,-0.00031491+0.00037623i,-9.478e-07-0.0002566i,-8.8409e-05-0.00080748i,-0.00055854-0.00018044i,-0.00037473-9.6693e-05i,-0.00026522-0.0003802i,-0.0006798-0.00013434i,-0.00082885-0.0002034i
