-0.001315+0.0025166i,-0.0011852+0.0011107i,-0.0014752+0.00075969i,-0.0019782+0.0004961i,-0.0021642+0.00093854i,-0.0023216+0.0016182i,-0.0023175+0.0020334i,-0.0012353+0.0013639i,0.00051695-0.00021062i,0.0010091-0.0010923i,0.00061592-0.0009411i,0.00043257-0.00020271i,0.00040209-0.00021862i,0.00025277-0.00070831i,-6.6728e-05-8.7055e-05i,-0.00028375+0.00067135i,-0.00024732+4.2698e-05i,-1.4733e-05-0.00017191i,0.00020727+0.00026152i,0.00011726+0.0004857i,5.166e-05-0.00035575i,-0.00032136-0.0012015i,-0.0006206-0.00072738i
-0.0019255-0.00017234i,-0.0013216+0.00062157i,-0.00072993+0.0020419i,7.8387e-05+0.0025087i,-1.7671e-05+0.0012493i,-0.00058806-0.0001024i,-0.00069537-0.00039831i,-0.00072931-0.00038332i,-0.00051195-0.00030605i,0.00010484-0.00018816i,0.0010278-5.1565e-05i,0.0013324+0.00019217i,0.00065676+2.1135e-05i,-0.00027633-0.00036001i,-0.00026055-0.0014166i,0.00049915-0.00085153i,0.00053576+0.00045677i,0.00039707+0.00029831i,0.00067091+0.00017037i,1.0498e-05+0.00053156i,-0.00059725+0.00054681i,-0.00040203+0.00044009i,-0.00012261+0.0006309i
0.00022804+0.0021112i,0.00086517+0.0024659i,0.0017068+0.001446i,0.0021846+0.0014765i,0.0019331+0.0015394i,0.00087505+0.00081588i,-0.00072698+0.00044597i,-0.00084013+0.00062229i,-0.00022149+0.00088819i,9.4948e-05+0.00049389i,-0.00026917+0.00084214i,-7.4176e-05+0.0015827i,7.3705e-05+0.0008863i,-0.00040408-0.00047046i,-0.00026427-0.00097132i,0.00013505-0.0008997i,3.8696e-05-0.00065312i,-9.1909e-05+0.00027119i,-3.2732e-05+0.00066981i,0.00055124+0.00018393i,0.00050162-2.8372e-05i,0.00026712+0.00021367i,-0.00040751+0.00038203i
0.00063225+0.00011044i,2.3473e-05-0.0011166i,-0.00048489-0.0016032i,-0.00083409-0.00079746i,-0.00081427-0.00063909i,-0.0010306-0.0011176i,-0.0013317-1.3077e-05i,-0.00085151+0.00044102i,-9.2497e-05+0.00066127i,7.8165e-05+0.0012036i,0.00022696+0.0015278i,0.00029085+0.00090185i,-6.4225e-06-0.00030554i,-0.0002174-0.00030171i,0.00028245-0.00029019i,0.00046558-0.00032892i,-5.588e-05-0.00016603i,-5.0965e-05-0.00047358i,8.2067e-05-0.00041285i,0.00027838-0.0001351i,0.00031182+0.00075364i,0.0002217+0.00077504i,5.1097e-06+9.2417e-05i
0.00032726+0.00078889i,0.00042321+0.0009597i,0.00096253+0.0009847i,0.00069695+0.00046898i,-0.00035369-0.00010085i,-0.0018177-0.00041758i,-0.0024884-0.00058204i,-0.0011362-0.00041494i,-0.00020135-0.0002302i,-0.0001896-8.0237e-05i,-0.00071888-0.00019811i,-0.0012479-0.00096789i,-0.0011486-0.0014306i,-0.00049212-0.00012248i,0.00029487+0.00048966i,0.00041196-3.8334e-05i,0.00038959-2.6883e-05i,0.00052746-0.00022614i,-7.3855e-05-0.00053194i,-0.0005297-0.00013715i,-0.00027946+0.00031591i,-8.9985e-05+0.00042489i,-0.00039902+0.00030813i
0.00031962+0.0011916i,-9.9491e-05+0.001959i,-0.00060403+0.001879i,-0.0004882+0.00067745i,-0.00101-0.00044735i,-0.0012075-0.00010869i,-0.00042467+0.00094957i,0.00024893+0.0012243i,0.00035558+0.0004908i,0.00067839+6.8708e-05i,0.00023676+0.00041154i,-0.00053568+0.0003919i,-0.00017691-0.00010951i,0.00041609-0.00035771i,0.00018473+0.00031733i,-0.00011135+0.0004588i,0.00024593-9.0945e-05i,0.00027537+0.00055852i,-0.00012145+0.00079157i,-5.5039e-05+0.00030625i,0.00034571-6.5947e-05i,0.00068223-6.0068e-05i,0.0005675+0.00076751i
0.0024126+0.0009075i,0.0021012+0.00024498i,0.0019009-0.0012733i,0.0013304-0.0010307i,0.00036974+0.00023551i,-0.00055215+0.000451i,-0.0001493+0.00078997i,0.00064151+0.0013707i,0.00028415+0.00095372i,-0.00056964+0.00065628i,-0.0003968+0.00044921i,0.00026108+0.00054377i,0.00012391+0.00039623i,3.9813e-06+0.00052715i,0.00059114+0.0012659i,0.00029671+0.0011294i,-0.00022371+0.00011415i,1.7255e-06-0.00028553i,0.00016992-5.312e-05i,0.00015953+0.00036585i,-7.8208e-05-9.3688e-05i,0.0001393-0.0011245i,6.7462e-05-0.00019163i
-0.0014135-0.00018936i,-0.0013165+0.00018639i,-0.0012129+0.0014906i,-0.0016739+0.0022718i,-0.00083174+0.0017097i,-2.4293e-05+0.0011999i,-0.00022649+0.00055639i,0.00036622+0.00029261i,0.00033917-0.00021477i,-0.00049576-0.00040881i,-0.00042114+0.00028604i,0.00036115+0.00013215i,0.00082168-0.00024395i,0.0010258-0.00014348i,0.0012955+0.00039792i,0.0010991+0.00041248i,0.0010062-0.00012044i,0.00061829+0.0002501i,-1.0324e-05+0.00039432i,-0.00046694-1.4615e-05i,-0.00023529+0.00033392i,0.00028167+0.00059899i,0.00023217+0.0004628i
-0.00052718+0.0020424i,0.00017744+0.0025088i,0.00053593+0.0026317i,0.0004475+0.00098214i,0.00034508-0.0010879i,-0.00072041-0.0018719i,-0.0017424-0.00052983i,-0.0013129+0.00058013i,-0.00036601+0.00056449i,-0.00029814+0.00054376i,-0.00019114+0.00048798i,0.00027705-0.0003581i,-9.2492e-06-0.00040202i,-0.00037528-2.7036e-05i,-0.00078022-0.00029941i,-0.00062538-4.7072e-05i,-0.00018892+0.00091791i,-0.00071348+0.0011687i,-0.001191+0.00044378i,-0.0010475+0.00077272i,-0.00032896+0.001157i,0.00078867+0.00083469i,0.00064244+0.00067215i
-0.00023525+0.00041593i,0.00055909-0.00054458i,7.8156e-05-0.0016392i,0.00019915-0.00058283i,-0.0001463+0.0003317i,-0.00088986+0.00013115i,-0.0011621+0.00029337i,-0.0015862+0.00036234i,-0.0018419+0.00020664i,-0.00080974+0.00049711i,0.00043741+0.00019571i,0.00068681-0.00024089i,5.699e-05+0.0003956i,-0.00013445+0.00060306i,0.00079754+0.00040538i,0.00076283+0.00020753i,1.1494e-06+0.00015109i,-0.00037747+5.3535e-05i,-0.0001514-0.00044016i,-4.8648e-05-0.00080241i,-0.00061559-0.00077417i,-0.0013676-0.00013498i,-0.0010593+0.00072903i
-0.0016229+0.00090112i,-0.00061799+0.0005447i,0.0016727+0.00048622i,0.0020664+0.0010378i,0.0015298+0.00066486i,0.00091915-0.00022657i,-0.00032225-0.00045925i,-0.00089447+0.00046787i,-0.00052465+0.0013206i,0.00032524+0.00077271i,0.00095842-4.1239e-05i,0.00050667-0.00031784i,-0.00010977-0.00047594i,-0.00021387-0.00059824i,-2.0779e-06-0.00015922i,0.00014881+8.1783e-05i,0.0007141+0.00058039i,0.0014632+0.00077042i,0.0012314-8.0736e-06i,0.0004545-0.0005654i,0.00056289-0.00080535i,0.00073727-0.00050552i,0.00060647+0.00018327i
