-0.0020716+0.0024058i,-0.0012161+0.0021631i,4.3171e-05+0.0017922i,0.00064489+0.0012143i,0.0019031+0.00081636i,0.0031951-0.00016885i,0.0019713-0.00090449i,4.0569e-05-0.0004307i,-0.00083289-0.00033989i,-0.0013581-0.00095574i,-0.00086624-0.00074596i,-0.00076577-0.00014824i,-0.00052403-0.0005514i,2.1269e-05-0.00065015i,0.0004206+0.00045508i,0.00065809+0.00030094i,0.00017855-0.00097467i,4.4647e-05-0.00086141i,-1.8076e-05+1.0327e-06i,6.8524e-05+0.0003031i,0.00029385+0.00019149i,0.00045934+0.00020899i,-0.00038855-0.00045736i
-0.0014677-0.001563i,-0.0018362-0.00065188i,-0.0020842+0.0009418i,-0.0020591+0.0010351i,-0.0013693+0.00048984i,0.0003356+0.00029876i,0.00074316-6.5001e-05i,0.00024752-0.0002092i,0.00036032-4.5023e-05i,0.00016121-0.00014429i,-0.00011064-0.00016615i,-0.00026904+0.0005976i,-0.0010308+0.0012404i,-0.00092319+0.00065468i,-3.7832e-06-0.00029574i,0.00022037-0.00034752i,0.00021886-8.3925e-05i,0.00058996-0.00021829i,0.0007496-0.00032581i,0.00026719-0.00038402i,-0.00060931-0.00061847i,-0.00058511-0.0003593i,0.00014562-0.00043279i
0.00099421+0.00047026i,0.00090596+0.00061441i,0.00073286-0.00022874i,0.00017172-0.0012856i,0.00034829-0.0013662i,0.0011015-0.00086831i,0.0004723-0.00050567i,-0.00074887-0.0010472i,-3.1787e-05-0.0015741i,0.00016724-0.00071707i,-0.0004915-0.00011399i,-0.00021611-0.00049442i,-0.00015269-0.00085188i,-0.00075953-0.00095995i,-0.00030324-0.0010402i,0.0011235-1.811e-05i,0.0012109+0.0013251i,4.7572e-05+0.0017656i,-0.00036773+0.00039567i,5.455e-06-0.0007588i,0.00011371-0.00023662i,0.00019205+2.3469e-06i,4.0925e-07-0.00051051i
-0.001015-0.0016917i,-0.00072317-0.002848i,-0.00086184-0.0033198i,-0.00079924-0.0021312i,-0.00099113-0.00066671i,-0.00030019-0.00038624i,0.00010189-0.0010352i,-0.00022719-0.001752i,9.379e-05-0.0018202i,0.0006483-0.0011406i,0.00045542-0.001112i,-0.00058969-0.0013686i,-0.0012295-0.0011807i,-0.00059406-0.00056818i,0.00017332-0.00012257i,0.00010944-7.7479e-06i,0.00035864+0.00048268i,0.00059656+0.0010831i,0.00078255+0.0010334i,0.00081728+0.00044413i,0.0005392-7.8238e-05i,0.00060287-0.0001019i,0.00082168-0.00011563i
-0.00060505-0.00077831i,-0.00062068+0.00033919i,2.9126e-05+0.0010159i,0.00042335+0.00091697i,-0.00052643-0.00011744i,-0.00077746-0.0010711i,-6.9986e-06-0.0010159i,0.00025471-0.00084651i,-3.1022e-05-0.00064192i,0.00010794-0.00048928i,-0.00029923-0.00065819i,-0.00041455-0.00024209i,-0.00032914-4.1076e-05i,-0.0006521-0.00012808i,-4.3327e-05+0.00034824i,0.00062072+0.0003485i,0.00073486+0.00061331i,0.00032379+0.00080777i,-0.00033597+0.00042165i,-0.00039326+0.00019757i,-0.00072611+0.00027311i,-0.00080972+9.2506e-05i,-0.00046621+0.00016844i
0.0011646-0.0018223i,0.00070957-0.0025824i,1.0748e-06-0.0031875i,-0.0013059-0.0031477i,-0.0017521-0.0020164i,-0.0014178-0.00076272i,-0.00056146-0.00077253i,0.00034395-0.00094624i,-0.00042789-0.0006829i,-0.0010138-0.00077637i,-0.00069041-0.00042017i,-0.00077773+0.00033057i,-0.00039623+4.6577e-05i,-0.00025613-0.00071236i,-0.00072979-0.00064273i,-0.00048279-0.00045759i,6.0926e-05-0.00099362i,0.00012568-0.0010822i,9.3544e-05+4.5922e-05i,0.0003046-0.00013117i,0.00090312-0.00055094i,0.0010938-0.00055289i,0.00071759-0.00077795i
-0.0018681+0.00017577i,-0.0026489-0.00024939i,-0.002992-0.00039702i,-0.0020208+0.00046119i,-0.0004921+0.00018403i,0.0015059-0.0010775i,0.0016339-0.0013282i,0.00054908-0.0015551i,-7.5228e-05-0.0011872i,-0.00037133-0.00036777i,0.00021066-0.00049982i,0.0010187+0.0001029i,0.0011808+0.00060799i,0.00070866-8.1547e-05i,0.00029299-1.6078e-05i,0.00023164+0.00062127i,0.00086301-5.9671e-05i,0.0014798-0.00066551i,0.0012702-0.00076174i,0.0012302-0.00052673i,0.00045786+0.00033656i,-0.00089371+0.00097004i,-0.00016183+0.00048293i
0.00051554+0.00073948i,0.00033759+0.00032826i,0.0023809+0.00051468i,0.0029792-1.164e-05i,0.0029998-0.00037827i,0.0022922+0.00061628i,0.0015878+0.00079173i,0.00084717+0.00059134i,0.00066277+5.0807e-05i,0.0005781-0.0010436i,0.00039189-0.0010279i,0.00064794+0.00011166i,0.00012829+0.00045528i,-0.0003561+0.00057276i,7.0067e-05+0.00087953i,0.00020851+0.00090605i,0.00041865+0.00035665i,0.0005589+0.00016745i,0.00016965-0.00049618i,0.0002518-0.0017667i,0.00044348-0.0014287i,-0.00019411-0.00028218i,-0.00033114-0.00034266i
-0.00053312+0.0025259i,0.00019653+0.0019037i,0.00080724+0.0022076i,0.0010888+0.0013903i,0.0012651-0.00015481i,0.001355-0.00056187i,0.0012499+0.00023851i,0.0006889+0.00067709i,0.00044298+0.00063763i,-1.3621e-05+0.00084309i,-0.00070611+0.00026824i,-0.00043765-0.00027293i,0.00015828+0.00010522i,0.00029883+0.00059752i,0.00056134+0.00043677i,0.00072659+0.00040591i,0.00042337+0.00020995i,6.7511e-05-0.00013312i,0.00028494-0.00049549i,0.00051115-0.00037587i,0.00035878-0.0001062i,0.00060097+6.4222e-05i,0.00050189+8.33e-05i
0.00068391-0.00056172i,-0.00044404-0.0016973i,-0.00025551-0.00081975i,-0.00018655+0.00074264i,0.00070686+0.001191i,0.0010531+0.00049781i,0.0010368-0.00027332i,0.00081124-0.00042047i,0.00038755-0.001355i,0.00027789-0.0017838i,0.0001706-0.00090533i,-0.0005291-0.00050253i,-0.00035265-0.00032421i,8.114e-05+0.00016855i,0.00024857+0.00040896i,-6.3335e-05-0.00012777i,7.3668e-05-0.00047882i,0.00061473-0.00037103i,0.00066516-0.00052725i,0.0010268-0.00015717i,0.0010879+0.00074975i,0.00025109+0.00032193i,-0.00037923+7.1176e-05i
