-0.0020768-0.00039672i,-0.0011724-0.00045819i,-0.0016115+0.0012314i,-0.0014627+0.002827i,-0.00044985+0.0032937i,0.00062721+0.002498i,0.00066346+0.001497i,0.00052962+0.0012092i,0.00069186+0.0020057i,0.001287+0.0021054i,0.0019694+0.00072236i,0.0008094-0.00034481i,-0.0004883-0.00068746i,-0.00078956-0.00115i,-0.00027592-0.0011315i,-0.00051829-0.00051311i,-0.0013882-0.00027224i,-0.00082791-0.00060872i,-0.00064776-2.1994e-05i,-0.00087819+0.00087925i,-0.000695+0.00080274i,-0.0006424-0.00024277i,8.6566e-05-0.00052542i
0.00039288-0.0027936i,-0.00055177-0.0032312i,-0.0015455-0.0025081i,-0.0022629-0.0012333i,-0.0015761-0.00097565i,-8.2516e-06+7.0438e-05i,0.00043662+0.00069566i,0.00063077+0.00086839i,0.00051712+0.0014122i,5.817e-05+0.0013927i,0.00034893+0.00085985i,0.00047362+0.00039824i,0.00033801-0.00013709i,0.00064958-0.00015361i,0.00083394-0.00015179i,0.00070368-0.00084206i,0.00029292-0.00076676i,9.2456e-05+5.4082e-05i,2.3942e-05-4.0534e-05i,-0.0007443-0.00037393i,-0.0010085-0.00012505i,-0.00068471-0.00018518i,-0.00058298+0.00037561i
0.00091862-0.00012914i,-0.00052176-0.00042367i,-0.0018837-0.00017498i,-0.0018672-0.00021322i,-0.00080546+0.00051899i,0.00016664+0.00041997i,0.0010019-0.00024397i,0.00038236+0.00049807i,2.7782e-06+0.0012076i,0.00016969+0.0013669i,0.0003018+0.0013754i,-0.00025784+0.00093868i,-0.0010156+0.00050826i,-2.5777e-05-5.4065e-05i,0.00094928-0.00042437i,0.00029996-0.0003348i,5.8346e-05-0.00037615i,0.0006816+0.00022565i,0.00090032+0.0006313i,0.00053927+2.0603e-05i,-0.00019573-0.00032732i,-0.00081334+0.00013026i,-0.00065129-0.00016668i
0.00042356-0.00033843i,-0.00053279-0.0016309i,-0.0014459-0.003211i,-0.001416-0.0024799i,-0.00069036-0.00094271i,-1.4789e-05-0.00035914i,0.0011154-0.00031299i,0.00081159+0.00081807i,-0.00040212+0.0018082i,-0.00025118+0.0014038i,0.00027902+0.0013581i,-0.00012611+0.0014134i,-0.0001692+0.00062558i,0.00027458+0.00061675i,0.00033122+0.00070575i,0.0011238+0.00060084i,0.00095267+0.0007471i,0.00046953+0.00069648i,-0.00018156+0.00039658i,-0.00043439-9.0859e-05i,0.00028124-0.00047324i,8.2522e-05-0.00045378i,-0.00033321-0.0001294i
0.00063479+0.0022877i,0.0019685+0.0019314i,0.0026129+0.00077389i,0.002017-8.9257e-05i,0.0023097-0.00087074i,0.0027565-0.00063664i,0.0011661+0.0012684i,-0.00048615+0.0019711i,8.8342e-05+0.00087674i,0.00073045+0.00094109i,-0.00042326+0.0014375i,-0.00091456+0.00077693i,-0.00052385+0.0008733i,-0.00061385+0.0012319i,-0.00077483+0.00068307i,-0.00023318+0.00037327i,0.00037106+0.0003502i,0.00041652+8.9813e-05i,0.00048193+0.00043829i,0.00013403+0.00088298i,-9.4889e-05+0.00089637i,-0.00042471+0.00054562i,-0.000945+0.00023624i
-0.00058426+0.00078883i,-0.0011059-0.0003582i,-0.0017959-0.00075562i,-0.0013853+0.00031858i,-6.2063e-05+0.0003747i,0.0013549-0.00015718i,0.001433+0.00054098i,0.0011915+0.0010114i,0.0018073+0.00083032i,0.0008195+0.00069491i,-0.0003217+0.00021171i,-0.00020541-5.9487e-05i,-0.00030104-0.00030568i,0.00014678-0.00050575i,0.00060741-7.9802e-05i,5.5179e-05+0.00013762i,-0.00023706+1.5464e-06i,0.00060535-0.00022172i,0.00074576+0.00067541i,-0.00051268+0.0011368i,-0.00081798+0.00045933i,-0.00022599+0.00042846i,-0.00032655+0.00061763i
0.001085+0.00014627i,0.00067102-0.00052097i,0.00098784-0.0014638i,0.00051666-0.0021357i,0.00050221-0.0017136i,6.2891e-05-0.00037438i,0.00016162+0.00016519i,0.0014004+0.00029681i,0.00079248+0.00065159i,-0.00027061+0.0011907i,-0.00047169+0.00091803i,-0.00073433+0.00062893i,-0.00038086+0.00063266i,0.00027029+0.00010814i,0.0002811-0.00015536i,9.2718e-05+0.00056643i,3.8645e-05-7.6206e-05i,0.00021727-0.0010324i,-0.00038798-0.00072698i,-0.00065865-0.00063604i,-0.00015151-0.00063643i,-0.00051294-0.0011036i,-0.00044969-0.0010174i
0.00029551-0.0014247i,0.00053072-0.0015634i,-0.0009292-0.0011444i,-0.0015715+0.0002513i,-0.0010804+0.00066395i,4.0475e-07+0.00081773i,0.00081349+0.00091443i,0.00080734+0.00074973i,0.00074235+0.0009944i,0.00038203+0.00039818i,-0.00010125+0.00037084i,-0.00090048+0.00035817i,-0.001593+0.00016821i,-0.00063527+1.3976e-05i,0.0005298-8.5237e-05i,0.00066422-0.0002548i,-0.00011011-0.00037694i,-0.00073408-0.00017142i,-0.00035671-0.00042378i,-0.00043935-0.00048406i,-0.00013837-2.0524e-05i,-2.5149e-05+7.9572e-05i,-0.00058883-0.00014147i
-0.0010091-0.00042029i,-0.0013563-0.00021815i,-0.0022505-0.00044839i,-0.0026411-0.00016463i,-0.00090681+0.0010073i,0.00065966+0.0018141i,0.0010331+0.0012425i,0.0011861+0.0010155i,0.0014419+0.0013716i,0.0014378+0.001315i,0.0008659+0.00038466i,-0.00028692+6.5045e-05i,-0.0009389-0.00043306i,-0.00013816-0.0012543i,0.00056227-0.0009966i,0.00065041-0.00030676i,0.00057398-0.00017292i,0.00047406-0.00070063i,0.00035108-0.00039169i,0.00040653+0.00024369i,0.00021636+0.00043111i,-0.00028125+0.00038283i,-0.00060131-6.6408e-05i
0.00078408-0.0023203i,-0.00018933-0.0024569i,-0.0019022-0.0027754i,-0.0027287-0.0017644i,-0.0016412+0.00023437i,-0.00087127+0.00015575i,3.4877e-05-0.0006621i,0.00064252-0.00078677i,-3.4343e-05-0.0004684i,-0.00051248+0.00039766i,-0.00046824+0.00032468i,-0.00024165-0.00061154i,9.4334e-05-0.00061505i,0.00050949-2.2611e-05i,0.00066121+0.00074918i,-0.00015322+0.00048913i,-0.00034408-0.00062006i,0.00064747-0.00071476i,0.00070534+0.00012502i,5.0882e-05+0.00034642i,-0.00023304-0.00034678i,-8.1704e-07-0.00079327i,0.00014811-0.00086174i
0.0010656+0.00028269i,0.00073119-0.00077168i,0.0012001-0.0015095i,0.0018465-0.0011415i,0.0014754-0.00068963i,0.00095731+0.0005988i,0.00038048+0.0010086i,9.7319e-05+0.0010938i,0.00023301+0.0010486i,-0.00033164+7.6115e-05i,-0.0010566-0.00032762i,-0.0010851-1.3803e-05i,-0.00085405+0.00075583i,-4.0141e-05+0.00057941i,0.00079377-0.00047233i,0.001139-0.00083198i,0.0017282-0.00035251i,0.0010527-2.1074e-05i,0.00020905+2.4197e-05i,-9.4686e-05-5.5938e-05i,-0.00038685+0.00048697i,-0.0004012+0.0009314i,-0.00028089+0.00010906i
-0.00064448+6.2211e-06i,2.1476e-06-0.0010666i,-0.00041604-0.00045738i,-0.00073659+0.00026706i,0.00034406+0.00027847i,0.00070586+0.0001575i,2.6836e-05-0.00038055i,-2.4247e-05+0.00024296i,-0.00035617+0.00097069i,-0.00050651+0.00060862i,-0.00027862+0.00040735i,-3.7296e-05+4.9536e-06i,0.00011617-0.00038484i,5.0992e-05+6.7911e-05i,-2.7575e-05+0.00036431i,-0.00060018-0.00041875i,-0.00042742-0.0011119i,0.00033288-0.00095164i,0.00032794-0.00011887i,-5.508e-05+0.00052786i,-0.0012659+0.00034543i,-0.0011326+0.00011675i,0.00069495+0.00019927i
0.00096937+0.00033556i,0.00075097-0.00055942i,0.0003343-0.00046876i,-9.0372e-05+0.00026693i,-0.0001572+0.0011621i,0.00053057+0.0011374i,0.00091632+0.0007046i,0.00043415+0.00091091i,-0.00015095+0.00095792i,-0.00013941+0.00069989i,0.00010323+0.00037068i,-0.00022557+0.00032974i,-0.00038986+0.00064609i,0.00042068+0.00031856i,0.00037232-1.8896e-05i,-0.00049944+0.00043339i,-0.00089894+0.0003573i,-0.00040204+0.00041161i,3.3235e-05+0.00072118i,-0.00010584+0.0007613i,-0.00016225+0.000347i,0.00038987+0.00040902i,9.5776e-05+0.00034348i
0.00064856-6.1016e-05i,0.0011308-0.00077565i,0.0011073-0.00054467i,0.00019146-0.00030496i,-3.3641e-05-5.3331e-06i,0.00014611+0.00059824i,0.00055357+0.00051196i,0.0012778+0.00013134i,0.0010966+0.00045863i,0.00054317+0.0012019i,0.00015432+0.0012155i,-0.00086223+0.00044806i,-0.0010249+0.00019742i,-0.00076076+0.00052579i,-0.00075295+0.00057309i,-0.00057464+0.00010124i,0.00039821-0.00036137i,0.00079476-6.7805e-05i,0.00025516+7.584e-05i,0.00014331-8.8538e-05i,5.0555e-05-0.00012824i,6.2146e-05-0.00019752i,-0.00020957+0.0001117i
-0.00027745+0.00056292i,-0.0002812+0.00022795i,0.00077148-0.00051558i,0.0014057-0.0014289i,0.0015888-0.0013103i,0.00071833-0.00051219i,-0.00028484+0.00056627i,-0.00070133+0.0016908i,-0.00047082+0.001892i,0.00013703+0.0011012i,-0.00015562+0.00074898i,-0.00093261+0.00082236i,-0.0013919+0.0010579i,-0.0013517+0.00075009i,-0.00048217+6.6103e-05i,0.00047172+0.00045775i,0.00038647+0.0010785i,-0.00029549+0.00090629i,-0.00051652+0.00042986i,4.2907e-05+0.00020087i,0.00080732+0.00018758i,0.0004239+0.00042062i,-0.00053697+0.00060164i
-0.00022467+0.00042602i,-0.00068172-4.0275e-05i,-0.0014114-0.00019337i,-0.0015022-0.00031407i,7.3804e-05-0.00060553i,0.0016817-0.00024331i,0.0015644+0.00053055i,0.00050643+0.0010923i,0.00058374+0.0016438i,0.0006657+0.0014172i,-0.00028089+0.00084178i,-0.00078983+0.00056199i,-0.00074328+0.00055287i,-0.00061904+0.0005678i,0.00035611+2.9797e-05i,0.0010417-0.00010681i,0.00029734-9.2948e-05i,-6.9083e-05+0.00012814i,-6.3384e-05+0.00041687i,0.00044747+0.00050757i,0.00029667+0.00079886i,-0.00030211+0.00053625i,-0.00019598-0.00020821i
-0.00013667-0.00084302i,-0.0006922-0.0008809i,-0.0017415-0.00094214i,-0.0011969-0.0007113i,0.00052282+0.00031007i,0.0010994+0.00029978i,0.0011692+0.00050119i,0.00083447+0.0010426i,-1.9796e-05+0.0010981i,-0.00051726+0.001445i,-0.00095948+0.00084342i,-0.000543+0.0001266i,0.0004333-0.00012132i,0.00076141-0.00026544i,0.0002909+6.9764e-05i,0.00022203+8.4048e-05i,0.00065796+0.00032328i,0.00047115+0.00035838i,7.9539e-05+0.00018225i,-0.00037686+0.00049887i,-0.00051227-4.0451e-05i,-0.0010962+2.2346e-05i,-0.0011696-0.00042402i
-0.00054988-0.00046067i,-0.001226-0.00042581i,-0.0018308-0.00070032i,-0.0022487-0.00076734i,-0.001189+0.00039148i,0.0017577+0.0011752i,0.0022734+0.0012474i,0.00092762+0.0012118i,4.1209e-05+0.00088511i,-0.00018492+0.00077037i,-5.4507e-05+0.00066355i,-0.00027262+0.00019792i,-0.00047083-0.00051407i,5.4063e-05-0.000858i,0.00038458-0.0005992i,0.00013063+0.00014372i,-0.00049753+0.00089884i,-0.00056632+0.00068368i,0.000195+0.0006028i,0.00067617+0.00061773i,-0.00012016+8.2223e-05i,-0.00099208-0.00025243i,-0.00060151-0.00043081i
-0.0012135-0.00177i,-0.0017863-0.0010134i,-0.0031952-0.00097168i,-0.0026986+0.00054831i,-0.00023689+0.0017947i,0.001819+0.0016784i,0.0018311+0.0006921i,0.0010426+8.3835e-05i,0.00016813+0.00060765i,-0.00029195+0.0015462i,-0.0010503+0.0011494i,-0.0012432+0.00053993i,-4.1752e-05+0.00042029i,0.00049034-0.00017336i,0.00031946-0.00031624i,6.1454e-05+5.5105e-05i,0.00024852+2.7161e-06i,0.00056169+0.00025333i,7.4688e-05+0.00078033i,-0.00017823+0.00025237i,-0.00019067-0.00015123i,-0.00020544+0.00031048i,-0.00026225+0.00098652i
6.1936e-05-0.00030068i,-0.0004275-0.0015957i,-0.0019433-0.0018791i,-0.0015724-0.0017859i,-0.00051136-0.001362i,0.0006837-0.00046515i,0.0011124+0.00025967i,0.00058576+0.00080852i,0.00041033+0.0010235i,3.8544e-05+0.0012921i,-0.00033084+0.00082173i,-0.00025159-0.00012702i,-0.00054744+0.00040539i,-0.00068614+0.00090975i,-0.00022217+0.00049127i,0.00048643-0.00031624i,0.0005771-0.00061453i,-0.0001943-0.00050679i,-0.00037134+7.7133e-05i,-0.000636+0.00083793i,-0.00042633+0.0011014i,-0.00039423+0.00057024i,-0.0015184+0.00017982i
0.0016883+0.001584i,0.00077929-0.00030607i,0.0013953-0.0014369i,0.0025772-0.0013682i,0.002055-0.0013126i,0.00049849-0.00094096i,0.00035947-0.00027222i,0.00037853+0.00050043i,-6.5854e-05+0.0011908i,0.0002171+0.00089782i,-0.00046436+0.0002539i,-0.0012727-6.8257e-05i,-0.00029715+0.00049586i,-0.00043723+0.00099274i,-0.00028886+0.00078184i,0.00011649+0.00050972i,-0.00033831-0.00013619i,-0.00059916-0.00024154i,-0.0011638-0.00041699i,-0.0012689-0.0007314i,-0.00026511-0.00038924i,0.00057061+0.00026775i,8.4054e-05+0.00046832i
0.0010835+0.00033394i,0.0019748+0.00086494i,0.0017618+0.00042504i,0.0015381-0.00036973i,0.0018889-0.00068064i,0.0022935-0.00076585i,0.0014049-1.2134e-05i,0.00020618+0.00085454i,-4.5433e-05+0.0012439i,-0.00051253+0.00043823i,-0.0007785-0.00067833i,-0.00091333+3.054e-05i,-0.00070649+0.0002096i,-0.00011392-9.7178e-05i,9.4476e-05+0.00047462i,-0.00056807+0.00057847i,3.3737e-05+0.00026047i,0.00031978+0.00036082i,-0.0010273+0.00037095i,-0.0012218+0.00017519i,-0.00018059+0.00018952i,-0.00052393+0.00030533i,-0.00091933+0.00013009i
0.00078586-0.00010958i,0.00074872+7.7604e-06i,-0.000281+0.00056536i,-0.0007851+0.0012345i,0.00025917+0.0010271i,0.0010637+0.00022645i,-4.3026e-05+0.00066158i,-0.00013752+0.0014878i,0.0007043+0.0019463i,0.00075375+0.0021204i,-0.00014067+0.0011595i,-0.0004396+2.0143e-05i,-0.0012308-0.00015472i,-0.0016292+0.00020095i,-0.00068791-3.7322e-05i,-0.0001089-0.00021441i,-0.00048765-0.00016241i,-0.00041035+0.00039645i,-0.00012408+0.00067201i,1.1274e-05+0.00010037i,0.00058432+0.00022441i,0.00034134+0.00020562i,-0.00050127-0.00028551i
4.3713e-05-0.0010794i,-0.00016799-0.001026i,-0.0016868-0.0015083i,-0.0022246-0.0013504i,-0.0012586+0.0007264i,0.0004237+0.0012407i,0.00086575+0.00040253i,0.00060281+0.00087511i,0.00019916+0.001566i,9.5388e-05+0.00079833i,0.00099501+0.0004824i,0.0007167+0.00016935i,0.00052551-8.8034e-05i,0.00036951+0.00015078i,0.00017699+0.00012448i,0.00018265+0.00077616i,-0.0003399+0.00016726i,-0.00050137-0.00048071i,-0.00058699-0.00050685i,-0.00025196-0.00072533i,-0.00045914-0.00024854i,-0.0010205+0.00032026i,-0.00035788+0.00012236i
0.00083868-0.00076114i,0.0010217-0.0014189i,0.00017472-0.0017415i,0.00021897-0.0014377i,0.00088461-0.0018455i,0.002085-0.00095316i,0.001963+0.00024857i,0.00065164+0.00022505i,0.00028051+0.00076656i,6.3195e-05+0.0017185i,-0.00077221+0.0014117i,-0.0011395+0.00041176i,-0.00067706+2.299e-05i,-0.00011808+0.00053234i,0.00026426+0.0006612i,0.00050165+2.8169e-05i,0.00033105-6.7448e-05i,0.00082331-0.00028832i,0.00063085-0.00020844i,9.4548e-05-0.00014658i,-0.00011551-4.3468e-06i,-0.00058771-0.00055238i,-0.00051968-0.00073342i
0.00019892-0.0022698i,-0.00036334-0.0018566i,-0.0014241-0.0017217i,-0.0014353-0.0008561i,-0.00015132+0.00012435i,0.00030174+0.00077999i,0.00083529+0.001688i,0.0011797+0.0019165i,0.00059477+0.0013796i,-0.00013308+0.0010888i,-0.00033653+0.00090267i,6.0922e-05+0.00022842i,0.00062037-1.8521e-05i,0.00063917+0.00018802i,0.000601+0.00040959i,7.2248e-05+0.00065278i,-0.00085465+0.00014407i,-0.00034189+0.00011409i,0.00020015+0.00078387i,0.00037242+0.00030445i,0.00091271-0.00056934i,0.00075229+4.3023e-05i,1.9281e-06+0.0006676i
0.00092507-0.000367i,0.00090969-0.00048057i,3.1437e-06-0.0012817i,-0.00081488-0.0013819i,-0.00023045-0.00038345i,7.2389e-05+0.00050308i,0.0006324+0.00092074i,0.0010857+0.0012031i,0.0012713+0.00092073i,0.001203+6.7647e-05i,0.00071253+0.00019134i,0.00035785+0.00026299i,0.00073556+0.00022757i,0.0010405-0.00023979i,0.0010235-0.00045944i,0.0012893+7.4539e-05i,0.00045281+0.00050425i,-0.00050245+0.0005652i,-0.00036538+0.00015446i,-3.5584e-05+1.9584e-05i,-0.00040372-0.000187i,-0.00095498-0.00061393i,-0.00044124-0.00071454i
0.00056747+0.00010993i,-0.00038528-0.00092972i,-0.00038596-0.0012167i,-0.00072443-0.0020262i,-0.00014656-0.0012699i,0.00017762+0.00064595i,6.5778e-05+0.0013093i,0.00035953+0.0013023i,0.00033416+0.00069249i,-0.00025674+0.00043742i,-0.00072072+1.9439e-05i,-0.0007143-0.00061191i,0.00032532-0.00051671i,0.0011225+0.00053572i,0.00076031+0.00022514i,0.00042829-0.00037275i,-0.00022612-0.00029221i,-0.00053873-0.00031168i,-0.00022847+1.4602e-05i,0.00033292+0.00067138i,0.00076573+0.0007019i,0.00034504+0.00017685i,-0.00050382+0.00034992i
0.0012302-0.00069178i,0.00039737-0.00079849i,0.00020347-0.00068756i,0.00089377-5.0749e-05i,0.00164+0.00083279i,0.0013852+0.00022326i,0.00092082-0.0010106i,0.00061867-0.00034652i,0.00050325+0.00053542i,0.00051725+1.6602e-05i,0.00020889-3.6974e-05i,-0.00015491-8.3963e-05i,-0.00016769-0.00067011i,0.00013415-0.0008302i,0.00015977-0.00030953i,0.00085565-0.00018214i,0.0015299+0.00043359i,0.00085302+0.00033417i,0.00068784-0.00025593i,0.00079782+0.0001828i,0.00016048+0.00012535i,4.3771e-07-3.4691e-06i,6.2425e-05+0.00024939i
0.00053412-0.00058197i,-0.00056311-0.0013324i,-0.00073749-0.0015956i,-0.0007763-0.0012286i,-0.00097868-0.00082029i,-0.00041584-0.00051775i,0.00094214-0.00041174i,0.00082694+0.00068127i,0.0002161+0.0015549i,-0.00048549+0.0006771i,-0.00081788-0.00025879i,-0.0010567-0.0005612i,-0.0010959-0.00095695i,-0.00017936-0.0010288i,0.00051236-0.00046159i,0.00045639+0.00040325i,0.00036425+0.00080866i,0.00043722+0.0012259i,0.00016777+0.00098486i,0.00033208+0.00068629i,0.00096878+0.00067492i,0.00071295+0.00033201i,0.00015853+9.5841e-05i
0.0011342-0.00077541i,0.00056583-0.0013838i,0.00077235-0.0021368i,0.00052737-0.0021723i,8.4449e-05-0.0018279i,0.00070682-0.0015035i,0.00037875+8.28e-05i,6.8738e-05+0.0010748i,0.00036834+0.001527i,0.0002417+0.0013054i,-0.00031843+0.00057965i,-0.00034583-0.00042902i,0.00043127-0.00042102i,0.00085575+2.6682e-05i,0.00092123+0.00036007i,0.0012917+0.00041875i,0.0012903+0.00038325i,0.00040163-1.3849e-05i,-0.00015645-0.00059857i,-0.00063242-0.00046763i,-0.001412-0.00045864i,-0.0014167-0.0010105i,-0.00050486-0.0012131i
-0.0017704-3.7814e-05i,-0.0023016+0.00080932i,-0.002509+0.0016724i,-0.0016019+0.0018581i,-0.00015414+0.0014871i,0.0014371+0.001237i,0.001687+0.00049387i,0.0015219+2.9331e-05i,0.0011415+0.00058594i,0.00075716+0.00097115i,0.00018878+0.00033294i,-0.00087991-0.00065212i,-0.00086006-0.0017892i,-0.00038419-0.0013596i,-0.0004464-0.0001288i,-0.00023173-0.00029621i,0.00076942-0.00070875i,0.00048387-0.00036658i,-0.00071477+4.2789e-05i,-0.00072379+0.00011363i,-0.00029117+4.8955e-05i,-0.00050121-0.00078088i,-0.00076494-0.00061774i
