-0.00095782-0.00042325i,-0.0009906+0.00019655i,-0.00077168+0.00074482i,-0.00066333+8.711e-05i,-0.00010414-0.00032494i,0.0008755-0.00030411i,0.00045993-0.00074718i,6.7168e-05-0.00092458i,0.00040745-0.00043249i,0.00023729-0.00087685i,0.00012783-0.0010907i,0.00046589-0.00036564i,0.0007898-0.00033225i,0.00034889-0.00073282i,-0.00036767-0.0009792i,8.2599e-05-0.00058119i,0.00084932+0.00041939i,-0.00016497+0.00055123i,-0.0016922-0.00047966i,-0.0013331-0.00076898i,-0.00049022-0.0001873i,-8.4706e-06-1.0028e-06i,0.00047038-0.00036771i
-0.0001315-0.0012368i,-0.00054001-0.00045247i,-0.00097565-0.0012372i,-0.00028152-0.00069372i,0.0009072+0.00021715i,0.0020862+0.00033029i,0.0022295-1.0423e-05i,0.0013686-0.00018833i,0.00091719-0.00016404i,0.0011604+0.00027694i,0.0012447+0.00046067i,0.00095069-5.5633e-05i,0.00012478-0.00066637i,-0.00022077-0.0011908i,0.00017354-0.0012316i,-0.00023867-0.0003558i,-0.00046505+6.049e-05i,0.0002382+6.7626e-05i,-4.7666e-05-7.4411e-05i,-0.00085745+0.00030064i,-0.00030016+0.00065103i,0.00049141-0.00016161i,0.00020599-0.00040925i
0.0014125+0.00046866i,0.00094857+0.00062432i,0.001092+0.00023575i,0.00074887+0.00015979i,0.0006459-2.6211e-05i,0.0014566-3.1643e-05i,0.00066773+0.00013441i,3.5686e-05-0.00024923i,0.00034736-0.00052366i,0.00076707+8.4234e-05i,0.00081999+0.00041389i,1.7977e-07+0.00022196i,-0.00019503+0.00049971i,0.00032734+0.00020614i,0.00011794-0.0003563i,-0.00034548-8.1155e-05i,-0.0006885+0.00032053i,-0.0006041+0.00013919i,0.00012248-8.0707e-05i,0.00063692-4.1099e-05i,0.00059723-0.00019514i,0.00068082+0.00038319i,0.00053352+0.0010076i
-0.0014845+0.0011256i,-0.0023474+0.0017014i,-0.0027394+0.0021869i,-0.0014022+0.0012707i,0.00047753+0.00032964i,0.0013047-0.00045779i,0.0010586-0.00072187i,0.00091712-0.00056735i,5.2063e-05-0.00070552i,-8.8588e-05-0.00074456i,0.00049945-0.0010029i,5.2489e-05-0.00067571i,-0.0002196+2.2297e-05i,-0.00021086+0.00016703i,-0.00035448+0.00030004i,-0.00022694-0.00016387i,-4.2835e-05-0.00020568i,3.5086e-05-0.00014204i,3.4191e-06-0.00010446i,8.347e-05+0.00053674i,0.00030146+0.00091487i,0.00019817+0.00028842i,-4.9287e-05-0.00043771i
-0.00045729+0.0012919i,1.495e-05+0.0013126i,7.0289e-05+0.0018984i,-0.00028647+0.001508i,0.00041265+0.00046092i,0.0011587-1.7119e-05i,0.00065091+1.5236e-05i,0.00014307+0.00064701i,-0.00017579+0.00033469i,0.0001566-0.00072754i,0.0010664-3.0071e-05i,0.0007341+0.0015108i,0.0004082+0.00095245i,0.00036831-0.00021531i,-0.00045799-0.0001748i,-0.0011862+0.00053421i,-0.0015766+0.00030694i,-0.00073419-0.00014295i,0.00024304-7.7753e-06i,0.00041157+0.00020535i,0.00039254+5.7021e-05i,0.00039843-0.00013504i,8.5711e-05+0.00021587i
0.0014277+0.00069i,0.0013732+0.00094342i,0.0020811+0.00033128i,0.0025055+0.00060218i,0.0017727+0.0013862i,0.0012927+0.0010497i,0.0011818+0.00045759i,0.00082174-0.00037275i,0.00063407-0.0003459i,0.00053364+0.00043498i,0.00057788+0.00021079i,0.0004575+0.00017735i,0.00010439+0.00022405i,-8.4097e-05-0.00058511i,-0.00017756-0.00087782i,-0.00046171-0.000429i,-0.0001949-3.9067e-05i,0.00052627+1.1946e-05i,0.00053117-0.00010933i,0.00030431-0.00014962i,0.00020948-0.00016439i,-2.1897e-05-0.00019357i,-0.00030128-0.00026587i
-0.00071782-0.00091296i,-0.0012097-0.00018635i,-0.0015237-0.00013492i,-0.001847-6.1702e-05i,-0.00059958+3.7905e-05i,0.00048813+0.00026565i,-0.00015662+0.00101i,-0.00030817+0.0013372i,0.00039371+0.0007309i,0.00087191-4.0138e-06i,0.0012726+0.0001402i,0.0011675-1.6867e-05i,-5.5229e-05-0.00016372i,-0.00098528+0.00032548i,-0.00103+0.00063249i,-0.00066461+0.00076519i,2.0822e-05+0.00050485i,0.00055468+0.00018633i,0.00095425+0.00017778i,0.00049968+0.00056336i,-0.00017114+0.00022237i,1.2959e-05-0.00063219i,-0.00022757-0.00049216i
0.00011754-0.0015005i,-0.0006037-0.0020313i,-0.0015357-0.0013227i,-0.00060298-0.00073447i,0.000642+0.00014614i,0.00141+0.0010639i,0.0012864+0.00061523i,0.00014801+4.4173e-05i,-0.00029535+9.5468e-05i,0.0001067+6.9675e-06i,-0.0003038+7.7751e-05i,-0.00074057+0.00017507i,-0.00040387+0.00060659i,-0.00026969+0.00053226i,-0.00072285-0.00058165i,-0.00019681-0.00042671i,-8.0425e-06+0.00086061i,-0.00037042+0.00055843i,-5.7332e-05-0.00077223i,0.00051857-0.00070414i,0.00085097-0.00027507i,0.0004925-0.00011072i,-7.5557e-06+7.3895e-05i
0.0012117+0.00057638i,0.0011189+0.0010359i,0.00027964+0.00093337i,0.00037111+0.00051894i,0.00074468-0.00057862i,0.00058467-0.0010602i,0.00048968-0.00034201i,-0.00010743+0.00026037i,-0.00044682+0.0006003i,0.00014291-4.9818e-07i,0.00038204-0.0014151i,0.00060168-0.0013334i,0.00051426-0.0017516i,-7.2811e-05-0.001638i,-0.00071257-0.00018444i,-0.00037526-0.00056678i,-9.1787e-05-0.0011921i,-0.00059455-0.00090902i,-0.00055514+4.7615e-05i,-0.0002346+0.000346i,0.00032292+0.00021143i,0.0010779+0.00020588i,0.00092084-5.9709e-05i
-0.00011269+0.00096937i,-0.0010348+0.0014346i,-0.00063205+0.00075848i,0.00087196-3.689e-05i,0.0015771+0.00051299i,0.0010074+8.9735e-05i,0.00031083-0.00046229i,2.6298e-06-0.0002259i,-3.1238e-06+8.6986e-05i,0.00037285-6.9515e-05i,1.7923e-05-0.00059819i,-0.00032547-0.00082476i,8.4163e-05-0.00069336i,0.00047329+4.3808e-05i,0.00032281+0.000457i,-0.00032337+0.00025999i,-0.00083223+0.00011914i,-0.00081453-0.00019488i,-0.00082711-0.0004881i,-0.00053997+0.00025058i,-1.8174e-05+0.00076125i,2.1596e-05+0.00075627i,8.2361e-05+0.00039148i
