-0.00071007-0.001999i,-0.00048558-0.00079939i,-0.00064865+0.0012265i,-0.00067112+0.0013772i,-0.00065552+0.00088327i,-0.00029698+0.00023409i,-1.5719e-05-0.00062415i,-0.00015864-0.0010675i,-0.00012556-0.00096055i,0.00048591+0.0001622i,0.00025114+1.4909e-05i,-0.00014305-0.00072454i,-0.00026761-0.00053409i,0.00042772-0.00058961i,0.00098964-0.00041805i,0.00091924-3.8019e-06i,0.00047078+9.2439e-05i,-0.00024881-0.00043564i,-0.00042767+0.00011813i,-1.9505e-05+0.00051844i,0.00011042+0.00022175i,0.00011273-0.00030468i,0.00012907-0.00074441i
0.00080787+0.0014547i,0.0012133+0.0022335i,0.0014193+0.0034113i,0.0030278+0.0025029i,0.0034825+0.0011791i,0.001625-0.00013105i,0.00065049+1.801e-05i,0.00027896+0.00011321i,-4.488e-05-0.00024128i,0.00017272+8.0568e-05i,-0.0001216+0.00028455i,-0.00046507+0.00022849i,0.00031532+0.0005947i,-8.1213e-06+0.00095213i,-0.00058626+0.00039483i,-0.000452-0.000342i,-1.4704e-05-0.0010542i,-0.00029094-0.00087098i,-0.00047839+0.00036515i,-0.00062693+0.00062401i,-0.00082891+0.00057955i,-0.00033979+0.00082965i,0.00050673+0.00016821i
-0.00039457+0.00053217i,-0.00072184+0.00024781i,-0.00092202+0.00091398i,-0.00097352+0.0015906i,-0.00014065+0.0010464i,0.00062268-0.00021037i,0.00048882-0.00051248i,0.00024874+0.00019255i,-0.00025263+0.00027886i,-0.00056724+0.00018671i,3.3767e-05+0.0001752i,0.00057874+0.00021363i,0.00032168+0.00046538i,0.00015749+0.00085526i,0.0001373+0.0006323i,-0.00021291+0.00046348i,-0.0011843-2.7069e-05i,-0.0014405-0.00035821i,-0.00038736-0.00014523i,0.00023435+0.00013287i,-0.00029906+0.00067119i,-0.00024412+0.00067225i,-0.0002+0.0004705i
-0.00053674-0.0013359i,-0.00036213-0.00080377i,-0.00083559+0.00066496i,-0.0015929+0.0018477i,-0.0018228+0.0018568i,-0.00078444+0.00099037i,-0.00035334+0.00061363i,-0.00064057+0.00069083i,-0.00055181+0.00051119i,-0.00020471+0.00031556i,-1.1441e-05+9.1143e-05i,-0.00041783-0.0001336i,-0.00091649-0.00053575i,-0.00022672-0.00050546i,0.00080586-8.5283e-05i,0.00098592-1.2473e-05i,0.00050288-0.00049719i,0.00032065-0.00039267i,3.1386e-05+0.00051483i,-0.00085259+0.00094389i,-0.0014004+0.00093333i,-0.0017313+0.00033112i,-0.00075404-0.0002603i
0.0020103-6.4989e-05i,0.0021651+0.00016528i,0.0022531+0.00075046i,0.00089333+0.00044431i,0.00013625+0.00032708i,-0.00021299+0.00041281i,-0.00016393+0.00055294i,-1.8437e-05-9.4197e-06i,-2.1909e-05-0.00049692i,0.00070813+9.8616e-05i,0.00082302+0.00063356i,0.00040407+0.00034413i,0.00096114+0.00055896i,0.00088973+0.00059741i,0.00032734-0.00030003i,0.00044493-0.00024866i,0.00046986+0.00018814i,0.00018695-0.0001392i,0.00034817-3.8848e-05i,0.00013072-0.00011815i,-0.0005723-0.00018176i,0.00018307+8.93e-05i,0.00050322-3.7369e-05i
0.0017851+0.0020209i,0.0015525+0.0018379i,0.0020358+0.00029721i,0.0022163-0.0017733i,0.001565-0.0021752i,0.00042375-0.0014532i,0.00025325-0.00076638i,2.2027e-05-0.00050941i,0.00023536-1.1264e-05i,0.00068923+4.5392e-05i,0.00035974+4.0486e-05i,-0.0002399-1.965e-05i,-0.00063663-0.00085998i,-0.00066679-0.00015158i,-0.00027246+0.001119i,-2.6039e-05+0.0012012i,-0.00010904+0.00011757i,-0.0002793-0.00073444i,1.8504e-05-0.00041019i,0.00052019-0.00020238i,-0.00022701-0.00026007i,-0.00065891-0.00045057i,-0.00023433-0.00021351i
-0.00056067-0.00094062i,-0.00086376+0.00019741i,-0.0017047+0.0018964i,-0.0012111+0.0019537i,1.6763e-05+0.00071565i,0.00035523-0.00017146i,0.0006952-0.0004673i,0.00016031-0.00010639i,-0.0005745+0.0002288i,-0.0012057+0.00042631i,-0.00061847+0.00031929i,0.00033533+0.00030686i,-2.8482e-05+0.00012317i,0.00040452-0.00017409i,0.00094096+0.00044453i,0.00012976+0.0008683i,-0.000552-9.0174e-05i,-0.00051774-0.00030564i,-0.00028021+0.00028549i,-7.3552e-05+0.00098843i,-0.00011749+0.00098735i,-0.00015703+0.00050183i,-0.00037134+0.00043926i
-0.00044975-0.00019288i,-0.00070973+0.00038798i,4.8772e-05+0.00088327i,0.00067528+0.00096999i,0.00039606+0.00036976i,1.2403e-05-0.00036833i,6.0846e-05+3.7933e-05i,-0.00031235+0.00017356i,-0.00086352+8.598e-05i,-0.00062072+0.00026568i,0.00019398+0.00062156i,0.00042924+0.00057344i,0.00026629+0.000895i,0.0003124+0.00086645i,-8.4855e-05+0.00027008i,-0.00076205+2.6781e-05i,-0.00067273+0.0003268i,-0.00023098+0.00068053i,0.00051791+2.1918e-05i,0.0012915+3.0872e-05i,0.0014735+0.00037155i,0.00095414-0.00027438i,0.00023638-0.00034612i
0.0014349-0.00043201i,0.00029673-0.00068021i,-0.00030811-0.0015381i,-0.001205-0.0015454i,-0.0020293+0.00029179i,-0.0012021+0.0021375i,-0.0002147+0.0013141i,-0.00025779+0.00011696i,-0.00013143+0.00012464i,-0.00050959+0.00024329i,2.7974e-05+0.00062679i,0.00088145+0.0009322i,0.00025308+0.00024164i,0.00031972-1.6148e-05i,0.00032039+0.00053335i,0.00029032+8.4619e-05i,0.00021764-0.00043166i,-0.00036837-0.00067684i,-0.00013054-0.00064138i,-0.00024262-0.00014028i,-0.00045811-0.00019777i,0.00014579-0.00044744i,6.5294e-05-7.1897e-05i
-0.00093354+0.0019958i,0.00057501+0.0013683i,0.0015964+0.001844i,0.0014384+0.0029193i,0.0011573+0.0020555i,0.0003389-4.0182e-05i,2.2132e-06-0.00061526i,-0.00015742-0.00028607i,-0.0002792-0.00054789i,6.9405e-05+0.00014049i,0.00036804+0.00033309i,0.00034856+7.6008e-05i,-0.00025008-0.00036839i,-0.00032951-0.00036323i,-0.00054415-0.00045179i,-0.00063029+4.2159e-05i,-0.00053358+0.0010678i,-1.8315e-06+0.00059828i,0.00015932+0.00047336i,-8.2401e-05+0.0011961i,0.00080682+0.0013201i,0.001486+0.00032319i,0.00080819-0.00031907i
