0.0013646+0.00089839i,0.00091303+0.00062037i,0.00081589-0.00087855i,-0.00014192-0.0015997i,-0.0021133-5.2248e-06i,-0.0031099+0.00094255i,-0.0023497+0.0014527i,-0.00057211+0.0024422i,0.00056626+0.0021469i,0.00011684+0.0011335i,-0.00071125+6.2297e-05i,-0.0010948-0.0011227i,-0.0012726-0.001475i,-0.0011031-0.00025802i,-0.00097693-0.00012957i,-0.0010036-0.00033326i,-8.0709e-06+0.00033766i,0.00073994-1.4547e-05i,0.00096732-0.00044331i,0.0010486-0.00028581i,0.0010026-0.00031123i,0.00024899-0.00023284i,-0.00038077-0.00047707i
-0.00032471+0.00075362i,0.00036654+0.002138i,0.00050223+0.0026489i,0.00076988+0.0020176i,0.001365+0.0011928i,0.0011477-0.0002811i,0.00019279-0.00029198i,-0.00088954+0.00061467i,-0.0010147+0.00091528i,-0.00035602+0.00072137i,0.00029766+0.00075766i,0.0003759+0.0012749i,-8.3808e-05+0.0011246i,-0.00095277+0.00015356i,-0.0011134+1.1716e-05i,-0.00067193+0.00022658i,-0.00027604+0.00053523i,-0.000401+0.0010755i,-2.8001e-06+0.00026148i,0.00051904-0.00068491i,0.00045165-0.00082083i,0.00030769-7.2015e-05i,0.00041811+0.00092267i
0.0014477-0.00079294i,0.0015106-0.0016758i,0.00063447-0.0015817i,-0.0004763-0.0017201i,-0.00058575-0.0010747i,-0.00052358-8.5437e-05i,-0.00082062+5.7653e-05i,-0.0011027-7.8852e-05i,-0.0014776+0.00048344i,-0.001143+0.00034366i,0.00017731-0.00045154i,0.00045389-0.00068539i,-6.2164e-05-0.00052478i,-0.00013761-0.00021673i,-0.00016434+0.00025939i,-0.00092876+0.0001681i,-0.0012427-0.00018772i,-8.5699e-05-0.00066411i,4.3013e-05-7.5385e-05i,-0.00024887+0.00064281i,-0.00020365+0.00046739i,-0.00019634+0.0007781i,3.3172e-05+0.00076979i
0.00063568+0.00018898i,-0.00059942-0.0013567i,-0.00095047-0.0018096i,-0.001081-0.0011679i,-0.00035708+1.4725e-05i,7.3961e-05+0.0010133i,-8.0425e-05+0.0014351i,0.00027716+0.0010926i,0.00084006+0.0001099i,0.00064287-0.00025143i,-0.00051687+2.9874e-05i,-0.00083637-0.00039418i,-0.00014736-0.00082908i,-0.00016356-0.00014229i,-9.1672e-05+0.00045887i,0.00048657+0.00061097i,0.00086903+0.0012269i,0.00089477+0.0014821i,0.00083446+0.0011111i,6.0622e-05+0.00019395i,-0.00054469-4.5532e-05i,3.4665e-05-3.1832e-05i,-0.00044366-0.00022817i
0.0022577-0.0018979i,0.00050922-0.0023454i,-0.00041353-0.0027605i,-0.00072414-0.0016804i,-0.0020392-0.00057967i,-0.0024493-0.00035973i,-0.0018045+0.0003389i,-0.0011561+0.0009444i,-0.0010924+0.001188i,-0.001674+0.00070575i,-0.0018131+0.00042112i,-0.0015601+0.00037726i,-0.0011223-0.00011274i,-0.00036135+0.00023108i,0.00019374-0.00011705i,0.00018099-0.00029531i,-2.1448e-05+6.2937e-05i,1.3476e-05-0.0004904i,0.00057698-0.0011425i,0.00051294-0.00064986i,0.00067157-0.00025626i,0.00064361+0.00041014i,0.00039179+0.0008855i
0.00037236-0.00022174i,-0.00053309-0.00033154i,-0.00089487-0.00073468i,-0.00066967-0.00063484i,6.8681e-05-0.00053957i,0.00014771+0.00040689i,-0.00010724+0.00075103i,0.0002718+0.00029273i,0.00019088-6.6713e-05i,-0.00050783+0.00051606i,-0.00084263+0.0012237i,-0.00056515+0.00053347i,-0.00050565+0.00033768i,-0.00017467+0.001072i,0.00023689+0.00035824i,-4.9103e-05-0.0010347i,-0.00029692-0.00075958i,0.00029745-0.00042778i,5.0839e-05-0.00062547i,-0.0010607-0.0006762i,-0.0015917-0.00098564i,-0.0010864-0.00087492i,-0.00016387-0.00036184i
-0.00023294+0.0013489i,-0.00012131+0.0016687i,-0.00038266+0.0015752i,-0.00035659+0.0014415i,0.00041241+0.00083326i,0.00015917-4.4945e-06i,-0.00031506-2.0979e-05i,-0.00035785+0.00036191i,-0.00035336+0.00021151i,-0.00049921+0.00040698i,-0.00074614+0.0003653i,-0.00061482-0.00015216i,-0.0010335-3.2043e-05i,-0.0012768-0.00053953i,-0.00065323-0.00098338i,-0.0004751-0.00033977i,-0.00073832-0.00046364i,-0.00052194-0.00027537i,0.00014397+0.00014265i,-0.00011497+0.00039424i,-0.0005659+0.0008534i,-0.00013093+0.00090767i,0.00012612+0.00038491i
-0.001689-0.0014014i,-0.00096268-0.0015008i,-0.0014427-0.00013318i,-0.0014348+0.0011685i,-0.0004926+0.0019033i,0.0003702+0.0020938i,0.00026331+0.0013405i,-0.0003843+0.0004307i,-0.0009708+0.00074211i,-0.00085167+0.0013733i,-0.00027045+0.00083483i,0.00032496-0.00013491i,0.00074533-0.00057999i,-6.9253e-05-0.00071133i,-0.0010461-0.00068328i,-0.00032402-0.00050977i,0.00021397-0.00039647i,-0.00031522-0.00038354i,-0.0002744-0.00048017i,0.00010793-0.00044349i,0.00018357-0.00050463i,-8.0599e-05-0.00027432i,-0.00018847+0.00070449i
0.00032502-0.00087211i,8.5906e-05-0.00051157i,0.00033464-0.0010262i,-0.00060622-0.00073748i,-0.0011243-0.0002489i,-0.00050736+0.00036752i,-0.00045504+0.00046184i,-0.00063173-0.00015438i,-0.0005732-0.00039152i,-0.000995-0.00033173i,-0.0008934-0.00068608i,-0.00046969-0.00083744i,-0.00087024-0.00064997i,-0.0011224-0.00031295i,-0.00079833-0.00041515i,-0.00050518-0.0007182i,-0.00065098-0.00062228i,-0.00032802-0.00025657i,-0.00021989+0.00059014i,0.00027044+0.00068148i,0.00051672+0.0003124i,0.00048327+0.0002113i,0.00070581+0.00017255i
0.001389-0.0014168i,0.00069593-0.0017403i,-0.0013577-0.001518i,-0.0017348-0.001286i,-0.0017965-0.0010669i,-0.0013607-0.00034347i,-0.0002639+0.00052129i,0.00026514+0.00047564i,0.00011586-4.9494e-05i,-0.00080587-6.1992e-05i,-0.00082005+0.00070758i,0.00019004+0.00081405i,-4.1981e-05+0.00032742i,-0.00032718+0.00020987i,-4.0797e-05+0.00010328i,-0.00015076+0.00083279i,0.00011758+0.00068982i,0.00044869-0.00026971i,0.00050717-9.6732e-05i,0.00031669+0.00037746i,-0.00010065+0.00020013i,0.00013151-0.00042644i,0.00015554-0.00014436i
2.1233e-06-6.6608e-05i,0.00039161-0.00039088i,0.00018739+0.00054933i,4.4118e-05+0.0014426i,-0.00031693+0.0013172i,-0.000413+0.00088387i,-7.5712e-05+0.00019257i,0.00023971+8.3087e-05i,-0.00060543+0.00093872i,-0.0013411+0.0011427i,-0.0010738-0.00011336i,-0.00093779-0.0011267i,-0.0012451-0.00036721i,-0.0010997+0.00026174i,-0.00066029-8.5298e-05i,-0.00010053-0.00074446i,-0.00022078-0.00052472i,-0.00040966+8.9451e-05i,-0.00047954+0.00051126i,-0.00092942-0.00028041i,-0.0012286-0.00059549i,-0.00098407-0.00084882i,-0.00032787-0.00052421i
0.0019249+0.00026118i,0.00038154-0.00098759i,-0.00025431-0.0025256i,-0.00081044-0.0021181i,-0.0016852-0.00092574i,-0.0023274-0.00046077i,-0.0010688+0.00038362i,5.994e-05+0.0014936i,0.00016815+0.00014193i,4.2559e-05-0.00096119i,-0.00051358-0.00059921i,-0.00083266-0.00042726i,-0.00056287+0.00042784i,-0.0005485+0.0008044i,-0.0006957+0.00047757i,-8.4391e-05+3.8222e-05i,0.00071275-0.00068878i,0.0004708-0.00061503i,-0.00015889-0.00055557i,0.00021604-0.00094039i,0.00032173-0.00020142i,0.00020719+0.00022252i,0.00011193+0.00044976i
0.00068754+0.0001765i,0.00081545-3.4962e-05i,0.00069817-0.00028924i,0.00042307-0.00065351i,-0.00080805-0.00053804i,-0.00093027+0.00063071i,-0.00018433+0.0010098i,0.00034715+0.0005467i,0.00010075+0.00048187i,-0.00063641+3.1123e-05i,-0.00058635-0.00057271i,-0.00017601-0.00061371i,-0.00041672-7.2075e-05i,-0.00073948+0.00054293i,0.00029221+0.00056268i,0.00029777+0.00016411i,5.1737e-05-0.00031026i,0.00049684-0.00062571i,0.00023731-0.00054377i,0.00033252-0.0005654i,0.00060593-0.00031059i,-1.6787e-05-0.00037022i,0.00016611-0.0011692i
0.0013673+0.00058914i,0.00047352+0.00019632i,6.6933e-05-2.0696e-05i,-0.0006996+0.00050024i,-0.001714+0.00031563i,-0.0011324+0.0002914i,-0.00089242+0.00061011i,-0.0010197+0.00045051i,-0.00062876+0.001105i,-0.00054235+0.0011528i,-0.00062449+8.9712e-05i,-0.00030909-2.2501e-07i,-0.00011695+0.00019195i,-0.0011666+0.0001448i,-0.0015786-0.00064836i,-0.00073873-0.00080726i,0.00017969-0.00046066i,0.00069909-0.00015116i,0.00022536-0.00050436i,-6.0878e-05-0.00018019i,0.00039302+0.00064945i,0.00011848+0.00028182i,-0.00012596-8.4324e-05i
-0.00056709-0.0020933i,-0.0013425-0.0018625i,-0.002376-0.0016743i,-0.002876-0.00049839i,-0.0024121+0.0012719i,-0.00088037+0.0019338i,0.00056937+0.00155i,0.00091094+0.00065254i,-0.00048015-0.00045254i,-0.0012365-0.00070881i,-0.00081591-0.00061743i,-0.0003965-0.00059244i,-0.00019311-0.00039158i,-0.00033412-0.0005659i,-0.00041017-0.001036i,8.3726e-05-0.00044451i,0.00040536+0.00022309i,0.00021016+0.00038356i,0.00030588+0.0006299i,0.00041329+0.00031241i,0.00064683+0.0002572i,0.00031118+0.00021548i,-0.00063012-0.00020477i
0.0001819+0.00096478i,0.00092685+0.00037083i,0.00094119+0.00090459i,0.0002323+0.00046291i,9.0178e-05-0.0008378i,6.6223e-05-0.00010637i,-8.7972e-05+2.4001e-07i,-0.00036639-0.00056726i,-0.00027053+0.00018931i,-0.00021501+0.00052151i,-0.00031577-0.00045349i,-8.2768e-05-0.0012275i,-0.00090923-0.00097689i,-0.0010642-0.00010934i,-0.00011163+0.00041217i,-6.4422e-05+0.00048105i,0.00016264+0.00059537i,0.00057379+0.00028977i,0.00044742-0.00030031i,-4.5571e-06-0.00041702i,-0.00038565-0.00026728i,-0.00077159-0.00033627i,-0.0001861-0.00087726i
8.7142e-05-6.3403e-05i,-0.00080918-0.00036963i,-0.00032408-0.00070285i,-0.00061165-0.00072116i,-0.0017472-0.00060288i,-0.0014919-0.0012589i,-0.00096498-0.0010643i,-0.0007717+0.00048881i,-0.00063002+0.00080218i,-0.00054614+0.00036505i,-3.9925e-05+0.00068946i,6.5323e-05+0.0011804i,-0.00063828+0.0012401i,-0.0010594+0.00099224i,-7.8589e-05+0.00079694i,0.0003698+0.00086088i,0.00021474+0.00074088i,0.00065544+0.00016187i,0.0010442-0.00029587i,8.3093e-05-0.00034969i,-0.0011612-0.00010292i,-0.0010049+1.0882e-05i,-8.3728e-05-5.3651e-05i
-0.001751-0.00041844i,-0.001283-0.0001363i,-0.0012263-0.00049277i,-0.0014264+0.00077666i,-0.00098091+0.0024166i,-0.00022539+0.001975i,-0.00032775+0.00076474i,-0.00098978-0.00044547i,-0.0013041-0.00039684i,-0.0010363+0.00029312i,-0.00027039-3.179e-05i,0.00045913+5.9594e-05i,-0.00015753+8.6833e-05i,-0.0008745-0.00086922i,-0.00023439-0.00090898i,0.00043645+0.00018449i,-7.2194e-05+0.00030509i,-0.00095718+7.3835e-05i,-0.0011375+0.00048794i,-0.0010488+0.0004585i,-0.00084635-6.4143e-05i,-0.0002241-0.0007877i,0.00044095-0.0010857i
-0.00016377-8.6116e-05i,-0.0015196+0.00015203i,-0.001764+2.3075e-06i,-0.001095+0.00042965i,-0.00047875+0.001238i,8.6931e-05+0.0013314i,-3.31e-05+0.0011278i,-0.00092932+0.001181i,-0.0012097+0.00079349i,-0.00103+0.00026358i,-0.0008357+5.6865e-05i,-0.00058634-0.00010709i,-0.00092613-0.00060282i,-0.00073879-0.00054118i,-0.0001329-0.00026922i,-4.996e-06+0.0004046i,2.713e-05+0.00079248i,-1.9205e-05+0.0005161i,0.00013699+0.00019519i,0.00035772-0.00017855i,0.00032421-0.00050449i,7.7137e-05-0.00050233i,-0.00013315-0.00037228i
0.00016577-0.0017371i,0.00036721-0.0007362i,0.00032644+0.00018452i,0.00024487-0.00051939i,-0.00013614-0.00017843i,0.00012146+0.0011495i,0.00036182+0.0012694i,0.00011168+0.0004862i,-0.0006869+0.00054146i,-0.00029223+0.00076268i,0.0011406+0.00051678i,0.00066716+0.00023842i,-0.00026494+0.00052126i,-0.00041532+0.00016397i,-0.00013571+9.7951e-05i,0.00040706+0.0004567i,0.00046084-0.00032895i,0.00029276-0.0011504i,0.00065376-0.0007755i,0.00080901+9.8871e-06i,0.00026071+0.00026219i,0.00016777+0.00084213i,0.0006843+0.0011086i
-0.00077543+0.0010877i,-0.0011429+0.0025296i,-0.002463+0.0019865i,-0.0026711+0.00058075i,-0.0013759-0.00010696i,0.00021848-0.00057283i,0.00040483-0.001344i,0.00017335-0.0011448i,-0.00014674-5.928e-05i,-0.00015296+0.00015316i,-9.5826e-05-0.00031726i,-0.00038883-0.00068571i,-0.00013589-0.00062025i,-1.375e-05-0.00016087i,-0.00043235-0.0001262i,-0.0012044-0.000241i,-0.00069912+2.8085e-05i,8.9027e-05+0.00060559i,-0.00023003+0.00039492i,-0.00054612-0.00035545i,-0.000463-0.0001589i,-0.00056026+0.00022891i,0.00011347+0.00035423i
0.0014688-0.0015825i,0.00074546-0.002444i,-0.00013322-0.0026267i,-0.00097343-0.0018021i,-0.0010641-0.00076589i,-0.0018705+0.00094843i,-0.0016516+0.0018301i,-0.0012431+0.00070158i,-0.0019045-0.00050975i,-0.0019072-0.00075638i,-0.0013507-0.00058834i,-0.00069459-0.00048768i,-5.9717e-05+0.00013333i,-5.3828e-05+0.00096169i,0.00029554+0.00068334i,0.00034261+0.000274i,0.00026628+0.00037068i,0.00039935+0.00030868i,0.00037887+0.00071144i,-5.9946e-06+0.00091517i,-0.00065008+0.00073871i,-0.0010893+0.0010739i,-0.00078963+0.00038999i
-0.00079596+0.0007421i,-0.0017521+0.00066263i,-0.0022039-0.00010493i,-0.0017244+0.00099424i,-0.00089674+0.0017566i,-0.00025156+0.0010035i,0.00015862+0.00043208i,-8.3185e-05+5.3039e-05i,-0.0013133-0.00022797i,-0.0010423+0.00060031i,-0.00023853+0.00056066i,0.00019132-0.00049391i,-3.6606e-05-0.0010217i,-0.0011204-0.0012274i,-0.0010919-0.0014256i,-0.0005742-0.0016402i,-0.00057338-0.00052556i,-0.00016289+0.00049702i,5.3359e-06+0.00082417i,-0.00027817+0.00067171i,-0.0010515-0.00022444i,-0.00068401-0.0005667i,0.0005076-0.00017147i
8.4465e-05-0.00055707i,0.00017686-0.0013305i,-0.00050551-0.0014531i,-0.0014846-0.00073296i,-0.0020553-0.00015162i,-0.0015895+0.0008772i,-0.00040628+0.0009382i,-0.00015176-0.00015317i,-0.0011615-0.00054135i,-0.0010348+0.00022071i,-0.00025486+0.00047969i,0.00055208+0.0005414i,0.00095924+0.00036884i,0.00023047-0.00029197i,-0.00032414+0.00019001i,-0.00056426+0.00044096i,-0.00097779-9.4633e-05i,-0.0010814-0.00034535i,-9.603e-05-9.7884e-06i,0.00036562-0.00027596i,-0.00030827-0.00070541i,-0.00050089+0.00019582i,-0.00046072+0.00077043i
-0.0014775+0.0017299i,-0.0013281+0.0014859i,-0.0013611+0.0010482i,-0.00049017+0.00080407i,0.00085966+0.0011915i,0.0015982+0.00084434i,0.00076015+0.00043913i,-0.00035938+0.00082239i,-0.0010578+0.0014364i,-0.0014601+0.0003986i,-0.0013201-0.00051558i,-0.00092469-0.00084877i,-0.00099936-0.0019175i,-0.0013561-0.0011675i,-0.0010794+0.0002115i,-0.00010802+0.00014282i,0.00018463-0.0002802i,-0.00057173-0.00018321i,-0.00038388-7.2175e-05i,0.00012043-0.0003369i,-4.188e-05-0.00032764i,0.00049392-0.00089932i,0.00090821-0.00056917i
0.00045515-0.0013178i,-0.00016305-0.0015357i,-0.00065598-0.0012618i,-0.00093209+0.00022707i,-0.0014633+0.0018641i,-0.0014159+0.0019768i,-0.00099912+0.00095894i,-0.00089682+0.00035666i,-0.00085398+0.00040952i,-0.00093277-0.00030036i,-0.0010821-0.00055616i,-0.001413-6.8523e-06i,-0.0013047+0.00019527i,-0.00047148+0.00010237i,0.00046621+0.00016833i,0.00081077+2.4068e-05i,0.00064549-0.00013466i,8.0612e-05+0.00044335i,-0.00015956+0.00039122i,-4.6471e-05+0.00010423i,-8.2151e-05-5.2404e-05i,-0.0001165-0.0010144i,-0.00031423-0.0014124i
9.9388e-05+0.002475i,-5.3075e-05+0.00091024i,-0.00024588+5.1375e-05i,0.00026915-0.00037831i,0.00079558-0.00037084i,2.6655e-05-0.00060441i,-0.0004717-0.00055336i,-0.00043436+0.00046333i,-0.00065363+0.00074959i,-0.00036662+0.00042726i,-0.00023609-0.00025382i,-0.00036036-0.00060167i,-0.0013703-0.00047069i,-0.0013847-0.00038968i,-0.00058643-0.00035524i,-0.00047707-0.00029444i,-0.00040207+0.0004175i,0.00026995+0.0010089i,0.00019106+0.00094256i,-0.0001546+0.00066957i,0.00030933+0.00077961i,0.00013539-5.055e-05i,0.00029452-0.0011775i
-0.0010586-0.0019059i,-0.001512-0.00060604i,-0.0022672+0.00020224i,-0.0021501+0.0010865i,-0.0014293+0.0013144i,-0.00096297+0.0011787i,-0.00047717+0.00085829i,-0.0004084+0.00077557i,-0.0013865+0.00070915i,-0.0016291+0.00066513i,-0.0011723+0.00076771i,-0.00071726+0.00088663i,0.00022784-7.3914e-05i,0.00071807-0.00015998i,0.00015485+0.0002172i,-9.1313e-06-0.00079203i,-0.00014575-0.0012126i,-8.5059e-05-0.000801i,0.00049179-0.0014137i,0.00055173-0.001486i,-0.00048696-0.00024818i,-0.0015727+0.00041993i,-0.00082932+0.00056186i
0.0018183+0.00032747i,0.00034398+0.00029487i,-0.00083858+0.00045549i,-0.0019034-0.00010719i,-0.0021234+0.00016584i,-0.0012856+0.00067744i,-0.00090498+0.00087019i,-0.0014793+0.00074469i,-0.0012337-0.00044941i,-0.0010947-0.0010432i,-0.0011608-0.00047094i,-0.00080256-0.00043493i,-0.00062034-0.00031974i,-0.00028507-0.00019711i,-0.00017359-0.00071799i,0.00037549-0.00095485i,0.00087782-0.0005844i,0.0003966-4.4651e-05i,0.00036326+0.00064164i,0.00020936+0.00067602i,-0.00049673+0.00034779i,-0.00026094-8.648e-05i,4.7105e-05-0.00026688i
0.00034171-0.0018372i,3.4512e-05-0.00054812i,-0.00035796-0.00057448i,-0.0014301-0.0002609i,-0.0025419+0.00043429i,-0.00091161+0.00049763i,0.0013274+0.00026675i,0.00066413+6.7437e-05i,-0.00040027-8.2584e-05i,-0.00069892+0.00019201i,-0.00081156+0.00065012i,-0.0010236+0.00061167i,-0.0011938-0.00071786i,-0.00084453-0.0018905i,0.00034364-0.00094237i,0.00094673-0.00075634i,0.00066412-0.001011i,0.00044668-0.00059683i,0.00073359-0.00046592i,0.0010014-0.00046463i,0.00076072-0.00052391i,0.00032753-0.00024683i,-2.0353e-05+0.00028251i
6.0101e-05-0.0004314i,0.00043377-0.00097264i,0.00019264-0.0011793i,-0.00030196-0.0011813i,-0.00079186-0.00027114i,-0.00086777+0.00047139i,-0.00077713+0.00016436i,-0.00062515-0.00042461i,-0.00097745-0.00095158i,-0.0012147-0.00060965i,-0.00018823-0.00021515i,0.00010307-0.00055921i,-0.00089012-0.00021584i,-0.0013867-0.00047591i,-0.00067855-0.00081941i,-0.0001145-0.0012331i,0.00011669-0.0011891i,0.00056896-0.00090796i,0.00067009-9.7659e-05i,0.00030135+0.00058855i,-0.00027698+0.00027861i,-0.0005113-0.00032931i,-0.00063561-0.00047753i
4.4416e-07-0.00026676i,-0.00015294-0.00010097i,-0.0014712+0.00021768i,-0.0024654+0.00032838i,-0.0022732+9.575e-05i,-0.0016731+0.00034646i,-0.001049+0.00019343i,-0.00091795+2.6354e-05i,-0.00043361+0.00077367i,-0.00017393+0.0014757i,-0.00086085+0.00095273i,-0.0014039+0.00016093i,-0.00086321+0.0003581i,-0.00030138+0.00078795i,-0.00044136+0.00072842i,-0.00063088+0.00011246i,-0.00056982-0.00080901i,-0.00039517-0.00079942i,-0.00068239-0.00057437i,-0.00086768-0.00030355i,3.6965e-05+8.5867e-05i,0.0008176-4.4676e-05i,0.0010138-0.00019964i
