0.00048109-0.00080501i,0.00082773-0.00088203i,0.00018762-0.0004042i,-0.0010579-0.0016943i,-0.0017797-0.0027485i,-0.0017717-0.0019181i,-0.0012335-0.0012301i,-0.0008494-0.00097914i,-0.00062113-0.00073117i,-0.0003317+9.6927e-06i,-0.00058637+0.00029115i,-0.00079161-0.0005392i,-0.00030629-0.00098169i,-0.00026974-0.00045664i,-0.00012763+5.869e-05i,8.9381e-05+0.00020168i,0.00034727+9.808e-05i,0.00046962-0.00018512i,6.1593e-05-0.00013735i,-0.00046815-0.00061011i,-0.00031775-0.00072311i,0.00011756-0.00030544i,-5.0478e-05+0.00020232i
-5.2827e-05-0.00018382i,-0.00050518-0.00077118i,-0.00042433-0.0017008i,0.00047642-0.0018567i,0.00054254-0.0017626i,-0.0001359-0.001654i,-0.0014162-0.00082428i,-0.0014732-0.00052956i,-0.0012561-0.00059308i,-0.001262-0.00074134i,-0.00096346-0.0011547i,-0.00080234-0.00046536i,-0.0010323+0.00010245i,-0.00064864-0.00066431i,-1.1547e-05-0.00051891i,-0.00013299+0.00045839i,-5.1541e-05+0.00042356i,0.00020075-0.00031937i,0.00029046-0.00010297i,-0.00014131+0.00024447i,0.00017131+0.00031451i,0.00026937+0.00026864i,-0.00048555+0.00052925i
0.00037693-0.0019687i,-3.3473e-05-0.0022449i,-0.00047879-0.003263i,-0.00090456-0.0034481i,-0.0015604-0.0026255i,-0.0016281-0.0014257i,-0.001421-0.00075086i,-0.0014262-0.00075005i,-0.0017112-0.0014274i,-0.0016559-0.0014769i,-0.0013261-0.00049961i,-0.0013562-3.0079e-05i,-0.00031166-9.1306e-05i,0.00013556-2.5561e-05i,2.6705e-05-0.00055619i,0.00071982-0.00073278i,0.00085129+0.00013896i,0.0003618+0.00075226i,0.00026986+0.00039892i,0.00042541-0.00040851i,0.00056482-0.00043327i,8.2312e-05-0.00074501i,-0.00033871-0.00086049i
0.0012779+0.00024267i,0.00068635+0.00010201i,0.0011302-0.00037628i,0.00018307-0.0016487i,-0.0014949-0.0034621i,-0.0014974-0.0027494i,-0.00097123-0.00095169i,-0.00080745-0.00020687i,-0.00051907-0.00032068i,-0.0010401-0.00058797i,-0.00085183-0.00064403i,-0.00077447-0.00018074i,-0.00093272-0.00028931i,-0.00058927-0.00071941i,-1.2952e-05-0.00012494i,-0.00027738+0.00020796i,-0.00021112+0.00056816i,0.00014005+0.00089958i,0.00035649+0.00073433i,0.0006114+0.00030323i,0.0006516-0.00014689i,0.00058015-0.00010897i,8.446e-05-1.9003e-05i
0.0016335-0.00047225i,0.00068987-0.00090909i,0.00026658-0.00048687i,-4.9759e-06-0.00099587i,-0.0017428-0.002205i,-0.002872-0.0016024i,-0.0025491-0.0005083i,-0.0018198-0.00063965i,-0.0020716-0.0010884i,-0.001552-0.001401i,-7.1978e-05-0.0011929i,0.00021838-0.0005602i,-0.00042612-0.00018496i,-0.00063547+0.00015835i,-7.4164e-05+0.0010798i,0.00022367+0.00087837i,0.00073041+0.00039737i,0.00063971+0.00044501i,-0.00042413+0.00040227i,-0.0011271-0.0002304i,-0.00026643-0.0001493i,-3.3073e-06+0.00024608i,-0.00022135+0.00023897i
0.0014259+0.00073711i,0.001159-0.00043851i,0.00014297-0.00075342i,-0.00015311-0.0013606i,-0.0010167-0.0028062i,-0.0013459-0.0033441i,-0.00022391-0.0019371i,-0.0002256-0.0012638i,-0.00098535-0.0013399i,-0.00091804-0.0010089i,-0.00037623-0.00071793i,1.1306e-05-0.00042098i,-0.00026976-7.2321e-05i,-0.00073955+0.00055906i,-0.00093139+0.00042696i,-0.00024729-0.00038853i,0.00035827-0.0003648i,-0.00050692-0.00012771i,-0.00048136+4.6152e-05i,0.0005774+0.00048217i,0.0010304+0.00021155i,0.00076133-6.55e-05i,0.00028345-0.0003472i
-0.001825-0.00026868i,-0.0011332+0.00011032i,-0.0011768-6.4986e-05i,-0.00097625-0.00023723i,-0.0010575-0.00092237i,-0.0010893-0.0016732i,-0.00040444-0.0012374i,-0.00064548-0.00037073i,-0.0012495+8.66e-05i,-0.001317-0.00047947i,-0.00052995+9.9347e-05i,-0.00065906+0.00041689i,-0.00061872+0.00040327i,-0.0003282+0.00094474i,-0.00051866+0.00040762i,-0.00061764-0.00010824i,-0.00024183-0.0001685i,0.00082804-5.887e-05i,0.00057341+0.00026169i,0.00018872+3.0233e-05i,0.00027817-0.00034474i,0.00028586-0.00050912i,-0.00011847+0.00022409i
-0.00027182-0.00073209i,0.00059706-0.0010253i,-0.00036707-0.0013579i,-0.0021819-0.0020135i,-0.002264-0.002345i,-0.001234-0.0016883i,-3.093e-05-0.0011557i,-0.0001799-0.0016851i,-0.0011595-0.0013585i,-0.0013126-0.00072772i,-0.00065192-0.00035193i,-0.00062494+0.00083141i,-0.00041453+0.0011719i,-0.00023269+0.00062136i,-0.00010954+0.00072515i,-0.00032803+0.00020543i,0.00036118+0.00032647i,0.00085509+0.00077881i,0.0007907-0.00032865i,0.00097755-0.00072701i,0.00078589-0.00037518i,0.00079986-0.00012877i,0.00052032+7.8331e-05i
-0.00011829+0.00071693i,-0.0006027-3.0151e-05i,0.00035966-0.0004849i,0.00029962-0.0020345i,-0.00078383-0.0033981i,-0.0004521-0.0028372i,1.3916e-05-0.0017621i,-0.00037103-0.0018057i,-0.00076559-0.0013807i,-0.00093825-0.00045062i,-0.00029304+0.00018052i,-0.00043666+0.0003448i,-0.0015305+0.00051441i,-0.0015413+0.00059855i,-0.00032346+6.0133e-06i,0.00083069-0.00021544i,0.0007781+0.00028345i,0.00027716+0.00045051i,0.00022346+6.5223e-05i,-4.8994e-05+0.00052967i,-0.00030001+0.00077411i,0.00019698+0.00052678i,0.00089449+0.00012353i
-0.0012342-0.00040692i,-0.00056029-0.0015679i,-0.00050337-0.0028908i,-0.0015183-0.0029737i,-0.0019394-0.0023479i,-0.0011899-0.0018342i,-0.0012572-0.0013878i,-0.0016757-0.0019217i,-0.0013692-0.0019019i,-6.4385e-05-0.00081676i,0.00088897-0.00024215i,0.00020603+0.00041459i,-0.00059246+0.00035479i,-0.00019698+0.00060144i,0.00011473+0.0014823i,-0.00013364+0.0017904i,-0.00073212+0.0010625i,-0.00080771+0.00028881i,-0.00075325-0.00010459i,-0.00080457-8.1023e-05i,1.7856e-05+0.00030415i,0.00019216+0.00037685i,-0.00031993+0.00013846i
