0.0065121-0.00045211i,0.0047938-0.0039578i,0.0033245-0.006752i,0.00042379-0.0062107i,-0.0029953-0.0035597i,-0.0043044+0.00041843i,-0.0022748+0.0016226i,-0.00012222+0.001243i,0.0012901+0.00033387i,0.0009248-0.00094561i,-0.00049141-0.00097663i,-0.001098-0.00015633i,-0.0022089+0.00088614i,-0.0031984+0.0015847i,-0.0030554+0.001337i,-0.0019199+0.00075823i,0.00013426-0.0003128i,0.00080852-0.0006313i,6.9373e-05+0.00017457i,0.00043763+0.00048599i,0.00068494-0.00011329i,-0.00010994-0.00074418i,-0.0005342-0.00094103i
0.00034471+0.00036479i,-8.9564e-05+0.00079786i,0.00031603+0.00074485i,0.00051788+0.00059408i,0.00047382-0.00025755i,0.00061987-0.00078893i,-2.4505e-05-0.00034716i,-0.00081299-0.00064308i,-0.00086674-0.00084979i,-0.00049498-0.00078885i,-0.00025742-0.0005316i,0.00045768-0.00011302i,0.00092032-0.00053401i,0.00060153-0.00073716i,0.00021867-7.8061e-05i,-0.00033482+0.00052694i,-0.00038256+0.00050618i,-0.00059812+0.00019534i,-0.00067875+0.00021912i,-0.00043892+0.00062517i,-0.00037483+0.00080555i,0.00059562+0.00039122i,0.0011979-1.1749e-05i
0.00040087-0.0010526i,0.00077608-0.0014956i,-6.5308e-06-0.00036681i,-0.00079855+0.00094998i,-0.00057003+0.00039879i,0.00077567-0.00043085i,0.00060103-0.00071381i,-0.0005313-0.00077107i,-0.00011379-0.00026222i,-7.954e-05-0.00026257i,1.4494e-05+0.00041424i,0.00021271+0.0014731i,-0.00016589+0.001179i,9.894e-05-0.00021858i,0.00014034-0.0007302i,0.00028806-0.00020326i,0.00086018+0.00013653i,0.00058426+7.0688e-05i,-0.00018995-0.00010612i,-0.00037424-0.00018345i,0.00021842-0.0002033i,0.00033747-4.5565e-05i,8.1698e-05+0.00040733i
-0.00060511+0.0014034i,0.00034181+0.0025282i,-0.00047676+0.0022373i,-0.0011152+0.00019843i,-0.00049624-0.00039781i,0.00021295-0.00085098i,0.0013173-0.001255i,0.0015112-0.00078253i,0.00078155-0.00024055i,3.0134e-05+0.00015387i,-0.00017292+0.00079729i,3.856e-05+0.00073984i,-0.00019204-0.000162i,-0.0008016-5.8844e-05i,-0.0011255+0.00075011i,-0.00078685+0.00059814i,-0.00012772+0.0005267i,-0.00014742+0.00010694i,-0.0004572+0.00028062i,-0.00065407+0.00087682i,-0.0002774+0.00066448i,-5.0251e-05+0.00035408i,0.00015547+0.00020671i
-0.00027636-0.0010338i,-0.00060745-0.0015266i,-0.00082854-0.00071061i,-0.00036502+0.00016906i,0.00032923+0.00024035i,0.0010862-0.00027255i,0.0012655-0.0007354i,0.0008095-0.00048953i,0.00017393+0.00015235i,0.00036939+0.00027355i,0.00054979-0.00063081i,-0.00017284-0.0012632i,-0.00033163-0.00089418i,0.00047419-0.0010635i,0.00093693-0.00067493i,0.0011243-0.0001608i,0.00076448+0.00051473i,-4.3799e-05+0.000658i,-0.00059718-0.00029836i,0.00023227-0.0004334i,0.0011793+8.0876e-06i,0.00037592-0.00070984i,-0.00034526-0.00085404i
0.0011479+0.0019912i,0.001704+0.002445i,0.0017149+0.0014408i,0.0011926-0.00013238i,0.00073036-0.0011583i,0.00029922-0.00083805i,0.00014524-0.00030088i,0.00012787-0.00029128i,0.00069898+1.8931e-05i,0.00064655+0.00034612i,0.00058909-0.00012594i,0.00041781-0.00016333i,-0.00076668+0.00055608i,-0.0014449+0.00021466i,-0.00053995-0.00093385i,-0.00026092-0.0010298i,-0.00038702-0.0005008i,0.00038627-0.00070383i,0.0004326-0.00034086i,-0.00027898+0.00053663i,0.00011786+0.0007305i,0.00081049+0.00038888i,0.00081744+0.00023941i
-0.00093616-0.0013232i,-0.0019905-0.00074493i,-0.0015558-0.0002802i,-0.00050526+0.00023318i,0.00046136+0.00089687i,0.00078282+0.00090674i,0.00050456+6.8764e-06i,0.00014283-0.0011165i,-0.00021838-0.0007225i,-7.7538e-05+0.00020307i,9.6729e-05-0.00076159i,0.00014975-0.0012553i,0.00068005+0.00058144i,0.00055491+0.0013194i,6.5769e-05+0.00042758i,-0.00022576+0.00016383i,-0.00073818-3.4758e-05i,-0.00032311-0.00015268i,0.00034898-0.00010851i,0.00027356-9.585e-05i,-0.00023172+0.00023537i,-0.0006896+0.00020717i,-0.00058437-6.1077e-05i
0.0010894+0.00035355i,0.000984+0.0001764i,0.00050038-0.00011904i,0.00056105-0.00027412i,0.00057588-0.00042709i,0.00020023-0.0019538i,0.00024246-0.0027657i,-2.82e-05-0.0017482i,-0.00021636-0.00072379i,0.00020788+0.00025978i,0.00032521+0.00022815i,0.00054004-0.0009591i,0.00064408-0.00094717i,0.00025112-0.00059161i,-0.00011511+0.0001278i,-9.4494e-05+0.00034637i,0.0002641+0.00029309i,0.00053719+0.0002593i,0.00025568-0.00011082i,-4.7756e-06+0.00013456i,-8.7413e-05+0.00030327i,-0.00028457+0.00031242i,-0.00012281+9.4694e-06i
-0.0021796-0.00090725i,-0.0018235-0.00058498i,-0.0020368+0.00069692i,-0.0017781+0.00081328i,-0.00024349+0.00077051i,0.00063099+0.00012926i,0.0015944-0.0014478i,0.0017583-0.0013584i,0.00065837-0.00030308i,0.00021225+0.00017213i,-7.3624e-05+0.0003489i,-0.0005381+0.00018141i,0.00036627-0.00037836i,0.0012633-8.7609e-05i,0.0007341-6.9268e-05i,-0.0003322+0.00014988i,-0.0012316+0.00026592i,-0.0008923-0.00053525i,-8.184e-05+0.00015269i,0.00018077+0.0011969i,0.00017034+0.00069106i,-9.6005e-05+0.00022245i,0.00057403-0.00025988i
-0.0012236+0.00044229i,-0.00078023+0.0010746i,-0.0013603+0.00082631i,-0.00083834+0.00011606i,0.00020597-0.000694i,0.0010025-0.0021961i,0.00065538-0.0023344i,-0.00019403-0.0017656i,-0.00067401-0.0010116i,-0.0011411+7.2929e-05i,-0.00066659+0.00060815i,-0.00036915+0.00033726i,-0.0011326-0.00018293i,-0.0012096-0.00070811i,5.2431e-05-0.00092198i,0.00040665+7.2719e-05i,0.00011454+0.00055533i,0.00031689+0.00030137i,0.00037921+0.00069474i,0.00055488+2.8085e-05i,0.00051611-0.0001615i,-0.00024389+0.00026055i,-7.1786e-05-0.00029237i
-0.00051531-0.0031936i,-0.0014418-0.001899i,-0.0022221-0.00084424i,-0.0012566+0.00023112i,0.00017938+0.0017569i,0.0011987+0.0017599i,0.0016562+0.00063056i,0.0011219-0.00059966i,0.00048207-0.00070487i,0.00049406+0.00026748i,0.00077868+0.00065809i,0.00038844+0.00078872i,0.00073877+0.00059263i,0.00096794+0.00048351i,0.00077049+0.00042852i,0.00072282+0.00030345i,0.00034643+3.8689e-05i,-0.00017478-0.00060817i,-0.00044596-0.00072269i,-8.5787e-05-0.00078869i,0.00022929-0.00044355i,0.00016363+0.00038498i,-0.00056184+0.0010214i
