-0.0017543+0.0019123i,-0.0018644+0.0010726i,-0.001512+0.00055574i,-0.0011243+0.00017655i,-0.0011772+0.00090993i,-0.0015945+0.0015616i,-0.00067104+0.0014993i,0.00037239+0.0013909i,0.0003081+0.00096481i,0.00028573-0.00021174i,0.000986-0.00088069i,0.0010497-0.00097277i,0.00051246-0.0007882i,-3.783e-05-0.00054589i,4.9772e-05-7.7431e-05i,0.00010795+0.0001024i,-0.00033712-0.00021269i,-0.00011724-0.00040375i,0.00017421-0.00019366i,-0.00017569-0.0002057i,0.00073069+2.9068e-05i,0.0011078+0.00035016i,0.00025039+0.00052131i
8.1016e-05+0.0015211i,0.00012827+0.00074568i,0.000385+0.00054365i,0.00048449+0.00019413i,0.00073291-4.0462e-05i,0.00067562+4.2442e-05i,0.00015446-0.0003633i,-0.00028817-0.00095865i,-0.0010789-0.00041782i,-0.0012862+0.00044555i,-0.0012701+0.00060794i,-0.0010471-8.7123e-05i,-0.00076843-0.00067466i,-0.0012568-0.00047531i,-0.0011352-0.00045946i,-0.00047017-0.00021308i,0.00017769-0.00047964i,0.00058105+0.00015063i,0.00058706+0.00063145i,0.00026569-3.6595e-05i,0.00030082-6.424e-05i,0.00064128+0.0001876i,0.00013594-3.1415e-05i
-0.00093048-0.00071793i,-0.00086104+0.00053579i,-0.0014508+0.0011763i,-0.0016972+0.00071925i,-0.0011588+0.00071575i,-0.00043756+0.0010375i,-0.00031584+0.00081879i,-0.00067835+0.00027102i,-0.00099749-0.00028946i,-0.0010582-0.00034236i,-0.00038524-0.00029232i,0.00013272-0.00059634i,0.00040999-0.00049936i,0.00046354-0.00018729i,0.00033699+0.00071777i,0.00010114+0.00031175i,-0.00031736-0.00058191i,-0.00038669-0.00057971i,-0.00031526-0.0011236i,-0.00011907-0.0014163i,0.00022378-0.00088638i,6.787e-05-0.00080569i,-0.00022734-0.00077908i
0.00040545-6.9218e-06i,0.00021414-0.00032272i,-0.00051939-0.0010735i,-0.00077301-0.00066215i,-0.00017518+0.00021598i,-0.00048379-0.00024562i,-0.00024676-0.0012624i,-0.00057018-0.00080988i,-0.0011222+0.00015682i,-0.0010947-0.00050043i,-0.0010416-0.0010972i,-0.00052229-0.0015218i,-0.00065137-0.0016751i,-0.00094883-0.0010748i,-0.00016914-0.00024918i,0.0001124+0.0002837i,0.00011202+0.00047825i,0.00068635+0.00035199i,4.9895e-05-0.0001327i,-0.0005135+1.3564e-05i,8.3213e-06+0.00019268i,-0.00035236-0.0001208i,-0.00065036-2.2977e-05i
0.0012214-0.00087483i,0.00026748-0.00072927i,-0.00026974-9.0934e-05i,-0.00086302+0.00063274i,-0.0013963+0.00093768i,-0.00054442+0.0010285i,0.00012877+9.4972e-05i,0.00017454-0.00033525i,0.00022186-0.00094172i,-0.00043293-0.0013686i,-0.0005509-0.00074974i,-0.00034142-0.00037806i,-0.00052577-0.00061047i,-0.00035978-0.00026344i,0.00022151+0.0002446i,0.00036046+0.00070189i,7.5602e-05+0.0010052i,0.00034302+0.00032309i,0.00054286-0.00050916i,0.00024202-0.0010957i,0.0003001-0.0012319i,0.00029087+0.00025048i,0.00014746+0.0013401i
0.00012488+0.0010268i,0.0013158-0.00027034i,0.0022902-0.00067556i,0.0010788-0.00030057i,0.00036651-0.0010139i,-0.00031103-0.0011425i,-0.00026289-0.00036246i,0.00025117-0.00054634i,0.00056724-0.00034442i,0.00047158+0.00024634i,0.00025416+0.00013878i,0.00013253-7.4548e-05i,-0.00022341-0.00027178i,-0.00085443-0.0012115i,-0.0008482-0.0008653i,-0.0001263+0.00038712i,-0.0001043+0.00043531i,-0.0005907+0.00030276i,-0.00042948-0.00015512i,0.00024435-0.00024751i,0.00036485+0.00050772i,0.00010967+0.00071556i,-9.7079e-05+0.00034i
0.00027122+0.0011273i,0.00077226+0.0011555i,0.00081015+0.00079835i,0.00060986+9.0801e-05i,-0.0001394+0.00016877i,-0.00075876+0.00037319i,-0.0001101+0.00039257i,-0.0003632+0.00021966i,-0.0014437+0.00026545i,-0.0015557-0.00031095i,-0.00093277-0.0014137i,-0.00024166-0.00042684i,-0.00019094+0.00022069i,-0.00031895-0.00073731i,-8.1374e-05-0.0007102i,0.00015936+0.00010338i,-0.00016886+0.0003547i,-5.7584e-05-0.00025401i,-4.1464e-05-0.00026453i,-0.00016282-8.7178e-05i,0.00011632+0.00011818i,4.4555e-05+0.00074654i,1.5264e-05+0.00087807i
-0.00096765+8.3182e-05i,-0.0008246+0.00048214i,-0.00015008+0.00058518i,-4.4494e-05+0.00026192i,4.4766e-06-0.00022824i,5.3676e-05+3.9289e-06i,0.00029614+0.00047468i,0.00039238+0.00069382i,-0.00015944+0.00031849i,-0.00056916-0.00064162i,-8.6209e-05-0.0012777i,-0.00026002-0.0013078i,-0.0011531-0.0010518i,-0.0010464-9.603e-05i,-0.00029888+0.00072381i,6.9672e-05+0.00033008i,-0.0002713+7.7575e-05i,-0.00041832-4.356e-05i,0.00048397-0.00042688i,0.0011919-0.0001211i,0.00044378+0.00046943i,-0.0003314+0.00025683i,-0.0007211+0.0001402i
0.0021754+0.0012102i,0.0025644+0.0013886i,0.0027528+0.0012995i,0.0020084+0.00098899i,0.00086031+0.0011842i,0.00053967+0.00082408i,0.0002217+7.7115e-05i,-3.916e-05-0.00029197i,1.6097e-05-0.00041001i,9.0799e-05-0.001122i,-6.5325e-05-0.00066529i,-0.00073119+0.00060673i,-0.0010615+0.00052765i,-0.00090057+0.0003485i,-0.000611-2.817e-05i,-0.00064262-0.00053335i,-0.00015927-0.00067689i,0.00086435-8.1395e-05i,0.0010915+0.0002514i,0.00068145+6.4791e-05i,-0.00016686-3.1974e-05i,-0.00080755-0.00060748i,-0.00012659-0.0007453i
0.0013038+0.00063438i,0.00083337-0.00058375i,0.00091744-0.002089i,0.00099746-0.001829i,0.00058096-0.0015451i,4.0063e-06-0.0014014i,0.00012529-0.00072597i,0.00064565+0.00012292i,0.00094436-0.00015496i,0.00036851-0.00096734i,-0.00083092-0.0014337i,-0.00081139-0.0015639i,-0.00029451-0.0014157i,-0.00056062-0.00064648i,-0.00025745+7.5233e-05i,0.00025944+0.00049074i,5.0127e-05+0.00080342i,-0.00026507-2.2263e-05i,0.00016651-0.00035384i,0.00050148-0.00010476i,3.3378e-05-0.00066414i,-0.00059619-0.00029201i,-0.001117-0.00025662i
0.00058704-7.2089e-05i,0.00094977-0.00029972i,0.00098268+0.00027415i,0.00059346+0.00028138i,-0.00028062+0.00061367i,-0.00095195+0.00055286i,-0.00096001-0.00044179i,-0.00066089-0.00077639i,-0.00098606-0.00078468i,-0.00054097-0.0006239i,-0.000269-0.00064657i,-0.00069791-0.0007062i,-0.0003567-0.00094672i,-0.00017609-0.00086869i,-0.00022395+0.00047474i,0.00025278+0.00067304i,0.0003345-1.8996e-05i,0.00025069+9.3237e-05i,0.00035832+0.00018122i,0.00038825+0.00025214i,0.00043472+0.00023644i,0.00031151+0.00017696i,3.4524e-05+0.00019383i
-0.00090943+0.00022705i,-0.0017181-0.0002762i,-0.001996+0.00039618i,-0.001233+0.0004342i,0.00024339-0.00015629i,0.0006004-0.00068749i,5.0019e-05-0.00076329i,-0.00022808+6.1682e-06i,-0.00066597-0.0005257i,-0.0009499-0.0011282i,-0.00084984-0.00036104i,-0.0010154-0.00024253i,-0.00096973-0.00044306i,-0.00018728-0.00053665i,-4.5643e-05-0.00029487i,-0.00049583+0.00033465i,0.00021965+0.00055821i,0.0010586+0.00059154i,0.00064286+0.00032076i,0.00021648-0.00025357i,0.0001336-0.00052227i,-1.4117e-05-0.00044233i,6.2588e-05+5.2667e-05i
0.00023948-0.0012772i,-0.00020006-0.0019867i,-0.0011791-0.001677i,-0.002017-0.00015249i,-0.0016324+0.001582i,-0.00012454+0.0018996i,0.00083776+0.0014492i,0.00091793+0.00020788i,-0.0004943-0.0014441i,-0.0011565-0.0018219i,-0.00049136-0.00086502i,-0.00020997-0.00032354i,-0.00052465-0.000335i,-0.00034754-0.00015595i,0.00046948+0.00018109i,0.0002595+0.00047428i,-0.00038593+0.00049272i,-0.00063131+0.00027321i,-0.00061757+0.0004438i,-0.00071329+0.00018381i,-0.00048139-0.00085887i,0.00025567-0.0011709i,0.00084258-0.00020708i
0.0016856+0.001682i,0.0015702+0.0022206i,0.0013974+0.0011241i,0.00090232-0.00026301i,-0.00018314-0.00093546i,-0.0012012-0.00041602i,-0.0012076+0.0011227i,-0.00027475+0.00059191i,-3.7512e-05-0.00026395i,-0.00078795-0.00040968i,-0.00090069-0.00080992i,-0.00020063-0.00027542i,-2.331e-05+0.00044052i,-0.00024036+0.000483i,-0.00038539+0.00041497i,-0.0002861+0.00027471i,-7.6156e-06-0.0003788i,4.5217e-06-0.00069459i,-0.00010816+7.3461e-05i,-0.00047108+0.00052702i,-0.00087719+5.1778e-05i,-0.00095222-0.00028151i,-0.0011002-0.00049869i
-0.0024627+0.0017627i,-0.0015205+0.0021669i,-0.00027088+0.0019411i,0.0004088+0.0011428i,-0.00014647+0.00098864i,-0.00040732+0.00054646i,-0.000328+1.2033e-05i,-0.00025091+0.00010907i,-0.00042966-8.7278e-05i,-0.00096706-0.00087252i,-0.0012486-0.0010876i,-0.0012659-0.00031892i,-0.00070373+0.00035278i,-0.00045459+0.00017825i,-0.00088692+0.00030069i,-0.00029939+0.00066335i,0.0007632-0.00014019i,0.00081303-0.00027063i,0.00075393+0.00046038i,0.0012602+0.0008439i,0.00057541+0.00040438i,-0.00043779+0.00026884i,6.9477e-05+0.00012647i
0.0015088+6.4065e-05i,0.00037103-0.00072051i,-0.0010898-0.00019276i,-0.0014183+0.00073235i,-0.00073952+0.0012232i,-0.00043104+0.00098254i,-0.00043089+0.00094127i,-0.00056161+0.00029088i,-0.00061793-0.00080951i,-0.0013532-0.0011336i,-0.0012261-0.00090464i,-0.00049314-0.00062527i,-0.00024725-0.00012654i,-0.00053021+0.00013608i,-0.00042122+0.00012705i,-0.0006415+0.0004808i,-0.00081799+0.00014242i,0.00015804-0.00031768i,0.00018351-0.00011542i,-0.00026771+0.00046556i,-0.00093857+0.0014018i,-0.00080562+0.00099582i,-8.555e-05-1.3549e-05i
-0.0014596-2.0047e-05i,-0.0012745+0.00022316i,-0.00092494+3.7521e-05i,-0.00076136+0.00094943i,0.0001177+0.0016648i,0.00081629+0.00095375i,0.0003898+0.00084911i,-0.00021906+0.0011037i,-0.00091033+0.00042575i,-0.00098897-0.00015398i,-0.00025808-0.00076877i,-0.00051395-0.00075863i,-0.0014104-0.00047468i,-0.0011585-0.00018479i,-0.00079374+0.00041887i,-0.00031456+0.00011684i,-0.00016043+3.031e-05i,0.00015061+0.00052441i,0.00046489+0.00090303i,9.8404e-05+0.00076088i,-9.932e-05+0.00017017i,-9.8155e-05-0.00014929i,0.00015591+4.2801e-05i
0.00041285+0.0015116i,-0.00014957+0.0016173i,0.00082086+0.0013042i,0.0013518+0.00076012i,0.0013035+0.00013738i,0.0015582+0.00025852i,0.00091819+0.00045236i,0.0003204-0.00024985i,0.00018452-0.00017515i,3.8361e-05+0.00012929i,-0.00021695+0.00027283i,-0.00078532+0.00058082i,-0.0011951+6.0781e-05i,-0.00079037-0.00024214i,-0.00049193-3.2483e-05i,-0.00056025-9.9882e-05i,-0.00050264-0.00023708i,-0.00029709-0.00046161i,-0.00010204-0.00074343i,0.0002638-0.00030968i,0.00018097-0.00024426i,-0.00038337+0.00014383i,-0.00029401+0.00077209i
-0.000132-0.00072461i,0.00050494-0.00058635i,0.0010725+4.3082e-05i,0.0010956+0.00086815i,0.00064378+0.0012078i,-4.2991e-05+0.00091705i,-0.00058029+0.00039007i,-0.00059678-0.00043838i,-0.0012814-0.0010045i,-0.0011513-0.00049459i,-0.00071865-0.00010551i,-0.00033614-0.00064301i,0.00017975-0.00035597i,-0.00035303-0.00015258i,-0.0004831+0.00014525i,-0.00014002+0.00048035i,0.0001195+0.00039161i,-0.00029526+0.00061368i,-0.0012626+0.00056538i,-0.00062344+5.0509e-06i,0.00061723+3.5084e-05i,0.0005507+0.00073181i,0.00013201+0.0010662i
0.0014414+0.0004245i,0.0021957-0.00070027i,0.0016706-0.00074471i,0.00063211-0.00083245i,0.00037127-0.00094156i,-0.00028554-0.00047123i,-0.0015354-0.00024887i,-0.001728-0.00017488i,-0.00068269-0.00075013i,-5.2083e-05-0.0013159i,-0.00094368-0.0014321i,-0.0010672-0.0012128i,-0.00043587-0.00077904i,-0.00046357-4.3342e-05i,-0.00041902+0.00073211i,0.0003875+0.00061005i,0.0010174+0.00063292i,0.00031547+0.00062433i,-0.00016392+0.0003792i,0.00029442+0.00031966i,0.00036714-5.0643e-05i,9.1799e-05+0.00035482i,-0.00010759-0.00011334i
0.0010554-0.00096312i,0.0010421-0.0014994i,0.00030378-0.0015828i,-0.00053443-0.00057532i,-0.00093666+0.00043928i,-0.00065261+0.00021321i,-3.4077e-05-7.4977e-05i,-3.8183e-05-0.00055729i,-0.00027424-0.00081122i,-0.00062036-0.0012279i,-0.00083925-0.0011036i,-0.00024344-0.00028999i,-0.00032503-3.1603e-05i,-0.00088753+0.00038875i,-0.00087461+0.00026799i,3.2255e-05+0.00037658i,0.00053936-0.00021013i,0.00064615-0.00065777i,0.00047458-0.00027118i,-0.00013926-0.00027911i,-0.00023169-0.00079469i,0.00022995-0.00058343i,0.0002453-0.00017892i
-0.00071178+0.0012201i,0.00046477+0.0021589i,0.0010546+0.0014465i,0.0011672-0.00015938i,0.00063642-0.00016035i,-7.1269e-06-0.00032931i,0.00021908-0.00013023i,0.00032599+4.8604e-05i,0.00013017+0.0003413i,-0.00021194+0.0006601i,-0.00089629-0.00012526i,-0.00082478-0.00094058i,-0.00013358-0.00059518i,-0.00010491+0.000128i,-0.00040186+0.0002295i,-8.5828e-05-7.0243e-05i,0.00023982-0.0011354i,0.00028088-0.0012832i,0.00059166-0.00047094i,0.0003289+3.3646e-05i,-0.00032685+1.2503e-05i,-0.00082014+0.00022949i,-0.0008412+0.0002524i
0.0012216+0.00095664i,0.0018733+0.00069993i,0.0018827+0.00044368i,0.0019595+0.00014377i,0.0016068+0.00022014i,0.0014189+0.00038916i,0.001176+0.00014959i,0.00075585-0.0011271i,0.00039194-0.0018137i,0.00045644-0.0011712i,0.00069553-0.0005353i,-0.00031849-0.0006174i,-0.00058289-0.00075898i,-0.00049411-0.00049029i,-0.0012618-0.00067695i,-0.00087609-0.000281i,-0.00022417+0.00041311i,0.00039631+0.00027649i,0.0013093+0.00052456i,0.00063458-0.00024266i,-0.00040842-0.0011182i,-0.00026175-0.00065178i,-0.00027815-0.00033102i
-0.00011669+0.0019197i,4.6056e-05+0.0021157i,-0.00011369+0.0021444i,-7.6881e-05+0.0018634i,0.00077105+0.00066824i,0.0012768-0.0006635i,0.001066-0.00030303i,0.00094782+6.6134e-05i,0.00063433-0.00089734i,0.00017939-0.0014719i,0.00014936-0.00081768i,-9.5334e-05-0.00014283i,-0.00019629-0.0002524i,0.00019823+7.0371e-05i,6.854e-06+0.00056592i,-0.00029724+0.0003088i,-0.00025222-3.4523e-05i,-0.00038544+0.00014145i,-0.00041498+0.00033696i,-0.00040751+0.0001425i,-0.00027454+0.00042622i,-2.2035e-05+0.0010901i,-0.00049705+0.00067331i
-0.00096996+0.00041724i,-0.00062325+0.00070258i,-0.00055496+0.00081783i,-3.4609e-05+0.0010902i,0.0006331+0.00088066i,0.00051937-0.00057083i,-0.00035539-0.0011775i,-0.0012744-0.00051823i,-0.0014937-0.00072089i,-0.00020178-0.00098889i,0.00050197-0.001198i,-0.00027325-0.0014835i,-0.0013002-0.00092687i,-0.0015709-0.00091184i,-0.0011466-0.0012296i,-0.00069225-0.0007506i,-0.00014416+0.00015274i,-8.1767e-05-0.00020271i,-3.3116e-05-0.0011436i,0.00045998-0.0012825i,0.00053331-0.00049788i,0.00046144+0.00011247i,0.00013793-0.00019i
-0.00088871-0.00012915i,-0.00018666-0.00023239i,0.00040485+0.00057323i,9.6176e-05-0.00012907i,-0.00076917-0.00051554i,-0.00079595+0.00021042i,-9.4254e-05+0.00053509i,0.00048124-8.2011e-05i,1.1205e-05-0.00039237i,-0.0006258-1.2996e-05i,-0.0013747-0.00043353i,-0.0012702+8.8957e-05i,-0.001511+0.00057852i,-0.0017325-0.00032027i,-0.00010453-0.00086468i,0.00092824-0.00026371i,0.00023875+0.00054852i,0.00014287+0.0003888i,0.00032643-8.7591e-05i,-0.00030965-0.0006639i,-0.00081582-0.00053311i,-0.00091606+2.7294e-05i,-0.0008745+0.00012801i
4.7417e-05-0.0014161i,0.00010679-0.00080573i,0.00080549-0.00046029i,0.00013888-0.00037342i,-0.00043344-0.00038742i,-0.00029113+9.0684e-05i,-0.00049771+0.0010319i,-0.00086887+0.00090086i,-0.00046205-0.00031342i,-6.7527e-05-0.0010069i,-0.00068244-0.0002952i,-0.00075885+0.00030992i,-9.1917e-05-0.00020099i,0.00037288+9.6013e-05i,0.00032895+0.00043364i,4.0149e-05+0.00022536i,3.7879e-05+0.00055626i,5.9526e-05+0.00067149i,0.00047618+0.00058192i,0.00065795+7.6323e-05i,0.00050565-0.00078076i,0.00046492-0.00052727i,0.00020909+0.00037259i
0.0031479+0.0015553i,0.0033123+0.00068028i,0.0033621+7.202e-06i,0.0021252+0.00010482i,0.00035766+2.6866e-05i,-0.00033801-0.00038134i,-0.0002753+0.00024825i,0.00013962+0.00090563i,8.6854e-05+0.00040256i,0.00010635-0.0013333i,-0.00016289-0.0015088i,-0.00074769-0.0010197i,-0.00099114-0.0010859i,-0.0008369-0.00076343i,-0.0004589-0.00019502i,-0.0003691-0.00015956i,-0.00061767-0.00052424i,-0.00087458+5.076e-05i,-0.00089253+0.00060707i,1.4038e-05+0.00062058i,0.00050837+0.00097119i,-9.2941e-05+0.0010203i,-0.00078143+0.00066536i
-0.00036371+0.00025636i,0.00034057-0.000496i,0.00087522-0.00077406i,4.213e-06-0.00027681i,-0.00066524-0.00017338i,-0.00014745-0.00033929i,0.00073499-0.0004396i,0.00085654+0.00011861i,0.00031919+0.000226i,-0.00057748-0.00038194i,-0.00049853-0.00055081i,-0.00037682-0.00032286i,-0.0003808-0.0012195i,-0.00082381-0.0010473i,-0.0012236+0.00063644i,-0.00066484+0.00053188i,-0.00016455+7.2917e-05i,0.00075892-0.00034828i,0.00058925-0.00095108i,0.00021623-0.00024467i,0.00078405+0.00021675i,0.00083262-0.00010844i,0.00062913+0.00036607i
0.00016967+0.00095776i,0.00039736+0.00085913i,0.00081164+0.00063181i,0.0013317-0.00015691i,0.0013038-0.00032605i,0.00039806-0.00079467i,-0.00042132-0.00078946i,-0.00098701-0.00025749i,-0.00051054-3.5123e-06i,0.00010884-0.00012874i,-0.00016905-0.00068321i,-0.00032808-0.00055815i,-0.00056232-0.0005183i,-0.00065069-0.0005083i,-0.00063456+0.0005121i,-0.00084161+0.00077552i,-0.00024608+0.00012795i,-0.00029397+0.00047079i,-0.0008406+0.00079488i,-0.0010718+0.00034732i,-0.00067425-9.7905e-05i,-0.00054381-0.00016407i,-0.00063973-0.00033435i
-0.001069+0.00049998i,-0.00030073+0.00088319i,0.0011718+0.00093555i,0.0014205+0.0012789i,0.00085109+0.0017939i,0.0009987+0.001707i,0.00058295+0.00025756i,-0.00088165-0.00085214i,-0.0012141-0.00065707i,-0.00064842+0.00052569i,-5.2086e-05+1.1356e-05i,0.00019314-0.00027031i,-0.00057885+0.00054989i,-0.0010184+0.00034297i,-0.00069609+0.00024085i,0.00078128+4.5854e-05i,0.0015866-0.00021307i,0.00068956-0.00076759i,-0.00035108-0.0012801i,-0.00033146-0.00070734i,0.00030337-0.00028051i,0.00018639+5.4548e-05i,-0.00011766+0.00051622i
0.0022399+0.00076332i,0.0019781+0.00046328i,0.0018822-7.1748e-05i,0.00068019+0.00014525i,0.00032753+0.00046464i,-6.2416e-05+0.00023364i,-0.00050172-0.00012041i,-0.00033324-0.0011035i,3.4087e-05-0.0014931i,0.00024476-0.00073584i,-3.6879e-05+0.0002177i,-0.00010408-0.0001273i,-0.0002443-0.00064739i,-0.00034809+0.00048648i,-0.00014493+0.00072014i,9.4761e-05+0.00051917i,0.00034655+0.0015105i,0.00043482+0.0015943i,0.00032707+0.00058512i,0.0006227-1.6457e-05i,0.00019529-0.00010886i,-0.0009711-0.0002068i,-0.0010706+0.00018992i
