9.4105e-05+7.1085e-05i,0.00099636-0.0013697i,0.00059393-0.0019239i,-0.00044569-0.0012234i,-0.0028485-0.00042081i,-0.0041291+0.00051054i,-0.0015014+0.00069359i,0.00035005+0.0015398i,0.00097223+0.0014971i,0.0021174+0.00074389i,0.0013378+0.0006318i,2.5637e-05-0.00033644i,-0.00029418-0.0011965i,-0.00037484-0.00062719i,-0.00071613+0.00018184i,-0.00072615+7.1939e-05i,-0.00034915-0.00043625i,0.00052154-0.00055639i,0.0011134-0.00056948i,0.00065967+0.00016483i,0.00014054+0.00084647i,-0.00036012+0.00021818i,-0.0010103-0.00065631i
0.00073112-0.0013412i,0.00021803-0.0012482i,-0.00056486-0.0012895i,-0.0011832-0.0016494i,-0.0015967-0.0012055i,-0.0015084-0.0006768i,-0.00063384-0.00029315i,-0.00051573+0.00042506i,-0.00063985+0.00054022i,0.00037343+0.00039941i,0.00037647-5.6924e-05i,-0.0001895+0.00010288i,-0.00059421+0.0007848i,-0.0012348+0.00083091i,-0.00092343+0.0011379i,-0.00022917+0.00038893i,0.00026897-0.00040441i,0.00013655-0.00039497i,-0.00037656-0.00067075i,-0.00031931-0.00036743i,-0.00040486+0.00028616i,-0.00045809+0.00042959i,-0.00020137-0.00071908i
-0.0017327-0.00083254i,-0.0027759-0.0014834i,-0.0030187-0.0017633i,-0.0023604-0.001999i,-0.0020895-0.0015004i,-0.0019763-0.00071098i,-0.0013165+0.00025279i,-0.0001888+0.0003491i,2.4476e-05+0.000128i,0.00062325-0.00023289i,0.00059638+0.00016233i,-0.00083307+0.0010049i,-0.0010267+0.0013601i,-0.00080782+0.0017028i,-0.00096703+0.0015639i,1.1641e-05+0.00051449i,0.00065498-1.7947e-05i,0.00059493+0.00038378i,0.00061533+0.0002329i,0.00032079-0.0004877i,0.00032521-0.00031156i,-0.00013052+0.00016826i,-0.00024688+0.00013655i
-0.00088075-0.00082961i,-0.00070621-0.00017651i,-0.00090983-0.00064864i,-0.00064313-0.0015534i,-0.000394-0.00232i,-0.0014619-0.0021335i,-0.0017154-0.00061627i,-0.0017604+0.00017441i,-0.0011329+0.00042677i,0.00042778+0.001349i,0.00081976+0.00083818i,0.0012774-0.00016069i,0.00091159+0.00034421i,-0.00059428+0.00031581i,-0.00068057+0.00023386i,0.00052943+0.0015443i,0.00076725+0.001092i,0.00084727-0.00045521i,0.00081803-0.0005066i,0.00084722-0.00033838i,0.00053242-0.00024954i,0.00043024+0.00057281i,0.00058126+0.00089405i
-0.00061137+0.00028431i,0.00040217-0.00037012i,0.0012452-0.00092985i,0.00056408-0.00071021i,-0.00078733-0.00035126i,-0.0013326-0.00084479i,-0.00073464-0.0011343i,-0.0002688-0.00035358i,-0.00012496+0.00068469i,-0.00035963+0.0012689i,-0.00076303+0.000808i,-0.001056+0.00093398i,-0.0010069+0.001296i,-0.00036025+0.0011467i,-0.00032629+0.0012643i,-0.00056703+0.0017436i,0.00011301+0.0017439i,0.00081985+0.0010484i,0.00060748+0.00081785i,0.00043918+0.00085085i,7.0949e-05+0.0009059i,-0.00044492+0.00022749i,-0.0006196-0.00075381i
-0.00039082-0.00045275i,0.00029495-0.00042985i,0.0015073-0.0010813i,0.0014782-0.0022137i,-0.00069689-0.0024887i,-0.0021227-0.0016018i,-0.0016805-0.00025106i,-0.00071998+0.00036753i,-0.00041947+0.00067903i,-0.00048459+0.00068325i,-0.00010533+0.00042794i,-5.8647e-05+0.00072582i,-7.28e-05+0.0010182i,0.00062388+0.001192i,0.001175+0.00080131i,0.0010583-9.6326e-05i,0.00068274+1.9573e-05i,0.00085728+7.3629e-05i,0.00036988-0.00037149i,-0.00025576-0.00037406i,-0.00041407-0.00051524i,-0.00069894-0.000436i,-0.00066462-0.00044854i
0.0025134-0.0020255i,0.0029718-0.0024538i,0.0022217-0.0028649i,0.00012243-0.0025663i,-0.0012888-0.0025392i,-0.00069309-0.0021497i,0.00029686-0.00097209i,0.00034704+0.00023125i,-0.00021854+0.001261i,-0.00071189+0.0012259i,-0.00047876-0.00049304i,1.503e-05-0.00097879i,0.00015877-0.00056645i,-0.00013267-0.0010133i,-0.00086131-0.0011884i,-0.00026222-0.00027308i,0.0001569+0.0006529i,0.00079058-0.00016107i,0.0015631-0.00034572i,0.00097981+5.4319e-05i,-4.2733e-05-0.00029637i,-0.00039421-0.00012613i,-0.00068116+0.0001128i
-0.0014542-0.00096892i,-0.0010878-0.00040341i,-0.0016304-0.00082212i,-0.0023815-0.0012025i,-0.0032697-0.0013706i,-0.002839-0.0018459i,-0.0015416-0.0015346i,-0.0014616-7.6351e-05i,-0.001879+0.0010358i,-0.0015626+0.0010973i,-0.00074616+0.00064029i,-5.6314e-05+0.00048139i,0.00057539+0.00064808i,0.0012505+0.00048023i,0.0005425+1.9063e-05i,-0.00051644+9.5367e-06i,-0.00045784-0.00010164i,0.00032287-0.000404i,0.0011111-2.5695e-05i,0.001188+0.00042077i,0.0010499+0.00011777i,0.0004787-0.00020076i,-2.4489e-05+0.00023819i
0.001678-0.00096419i,0.001634-0.0015511i,0.00045004-0.0025381i,-0.0010966-0.0024347i,-0.0017061-0.0016389i,-0.0010295-0.00091857i,-0.0006803-0.00073866i,-0.00068254-0.00091873i,-0.00073414-0.00030764i,-0.0017547+0.00031934i,-0.0020536+0.00029004i,-0.0012193+0.00080379i,-0.00018347+0.001263i,0.00021146+0.0011365i,3.4304e-05+0.00028385i,0.00011367-0.00010898i,0.00066843+0.00036123i,0.0011025+0.00041246i,0.00080109-0.00022978i,0.00053299-0.00090031i,0.00042593-0.00051207i,0.00022647-0.00020587i,-5.598e-05-0.00010782i
-0.002306+0.0011761i,-0.0028303+0.0017547i,-0.0030684+0.0010523i,-0.0022263+7.8015e-05i,-0.00083031-0.00030354i,0.00072686-0.0014385i,0.0011141-0.0013746i,-0.00011944-0.00016445i,-0.0011145+0.00070101i,-0.0010995+0.0016231i,-0.00075776+0.0015531i,-0.00094541+0.00051906i,-0.00079202+0.00019841i,-0.00020565+0.00021674i,0.00032014-0.00032513i,0.00055862-0.00023911i,0.00012912+0.00027753i,-0.00056054+0.00033578i,-0.00063451+0.00023702i,1.4167e-05-0.00046823i,0.00021608-0.000772i,0.00016606-0.00071133i,-8.9777e-05-0.0005829i
0.0025774-0.001373i,0.0015903-0.0014127i,0.00043624-0.0026896i,-0.00054833-0.0034729i,-0.001351-0.0031314i,-0.0026432-0.0022938i,-0.0032192-0.0013993i,-0.0019134-0.00033767i,-0.00084021+0.00081739i,-0.00074312+0.0016309i,-0.00068651+0.0013058i,-0.0011725+0.00060853i,-0.0010124-0.00010915i,-0.0002623-0.00016144i,-4.3557e-05+0.000586i,-0.00029098+0.0010381i,-0.00083869+0.0012718i,-0.00066538+0.00094979i,0.00046461+0.00040895i,0.0012619-0.00023754i,0.00025397-0.00050385i,-0.00016055-0.00012219i,-0.00017907-0.00018153i
0.0013792+0.0015388i,0.0010442+0.0008103i,0.0020219+0.0017395i,0.0022855+0.00052168i,0.00099164-0.0012194i,-0.00087821-0.001916i,-0.0013177-0.0015742i,-0.00061697-0.0007334i,0.0002753+0.0008466i,0.00090742+0.0019537i,0.0006664+0.0012956i,-1.7773e-05+0.00035479i,-0.0001559-7.4635e-05i,8.4245e-05+0.00014657i,0.00014585+0.0001247i,0.00062919-0.00069832i,0.0010272-0.00095272i,0.0011934-0.00025793i,0.00081551+4.4804e-05i,0.00011915-0.0003848i,0.00059804+4.3297e-05i,0.00053105+0.00037901i,8.78e-05+0.00038911i
0.00064087+0.0026035i,0.00095+0.0034658i,-0.0001416+0.0025239i,-0.00036746-0.00016958i,-0.0010288-0.0018682i,-0.0018746-0.0022383i,-0.0017769-0.001405i,-0.001113-0.00062792i,-0.00062239-0.000474i,0.00010214+0.00071679i,0.0011172+0.0014541i,0.0012932+0.0012023i,0.00058364+0.00093708i,-7.0078e-05+0.0011135i,2.7561e-05+0.00062544i,0.00028806+0.00018209i,-3.8506e-05+0.00056602i,0.00015459+0.00096524i,0.00030298+0.00079558i,6.2327e-05+9.5563e-05i,0.00033479-0.00038347i,0.00093222-0.00055018i,9.7197e-05-0.00020219i
0.001137-0.0018392i,8.2059e-05-0.0022233i,-0.00025415-0.0028632i,0.00015763-0.0037323i,0.00033199-0.0032035i,-0.00050124-0.0030483i,-0.00078419-0.0017335i,-0.00042046+1.9326e-05i,-0.00058199+0.00077065i,-0.00021359+0.00080282i,0.00056313+0.0011973i,0.00042272+0.001548i,-0.00011278+0.0012585i,0.00037571+0.0010202i,0.00030569+0.0016115i,-3.4575e-05+0.0019801i,0.00022985+0.0012833i,0.00068762+0.00032674i,0.00082984-0.00050492i,0.00050306-0.00085436i,7.8544e-05-0.0010832i,9.043e-05-0.00060954i,2.8271e-05+0.00033761i
0.00074091+0.00056562i,0.00074911+0.00070642i,-4.4865e-05-0.00027053i,-0.00018159-0.0017688i,-0.00059838-0.0031379i,-0.0020353-0.0028711i,-0.0018047-0.001951i,-0.00052892-0.00066093i,0.0005118+0.00069235i,0.00023873+0.0014179i,-0.00058701+0.0012744i,-0.00076165+0.0008583i,-0.00066282+0.00098236i,-0.0001661+0.0007424i,0.00020823+0.00038868i,0.0002268+0.00022234i,0.00029761-2.6295e-05i,6.8918e-05+0.00013464i,4.9401e-05-0.00051987i,0.00026749-0.00078068i,0.00029241-0.00048209i,6.9108e-05-0.0011978i,0.00012691-0.0014476i
0.00062797-6.315e-07i,0.0013754+0.00039893i,0.0016555+0.00071428i,0.00089837-0.00041432i,8.1758e-05-0.0013599i,-0.00033806-0.001056i,-0.00030433-0.0012649i,-0.00010441-0.00050705i,-1.5866e-05+0.0010506i,0.00067125+0.0015701i,0.00097082+0.00087178i,0.00063198+0.00063995i,0.00037169+0.00019911i,0.00022557+3.5392e-05i,-0.00032225+0.00015283i,-0.00034661-0.00025588i,0.00049211-0.0006057i,0.00051512-0.0015762i,0.00048953-0.0023684i,0.00067438-0.00127i,-0.00034144-0.00051356i,-0.00062594-0.00064079i,6.4892e-05-0.00037894i
0.00059977-0.0011243i,-0.00052927-0.00089545i,-0.0012894-0.0018072i,-0.0010272-0.0024196i,-0.0013212-0.0027496i,-0.0018819-0.0028394i,-0.0013948-0.0014729i,-0.0005938-0.0006333i,-0.00060142+0.00035209i,-0.00024792+0.0010191i,7.1313e-05+0.00037043i,0.00049513-0.00011127i,0.00076661+0.00052066i,0.00025846+0.001197i,0.00034036+0.0011846i,0.00043326+0.0011151i,9.4305e-05+0.0012395i,-0.00052131+0.00072052i,-0.00095761-0.00023552i,-0.00064423-0.00090405i,-0.00010944-4.6541e-05i,-0.00016522+0.00052308i,-0.00064346+0.00010683i
0.0023427+0.0035967i,0.002856+0.0044196i,0.0035506+0.003275i,0.0024383+0.00062386i,-8.0657e-05-0.001355i,-0.0015424-0.0019781i,-0.0011609-0.0015348i,-0.00091609+0.00012562i,-0.00039816+0.0015968i,0.00053814+0.0012894i,0.0010812+0.00051813i,0.0011309+0.00013887i,0.0011318-0.00024099i,0.0013232-0.00044306i,0.0012543-0.00074952i,0.00056744-0.00041318i,-0.00079911+0.00011493i,-0.0011851+9.9044e-05i,0.00019451-0.00023027i,0.00066633+0.00017659i,0.000269+0.00066785i,0.00026207-2.11e-05i,-0.00017827-0.00080125i
-5.3078e-05-0.00022193i,-8.679e-05-0.00074815i,-0.00013919-0.0012281i,-0.0013035-0.0025615i,-0.0012716-0.0027809i,-0.0013038-0.0015187i,-0.00043936-0.00055867i,0.00049783+0.00024i,0.00018535+0.0015574i,0.00054482+0.0017087i,0.00089809+0.001281i,0.00036929+0.0011186i,4.8518e-05+0.00029709i,0.00014285-0.00041094i,0.00019615-3.3913e-05i,-0.00013901+0.00020537i,-0.00041598+7.5375e-05i,-0.00029367+0.00034905i,0.00044606+0.00040427i,0.0006052+0.00048065i,0.00040412+0.00034354i,0.00043233-4.9576e-05i,0.00053782-0.00043795i
0.0015828+0.0030192i,0.002911+0.0017817i,0.0041353+0.00058316i,0.0025273-0.00062069i,0.00022947-0.0016814i,-0.00075521-0.0025422i,-0.00062553-0.0020531i,-6.2649e-05+0.00046217i,0.00035725+0.0022024i,0.00030666+0.0013738i,0.00033646+0.00051308i,0.00024011+7.2312e-05i,0.00032272-0.00025378i,0.00046571-0.0013292i,0.00043019-0.0012073i,-0.00068282+0.00039866i,-0.0011172+0.0011874i,-0.00076989+0.00105i,-0.00054098+0.00045702i,-0.00042616-0.00028486i,-0.00030613-0.00053333i,0.00022706-8.3266e-05i,0.00015009-0.00015967i
0.0016527+0.002144i,0.0014366+0.0018336i,0.001741+0.0012016i,0.0018842-0.00051358i,0.0006757-0.0021046i,-0.0011464-0.0020671i,-0.00093882-0.0011948i,8.6376e-05-0.00011882i,0.00078866+0.0010737i,0.00092374+0.0014262i,0.00047433+0.0012604i,-0.00033259+0.00048628i,4.5357e-06-0.00067949i,0.00076995-0.00087045i,0.00078081-0.00059375i,-0.00027144-0.00041786i,-0.0013224+0.00016622i,-0.0013303+0.00071951i,-0.00055188-4.0918e-06i,-0.00026336-0.00045968i,2.665e-05-0.00017554i,0.0012974-0.00044774i,0.0014736-0.00040649i
0.0026017-0.0005447i,0.0023707-0.0010498i,0.0024717-0.0015252i,0.0017321-0.0022098i,-0.00051171-0.0022504i,-0.0022849-0.0014399i,-0.0020806-0.00081736i,-0.0012483-0.00035308i,-0.0004015+0.00058457i,5.71e-05+0.00053915i,0.00019662+0.00012989i,-0.00012254+0.00049655i,-0.0010003+0.00024663i,-0.00078472-0.00074055i,-0.00034968-0.00061047i,0.00022682+0.00069253i,0.00040399+0.0021252i,9.1618e-05+0.0020376i,-0.00065761+0.00093695i,-0.00061229+0.00077512i,-5.6624e-05+0.00094512i,0.00032819+0.00087593i,0.00064449+0.00024549i
0.0036184+0.00017969i,0.0027998+7.6236e-05i,0.0030912-0.00053787i,0.0018044-0.0020316i,-0.00032861-0.0035736i,-0.0010018-0.0034158i,-0.00071365-0.0015475i,-7.0797e-05+9.2023e-05i,0.00071817+0.0011504i,0.00036438+0.0014751i,-4.7132e-05+0.0011923i,-0.00049915+0.00061708i,-0.00077973-0.00043456i,-0.0008445-0.00057192i,-0.00020982-4.6194e-06i,1.9476e-05+0.00043752i,-0.00078793+0.00022511i,-0.0005116-0.00030813i,-0.00056454+0.00015672i,-0.00089305+0.00078371i,-0.00081556+0.00043234i,-0.00029591-0.00052175i,6.7422e-05-0.0005577i
-0.0042808-0.00041958i,-0.0031444-9.6116e-05i,-0.0030057-0.0011308i,-0.0026694-0.0008589i,-0.0016247-0.00053039i,-0.00053537-0.00083211i,0.00016951-4.7662e-05i,0.00054938+0.00064848i,0.00030338+0.0010025i,1.5013e-05+0.001767i,8.4766e-05+0.0016382i,0.00015194+0.00091282i,-0.00075668+0.00046781i,-0.0014518+0.0011935i,-0.0010483+0.0019417i,-0.00069101+0.0017574i,-0.00071321+0.0014571i,-0.00026207+0.0014352i,0.00051079+0.0015151i,1.5809e-05+0.00076564i,-0.00044401+3.2065e-05i,-0.00039921-0.0004062i,6.0934e-05-0.00075997i
0.00021521+0.0011802i,-0.00037138+0.00012683i,-0.00026482-0.00087279i,0.0004476-0.0018288i,0.00059571-0.0023046i,3.9268e-05-0.0015431i,-0.00026108-0.00093262i,0.00061654-0.00081982i,0.0015123-0.000307i,0.0012609-0.00063022i,0.0010276-0.00058532i,0.00045023+0.00024566i,-5.2562e-05+0.00057226i,-0.00051705+0.00023864i,-6.5935e-05-0.00012363i,0.0004135+0.00044494i,0.00094798+0.00091202i,0.0015369+0.0011171i,0.0013947+0.0010028i,0.0011604+0.00044292i,0.00071708-5.9263e-05i,0.00083483-0.00012526i,0.00082381-0.00013742i
0.0013488+0.0020065i,0.0012314+0.0017008i,0.0024208+0.0010678i,0.002061-0.0020322i,0.00054682-0.0045361i,-0.00015878-0.0043718i,-0.00035084-0.0035061i,0.00017928-0.0024919i,0.00087125-0.0019143i,0.00076479-0.00093361i,0.00065486-0.00014867i,0.00092184+0.00020407i,0.00081927+0.00031467i,-0.00021289-0.00056189i,-0.00042939-0.00051527i,-7.3925e-05+0.00012667i,0.00064381+0.00064652i,0.00072622+0.00089075i,-0.00018942+0.00081682i,-0.0007642+0.00018055i,0.00016904-0.00054462i,0.0008494-0.00056126i,-0.00038286+0.00012515i
-0.0013222-0.0018709i,-0.0016779-0.0023775i,-0.0020029-0.0033182i,-0.0016052-0.0017873i,-0.0010308+0.00065019i,-0.001155+0.00071363i,-0.0013238+8.4517e-05i,-0.0013895+0.00026065i,-0.0014352+0.00021652i,-0.00066583-0.00055879i,-0.00051119-0.00064604i,-0.00078982+0.00062106i,-0.00056394+0.0016373i,-0.00057264+0.0012515i,-0.00082131+0.00073168i,-0.00083451+0.00015524i,0.00015424+1.5705e-05i,0.00066676+0.00067948i,0.00032027-0.00031457i,0.00057848-0.00082578i,0.0010828-8.3667e-06i,0.0001253-0.00059677i,-0.00047228-0.00078788i
-0.0003428-0.0018823i,-0.00025704-0.003405i,-0.0011397-0.0045292i,-0.0018588-0.0038172i,-0.001801-0.0029153i,-0.00091482-0.0020793i,-0.00054874-0.0012523i,-0.00092765-0.00063961i,-0.0011655-0.00043449i,-0.0014914-0.00072711i,-0.0011032-0.00088474i,-0.00088325-0.00036035i,-0.0011197+0.00062272i,-0.00088771+0.0015515i,-0.00054673+0.0018755i,-0.00095671+0.001696i,-0.00038122+0.00087363i,0.00054736+0.00020697i,0.00043826-0.0005617i,0.00036509-0.00094059i,0.00050784-0.00031595i,0.00026936-0.00024468i,0.00026716-9.7238e-05i
-0.0004187+0.0012792i,-0.00082382+0.0020918i,-0.00098772+0.0030517i,-0.00078268+0.0029052i,-0.00071855+0.0012931i,-0.00065071-0.0012559i,-0.0015087-0.0021166i,-0.0015922-0.0019815i,-0.0016124-0.0011463i,-0.0023689-0.00015306i,-0.0019688+0.00018702i,-0.00067518+3.9642e-05i,0.00030661+7.071e-05i,0.0011245+0.00029432i,0.0011108+0.00061157i,0.00020873+0.00036059i,-0.00039422-7.9296e-05i,-0.00046413-7.4727e-05i,-7.083e-06-0.00030225i,0.00047136-0.0006556i,0.00027567+5.5528e-05i,-0.00058736+0.00042555i,-0.0011569-0.00032483i
0.0016955-0.0012571i,0.0016225-0.0016618i,0.0014128-0.0029432i,5.2948e-05-0.003354i,-0.00052449-0.0022567i,-0.0011207-0.0014801i,-0.0021156-0.00092959i,-0.0029996+0.00020614i,-0.00374+0.00065485i,-0.0039209+8.5945e-06i,-0.0033029-0.00054491i,-0.0021943-0.0002041i,-0.0011246+0.00070084i,3.0657e-05+0.0014147i,0.0004875+0.00082109i,0.00032297-3.7003e-05i,-0.0001809-2.5265e-05i,-0.00022596+0.00029495i,0.00013211+0.00036068i,-0.00013149-0.0007664i,-0.00050851-0.0012415i,-0.00050518-0.00068269i,-0.00071134-0.00016176i
0.0015237+0.0025786i,0.0030476+0.0018346i,0.0031292+5.7668e-05i,0.0010855-0.0011615i,-0.0006222-0.0014531i,-0.0020919-0.0012509i,-0.0029871-0.00047691i,-0.0027681+5.2911e-05i,-0.0018788+0.00071624i,-0.0016435+0.0023536i,-0.0017836+0.0023239i,-0.00070134+0.0014909i,0.00073027+0.0015682i,0.0009576+0.0012703i,0.00040997+0.001197i,8.5999e-05+0.00071239i,0.00041466+0.00010149i,0.00036679-0.00034878i,0.0003521-0.0002744i,0.00028247-0.00015431i,-1.5546e-05-0.00074035i,-0.00016933-0.0009472i,-0.00014634-0.00015434i
0.0012596+0.003618i,0.003075+0.0031059i,0.0034239+0.0025618i,0.0022035+0.0010212i,0.00051279-0.001638i,-0.0012589-0.0026277i,-0.0014545-0.0015313i,-0.001222+0.00036799i,-0.0014272+0.0022782i,-0.0017487+0.0028811i,-0.00094143+0.0025487i,0.00044841+0.0017958i,0.0011523+0.0014994i,0.0014159+0.0014442i,0.0016035+0.00058948i,0.00057279+0.00039036i,-0.00057122+0.0010856i,-0.00061542+0.00074992i,-8.2549e-05-5.9094e-05i,0.00037055-0.00015891i,0.00045625-0.00013912i,-0.00023841-0.00028382i,-0.00035234-0.00011267i
2.7924e-05-0.00025235i,0.00041013-0.00059252i,0.00045844-0.001408i,-8.5319e-05-0.0020439i,-0.00068251-0.0018364i,-0.0013696-0.0018224i,-0.0016906-0.00074508i,-0.0017841+0.0013097i,-0.0013833+0.0031713i,-2.3871e-05+0.0037078i,0.00060595+0.0028463i,0.00031794+0.0024056i,0.00055572+0.0013921i,0.0012641-0.00031316i,0.0013947-0.00072902i,0.0012738+0.00012299i,6.4037e-05+0.0010465i,-0.00092167+0.00092522i,-0.00054224+0.00070262i,-2.4124e-05+0.00021283i,-0.00021362-0.00050399i,-0.0009236-0.0004835i,-0.00094498-0.00046473i
0.00068049+0.0013077i,0.00082426+0.00041601i,0.0012687-0.00041785i,0.0018604-0.0013756i,0.0015278-0.0023186i,3.7567e-05-0.0017521i,0.00013244-0.00032317i,0.0005273+0.0011994i,0.00042196+0.0027777i,0.0014902+0.0043154i,0.002119+0.0040251i,0.0018091+0.0022817i,0.0015159+0.00099191i,0.0014999+0.00055136i,0.00074538-0.0002477i,-0.00040949-0.00031026i,-0.00057442+0.0009224i,-0.00033954+0.0012906i,-0.00036263-0.00017446i,6.0188e-05-0.00067672i,0.00021119-0.00044746i,-6.6207e-05+5.4884e-06i,-0.00013479+0.00036067i
-0.0036777-0.00018336i,-0.0039297+0.00077734i,-0.004639+0.0010108i,-0.0037598+8.7987e-05i,-0.0021247-0.0012165i,-0.00065968-0.0024894i,0.00016302-0.0018288i,-0.00033905+0.00057394i,-0.00086887+0.0027049i,0.00096643+0.0038721i,0.0024928+0.0028013i,0.0026188+0.00079583i,0.0022228+0.00060471i,0.0015609+0.00044911i,0.00047407-0.00054774i,-0.00028277-0.00064108i,-0.00017647-0.00014477i,0.0006875-0.00023935i,0.00095247-0.00085839i,-0.00025542-0.00074204i,-0.00038102-7.8645e-05i,0.00056883-0.00050918i,0.00083164-0.00070639i
0.00022263+0.0025848i,0.00052063+0.0020599i,0.00032049+0.0023851i,0.00062209+0.00057796i,0.00086396-0.0017755i,0.00072171-0.0024702i,0.00060925-0.00077436i,0.00043935+0.0023505i,0.00083447+0.0031318i,0.0016882+0.0019878i,0.0018814+0.0004899i,0.0019343-0.00082645i,0.0010034-0.00079565i,0.00017452-0.0011596i,-0.00023913-0.0015688i,-0.00036125-0.00045619i,0.00071114+0.00089116i,0.00080747+0.0010497i,-0.00036281+0.00050278i,-0.00037895+0.00022865i,0.00043167-0.00013616i,0.00089643-0.00036409i,0.00057771-0.00012293i
-0.0020833-0.0014523i,-0.0014855-0.0019603i,-0.0011792-0.0012577i,-0.00090926-0.0011429i,-0.0011367-0.0018938i,-0.0008225-0.0017442i,-0.000523-0.0015948i,0.00054508-0.00051943i,0.0020413+0.00094892i,0.0023549+0.0015431i,0.00083366+0.00052912i,-0.00022995-0.00012904i,-0.0011493-0.00083016i,-0.0021203-0.0003537i,-0.0019805+0.00063286i,-0.0009779+0.00099566i,0.00023652+0.00098309i,0.00052338+0.0005781i,0.00054497+0.00031229i,0.00067305+0.00048393i,0.00072727+0.00038519i,0.00030644+0.00036222i,-0.0002212-9.6835e-05i
0.0024639+0.00067313i,0.00093832+0.0012787i,0.00049685+0.0005297i,-0.0011877+0.00025366i,-0.0016156-0.00064657i,-0.0011706-0.0013401i,-0.00056866-0.00052311i,-5.7844e-05+0.00030544i,0.00092078+0.00051357i,0.0015507+0.0001147i,0.00082216-0.00089934i,1.0659e-06-0.0011127i,-0.00068511-0.00088321i,-0.0010637-0.00059401i,-0.0009856-0.00029203i,-0.00085141-7.6655e-05i,5.3166e-05+0.00051424i,5.2928e-05+0.00071879i,-1.1425e-05+0.00054975i,0.00044585+4.738e-06i,0.00065425-0.00055135i,0.00034538-0.00021402i,5.55e-05-6.64e-05i
0.0007096-0.00036731i,0.0015052-0.0010195i,0.0016453-0.003226i,0.00057093-0.0036835i,-0.0010388-0.0032836i,-0.0022676-0.0020097i,-0.0012931-0.0002906i,-3.8916e-05+0.00037081i,0.00098739+0.00037643i,0.0014505+3.5457e-05i,0.00056092-0.0011211i,-0.00083377-0.00086693i,-0.0017254+0.00012642i,-0.0017955+0.0002293i,-0.00098077-0.00021855i,-0.00034086-3.619e-05i,2.2392e-05+0.00021868i,0.0004487+0.00030883i,0.00027085+0.00076297i,-0.00020306+0.00053971i,-0.00026199+0.00073578i,-0.00065835+0.00067307i,-0.00032468-0.0004711i
0.0012268-0.00033115i,0.00065856-0.00063319i,-0.00096001-0.0015394i,-0.0018843-0.0015708i,-0.0012573-0.0014168i,-0.0006639-0.00086043i,0.00033599+0.00049949i,0.0012958+0.00063155i,0.0018865-0.00015526i,0.0016107-0.0009403i,0.0008585-0.0015857i,-0.000329-0.00062161i,-0.000653+0.00093053i,-0.00070747+0.0010359i,-0.00030416+0.00067662i,0.00021151+0.0010471i,-0.00049619+0.00080465i,-0.00057497+0.00037412i,-0.00035249+0.0004477i,-0.00079034+0.00065989i,-0.00038076+0.00032813i,0.00036926-0.00033914i,0.0005671-0.00027837i
-0.0016244+0.0021865i,-0.0012191+0.0014037i,-0.0018123+0.0014707i,-0.0012018+0.0011021i,-0.00075074-0.00014142i,-0.00030769-4.4894e-05i,0.00071081+0.00033154i,0.0015408-0.00035833i,0.0011216-0.00065682i,-0.00044051-0.00013469i,-0.0014527+0.00024372i,-0.0012626+0.0005669i,-0.00052881+0.00095639i,0.0004125+0.0018236i,0.00073182+0.0022945i,0.00053995+0.0018878i,-9.6532e-05+0.00073272i,-8.5088e-05-2.2638e-05i,0.00031463+0.00025264i,0.0006464+0.00015773i,0.00082179+1.2391e-05i,0.00013546-0.00028503i,-0.00041797-0.00087272i
0.002459+0.0026043i,0.0028261+0.0041557i,0.0039832+0.0026688i,0.0034979-0.00096431i,0.0013832-0.0026649i,-0.00018567-0.0027272i,-8.5374e-05-0.0022491i,0.00042787-0.0018638i,0.0003807-0.0012093i,-6.8517e-06+2.2959e-05i,-0.0011004+0.00024669i,-0.0011617+0.0010507i,-0.00061818+0.0019122i,0.0002055+0.0019022i,0.0010634+0.0020618i,0.00071964+0.0020358i,-7.986e-05+0.0011862i,-0.00077567+0.00034518i,-0.00059437+0.00012139i,0.00035145+0.00013501i,0.00092963+0.0003779i,0.0011688+6.3059e-05i,0.00036076+0.00010621i
-0.00015801+0.00056923i,0.00046604+0.00073138i,0.00096678+0.00080347i,0.0014425-0.00029417i,0.0011509-0.0029135i,0.00035572-0.0046327i,0.00036532-0.0030094i,0.00066902-0.00080004i,-0.00039462+0.00029828i,-0.0017727+0.00099628i,-0.0012492+0.0017443i,-0.00035425+0.0017467i,0.00017381+0.00092879i,0.00092714+0.0011729i,0.0020781+0.0016543i,0.0017994+0.0021263i,0.00053291+0.0021899i,-3.1234e-05+0.0015118i,-0.00049806+0.0010461i,-0.00079529+0.00050322i,-0.00058722-0.00067987i,-0.00011725-0.00090266i,-0.00035626+0.00015221i
-0.00050576+0.00296i,-0.00010386+0.0027375i,0.00012788+0.00095936i,-0.00058364-0.0016173i,-0.0014987-0.0037069i,-0.0019869-0.0041111i,-0.0014356-0.002502i,-0.00081809-0.00054755i,-0.00094234+0.00016679i,-0.0013425+0.00094848i,-0.0015847+0.0019394i,-0.00081323+0.0022125i,0.00062198+0.0018153i,0.00067262+0.0014604i,0.00049093+0.0011034i,0.0014166+0.00076354i,0.0010031+0.0002308i,0.000688+2.9805e-05i,0.00098783+0.00034811i,0.00083073-0.00036931i,0.00077824-0.0011759i,0.00021319-0.00081039i,-0.00022222-0.0005031i
