9.4105e-05+7.1085e-05i,0.00099636-0.0013697i,0.00059393-0.0019239i,-0.00044569-0.0012234i,-0.0028485-0.00042081i,-0.0041291+0.00051054i,-0.0015014+0.00069359i,0.00035005+0.0015398i,0.00097223+0.0014971i,0.0021174+0.00074389i,0.0013378+0.0006318i,2.5637e-05-0.00033644i,-0.00029418-0.0011965i,-0.00037484-0.00062719i,-0.00071613+0.00018184i,-0.00072615+7.1939e-05i,-0.00034915-0.00043625i,0.00052154-0.00055639i,0.0011134-0.00056948i,0.00065967+0.00016483i,0.00014054+0.00084647i,-0.00036012+0.00021818i,-0.0010103-0.00065631i
-0.0013469+0.0028191i,-0.00077365+0.0020512i,-0.00043188+0.0020464i,-0.0003682+0.0015501i,-6.6457e-05+0.0004975i,-7.9547e-05+0.00020996i,-0.00058329+0.00059459i,-0.00036643+0.00092233i,0.00050999+0.00083157i,0.0014855+0.00074136i,0.0014531+0.0012319i,0.0010217+0.00098202i,0.00092869+0.00068769i,0.0008803+0.00086449i,0.00054434+0.00082027i,0.00064396+0.00057322i,0.00081468+0.0004627i,-4.7503e-05+0.00026352i,-0.00093246-0.00027194i,-0.00099387-0.00034443i,-0.00027963+0.00052931i,0.00027954+0.00075618i,0.0002107+0.00051999i
0.0023964-0.0023219i,0.0024941-0.0017317i,0.0016894-0.0026926i,3.341e-06-0.0033155i,-0.0023157-0.0026736i,-0.0026944-0.00025788i,-0.00089326+0.0001529i,0.00040602-0.00073675i,0.00017705-0.00010383i,-0.00032687+0.00062145i,-0.00071567+7.1962e-06i,-0.00036291-0.00025809i,-0.00010476+0.0007355i,-0.00031119+0.00076897i,9.0047e-05-0.0001928i,-0.00020948-0.00060405i,-8.0313e-05-0.00076591i,-0.00014008-0.00031586i,-0.00029574-0.00029544i,-0.00082973-0.00041862i,-0.00078913-0.00041201i,-0.00037734+5.5274e-05i,-0.00053615+0.0012388i
0.0003192-0.00017784i,0.00032969+0.0006006i,-0.0001422+0.00039668i,9.7024e-05-0.00040927i,-0.00058547-0.00084731i,-0.0014776-0.00042154i,-0.00083908+0.00010941i,-0.00082245-5.1239e-05i,-0.00037509-0.00044195i,0.00094908-0.00035398i,0.0012738+0.00075276i,0.00060706+0.00053784i,0.00029317+0.00016872i,5.2467e-05+0.00038261i,-6.5527e-05+0.00053538i,-0.00038999+0.00056681i,-0.0013295+0.00050014i,-0.0011192+0.00082521i,-0.00024501+0.00062329i,-7.296e-06-0.00010035i,0.0001124-0.00016842i,0.00015722-0.00023076i,-9.5263e-05-0.00047689i
-0.0012199+0.0011986i,-0.0012866+0.0011285i,-0.002041+0.0015216i,-0.0017069+0.0013747i,-0.0013259+0.00021762i,-0.0011291-0.00085214i,-0.00086457-0.00045289i,-0.00012989+0.00080889i,0.00030305+0.0015036i,0.00036965+0.0011023i,0.00036768+0.0011642i,0.00032757+0.0011549i,0.00074458+0.00019576i,0.0010932-0.00074072i,0.0011836-0.00078455i,0.0011095+0.00028819i,0.00086308+0.0012874i,0.00043028+0.00091583i,0.000395-1.9382e-05i,0.0008391-0.0010274i,0.0010995-0.0013553i,0.00061655-0.00073042i,-0.00031373-0.00013876i
0.0015361+0.00056015i,0.00088456+0.0010349i,0.0007222+0.00018543i,0.00091598-0.00056431i,-0.00056665-0.0008016i,-0.0016694-0.00081665i,-0.00081661-0.00042897i,-0.00014096+8.5613e-05i,-0.00020261+0.00066934i,-0.0001338+0.00090261i,0.00064547+0.00030146i,0.0011039-0.00019176i,0.0010839-0.00027711i,0.0011658-0.00076305i,0.0012163-0.001165i,0.0013667-0.00076468i,0.00073224-9.1529e-05i,-9.475e-05+0.00012429i,-7.9647e-05-0.00019957i,-0.00011018-0.00066016i,-0.0001811-0.00057826i,0.00030845+0.00023838i,0.00021052-0.00028486i
-0.00014989+0.00051861i,-8.4124e-05+0.00047769i,0.00040627-0.0015462i,-0.00088091-0.0022143i,-0.0022571-0.0013255i,-0.0018664+0.00035584i,-0.00090022+0.00068146i,0.00018016+0.00094267i,0.00026417+0.0014389i,0.00027225+0.0011362i,0.00071441+0.00093451i,-3.1156e-05+0.00050926i,-0.00039319+0.00015113i,2.6454e-05+8.817e-05i,-0.00020615-0.00019219i,9.2157e-05-0.00045266i,0.00053365+8.9327e-05i,0.00036732+0.00069874i,0.00069489+0.00036764i,0.0008993-0.00029209i,0.00066608-0.00096384i,0.00052642-0.00051692i,-0.00021642-6.3875e-05i
-0.0021933+0.00084736i,-0.0016835+0.00051935i,-0.00095368+0.00031485i,-0.00040935+5.8346e-06i,-0.00049643+0.00037576i,-0.0009886+0.00048532i,-0.0014425-0.00039962i,-0.0010733-0.00024693i,0.00047626+0.00060644i,0.0011759+0.0016559i,0.0012401+0.0020221i,0.0011367+0.001101i,0.00038845+0.00064563i,0.00034119+0.00068561i,0.00091769+0.00098174i,0.00086759+0.0013406i,-2.5973e-05+0.001459i,-0.00057312+0.00030675i,-0.00078148-0.00074815i,-0.00035155-0.00020431i,0.00029967-0.00079297i,0.00015589-0.00090732i,9.4645e-05+0.00033798i
-0.0013735+0.0010077i,-0.0012089+0.0009209i,-0.0020628+0.00080097i,-0.0014531-0.00036911i,-0.00046667+8.2466e-05i,-0.0010323+0.00070645i,-0.0010441+0.00031219i,-0.00028108+0.00063229i,-0.00058588+0.00083087i,-0.00053065+0.00095003i,0.00045039+0.00094307i,0.00088307+0.00068703i,0.00047769+0.00046525i,0.0010172+0.00047798i,0.0011203+4.5125e-06i,0.00012605-1.2329e-07i,-0.00043564+0.00019505i,4.4533e-05+4.4837e-05i,0.00097069-0.00014717i,0.00039276-0.00080008i,-0.00046898-0.00033919i,-0.00038416-0.00013055i,-0.0003735-0.00018412i
5.2726e-05-0.00074165i,0.00066658-0.00086614i,-0.0003786+1.542e-05i,-0.0020458-1.0946e-05i,-0.0019824-0.00020158i,-0.0012243-0.00017837i,-0.00069516+0.00021429i,-0.00025859+0.00026854i,-0.00019548+0.00040449i,-7.747e-05+0.0010016i,0.00021544+0.0010939i,-0.00034949+0.0013481i,-7.5894e-05+0.001435i,0.00042985+0.00090531i,0.00018914+0.00080791i,0.00049873+0.00097139i,0.00079204+0.00097226i,0.00058212+0.00022754i,0.00024708-0.00071291i,-0.00015874-0.00094725i,-0.00017347-0.00038509i,-0.00021942+9.6781e-05i,-0.00050022+0.00069413i
0.00021645+0.00033725i,0.00044948-0.00017172i,0.000106-0.00054571i,-0.00069509-0.0011032i,-0.00086687-0.0017042i,-0.00042328-0.0013523i,-0.00092152-0.00044663i,-0.00085917+7.0337e-06i,0.00020672+0.0010733i,0.00019045+0.0017191i,-0.00041528+0.001047i,-0.00035837+0.00041436i,3.2986e-05-2.2346e-06i,6.6725e-05-0.00031036i,0.00034995+7.1824e-05i,0.00053788+0.00020324i,0.00041689-0.00043503i,0.00082789-0.00030921i,0.00035445+9.1715e-06i,-9.4391e-05+0.00038763i,-0.00037846+0.00043006i,-0.001025-6.2559e-05i,-0.001302-0.00047349i
