-0.0018012+0.00040463i,-0.0018073+1.9882e-05i,-0.0014944+0.00080352i,-0.0011768+0.00030653i,-0.0018623-0.00058502i,-0.0027366-0.0007069i,-0.0021602+2.2899e-05i,-0.00018091+0.00072764i,0.0011565+0.0012805i,0.0013452+0.001311i,0.00073232+0.00073642i,0.00020171+9.5143e-05i,0.00060454-8.2313e-05i,0.0010966+0.00030012i,0.00010651+0.00073557i,-0.0010126+0.00050691i,-0.00091821-0.00038705i,-0.00020578-0.0007027i,1.1476e-05-0.00066038i,-0.00040945-0.00048512i,0.00030697+0.0003465i,0.00044937+9.0343e-05i,2.9587e-05-0.00084677i
-7.0792e-05-5.1878e-05i,-0.00072692+0.00031195i,-0.00074346-0.0005989i,-0.00073466-0.0018193i,-0.00063142-0.0020065i,-0.0013617-0.0015427i,-0.0020133-0.001633i,-0.0014049-0.0010011i,-0.00018914-0.00018689i,0.00033182-0.00028151i,4.8229e-06-0.00061764i,-0.00012146-0.00017521i,-3.1083e-05-0.00014774i,0.00012815+5.5618e-05i,-0.00011813+0.00054677i,-0.0010567+5.173e-05i,-0.0014692-0.00052065i,6.1305e-05-0.00068863i,0.0013784-0.00035459i,0.0013494-0.00010357i,0.00018277-0.00016407i,-0.00046485-0.00043753i,-0.00023098-0.00013499i
-0.00014329-0.00079189i,0.00042515-0.00073624i,-0.00086024-0.00036513i,-0.001311+0.00032264i,-0.0013989+0.00036385i,-0.0018955+7.3864e-05i,-0.0015251-8.684e-05i,-0.0011792-0.00011284i,-0.0019767-8.3397e-05i,-0.0018983-0.0001693i,-0.00086755-0.00027749i,0.00088895-0.00061302i,0.0013523-0.00011733i,0.00027049+6.9791e-05i,0.00018388-0.00071734i,0.00018703-0.00056452i,0.00016957+0.00011498i,0.00067309-0.00021881i,0.0008117-0.00041769i,0.00052287-7.5543e-05i,0.00050778+0.00041893i,0.00034363+0.0004797i,0.00017609-9.2958e-05i
-0.00077158-0.0014848i,-0.001037-0.00038638i,-0.00044122-3.3862e-05i,-0.00036206-0.00028778i,-0.0016332-0.00029545i,-0.0025843-0.0012314i,-0.0023585-0.0017082i,-0.0018315-0.00089402i,-0.0010553-0.00015876i,-0.00015902+0.00031685i,0.00050523+0.0007138i,0.00082026+0.00041974i,0.00093478+0.0001061i,0.00078031+0.00030951i,0.0006799+0.0001684i,0.00035261-0.00019773i,0.00018435-0.00044283i,-6.4225e-05-0.00052231i,0.00018811-0.00037924i,-0.0003852-0.0003149i,-0.00058536-0.0011411i,2.5912e-05-0.00031877i,0.00017709+0.00084638i
-1.4453e-05+0.00014737i,-0.00094821-0.0003409i,-0.0010815+7.2825e-05i,-0.00073995+0.00022838i,-0.00092277-0.00031768i,-0.0018547-0.00080025i,-0.0020368-0.00059309i,-0.0012948-0.0003248i,0.0001307+0.00027864i,0.00086139-1.4541e-06i,0.00034978-0.0008141i,0.00058694-0.00087238i,0.00081072-0.00023524i,0.00052829+2.846e-05i,0.0002605-0.00056677i,0.00052574+0.00012062i,0.00027234+0.00098455i,-0.00053335+0.00075419i,-0.00087764+0.00027647i,-0.00052426-0.00046007i,-8.8648e-05-0.00093314i,3.049e-05-0.00081983i,0.00035296-0.00090534i
0.0010994-0.00011535i,0.0017552+0.0004512i,0.0014029+0.00029619i,-0.00010493-0.0009405i,-0.00093783-0.0021059i,-0.0014388-0.0021165i,-0.001711-0.001544i,-0.0007523-0.00075078i,0.00067628-0.00057314i,0.00089918-0.00043944i,-0.00050033-5.1099e-05i,-0.0015473-0.00028035i,-0.0017791-0.00029619i,-0.00092888-0.00015634i,-0.00048539-0.00045085i,-0.0013125-0.0004645i,-0.00068466-0.00053217i,0.00031596-0.00048568i,0.00049176-0.00012497i,0.00064889-0.00053783i,0.00091682-0.00039708i,0.00045815-0.00010336i,-0.00050713-0.00056695i
-0.0021509-0.00074206i,-0.0029642-0.00087873i,-0.0034317-0.00076181i,-0.0028982+0.00019795i,-0.001979+0.0010812i,-0.0013174+0.00011269i,-0.0017155-0.00054196i,-0.0023808-0.00019043i,-0.0019145+0.00035248i,-0.00085101+0.00039742i,-9.6884e-06+0.000175i,0.00079822+0.00014264i,0.00095093+5.7802e-05i,0.00055891+3.9086e-05i,-0.0001632-0.00020125i,-0.00055105-0.00058446i,-0.00031096-0.00015778i,0.00076337+3.4914e-05i,0.00075499+0.00018042i,-0.00017387+0.00034105i,-0.00016941+0.00028841i,-0.00036225+0.00024646i,-0.00016237-0.00038392i
-9.961e-05+0.001238i,-0.00091089+0.00025794i,-0.00012631+0.00074464i,0.00065856+0.00090101i,0.0001066-0.00073666i,-0.0014115-0.0018736i,-0.0019713-0.0011915i,-0.0016947+0.00010962i,-0.00073213+0.00064894i,0.00050025+0.001036i,0.0014898+0.00053073i,0.0012336-4.4084e-05i,-3.4497e-06-0.0004428i,-0.00029781-0.00031395i,0.00016005-0.00023974i,7.4776e-05-0.00049834i,-0.00012073-0.00048563i,-5.8584e-05-0.00043585i,0.00035129-0.00037986i,3.9436e-05-0.00059625i,-0.00020938-0.00053997i,0.00060085-0.00020653i,0.00043194-0.00014598i
0.00014561-0.00072835i,-8.4918e-05-0.0010251i,-0.0010642-0.00059962i,-0.0014295-0.00079648i,-0.00086648-0.0014262i,-0.00095873-0.0013409i,-0.0017652-0.0015031i,-0.0018822-0.0011711i,-0.00065919+9.7495e-05i,0.00069059+4.4104e-05i,0.0010565+4.8582e-05i,0.00030845+0.00038099i,0.0002344-0.00013868i,0.00065044-0.00045365i,-0.00060934-0.00030374i,-0.00090822+0.0001723i,0.0006749+0.0011636i,0.0013067+0.0015848i,0.00033408+0.00054944i,-0.0010204-0.00039223i,-0.00055012-0.00043944i,-0.00016749-0.0009236i,-0.00079361-0.00097198i
0.001823-0.00056512i,0.0012494-0.00071842i,0.00060239-0.0012176i,0.00012146-0.0013932i,-0.0014443-0.00066011i,-0.002676+0.00032245i,-0.0020228-0.0001776i,-0.0010436-0.0011835i,-0.00030926-0.0007733i,-0.00012599-0.00064659i,-0.00068132-0.0010005i,-0.00096736-0.0011519i,-0.00076995-0.0010396i,-0.00034707-0.00048043i,-0.00019558+0.0004114i,-2.9802e-05+0.00062046i,0.00046674-6.5735e-05i,0.00069235-0.00090111i,0.0005225-0.0012831i,0.00058865-0.00095496i,0.00012232-0.0008513i,-0.00059361-0.00076217i,-0.00022527-0.00054559i
-0.0004214+0.00041007i,-0.0017652-0.00027931i,-0.0016564-0.00099582i,-0.00074422-0.0012253i,-0.00082851-0.0012207i,-0.0014873-0.0013587i,-0.0022596-0.00070814i,-0.0016109+0.0001221i,0.00045343-0.00047597i,0.00099101-0.0011468i,0.00024416-0.00062667i,2.1478e-05-0.000197i,-6.7284e-05+6.9927e-05i,0.00045025+0.00081023i,0.0011999+0.00054622i,0.00098524-0.00036482i,6.9894e-05-0.00067874i,-0.00051309-0.00016773i,-0.00074707+0.00062008i,-0.00059013+0.00054358i,-0.00019301+0.000374i,-0.00036884-0.0001786i,-0.00034835-0.00025065i
0.0010881+0.00065842i,0.00090438-0.00059086i,0.00063987-0.0016972i,-3.1068e-05-0.0011907i,-0.00023072-0.0013836i,-0.0016588-0.0017782i,-0.0021937-0.00080886i,-0.00085261-0.00021379i,-0.00026388-0.00045585i,-0.00039899-0.00060142i,-0.00079079-0.00018664i,-0.0010897+0.00024388i,0.00013992+0.00013405i,0.00084042-0.00045139i,0.00016014-0.00089759i,-1.8634e-05-0.001036i,0.00068157-0.00033903i,0.00066847+0.00014174i,0.00038147-0.00058243i,0.00020367-0.00051481i,-0.00021692+8.3666e-05i,-8.9914e-05-0.00032995i,-0.0007737-0.00058528i
-0.00020358+0.00012997i,-0.00062987-0.00025193i,0.00022415-0.0011293i,7.2947e-06-0.0012446i,-0.00098826-0.00071924i,-0.0015142-0.0014205i,-0.0019944-0.0015286i,-0.0012245-0.0011308i,-0.0001285-0.00090993i,-0.0001723-0.00050631i,-0.00081942-0.00027019i,-0.00049039-0.00023114i,0.00028773+0.00021895i,0.00058247+0.00016553i,0.00059508+0.00029673i,0.00079523+0.00074963i,0.00086673+0.00046279i,0.00046249-0.00028169i,0.00062385-0.00075327i,0.00016959-0.0005747i,0.00010567-0.00047861i,0.0011228-0.00037231i,0.00094669-0.00022697i
-0.00020786-0.00058029i,0.00017779-6.158e-05i,2.6689e-05+0.0011543i,-0.0016737+0.0011733i,-0.0027573+0.00022859i,-0.0024905-0.00055936i,-0.0018984-0.0011927i,-0.00096726-0.00085178i,-0.00062453+0.0008083i,-0.0006874+0.0014803i,-0.00014089+0.00078176i,7.1771e-05-0.00044863i,-0.00041755-0.0010559i,-0.00041691-9.4179e-05i,-6.9498e-05+0.00093434i,-0.00041225+0.00054642i,-0.00068701+4.9949e-05i,7.5654e-05-0.00035703i,0.00073293-0.00068769i,0.00044717-0.00013851i,0.00034141+0.00095244i,0.00022436+0.00046261i,-0.00037405-0.00037331i
0.00046004+0.00044962i,-0.0002295-0.00024852i,-0.00057692-0.00025133i,-0.00082027-0.00063786i,-0.0010525-0.0013956i,-0.0014606-0.001484i,-0.00087238-0.00064829i,-0.00016741-6.5591e-05i,0.0004104-0.00014877i,0.00013541-0.00029706i,-0.00029819-0.00096611i,-8.9965e-05-0.0012252i,7.2791e-05-0.00084554i,0.00072005-0.00041879i,0.00081534-7.0851e-05i,0.00037013-0.00054315i,0.00018208-0.00041925i,0.00037095-0.0002538i,0.00029765-0.0001974i,7.62e-05+7.4738e-05i,0.00044913+0.00036653i,0.00019541+0.00056183i,-0.00053488+0.00012921i
-0.00059508-0.00093266i,-6.4578e-05-0.00054053i,-0.00069119-0.0005728i,-0.0024043-0.00029724i,-0.0026587-0.00068129i,-0.0022934-0.00152i,-0.0023271-0.0010161i,-0.0016959-0.00024352i,-0.00034163+0.00017198i,0.00035195+0.00054372i,0.00027114+0.00022464i,-0.00037311-3.558e-05i,-0.00033704-0.00031891i,0.00018216-0.00088253i,0.00038684-0.00097794i,6.6098e-05-0.00059171i,-0.00041883-0.00012514i,-0.00026112+0.0002197i,-0.00034965-6.4909e-06i,-0.00065357+0.00011963i,0.00033431+0.00036937i,0.0014988+4.8764e-05i,0.00093979-0.00012543i
-0.00057821-0.0018413i,-0.00055787-0.00098065i,-0.0016424-0.00076749i,-0.0017915-0.00054441i,-0.0017018-0.00020043i,-0.0017031+0.00022582i,-0.0019091-0.00022351i,-0.0011185-0.0001673i,-0.00042484+0.000534i,-0.00068471+0.00088576i,-0.0011084+0.00073781i,-0.00081331+0.00021358i,-8.414e-05+0.00036917i,-3.7951e-05+0.00049572i,-0.00021723+0.00015051i,-0.00025901-0.00051291i,-0.00050932-0.00053083i,-0.00099813-3.8822e-05i,-0.00065737+0.00066679i,-0.0003251+0.00060004i,-0.00048287+8.8218e-06i,-0.00060392-0.00016848i,-0.00015934-0.00052268i
-0.001846+8.7888e-05i,-0.00070522+0.00040144i,-0.00058472+8.8764e-05i,-0.00084797-0.00090131i,-0.00044383-0.0013122i,-2.688e-05-0.0011592i,-0.0011498-0.00060415i,-0.0015663+0.00058452i,-0.00054323+0.0012697i,-0.00080222+0.0015312i,-0.0003006+0.0013286i,0.0007919+0.00067985i,0.0009364-0.00016573i,0.00094597-0.00047862i,0.00050414+1.1281e-05i,0.00076779-0.00021199i,0.00095515-0.00034773i,0.00045389+0.00028552i,-0.0004497+0.0005945i,-0.0011887+0.00018454i,-0.00091931-0.00035984i,-0.0001409-0.00025744i,-5.9475e-05-1.1489e-05i
-0.00086666+0.00067101i,0.0002225+0.0013914i,0.0014154+0.0011705i,0.0015124+0.00029299i,0.00065425-0.00027532i,-0.00039655-0.00061094i,-0.0012035-0.00086808i,-0.0010481-0.00028982i,-0.00022739+0.00065271i,-2.4801e-05+0.00028033i,9.5651e-05-0.00049935i,0.00021368-0.0003027i,-6.593e-06+0.00038236i,6.456e-05-3.786e-05i,0.00065417-0.00094232i,0.0010959-0.00016839i,0.0001593+0.00020261i,-0.00075521+0.00012473i,-0.00051153+0.00026549i,-0.00078544+0.00028919i,-0.00072599+0.00015746i,0.00024589+6.0547e-05i,0.00030299+4.1052e-06i
-0.00042276-0.00026572i,-0.00084941+9.7115e-06i,-0.0009051-0.00068655i,-0.00064506-0.0019878i,-0.00070245-0.0022286i,-0.0011369-0.002233i,-0.0015642-0.0021022i,-0.0012888-0.00072828i,-0.00028487+0.0001911i,8.1712e-05+0.00016356i,1.5819e-05+0.00020071i,-0.00016412-3.624e-05i,-0.00022627-0.00043916i,0.00067482-0.0012371i,0.00048073-8.0178e-06i,-0.0002113+0.0016224i,-0.00012597+0.0010021i,-0.00013501+0.00048054i,0.00026367+0.00049963i,0.0001079+0.0002346i,-0.00011971+0.00014661i,-0.00033553+0.00047829i,-0.0003886+0.00031744i
-0.00049431-0.00081888i,-0.00082425-8.566e-05i,-0.0012563+0.000613i,-0.0011462+0.0003161i,-0.0010842+1.9632e-06i,-0.00097883-0.00031065i,-0.0010219-0.0009284i,-0.0011885-0.00046568i,-0.00080961+0.00035946i,-6.3511e-06+0.00069009i,0.00018546+0.00048475i,-1.8835e-05+0.00021153i,0.00027154+0.00049751i,0.00082119+0.00052462i,0.00030117+0.00025081i,3.8047e-05+0.00029904i,0.0006962+0.000386i,0.00086468-8.1806e-05i,-7.2321e-05-0.00016491i,-0.00067451-3.3764e-05i,0.00037066-0.00013332i,0.001211+0.00034879i,0.00076835+0.00041419i
-0.00078098+0.00092835i,-0.0010862+0.0013581i,-0.000393+0.00062909i,0.0004918-0.00013202i,0.00015448-0.001573i,-0.00061551-0.0027144i,-0.00099348-0.0023964i,-0.00082341-0.0011598i,-0.00034472-0.000149i,-2.6468e-05-0.00025198i,-0.00064369-0.00035182i,-0.00074783-4.8723e-05i,-0.00039222+9.6451e-05i,-0.00056781+5.3458e-05i,-0.00053787+0.00046561i,-0.00040039+0.00055606i,-0.00030926-1.1258e-05i,9.4447e-05-0.0012283i,0.00053692-0.0015802i,0.00025631-0.00044094i,-0.00014495+0.00018947i,0.0003615+0.00034263i,0.00049107+6.9538e-05i
-0.0013522+0.00057123i,-0.0014409+0.0012592i,-0.00012185+0.0012164i,0.0008288+0.0003724i,-0.000146-0.00080398i,-0.001152-0.0018454i,-0.0015917-0.0016752i,-0.0010377-0.00071395i,-0.00022775+0.00052215i,-0.00012583+0.0010846i,-2.4574e-06+0.00025841i,0.00011262-0.00010656i,0.00013762-4.3396e-05i,7.2654e-05+0.00038858i,0.0005788+0.00039175i,0.0010059-0.00036875i,-1.1692e-05-0.00031412i,-0.00028831+0.00024855i,0.00049012+0.00069906i,0.00058255+0.00063572i,0.00062059+0.00012757i,0.00085401-0.00020953i,0.00037681-0.00058671i
-0.00087372+0.00070654i,-0.0002093+0.00017931i,0.0005221-0.00047757i,-0.00020799-0.0012597i,-0.0011366-0.0018804i,-0.0015125-0.0017277i,-0.0015139-0.00085572i,-0.0013355-7.1714e-07i,-0.00082957+0.00060658i,-0.00018047+0.00060697i,0.00013344-0.0003961i,0.00041442-0.0011486i,5.8523e-05-0.00096757i,-0.00091396-0.0003865i,-0.00049419-0.00030063i,0.00025745+1.978e-06i,-0.00032805-3.1078e-05i,-0.00042018-0.00032797i,0.0001789-0.0003096i,0.00024862-0.0004652i,-0.00037112-0.00047534i,-0.00061355-0.00055958i,0.00030074-0.00062294i
0.0014144+0.00064046i,0.0005329+0.0014495i,-0.00021121+7.2043e-05i,-0.00096338-0.0012483i,-0.0011337-0.00093825i,-0.0017113-0.00084577i,-0.0020319-0.0010239i,-0.0015259-0.00011122i,-0.0011607+0.00014594i,-0.00043785-0.00048464i,-0.0003857-0.00087747i,-0.00035178-0.0014265i,0.00040637-0.0015565i,0.00083532-0.00082174i,0.0007849-0.00028353i,0.0001988-0.00014001i,-0.00014795+6.5122e-05i,-0.00052548+0.00028247i,-0.00082999+0.00068064i,-0.00080631+0.00091607i,-0.00032216+0.00036943i,-9.7673e-05-0.0007549i,0.00054891-0.00070358i
-0.00031469+0.0011853i,-0.00030649+0.00047795i,0.00089722+0.00048748i,0.001768-0.00024307i,0.00055113-0.0017975i,-0.0015284-0.001959i,-0.0024607-0.00101i,-0.0016628-0.00047447i,5.1021e-05-0.00022271i,0.0010267-0.00032211i,0.00043781-0.00016959i,3.8248e-05+0.00033816i,-0.00048507+0.00047684i,-0.00020373-0.00050751i,0.0003327-0.0011651i,0.00015049-0.001642i,0.00057669-0.0015579i,0.00035516-0.00052952i,-0.00075552-0.00042718i,-0.00091939-0.0010289i,-0.00067586-0.00121i,-0.00078167-0.0010708i,-1.1058e-05-0.00097883i
-0.00038893+0.0011558i,-0.00097863+0.00085585i,-0.00067448+0.00019479i,-0.00044076+0.00015038i,-0.001433-0.00046275i,-0.0026386-0.0010947i,-0.0028868-0.0012084i,-0.0012778-0.00062635i,-0.00019645+0.00056809i,-4.0053e-05+0.00088649i,0.00040427+0.00021462i,0.00033749-0.00014906i,-0.00016541+0.00022519i,-0.00075115+0.0005241i,-0.00058123+1.2013e-05i,-0.00023296-0.00018325i,-6.5164e-05+0.00025439i,2.7608e-05-0.00020741i,0.00027279-0.00089331i,-0.000361-0.00050544i,-0.0016211-0.00028725i,-0.0011026-0.00029866i,-0.00034496-0.00018733i
0.00061066-0.00036621i,0.00024032-0.0012369i,-0.00077733-0.0015915i,-0.0022967-0.0007695i,-0.0028518-0.00038967i,-0.0023278-0.0012497i,-0.0015956-0.0019908i,-0.00079967-0.0011757i,-0.00026334-9.2176e-05i,0.00045967+0.00024004i,0.00096406+0.00050482i,0.00077178+0.00041624i,0.00033419-8.5896e-05i,0.00016222+0.0001773i,-0.00015807+0.0005273i,-0.00030439+0.00042401i,0.00012393+0.00056423i,-0.00013864+0.00015859i,0.00016971-0.00066497i,0.00089212-0.00085746i,0.00081529-0.00018155i,0.00025201-0.00014529i,-0.00079735-0.00077882i
