-0.002901-0.00015594i,-0.0030369+0.00012288i,-0.002876+0.00044233i,-0.0018512+0.00054845i,0.00088939+0.0010009i,0.0021669+0.0012763i,0.0016148+0.0012216i,0.0011685+0.0013001i,0.0010466+0.0012502i,0.00053688+0.0011002i,8.1633e-05+0.00061395i,-0.00021374-0.00024137i,0.0002281-0.00040128i,0.0012155-7.2249e-05i,0.0012401-0.00086576i,0.00091981-0.00092061i,0.00027179-0.0003003i,-8.2949e-05-0.00045522i,0.0005342-0.00045933i,0.00034866-0.00028373i,-6.4852e-05-0.00011535i,0.00040749-5.069e-05i,0.00099717+0.00056901i
-0.00035524+0.00032156i,0.0005906+5.2871e-05i,0.0011833-9.7599e-05i,0.0015991-0.0005472i,0.0018375-7.4869e-05i,0.0015432+0.00048689i,0.00038168+0.00047365i,-0.00052615-7.6842e-05i,-0.00033453-0.00043591i,-1.8368e-05-0.00028302i,-0.00063544-0.00013348i,-0.00059723-1.6162e-05i,0.00013065+0.00027173i,-5.6256e-05-0.00050884i,-0.00061235-0.00087871i,-0.00043882-0.0006612i,0.00016099-0.00055288i,0.00052086+0.00072291i,0.00015725+0.0013824i,-0.00052484+0.00077468i,8.8946e-05+0.00043134i,0.00068238+0.00028288i,0.0004819+2.4328e-05i
-0.0011297-0.0012337i,-0.0016668-0.0017265i,-0.0021377-0.0005968i,-0.0012172+0.00074612i,0.000403+0.00031219i,0.0015517+0.0004354i,0.0011246+0.00077286i,-0.0001639+0.00011125i,0.00021744-0.00031262i,0.000225-0.00072532i,0.00024747-5.9312e-05i,-0.00021718+0.00095032i,-0.00010976+0.00081229i,0.00056971+0.00056959i,0.000844+0.00036297i,0.00059838+0.00027313i,-0.00054952+0.00074634i,-0.00067843+0.00044843i,8.9972e-05-9.0458e-05i,0.00075883-0.0003389i,0.001141-3.6823e-05i,0.0011278+0.00048761i,0.0009528+2.8748e-05i
0.00018642+0.00075223i,-0.00075667-0.0006127i,-0.00036516-0.0013334i,0.00075667-0.00022797i,0.00041837+0.00055619i,3.8624e-05+0.00060605i,0.00064354+0.00070636i,0.0009343+0.00040351i,0.00051813-0.0001141i,-0.00037401-0.00029114i,-0.00075833+0.00044509i,-0.00046887+0.0010774i,-0.00040913+0.0008056i,-0.00049295+0.0003572i,-0.00062193-6.5408e-05i,-0.00042707-5.1798e-05i,0.00049396-0.00013581i,0.0012146-0.00012498i,0.0006006+0.0005303i,2.128e-05+8.1884e-05i,0.00065452-0.00095414i,0.00071832-0.00029046i,-1.2e-05+0.00018358i
0.00034109+9.2801e-05i,-0.00030776-0.00076108i,0.00054986-0.00066225i,0.00047706-0.00074287i,0.00058092-0.00078998i,0.0012021-0.00044036i,0.00030442-0.00062462i,-0.0005153-8.9702e-05i,-0.0002226+0.00093854i,-0.00036437+0.00059601i,-0.00080808-0.00028406i,-0.0010997-0.00021078i,-0.00072378+0.00011403i,1.6954e-05+0.00084298i,-6.9048e-05+0.0006613i,-0.00016392+0.00024329i,0.00057116+0.00065163i,0.00099216+0.00055364i,0.00092747+0.00044063i,0.00091591+0.00016368i,0.0009813-0.00020996i,0.00020782-0.00023614i,-0.00016255-0.00089636i
0.00045286+7.4481e-05i,0.0013035-0.00037231i,0.0017308-0.00059889i,0.0017911+0.00026875i,0.0019523+0.001222i,0.0019671+0.0013148i,0.0016009+0.00092687i,0.0014568+0.00054854i,0.00061402+0.00010547i,0.00028305+0.00015656i,-5.9377e-05+0.00015734i,-0.00049972-0.00024585i,-0.00077126-0.00055465i,-0.00061807-0.00036522i,-0.00046981+0.00012998i,-0.00074655+0.00063081i,-0.00044981+0.00074964i,-0.00022043+0.00019241i,-2.6236e-06-0.00031114i,0.00034165-0.00013265i,0.00049675-0.00028073i,0.0011138-0.00062698i,0.0015443-1.4937e-05i
-0.00098566-0.0012561i,-0.0021494-0.0018668i,-0.0023468-0.0026487i,-0.0015479-0.0014491i,-0.00011343+0.00024805i,0.00069653+0.00050751i,0.00084143+0.00034178i,0.00061464+0.00014267i,8.8722e-05-0.00031055i,-0.00022792-0.00082558i,-0.00051621-0.00051407i,-0.00014586+0.0002136i,0.00019878+0.000331i,-0.00031914+9.3046e-05i,0.00018296-0.00044177i,0.00074933-0.00029122i,0.00059666-1.5603e-05i,-0.00013786-0.00030101i,-0.00065711-0.00094879i,-0.00060243-0.00061946i,-0.00067178-0.00010114i,-0.00013456+7.8444e-05i,0.0001942+0.00064482i
0.0026447+0.0013391i,0.0018958+8.8849e-05i,0.0016322-5.1308e-05i,0.00069348+2.5949e-05i,-4.7689e-05-0.00016332i,0.00052225+0.00066857i,0.0006553+0.00088082i,0.0004709+0.00035266i,-7.0626e-05+0.00032504i,-0.0006594-4.6125e-05i,-0.0005694-3.9551e-05i,-0.00059341+0.00038655i,-0.00033926+0.00080625i,-0.00045948+0.0013178i,-0.001023+0.0011488i,-0.00034743+0.00050152i,-5.4934e-05+0.00011799i,3.065e-05-0.00026621i,0.00019702+7.469e-05i,0.00040821+4.7674e-05i,0.00073629+0.00017833i,-1.1509e-05+0.0004218i,-0.00073812+3.4272e-06i
-0.00059198-0.00081408i,-0.00062229-0.0011633i,-0.00053327-0.0011262i,0.00056599-0.00063165i,0.0012976-0.00012313i,0.0014841-0.00096443i,0.0017598-0.0015477i,0.0012894-0.00043605i,6.5454e-05-7.3394e-05i,-0.0004964+0.00025603i,-0.00015411+0.0003839i,0.00016694-6.4047e-05i,0.00011662+0.00014948i,0.00033305+0.0006016i,0.00054094+0.00016064i,0.0002539-0.00057294i,0.00017416+6.8787e-05i,0.00035904+0.00052854i,0.00058534+0.00046694i,0.00030649-0.00041907i,0.00024115-0.00091495i,0.00033212+0.00035841i,0.0005284+0.0007767i
-0.00034836-0.0003276i,-4.4734e-05+0.00043485i,-8.4849e-05+0.0014511i,-0.00055672+0.0021779i,0.00057806+0.0025824i,0.0027669+0.0015185i,0.0022132+0.00067018i,-0.00014025+0.00066031i,-0.00043085+7.8125e-05i,0.00041514-0.00017247i,0.00086215+0.00011963i,0.00028001+0.00090955i,0.00013476+0.001789i,0.00084051+0.0014381i,0.00078009+0.0012339i,-0.00024557+0.0014075i,-0.0007339+0.0011864i,1.211e-05+0.00036581i,0.0011395-4.1907e-05i,0.0010786+4.9308e-05i,0.00030887-0.00042844i,7.1168e-05-0.00070458i,-0.00029068-0.00038536i
-0.00054577-0.00086067i,-0.00097177-0.0014738i,-0.0016959-0.0012833i,-0.00080306-0.000179i,-0.0002965+0.0015031i,-0.00046904+0.0006805i,0.00023326-0.00042863i,7.419e-05-0.00036414i,-0.00032704-0.00040372i,-0.00042189-0.00032982i,-0.0007222-0.00044677i,-0.0003918-0.0004268i,0.00037932-0.00026226i,0.00064049-0.00032552i,0.00028284-0.00040567i,0.00031836-0.00039287i,0.00070917-0.00080396i,6.1038e-05-0.00046879i,-0.00066727-4.2625e-05i,1.8534e-06+4.4108e-05i,-0.00011515+0.00014922i,-0.00069591+0.00044973i,-0.00071516+0.000391i
-0.00015097+0.0018873i,0.0009716+0.0021764i,-0.00017544+0.0019694i,-0.00071221+0.00094045i,0.00058335+8.0635e-05i,0.0011562-0.00072803i,0.00075255-0.00065853i,0.0007582-0.00026919i,0.00075769-0.0010207i,-0.00054897-0.0012071i,-0.0013211-0.0003884i,-0.00031266-0.00020125i,-3.5358e-05-0.00013686i,-0.00059154+0.00025461i,-0.0006116+0.00033927i,-0.00018738-0.00030226i,0.00051908-0.0010464i,0.0012674-0.00068632i,0.00094009+9.615e-05i,0.00023171-1.9222e-05i,8.5757e-05-0.00016165i,0.001028-0.00035284i,0.001181-5.7472e-05i
-0.00040197-0.0019289i,-0.0010822-0.0023672i,-0.0011909-0.00087973i,0.00025311+0.00014904i,0.0020062+0.00095277i,0.0027655+0.00068438i,0.0022086-0.00065239i,0.00081712-0.0013751i,-0.00063287-0.00060647i,-0.0010851+8.7035e-05i,-0.0011618+0.000142i,-0.00059943-0.00037192i,6.5548e-05-0.0004872i,-2.0349e-05-0.00052947i,3.0382e-05-0.00041294i,-0.00037412+0.00054572i,-0.00031728+0.00082973i,0.00046524+0.00061961i,0.00054795+0.00054263i,-0.0002531-0.00012222i,-0.0001442-0.00047988i,0.00039766-0.00051389i,0.00036959-0.00042125i
0.00054995-0.0018222i,-0.00082761-0.0026744i,-0.0013714-0.0029988i,-0.0015201-0.0017112i,-0.00072228-8.8784e-05i,0.00077487+0.00090434i,0.0010412+0.00062744i,0.00068552+0.00038984i,-0.00036093+0.00032334i,-0.0012397+0.00048691i,-0.0016315+0.0010325i,-0.0015883+0.00086685i,-0.0009048+0.00016497i,0.00053911-6.7304e-05i,0.00095929+0.00015417i,0.00044136-0.00075134i,4.2889e-05-0.0011407i,-0.0001802-0.00076169i,0.0003742-0.00059577i,0.0012405-4.5639e-05i,0.0015597+6.8911e-06i,0.00092152-0.00046911i,0.00072127+0.00017399i
-0.00061957+0.00058278i,9.5556e-06-0.00031046i,4.7514e-05-0.00094858i,-0.00029008-0.00078369i,-0.00040992-0.00014643i,-0.0010924+0.00010881i,-0.00096475+0.00033197i,-2.3399e-05+0.00016609i,7.4121e-05+0.00030257i,-0.00067453+0.00094364i,-0.0009247+0.00080813i,-0.00038951+0.00031574i,-8.7698e-05+0.00029526i,0.00015677+0.00024409i,0.00057783+0.00039084i,-8.2014e-06-2.5414e-05i,9.7243e-06-0.00023947i,0.00070809-0.00032393i,0.00069017-0.00037403i,0.00095779-0.00015622i,0.0011232+0.0002434i,0.00021299-0.00020411i,-0.00023758-0.00065997i
0.00031832-0.0016363i,-0.00031006-0.0018887i,-6.6702e-05-0.0011766i,-2.7228e-05-4.0461e-05i,4.5792e-05+0.00054835i,0.0011875+0.0015186i,0.0020289+0.0011952i,0.0018298-0.00040555i,0.00057124-0.0011269i,-0.00035646-0.0013526i,-0.00013365-0.0013478i,0.00012379-0.00022419i,0.00036493+0.00026811i,0.00042242-9.1822e-05i,0.00044103+0.00021968i,0.00049301+0.00098053i,-9.6197e-05+0.00044231i,-0.00074666-0.00012593i,-0.00089777-3.0434e-05i,-0.00058386-7.189e-05i,0.00011603+0.00012038i,0.00038609-5.8486e-05i,0.00099944-0.00047559i
0.00085159+7.4046e-05i,0.00033196-0.00048609i,-0.00093007-0.0015381i,-0.00098538-0.0016345i,0.00011086+0.00015344i,0.00028804+0.00091829i,2.4986e-05+0.00050579i,0.00090408+0.0009331i,0.0012835+0.00068463i,0.00054271-5.6501e-05i,0.00063066-3.5548e-05i,0.0006789+8.2105e-05i,-0.0003622+0.00043277i,-0.00094163+0.00017317i,-0.00025056-0.00018169i,-0.00038892-0.00032166i,-0.00040761+0.00019801i,-5.5053e-05+0.0008267i,0.00032956+0.0010576i,0.00014309+0.00077603i,-0.00049662+0.00076933i,-0.00077551+0.00015872i,-0.00048468-0.0003631i
-0.00034167+0.0015275i,0.00061923+0.0023285i,0.0022877+0.0024219i,0.0028124+0.0019148i,0.0017374+0.00096128i,0.0010778+0.00010375i,0.0010968-2.0226e-06i,0.0006051+0.00023842i,-0.00046548-0.00011645i,-0.00045288-0.00045487i,-0.00041539+2.4654e-05i,-0.00093796+0.00088185i,-0.00051337+0.00034911i,0.00054594-0.00066267i,4.127e-05-0.0003199i,-0.00025989+0.00030237i,-0.0002586+0.00061686i,-5.751e-05+0.00051002i,0.00072694+8.2511e-05i,0.00051263-0.00027604i,0.00058063-0.00042608i,0.00069497-0.0006474i,0.00023474-0.0001704i
-0.00069654+0.00095513i,-0.00054671+0.00087012i,-0.0001502+0.00068366i,-0.00017166+0.001524i,6.3338e-05+0.0022019i,0.00026318+0.0015374i,0.00032549-8.238e-05i,0.00032034-0.00053146i,-0.00015992-0.00051661i,-0.00015733-0.00066749i,0.00038145-0.0012815i,0.00057739-0.0014661i,0.00037942-0.00046682i,2.3149e-05+0.00036182i,-0.00032025+0.000921i,-0.00033269+0.0012968i,-0.00045148+0.0011813i,-0.00065432+0.0002701i,3.8573e-05-0.00076477i,0.00053175-0.00039173i,-6.7277e-05+0.0001372i,-0.00084003-9.449e-05i,-0.00081901+0.00011175i
-4.3438e-05-0.00062665i,0.00062806-0.00065705i,0.00089852-0.00091237i,0.00011067-0.00072243i,0.00057397+0.00073312i,0.0018528+0.0022492i,0.0026383+0.0018396i,0.0017581+0.00040458i,-0.00015218-0.00021462i,-0.00039349-0.00012689i,-3.6624e-05+0.00015332i,-0.00010521-1.497e-05i,-0.00015567-0.00058355i,-2.357e-05+0.00027906i,-0.00023316+0.00062834i,-0.00032313-0.00036719i,-0.0009073-9.279e-05i,-0.0013818+0.00013123i,-0.0004817-0.00045351i,0.00041263-0.00013138i,7.6698e-05+0.0005668i,-0.00020722+0.00084778i,0.00047373+0.00069125i
-0.0010229-0.00040017i,-0.0025639+0.00041945i,-0.002535+0.0009311i,-0.0014517+0.0010252i,1.9878e-05+0.00095424i,0.00070316+0.00041048i,-4.7734e-05-0.00020038i,-0.00054034-0.00048614i,-0.00054044-0.00039021i,-0.00024649-0.00018375i,0.00020046+0.00015794i,-0.00015599+0.00062879i,-0.00069698+0.00010665i,-0.00032541-0.00091821i,-1.0375e-05-0.0013304i,0.00061077-0.0013817i,0.00064727-0.00064343i,8.921e-05+0.00018498i,0.0002028+0.00058701i,0.00067878+0.00091257i,0.00054176+0.0011243i,0.00048868+0.0005704i,0.00024214-0.00023838i
0.00084253+0.0002912i,0.0010795-0.00066451i,0.00044598-0.0011109i,0.00017198-0.00065768i,-3.2711e-05+0.00073664i,0.00016829+0.0015222i,0.00065307+0.0010428i,-0.00026859-0.00015972i,-0.0007227-0.00080807i,-0.00027232-0.00059004i,9.5885e-05-0.00035097i,-0.0002046-0.00027263i,-0.00047884-0.00043632i,1.2087e-05-0.00018143i,-0.00052574+0.00069132i,-0.001432+0.0011637i,-0.0012723+0.0010954i,-0.00084079+0.00074031i,-0.00048048+0.00047537i,-0.00041584+0.00036022i,-2.8444e-05-0.00017964i,0.00022128-0.00023789i,-0.00030196-6.7472e-05i
-0.00027459-1.2707e-05i,-0.00021016-0.00054579i,0.001016-0.00072342i,0.00075522-8.0191e-05i,0.00031237+0.0010627i,0.00082666+0.0013476i,0.00072043-0.0001408i,0.00010003-0.0010445i,-0.00059566-0.0006583i,-0.00053884-0.00040686i,-0.00016465-0.00033285i,-0.00039415+0.001198i,-0.0011325+0.0019102i,-0.00094221+0.0009855i,0.00045455+0.00065853i,0.00086957+0.00033085i,-2.8186e-05-0.00023439i,2.2589e-05-0.0001316i,0.00058761+0.00024752i,0.00077415+0.00028572i,0.00062622+1.0894e-05i,0.00057495-0.00013137i,1.7675e-06-0.00027153i
-0.00029995-0.00060435i,0.0014103-0.0015798i,0.0017298-0.0019558i,0.001182-0.00056029i,0.0010016+0.0010113i,0.001945+0.0015381i,0.0024005+0.00018867i,0.0016071-0.00097894i,0.00053694-0.0012767i,-0.00050444-0.00055297i,-0.0011368+0.0011319i,-0.00090153+0.0011476i,-0.00064755+0.0004684i,-0.0004189+0.00068917i,-6.0644e-05+0.00095279i,-0.00038355+0.00016232i,-0.00058129-6.5676e-05i,-0.00023079+0.00051131i,-0.00040149+0.00084791i,-0.00026455+0.00070519i,-0.00040172+0.00073941i,-0.00097215+0.00066569i,-0.00055908+0.00040194i
-0.00063198+0.0023458i,-0.00071722+0.0017571i,-0.00081833+0.0016554i,7.0845e-05+0.0014265i,0.00080905+0.00075826i,0.00053292-0.00021524i,-9.5614e-05-0.00018011i,-0.00045915+0.00034507i,-0.00048504+0.00035656i,-0.00049299+0.00017741i,-0.00092546-0.00014145i,-0.0010902-0.00054113i,-0.00068289-0.00046463i,-0.00089865+0.00011874i,-0.00083776+0.00051973i,-0.00048784+9.6748e-05i,-0.00011576-9.3446e-05i,-1.8256e-05+0.00044585i,-0.00014223-0.00028241i,0.0001342-0.00048273i,0.00041066-0.00071877i,0.00074775-0.00093698i,0.0011646-0.00032993i
0.0002647-0.0014327i,0.00010803-0.0012281i,0.00013445-0.00065276i,2.3563e-05-0.00032204i,0.00015269+0.00018119i,0.00073426+0.00046597i,0.0015509+0.0007511i,0.0012523+0.00026942i,0.00027436-7.8176e-05i,-0.00026739+0.00014837i,-0.00106+0.0008587i,-0.0019244+0.00060546i,-0.0010187-0.00072593i,0.00074404-0.00052132i,0.0014576-0.00022318i,0.00095203+0.00013575i,-3.8499e-05+0.00038512i,-0.00044078+0.00015176i,-8.0772e-05-0.00024253i,9.0717e-05-5.5617e-05i,0.00035428+0.00058389i,9.9778e-05+0.0011782i,-0.0003096+0.0013802i
0.00039532+0.0013297i,0.0018728-0.00039463i,0.0020435-0.00056653i,0.0014764+9.0044e-05i,0.0018429-4.6534e-05i,0.0020382-0.00033836i,0.0014934-0.00083469i,0.00034364-0.0012607i,0.0001189-0.00059273i,0.0001923-0.00043858i,-0.00056844-0.00033006i,-0.00067604-2.0204e-05i,1.6528e-05+0.00090749i,0.00053455+0.00024641i,0.00059488-0.00078318i,0.00045964-0.0007229i,0.00043783-0.00085295i,-1.592e-05-0.0011619i,-0.00099614-0.0003941i,-0.001417-0.00027612i,-0.00074288-0.00056705i,0.00059514-0.00035949i,0.0013078-0.0002567i
0.00010431+0.001757i,-0.00017695+0.0011829i,0.00021817+0.00048113i,0.0016729-0.00036804i,0.0018723+7.7063e-05i,0.0008075+0.00014177i,0.00085596-0.0003346i,0.0009048+0.00014146i,4.8691e-05+0.00060225i,0.00024618-0.00036907i,0.00056727-0.00089032i,-0.00039623+3.4035e-05i,-0.0011839+0.0010691i,-0.00080316+0.00096281i,2.4123e-06-0.00026454i,0.00028508-0.0009516i,0.00051985-0.0008114i,0.00036796+3.849e-05i,0.00014294+0.00089575i,0.00039674+0.00077559i,0.00037784+6.4105e-05i,-0.00054896+4.261e-05i,-0.00066556-0.00030741i
0.00044243-0.00073013i,-0.00079277-0.00098969i,-0.0011712-0.0001813i,-0.0016943+0.00043752i,-0.0011889+0.00041501i,0.00022305+0.0011898i,0.00029357+0.0011366i,-0.00010722+0.00087208i,-0.00022697+0.00078111i,-0.00039422-2.4336e-05i,-0.00071088-2.9279e-05i,-0.00016351+0.00026218i,0.00042465+0.0002315i,-5.8483e-06-1.477e-05i,-0.00087198-0.00010751i,-0.00078954+1.5595e-05i,0.00022558-0.0004302i,0.00089289-0.0004663i,0.00094948-0.00011402i,0.00016572+8.366e-05i,0.00017639-9.3438e-06i,0.00041432-0.00012082i,-0.0001047-0.00038632i
0.00072009-0.000914i,0.00018878-0.0016096i,5.4403e-05-0.0013373i,0.0010949-0.0010115i,0.0015602-0.00063587i,0.0013685+0.00015541i,0.0015085+0.0006306i,0.00085143+0.00034319i,-0.00022658-0.00031098i,-0.00062023-0.0002709i,-0.00083387-0.00088232i,-0.00047252-0.00071581i,0.00022536+0.00079107i,0.00034562+0.0018027i,7.7261e-05+0.00095433i,0.00014049-0.0002018i,0.00055341-0.00013725i,0.00044745+0.00044948i,5.6824e-05+0.00055073i,7.0562e-05-3.3381e-05i,0.00040271-0.00078419i,0.00063774-0.00073725i,0.00036312-3.8417e-05i
0.0021341+0.00033116i,0.0008727-9.5256e-05i,0.0010785-0.0011893i,0.0022423-0.0018661i,0.0011983-0.00058871i,-0.00076617-0.00032505i,-0.00079774-0.00056134i,0.00047844-0.00062098i,0.00049936-0.00039117i,0.00016953-0.00059818i,-0.00013896-0.0007928i,-0.00029693-0.00029098i,-0.00027064-0.00011453i,-0.00028948-3.9552e-05i,-0.00069119-0.00034997i,-0.0009416-0.00088638i,-0.00028584-0.00033955i,0.00014447+0.00010291i,-0.00011798+0.00038338i,0.00015907+0.0013444i,0.00054862+0.0013201i,0.00078557+0.00033072i,0.00027092-0.0001156i
0.0011452-0.0013334i,0.0015371-0.00112i,0.0017617-0.0012737i,0.0011343-0.00071161i,0.00048909-0.00036109i,-2.6227e-05-0.00014369i,0.00039902+0.00029377i,0.0014166+0.00037356i,0.001107+0.00036042i,0.00013116-0.00027017i,-0.00034433-0.00027101i,0.00015268+0.00035411i,0.00081329+0.00053576i,0.00031139+0.00095336i,-0.00089709+0.0014428i,-0.0010391+0.00097224i,-0.00044773+0.000144i,-0.00039682-0.00024006i,-0.00032162-0.00011884i,-0.00021313+0.00047219i,0.00015395+0.00086988i,0.0003119+0.00087464i,-3.7077e-05+0.0001824i
