-0.0025124+0.0024081i,-0.0019411+0.0023404i,-0.0020422+0.0027157i,-0.0020311+0.0024406i,-0.0015226+0.0027743i,-0.00080011+0.0023705i,-0.00045654+0.0013123i,-0.00044421+0.00098204i,0.0003883+0.001584i,0.0012128+0.0016155i,0.0016583+0.00011982i,0.0014441-0.00067338i,0.0012383-0.00086004i,0.0003289-0.0013762i,-0.00067748-0.00099685i,-0.00065942+0.00028915i,0.00044851+0.00083991i,0.001026+0.00065047i,0.00070851+0.00012929i,0.00023975+1.2127e-05i,0.00023243+0.00014042i,0.00015222+0.00074932i,-0.00046893+0.00089982i
0.0019534-0.00097798i,0.0012913-0.0011566i,0.00041629-0.0017715i,-0.0013755-0.0012561i,-0.0022402-0.00058017i,-0.0014684+0.0004984i,-0.0015092+0.0010007i,-0.0017683+8.1531e-05i,-0.0018803-0.00042623i,-0.0014329-0.0003477i,-0.00053797+0.00031375i,-0.00088612+0.0009366i,-0.0012026+0.00070094i,-0.0012154-0.00021436i,-0.00069751-0.00076062i,1.4279e-05-0.00026171i,0.00033957+3.9301e-06i,0.00054615-0.00039689i,7.6681e-05-0.0015548i,6.0021e-05-0.0016762i,3.7335e-05-0.0007926i,-0.00022362-0.00051015i,-0.000379-0.00016717i
-0.00024972-0.001531i,-0.00049712-0.0015276i,-0.0019379-0.0010505i,-0.00084293-0.0012008i,0.00041574-4.3305e-05i,0.00044933+0.00097071i,0.00024727-2.7373e-06i,4.4823e-05-0.0010227i,-0.00063872-0.0010289i,-0.0017583-0.0011293i,-0.0013593-0.00088675i,-0.00073076-0.00014833i,-0.00078824+1.0784e-05i,-0.0010343+8.0227e-05i,-0.00091407+0.00062511i,0.0002167+0.00012419i,0.00055677-0.00024189i,-0.00034495+4.4799e-05i,-0.00098949-5.784e-05i,-0.0011755+1.7863e-05i,-3.5568e-05-0.00022805i,0.00085358-0.00052749i,7.2444e-05-0.00048471i
-8.7757e-05-3.3249e-05i,2.1011e-05+0.0014654i,-0.00066895+0.001889i,-0.000595+0.0016528i,-8.6603e-05+0.0012316i,-0.00041109+0.0012055i,-0.00075371+0.0012073i,-5.0394e-05+0.00070302i,4.6564e-05-0.00056155i,-0.00063888-0.0010323i,-0.00068306-0.0010405i,-0.00025143-0.0012477i,-0.00084411-0.00065774i,-0.00079433+0.00014295i,-1.4945e-05-3.5497e-05i,0.00059669+0.00011336i,0.00017346+0.00092275i,-0.00069974+0.00066058i,-0.00031821+1.5303e-05i,0.00064006-0.00012487i,0.00070277-0.0009257i,0.00039009-0.0011004i,0.00011279-0.00031803i
0.00017088+0.0011898i,-6.6577e-05+0.0014226i,0.00042921+0.0010528i,-0.00039431+0.0011579i,-0.00139+0.0014538i,-0.00026984+0.0011949i,0.00033385+0.00057112i,-0.00073162+0.0003172i,-0.0022915+0.00021668i,-0.0024616-0.00055716i,-0.0013991-0.00067258i,-0.00068198+5.6018e-05i,-0.00090085+6.549e-05i,-0.00045588-0.00079847i,4.4135e-05-0.0010064i,-0.00032943+1.6375e-05i,-0.00092883+0.00018258i,-0.0007466-0.00027869i,-2.4596e-06+0.00042353i,-0.00061219+0.00070748i,-0.00072651+0.00025766i,0.00019848+6.4879e-05i,0.00077381-0.0002479i
-0.0014064-0.0016495i,-0.00086811-0.00026343i,-0.0012497+0.00096726i,-0.00072761+0.0017974i,0.00048852+0.0017375i,0.00075799+0.001548i,-0.00021404+0.00096873i,-0.00092578-0.00027113i,-0.0012831-0.00080782i,-0.0018444-0.0013889i,-0.0016999-0.0019908i,-0.00089111-0.0014386i,-0.00010016-0.0005867i,8.1674e-06-0.00034284i,-1.713e-05+0.00028494i,0.00043676+0.00082476i,0.00018064+0.0005308i,-0.00077537+0.00032686i,-0.00010745+0.00041278i,0.00034427+0.00065233i,0.00025335+0.00024972i,0.0009445-0.00076754i,0.00086318-0.0011886i
0.0009972-0.00039822i,0.00067578-0.0019857i,-0.00017684-0.002468i,-0.00077948-0.0014307i,-0.0010978+0.00067535i,-0.00079954+0.0021626i,6.069e-05+0.0013016i,6.5302e-05+0.00051662i,-0.00065347+0.00081366i,-0.00087196+0.00010876i,-0.00046642-0.00025194i,-0.00010364-1.2584e-06i,-0.00031261-0.00022756i,-0.00070225-0.00015329i,-0.00036542-0.00011297i,0.00046113-0.00025564i,0.00026733-0.0004677i,-0.00056756-0.00045963i,-0.0008498-0.00047763i,-0.00083875-0.00019544i,-0.00017697+0.00034465i,0.00034103+0.00011835i,0.000651-0.00060511i
0.0012719-0.00059471i,0.0012094+1.1204e-05i,-8.6325e-05+0.00075229i,-0.00072229+0.00035608i,-0.00040617-0.00010259i,-0.00082353+0.00073058i,-0.0012719+0.001177i,-0.0010299+0.00045524i,-0.00085615-0.00023369i,-0.00084554-0.0006884i,-0.00087794-0.00078039i,-0.00052527-0.0012942i,-0.00060621-0.0024203i,-0.00085186-0.0022725i,-0.00030274-0.00072123i,0.00059152+0.00064387i,0.00058316+0.00079236i,0.00021904+1.6617e-05i,3.3984e-05-0.00057485i,-0.00010403-0.00012045i,0.00016229+2.959e-05i,0.0010057-0.00026443i,0.0006517-0.00026136i
-0.00062766-0.0016299i,-0.0011608-0.00097685i,-0.0023679-0.0012988i,-0.0028548-0.0010943i,-0.0026191-2.238e-05i,-0.0015875+0.00091789i,-0.0004789+0.0012706i,-0.0009525+0.00033839i,-0.0015525-0.00056773i,-0.0010601-0.00063515i,-0.0009745-0.00079188i,-0.00043164-0.0014702i,0.00040689-0.0012577i,0.00029532-0.00069127i,0.00034695-0.00049425i,0.00041076-6.3011e-05i,-5.5673e-05-4.7635e-05i,0.00029053-0.00029797i,0.00092007+1.1475e-05i,0.00072737+0.00014113i,0.00022635+6.2289e-05i,1.1837e-05-6.9908e-05i,3.7979e-06-0.00018728i
0.00069861+0.00072398i,-3.8957e-05+0.00049491i,-0.00063318+0.0014047i,-0.0010516+0.0019722i,-0.000917+0.0016777i,0.00011774+0.00095945i,0.00051541-0.00033365i,-0.00019683-0.00067615i,-0.0014423-0.00044423i,-0.0012206-0.00047446i,-0.00027551-0.00019036i,1.9957e-05-0.00057001i,0.00037712-0.00093092i,0.00023376-0.00054971i,-0.00059685-0.00069934i,-0.00075638-0.0011201i,-0.00060008-0.0012634i,-0.00018386-0.0007626i,0.00023625+4.0747e-05i,0.00029739+0.00046889i,0.00024927+0.00032013i,-0.00024491-0.00017002i,-0.00062334+0.00053649i
-0.0003864+0.0015407i,0.00050447+0.00091949i,0.00058436+0.00086811i,5.5651e-05+0.00068128i,-9.7937e-07+0.00052567i,0.00082524-5.0947e-05i,3.8827e-05-0.00072276i,-0.0015026-0.00067988i,-0.0016783-0.00025269i,-0.0011998-0.00017578i,-0.0010362-0.00061034i,-0.00053819-0.00040888i,0.00026808-0.00058721i,-4.949e-05-0.00093742i,-0.00062326-5.04e-05i,-0.00074442+0.00067844i,-0.00052518+0.00065131i,-0.00048196+0.00065193i,-4.8802e-05+0.00027936i,0.0010656-8.2598e-05i,0.0006583-0.00018679i,-0.0004821-8.7147e-05i,-0.00079684+9.6168e-05i
0.00034851+0.00097963i,0.0010425+0.0016444i,0.0001035+0.0013992i,-0.00067996+0.00077835i,-0.00034856+0.0011264i,0.00048144+0.00084855i,0.00021064+0.0003595i,-0.00053783+0.00029268i,-0.00046912-0.00015028i,-0.000484+3.3647e-05i,-0.00022581+0.00017572i,0.00038925-0.00017779i,-2.7852e-06-8.8546e-05i,-0.0011333-0.00035619i,-0.00090497+5.5245e-05i,-6.5968e-05+0.00069701i,-0.00014833+0.00029554i,0.00013211-0.00022784i,0.0009123-0.0004872i,0.00059081-0.00045379i,-2.3342e-05-0.00039547i,-0.00046182-1.2836e-05i,-0.00016739+0.00010532i
-0.00040646+0.0019798i,-0.00013977+0.0014468i,-2.3804e-05+0.0013543i,-2.8909e-05+0.0011087i,-0.0001071+0.00065836i,0.00023262+4.3175e-05i,0.00049066-0.00042597i,-0.00047827-0.0004269i,-0.0012865-0.00058664i,-0.0013198-0.00036297i,-0.00093479-0.00060146i,-0.00055205-0.00046061i,-0.0011645-0.00068967i,-0.0014132-0.0012865i,-0.00072349-0.0004885i,7.8228e-05+0.00036852i,-0.00041534+0.00036839i,-0.0012479-0.00019198i,-0.00061776-0.00052463i,-2.1994e-05+2.4249e-05i,-0.00014641-0.00023551i,3.3562e-05-0.00080615i,0.00049018-0.00099959i
-2.5047e-06+0.00068954i,0.00025175+9.4653e-05i,-0.00062372+1.0706e-05i,-0.0011064+0.00026328i,-0.00089979+0.0011429i,-0.00036937+0.0014366i,-0.00037404+0.00088697i,-0.0013526-0.00013591i,-0.0016471-0.00086018i,-0.0015756-0.00085474i,-0.0012119-0.00035621i,-0.0013152+0.00030759i,-0.0017379-7.9449e-05i,-0.0011023-0.00012972i,-0.00020934+0.00025726i,-7.4409e-05-0.0001959i,0.00030363-0.00055079i,0.0010249-0.00031365i,0.0014544-4.8267e-06i,0.0011114+7.6018e-06i,0.0003073+0.00045179i,0.00041824+0.0010191i,0.00024001+0.00040172i
0.0001225-0.00097312i,-0.00059038-0.00048021i,-0.00044614+0.00074233i,-0.0001525+0.0012872i,-0.00044411+0.0015913i,-0.00048777+0.0018048i,0.00077817+0.0013249i,0.00023286+6.9809e-05i,-0.0010792-0.00070947i,-0.00078515-0.00062977i,-0.00023899-0.00079424i,-7.6584e-06-0.0013077i,-0.00031903-0.001154i,-0.0001182-0.00078004i,0.00076319-0.00031874i,0.0009016-0.00042101i,0.00022108-0.00016453i,0.00040208+0.00018139i,0.00053743+0.0001332i,0.00029634-0.00012977i,0.00071114-7.1e-05i,0.00065457+0.00020923i,0.00026484-6.0206e-05i
-0.0004679+0.0009293i,-0.00068408+0.0013856i,-0.00032848+0.00093862i,0.00015954-0.00019218i,0.00033191-0.00046384i,-3.378e-05-0.0008547i,-0.00084317-0.00051336i,-0.00092411-0.00020299i,-0.00072187-0.00069715i,-0.0011174-0.0013351i,-0.0011833-0.0015157i,-0.00096823-0.0008257i,-0.00022443-0.00013769i,-0.00057777+0.00038473i,-0.0012318+1.8206e-06i,-0.00029427-0.00082505i,0.00063091-0.0004301i,0.00072616-0.00039164i,-0.00022236-0.00044559i,-0.00051159-0.00012827i,-0.00077313+0.0003288i,-0.0012552+0.00045865i,-0.00093798-0.00016786i
-0.0023641-0.0012304i,-0.0029913-0.0011397i,-0.0033946+8.2756e-05i,-0.0025072+0.0010074i,-0.001127+0.001573i,0.00025376+0.0019286i,0.00075838+0.0012301i,-2.3928e-05+2.5082e-05i,-0.00079651-0.00033876i,-0.0014098+0.00049377i,-0.0014397+0.00023472i,-0.001205-0.00071117i,-0.00057188-0.00022251i,0.0001011-0.00016979i,2.1915e-05-0.00081563i,-0.00015452-0.00065384i,6.5649e-05-0.00042107i,0.00056641-0.00012556i,0.00087352+0.00072076i,0.00033038+0.00077932i,-0.00014329+0.00039994i,-0.00011021+0.0003886i,0.00019632-6.4362e-05i
0.0004207-0.00056244i,-0.00022942-0.0013047i,-0.00037255-0.0012589i,-0.00020274-0.00035664i,-0.00028364+0.00012662i,-0.00037498+0.00025324i,-0.0010236+0.00045263i,-0.0016681-5.8495e-05i,-0.001318-0.00070023i,-0.00063188-0.0010061i,-0.00063205-0.0011443i,-0.0004814-0.00092357i,0.00015502-0.00038766i,0.00038731-0.00010247i,0.00034577-8.1098e-05i,-1.4727e-05-2.7967e-05i,0.00037115+0.00022858i,0.00064169+0.00030083i,-0.00082458+0.00034797i,-0.00092683+0.00011163i,0.00061562-0.00038664i,0.0009653-0.00059304i,0.00058964-0.00032848i
4.5914e-05+0.00046303i,0.00029863+0.00068767i,0.00045994+2.124e-05i,9.1136e-05+0.00018333i,-0.0011359+0.00050262i,-0.0015438+0.00036348i,-0.00053498+0.00027237i,0.00012614+0.00019896i,-0.00037272-0.00037522i,-0.0009922-0.0011566i,-0.00098923-0.00092351i,-0.00049784+8.1565e-05i,-0.00032442+0.00054405i,-0.00037386-2.7353e-05i,-0.00013979+0.00019772i,0.00016979+0.00058212i,0.00027844+0.00059651i,-0.00042379+0.00036607i,-0.00090515+0.00073399i,-0.00035353+0.00087597i,5.0839e-05+0.00010771i,0.00030267+0.00030948i,0.00022769+0.00018002i
-0.0010193+0.00066683i,-0.00010726+0.00075896i,0.00010385+0.00098507i,-0.00091239+0.0017303i,-0.0015372+0.0022509i,-0.00018387+0.00073614i,0.00078581-0.00032537i,-9.0514e-05-0.00078321i,-0.00048705-0.00086249i,-0.00015636-0.00074613i,0.0002105-0.00061434i,-2.7062e-05-0.00038954i,-0.00054968-0.00052791i,-0.00016037-0.00021814i,0.00022626+0.00051421i,1.7794e-05+0.0013932i,-0.00029169+0.0010959i,-0.00069956+0.00046066i,-0.00035495+0.00071778i,0.00037781+0.00033689i,-2.4876e-05+6.6385e-05i,-0.00022626-1.4195e-05i,0.0002713-0.00034899i
-0.00027691+5.437e-06i,-0.00035418+0.00012668i,0.00036946+0.00023269i,0.00012891-7.0323e-05i,-0.00086369+7.9892e-05i,-0.0011353+0.00091666i,-0.00052923+0.00072483i,-0.00077857+0.00024328i,-0.0014861-0.00057579i,-0.00055869-0.00099386i,-0.00020381-0.00056648i,-0.00067044+8.7276e-05i,-0.00094285+0.00077882i,-0.001085+0.00081944i,-0.0010509+0.0003932i,-0.00050628+0.0002373i,-5.2711e-05-9.1063e-05i,-6.6822e-05-0.00058962i,-0.00039231-0.00011458i,-0.0008211+5.2651e-06i,-0.00036133+8.6171e-05i,0.00023318+0.00062815i,0.00017556-0.00016676i
-0.001084-0.00073399i,-0.0013629-0.00045567i,-0.0016918+1.734e-05i,-0.0021332+0.0015964i,-0.0020831+0.0020909i,-0.00070096+0.00096204i,-0.00019887-0.00014293i,-0.0012969-0.0010164i,-0.0019244-0.00092777i,-0.0018342-0.00016666i,-0.00089647+0.0002793i,-0.00014773+0.00049599i,-0.0005626-0.00011132i,-0.00097511-0.00055221i,-0.00075357-1.5199e-05i,-0.0002901+0.00025229i,0.00028595-0.00016322i,0.00075437-8.9571e-05i,0.00070002-8.1425e-05i,0.00069956-7.8966e-05i,0.00053632-0.00015633i,0.0007607-0.00063221i,0.0006329-0.0008601i
0.0013635-0.0010692i,0.00042168-0.0013857i,-0.00013916-0.0018595i,-0.0014438-0.0012797i,-0.0026558-8.2584e-05i,-0.0016198+0.0011152i,-0.0008429+0.00083363i,-0.0013927-0.0002413i,-0.0013241-0.0010768i,-0.0012492-0.0012835i,-0.00084839-0.0011179i,-0.00039756-0.00053112i,0.00019768+0.00033096i,0.00013216-7.2872e-05i,-0.00015992-0.0012607i,-9.8514e-06-0.0013596i,0.00017461-0.00089757i,0.00014151+6.6033e-05i,8.5556e-05+0.00067143i,0.00013038+0.00062266i,0.001206+4.7316e-05i,0.00077261-9.1779e-05i,-0.00057426-0.00024245i
-0.00010562+0.00040464i,0.00034995-0.000713i,0.0014196-0.00051994i,0.00096852-0.00065329i,0.00011961-0.00054038i,4.5325e-06+0.00039054i,-0.00012426+0.00047219i,-0.00034278-4.4019e-05i,-0.00036724+0.00030837i,-0.00039997-0.00018241i,-0.00037498-0.00046394i,-0.00046315-0.00038273i,-1.5715e-05-3.198e-05i,-4.5689e-05+0.00051006i,0.00018296+0.00073953i,0.00062276+0.00037888i,0.00039086+0.00018026i,4.9979e-05+6.3411e-05i,-0.00062791-0.00015863i,-0.00023366-0.00025215i,0.00015976-0.00050651i,6.1031e-05-0.00088336i,0.00026018-0.00087359i
-0.0012056-0.0012393i,-0.00096238+0.00026106i,-0.0012597+0.0014234i,-0.0013911+0.0018357i,-0.001489+0.0014099i,-0.00027733+0.0014907i,2.3797e-05+0.0014475i,-0.00073797-3.5989e-05i,-0.0011725-0.00046927i,-0.0013811+0.00034776i,-0.0013113+0.00031899i,-0.00052886+0.00034753i,0.00064651+0.00033882i,0.00047588-9.7563e-06i,-0.00088021-0.00058152i,-0.0012182-0.0010072i,0.00022545-0.00084607i,0.00046011-0.00032243i,-0.00030727-3.5544e-05i,-0.00095895+6.5533e-05i,-0.00048975+0.00059941i,-7.2886e-05+0.00036954i,-7.1384e-05-0.0001353i
-0.0011629+0.00017056i,-0.00070844-7.7346e-05i,0.00047099-0.00040604i,0.0003295-7.835e-05i,0.00018261+0.00044953i,0.00034595+0.00078342i,-0.00012639+0.00060077i,-0.0010171-0.00048271i,-0.0015353-0.00085002i,-0.00096625-0.00033094i,-0.00029849+0.00079173i,-0.00052577+0.0014572i,-0.00044692+0.00047454i,-0.00026836-0.00029708i,-0.00089398+3.5727e-05i,-0.00097178+0.00081238i,-0.00043635+0.00082524i,-0.00028245-6.7723e-05i,0.00011743+2.1052e-05i,0.00095294+0.00075682i,0.00073731+0.0001996i,0.0003916-0.0011103i,0.00013148-0.0011988i
0.00080922+0.00028408i,0.00026548-0.00060398i,-2.806e-05-0.00051036i,-0.00027157+0.00095116i,-0.0010923+0.0013002i,-0.0012572+0.00076751i,-0.00063333-0.00025669i,9.8614e-05-0.00087919i,-0.00036618-0.00076935i,-0.0012209-0.0012863i,-0.00097685-0.0013016i,-0.00020024-0.00097836i,-0.00015592-0.00053773i,-7.5586e-05-0.00044597i,-0.00043518-0.00014207i,-0.00028259+2.295e-05i,0.00084801-0.00049699i,0.0011137-0.00011384i,0.00063222+0.0005344i,0.00040291+0.00033175i,0.00027134+0.00018743i,-0.00054259+0.00057i,-0.00097297+0.00092299i
-0.00078061+0.00045411i,0.00015644+0.00015912i,-0.0012017+0.0004916i,-0.0021311+0.00050028i,-0.0006499+0.0010982i,-0.00020214+0.0018064i,-0.0011786+0.00080415i,-0.0009252-0.00025032i,-0.00016133-0.00032084i,-0.00015938-0.00026773i,-5.7395e-05-0.00056527i,0.00013317-0.00070368i,-0.00015482+9.0281e-05i,-0.00066009+0.00044875i,-0.00083557+0.00015539i,-0.00065436+0.00063078i,-0.0003896+0.0010485i,9.9046e-05+0.00092839i,0.00038845+0.00081493i,0.00020726+0.00060969i,0.00026893+0.00052537i,-2.7558e-05+0.00060285i,-2.5846e-05+4.8838e-05i
-0.0023321+0.00089168i,-0.001145+0.0010616i,-0.00030718+0.0012095i,-0.00017101+0.00072245i,-8.595e-05+0.00046187i,0.00013773+0.00084209i,8.8655e-05+0.00017755i,-0.0011943-0.00013913i,-0.0021699+0.0001588i,-0.0017677+0.00042949i,-0.0015215+0.00049817i,-0.0014484-0.00064432i,-0.00087964-0.00055731i,-0.00062594+0.00058113i,-0.00080065+0.00089539i,-0.00027451+0.00050063i,0.0005272-6.6323e-05i,0.00056775-3.9361e-05i,0.00054639-6.344e-05i,0.00087919-0.00012445i,0.001086-0.00040732i,0.00044909-0.00043841i,-0.00066031-0.00019548i
0.0017222-0.0013546i,0.00081279-0.0013147i,0.00021119-0.0019656i,-0.0001812-0.0015182i,-4.7943e-05-8.513e-05i,-0.00031893+0.00087643i,-0.00082757+0.00037752i,-0.00087958-0.00061397i,-0.00059795-0.00065384i,-0.00027165-7.1784e-05i,-0.0010612+4.2366e-05i,-0.0013926+0.00013119i,-0.00045206+8.12e-06i,-0.00036634-0.00047453i,-0.00047365-0.0010606i,-0.00049741-0.00041174i,-0.00017021+0.000196i,0.00016064+1.3095e-05i,0.00019657-5.6259e-05i,0.00034579+0.00032168i,0.00046931+0.00047915i,0.00045245-4.9514e-05i,-0.00022204-0.00042438i
0.0013612+0.0021891i,0.0012493+0.001273i,0.001576+0.0012135i,0.00067893+0.00093557i,-0.001166+0.00031706i,-0.0016189+0.00024956i,-0.00096422+0.00099294i,-0.00092399+0.00074973i,-0.0013848+0.00040013i,-0.0013219-0.00047201i,-0.0014682-0.0018614i,-0.001518-0.0014327i,-0.0010388-0.00058066i,-0.00085605+0.00014615i,-0.00091953+0.00075422i,-0.00023439+0.001036i,-0.0003144+0.00078318i,-0.00038839-0.00016328i,0.0004907-0.00088148i,0.00069147-0.00091127i,0.00048233-0.00039719i,-2.0732e-05+0.00014205i,-0.00027968+0.00019159i
-0.00013569+0.00096439i,-0.00021796+0.00080332i,-0.00095996-0.0001176i,-0.00012869-0.00087799i,0.00032334-0.00055928i,-0.00023533-0.00061204i,-0.00074064-0.00051528i,-0.0012044+8.8268e-05i,-0.0012524+9.2857e-05i,-0.00047791-0.00057111i,-0.00061832-0.00080198i,-0.00089284-0.0015349i,-0.00091631-0.0018862i,-0.00016942-0.0012461i,0.00050441-0.00082236i,0.00054157-0.00064271i,0.00067136-0.00033898i,0.00042795+2.7348e-05i,-9.7338e-05-0.00050884i,-8.5904e-05-0.00055695i,0.0004828+0.00018513i,0.00033323+0.00021147i,-0.00049121+0.00021531i
