-0.0012466+0.0012536i,-0.00098189+0.0019146i,-0.0019467+0.001632i,-0.0027032-3.3645e-05i,-0.002527-0.00091105i,-0.0017175+0.00030518i,-0.00047456+0.0016758i,0.00086493+0.0018444i,0.0017984+0.0015608i,0.0018758+0.00074633i,0.00178+0.00082856i,0.0010489+0.0007483i,8.7444e-05+0.00017188i,-0.00026846+0.00017623i,-0.00056002-0.00018398i,-9.0609e-05-0.0006704i,0.00020225-0.00055221i,0.00054259-0.00027024i,0.00028397-0.0001572i,-0.00036001-0.00014409i,-0.00017449-0.00011726i,-0.00022237-1.0532e-05i,-0.00041146-0.00060412i
0.00040065-0.0008797i,0.00072472-0.00023665i,0.001149+0.00059202i,0.0015177+0.00053581i,0.0014212+0.00041041i,0.00010629-0.00014131i,-0.00071608-0.00029725i,-0.0001995+0.000333i,0.00045032+0.0012064i,0.00066632+0.0011763i,4.8016e-05-0.00012452i,-0.00070981-0.0011014i,-0.0010942-0.00066616i,-0.00090577-0.00069193i,-0.00025458-0.0011218i,-6.4403e-05-0.00089961i,-0.00068394-0.00010702i,-0.00057511+2.2624e-05i,0.00016164+5.9134e-05i,0.00017223+5.8963e-05i,0.00065871+5.7412e-05i,0.00083801+0.00066693i,0.00061812+0.00014918i
-0.00085402+1.2792e-05i,0.00040976-0.00030961i,0.00095438+0.00045287i,0.00012617+0.00065711i,-0.0010414-0.00033649i,-0.00069182+0.00021783i,0.00017968+0.0011135i,0.0002972+0.00073416i,-3.7003e-06+0.00087909i,-0.0004695+0.0010891i,-0.00087923+9.8924e-05i,-0.00098454-0.00066986i,-0.0011369-0.00066462i,-0.00026786-0.0012878i,0.00036767-0.0012798i,-0.00028361-0.00039234i,-0.00070823-0.00096409i,-9.8664e-05-0.0011953i,0.00030933-0.00059689i,-0.00015748-0.00010118i,-0.00072177-3.2699e-05i,-0.00081278-0.00029471i,-0.00059403+0.00027288i
-0.00013629-0.00040259i,-0.00081429+0.00018022i,-0.0010936+0.0011538i,-0.001071+0.00078185i,-0.00026732+9.0572e-05i,0.00051347-0.00048023i,8.5268e-05+0.00038011i,-0.00054788+0.0014946i,-0.00052827+0.0014609i,-0.00064428+0.00074213i,-0.00083891+0.00012639i,-0.00045003+0.00011734i,-0.0003133-0.00021788i,-0.00047046-0.00049091i,-0.00018113-0.00072346i,0.00020363-0.0011325i,0.00024864-0.0007097i,0.0004703-0.00072545i,0.00070792-0.0012388i,0.00093668-0.00077497i,0.00055691+0.00015713i,0.00022312+0.00093297i,-1.7466e-05+0.0015903i
-0.00021703+0.001146i,0.00075003+0.00044515i,0.0014845+0.00073374i,0.0010337+0.00082312i,0.00082142-2.7172e-05i,-2.2296e-05-0.00045808i,-0.00091306-0.00054557i,8.9252e-05+0.00031066i,0.00091149+0.0010831i,0.0004744+0.00099767i,4.6339e-05+0.00099599i,0.00012581+0.00029875i,6.5641e-05-0.00046885i,0.00015647-0.00053165i,4.6456e-05-0.00044247i,-0.00058228-0.00026838i,-0.00031664-0.00038127i,0.00048824-0.00048196i,0.00094599-0.00031659i,0.00055426-0.00017567i,-0.00037863+0.0001242i,-0.00039032+0.00097612i,-6.9678e-05+0.0011018i
3.1714e-05-0.0003897i,-0.00068031+0.00025519i,-0.0011213-2.2731e-05i,-0.0014744-0.0010831i,-0.0011643-0.001222i,-0.00080301-0.00080729i,-0.00035289+0.00013571i,-0.00016688+0.00062009i,-0.0003616+0.00042874i,0.00027133-5.4936e-06i,0.00083354-0.00024238i,0.00094063+0.00074065i,0.00050008+0.0014881i,0.00045617+0.0010806i,0.0001696+0.00027981i,-8.4871e-05-0.00042464i,-0.00011842-0.00027821i,-0.00028204-0.0002814i,-0.00028959-0.00045739i,-0.00074103-0.00029767i,-0.00093825-0.00027544i,-0.00075107-0.0001836i,-0.00068511+3.0734e-05i
0.0022923+0.0022527i,0.001579+0.0021661i,0.0013635+0.0015067i,0.0014488+0.00062158i,0.00091164-0.00018711i,0.00011451-0.00073375i,-4.4281e-05-0.00065622i,6.9369e-05-0.00084472i,0.00085453-0.00033977i,0.0010373+0.00078498i,0.00052829+0.00047627i,-0.00036578-0.00010383i,-0.00067057-0.00033902i,-8.2065e-06-0.00040088i,0.00011852-0.00036198i,0.00012656-0.00021521i,8.7673e-05+8.1625e-05i,-0.00048469+0.0001363i,-0.00071955+0.00048381i,-0.00044064+0.00042561i,-0.00043713-0.00020183i,-0.00063764-0.0002587i,-0.00072532+3.1734e-05i
0.00048312-0.0013236i,0.00021323-0.0010789i,0.00020514-0.00041719i,-5.7585e-05+0.00030128i,-0.00039221+0.00087982i,-0.00052806+0.0012519i,-0.00041577+0.00094251i,0.00038617+0.00074647i,0.0004372+0.00072986i,-0.00036216-0.00012444i,-0.00020839+2.3369e-05i,-0.00050225+0.00069203i,-0.00088584+0.00039219i,0.00012156-0.00019774i,0.00053045-0.00079252i,0.00013633-0.0005371i,-0.00034841+0.00041044i,-0.00033781+0.00065036i,-0.00020594+0.0006462i,4.9344e-05+0.00028483i,0.00061594-0.00051964i,0.00080885-0.0014318i,0.0005657-0.0014897i
0.00048488-0.0021872i,-0.00032333-0.0012502i,-0.0013749-0.0013045i,-0.00064744-0.00011353i,0.0004565+0.00063711i,0.00043292+0.00099787i,-0.00056741+0.0010359i,-0.00065743+0.0010443i,0.00052532+0.0012876i,0.00087375+0.0011112i,0.00013089+0.00057129i,0.00024312+2.1871e-06i,0.00085306-5.6174e-05i,0.00022959-8.8001e-05i,0.00016953-0.00068122i,0.00010061-0.00056934i,-0.00061057+3.8134e-05i,-0.00064177+0.00021746i,-3.9639e-05+0.0006009i,0.00042145+0.00084492i,0.00020287+0.00080101i,-0.00061376+0.00011552i,-0.00041984-0.00016928i
0.00073625-0.0020197i,-0.00041028-0.0017642i,-0.00062526-0.00090197i,-0.00090881-0.00011335i,-0.00082277+0.00032349i,0.00021895+0.00061194i,0.00063397+0.0013934i,0.0007404+0.0019654i,0.00020694+0.001193i,-0.00022702+0.00043262i,-0.00087531+0.00035273i,-0.0010743+0.00072868i,-0.00021323+0.00031913i,0.00017114-0.00065156i,-0.0003324-0.00040966i,-0.00060523-0.00027228i,8.8206e-05-0.00037965i,7.1999e-05-2.7948e-05i,-2.3115e-05-0.00032054i,-0.00039112-0.00023451i,-0.0009102+0.00041556i,-0.00054646+0.00077594i,-0.00042536+0.00011594i
0.00060167-0.0008405i,0.00093733-0.0010506i,5.3465e-05-0.00098533i,-0.00042864-0.00096068i,-0.00071375-0.00094361i,-0.0011105-0.00026788i,-0.00040563+0.00044826i,-0.00020223+0.00063293i,-0.00074869+0.0011976i,-0.00032655+0.0011574i,4.9113e-05+0.00063951i,-0.00011293+0.00059467i,-0.00030404+0.00094234i,-0.0001506+0.00032645i,0.00021004-0.00088713i,-0.00017317-0.00145i,-0.00062769-0.0014776i,-0.00040292-0.00065757i,-0.00019474+0.00034751i,-0.0005643+0.00042725i,-0.000951+0.00052432i,-0.00018499+0.00079838i,0.00057104+0.00068622i
0.00056714+0.00090085i,0.00062933+5.7189e-05i,0.00056968+0.00040595i,0.0010843-9.1331e-06i,0.00041636-0.00052199i,-0.00098254-0.00017955i,-0.00096559-0.00037013i,4.5747e-06-0.00016721i,0.00030331+0.00044497i,0.00022904+0.00060364i,0.00016069+0.00078792i,-0.0002824+0.00042547i,-0.00018137+3.1238e-05i,0.00023066-0.00034198i,0.00082048-0.00044104i,0.0007749+7.4059e-05i,0.00016547+0.00031366i,2.2327e-05+0.00043565i,0.00029603+0.00017137i,4.334e-05-0.00072907i,0.00039265-0.00080085i,0.001218+9.6158e-05i,0.00069198+0.00094729i
0.00086486-0.0021896i,0.00088097-0.00059023i,0.00076777-0.00063041i,0.00054301-0.00073274i,-0.00021732-0.00027915i,0.00012171+0.00024976i,9.3958e-05+0.00088167i,-0.00026357+0.0012159i,1.2556e-05+0.00060084i,-0.00010314+0.00057201i,-0.00024589+0.00065892i,-0.00035575+0.00081899i,0.00042885+0.00095033i,0.0015288+0.00055265i,0.0013487+0.00048883i,0.00049812+0.00042512i,-0.00026585-4.1941e-05i,-0.00050307-5.8205e-05i,-0.0002637-0.00020451i,-0.00042572-0.00083152i,-0.00061997-0.00091163i,-0.00088876-0.000253i,-0.00092784+4.9126e-05i
0.0014623-0.00025722i,0.00052174-0.00060721i,0.00082958-0.00075229i,0.00037015-0.0011413i,-6.8117e-06-0.0010334i,-4.0432e-05-0.00051643i,0.00011651+0.00077033i,0.00031474+0.001881i,9.8962e-06+0.0018398i,4.1846e-05+0.00089509i,-0.00041251-0.00032363i,-0.00076869-0.00088373i,-0.00012842-0.00030721i,0.00064375+2.2967e-05i,0.00051451+9.6917e-06i,0.00025449-0.00010017i,0.00039049+5.8743e-05i,-3.7937e-05+0.00010963i,-6.328e-05+0.00012594i,-0.00080128-0.00048257i,-0.00094293-0.00052993i,0.00016277-0.00017145i,0.00045631-5.6756e-05i
0.00010303+0.001539i,0.00044002+0.001617i,0.001578+0.0016745i,0.0013699+0.00093835i,-0.00013067+0.00022368i,-0.0010395-0.00014628i,-0.00092148+0.00075652i,-0.00059244+0.0012792i,0.00029764+0.00061759i,0.0010056-0.00038344i,0.00081423-0.00054757i,-0.00012328-0.00010192i,-0.00068781+5.1996e-05i,0.00021696-0.00011462i,0.00073987-0.00031489i,-9.0143e-06-0.00080547i,-0.00060755-0.00066168i,-0.00051856+0.00017943i,-0.00039463+0.00053945i,-0.00058454+0.00039822i,-0.00092976+0.00028929i,-0.00028249+0.0006563i,0.00075329+0.00057706i
0.00075966+8.3752e-05i,0.00022155+0.00040359i,1.5788e-06+0.00017999i,-0.00083976+0.00053501i,-0.0011356-0.00020366i,-4.8183e-05-0.0011014i,0.00023075-0.00044992i,-0.00020342+0.00071305i,-0.00011709+0.001643i,0.00040741+0.0011432i,1.1418e-05+0.000309i,6.5639e-05+0.0010545i,0.0003787+0.0011707i,0.00035811+0.00058119i,0.00037799+0.00068223i,0.00050308+0.00077121i,0.0010371+0.00066851i,0.00016331-0.00027692i,-0.0008622-0.00091417i,-0.00085951-0.00052127i,-0.0010003-0.00042958i,-0.00058246-2.4498e-05i,-0.00039539-0.00039933i
-0.0006273+0.0012924i,-0.00033132+0.00089213i,0.0016029+0.00010713i,0.0016273-0.00043783i,0.000817-0.00091975i,0.00076926-0.00099337i,-9.9975e-05-0.0001797i,-0.00013601+0.0010791i,0.0014175+0.00072625i,0.0017044+0.00035982i,0.00069162+0.001544i,1.9853e-05+0.0016879i,0.00038094+0.00058158i,0.00050086-0.00011037i,6.9997e-05-0.00027935i,-0.00034897-0.00052402i,-0.00048577-0.00051967i,0.00020438-0.0002553i,0.00083138-0.00011353i,0.0004594-6.5311e-05i,0.00016012+0.00070044i,0.00017894+0.00097645i,7.7215e-05+0.00036637i
1.9251e-05-0.00020862i,0.00021837-0.00075428i,-0.00033424-5.5918e-05i,0.00014096+0.00056059i,0.00089487+0.00083215i,0.00019698+0.0015321i,-0.0005146+0.0014028i,1.4795e-05+0.0011862i,0.00026515+0.0014125i,-9.9396e-05+0.00073968i,1.2722e-05+0.00017786i,0.00078053+0.00046683i,0.0018096+0.00032189i,0.0018107+0.00021202i,0.0013661-0.0001737i,0.00097334-0.00088736i,0.00039798-0.00043427i,0.0004642+0.00063353i,0.00058973+0.00030756i,9.8581e-05-0.00020358i,0.000347+0.00027672i,0.00010966+0.00051506i,-0.00032741+0.00016066i
-0.00059639-0.0022594i,-0.00049955-0.00078983i,-0.00062493+0.00050698i,-0.00081039+0.00077819i,-7.3397e-05+0.0011544i,0.0014406+0.0015041i,0.0013681+0.00046458i,2.873e-05+0.00030886i,-0.00083476+0.0007629i,-0.0012388+0.00040894i,-0.00077501-0.00012254i,0.00051259-0.00062091i,0.00067516-0.00068512i,0.00031956-0.0011892i,0.00040378-0.0017096i,-0.00028963-0.0012846i,-0.0010884-0.00064824i,-0.00058636-0.00064292i,-8.812e-05-0.00050945i,-7.2199e-05-0.00031905i,-9.3733e-05+0.00025216i,-0.00024903+0.00095914i,-9.253e-05+0.00085441i
0.00035255+0.00049407i,-5.526e-05+0.00011909i,0.00044023+0.00031066i,0.00052779-0.00011513i,0.0006067-0.00026499i,0.00029832-0.00086837i,-0.0003205-0.00057928i,-0.00028119+0.00060666i,-0.00022391+0.001559i,0.00020321+0.001341i,0.00017105+0.00022583i,-0.00056907+0.00011517i,-0.0011313+0.00056381i,-0.0010136+0.00092832i,1.8074e-05+0.00010403i,-0.0002131-0.00028233i,-0.00083203-0.00035077i,-0.00066487-0.00080603i,-0.00064345-0.00060836i,-0.00076454-2.1728e-05i,-0.00012886+0.00050463i,0.00026416+0.00061397i,0.00033968-0.00028731i
