0.0015807+0.0018282i,0.0013062+0.001482i,0.00064571+0.0011742i,-0.00024729+0.00070565i,-0.0012775+0.0007276i,-0.0019965+0.0014959i,-0.0013151+0.0019106i,-0.00065005+0.0020603i,5.9036e-06+0.0015812i,0.00086518+0.00055112i,0.0012933-0.00021342i,0.00082429-6.7937e-05i,0.00034317-0.00024357i,0.00049518-0.00035564i,0.00029972+0.00032797i,-0.00029482+0.00016991i,2.6755e-05-0.00014079i,0.00074863+2.7951e-05i,0.0008855+9.3986e-05i,0.00057749-0.00017505i,0.00021318-0.00061445i,3.714e-05-0.00083448i,9.6845e-05-0.00084375i
-0.00079317-0.00041038i,-0.001135-9.3222e-05i,-0.0012502-0.00033988i,-0.0011985+0.0001037i,-0.00098456+0.0014054i,-0.00083725+0.0012856i,-0.00069213+0.00077714i,3.4235e-05+0.00077263i,0.00015812+0.00041368i,-0.00031108-0.00037439i,-0.00064036-0.00066431i,-0.000561-0.00048271i,-0.00046322+7.113e-06i,-0.00068642+6.4514e-06i,0.00023086-0.00019657i,0.0010742-0.00010621i,0.00076611-0.00057003i,0.00083232-0.00070786i,0.00049234-0.00058042i,-0.00040183-0.0007304i,-0.00066469-6.9019e-05i,2.5311e-06+0.0001374i,0.00089956+1.1113e-05i
-0.00025757+0.0002134i,-0.0011156+0.00086681i,-0.00019089+0.00055556i,0.00061446+0.00078759i,0.00038508+0.0013642i,0.00064151+0.0013651i,0.00098317+0.00090012i,0.0010793+0.00059126i,0.00024285+9.1886e-05i,-0.00041158-0.00022803i,-0.00068719+0.00011226i,-0.00063127+0.00052871i,-4.688e-05+5.0322e-05i,0.00044742-0.0011059i,0.00052312-0.00086669i,0.00063288+0.00026563i,0.00058133+0.00019274i,0.00026649+0.00025247i,0.00051907-0.00028787i,0.00060768-0.0012269i,0.0004345-0.0012335i,0.00028911-0.0010346i,-0.00035172-0.00021493i
0.00070073+0.00038235i,0.00041338+0.0010162i,-5.0348e-05+0.0014032i,0.00033782+0.0016471i,0.00042179+0.0023811i,-0.00032159+0.0027358i,-0.00045181+0.0018758i,-0.00046033+0.00030832i,-0.00061538+0.00023175i,-0.00014174+0.001279i,0.00022709+0.0010792i,0.00044335-6.2835e-05i,0.00019341-0.00060116i,-4.7593e-05-0.0007306i,-8.9481e-05-0.0010276i,0.00015838-0.00085004i,0.00047952-0.00076366i,0.00091628-0.00079889i,0.00044894-0.00023296i,-0.00030923-0.00025528i,8.8111e-05-0.00055907i,0.00064953-0.00047585i,0.00082583-6.7226e-05i
-0.00035213+0.0014993i,-0.00034597+0.0016481i,0.00044103+0.0014505i,0.001279+0.00092033i,0.0014687-0.00045402i,0.00040996-0.0010259i,-0.00067281+0.0007599i,-0.00037707+0.0027247i,0.00091407+0.0024445i,0.0019155+0.0012395i,0.0011544+4.956e-08i,2.577e-05-0.0007685i,0.00043245-0.001014i,0.00062117-0.00039387i,-0.00010467+6.7083e-05i,-0.00078265-0.00014102i,-0.00022196+0.00020416i,0.00030461+0.00015242i,8.42e-05-0.00010538i,-7.5448e-05+0.00025101i,-0.0001943+0.00054358i,0.0004689-0.00010156i,0.00048597-0.00095452i
0.00015826-0.00086597i,0.00079741+0.00040842i,-0.00040483+0.001483i,-0.00087668+0.0026246i,0.00047364+0.0031094i,0.0012777+0.0021706i,0.00075701+0.00063307i,9.3434e-05-7.8782e-06i,-0.0008114+8.9499e-05i,-0.0011613+0.0005917i,-0.00031452+0.00083303i,0.00051677+0.00078917i,0.00048556+0.00069211i,4.7877e-05+0.00045217i,-0.00023133-6.5835e-05i,-0.00034061-0.0007035i,-0.00023977-0.00092392i,0.000656+0.0001583i,0.0014116+0.00035378i,0.0014701-0.00060394i,0.00024797-0.00022578i,-0.00025473+0.00037127i,0.00025213+0.00064945i
0.0012837+0.0010557i,0.0011346+0.00036029i,0.00085281-0.00013416i,0.00031635-0.00029668i,-0.00049463+0.00020134i,-0.0014145+0.00043546i,-0.0012214+0.00071468i,-0.00017387+0.0011208i,0.00053016+5.381e-05i,0.00015306-0.0010759i,-7.8778e-05-0.00065022i,-0.00016036+0.0004299i,-0.00035658-9.1819e-05i,0.00071634-0.00030951i,0.0014598+0.00051293i,0.00018685+0.00078068i,-4.7713e-07+0.00021889i,1.9206e-05-7.3162e-05i,3.3232e-06+9.3107e-05i,0.00032663+9.2893e-05i,-9.1096e-05+5.5996e-07i,-0.00054691+0.00026807i,-0.00051286+0.00045502i
-0.00033529-0.00030752i,-0.001031+0.00068601i,-0.0012439+0.0010576i,-0.001101+0.0011786i,0.00033189+0.0011525i,0.0015776+0.0012076i,0.0016052+0.0010455i,0.0013106+0.00090283i,0.0012557+0.0012661i,0.00065301+0.00088189i,9.004e-05+0.0007512i,0.000605+0.0005085i,0.0009972-0.00075504i,0.00039043-0.00082607i,-2.5333e-05-6.4109e-05i,-0.00041778+0.00057488i,2.765e-05+0.00049013i,0.00042143+0.00018547i,0.00035115-0.00051797i,0.00054276-0.000666i,6.5202e-05-0.00013069i,-0.00050303-0.00032716i,-0.00062218-0.00028832i
3.5634e-05-0.0001805i,0.0008453-0.00079997i,0.0025325+0.00038675i,0.0021842+0.0017994i,0.00067781+0.0013832i,-0.00027718+0.00078489i,-0.00028991+0.00086612i,-9.7874e-05+0.00077606i,0.00046894+0.00075285i,0.0010938+4.2056e-05i,0.001082-0.00062568i,0.0006572-0.00067295i,0.00072378-0.00057499i,0.0010145-0.00023211i,0.0010759-0.00020532i,0.00058055-5.5476e-05i,-0.00027292+0.00071481i,-0.00041701+0.00087126i,0.00021367+8.0007e-05i,0.00060877-0.00064705i,0.00026501-0.00044808i,-0.00053877+0.00039262i,-0.00060852+0.00030645i
0.0010467-2.5638e-05i,-0.00024901+0.0010949i,-0.00079842+0.0016836i,-0.00085804+0.0013072i,-0.00057056+0.0010796i,0.00049617+0.0010868i,0.00092871+0.0009815i,0.00086014+0.00089078i,0.0010854+0.00023288i,0.0011031+0.00013724i,0.00043065+0.00048731i,-0.00055361+0.00029991i,-0.00076379+8.0051e-05i,-0.00039948-4.2872e-05i,-5.4286e-05+4.1808e-05i,0.00068455-0.00015627i,0.00016272+3.8223e-06i,0.00066485+0.00010361i,0.0017525-8.358e-05i,0.001219+3.0171e-05i,0.00042637-6.4807e-05i,-0.00016986-0.00024438i,-0.00029569+0.00029504i
-0.00076205+0.00013418i,0.00047156+0.0007889i,0.00080138+0.0010325i,0.0016132+0.0019949i,0.0016119+0.0033677i,0.00071689+0.0025208i,-8.8166e-05+0.0008572i,-0.00013717+0.0005782i,0.0004849+0.00058922i,0.00094549+0.0002087i,0.001152+0.00044717i,0.0018364+0.00085637i,0.0017538+0.000551i,0.00037196-0.00019029i,-0.00018657-0.00011791i,-0.00043416-0.00017165i,-0.00031035-0.00079441i,8.1282e-05-0.0005558i,7.0226e-05-0.0002679i,-0.00027606-0.00026544i,-0.00021215-0.00071557i,-0.00023129-0.0012547i,-0.00070318-0.0009027i
-0.00071408+0.0013i,-0.00067354+0.00033544i,4.7693e-05-0.00016485i,0.00058521+0.00034221i,0.00036152+0.00099598i,-0.00031649+0.0011475i,-0.00065031+0.0013395i,0.0002552+0.0015514i,0.0014024+0.0014708i,0.0006707+0.00098394i,-0.00040437+0.00025162i,-0.00050877-0.0008117i,0.00013248-0.00087571i,0.00031972-0.00046564i,-0.00017244-0.00012387i,-0.00024383+0.0001966i,-8.0931e-05+0.00011406i,0.00059126-0.00036247i,0.00061259-0.00034534i,0.00044055+8.4062e-05i,0.0002105-0.00016569i,-5.0092e-05-0.00024503i,8.9092e-05+0.00062272i
-0.00032232+0.00052902i,0.00045782+0.0015592i,0.0012242+0.0019345i,0.0016029+0.001896i,0.0019603+0.0021608i,0.0015054+0.0019643i,0.00069376+0.0013335i,0.00016995+0.00027678i,-0.00030498+7.2498e-05i,-0.00036351+0.00032313i,0.00025392+0.0001959i,0.00071351+3.9391e-05i,0.00094815+0.00025309i,0.00095353-0.0001728i,0.00092835-0.0010014i,0.00056664-0.0014432i,0.00029536-0.0005309i,0.00028001+0.00027472i,0.00030615+0.00028026i,0.00054082-0.00025113i,0.00067293-0.0006833i,0.00086746-0.0002061i,0.00034368+0.00058462i
-0.00077179+0.00090489i,-0.0011445-0.00049288i,-0.00070046+0.00035844i,-0.0001771+0.0019367i,-4.716e-05+0.0024566i,-0.00018565+0.0021688i,-0.00010658+0.0017794i,-0.00091155+0.0013165i,-0.001289+0.0001705i,-0.00015668+0.00020155i,0.00047044+0.00020396i,0.00031195-0.00034401i,0.00061488-0.00049316i,0.00077315+0.00022502i,-0.00012778+0.00082502i,-0.00017396+0.00017414i,0.00019186-0.00060158i,0.00025249-0.00048473i,-0.00019531-0.00071023i,-0.0005216-0.00084638i,-0.00018686-0.00035528i,-0.00034914-0.00037088i,-0.00082881-7.8618e-05i
-0.00011667+0.0018952i,-0.00025222+0.002593i,-0.00010922+0.0026991i,0.00085962+0.0025064i,0.001408+0.0018038i,0.0010764+0.001005i,-0.00032822+0.00033456i,-0.0010251+2.0043e-05i,0.00024764+0.00043992i,0.001256+0.00058477i,0.0010769+8.4887e-05i,0.00042335+0.00015694i,0.00063492+0.00060469i,0.0010774+0.0003794i,0.0005774-0.00066921i,0.00045697-0.0015627i,0.0013815-0.0013515i,0.0019953-0.00026476i,0.0015483+9.7224e-07i,0.0010898+6.2955e-06i,0.0007584+0.00081778i,0.00060917+0.0010484i,0.00065625+0.00048642i
0.00033976-0.00084407i,7.8816e-05-0.00094408i,0.00023648-0.00022986i,0.001026+0.0016399i,0.00083771+0.0026763i,0.00040633+0.0017334i,-2.6538e-05+0.00056602i,-0.00038436+0.00031042i,0.00023873+0.00025369i,0.00040065+3.5269e-05i,-4.8305e-05+0.00011982i,-0.00015413-5.2829e-05i,8.113e-05+0.00016457i,0.00036686+9.7616e-05i,0.00075983-0.00057425i,0.00058044-0.00022168i,-0.00027397+0.00034582i,-0.00010996+0.00046523i,0.0010282+1.8896e-06i,0.00075463-0.00020906i,-0.00027913-7.6895e-05i,-0.00019712-0.00046994i,0.0002219-0.00060269i
0.00040462+0.0015634i,0.00085722+0.0022754i,0.0011249+0.0030118i,0.0014928+0.0019491i,0.0016291+0.0012935i,0.0013375+0.00092052i,0.00084408+0.00088156i,-2.792e-06+0.0018184i,-1.9458e-05+0.0016261i,0.0003047+0.00035983i,-0.000483-0.00062405i,-0.00041755-0.00078926i,0.0002643-0.00013526i,0.00065746+2.5069e-05i,0.00026726+5.9031e-05i,0.00015341-0.00021736i,0.00099772-0.00045839i,0.0015756-0.00036309i,0.00067144-0.00048849i,6.1548e-05-0.00031074i,-8.0428e-05-5.6291e-05i,-0.00035335+0.00028347i,-0.00020837+0.0006324i
0.0009344-0.00037962i,8.4153e-05-3.784e-05i,-0.00068117+4.2335e-05i,-0.00049328+0.00071628i,0.00013715+0.0019516i,0.00077469+0.0025556i,0.00058253+0.0017196i,0.00014391+0.0008254i,-0.00016691+0.0007627i,-0.00012536+0.00021529i,0.00011769-0.00066277i,0.00062132-0.0003885i,0.0013227-9.5863e-05i,0.00096942+0.00014782i,0.00036155+0.00043384i,0.00086151+0.00011219i,0.00044377-0.00021847i,0.00012293-0.00062237i,0.00090437-0.00062682i,0.00079086-0.00056286i,0.00029154-0.00057024i,-1.8263e-05+0.00033846i,-0.00023038+0.00064034i
0.00082029+0.0010583i,-0.00037014+0.0014734i,-0.00053862+0.0014741i,-0.00021324+0.0010604i,0.00036238+0.0013375i,4.5315e-05+0.002208i,-0.00019445+0.0021752i,0.00057328+0.0014418i,0.0013291+0.00047632i,0.0014707-0.00012511i,0.00086705-0.00053468i,0.00011189-0.00038987i,0.00024305-0.00016679i,0.00083128-4.1498e-05i,0.00036932+0.00049191i,0.00013179+0.0006319i,0.0007532-0.00022632i,0.0015981-0.00065686i,0.0017514-6.8828e-05i,0.0008888+9.7091e-05i,0.00019322-0.00027466i,-0.00017285-0.0001989i,0.00053434+8.2853e-06i
-0.0015099-0.00032942i,-0.0013058+0.00066976i,-0.0017021+0.0020101i,-0.00012506+0.0033213i,0.0011477+0.0041636i,0.00070887+0.0021086i,-0.00019501-2.8955e-05i,-0.00057259+0.00031491i,-0.00053617+0.00099627i,9.5586e-05+0.00041868i,0.00017314+9.505e-05i,0.0003052+0.00045879i,0.00024661+0.00014308i,-5.9408e-05-0.00071611i,-0.00013002-0.00072348i,0.00030566+0.00014833i,0.00099933+0.00075946i,0.0010532+0.00083172i,0.00078392+0.00019349i,0.00039241-0.00064461i,-0.00036703-4.5231e-05i,-0.00027836+0.00087696i,0.00014737+0.0011065i
-0.001802-0.00079704i,-0.0015082-3.0052e-05i,-0.0011654+0.00096952i,-0.00033624+0.0015676i,0.00075511+0.0032138i,0.0011556+0.0033583i,0.00037748+0.0010606i,-0.00085304+0.00014754i,-0.0011496+2.0813e-05i,-0.00065277+0.00078979i,-0.00053602+0.0012954i,-0.00021941+0.0011354i,0.00044831+0.0010274i,0.00045149+0.00047976i,0.00012398+0.00026605i,-4.1442e-05+6.3269e-05i,0.00051596+0.00036831i,0.00068673+0.00053872i,0.00027603-0.00028496i,-0.00024155-0.00092057i,-0.00055777-0.0007018i,-0.00078474-5.0573e-05i,-0.00070057-0.00045289i
0.0022039-0.0016218i,0.00029107-0.0012251i,-0.0011729-4.1783e-05i,-0.00083871+0.0009811i,-0.00024711+0.0014423i,-0.00029569+0.00085769i,0.00071135+0.00013231i,0.0014724+0.00057042i,0.00078917+0.00065763i,0.00019317-0.00044016i,0.00046131-0.0005998i,0.00030437+7.4412e-05i,4.6125e-05+0.00028645i,-0.00034187-0.00016329i,-0.00083493-0.0011395i,1.5026e-05-0.0010143i,0.00064851+0.00036639i,0.00050563+0.00070056i,0.00056426-0.00013422i,0.0010972-0.00058638i,0.00098687-0.00082493i,0.00057919-0.00056008i,0.00032322-0.00014474i
-0.001219-0.00083203i,-0.000249+0.00050855i,0.00051613+0.00060418i,0.00074887+0.0015439i,0.00078179+0.0028909i,0.00017531+0.0027608i,-0.0012713+0.0013711i,-0.00096405+0.00097532i,0.00034653+0.0012858i,0.0005731+0.0010472i,-0.00012199+0.00061272i,-0.00015288+0.0002446i,0.00049572-6.6472e-05i,0.00084351-0.00016129i,0.00082327-3.3236e-05i,0.00065933-0.00037948i,0.0013805-0.0012067i,0.0015366-0.00093422i,0.0007681-2.9387e-05i,0.00040669-0.00037311i,-0.0003967-0.00081745i,-0.00043991-0.00047659i,0.00026591+0.000184i
0.0010531-0.0019905i,0.00043502-0.0015886i,-0.00078325-0.0013705i,-0.0019259-0.00017569i,-0.0016866+0.001603i,-0.0002517+0.0021994i,0.001043+0.0015435i,0.001098+0.00056823i,0.00064953-0.00014078i,7.5213e-05+1.2306e-05i,-2.2947e-05+0.00043569i,0.00047056+0.00064125i,0.00063486+0.00029435i,0.00038568+0.00038146i,0.00036116+0.0008224i,0.0008932+0.00051028i,0.0010181+0.00018577i,0.00030663-3.5272e-05i,-3.4338e-06+0.00010528i,1.6286e-05+0.00020163i,-4.9496e-06+0.0005171i,-0.00042812+0.0010705i,-0.0011731+0.0012418i
5.4515e-05+0.00053917i,0.00054922+0.0013371i,0.00016336+0.0029695i,0.00096513+0.0031681i,0.0016324+0.0023018i,0.00045345+0.0015853i,-0.00015667+0.0021265i,-7.0363e-05+0.0021101i,-0.00019825+0.0014844i,1.2577e-05+0.0010001i,9.2274e-05+0.00061038i,-1.2203e-05+0.00043668i,-0.00020672+0.00029113i,-0.00043949+0.00021543i,2.0681e-05+4.48e-05i,0.00024365+0.00019579i,0.00029368-0.00019243i,0.00075497-0.00062594i,0.00026958-0.00069125i,-0.00035494-0.00054247i,-0.00019515+0.00016494i,-0.00013237+0.0010528i,0.00048438+0.00080876i
0.0017605-0.0019348i,0.00097796-0.0015181i,0.00077945-1.5265e-05i,0.00041551+0.0013685i,-7.8574e-05+0.0017469i,-0.00033262+0.0018507i,0.00031153+0.0019208i,0.0010943+0.0013851i,0.0010843+0.00085573i,-0.00022036-1.0526e-05i,-0.00020854-0.00083758i,-2.6563e-05-0.00080447i,-3.3104e-05-0.00054028i,0.00096407-1.9675e-05i,0.00077803+0.00083484i,0.00013657+0.00088889i,2.5347e-05+0.0002831i,-0.00028386+0.00042969i,-0.00059867+0.00056132i,-0.00035662+0.00057884i,-0.00031279+0.00038289i,-0.00061444+0.00027848i,-0.00014165-8.3649e-05i
-0.0023715-0.00055384i,-0.0012992+0.0010741i,-0.0017825+0.0019255i,-0.001726+0.0025375i,0.00012255+0.0033164i,0.0013844+0.0024772i,0.0011646+0.00046436i,0.00017434-0.00025349i,-0.00028512+0.0001666i,0.00036099+0.00051069i,0.00033501+0.00050855i,0.00031342+0.00066405i,0.00097996+0.00075709i,0.00077678+0.00035023i,0.00016039-6.4135e-05i,0.00028398+0.00032738i,0.00027918+0.00018496i,0.00014315-0.00060284i,4.825e-05-0.00092461i,7.6559e-05-0.0011651i,0.00030894-0.00043293i,5.9076e-05+0.00039858i,-0.00037306+0.00039832i
-0.00049643-5.3998e-06i,-0.00012337+0.00030823i,0.0002518+0.00063363i,0.00034275+0.0012253i,0.00020716+0.0022703i,0.00052433+0.0028652i,9.2138e-05+0.0017776i,6.2653e-05+0.00068624i,-4.1828e-05+0.0010047i,-0.0008453+0.0010497i,-0.0014135+0.00036734i,-0.00088513-9.4588e-05i,0.00020422+6.4896e-05i,0.00012634-0.00070647i,-0.00024406-0.0010576i,-0.00077622+0.00023935i,-0.00044433-0.00010725i,0.00059553-0.00078749i,0.00082668-0.00037813i,0.00015678-0.00011215i,-0.00030927+0.00040981i,-0.00039494+0.00018513i,-0.000418-0.00072211i
0.00093261+0.00057922i,0.00061557-0.00026915i,0.00073854+0.00024458i,0.0013214+0.00072193i,0.0011243+0.00088879i,0.00079732+0.00069811i,0.00066623+0.0012348i,0.00056245+0.0019382i,0.00086619+0.0012169i,0.0008216+0.00036256i,0.00042077+0.00020128i,0.00037191-0.00020732i,0.00017707-0.00045498i,-0.00016534-0.00097165i,-9.0969e-05-0.0012456i,-0.00012508-0.0010316i,-0.00014593-0.00067462i,-0.00073883+6.3235e-05i,-0.0005695-0.0002685i,0.00040308-0.00097279i,0.00025428-0.00086552i,-0.00024465-0.00016649i,5.6769e-05+0.00065103i
0.0010617+0.00198i,0.00051175+0.0020118i,-0.00020421+0.0013721i,-1.9807e-05+0.0011498i,0.00065199+0.0019881i,0.00098618+0.0020856i,0.00060416+0.0019235i,0.00034878+0.0022006i,0.0005395+0.0016638i,0.00054873+0.0011578i,5.8213e-05+0.001025i,3.4324e-05+0.00085292i,0.00046987+0.00044447i,-0.00010584+0.00032779i,-0.00046336+0.00047228i,-5.7639e-05+0.00031528i,0.00075766-0.000165i,0.0012326-0.00043775i,0.0012029-0.00028701i,0.0011908-0.0005056i,0.00076461-0.00039312i,-0.00017088+8.1374e-05i,-0.00094454+0.00053328i
0.00064403-0.00092022i,0.00065571-0.00026186i,0.00027956+0.00032776i,-0.0006533+0.0012676i,-0.0012076+0.0020071i,-0.0012796+0.0025285i,-0.00054445+0.0011104i,-8.0458e-05+7.3899e-06i,-0.00021406+0.0002602i,-0.00050747+0.00045772i,-0.0005421+0.00038814i,-0.00054957+0.00032393i,-3.9262e-05-7.3636e-05i,0.00044026-0.00010727i,6.5221e-05+0.00011158i,-0.00014987-3.8233e-05i,0.00043818+0.0001781i,0.0010381+0.00065907i,0.0013819+0.00028665i,0.0012099-0.00072933i,0.00017708-0.0011097i,-0.00043575+0.00010183i,-0.00073598+0.00078869i
-0.00029532-0.00017053i,-0.00064121+0.0012032i,-0.0014017+0.001415i,-0.0013319+0.0013199i,-0.00056831+0.0021182i,0.00045466+0.0026215i,0.0003142+0.0020507i,-0.00019074+0.00075339i,8.868e-05+4.008e-05i,0.00027432+0.00047306i,-0.00028354+0.00112i,-0.00034587+0.00098958i,0.00023205-5.7458e-05i,0.00021778-0.00074683i,6.6296e-05-0.0010821i,0.00029797-0.0015327i,0.00059315-0.0010055i,0.0014445+0.000327i,0.001518+0.00096537i,0.00072874+0.00039843i,0.00030751-0.0001434i,0.00044772+0.00027115i,0.00073077+0.00040161i
0.00061875+2.0344e-05i,0.00041366-0.00071117i,0.00033555-1.6206e-05i,0.00041701+0.0009963i,-0.00030933+0.0013133i,-0.0010985+0.0018121i,-0.00043774+0.0024341i,0.00056041+0.0023654i,0.00030856+0.0012914i,1.3471e-06+0.00042357i,0.00035176+0.00045424i,0.00041876+0.00032416i,2.2086e-05-0.00010961i,0.00031463-0.00056832i,0.00035509-0.00048078i,0.00022195-0.00091519i,0.00050761-0.0011359i,0.00034232-0.0010356i,-0.00019283-0.00049029i,-0.00042208+0.00021189i,-0.00034658+0.00025345i,-0.00045203-0.00010231i,-0.000515-0.00027027i
