-0.002464+0.00041246i,-0.0029503+0.0003137i,-0.0033856+0.00082373i,-0.0014561+0.0011216i,-0.00052489+0.001741i,3.783e-05+0.0021212i,0.00065114+0.0025996i,0.00094203+0.0027561i,0.0014821+0.0014802i,0.002365-0.00034452i,0.0015451-0.00069696i,0.00023402-0.00090474i,0.00027745-0.00084138i,0.00032927-0.00020477i,7.7523e-05+0.00022463i,5.6242e-06+0.00023043i,0.00022348-6.0099e-06i,0.00032532-8.3814e-05i,0.00039685-0.00014046i,0.00010425-0.00014694i,5.3748e-05-0.00031923i,-0.00040653-0.00032275i,-0.00057796+0.0002953i
-0.0012913+0.00026298i,-0.00083963+0.00034976i,-0.00030139+0.00051652i,-0.00047411+0.00024927i,-0.00061253+0.0004727i,0.00082613+0.00042022i,0.00089441+0.00030291i,0.00044115+0.00035807i,0.00077301+2.2292e-05i,0.0011473-0.00058753i,0.0011203-0.00066186i,0.00028402-3.2275e-05i,-0.00024634+3.3098e-05i,0.00028731+3.1785e-05i,0.0008148+0.00058246i,0.00037988+0.00087225i,-0.00057145+0.00022291i,-0.00091151-0.00094856i,-0.00018674-0.0011246i,6.2146e-05-0.00041114i,-0.00018513+0.00035783i,0.00012682+0.00051397i,0.00061006-0.00048167i
-0.00026978-0.00087219i,-0.00031478-0.001605i,-0.0012839-0.0028598i,-0.0013211-0.0021395i,-0.00040818-0.00039446i,-0.00037047+0.00048022i,-0.00042665+0.00041997i,0.00020923+0.00063879i,0.0012136+0.00042601i,0.0012852-4.2168e-05i,-0.00022733-0.00032807i,-0.0014077-0.0002988i,-0.00067565+0.00010847i,3.0879e-05+0.0004936i,-0.00050431+0.00087647i,-0.00042483+0.0010785i,0.00025564+0.00037013i,0.00010871-0.00020163i,-0.00020638-0.00033184i,-0.00031607-0.00020781i,-0.00031032-3.1586e-05i,-0.00035338-0.00018823i,-0.00039032-0.00027299i
0.0023791+0.00089016i,0.0026519+0.0009467i,0.0027087+0.0007719i,0.0019343+0.00078002i,0.0011039+0.00062315i,8.1918e-05+0.00074471i,-0.00028786+0.001366i,0.0004906+0.00088456i,0.0010999-0.00017492i,0.00088779-0.00053405i,0.00046826-0.00042005i,-0.00010696-0.0003519i,-0.00015207-0.00048417i,-0.00015215-0.00019765i,-0.00043655-4.6583e-05i,-0.00073243-0.00061701i,-0.00091023-0.0005253i,-0.00023722-0.00061021i,0.00015058-0.00092945i,0.000508-0.0001949i,0.00031231+0.00031686i,9.2254e-05+0.00025489i,-0.0003365-0.00031064i
-0.00071392+0.00061131i,-0.00089451-5.7776e-05i,-0.00015933+0.00058098i,0.00038852+0.0008845i,0.0007714+0.00041875i,0.0010285+0.001476i,0.00065501+0.0018052i,0.00081688+0.0005375i,0.0007853+0.00055339i,0.0010549+0.00075205i,0.0010975+0.00043741i,0.00038099+0.00010834i,0.00026445+0.0002623i,0.00036654-8.7654e-05i,0.00046403-0.00059325i,0.00055318+7.2998e-05i,0.00029127-0.00012451i,0.00041915-0.00043152i,0.00057338-0.0002411i,0.00044887-0.00079452i,0.00065114-0.001215i,0.00084275-0.00035011i,0.00025407-0.00021064i
0.00037027+0.00030579i,0.00014347+8.3456e-05i,0.00018457-0.000606i,0.00036072-0.0010151i,0.00024521-0.0012588i,-0.00030027-0.00046137i,-6.8592e-07+0.00025605i,0.0010895+0.00081483i,0.0013886+0.00058197i,0.0003822-0.00056206i,-0.00056663-0.0013118i,-0.0005499-0.0013757i,-0.00020288-0.0010758i,9.1606e-05-0.0010124i,0.00078038-0.00053082i,0.00083765-0.00017072i,0.00017922-0.00035653i,0.00031877-0.00089429i,0.00029093-0.00070822i,-0.0005177-0.00038016i,-0.00092348-0.00090395i,-0.0009216-0.0013192i,-0.0010751-0.00092647i
0.0011434-0.0026359i,0.001363-0.00222i,0.0012905-0.0026294i,-0.00046753-0.0015436i,-0.0014814+0.0001598i,-0.0012392+0.0013658i,-0.00070229+0.0013787i,0.00017997+8.8083e-05i,0.0001941-0.000467i,-0.00043245-0.00031817i,-0.00057233-0.0012289i,-0.00039273-0.0017104i,-0.00059749-0.001038i,-0.0007397-0.0006725i,-0.00068738-0.00049144i,-0.00096751-0.00012065i,-0.00080377+7.1079e-05i,-8.4226e-05-6.4242e-05i,-0.00019687-0.00087791i,-0.00035148-0.00088544i,-0.00025991-0.00069934i,-0.00045271-0.0010396i,-0.00051701-0.00085467i
-0.00083209-0.00037935i,-0.00091167+6.7514e-05i,-0.0010174+0.00091456i,0.00018124+0.00087072i,0.0024527+0.0001945i,0.0028016+0.00013017i,0.0022416-7.7133e-06i,0.002121+0.00014237i,0.0014237+0.00037143i,0.00083858-0.00043867i,0.00064614-0.0012876i,0.0005817-0.00089585i,0.00045491+0.00026225i,0.0008418+0.00088254i,0.00099773+0.00068702i,0.00086443+6.2471e-05i,0.00051253-0.00024398i,0.00027678-0.00040255i,0.00018883+7.5838e-05i,-0.00012439+0.00014236i,-3.5214e-05-0.00060007i,0.00032731-0.00086209i,0.00048606-0.00064619i
0.0024005+0.0011024i,0.0024001+0.00021275i,0.0025407+2.2e-05i,0.0022352-0.00073325i,0.00093851-0.0020004i,4.294e-07-0.0016901i,-0.00053816-0.0012997i,-4.0011e-05-0.0011079i,0.00124-0.00068892i,0.0011879-0.00059896i,0.0010037-0.00072287i,0.0010355-0.00060221i,-1.7373e-07-0.00062695i,-0.00049755-0.0011274i,-0.0007138-0.00086867i,-0.0012069-0.00028398i,-0.00042365-0.00029221i,-0.00056575-0.00059764i,-0.00088885-0.00087971i,-0.00066005-0.00053285i,-0.00069929-0.00026298i,-7.9102e-05-0.00022206i,-4.9597e-05-0.00048828i
0.00023377+0.00123i,9.5639e-05+0.00052326i,-0.00026076+0.0014759i,-0.0010302+0.0019667i,-0.00098103+0.0010825i,-0.00034709+0.00075031i,0.00075403+0.00083958i,0.0015825+0.00089773i,0.0006232+0.00044338i,3.31e-06-0.00028322i,0.00046342-0.00077477i,0.00087991-0.00075667i,0.00075838-0.00061171i,0.00042766+8.7543e-05i,0.00019276+0.00029694i,-0.00036421-0.00017263i,-0.00049125-0.00019044i,-0.00012109-2.5472e-05i,-0.00027445+8.5006e-05i,-0.00022253-0.00016614i,-8.3248e-05-0.0010248i,-0.000328-0.00078683i,-0.00089322-0.00013349i
-0.00086178-0.00015645i,-0.00084866-0.00083503i,0.00017519-0.00031844i,0.00079169-0.00035423i,0.00089823-0.00083173i,0.00056562-0.00011411i,0.00040275+0.00022129i,0.00044157+0.00066559i,0.00012584+0.00018998i,2.6029e-05-0.0013475i,0.00028837-0.0012184i,0.00020518+0.00062865i,3.8324e-05+0.0011668i,0.00022726+0.00051768i,0.00026706+7.0711e-05i,0.00011808+3.6464e-05i,0.00021792+6.6251e-05i,0.0010765-0.00052087i,0.0016049-0.00069682i,0.0011473+0.00021094i,0.00040856+0.00040139i,-8.5224e-05-4.3346e-05i,-0.00014573-0.00020944i
-0.0010933+0.0012502i,-0.0017841+0.00080859i,-0.0017527+0.001277i,-0.00031488+0.0015216i,0.00040918+0.00083284i,0.0004727-0.00032795i,-4.3044e-05-0.00024061i,7.3726e-05-8.0987e-05i,0.00099447+0.00018839i,0.00059306+0.00056913i,0.00050561+0.00015777i,0.0008462-0.00032157i,0.00049443-0.00018962i,4.6659e-05+5.4005e-06i,0.00036113+0.0002224i,0.00077381+0.00019455i,0.00079824-0.00056648i,0.00085049-0.0007667i,0.00080948+0.00024456i,0.00026833+0.00035566i,-0.00032261-2.8229e-05i,-0.00052678-0.00043096i,0.00018686-0.0013022i
0.00062786-0.0011248i,0.0011291-0.00054574i,0.0012796-0.0013973i,0.0015556-0.0020857i,0.00060206-0.0013043i,-0.00027814+0.00028639i,-0.00011355+0.0011514i,0.000491+0.0007027i,0.00074031-0.00033531i,0.00030203-0.00024104i,-0.00030653+0.00011588i,-4.6933e-05-0.00012173i,0.00027213+0.00014783i,0.00017674+1.9251e-05i,0.00022604-0.00031831i,7.7936e-05-0.00034595i,-0.00013776+8.6173e-06i,-0.00014953-0.00026277i,-0.00049754-7.3581e-05i,-0.00092953+0.00028437i,-0.00085465+0.00010464i,-0.00052101+0.00070868i,-0.00050381+0.00092976i
-0.0007635-0.0004829i,-0.00096684+8.5689e-05i,-0.001188-4.6783e-05i,-0.00051942-0.00021747i,0.00059167+0.00019452i,0.00072463+0.0004583i,0.00061954+0.00019165i,0.00010104+0.00039495i,-0.00043165-3.507e-05i,0.00020069-0.00052727i,0.00064065-0.001279i,0.00016807-0.00085261i,0.00028339+0.00047858i,0.0012069+6.7451e-05i,0.0011565-0.00051126i,0.00016972+0.00038156i,0.00012847+0.00098466i,0.00019276+0.00014726i,-6.3122e-05+1.8524e-05i,-0.00033586+0.00015246i,-0.00071682+9.1919e-05i,-0.0004875+0.00035076i,-9.9658e-05+0.00017719i
-0.00070565-0.00082694i,-0.0015803-0.00077905i,-0.0020735+0.00027335i,-0.0016558+0.00025354i,-0.0010053-0.00013945i,0.00010224-6.3472e-05i,0.00015036+0.00030468i,-0.00033408+0.0010512i,0.00022417+0.0011726i,0.0004795+6.8491e-05i,0.00028971-0.00085695i,0.00014211-0.00031068i,0.00058949+0.00036677i,0.00085353+0.00011838i,0.00036116-4.9623e-05i,-1.3375e-05+0.00010345i,0.00021225+0.0001757i,0.00062924+0.00031469i,0.00045068-1.8969e-05i,-0.00061364-0.00068854i,-0.0005869-0.0012992i,0.00062192-0.00073291i,0.00077086+0.00032425i
-0.0009055+0.0014786i,-0.00022071+0.0016267i,-0.00065821+0.001597i,0.00050912+0.0011072i,0.00083428+0.0012294i,-0.00063844+0.0021801i,-0.0013903+0.0016412i,-0.00024286+0.00069087i,0.00072155+0.0007845i,0.00043087-0.00017092i,0.00012442-0.00057894i,-0.00010174+0.00045698i,6.5946e-05+0.0011276i,5.6631e-05+0.0007376i,-0.00022082+0.00055446i,-0.00027213+0.0010832i,-6.4212e-05+0.00056114i,0.00045835-0.00098918i,0.00017232-0.0016718i,-0.00065356-0.00053214i,-0.00024416+0.00063203i,0.0005778+0.00054514i,0.00055834-0.0002058i
-0.00026471+6.6522e-05i,-0.00037239-0.0014229i,-0.00028364-0.001796i,-0.00015583-0.00079958i,-1.794e-05+0.00087754i,0.0010698+0.00063798i,0.0017509+0.00024462i,0.0012068+0.00094271i,0.0012445+0.00015683i,0.00086926-0.00053555i,0.00027505-0.00073691i,0.00020968-0.0012092i,0.00016127-0.00011104i,2.8409e-05+0.00080292i,0.00019935+0.00079347i,0.00023331+0.00035091i,0.00030399-0.00062779i,0.0004287-0.00099566i,-0.00016916-0.00011687i,-0.00042789+0.00065242i,0.00029483+0.00033302i,0.00029639+0.00055189i,-0.00026868+0.00035655i
0.0012636-0.0017622i,0.0015071-0.0018712i,0.0024721-0.00042206i,0.0018491+0.0004892i,0.00043399+0.00076638i,-0.0002624+0.0016723i,-8.374e-05+0.0020624i,0.00046943+0.0011989i,0.00081434+0.00051678i,0.0013945-5.6086e-05i,0.0013436-0.00014047i,0.00026123+0.00031982i,-0.00095981-0.0003845i,-0.0013134-0.00089938i,-0.00062477-0.00026473i,4.1509e-05+0.00052742i,0.00020869+0.00070248i,-8.8165e-05-9.523e-05i,-0.00019907-0.00052678i,-1.6638e-06-0.00014758i,0.00025639+0.0004475i,-0.00022258+0.00049351i,-0.0008596+0.00036561i
-0.0014427-5.4227e-05i,-0.0018374-0.00057501i,-0.0013369-0.00034401i,0.00036863-0.00020026i,0.00031768+0.0005847i,-0.00031878+0.00094096i,0.00033599+0.00020687i,0.00028847+6.9135e-05i,4.3393e-05-0.0004803i,-9.9657e-05-0.00098573i,-0.00014818-0.00066648i,-1.4518e-05-0.00024332i,-2.623e-05+0.00068155i,-7.097e-05+0.00049727i,-0.00032255+0.00018394i,-0.00022522+0.0010537i,-0.00037129+0.00079349i,-0.00078617-0.00066315i,-0.00036497-0.0013111i,0.00013671-0.00085962i,0.00040631+1.6212e-05i,0.0011248-0.00014048i,0.00075985-0.0011182i
-0.0017755+0.00027935i,-0.0017206-0.00018586i,-0.0014958-0.00013263i,-0.00056491+1.4297e-06i,0.0002901+0.00023242i,0.00047917+0.00068786i,0.00037732+0.00035021i,0.00019272-0.00029817i,-0.00034525-0.00051705i,0.00020831-0.00069348i,0.00058652-0.00056426i,0.00028293-0.00066283i,0.00091058-0.00066871i,0.0013962-0.0005019i,-1.9758e-05-0.00018565i,-0.00036488-0.00015546i,0.00061229-0.00054414i,0.00027641-0.00076738i,0.00025484-0.00060334i,0.00076319+0.00012627i,0.0010141+0.00012206i,0.001016-0.00047287i,0.00056352-8.292e-06i
0.00090073-0.000195i,-0.00037517-0.0017629i,-0.00085-0.0019572i,-2.793e-05-0.0010337i,7.5475e-05+5.423e-05i,-0.00077854+0.0014513i,-0.0007801+0.0021307i,8.0954e-05+0.0014386i,0.00048345+0.0006693i,-0.00024277+6.3571e-05i,-0.00076895-0.00045593i,-0.00043859-0.00058867i,0.00034136-0.00012879i,6.161e-05+0.00081139i,-0.00085874+0.00127i,-0.00039567+0.00053262i,0.00024475+0.00018917i,0.00054552+0.00025496i,0.00046309-9.0386e-05i,-6.3229e-05-0.00027032i,0.00025396-0.00014902i,0.00074453-0.00076607i,0.00044425-0.001226i
-0.0012079-0.0014524i,-0.00026293-0.0026478i,-0.0009169-0.0032118i,-0.0007021-0.001744i,-0.00019784-0.00039369i,0.0001445-0.00023515i,-0.0002314+0.00026931i,-0.00076997+0.0005696i,-0.00035187+0.00058324i,0.00016697+0.00080169i,-1.4399e-06+0.0006244i,-0.0006134-4.8082e-05i,-0.00022499+0.00027596i,5.9636e-05+0.0010681i,0.00016936+0.00080808i,0.00062063+0.00053171i,0.00088594+0.0005568i,-1.7064e-05+0.00048338i,-0.00036896-0.00011633i,0.00021028-0.00086235i,7.2473e-05-0.0012788i,-0.00018347-0.0012957i,-5.638e-05-0.00064197i
-0.0019288+0.0018895i,-0.0013323+0.0026884i,-0.0023744+0.0028477i,-0.0024218+0.0022009i,-0.00013113+0.0018036i,0.0016088+0.0015979i,0.0016601+0.0006191i,0.0014788+0.00044024i,0.0011826+0.00017479i,0.00097044-0.00044402i,0.0011004-0.00014285i,0.0010996+0.00044816i,0.0012728+0.0010663i,0.00059916+0.00063996i,0.00043+4.993e-05i,0.00068713+1.9319e-05i,0.00026454-0.00021079i,4.1562e-05-0.00079924i,0.00014916-0.00060629i,-9.0613e-05-8.4927e-05i,0.00052014-0.00070283i,0.0011486-0.00092633i,0.00034815-0.00064267i
0.0021237-0.0014844i,0.0016736-0.0017569i,0.0015358-0.0017914i,0.00070628-0.0018143i,-0.00052596-0.0013912i,-0.0014651+1.9282e-05i,-0.00084825+0.0006157i,8.5722e-05+0.00024187i,0.00010596-0.00048665i,0.0004316-0.0011741i,0.00065827-0.0010503i,0.00078751-0.00047583i,0.00094312+0.00027574i,0.00029506+0.00046103i,-0.0002066+0.0007064i,-0.00019017+0.00086812i,-0.00026175+0.00012356i,-0.00015235+0.0003562i,-8.3316e-05+0.00070013i,0.00062689+0.00043729i,0.0012155+0.00059576i,0.00049047+0.00092515i,-0.00055824+0.00047348i
0.00077312+0.0019779i,0.00053356+0.0016352i,0.0017174+0.0012506i,0.0025371+0.0008833i,0.002185+0.00023396i,0.0018316+0.00020236i,0.0012309+1.2286e-05i,0.00090912-0.00077158i,0.0011253-0.00081221i,0.0014017-0.00038813i,0.00082362-9.6773e-06i,0.0001121-0.00014967i,-8.1233e-05-0.00062459i,-7.3463e-05-0.00073684i,0.00096073-0.00031065i,0.001411-0.00043706i,0.00081942-0.00017295i,0.00047619-0.00016294i,0.00039312-0.00049126i,9.2304e-05-0.00027607i,-0.00022395+9.421e-05i,-0.00046895-0.00031558i,-0.00037931-0.00064929i
-0.0027838-0.00097338i,-0.002992-0.00095624i,-0.0023571-0.0017866i,-0.0012831-0.0014468i,-0.00052329+0.00028022i,0.00029107+0.00062579i,7.5115e-05+0.00054708i,-0.00025027+0.00023733i,7.5968e-05+0.00018241i,0.0002396+0.00023332i,-0.0001526+9.7039e-06i,-0.00035117+0.00037447i,-0.0002306+0.00074224i,-0.00067737+0.00075017i,-0.00082675+0.00039212i,-0.00010776+0.00053388i,4.8196e-05+0.00036887i,-0.0005841+0.00028835i,-0.00097642+0.00082064i,-0.00099811+0.00032587i,-0.00075916-0.00066921i,-0.00032326-0.0004022i,-0.00098108+1.3772e-05i
0.0017177-0.0019739i,0.001445-0.0018092i,-0.00040298-0.0024375i,-0.0010509-0.0019606i,-0.00060877-0.0011772i,-0.0008632+2.0733e-05i,-0.00054282-0.00010494i,0.00013216-0.00025474i,0.00113-0.00078887i,0.0016433-0.0014425i,0.00012171-0.0013922i,-0.00083291-0.00058435i,-0.00049843+0.00023302i,-0.00071803+0.00041033i,-0.00079517-0.00053462i,-7.108e-07-0.0011234i,-0.00018747-0.00096746i,-0.00073631-0.00066653i,-0.00069236+2.8652e-06i,0.00010796-0.00010913i,0.00060074-0.00051102i,0.0007279-0.00065598i,0.00056264-0.00073157i
0.00071678+0.0030125i,0.0010835+0.0037302i,0.0015728+0.0024656i,0.0011887+0.0010284i,0.00097386+0.00053121i,0.001296+7.4424e-05i,0.0013857+0.00025198i,0.0017767+0.00015505i,0.001973+0.00038588i,0.0015271+0.00045337i,0.0011715+0.00018973i,0.00079214+9.5226e-05i,0.00039971+0.00014263i,0.00033391-5.4197e-05i,0.00021613-0.00039749i,-0.00012262-0.00036422i,-0.00055976-0.00038366i,-0.00012852-0.000482i,0.00017858-0.00033666i,-0.00046696-0.00059862i,-0.00077832-0.00044715i,-0.001251-0.00013185i,-0.00078326-0.00032365i
-0.00051168+0.001074i,-0.000108+0.00085721i,0.00079664+0.00017552i,0.001099+0.0003994i,0.00051767+0.0015412i,0.00054395+0.0019646i,0.0010087+0.0010625i,0.0011045+0.00053773i,0.00055327+0.00029896i,-0.00019551-2.2138e-05i,-0.00080733-0.00046439i,-0.00066847-0.0011011i,-0.00020617-0.00087347i,-8.7522e-05+0.00017497i,2.0305e-05+0.00012297i,0.00019988-0.00055545i,0.00010606-0.00015946i,-0.00020465+4.1902e-05i,0.00021864-0.0004223i,5.0065e-05-0.00047605i,-0.00064461-0.00053261i,4.4004e-05-0.00093771i,-7.4463e-05-0.0005999i
-0.0018244+0.0010226i,-0.0017236+0.0012932i,-0.0021319+0.0019469i,-0.00067336+0.0023469i,0.00082203+0.0020047i,0.0010244+0.0013612i,0.00060674+0.0001975i,-2.3774e-05-0.00044715i,0.00069458-0.00066155i,0.00164-0.00097194i,0.0014904-0.00087788i,0.00096234-0.00042614i,0.00026695+0.00037684i,-0.0006591+0.0011265i,-0.00069922+0.0002388i,0.00034718-0.00054905i,0.00092481-0.00049119i,0.00074498-0.00024719i,0.0010078-0.00036002i,0.0010139-0.00011651i,0.00048183+0.0005367i,0.00046209+0.00027683i,1.2924e-05-0.0003905i
-0.0004145+0.0017214i,0.00014452+0.00060395i,0.00064102-0.0010154i,0.00056659-0.0013484i,0.00056089-0.0014977i,0.00016024-0.00082766i,-0.00011524+0.00046551i,0.000242+0.00090779i,0.00061322-4.8645e-05i,0.0011619-0.0011263i,0.00090114-0.0010144i,0.00015391-0.0005562i,0.00059558-0.00021292i,0.00072725+0.00030786i,9.9213e-05+0.00044286i,0.00043742+0.0002567i,0.0010142+0.00011757i,0.00039223-0.00023778i,0.00012642-0.00017604i,0.00066243-8.1875e-05i,0.00090132-0.00021414i,0.0011416-0.00058391i,0.00057306+8.0717e-05i
-0.00089553-0.0017155i,-0.00069142-0.0010208i,-0.00065429-0.00026663i,-0.00082521+0.0003822i,-5.0117e-05+0.00065404i,0.00090118+0.0010758i,0.00098481+0.0013927i,0.00051264+0.0007358i,0.00036622-2.7721e-05i,0.00050442-0.00049249i,0.0005806-0.00072884i,0.00056654-0.00054428i,-0.00021485-0.00011817i,-0.00070985+0.00056912i,-0.0004461+0.00022816i,2.1933e-05-0.00034829i,0.0004147-0.00086134i,0.0012237-0.0010992i,0.0017676-0.00072457i,0.0011806+0.00041963i,-9.4822e-05+0.0005727i,0.00017199-0.00049167i,0.00068638-0.00033603i
-0.0013072-0.0016437i,-0.0014152-0.0013265i,-0.0010675-0.0023932i,-0.00010914-0.001539i,0.00012663+0.00013639i,0.00069697+0.00060375i,0.0013111+0.00046173i,0.0012955-0.00028588i,0.0011615-0.0003121i,0.0010075+5.1808e-05i,0.0001934-0.00016269i,-0.00068354+0.00027483i,-0.00053975+0.00026165i,0.0001325-9.4502e-05i,0.00051515+0.0001062i,0.00034708+0.0004271i,8.152e-05+1.4175e-05i,0.00019846-0.00091325i,-5.6904e-05-0.00062982i,-0.00073896-0.00012537i,-0.00054853-0.00022321i,-0.00029379+0.00018366i,0.00017975+0.00060129i
